2r4r/8/5Q2/8/1P1K4/5k2/P7/8 b - -,f3e2
8/p4pk1/8/3q4/1P1b2QP/P5P1/5P2/6K1 b - -,g7f8
5Q1k/6p1/4b3/5Pqp/3p4/5B2/5K1P/8 b - -,e6g8
8/5pk1/2R4p/1p3p1P/8/4PKP1/1r3P2/8 w - -,c6b6
8/2Bn4/1pb2k2/2p3p1/2P1p1P1/P1K1P3/2B5/8 w - -,c7d8
8/pp2R1pk/4p2p/8/P7/1r4P1/5P1P/6K1 b - -,b3a3
rnb2rk1/p3bp1p/3ppp2/2pP4/2B1P3/5N2/PP1N1PPP/R4RK1 w - -,f3e1
2kr2r1/p4p2/1pn1q2p/4p1p1/PBNpP3/3P1PPn/2P4P/RR3Q1K w - -,b4d6
1rbq1rk1/1p3pbp/p1np1np1/2p1p3/P1P1P3/2NPB1PP/1P2NPB1/R2Q1RK1 b - -,c6d4
6k1/8/5p1R/1p1b4/2p5/2Bn2P1/1P5P/r4NK1 b - -,b5b4
r4k2/4pp1p/3p2p1/p1nP4/3RP3/R5PP/3n1PB1/6K1 b - -,d2b3
2r3k1/1r4pp/p7/2P2p2/b1P5/2B5/P2R1PPP/R5K1 w - -,d2d5
r3kb1r/pp1n1ppp/2p2B2/q2p4/3Pb1Q1/2N1P3/PP3PPP/R3KBNR w KQkq -,f6h4
6R1/3r1k2/p4p2/P3p2p/7P/1n2NPK1/6P1/8 w - -,g8a8
r1bqk2r/p2nbp2/2p1p3/1p1nP1pp/2pPN3/P1N3BP/1P3PP1/R2QKB1R b KQkq -,c8b7
8/6p1/7p/P1BR3P/2P1k3/5rb1/8/3K4 b - -,g3f2
r2qkb1r/pp1npppp/3p1n2/2p5/4P3/1P1P4/PBP2PPP/RN1QK1NR b KQkq -,g7g6
2bqr1k1/p1r1bpp1/1p1p1n1p/1P1PpB2/2P5/P4N1P/3N1PP1/2RQR1K1 w - -,f5c8
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,b4c3:f6e4:h7h6:b7e4:e8g8:c7c5
1r6/p2k1ppp/5b2/2pp4/1PN5/2PK4/P4PPP/4R3 w - -,c4e3
rn1qk2r/p3nppp/1pP1p3/3pP3/3P4/2P5/2P2PPP/R1BQK1NR b KQkq -,b8c6
5r2/pp1qnrbk/3pp1pp/2p1p2P/4P1Q1/2PPN1P1/PP1N1P2/R4RK1 w - -,g1g2
8/p7/1b6/2r5/4k3/1K5P/8/4R3 b - -,e4f4
5bk1/1r1n4/2p1p1p1/2Ppp2p/1N1P1P1P/2N3P1/6K1/1R6 w - -,f4e5
Q1Bk4/1pp1np1p/8/2bp4/4P3/4q3/PP4PP/3R3K b - -,e7c8
2R5/5bk1/7p/4P1p1/r7/6P1/P5BP/6K1 w - -,c8a8
r1b1r1k1/4bppp/2P1p1n1/4P3/1p2N3/3BP2P/1P4PB/3R1RK1 b - -,a8a2
rn2k2r/3qpp2/2p2n2/p4P2/PpBPP1pp/8/1PQ1N1PP/2R2RK1 b kq -,e8f8
r4rk1/pbp2p1p/3pp3/6p1/1P1Pq3/P3PPP1/1Q4NP/R4RK1 b - -,e4g6
5k2/5pb1/3p4/2pP3p/B3r1pP/6P1/3BPP2/1r3RK1 w - -,f1b1
r3k2r/1p1b1pp1/1q2p2p/n1b1Pn2/p2p1P2/P2B1N2/1P2Q1PP/R1B1RN1K b kq -,a5b3
r3r1k1/1p1nqpbp/2p3p1/3n4/p3N3/P3P1P1/1PQB1PBP/1R2R1K1 w - -,e1d1
r1b2rk1/1p2bpp1/p1nppn1p/8/4PP2/qNNB2B1/P1PQ2PP/R4RK1 w - -,a1e1
2r2r2/p3ppkp/2p1b1p1/2P1q3/Q7/6P1/P3PPBP/1R1R2K1 w - -,a4a7
1r6/4p1kp/3p1pp1/1bpP4/p3P2P/1rP2P2/RPNR2P1/6K1 b - -,b5d7
8/2p5/8/p3k2N/1nP2ppP/8/1P6/2K5 w - -,c1d2
8/2R2kp1/5n2/2N3K1/3PP1p1/8/5r2/8 b - -,f7e8
2r1b1k1/4Bpbp/q4np1/1p1PN3/1Qp5/2N4P/1P3PP1/3R2K1 b - -,f6h5
8/1p4B1/2b1k1p1/7p/p5PP/R1P2r2/7K/8 w - -,g4h5
8/R2k4/7p/2Q5/2P1bqp1/1P6/6P1/7K b - -,d7e6
1q2r1k1/2nb2bp/3p1np1/3P1p2/1rp2P2/2N2Q1P/2B1NBP1/1R2R2K w - -,b1b4
1r1q1rk1/4bppp/2Pp1n2/PNn1p3/P3P1b1/5N2/1PB2PPP/R1BQR1K1 b - -,d8a5
3rnbk1/5ppp/2R1p3/3pB3/3P4/7P/4BPP1/6K1 w - -,e5f4
2r5/5p1k/4q1p1/3pn2p/3Q4/4P2P/PP3PP1/3R1BK1 b - -,c8c2
r2q1rk1/1p1n1pbp/p1n1p1p1/3pP3/3P4/3BBN1P/PP3PP1/R2Q1RK1 w - -,d1d2
8/1Q6/2p1nqk1/p2p1N2/P7/1P4N1/6PK/8 w - -,b7e7
5brk/5p1p/1Q1p4/1NnP1P1p/3pP3/P5qb/5RP1/R4NK1 b - -,g3e5
k7/pp2q2p/5pp1/2P5/4R1P1/PQ4P1/1P1r1P2/6K1 b - -,e7c7
5rk1/1br1q1pp/p3p3/1ppp1pP1/3PnP2/2PBPN1P/PP4RK/4QR2 w - -,a2a3
r5k1/pp3pbp/2r1q1p1/3pP3/3B1P2/1P1Q3P/P4RP1/R6K b - -,a7a6
7r/4b3/1kp4r/pp3p1p/2pPqPpR/P1P1P1P1/1P1Q3R/K1N5 w - -,a3a4
r6k/6b1/p1n1p1qp/8/B3p3/2P1B3/1P2Q1PP/5R1K b - -,c6e7
r1b1k2r/pp1qbppp/2n1p3/3p4/3P4/1QNBP3/PP1B1PPP/R3K2R w KQkq -,c3e2
rnbqk2r/p1p1bppp/4pn2/3p4/PpPP4/5NP1/1P2PPBP/RNBQ1RK1 b kq c3,e8g8
r1bq1rk1/pppp1pp1/2n2n1p/4p3/2P5/2P2NP1/PP2PPBP/R1BQ1RK1 w - -,b2b4:f3d2
R7/8/6k1/8/pr4p1/6K1/8/8 b - -,g6f5
8/1p4k1/p1p1b1p1/2P1b1P1/4B2p/1P6/P7/3R3K b - -,e5c7
rn1q1rk1/pp2ppbp/6p1/2p5/2pP4/1PB1PNP1/P4PKP/R2Q1R2 w - -,b3c4
2r3k1/p4ppp/1q2n3/3p4/3P4/1P1B1PP1/P2Q1BKP/8 w - -,f3f4
2R5/p4k2/3b2r1/3r3p/3pn3/1P4BK/P4P1N/3R4 w - -,d1f1
5rk1/2p3pp/1pnppr2/3q4/p2PpP2/PbP1P3/1QNR1RPP/2B3K1 b - -,c6a5
5rk1/pp4b1/2n4r/4p1p1/2P1Qq2/P4PN1/1B4PP/R2R2K1 b - -,f4f6
r3kb1r/pp1bpppp/3p1q2/8/4P3/2P2N2/PP1Q1PP1/R3KB1R w KQkq -,e1c1
r1bq1rk1/1p2ppbp/2npn1p1/pP6/2P1P3/2N5/P1NBBPPP/2RQ1RK1 b - -,c6d4
8/6kP/p7/5B2/5n2/r3p3/p2K4/R7 w - -,d2c2
n1qr1rk1/1p2bbp1/pPp4p/2Pp1p2/N2Pp3/P1B1P1PP/2KQBP2/6RR b - -,f7g6
2r3k1/pq3pbp/1p2p1pB/1n6/3PP2Q/5N2/P4PPP/3R2K1 b - -,b5c3
2R5/r5p1/1k3p1p/1p6/7P/1PP1K3/5PP1/8 b - -,a7a3
R2b4/2q1n2k/3p3p/1p1Pp1pP/1P2PrN1/P3QPN1/4K3/8 w - -,a8a7
2r2rk1/R1B1b1pp/1P1p4/1RpPpp2/4P3/7P/5PP1/6K1 w - f6,b6b7
8/6p1/5pk1/RpBb3p/p4K1P/2P3P1/5P2/1r6 b - -,b1e1
rn3rk1/pp2ppbp/2p1b1p1/2Pp4/3PnB2/1PN1PN1P/1P3PP1/R3KB1R w KQ -,b3b4
r3k2r/1b2bp2/p2pp2p/1p2n3/3RP1pN/P1N3P1/1PP2PP1/4RBK1 b kq -,a8c8
2r4k/pp3Qpp/5b2/2qp1n1P/5B2/2Pn1NP1/PP3P2/2K1R2R w - -,c1b1
8/2r3p1/2Pkp2p/8/2R5/r3KP2/P1R3PP/8 w - -,e3e4
1b1rrn2/6kp/1p3pp1/1Nn2P2/3p2PB/4PN2/7P/1RR4K w - -,b5d4
8/2R4k/7p/7K/7P/5P2/2p5/2r5 b - -,h7g8
2r1bk2/1R4R1/p3pP1p/P2pP3/5r2/7P/2P3P1/6K1 b - -,f4f5
2r5/3npk2/1p6/3R3p/2p5/2N1b1PP/PPR3K1/8 b - -,d7f6
r1b1kb1r/p1q2ppp/2p1pn2/3p4/4P3/3B4/PPPN1PPP/R1BQ1RK1 w kq d6,e4d5
8/4kp2/4b1p1/1r2p1P1/7p/1PR1NP2/2K3P1/8 b - -,b5b4
7R/5r2/1R3pk1/7p/1p1r3P/6PK/P7/8 b - -,f7d7
8/1N4b1/1Pp1k2p/1r6/4p3/4B1Pp/8/5R1K w - -,b7c5
3r2nr/1p3ppp/p1n1k3/4P3/1b3B2/5N2/2P1KPPP/R4B1R w - -,f3g5
rnb2rk1/p1pqbppp/2p5/3pP3/3N4/2N2Q2/PPP2PPP/R1B1R1K1 b - -,b8a6
2r3k1/1p3ppp/1q2b3/3pPp2/1pr2P2/P1P2R2/3QN1PP/2R4K w - -,a3b4
2kr2B1/pp6/4PPp1/2qp2P1/2pR1B2/P7/1P5P/5RK1 w - -,f4e5
rnbqk2r/pp3ppp/3bpn2/2pp4/2P5/1P2PN2/PB1PBPPP/RN1QK2R b KQkq c3,e8g8
2R5/k6p/1p5P/pB3Nb1/P4pP1/5K2/8/4r3 b - -,e1e6
8/1p2k3/p2np3/2N1B1b1/3P2p1/8/PP3KPP/8 w - -,e5d6
2r5/3r1pkp/1R3p2/3p4/7N/2bR2P1/4PP1P/6K1 w - -,h4f5
8/p1kr4/1pp4r/4Rb2/5P1P/1P4P1/P1P2P2/2K1R3 b - -,h6f6
8/1R5p/1p4p1/p1k2pP1/P6r/1P6/3K1P2/8 b - -,h4h3
2r2r2/1b1nbpkp/p2p1np1/1p2p1B1/4P3/P1NB4/1PPN1PPP/R3R1K1 b - -,d7c5
5R2/6pk/p2p2qp/Pp1P4/1Pp4r/2P1p1P1/6K1/5Q2 w - -,f1e2
6k1/5p1p/2b3p1/1p1r2P1/8/6K1/6P1/1R3B2 w - -,g3f4
6nk/pqr4p/3R1pp1/8/Q5P1/1P3P1P/P3P1K1/8 b - -,c7e7
r4bk1/1bqn1ppp/3p1n2/1p2p3/1NpPP3/2P2N2/1PB1QPPP/2BR2K1 b - -,a8e8
rnb2rk1/pp2ppbp/q1pp1np1/8/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,b2b3
1rq1b1k1/7p/3R2p1/p1p1Np2/2P2P2/P3P1P1/2Q4P/6K1 w - -,c2d3
r2qrnk1/ppb2ppp/2p2n2/5QP1/2BP3P/5N2/PP1B1P2/2KR2R1 b - -,f6d5
8/4k3/2r5/4pp2/6p1/3RK1P1/5P2/8 b - -,c6c4
r3k2r/pppq2pp/2nn1p2/b2Q1b2/8/P1NBBN2/1PP2PPP/R3K2R b KQkq -,f5e6
r2qk2r/1p3ppp/p1n1b3/3np3/1b6/2N3P1/PP1BPPBP/RN1QK2R w KQkq -,e1g1
2kr3r/ppp3p1/4pp2/3n2Bp/2nP4/2P5/P1P1NPPP/1R3RK1 w - -,g5c1
4kb1r/p2Nnppp/1p2p3/n2pP3/3P4/P4N2/1Pr2PPP/R1B1K2R w KQk -,d7f8
2r3k1/5pp1/2q5/1p1R2PQ/1BnR4/2P5/5PK1/4r3 w - -,g2h2:h5f3
r3k2r/1bqnbppp/p2p1n2/1p2p3/P3P3/1PP3P1/3NNPBP/R1BQ1RK1 w kq -,a4b5
r1r3k1/1p3p1p/3pb1p1/qP6/3PP3/P6P/1p1NQPP1/1R1R2K1 b - -,c8c2
2b5/R4p2/2p1k3/Pr6/5BP1/7P/5P1K/8 b - g3,b5b4
7r/p7/1p1bpk2/3p1p2/3P2p1/2PN4/PP2KPP1/6R1 w - -,f2f4
2r3r1/pq5k/1p1npb1p/1Pp1pp2/P1P5/2NP1PPP/1B2Q1K1/3RR3 w - -,g2h2
8/1p1r2k1/p2q1n1p/5ppB/PQ2p3/2B1P1PP/1P3P2/6K1 w - -,b4a5
3r1rk1/p2q2b1/1p5p/3b1pp1/1P1Pp1n1/4P1PP/3B1PB1/1RRQN1K1 b - -,g4f6
r4bk1/pp2rpp1/2n2q1p/8/1PQ5/P4NP1/5PBP/2R2RK1 b - -,a8d8
4r1k1/3bpp2/3p2p1/p1rP3p/Pp1R4/1B3P1P/1PP1RKP1/8 b - -,g8g7
r1b1k2r/3n1ppp/2p2n2/ppb1p3/4P2B/1BN2N2/PPP2PPP/2KR3R w - a6,a2a4
2R4r/1p1k1ppp/p3pb2/3p4/P7/1P2P1B1/n3BPPP/5RK1 b - -,h8c8
8/4qp1k/3RP1p1/7p/3Q2nP/6P1/5P2/6K1 b - -,e7c7
8/5pk1/3p2p1/p7/P1Pq2n1/5pPN/4rP1P/3R1QK1 b - -,d4c3
7Q/3k4/1p2p3/p4p2/1qP2P2/7p/3KNPb1/8 w - -,d2e3
2krr3/ppp2pp1/2qbb3/3n2p1/2BP2P1/2P2Q1P/PP1NN3/2KRR3 w - -,c1b1
8/1p5p/p3p3/2b3k1/8/4NK2/PPP2P1P/8 b - -,c5d6
2nk1b1r/5pp1/ppb1p2p/2p1P2P/2P1N3/4BBR1/PP3PP1/2K5 b - -,d8c7
r2q1rk1/pppn1pbp/2np2p1/8/4PP2/2P4P/PPB1Q1P1/RNB2RK1 w - -,c1e3
1rb2r1k/2n1qppp/pp1p1n2/2pP4/P1P1Pp2/3B3P/2PB2PN/R2QR1K1 w - -,e4e5
