4r3/3R1pk1/2B3p1/1Pb3P1/6KP/8/8/8 w - -,c6d5
r2q1rk1/pp1nppbp/2pp2p1/3P4/2P5/5PPB/PP2QP1P/R1B2RK1 w - -,c1e3
8/p3r2p/1p1kn2R/8/P2p1NP1/5P2/5K2/8 w - -,g4g5
2rr2k1/5ppp/pp2p3/q1n5/2P5/4P1P1/P1R2PBP/1Q1R2K1 b - -,d8f8
rn1q1rk1/pbpp2pp/1p2pb2/5p2/2PP4/3BPN2/PPQ2PPP/R1BR2K1 b - -,d7d6
1r1q1rk1/p2b1pp1/3P3p/8/1nQ1N3/2N3P1/1P3PP1/3R1RK1 w - -,c4c7
8/7Q/1p1k2p1/pP1rr3/P7/7P/6PK/8 w - -,h7g6
rnbr1nk1/ppq1ppbp/2p3p1/3pP3/8/3P1NPP/PPPNQPB1/R1B1R1K1 b - -,c6c5
6k1/B6p/p2p2p1/1b1Pppb1/PP2P1P1/4KP1P/4n1B1/4N3 w - -,e3f2
r1bqr1k1/1ppn1pbp/3p1np1/p3p3/P2PP3/1PN2NP1/2P2PBP/R1BQR1K1 b - -,e5d4
1k2r3/ppp4p/3bn3/3Q1Bq1/2N5/2P5/PP3PPP/4R1K1 w - -,c4d6
2r3k1/R4pp1/4p3/4P2p/1P1rQP2/1RP1n1PK/7P/8 b - -,d4e4
q4rk1/p2b1pbp/1p3np1/2p1n3/2Pp1BP1/QN1P3P/PP2PP2/R4RK1 b - -,e5g4
3R4/Bpr3kp/2p2pp1/N3p1Pn/n3P3/2P5/P1P2P1P/2K5 w - -,a7b8
3r4/p6k/1p1p1rpb/4p2p/2P1Q1Pq/1P2BP1P/P2R2K1/3R4 w - -,e4b7
2r2rk1/2q3p1/1p5p/pQ2p3/3bB3/6PP/P3RP2/R5K1 w - -,a1f1
1r2nrk1/1p1bqp1p/p2p2p1/P1pPb3/2N5/R1N1P2P/1P2BPP1/3Q1RK1 b - -,e8c7
8/8/P7/7k/8/6pp/2r5/R5K1 b - -,c2g2
2rqr1k1/pb1nppbp/1p3np1/3p4/8/1P1P1NP1/PB1NPPBP/1QR2RK1 b - -,e7e5
3r3r/1b1q1pk1/1p2n1p1/1P1p2b1/P1pP2Q1/2N1P1PB/3N1P2/2R2RK1 w - -,h3g2
8/p7/8/b3k2B/6K1/3r3P/P4R2/8 b - -,a5b6
rn2k2r/pp2ppbp/1qp2np1/5b2/3P1B2/1QN1PN2/PP3PPP/R3KB1R b KQkq -,b6b3
2rqr1k1/p5bp/1p2ppp1/n7/2bN1P2/Q1N3P1/P5BP/2RR2K1 w - -,d4c6
r1bqkb1r/pp1npp2/3p1n1p/2pP2p1/8/2N2NB1/PPP1PPPP/R2QKB1R b KQkq -,b7b5
8/5b2/4k3/PR4K1/8/6P1/8/r7 w - -,b5b6
8/p4pk1/1p4p1/8/1PP1bPP1/P2p2P1/8/5BK1 w - -,g1f2
3R4/2p1R3/2p3p1/1bB1bk2/p4p2/6P1/7K/5r2 b - -,e5d6
8/6pk/p1P1q2p/5p2/P3p3/4BQP1/1b3PKP/8 w - -,f3e2
7r/3q1pk1/p2P1np1/1pr1p1Np/1Pp4P/2Q2PP1/P1P5/1K1R3R b - b3,c5c6
r1r3k1/pp3ppp/2q1pb2/8/b3P3/PP1Q4/4BPPP/1RBR2K1 b - -,c8d8
r1bq1rk1/4n1pp/2nb1p2/1p1p1P2/p2P3N/1N4P1/PP4BP/R1BQ1RK1 w - -,b3c5
8/p7/1p2kb2/2p3p1/Pn2K3/1P5P/5R2/8 w - -,f2d2
1r1r2k1/2q2pp1/7p/p2np3/Ppb5/1N2B2P/1PPR1PP1/3QR1K1 w - -,d1f3
r1q1rnk1/1ppb1pb1/2np2p1/3N3p/p1PNPP2/6PP/PP2RBBK/1Q1R4 w - -,d4b5
2r2bk1/pp1n1r1p/6p1/1P3pB1/8/2p4Q/bP3PP1/2KR3R w - -,b2c3
8/8/6k1/PR3p2/r7/5PK1/8/8 w - f6,f3f4
rn1qkb1r/pbp2ppp/1p1ppn2/6B1/2PPP3/2N2P2/PP4PP/R2QKBNR b KQkq -,f8e7
r2q1rk1/pp1nbppp/2p2n2/3p1bB1/3P4/2N1P3/PP1NBPPP/R2QK2R w KQ -,g2g4
3r2k1/p3q1pp/1p2p1n1/2b5/2P1Q3/1PB5/P3BpPP/5R1K b - -,d8f8
2r2b2/1r2p1kp/1p3pp1/pN1P1b2/Pq1P4/1Q3N1P/1P2RPP1/4R1K1 w - -,b3b4
1r4k1/4q3/1r2ppP1/pBR4R/4Q3/5P2/K1P5/8 b - -,e7d6
r2qnrk1/1p1b1pbp/2pp2p1/p1nPp1PP/2P1P3/2N1BB2/PP3P2/R2QK1NR w KQ -,h5g6
1r4k1/p1p4p/2pp2p1/2n1p3/4Pr2/1PN2P2/P1P3PP/1R3RK1 b - -,c5e6
2krr3/1pp2ppp/p2b4/3bNn2/2NP4/2P5/PP3PPP/R1BQ2K1 w - -,c4d6
r2q1rk1/1b2ppbp/p1np2p1/1p1N4/4PP2/1N3B2/PPPQ2PP/R4R1K w - -,c2c3
r1b1k2r/1pp1nppp/p1np4/8/3bP3/2N1NP2/PPPB1P1P/R3KBR1 b Qkq -,c8d7
2k4r/2r2p1p/pq1p1p2/2nP1P2/6P1/8/pPPQ3P/1K2RR2 w - -,b1a2
r1bqk2r/ppp1npp1/2nb4/3p3p/3P4/2PB1Q1P/PP2NPP1/RNB1K2R b KQkq -,c8e6
3r4/1p2qp1k/5prp/3p4/3R3P/1P3P2/P2Q2P1/3R2K1 w - -,d4d5
8/5p2/3k1p2/5R1p/4p2P/1r4P1/4KP2/8 w - -,f5f6
8/3k1pp1/p1pr1q2/PnR2P1p/2Q4P/4PBK1/5P2/8 b - -,g7g6
3qrbk1/5p1p/3p2p1/2pP1b2/N2rn3/5BP1/1P1BPP2/R1QR2K1 b - -,e4d2
7R/8/1r2pp2/5r1p/3k1P2/1P5R/1K5P/8 w - -,h8c8
6k1/p7/3p2Bp/1rpPb1pP/6R1/7r/P2RKP2/8 b - -,e5f4
5rk1/2qbppbp/p2p2p1/n1pP3n/2P1P3/B5PP/P1QNNPB1/1r3RK1 w - -,f1b1
8/7p/p1r5/2Br1p2/kPp4P/2np1PP1/3R1K2/4R3 b - -,a4b3
6k1/1p3pp1/4p2p/bq1pP3/p2P2P1/P3PN1P/1PQ3K1/8 w - -,g2f2
8/p1R4p/8/4kp2/P1n5/1P4P1/5PK1/1r6 w - -,b3c4
rnbqkb1r/pp3ppp/4pn2/3p4/2PP4/2N5/PP3PPP/R1BQKBNR w KQkq d6,g1f3:c4c5
2k1r1r1/pp1N4/2p3np/2Pp2p1/PP1B4/2P4P/5PP1/R3R1K1 b - -,c8d7
8/8/1p3p2/P4rpp/P1P1k3/4P1RP/8/4K3 b - -,f5a5
3q2k1/p4ppp/4p3/3P4/P1Qr1n2/8/3B1PPP/3R2K1 w - -,c4a6
4r1k1/pp4pp/3b3q/3p4/8/1PQ1PP2/PB4K1/6R1 w - -,f3f4
r1bq1rk1/p2nppbp/1p3np1/2pp2B1/3P4/2PBPN2/PPQN1PPP/2KR3R w - -,d3b5
4r1k1/3r3p/2NP1pp1/1pB1p3/8/3R3P/8/6K1 w - -,d3b3
rq3rk1/pb1p1ppp/np3n2/b1pP4/8/P1N1P1P1/1P2NPBP/1RBQ1RK1 b - -,a5c3
r2r2k1/1nn2pbp/bp1p2p1/2pP4/p1P2PP1/5N1P/PPRB1N2/3R1BK1 w - -,d2c3
4bk2/R4p1p/p5p1/3B4/4P3/5P1P/5KP1/r7 w - -,f3f4
K7/p7/8/1p6/2r2q2/8/PP1Q1k2/3R4 b - -,f4d2
3rr1k1/pp1b1ppp/2pqpn2/3nN3/3P1P2/2N5/PP1Q1PPP/1B1RR1K1 w - -,g2g3
5rk1/r2nbpp1/1q1pp2p/pn6/R7/BP1N2P1/P2QPPBP/3R2K1 w - -,a3b2
r3k2r/p4ppp/Bpb1pn2/1Nb4q/8/P4P2/1P2Q1PP/R1BR3K b k -,e8g8
4br2/1q2ppbk/p1r2npp/2P5/1P6/2BB1N1P/R1Q2PP1/4R1K1 b - b3,f6d5
2q2nk1/2r2pp1/p2p4/Pp1PpPP1/1P1bQ3/6P1/R2BB1K1/8 w - -,e2d3
3n3r/k3npqr/4pR2/pp1pP1pP/b1pP2P1/P1P1N3/2PB1QB1/5RK1 w - -,d2c1
r3kb1r/pp1n1ppp/1qpp1n2/8/3NP3/3BQ2P/PPP2PP1/R1B2RK1 b kq -,e8c8
r2qkb1r/pp3pp1/2n1p2n/3pP3/1Pp2Pb1/2P3P1/P2PN1B1/RNB1QRK1 b kq b3,a7a5
r1b1qrk1/ppp2pbp/n2p1np1/4p3/2PPP3/2N1BN2/PP2BPPP/R2Q1RK1 w - -,h2h3:d4e5
8/p6p/3rk1p1/P1p2p2/2Kb1P2/6P1/3B3P/1R6 w - -,d2c3
3rr1k1/pq3p1p/2p2bp1/3b4/nP6/P1pBB2P/2P1NPP1/R1Q1R1K1 w - -,e3g5
8/8/1K4p1/6r1/p7/2k5/8/R7 b - -,g5g4
8/8/1pp2k2/p7/P2PK3/1P6/8/8 b - -,f6e6
5r2/1k2p1b1/1p5p/2p1P1pP/1p5n/4N3/PP3PPB/1K1rR3 w - -,e1d1
5rk1/7p/8/p1P5/3R2P1/1P3b2/P7/6K1 w - -,b3b4
4Q3/1p6/6p1/p1kP2P1/P4K2/8/8/5n1q w - -,e8e7
r1b2rk1/pp4pp/1q3n2/3p4/8/2bB2N1/PP3PPP/2RQ1RK1 w - -,b2c3
r1bqkbnr/1pp1pppp/p1np4/8/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq -,b1c3
r2q1rk1/1p2bppp/p1npn3/4p3/1PP3PP/P2BP3/1BN2P2/R2QK2R w KQ -,d1f3
8/5bk1/5p2/2p3pq/1p2R3/1P2Q3/5PPK/8 w - -,h2g1
1r1q1r1k/2bnn1pp/4p1b1/p2p4/3P1p2/1PP3PP/Q2N1PB1/R1B1RNK1 w - -,g3g4
5r1k/1pR5/p4nBp/3PpP2/3bPq2/6N1/PP2Q2P/7K w - -,h1g2
r3kb1r/pppb2pp/4pn2/5B2/3P3q/6N1/PPP1QP1P/R1B1K2R w KQkq -,f5e6
8/pr3k1p/4bb2/P1Q1pp2/2P5/1P1B1P2/2K4P/8 w - -,c5c6
rn1q1rk1/p1pn1p1p/1p2p1pQ/3pP3/8/1P1bP3/PBPN1PPP/R4RK1 w - -,c2d3
7k/1p4p1/2n4p/p1P2p2/P7/b2PN1P1/4K1BP/8 b - -,c6d4
rnb1k2r/pp1ppp1p/6p1/2q5/2P1P1n1/2P2N2/P3BPPP/R1BQ1RK1 b kq -,e8g8
8/8/5B2/4p2k/4K2P/r1p2P2/3P4/8 w - -,d2c3
8/5pk1/1p2p3/4P3/2R3p1/P3R1P1/5P1K/1q6 b - -,b1h7
r1nq1rk1/3bppbp/p2p1np1/P1pP4/2N1P3/2N1B3/1P2BPPP/R2Q1RK1 b - -,d7b5
2r2rk1/1b2ppb1/5np1/p3B1N1/qp2P2P/2P2P2/2P1BQ2/1NKR2R1 w - -,f2d4
3R2k1/2N2n1p/1R3pp1/8/PP6/1b6/5PPP/6K1 b - -,f7d8
8/1k2p3/p1p5/1p1pn1R1/3P4/PP4P1/2P4r/2K5 w - -,g5e5
4rk2/p3b1p1/2p2p2/4p2P/1pP1N1P1/1P2P3/P7/3K3R b - -,f8f7
r3kbnr/pp1q1ppp/2np4/2p1p3/4P3/5N2/PPPPQPPP/RNB2RK1 w kq e6,c2c3
8/1p1b4/5Pk1/3pK3/p5p1/P3B1P1/1P6/8 w - -,e3d4
r3rbk1/1p3ppp/2n2n2/p1q1p3/2P3P1/PP1Q1P2/1B1N2BP/R4RK1 w - -,g1h1
5rk1/7q/2N1pr2/1PQ3p1/3P1nPp/4pP2/P7/4RRK1 b - -,e3e2
r1b1k2r/ppq2ppp/2nbpn2/2pp4/3P4/1P1BPN2/PBP2PPP/RN1Q1RK1 w kq -,d4c5:b1d2:c2c4
r5kr/1q3p2/3p1Pp1/2p1n1Qp/3bP3/2N3BP/bP2B1P1/4RR1K w - -,c3a2
b4bk1/5p2/p1N1p1p1/Np1nP1P1/1P1B1P2/P2P4/5K2/8 w - -,f2g3
1K3Bk1/P5P1/7p/7P/8/8/8/7b b - -,h1g2
rnbqk2r/ppp2ppp/4pn2/3p4/2PP4/4PN2/PP1Q1PPP/RN2KB1R b KQkq -,e8g8
r5r1/1p2bp2/2kpb2p/1p4p1/3B4/1PP2P2/1R3NPP/4R1K1 w - -,f2d3
8/1R4pp/3k1p2/8/2BPP3/5KP1/2r4P/8 b - -,c2c4
8/8/p1P3pk/3B3b/3R3P/5p2/P3rK2/8 w - -,f2f1
1r4k1/5pp1/p2rp1p1/1p1pRn2/1N1P4/P1P2P2/1P4PP/4R1K1 w - -,e1a1
5r2/3k1p1R/4pPp1/pp1bP3/4p3/P1P1K3/1P4PP/3R4 b - -,a5a4
k6r/pp1bn3/4p3/q2pPpN1/2pn4/P1P5/2PKB1PP/R2Q3R w - -,g5f3
r1b2rk1/p1q3pp/npn1pB2/2p5/2P5/PP1P1NP1/3NQ1BP/R3K2R b KQ -,g7f6
2rk2nr/p5Qp/4qpp1/3p4/3P4/B1P5/R4PPP/1N1K4 b - -,e6d7
3r2k1/5ppp/1p2nb2/p1q2Q2/3p4/P3PNP1/1P3P1P/3R1BK1 w - -,f5c5
2k4r/1pp1q1pp/p2p4/3Pp3/P1Q5/4PR2/1PP3PP/6K1 w - -,c4f1
8/2k5/1Np3p1/ppK2p2/7p/1P5P/6P1/8 b - -,g6g5
2r5/1k1q4/n3p3/p1pnP3/Pp1BQpP1/1P3B2/5PK1/3R4 w - -,d4b2
8/1p1qkpr1/p1rp2p1/P1pQp2p/4P2P/1RPP1R2/1P1K1PP1/8 w - -,d3d4
2kb4/1p1r1r1p/p2pb1p1/4p1P1/2P1B1PR/4B3/PP3P2/1KR5 w - -,f2f3
5k2/8/r7/6K1/5P2/p5P1/7R/8 w - -,h2a2
R7/P7/6pp/5p1k/4pP2/4P2P/r4PK1/8 b - -,a2a1
1rb2rk1/2q1ppbp/2np1np1/ppp5/4P3/PBPP1N2/1P3PPP/R1BQRNK1 w - a6,f1e3
8/2p3p1/7p/3P1k2/p3r3/P1p2KP1/1R5P/8 w - -,b2b5
r4q1k/5p2/b1p1p1p1/p2n2Q1/3P3P/5RN1/PP3PP1/4R1K1 b - -,f8g7
rn1qkb1r/1p3ppp/p1p1pn2/3p4/2PP4/2N1PQ1P/PP3PP1/R1B1KB1R w KQkq -,f1d3
2k2r2/2rp1p1p/ppq3p1/3Q4/1PPR4/4P1P1/P4P1P/3R2K1 w - -,d5e5
r2r2k1/p2b1ppp/1p6/3NP1q1/3QP1P1/P5P1/1P4B1/5RK1 b - -,d7g4
8/8/rpkp4/3Rp2p/P1P1K2P/1P4P1/8/8 b - -,a6a8
4R3/p2k1pp1/8/1P6/PP2pr1P/5p2/5K2/8 w - -,e8a8
5bb1/4pk2/3p1p2/3P3P/1R2P1K1/8/8/8 b - -,g8h7
r2r2k1/1pp2ppp/pn2n3/4p3/4P1B1/P1N4P/1PP2PP1/2KR3R w - -,c3d5
6k1/2p5/4N1P1/3P4/1pK2p2/5P2/8/5r2 w - -,c4b4
8/3rBk2/1p1n2p1/pP2Rp2/P7/5K1P/8/8 w - -,e7d6
r3r1k1/1p1n1pb1/p2Q2p1/q1p3Pp/P1P1PP2/2N5/1P4P1/3RKB1R w K -,e1f2
8/3n2k1/6pp/2p1p3/2P1N1NP/5PP1/4BK2/r7 w - -,g4e3
1r1q1rk1/1p2bpp1/3p1nnp/pNpPpQ2/P1N1P3/1P4PP/2P2P2/2BRR1K1 w - -,h3h4
r2r1k2/p3b3/1p2bn1Q/1B6/1q1P1R2/8/1P4PP/3R2K1 b - -,f8g8
8/2p3p1/4r3/2B3pk/pP2p3/P1P2n1R/5P2/3K4 b - -,h5g4
3q1rk1/4ppbp/3p2p1/p1r2P2/1p6/4N3/PPPQ2PP/4RR1K w - -,e3d5
2r5/8/4p3/pk1br3/2pR4/P4P2/1PK4R/1N6 w - -,b1c3
r2q1rk1/p2nbpnp/2p1b1p1/1p1p4/3P2P1/2NBP2P/PPQ1NP1B/2KR3R w - b6,c1b1
rq5r/4bnkp/p2p1p2/3Pp1p1/2N3Pn/Q2RB3/PP2BP1P/1KR5 b - -,b8f8
4rr1k/2p2qb1/1p1p3p/pPnP1pP1/P1P1p3/4P2P/2B1Q1PB/4RRK1 b - -,h6g5
2r3k1/1b2pp1p/3pQ1p1/1p6/1R6/p2P1NP1/2r2PBP/3R2K1 b - -,f7e6
1r2r3/2q2pbk/p1npbnpp/4p3/PpN1P3/1P1PBN1P/1Q3PP1/1B1RR1K1 b - -,d6d5
r1b1rbk1/1pp2qp1/p1n1pnBp/3p4/3P1B2/2P1P2P/PPQN1PP1/R4RK1 b - -,f7e7
8/5p1p/8/p7/1k1p1pP1/2nK4/P6P/1N6 w - -,b1d2
5r2/pr5k/3p2pp/2pP1q2/1p2QpbP/3P4/PPP5/2K1RB1R w - -,e4c4
3R4/pq2p1bk/1p2P2p/2p1Q3/7N/2P3N1/PP3rP1/6K1 w - -,e5e3
2b1rbk1/1p1n2pp/2p5/4P3/3BB3/1NR3P1/4r2P/3R2K1 w - -,e4d3
1r6/3k1p1p/3p1p2/1N1p1N2/P7/1P2P1P1/4KP1P/n7 b - -,a1b3
7q/ppk2p1r/2pb4/3p2P1/P2NbPQ1/5R2/5KN1/3R4 b - -,d6c5
8/7p/ppr3k1/3R4/5K2/6P1/PP5P/8 b - -,b6b5
r1bqk2r/ppp1bppp/2nppn2/8/2PP4/1P2PN2/PB3PPP/RN1QKB1R b KQkq -,d6d5
r3k2r/1p1qbpp1/p1n4p/3n1bN1/2R1N3/P3B3/1P2BPPP/R4QK1 w kq -,g5f3
1r4k1/1p3pp1/2p2n1p/2Pb4/P4N1P/5PP1/6B1/4R2K w - -,g3g4
rnb1kb1r/pp1ppppp/8/2pP4/1q2NB2/2P5/P3PPPP/R2QKBNR b KQkq -,b4e4
4R3/1p3pp1/1r3k1p/p2p1n2/3P4/PP3P1P/2NK2P1/8 w - -,d2c3
r7/5k2/p5pp/1b1p4/1PpB1rP1/2P1R2P/R4P2/6K1 w - -,f2f3
1q4rk/4p2p/2Qp2r1/2pPp3/2N1Pb2/PP3RPR/5PK1/8 b - -,h8g7
r5k1/1bp1R3/p7/1p4Np/3N1n2/2Pn4/Pr3PPP/5RK1 b - -,a8f8
8/R4pk1/4n2p/6p1/6PP/6P1/1r3NK1/8 w - -,a7d7
1r3rk1/pp2npbp/4b1p1/4p3/QP1q4/2NPN1P1/2R1PPBP/5RK1 b - -,f8d8
r1bq1rk1/1p2npbp/3p2p1/2p1p3/p1Pn4/P1N1N1P1/1P1PPPBP/1RBQ1RK1 w - -,d2d3
r2r4/4k2p/8/4PP2/2pp2P1/3b1N2/5K1P/R2R4 b - -,a8a1
2R5/5pkp/6p1/3p4/3P4/q3P2P/4BPP1/6K1 w - -,g2g3
1r1r2k1/2b1qppn/2p4p/2Pp4/1P3Pb1/2N1P3/2Q4P/1RBR1BK1 w - -,f1e2
r1bqk2r/pp2nppp/2nb4/1B1p2B1/8/1N3N2/PPP2PPP/R2QK2R w KQkq -,g5h4:e1g1
8/4k3/7R/4p3/4P1K1/5P2/8/1r6 b - -,b1f1
8/5p1k/5Bp1/3b1n1p/1P1P4/3B3P/5RPK/r7 b - -,f5d4
rnbqrbk1/pp3ppp/3p1n2/2p5/3NPP2/2N2B2/PPP3PP/R1BQ1RK1 w - c6,d4e2:d4b5
2r3k1/5bpp/5q2/2p1r3/p4P2/6PP/1B4BK/4Q3 w - -,b2e5
1k1q2rr/1pp2pb1/p3b3/3pB1P1/3P1Q1p/1P5P/P1P5/1K2RB1R w - -,f1d3
rn1qk2r/pbpp1pbp/1p2pnp1/8/2P5/2N2NP1/PP1PPPBP/R1BQR1K1 b kq -,f6e4
1r6/Q5k1/R2p1r2/1p1Ppqp1/1Pp4p/2P2P1P/5BP1/6K1 b - -,g7g6
4k2r/1pR2p2/4p1pp/1q1B4/3b1B2/3P2P1/3QPP1P/6K1 b k -,e6d5
1r4k1/R4pp1/4p2p/3nP3/2N5/1P1Q3P/5PK1/8 b - -,d5f4
r1b2rk1/ppp1qppp/2n1p3/2n1P3/2P5/5N2/PPBN1PPP/R2QK2R w KQ -,a2a3
r1b2rk1/1pq2pp1/p2p1n1p/3Npn2/2P5/2P1B1P1/P2QPPBP/R4RK1 b - -,f6d5
rn3rk1/pbp1qpp1/1p2p2p/3n4/3P4/2N1PN2/PP2BPPP/2RQK2R b K -,f8c8
r1b2rk1/pp2bppp/2pp1n2/q3n3/3NP3/2N1B1QP/PPP2PP1/2KR1B1R w - -,f2f4
2r1k2r/pp2bpp1/1n2pnp1/1N1p4/3P4/4PPP1/PP1B3P/2R1KB1R w Kk -,c1c8
8/4k1n1/3p2pp/2pP1p2/2P2PP1/7P/1b2KB2/3B4 b - -,b2c3
6k1/8/p4KPP/Pp6/1P6/8/2b5/8 w - -,g6g7
8/5pkp/4p1p1/3p4/p7/2nNP1PB/2N2PKP/1r6 b - -,c3b5
r2qk2r/1pp3pp/p2p1n2/4p3/P1BbP1b1/R7/1PP1QPPP/1NB2RK1 w kq -,e2d3
rnbqkb1r/1p1p1ppp/p3pn2/8/3NP3/3BB3/PPP2PPP/RN1QK2R b KQkq -,b8c6:d7d6:d8c7
r1b1k2r/pp3p2/4p2n/3pP1Np/2pB3P/P1q3P1/4RPQ1/4R1K1 b kq -,c3d4
2r3k1/p4ppp/4p3/1r1pN3/1n6/8/1P4PP/2K1RB1R w - -,c1d1
2r2rk1/1p2bpp1/p2pbn1p/q3p3/P1P1P3/BPNQ1N1P/5PP1/R4RK1 w - -,f1d1
r4k1r/6p1/2R1Q2p/p2pP3/2P1q3/8/3B1PPP/4K2R w K -,d2e3
1r6/p1r3p1/2Pk1p1p/Rp1Pp3/1RP2P2/6PP/3K4/8 b - -,e5f4
5rk1/3R2pp/1p2Np2/p7/2r4B/P1n1Pb2/6PP/6K1 b - -,f3d5
1r1q1rk1/p2n1ppp/4pn2/Q2p4/2bP4/2N2NP1/1P2PP1P/R1R2BK1 w - -,f3d2
8/pp2N1k1/8/7p/1K2R1nP/1BP3b1/P4r2/8 w - -,b3e6
5rk1/1pr1pp1p/p5pn/2P2b2/1P3N2/n1N4P/P3BPP1/R3K2R w KQ -,e1g1
8/8/3k1p2/nP2pp1p/1K3P2/5NP1/7P/8 b - -,a5b7
r1bq1rk1/pppnbppp/4p3/2P5/3PpB2/4PN2/PP3PPP/R2QKB1R w KQ -,f3e5
r1b2rk1/pp2R1pp/3p1p2/bPpP3Q/P1N5/8/5PPP/6K1 b - -,a5d8
