8/5p2/p2R1p1k/1p5p/1P5P/r2p2PK/8/8 w - -,d6f6
1n3rk1/p6p/3p4/2qbnp2/4p3/2Q5/PP2PPPP/1K1R1B1R w - -,c3c5
8/1p3R1p/1q5k/5rp1/4pnQ1/7P/6PK/8 w - -,g4f5
8/2k5/1pn1p3/3p1p2/1p1P1P2/PPK1P3/8/4N3 w - -,a3b4
r1bqk2r/ppp2ppp/2nb1n2/4p3/2Pp4/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,e2e3:b1a3:c1g5
1q1r2n1/6kp/1p2bp2/1Pp5/4NP2/5QP1/6BP/4R1K1 b - -,e6f5
4r1k1/3q3p/pp2ppp1/1b1p4/3P1BPP/Q1P2P2/P4RK1/8 w - -,a3b4
8/5p1p/p4p2/5k2/1K5P/P5P1/8/8 b - -,f5g4
7r/1kqrbp2/p2pp3/P5pp/Rp2PPn1/3B3Q/1P4PP/5RBK b - -,d6d5
8/pp2k1p1/2p5/P1P1K1PB/2b1P3/2P5/8/8 b - -,c4e6
r2qr1k1/6bp/2p2p2/3pPp2/1n1P1Pn1/1P1N1R2/P2Q2B1/R5K1 w - -,d2b4
1r3r1k/1p2p1q1/p1p1Pn1p/2Q3p1/1P1R4/PB3PP1/3R2KP/8 w - -,c5e5
3rr3/1b3p2/3p1kp1/4p3/1ppP4/7R/PP3PPP/3RNK2 b - -,b7a6
4r3/2p5/p1Pp1k2/1p1P1BP1/1P3K2/P7/8/8 b - -,f6g7
r3k2r/1p1n1n2/pPB2b2/2BPp1qp/4Pp2/Q4P2/PP4P1/1K1R3R b - -,a8c8
2R5/8/3p2p1/2nP1pk1/1r1K3p/5B1P/6P1/8 w - -,d4c3
8/5p1k/1R3P1p/4K2P/6P1/8/8/4r3 w - -,e5d6:e5d5
rn1qk2r/ppp1bppp/8/3b4/2B2p2/5N2/PPPPQ1PP/R1B2RK1 b kq -,b8c6
3rr2k/3n2p1/pPq2n1p/P1p1p3/2Pp1pP1/3P1P2/3BR1BP/1R2Q1K1 w - -,h2h4
r2qk2r/bp3ppp/p1n1bn2/3p4/1P6/P1N2NP1/4PPBP/R1BQ1RK1 w kq -,c1g5
r5k1/ppp1qppp/4bn2/8/3Q4/2N3P1/PP2PPBP/R5K1 b - -,c7c6
2r2rk1/p4ppp/1p5R/4n3/1P4Q1/P5P1/1b2PPBP/R5K1 w - -,g4f5
3r2k1/6pp/p3p3/2b4q/1pN1PPn1/1P6/PBQ3PP/5R1K w - -,g2g3
5r2/3R1n1k/2p2Bp1/pp1p3p/3P1P2/2P4P/P5P1/6K1 w - -,d7c7
r6r/p1pk1n2/2pbpP2/8/4NB2/2P3Pp/PP2B2P/3R2K1 w - -,e2g4
rnbqkb1r/ppp1p1pp/3p1n2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq c3,g7g6:e7e6
r1b1k1nr/ppNp1p1p/2nQ2p1/q7/1NP1Pp2/8/PP3PPP/R3KB1R b KQkq -,e8d8
6k1/5p2/p6p/2rp4/3Nq1P1/R4R2/5QK1/4r3 w - -,a3e3
7B/2b2k2/1p1n1p2/pPpKpP1N/P6P/1P6/8/8 b - -,d6f5
4rrk1/2pb1pp1/pp1p3p/3Pn3/2P1PR2/3BN3/P1P3P1/4R1K1 w - -,e1b1
r1bqr1k1/b1p2pp1/p1np1n1p/P3p3/4P3/1BPP1N1P/5PP1/RNBQR1K1 w - -,b1d2
5rk1/R3bpp1/4p2p/2p5/8/1rP1PNP1/5PP1/5RK1 b - -,e7f6
1r6/1rqn1pk1/4p1p1/Rp1pP2p/7P/2P1Q1P1/1PB2PK1/R7 w - -,f2f4
r4k2/2qp1pp1/ppb1p3/7r/2P1PP1p/P1N1Q3/1P4PP/R4R1K w - -,h2h3
6k1/p6p/3qp3/8/8/7P/P4QK1/8 w - -,f2a7
r5k1/pp1rbpp1/2p1p2p/6q1/7P/2P3P1/PPB1QP2/R3R1K1 b - -,g5f6
3r4/1p3kp1/p1pnpp2/P5P1/1n1PP3/1N3PP1/1PKR3r/3R1B2 w - -,c2c1
r3k2r/pp2ppbp/n2p1np1/8/1q2P3/1NN1BP2/PP4PP/2RQK2R w Kkq -,e1g1
3q2k1/2n2ppp/1pr5/p1rpP3/P4P2/3B4/1P1R1QPP/3R2K1 w - -,h2h3
7k/1p4bp/2r5/P3p3/1PqpQ3/5P2/3R2P1/4B1K1 b - -,c4c1
4r1k1/2pq1ppp/ppnbrn2/4pQ2/4N3/PN1P2BP/1PP2PP1/3RR1K1 b - -,f6e4
2r3k1/3p1ppp/pr2pn2/8/R3P3/2NP4/1PK2PPP/7R b - -,d7d5
3b1rk1/3P1p1p/pp4p1/5n2/PP3Q2/3R4/2q1N1PP/5B1K w - -,e2c3
8/7k/3q3p/Q2P2P1/p7/2P4N/6P1/7K b - -,a4a3
r4rk1/p1ppqppp/bp2pn2/n5B1/2PP4/2PBPN2/P3QPPP/R4RK1 w - -,e3e4
8/5p2/2k5/5r2/PK6/5P2/8/2R5 b - -,c6b6
2r2nk1/6pp/3bpr2/p7/1qPP1p2/3Q3P/2R2PP1/3B1RBK b - -,c8d8
8/7p/4p1k1/4P3/p1RP2p1/r5P1/6K1/8 w - -,d4d5
8/8/5rN1/7p/5P1P/4K1k1/8/8 w - -,f4f5
7k/1p3n1p/p1p3p1/3p1N2/8/1PP1KP2/P5PP/8 w - -,f5g3
5R2/5p1k/2p2P1p/1p6/4NKP1/2p4r/7P/8 w - -,f8f7
r1bqk2r/4bppp/p2p1n2/1pp1p3/4P3/2P2N1P/PP1P1PP1/RNBQR1K1 b kq -,c8b7
r5k1/1p2bppp/r1p1p1b1/1p1n4/3PP3/1PN1B1P1/P1R2PBP/R5K1 w - -,c3d5
8/6pp/2p1np2/4p2P/p3P1P1/1kBK1P2/1P6/8 b - -,h7h6
2kr3r/1pp1nppp/p1b5/2p5/4P3/2N3N1/PPP2PPP/R4RK1 b - -,h7h5
3r2k1/p2q3p/4p1p1/1pB1P3/4Q3/2P4R/PPn3PP/7K w - -,e4c2
r3kb1r/pp3ppp/2nqpn2/8/3P2b1/2N1BN2/PP2BPPP/R2Q1RK1 b kq -,f8e7
8/p5k1/1p1b4/1PpB1K1P/P7/5p2/8/8 b - -,f3f2
r1b3kr/pp1p1pp1/3N2q1/3Q3p/8/6P1/PPP2P1P/R3R1K1 w - -,d6f7
5rk1/rb2np2/p3p1pP/1p2P3/8/P1N5/1PP1BP1R/2KR4 b - -,b7a8
2kr3r/ppq2pp1/2pbpn1p/7P/2PP4/5NP1/PP1BQP2/2KR3R w - -,c1b1
2R5/p4pkp/3r2p1/8/8/3N3P/P5P1/6K1 b - -,d6d3
2k5/3R4/1pB3p1/pPp1p1P1/2P5/1P6/5K1r/8 w - -,f2e3
1r1rbn1k/p6p/2nb1p2/2pp1N1P/8/P2P2P1/1P3PB1/R1B1R1K1 w - -,c1h6
2r1r1k1/ppq2ppp/8/2n5/3BP1P1/2P2P1P/P4K2/RQ5R b - -,e8d8
r2q1rk1/1p2ppbp/2p2np1/p2nNb2/P2P1B2/2N2B2/1PPQ1PPP/R2R2K1 w - -,f4g3
2rb2k1/q2b1ppp/pn1p1n2/1p1P4/4Pp2/PP2B3/N2NB1PP/1QR3K1 w - -,c1c8
rnbqk2r/pp3pbp/3p1np1/2pP4/4P3/2B5/PP3PPP/RN1QKBNR w KQkq -,f1d3
r2q1rk1/pp1bppbp/2np1np1/8/3PP3/P1N1BN1P/1P1QBPP1/R4RK1 b - -,c6a5
r3r1k1/pp1b1ppp/1n1b4/4p3/4P1P1/1P3N2/PB1PBP1P/2R1K1R1 b - g3,a7a5
8/6R1/p4p1k/7p/8/5PR1/q5K1/8 w - -,g2h1
r2qk2r/pp3ppp/2nbpn2/3p4/3P1Bb1/2P2N2/PP1NBPPP/R2QK2R w KQkq -,f3e5
r1bqkb1r/ppp3pp/2n5/4pp2/1n6/1PN1P3/PB1P1PPP/RQ2KBNR w KQkq f6,a2a3
2r2rk1/pp2ppbp/2npq1p1/8/2P1P3/2N1N3/PP1Q1PPP/3RR1K1 b - -,a7a6
5k2/5n1p/6p1/PB6/7P/1N2R1BK/rb6/8 b - -,g6g5
8/5pk1/8/q4B1p/1p2P2P/1Ppr2P1/P3QP2/6K1 w - -,e2d3
2k5/5N2/8/3n1K2/4N1P1/5P2/8/8 b - g3,c8d7
r1bqk2r/1p2bppp/p1np1n2/4p3/2B1P3/2N1B3/PPP2PPP/RN1QK2R w KQkq -,c3d5
8/8/p6p/kp4r1/3KR1P1/P7/5P2/8 w - -,d4d3
5q2/1pp3pk/1p1p3p/nPnP1r2/2P2BP1/5RKP/P3Q3/8 w - -,g4f5
R7/4p1kp/1p3bp1/1r1n4/3B1q2/5P2/5Q1P/2R4K w - -,d4f6
r2r2k1/p3qpp1/2p2b2/Q1p1Pb2/2P4p/1P3P1P/P2BR1B1/2KR4 b - -,e7e6
r1b1q2k/p4Qpp/2pp4/2p1p3/8/NP1P2P1/P1P3PP/5RK1 b - -,c8e6
3rkbnr/1pp3pp/p1p5/4p3/4P1b1/5N2/PPPN1PPP/R1BR2K1 w k -,d1e1
4r3/8/8/8/2kn3R/P7/KP6/8 w - -,h4h2
3rr1k1/4qpnp/2pb2p1/pp1p4/1P1PnPP1/P2QPN1P/4NB2/1RR3K1 b - -,e4f2
3r3k/6pp/Q7/3pBqP1/1p5P/1P1R1r2/2P5/1K2R3 b - -,f3f2
r2q1rk1/p2npp2/1p3bp1/2p3p1/5P2/2N2QP1/PPP3KP/R1BR4 b - -,f6c3
1k6/1pp4p/pb1p2p1/3P2r1/P1B2P2/1R6/1PP4P/5K2 b - -,g5g1
4r1k1/6bp/1p4p1/p1p5/4Q3/P1NP1NPb/1P2P2P/4K3 b - -,e8e4
8/8/p3k2N/1pb1p1p1/4p3/1P5P/P3KP2/8 w - -,h6g4
r1b2r2/2p1q1bk/3p1npp/p2Pp3/P3P3/2P1N1N1/2B2PP1/1R1QR1K1 b - -,h6h5
6k1/p3bp2/r7/2p1P3/2R1K3/4B3/r1R3PP/8 w - -,e3c5
3r2k1/5pb1/1p1q2p1/p2p3p/P2P4/1P1QN2P/5PP1/3R2K1 w - h6,h3h4
rnbqk2r/pp4pp/2pb1n2/3p1p2/2PPp3/BP2P3/P2NBPPP/RN1QK2R b KQkq -,f5f4
r1bqr1k1/1p3pp1/1npb1p1p/p7/3PN3/P2BP3/1PQ1NPPP/2R1K2R b K -,d6f8
r1b1k2r/1p3ppp/2n1p3/2q3N1/p1P5/P2B4/1P1Q1PPP/R4RK1 w kq -,f1e1
r4b1r/p2k1ppp/2N5/3p4/8/P3P3/1n1NKPPP/R6R w - -,c6b4
2r5/2rnqbk1/p1p2b1p/Pp1p1pp1/1P1P3P/2RNPNP1/5PB1/1R1Q2K1 w - -,h4g5
8/5p2/5p2/p1K4p/1p4k1/6P1/PP5P/8 b - -,g4h3
2r3k1/3b3p/r2p2pb/1p1Pp3/4pn2/2N2P1P/P1R2BP1/1R3BK1 w - -,f3e4
8/2pr4/pp2pkbp/8/1P5R/4N1P1/P1PK3P/8 w - -,d2c1
r4rk1/pp1b4/2pp2q1/4b2p/1PP3pP/3QP1N1/P3BPP1/2R2RK1 b - -,g6h6
r6r/pp1b1kb1/2n1ppp1/3p3p/1P3P1P/2BB1N2/P1P3P1/R4RK1 b - b3,c6e7
rn2k2r/ppp2pp1/4pnp1/q7/1bBP4/2N5/PPPB1PPP/R2QK2R w KQkq -,a2a3
2k2r2/p2r2pp/1p2b3/3np1B1/8/2P3P1/PP4KP/2N1R2R b - -,h7h6
5R2/8/8/8/4B3/4rP2/6r1/3K2k1 b - -,g1f1
8/1R3p2/p3rk1p/r4p1P/8/2R5/1P3P2/5K2 w - -,f2f4
3r1rk1/p3bp2/4p2p/1p3p2/B3b3/P4N2/1PP2PPP/3RR1K1 w - -,a4b3
3rr1k1/1p2b1np/2q2p2/3p2p1/p2B2P1/P1P2NP1/1P1Q1P2/3RR1K1 w - -,g1g2
8/R7/6nk/1P5p/P6P/1r6/5K2/8 b - -,g6h4
r2qkb1r/pp1bpppp/2np1n2/2p5/2B1PP2/2N2N2/PPPP2PP/R1BQK2R b KQkq -,d7g4
1rq2bk1/1r3pp1/p6p/R2P4/QPb1p1n1/7P/2PB1PP1/1R1N2K1 w - -,h3g4
5k2/p5p1/1pq2p1p/2b1p2P/2Pr4/1P2B1P1/P3QP2/4R1K1 b - -,d4d6
3n1k2/8/1p2bpp1/2p5/1P3PP1/5BK1/P4B2/8 b - -,e6a2
r1bqkb1r/5ppp/2np4/p2np3/1pP1P3/4B3/PPN2PPP/R2QKB1R w KQkq -,d1d5
r2qk2r/pp1n1pp1/2pbpn1p/3p1b2/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w kq -,b1d2
r7/p1p2k2/1pPp1q1Q/3Pp3/PP1n4/8/5PPP/5RK1 w - -,h6h7
1r2r1k1/3R3p/6p1/1pp1Pp1n/4nPP1/1P2B2P/P1N1N1K1/8 b - -,h5g7
1R6/4kp2/4p1p1/p1q1P2p/1b3PnP/6P1/4Q1B1/7K b - -,g4f2
4r1k1/pp3p2/3p3p/3P2p1/3q4/1P5P/P2R1PPK/8 w - -,d2d4
1rq4r/p1p2pk1/3bbn1p/2p1N1p1/8/2PB3P/PPQ1RPPB/4R1K1 w - -,c3c4
Q3r3/4n1kp/3n2p1/1PP2b2/5P2/6P1/4PK1P/8 w - -,a8a1
8/8/3k3p/1p1n1B2/2pK2PP/2P5/1P6/8 w - -,g4g5
r1r3k1/1b1n2pp/1pp1pn2/p2pNp2/2PP1P2/1P6/P2NPPBP/R4RK1 w - -,f1c1
8/4n3/8/3p4/2k5/4K3/8/B7 w - -,a1h8
6k1/6p1/7p/5B2/5P2/p2KP3/7P/2r5 w - -,d3d2
2q3k1/3bp3/p2p2p1/1pn1b1Pp/3NP3/2P1B3/P1P3QP/4R2K b - -,c5a4
1rb2r1k/pp2b1pp/8/2NBpp2/8/P3P1P1/1P3P1P/2RR2K1 b - -,f5f4
r2r2k1/4ppbp/pq4p1/Rp1n4/3PQB2/2PN3P/1P3PP1/R5K1 b - -,e7e6
r1bq1rk1/2pp1ppp/1pp5/8/4P1n1/2N4P/PPPQ1PP1/2KR1B1R b - -,g4f6
2b2r2/5rk1/p2p2pq/P1pPppbp/1pP1P3/1P1Q1PPP/5NBK/R4R2 w - -,a1a2
1rr3k1/5pb1/4q1pp/4p2n/2N5/B3PP2/P3QP1P/2R3RK w - -,a3d6
r1bqk1nr/1pp3pp/p1nb1p2/1B1pp3/2P5/1P2PN2/PB1P1PPP/RN1QK2R w KQkq -,c4d5:b5a4
k5r1/p7/Pp1bp1b1/3p4/2pP4/2P2B2/2P1NKP1/R6r w - -,a1h1
2rq1rk1/pp2bppp/1n2p2n/4P3/bP1P4/P2B1N2/1B3PPP/RN1Q1RK1 w - -,d1e2
r1bqr1k1/pp3ppp/3b1n2/3pn3/1P6/P4NP1/1B1NPPBP/R2Q1RK1 w - -,f3e5
1k1r1b1r/pp3Q1p/nq1P2p1/4P3/8/P1N2P2/1P5P/2KR1B1R w - -,f1a6
2rq1rk1/1p2bppp/p2np1b1/3p4/P2n1B2/2P5/1P1NBPPP/R2QRNK1 w - -,c3d4
r2q1r2/pp1bbpk1/3p2p1/3P2n1/4NB2/P1NQ4/1PP5/2KR3R b - -,f7f6
r5k1/q3nppp/2p5/1pP5/3Rp3/1PB4P/P1Q2PP1/1K6 b - -,e7d5
6k1/6p1/7p/1p1qp3/1P1nQ3/P4rP1/5N1P/3R2K1 b - -,d5e4
r1b2rk1/1p2qppn/p3p2p/4P3/3NR3/1B6/PPP3PP/R2Q2K1 b - -,b7b5
2rq1rk1/1p2ppbp/3p1np1/p7/PnbNPP2/2N1BB2/1PP2RPP/R2Q2K1 b - -,f6d7
1rbqr1k1/3nbppp/3p1n2/2pPp3/4P3/1PN5/2BNQPPP/R1B2RK1 b - -,d7b6
2rqr1k1/p5bp/1pb1ppp1/3n1n2/3PN3/PB1Q2B1/1PR1NPPP/3R2K1 b - -,d8d7
r4rk1/1b1nbppp/p3pn2/q5B1/1p1P4/3B1N2/PP2QPPP/1N1RR1K1 w - -,f3e5
rnbqkb1r/6pp/2p1pp2/p2n4/P1pP4/1p3NP1/1P2PPBP/RNBQ1RK1 w kq a6,e2e4
r2q1rk1/1B3p2/p5pb/3pp3/1p1n2P1/4N1N1/PPPn1P1P/R2QR1K1 w - -,b7d5
r3kb1r/pp2pp1p/2n2p2/3Q4/2pP4/2P1PN2/Pq3PPP/RN2KB1R b KQkq -,b2a1
6k1/5p2/6pp/8/2P1b3/R6P/1r4P1/5RK1 w - -,f1f2
r2qr1k1/pppnbppp/2bp4/8/3BP3/1PN3P1/P1PQ1PBP/R4RK1 w - -,f1d1
r1bqk2r/3n1p1p/3p2p1/p5b1/1p1QP3/1N6/PPP2PBP/R1B2RK1 b kq -,e8g8
r1bqnrk1/pp2bpp1/4p2p/1NP1n3/2Pp4/6P1/PP1NQPBP/R1B2RK1 b - -,f7f6
r1b1r1k1/1p3pbp/3p1np1/q3p3/p1PBPP2/2N5/PP1QB1PP/3R1RK1 w - e6,f4e5
rn1qkb1r/pbp2ppp/1p2pn2/3P4/8/1P1P1N2/PB2PPPP/RN1QKB1R b KQkq -,e6d5
4r1k1/ppp2pbp/4n1p1/4p1P1/4P3/4BN2/PPPR1P1P/2K5 b - -,b7b6
3n4/1pr1pk2/p1pb2p1/P2p1p2/5PPP/1R2P3/1P3K2/2R2B2 b - h3,d8e6
2br3k/5pqp/2p2Np1/P2pP3/5Q2/3BR3/P1P3PP/1r4K1 w - -,g1f2
5r1k/6b1/3R3p/1Q4p1/2p5/4p2P/2q3PK/8 b - -,e3e2
8/8/6kp/1p6/1P3RPP/6K1/1r6/8 b - -,b2b3
1r2r1k1/q3ppbp/pN1p2p1/PbpP2B1/2BnP3/8/1P1Q1PPP/1R2R1K1 b - -,b5c4
3rr1k1/pp3ppp/2p5/P1bpn2q/1P1N4/2NQ4/B1PBR3/5RK1 w - -,e2e5
8/1b1r1kp1/pn3p1p/1pR5/4PB2/1P3P2/P1B2KPP/8 w - -,f2e3
r2q1rk1/pb2bpp1/1pnp3p/2p5/5P2/P1N2NP1/1PQR1PBP/R5K1 w - -,a1d1
5k2/pr2bpp1/4p2p/8/1P6/2r1B2P/P4PP1/1R3RK1 w - -,f1c1
r3k2r/5pbp/p5p1/1p1q1P2/1Q2n3/8/PP4PP/RNB2RK1 w kq -,c1e3
r1b2rk1/p4pbp/1p1q2p1/n1p3B1/4PP2/2PB4/P2QN1PP/R4RK1 w - -,e4e5
2rq2k1/1b1r1pp1/p1p1pb1p/7P/Pp1P4/2NBP3/1P2QPP1/R2R2K1 w - -,c3e4
4r1k1/p4rpp/b1p5/3p4/6Q1/P3PP2/1q1B1P1P/2R1K1R1 w - -,g4b4
7k/5pb1/4b2p/1P1p1p2/5Q2/3B3P/1qN2KP1/8 b - -,b2e5
r3nrk1/pp1n1pbp/2ppb1p1/7q/2P1P3/PPNQB1PP/2N2PB1/R4RK1 w - -,g3g4
r4rk1/3qb1pp/8/ppppP3/3P4/5P2/PPRB1P1P/3Q1R1K w - c6,d4c5
1qr1r2k/1bn1nppp/pp1p4/3P2P1/2PN2Q1/1P6/P4BBP/2R1R1K1 w - -,d4f5
1q6/5nk1/P1p3p1/8/P3Q2P/7P/6B1/7K b - -,f7e5
8/3k4/7K/8/8/1PR5/r7/8 b - -,a2g2
8/N2b4/8/1Pk3Kp/8/8/4B3/8 w - -,g5f6
r3k2r/pbqp1p1p/p4pp1/2P5/1Q2P3/2P2N2/P1P2PPP/R3K2R w KQkq -,e1g1
r2qkb1r/1b1p1ppp/ppn1pB2/1Np5/2P5/1P2PN2/P2P1PPP/R2QKB1R b KQkq -,g7f6
1r1q1r2/3b2k1/4np2/p1pN2pQ/2Pp4/1P3NP1/P4PK1/3RR3 w - -,e1h1
2r1nrk1/1p1q2pp/pbbpp3/P3Pp2/2P2P2/2N5/1PQ1B1PP/3R1R1K w - -,a5b6
5r1k/6p1/1Np1Qb1p/2r1p3/4P3/3q2P1/4RP1P/1R4K1 w - -,e2e1
r1b1k2r/2qn2p1/p2bpnBp/1pp5/P2P4/5N2/1PP2PPP/R1BQ1RK1 b kq -,e8f8
6k1/p4p1p/6p1/4P3/1P6/PR4P1/3r2P1/7K b - -,d2e2
6k1/3n1pbp/6p1/4p1P1/1Pp1P3/4RNP1/rPB2PK1/8 w - -,e3c3
6k1/r4r1p/PR2p1p1/3p1p2/3P3P/8/2P2PP1/R5K1 b - -,f7e7
r1b1k2r/pp2bppp/2n1p3/8/3N2P1/4BB2/PPPq1P1P/R3K2R w KQkq -,e1d2
6k1/1p1b3p/1r1n1r2/2pPqp2/p1PbpN2/6P1/PP1Q2KP/1R1NRB2 b - -,d6f7
