8/1K6/1p1p4/3P4/P2bP1k1/1P6/8/8 b - -,g4f4
1r6/p1rn1pk1/4p1p1/n2p3p/Nq1P3P/RP2P1P1/Q4PK1/3R1B2 b - -,c7b7
r2r2k1/pp1b1pbp/3pp1p1/q1p5/3BPP2/P2P2P1/1PP1QNBP/1R3R1K b - -,g7d4
2Qq1rk1/pp2bppp/8/3Np3/3P4/Pn3N2/1Pb2PPP/R1B1R1K1 b - -,d8d5
1r2bk2/1p5p/prpNp1p1/R3Pp2/1P1P1P2/2P1K1R1/1P5P/8 w - -,e3d3
r1bqkbnr/ppp3pp/8/3pnpP1/8/7P/PPP1PP2/RNBQKBNR w KQkq -,f1g2
3r2k1/pp3p1p/1n1P2p1/4b3/8/BP5P/P3K1P1/3R4 w - -,a3c5
4n1k1/pp1q2p1/2p2pp1/2R5/5B1P/6P1/PP3P2/K3R3 b - -,e8c7
r1b1kb1r/ppqppp1p/6p1/1B1P4/3p4/8/PPPP1PPP/R1BQ1RK1 w kq -,f1e1
4k1r1/1bp5/1p1p2Pp/1P1P1p2/r1PB1P2/1q2P2R/5Q1K/6R1 w - -,e3e4
r3k2r/pp3p2/2p3pp/4P3/2P1P2q/3Q4/PP3Pb1/R2R2K1 w kq -,g1g2
1r3rk1/2qbpp1p/pp1n2p1/2pPp3/P1P1P3/1PNQ1B2/4RPPP/5RK1 b - -,b6b5
b4rk1/5ppp/pq2p3/2n1P3/2r5/8/1PPQN1PP/2BR1R1K b - -,c5e4
8/p5k1/2B2pp1/3Q1n1p/P2P2q1/2P5/5B2/6K1 w - -,d5g2
r4r2/1bq2pkp/p3p1p1/2pn4/2N1B3/2P3P1/PPQ2P1P/R3R1K1 b - -,a8e8
8/8/8/6Pq/5Q2/4PK2/2k5/8 w - -,f3g3
r5k1/p2pq1pp/bpp1pn2/4n3/2P5/bPN1B2Q/P1R1B1PP/4K2R w K -,e1g1
r1bq1rk1/1p1n1pbp/p2p2p1/3Pp2n/4P3/2N1BP2/PP1QB1PP/R1N1K2R b KQ -,f7f5
3nk3/p7/1p1BP2p/8/2q5/2P3PP/P3b1B1/4R1K1 w - -,e6e7
8/1R6/1p2pk2/8/3P4/1r2K3/8/8 w - -,e3f4
8/6kp/5pp1/N1n1p3/4P3/1p2KPPP/1Nn5/8 w - -,e3d2
r2q3k/pb3p1p/1pn3r1/4PN2/R2p4/3P2P1/1PP3BP/3Q1RK1 b - -,d8d7
8/4k3/1p5p/p1r2p1P/P6R/3n1BK1/5P2/8 w - -,h4d4
8/R5k1/5p2/8/8/1r6/5K2/8 b - -,g7g6
3r1rk1/1p1nbppp/q7/p1pP1P2/PnN5/1PN1B3/4Q1PP/3R1RK1 b - -,d7f6
r4rk1/1p1bp1bp/p1p5/2Pp1ppq/PP1PnP2/3BP2P/2Q1N1P1/1R2BRK1 b - -,g8h8
r3k3/4bpp1/p1b2n2/q3pB1r/7p/2N4Q/PPP3PP/3RR2K w q -,h3e3
2b2rk1/2q3bp/4p1p1/8/NrP5/p5P1/P1QR1PBP/5RK1 b - -,c7a5
2kr4/1bp1bp2/p1nqP2p/1p1B4/6r1/P1Q2N2/1P2NPP1/2RR2K1 b - -,d8g8
rnbq1rk1/pp2bppp/2p2n2/3p4/3P4/P1N1P1P1/1P2NPBP/R1BQK2R b KQ -,a7a5:c8f5:f8e8
2r5/p2n1p2/P3k1p1/1PpR3p/2P4P/4B3/4K1P1/8 w - -,e2d2
3r4/1PQn2kp/B2p1q2/1N1Pp3/5p2/8/1K4b1/2R5 w - -,c7d7
1r1q1rk1/p2b1ppp/5n2/2bpn3/3N4/2N1P3/PP3PPP/R1BQKB1R w KQ -,f1e2
2b2k1q/1p2r3/p1p4r/2PpPpQ1/P2P2P1/2KBP3/8/1R4R1 b - -,f5g4
r2q1rk1/pbp1bppp/np3n2/3p4/3P1B2/2N2NP1/PP2PPBP/R2QR1K1 b - -,c7c5
r1bq1r1k/pp4bp/1n1p2p1/2pP1p1n/4PP2/2NB4/PP2N1PP/R1BQ1RK1 w - -,e4f5
r3kb1r/1bq2pp1/8/p3PR1p/1pp5/3NB2P/PPPQ2P1/R5K1 w kq -,d3f4
1r6/1pr3p1/3k1n2/1R5p/2B1p3/2R5/2PP1PPP/6K1 w - -,b5b6
4R3/5k2/1p3r2/3P4/P1P2p2/1P2b1pP/6P1/5R1K b - -,f7e8
r2q1rk1/pp1b1pp1/4p2p/4P3/3p4/P1PBP3/4Q1PP/R4RK1 w - -,e3d4
1r1q2k1/pb3pb1/1p1Pr1p1/1NpQP3/P5p1/8/1P4PP/R1B1R1K1 w - -,d5c4
1nr2rk1/p1qnppbp/1p1p2p1/3P4/1PPN1P2/P5P1/6BP/B1RQ1RK1 b - f3,c7b7
rq3rk1/pb2bppp/1p2pn2/2n1p3/2PQ4/BPN2NP1/P4PBP/R2R2K1 w - -,d4e5
r5k1/6p1/4p2p/5p1P/1b1P4/5N2/pr1NKPP1/R7 w - -,e2d3
3r2k1/p4pbp/2p3p1/5q2/1P6/3rB1P1/Q4P1P/2RR2K1 w - -,d1d3
2r3k1/5p1p/3Q2p1/8/P1P2P2/7b/2r4P/1R1R2K1 b - -,c8c4
r1bqk2r/1p1n1pp1/2p2n1p/2Pp4/pb1Pp3/4P1PN/PP3PBP/RNBQ1RK1 w kq -,a2a3
8/3rb3/8/PP4pk/7p/1KB5/8/6R1 w - -,b5b6
r3k2r/1bqnbp2/pp1ppnp1/7p/2PNP3/1PNB4/PB2QPPP/2R2RK1 b kq -,d7e5
rnbqkb1r/1p3ppp/5n2/1P1pp3/p7/1QN1PN2/P2P1PPP/R1B1KB1R w KQkq -,c3a4
4rrk1/5p1p/3p2p1/pp1Pb1q1/8/P1pP1RPP/1P3QBK/1R6 w - -,b2c3
rn3rk1/5pp1/p2PbQ1p/1p1p4/3N1P1P/8/PPP3P1/2KR1B1R b - -,g7f6
8/2b5/8/5k2/8/3N2p1/6K1/8 w - -,d3f2
2k1r2r/p5p1/1pn4p/3Rpp2/R7/2P1BP2/P1P1K1PP/8 b - -,e8d8
r1b1k2r/pp1nqppp/2p5/3np3/4N3/1P2PN2/P1QPBPPP/R4RK1 w kq -,f1d1
2r5/Qp2q3/p2Rpk2/P1Pp1p1p/3P2p1/4P1P1/5PKP/8 w - -,d6b6
r4rk1/5p1p/b1q1pPp1/3n4/2p2P2/2B4P/2PNQ1PK/4RR2 w - -,e2f3
8/5k2/5b2/8/4p1Rp/5B1r/5K2/8 w - -,f3e4
r3kbnr/1pp3pp/p3bp2/2p5/4PB2/8/PPP1NPPP/R2NK2R b KQkq -,e8c8
2k1r1r1/Qp3p2/1npP1p2/7q/6b1/2P1B3/PP2BPPP/R3K2R b KQ -,b6d5
rn1qk2r/5ppb/2pbpn1p/p2pN3/PpPP2P1/1P2P3/NB3PBP/R2Q1RK1 b kq -,e8g8
r2r2k1/pp3pbp/4p1p1/8/8/1B2P3/PPP3PP/2KR3R w - -,c2c3
1rr3k1/p2n2p1/1p1P1p1p/4p3/q1P5/B4Q1P/P4PP1/2RR2K1 w - -,f3d5
8/5p1p/5kp1/pR2Rn2/5PP1/1P5P/P2r2K1/8 w - -,g2f3
r1b1k2r/1pppnppp/1b6/pP2Nq2/P7/2P5/3NBPPP/R1BQ1RK1 b kq -,f5e5
r1k5/pp1nbpp1/2p1r2p/4p3/P1N1P3/2N2PP1/1PP3P1/2KR3R b - a3,c8c7
2k5/7R/r7/8/8/1K6/2P5/8 w - -,c2c4
5rk1/p2B2p1/8/3p3q/3Pn3/1P1Q2B1/P5K1/8 b - -,f8f6
6k1/5ppp/3r4/4N3/6P1/P3Kb2/1PP4P/8 b - -,f3b7
r1bqk2r/pp2bppp/2n1p3/2p5/2BP1B2/2P2N2/P1P2PPP/R2Q1RK1 b kq -,e8g8
2rq1r1k/4np1p/1p2pp2/p2B4/6RP/P2Q1N2/1P3PP1/4R1K1 b - -,e7d5
rnb1kb1r/1p4pp/p2pp3/q7/3NQ3/2N1B3/P1P1B1PP/1R2K2R b Kkq -,a5c3
r1b2rk1/1pqn1pp1/p1p4p/4p3/PbPPB3/4BN2/1PQ2PPP/R2R2K1 b - -,e5d4
3r2k1/pp2N1b1/7p/5q2/7P/1P6/P5P1/5R1K b - -,g8h7
3r2kr/4bp1p/p1Q1b1nB/4p3/4NP2/8/PPP4P/5RK1 b - -,e5f4
4k3/3R4/1pr2bp1/p4p1p/P1PBp2P/1P2P1P1/6K1/8 w - -,d7b7
5k2/2b1N3/p7/P1p2pn1/2P5/7p/4R3/7K b - -,f5f4
2k1r2r/pppqBppp/2n5/3p1b2/3P4/2PB2QP/PP1N1PP1/R3K2R w KQ -,e1c1
rnbqk2r/pp3ppp/2pp1n2/2b5/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq -,d4b3
5b2/8/rB2b1k1/Pp1p1p1p/4pP2/2P3PP/1P1RK3/3R4 w - -,b2b4
4rk2/1p3pp1/r4bp1/p2p4/2N5/6PR/PP3PK1/5R2 w - -,c4a5
3r1rk1/ppq1bpp1/2p4p/P2n4/1nNP4/1P3QN1/5PPP/R1BR2K1 b - -,e7g5
2r5/5ppk/p7/3PRP2/8/1P3QP1/6K1/1q6 b - -,b1b2
r2qr1k1/1p3p1p/2pp3b/4n1pN/P3P3/1PB3Pb/2PQNP2/R3R2K b - -,h3g4
rn1q1rk1/pp2bppp/2p1pn2/3p4/3PPP2/2N2N2/PPP1Q1PP/R1B2R1K w - -,e4e5
b1r5/4npk1/pp2p1pp/8/P1PN1P2/1PN4P/6P1/2R2K2 w - -,g2g3
r1b1r1k1/ppp1qppp/5nn1/3p4/3P4/N1PB1P2/PP1QN1PP/R4RK1 b - -,e7e3
r7/p2rk2p/1b4p1/4Bp1P/1P3P2/P2p4/2R2P2/1K4R1 w - -,c2d2
8/5k2/1R3p1p/2P3p1/6P1/5P2/1p3KP1/1r6 w - -,f2g3
3Rrrk1/7p/8/4p3/5pPq/P4P2/3QP2P/2R3K1 w - -,d8e8
2r5/1p3k1p/p4nP1/3pq3/P6Q/3B3P/1P4P1/5R1K b - -,h7g6
r4rk1/pp2ppbp/2npbnp1/6Nq/4P3/2NBB2P/PPP1QPP1/R2R2K1 b - -,h5e2
3q1rk1/p4ppp/2B1bb2/1p1p4/3P1B2/8/PP3PPP/3QR1K1 w - -,c6b5
3r2k1/5pp1/pq1p3p/n1r1p3/1pP1P3/1P1R3P/P3QPPN/3R2K1 w - -,e2d2
8/7p/5pk1/p1N5/P1bp1P1P/8/5K2/8 w - -,c5b7
8/2p2k2/5p2/3P4/4QN2/1P4KP/r5B1/6q1 b - -,g1f2
r4rk1/5pbp/1qnppnp1/1p6/1P3P2/2NPPQP1/3BN2P/1R3RK1 w - -,g1h1
r1q2rk1/1p1bnpbp/p7/5p2/5B2/PNP2B2/2P1Q2P/3R1R1K b - -,e7g6
3q4/5pkp/1p2p1p1/pP3nP1/P2rN2P/7B/5Q2/4R1K1 w - -,h4h5
r3r1k1/1p1q1pbp/p2p2p1/2Pp1b2/1P1P4/B5P1/P2Q1PBP/2R1R1K1 b - -,f5e4
8/1b1k4/p4b2/8/1p1ppp2/2P2P2/PP4PP/2KR4 w - -,f3e4
5r2/7p/5pk1/1p1R4/8/2r3P1/P4R1P/6K1 b - -,b5b4
N1b2bk1/pp4r1/3p4/3Pp3/P3Pp1q/4QPp1/1PR3B1/2R3K1 b - -,f4e3
2r3k1/1p3ppp/1n2p3/1P2N3/Pp1Pp3/1B1bP3/1B3PPP/6K1 w - -,e5d3
r2k4/pp2ppB1/2p1b1p1/8/2PP2q1/1P2Q3/P4P2/2KR4 b - c3,a8c8
4r1k1/2qr1pbp/1p2p1p1/p1p5/2PnNP2/3PN1P1/PP4QP/3R1R1K w - -,g3g4
r1bq1rk1/1p2bppp/p3pn2/8/P1B2Q2/4PN2/1P1B1PPP/R2R2K1 b - -,c8d7
2kr1b1r/p1q2ppp/Ppp2n2/3n4/3P4/2N2B2/1P1B1PPP/R2Q1RK1 b - -,f8d6
2r5/1p3pk1/2p2qp1/4p2p/4P2P/1PP1QPP1/5K2/3R4 b - -,f6e6
r3kb1r/pppb1ppp/2n5/4p2n/1PBP3q/2P1BPN1/P3Q1PP/RN2K2R w KQkq -,e1g1
8/8/8/5k2/3q1p1Q/5P2/6P1/5K2 w - -,h4f2
4r3/8/5n2/1pNkp3/3p4/3P1KB1/r1P2R2/8 w - -,c5b3
r2qr1k1/1pp1bp1p/p1bp2p1/6Bn/1P2PP2/P1N5/2PQ2PP/3RRBK1 w - -,g5h6
r2qkb1r/pp3ppp/2p1pnbn/6N1/3P1B2/3B1N1P/PPP2PP1/R2Q1RK1 w kq -,f1e1
r1b2rk1/ppqpbppp/2n1p3/1Bp1P3/8/1Pn2N2/PBPP1PPP/R2QR1K1 w - -,b2c3
6k1/5pp1/pb1r3p/1p6/1Pp5/2B2PP1/1PP4P/4RK2 w - -,e1e8
r2r4/ppn2pkp/1np3p1/8/1PP1PP2/P1N3PP/6B1/2R2RK1 w - -,c4c5
2r1rnk1/pp5p/2q1pQ2/3pPp2/3P3P/PR6/1P3PP1/4R1K1 b - h3,c8c7
r1b2rk1/ppp2ppp/2n1p3/4P3/2P1n3/2P1BN2/P1K3PP/R4B1R b - -,f7f5
4rr2/pp3pkp/2pp2p1/3n4/3Pq1P1/1P6/1PPQ1PNP/2KR2R1 w - -,c2c4
1k1r4/p5pp/bp3p2/8/3NP3/P2pKPP1/1P1R3P/8 b - -,d8c8
8/5pp1/p5kp/R7/3K3P/4PPP1/8/5b2 b - -,f1e2
8/2r1pp1p/pp1p1kr1/3P1p2/P2R1P2/1P3KP1/2P4P/2R5 w - -,d4b4
8/5k2/3p2p1/8/2P2NR1/5KP1/r2b1P1P/8 w - -,h2h4
2r1rbk1/1p1nqpp1/p2p3p/P2Pn3/1PP1p3/2B1N2P/4BPP1/R2RQ1K1 w - -,d1d4
3r1rk1/pb1q1ppp/1pn1p3/2b5/2n1P3/P1P3PP/1PQ2P1N/R1B1RBK1 w - -,f1c4
2b5/8/p1k2p1p/3p1p2/1P1K4/3BPPP1/7P/8 w - -,d3e2
4r2k/p6p/8/2P1RQ2/1P6/P4p2/7P/3q2BK b - -,e8e5
1r2kb1r/p2n1p1p/bqn1p1p1/2ppP3/1p1P1P2/2PBBN2/PP2N1PP/R2Q1R1K w k -,g2g4
2bn4/4k1p1/1P6/K1NBP2p/8/6P1/8/8 w - -,a5b4
8/7p/6p1/3k1p2/2n5/4B2P/4KPP1/8 b - -,d5e4
3r2k1/5pp1/4bq2/pp1pR2p/2rP4/P1N2PP1/1P3Q1P/2R3K1 w - b6,c1e1
2r2rk1/5ppp/p1np1b2/q7/1p2P3/PB5P/1P3PP1/RN1QR1K1 w - -,b1d2
r3r1k1/1pp1qpbp/1nn1b1p1/p3p3/4N3/PP1PN1P1/1B2PPBP/1R1Q1RK1 w - -,b1c1
1rn1nbk1/1p1q1r2/3p4/Np1Pp1pp/1P2Pp2/3Q1P2/P4BPP/2R1NRK1 w - -,g1h1
3n1r1r/2pb2k1/1p1p1pp1/p1nPp3/P1P1P1PN/1PN1P1K1/2B4R/7R b - -,c5a6
N1bq1k1r/1p2bppp/1p2pn2/8/3P4/P7/1P2BPPP/R1Q2RK1 b - -,f6d5
8/2R2p1p/1p4pk/p1p5/7P/1B6/P3qPP1/5RK1 b - -,e2e5
r2qk2r/pp1bbppp/2nppn2/2p5/4P3/2P2NP1/PP1PQPBP/RNBR2K1 b kq -,a8c8
2r4r/4bk2/1n2p3/N1p1Pp2/PpP2P2/4B3/4P1K1/R6R b - -,h8h1
1qr2bk1/2r2ppp/pp1pp3/4n3/bPP1P3/PNR2P2/3Q1BPP/2R2BK1 w - -,b3d4
8/5k2/6N1/2K2PPp/p1P4P/P7/8/4n3 b - -,e1f3
2br2kb/p3pp1p/2np1npB/q2N2Q1/4P3/P2B1N1P/1r3PP1/2R1R1K1 b - -,f6d5
2k5/1p5p/p2p2pn/P2Pp3/1P2P2P/4K1P1/4B3/8 b - -,c8c7
5r1k/6q1/4Q3/8/3bN1p1/6Pp/5P1P/4RK2 w - -,e1d1
3R2k1/1pb2p2/2p1bp1p/p7/N1p2P2/P3P1P1/1P3KBP/8 b - -,c7d8
r6k/p5bp/1p3np1/q7/2N1pB2/6PP/P1Q1PP2/2R3K1 b - -,a5f5
4n3/7p/1pbk2p1/p2p4/1P1K4/P2B1PP1/4N2P/8 w - -,h2h4
r1q2rk1/1pbn1pp1/p1P1pn1p/2Pp1b2/P2P1B2/2N1PN1P/4BPP1/R2Q1RK1 b - -,b7c6
1r2rbk1/p1p2b1p/2p3p1/1p2p3/4P3/1PB3NP/P1P1RPP1/3R2K1 b - -,b8b6
3r1rk1/1pn1Nppp/2nq4/8/7Q/6P1/5PBP/2R1R1K1 b - -,c6e7
r1bq1r1k/pp4pp/2nb1n2/3p1p2/3P4/1QNBPN1P/PP1B1P2/R3K2R b KQ -,c6b4
r1bqr1k1/ppp1npbp/6p1/3Pp3/2n1P3/P1N2NP1/1P3PBP/R1BQ1RK1 w - -,d1e2
5rk1/1p3bp1/5bq1/1Np2p1p/4pP2/1P2P1PP/r5BK/1R2QR2 w - h6,f1f2
r1b2rk1/pp1n1ppp/2pb1q2/3p4/1P1P4/P1N1PN2/4BPPP/R2Q1RK1 b - b3,f6e7
rn1q2k1/pb1n1rbp/3P2p1/2p1p3/2B5/2N5/PP3PPP/R1BQR1K1 w - e6,c4f7
r2q1rk1/1p1bnpbp/p1np2p1/2p1p3/3PP3/2P1BN1P/PP3PP1/RN1QRBK1 b - -,e5d4
r1bqr1k1/1pp2pbp/p1np1np1/8/3BP3/1NN3PP/PPP2PB1/R2QR1K1 w - -,d4e3
rn2kb1r/1q1n2p1/pp2p2p/3pPp1N/Q2P3P/P6R/1P1B2P1/2R1KB2 w kq -,h3c3
r2q1rk1/pbn1ppbp/1p1p1np1/3P4/1P1NP3/1QN1BP1P/P3B1P1/R4RK1 w - -,a1c1
1Q3b2/4r1k1/4P1Pp/2p2K2/p1P3P1/P1P5/8/8 b - -,g7g8
1r2r1kb/pq3p1p/2bp1np1/2p1p3/2PnP3/1PNQB1PP/P4PBK/R2RN3 w - e6,g3g4
4r1k1/1p3p2/pn4pp/3p4/2NP1n2/2P1R3/PP1N1PP1/6K1 b - -,e8e3
4B3/1p6/3kp2p/p1r5/3p4/P3bP2/1Pb1N3/4R2K w - -,b2b4
8/R5p1/7p/2Krk2P/6P1/p7/8/8 w - -,c5c6
1rb2rk1/2qnbppp/2pp1n2/1p2p3/1P1PP3/1BN1BN1P/2P2PP1/R2QR1K1 b - -,d6d5
2k1r3/1pp2p2/p1pb3r/6pp/3BP3/2P2P1P/PP3PK1/3RR3 b - -,h6e6
4r2k/p7/1p4R1/6K1/P1B1N3/1P4P1/7P/4r3 b - -,e1e4
r1b2rk1/pp2bppp/2n1pn2/8/3N4/2P1BN2/PP2BPPP/R2R2K1 b - -,c6d4
4R3/5pk1/7p/3P2p1/3q4/p4B1P/1r3PP1/4R1K1 w - -,e1d1
5n2/4n1kp/R5p1/8/1p2P2P/1P3N2/P1K1N3/7r b - -,h7h6
5k1r/2p2q1r/1p1p1P2/pP1Pp2p/P1Pn4/8/3Q1RNR/6K1 b - -,h7h6
8/8/4pk2/p1p3p1/PpP5/1P1KPBnP/8/8 b - -,f6e5:f6g6
r7/4p1k1/5ppp/p1nPB1P1/1pr1P2P/8/P3RP2/3R2K1 w - -,e5d4
1r2n2k/2r1q1bp/1p1p2p1/pP1Pp2n/N1P1P3/B2Q2Pb/K2NB3/5RR1 w - -,f1f2
r1b1k2r/pp1nnpp1/1qp4p/3pp3/3P4/2PBP3/PP2NPPP/RNQ1K2R b KQkq -,e8g8
8/1p3k1p/3n4/p4pp1/P2Pp3/1Pr1P3/5P1P/1R3BK1 b - -,f7e6
3q2r1/1b2k1P1/p2p1nQ1/1p2P3/2r5/P1N5/1PP5/2KR2R1 b - -,f6e4
4r1k1/3N1ppb/4p2p/1p1p4/rP1n4/3PP1P1/5PKP/2R1RB2 b - -,d4b3
