8/5p2/4n1k1/5Rpp/p7/2R1K1PP/5P2/8 b - -,g6f5
r4rk1/1q2ppbp/pn4p1/1p6/1Q1P1PPB/1N2P3/7P/R4RK1 b - -,b6c4
8/2k2K2/8/6Q1/1q4P1/p7/8/8 w - -,g5e5
2bq1rk1/p2nbppp/1p6/3p4/3Nn3/BP3NP1/P3PPBP/3Q1RK1 w - -,d4c6
2r2rk1/1b1nqpp1/pp2p2p/2pn4/3P4/Q3PNP1/PP1N1PBP/2RR2K1 w - -,d2c4
2nrr1k1/1p1q2pn/4b3/3p1P1Q/P1P1p3/4P2P/1B1N1PB1/R1R3K1 b - -,e6f5
R7/B7/p1r2p2/4pkp1/2n5/3K2PP/5P2/8 b - -,a6a5
r1bk3r/pp3pbp/1nn3p1/2P1p3/8/2N1B3/PP2BPPP/2R1K1NR b K -,b6d7
1b2r1k1/5qp1/p7/1p2n3/2r1N2p/PQ4NP/1P2RPP1/4R1K1 w - -,g3f1
r4rk1/1bp1qpbp/p1n2np1/1p2p3/4P3/1NP1BN1P/PPB2PP1/R2QR1K1 b - -,f8d8
rnb2rk1/ppp2pp1/3p1q1p/3Pp3/2P1P3/2P2N2/P3BPPP/R2QK2R b KQ -,f6g6
br1q1r2/4p1kp/pp3pp1/2nNQ3/2P5/1P5P/P3BPP1/1R1R2K1 w - -,e5e3
5rk1/p4q1p/4r3/3p1p2/1Q3B2/7P/P4PP1/3R2K1 w - -,d1d3
8/1b1q1p1k/5Q1p/p4p2/5N2/P5P1/1Pr2P1P/4R1K1 b - -,c2c6
r1bqr1k1/ppp1bpp1/2n2n1p/3Pp3/8/2PP1N2/PP1NBPPP/R1BQR1K1 b - -,f6d5
6k1/R4p2/3p2p1/3Pp2p/P3K3/2r3PP/5P2/8 w - -,g3g4
rn1qr1k1/5pbp/p1b3p1/1pp1p2n/P3P3/2PP1N1P/1BBN1PP1/1R1QR1K1 w - -,g2g3
r2qr1k1/1pp2p1p/p1bp2p1/7n/1P2PP2/P1N3P1/2PQ3P/3RRBK1 w - -,e1e3
r3r1k1/ppq2ppp/2pbp3/P2nNb2/2BP4/2P5/1P2QPPP/R1B2RK1 w - -,f1e1
4r1k1/1p3rp1/1qnp3p/p1b1pp2/2P2P2/PPQ1PN1P/1B4P1/1R2R2K b - -,e5f4
r1bqk2r/ppp2ppp/2n5/3p1n2/3P4/P1PB4/2P2PPP/1RBQK1NR w Kkq -,d1f3
1r4k1/5p1p/2qpp1p1/p7/n1P1P3/1r3P1P/1P1RN1P1/1RQ3K1 b - -,b8b4
8/1rnb1qbk/pp1p2pp/2pP1p1n/P1P5/R1NB1N1P/1P1B1PP1/2Q1r1K1 w - -,c1e1
8/5pk1/4n3/p4Rb1/1pQ5/3PN3/1PPK4/q7 w - -,c4g4
r1bqr1k1/1p3pp1/p1pn2p1/3p4/3P4/P2BP3/1PQ1NPPP/R4RK1 w - -,f1e1
8/3r4/6k1/4R2p/5P2/4B3/4K3/8 w - -,e5g5
1R6/6k1/4p3/5pp1/r6p/6PK/5P1P/8 w - f6,h3g2
1r1r2k1/5p1p/p1npp1p1/1Pp5/4P3/P1NP4/1P3PPP/1R1R2K1 b - -,a6b5
r1b1r3/ppp1qpbk/n1p3pp/8/2P2B2/1PN3P1/P3PPBP/1RQ1R1K1 b - -,c8e6
1k1r4/5bpp/1qpr1p2/4p3/1p2P2P/P2Pb1PB/1PQ5/1KNR3R w - -,a3b4
8/7p/1p4k1/pp3NP1/1PbPK3/8/8/8 w - -,e4f4
1r4k1/5p1p/6p1/1pr1p3/1R6/3P2P1/4PP1P/1R3K2 w - -,g3g4
rnbqr1k1/1pp2pbp/p2p1np1/8/3NP3/2N3PP/PPP2PB1/R1BQR1K1 b - -,b8d7
8/2r1kppp/1Rn1p3/p2pP1P1/P1p4P/2P1KN2/P4P2/8 b - -,e7d7
8/pp3p2/6p1/1P2Pp2/1P1k1P1P/P1p4P/2K5/8 w - -,a3a4
8/1R1rk3/2q2p2/3b1PQp/4p3/8/r3B1PP/1R4K1 w - -,g5g7
5r1k/3b4/2p2q1p/1pQpRp1B/1P3P2/6PK/7P/8 b - -,f8g8
rn2k1nr/p3ppbp/2pp2p1/q3P3/p2P1Pb1/2P2N1P/PP2B1P1/R1BQK2R b KQkq -,g4d7
r1r5/pp1k1ppp/4b3/3p4/1P1P4/P1R3P1/5PBP/2R3K1 b - -,c8c3
2r2rk1/3n1pp1/1p2pbp1/p2Q4/N2P4/P5P1/1P1B1P1P/2RR2K1 b - -,e6d5
8/2B5/8/1ppk1p1p/3b1P2/1P1K4/7P/8 b - -,c5c4
r1bq1rk1/1p3pbp/3p1np1/p1npp2P/2P1P1P1/2N1BB2/PP3P2/R2QK1NR w KQ -,c4d5
b1r4k/6pp/2nB1p2/1pPB4/5pP1/4R2P/2P5/6K1 w - -,e3a3
r2r2k1/5pbp/1pp3p1/4p3/N1QBP2q/5P1P/1PP3P1/R4RK1 b - -,e5d4
3b4/p4kp1/1pp2p1p/4n3/3B1N2/P1P5/1P2BPPP/1b3K2 b - -,d8c7
6r1/2p5/4k1rp/1Qp1p3/P4p2/2P2p2/6PP/1R4K1 w - -,b5c6
2rr2k1/6pp/1p6/p3p3/4P3/P1B3P1/1P2RP1P/6K1 b - -,c8c5
3r1rk1/3bppbp/nq3np1/pp1PB3/3P4/PBN5/1P2NPPP/R2QR1K1 b - -,b5b4
r3kb1r/1b1n1p1p/1q2pp2/1p6/3pB3/5N2/PP3PPP/R1BQ1RK1 w kq -,e4b7
2r3k1/5p2/6p1/1p3p2/1bP5/4P3/3NKPPP/2R5 b - -,b4d2
r4rk1/1p1npp1p/bQ1p2p1/p2PP3/4NP2/5B1P/PP4PK/2R1R3 b - -,d7b6
3kb3/ppp3R1/3B2Bp/3P4/8/5P2/2PK2P1/r7 b - -,e8g6
8/5kP1/p4b1P/p1p5/P1P1K3/1P3N2/8/8 w - -,e4f5
2b3r1/r6k/p3p1qb/1pN1Pp2/7p/1P3Q2/P3NPPP/3RR1K1 b - -,b5b4
r4rk1/ppp3pp/2nq4/4pb2/8/3PNN2/P1PQ1PPP/R3R1K1 b - -,c6d4
r3k2r/pp3pp1/2n1p3/6Pp/8/2P1B2P/P1P2PK1/R2R4 b kq -,a8d8
5r2/3q1rbk/6pp/1p3b2/1Pppn3/Q2P2PP/1R3PBK/2R1B3 w - -,d3e4
r1b2rk1/pp4pp/2n1pq2/3p1n2/3P1N1P/3B1NP1/PP3P2/R2QR1K1 w - -,d3f5
8/5pk1/Rp4p1/8/2nN1P2/p2rPK2/P4P2/8 w - -,a6a4
3r1rk1/p4pp1/1p1pqn1p/1P2p3/4P2Q/7N/P4PPP/2R2RK1 w - -,f2f4
8/3R1p2/3B1P2/p5r1/4k3/P2p2K1/6P1/3r4 w - -,g3h2
8/3P4/4k3/8/4b3/p7/2K5/8 w - -,c2b3
4b3/8/4pk1K/1p2pp2/1P2P3/3P2P1/5N2/8 b - -,e8f7
r3r1k1/pp1bppbp/5n1B/3p1p2/2qN3Q/2N1P3/PPP3PP/3R1RK1 b - -,g7h6
4r3/1R6/8/8/8/4k2P/3n2PK/8 w - -,b7a7
3R4/5k2/p1r3pp/1p2rp2/1Pq5/4PP1Q/n5PP/5RK1 w - -,h3h6
8/8/4R3/5p1p/3p3P/1P2k1P1/Pr6/5K2 b - -,e3f3
1B6/8/4bpk1/2R1p3/6P1/8/r5P1/6K1 b - -,e6g4
r1bqkb1r/1p1n1p1p/p2p1np1/2pP4/Q3PB2/2N2N2/PP3PPP/R3KB1R b KQkq e3,f6h5:a8b8
8/8/5B2/7K/2k3p1/5r2/1P6/8 w - -,f6e5
r4r1k/4pp2/p2q3b/3pNb1p/3P1P2/2N5/P1P1Q1PP/1R3RK1 b - -,h5h4
r1bq1rk1/1ppnnpp1/3p4/1P6/N2P4/BQ4P1/P4PB1/R1R3K1 b - -,d7f6
8/8/3Q4/2pPp3/2P1Pq2/8/4K2k/8 b - -,f4e4
rn3rk1/pbp1qppp/1p2p3/3p4/2PPn2P/2N1PN2/PPQ2PP1/R3KB1R w KQ -,f3g5
8/8/3kp3/pR1p4/5r1P/P2K4/1PP5/8 b - -,f4h4
r1bq1rk1/ppp3p1/2n2B1p/3p4/3N4/2P3P1/P1P2PBP/R2Q1RK1 b - -,f8f6
4q1k1/5p1p/Q5pB/4P3/1b3P1P/p7/6P1/5K2 b - -,b4f8
r3k2r/ppp1npp1/2p1b3/4P3/2P2P1p/1P2KNNP/P2R2P1/3R4 w - -,g3e4
5rk1/1bp1q1pp/p2Pp3/1p5Q/2p5/P1Nn2P1/1P4BP/R5K1 b - -,c7d6
6rk/1b2q1pp/pr2p3/4Pp1N/2P5/8/R4PPP/3QR1K1 b - -,e7g5
r1bqkbnr/1p3p1p/p1npp1p1/2p5/4PP2/5NP1/PPPP2BP/RNBQ1RK1 w kq -,d2d3
5rk1/pp2bp1p/n6q/3Q1bp1/5p2/PB6/1PP3PP/R1B2R1K b - -,f5c8
5bk1/1p3bpp/r2QN3/3p4/3B4/1P2P3/6PP/5RK1 b - -,f8d6
1r6/8/4k2R/6p1/4P2p/4KP2/6P1/8 b - -,e6e5
r2r2k1/ppp2pbp/6p1/2n5/2P1PN2/5B1P/PP3PP1/1R2R1K1 b - -,g7e5
r1bqk2r/4bpp1/1p2pn1p/p1ppP3/7B/2PBP3/PP1N1PPP/R2Q1RK1 b kq -,f6d7
2r1r1k1/1q3ppp/p1b2b2/2P1p3/1P1pn3/P4N2/1BQ2PPP/3RRBK1 b - -,e4g5
r3qrk1/ppnbp1bp/2pp1np1/3P1p2/P1PN4/2N1P1P1/1P1B1PBP/R2Q1RK1 b - a3,e7e5
r1b1r1k1/1p1n1ppp/p1p1pn2/q7/2PP4/b1B1PN2/P3NPPP/1BRQ1RK1 b - -,a5c7
r1b1qrk1/pp4pp/2p1p3/3pNpn1/2PP1BPb/2PBP2P/P1Q1KP2/1R3R2 w - -,f4g5
8/8/pp1k2pp/8/2P2PP1/1P1r4/P3R1K1/8 w - -,f4f5
rq2kb1r/pp1n1ppp/2n1b3/2pNP1B1/2B5/5N2/PP3PPP/R2QR1K1 b kq -,h7h6
4kbnr/1p4qp/p3p1p1/3pP1B1/2r5/2N2Q2/PP4PP/R4RK1 w k -,c3d5
r6k/pb1q1p1p/1p4r1/4nN2/2Rp4/3P2P1/1PP3BP/3Q1RK1 w - -,c4d4
r7/r1pnq1kp/1p1p2p1/PR1Pp1b1/PBP1B3/7P/2Q2PP1/4R1K1 w - -,a5b6
r2Rn1k1/pb2qpbp/2p3p1/Ppn1p3/2N1P3/2N1BQ1P/1PP2PP1/R4BK1 b - -,a8d8
q4r1k/7P/1pbp1br1/p1n1p3/P1P1P2P/1PN2Q2/1R4BK/2B2R2 w - -,h4h5
rnb1qrk1/ppp1b1pp/3ppn2/5p2/5P2/1P2PNP1/PBPP2BP/RN1Q1RK1 b - -,b8c6
r1b2rk1/ppnqp1bp/2p3pn/3pP1P1/5P2/2N1BB2/PPP1Q2P/R3K1NR b KQ -,h6f5
2rb2k1/p4pp1/7p/3Bp3/2p1P1bP/PqN3P1/1P1R1P2/2Q3K1 w - -,g1g2
8/8/8/b2k3p/p4p2/1p1K1P1P/P7/5N2 w - -,a2b3
5n2/p2rqpbk/R6p/P1pBp1p1/P3P3/1Q3N1P/5PP1/6K1 w - -,f3d2
Rn1q1rk1/1b3pbp/3p1np1/1p1P4/2p1P3/5N1P/1P3PP1/1NBQRBK1 b - -,b7a8
q1r3k1/2rn1ppp/1pP1pn2/p2p4/PbPB4/4P1P1/3NQPBP/R1R3K1 b - -,c7c6
1qr1r1k1/1b1nbppp/pp1ppn2/8/2P1PB2/1PN2NP1/P3QPBP/2R1R1K1 b - -,e7f8
8/R3n3/P2p1k1p/r2P4/8/5BP1/6K1/8 w - -,a7a8
8/3k4/2p5/1pR3p1/3P2P1/r7/P1K5/8 w - -,d4d5
5rk1/7p/1ppb2p1/p7/P3rPN1/2B3P1/1PP4P/R4K2 w - -,g4h6
rnbq1rk1/pp3ppp/2pb1n2/8/2PNp3/2N1P3/PB1PBPPP/R2QK2R b KQ -,b8d7
1k6/8/1K1N4/8/1P6/P7/8/5b2 b - -,b8a8
2rqrbk1/pp1n1ppb/2p1pn1p/2Pp4/3P1P1N/1PN1P3/PB2B1PP/R2Q1RK1 w - -,b3b4
r3k3/4bpp1/pBn1p2p/1p2P3/5P2/2PR3P/P2N2P1/6K1 b - f3,a8b8
8/1kp1q2p/1p1r4/p4QP1/7K/8/P4R1P/8 b - -,h7h6
5k2/5b1R/5p1p/1p2p2P/1P2P1P1/4K3/8/8 w - -,h7h8
r3rbk1/5p1p/6p1/1pp1p3/2b1P3/1N3P1P/PPK2NP1/R2R4 b - -,h7h5
r3r1k1/1p3pbp/p2p2p1/q1p1n3/2PnP3/1PN3PP/P2B1PB1/R2QR1K1 w - -,f2f4
6k1/1p1q1rbp/P4pp1/1pr1p3/2ppP3/3P2PP/RQP2PBN/1R4K1 b - -,b7a6
8/1p1b1kp1/p6p/3p1P2/3Pp1P1/1Pr4P/P3BR2/6K1 w - -,e2f1
3r1bk1/r4p2/p1bp1p1p/1p2p3/nP2P3/PB2R1NP/5PP1/R1B3K1 b - -,d6d5
8/8/4K3/5p2/8/1p1k4/5P2/6R1 b - -,f5f4
r2qk2r/1pp1bppp/p1np1n2/4p3/4P1b1/1BPP1N2/PP3PPP/RNBQ1RK1 w kq -,c1e3
8/p6p/2P3p1/3p2k1/3P4/5PQ1/P2qp1KP/8 b - -,g5f6
4rk2/RR3p1p/6pP/1p3r2/5P2/1p1P2P1/5K2/8 w - -,a7a3
r2q1rk1/p2p3p/1p6/2p2p2/2Pb1p2/3P2P1/PP1BQ1KP/1R3R2 w - -,d2f4
8/5p1k/4pP1p/1b6/3B1p2/8/5KPP/8 w - -,f2f3
1rb3k1/1p2R2p/1n3pp1/p1NP4/P1P2p2/3B3P/1P4P1/6K1 b - -,f4f3
r1bqkbnr/pp2pppp/2n5/3p4/2PP4/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
4rr1k/1Pp3pp/2Ppb2q/p2Bp1n1/5pnN/B3P1P1/P3QP1P/2R2RK1 w - -,d5e6
r4r1k/pp4b1/2pN2pp/3B3q/2P2Bb1/5nP1/PP3PKP/R1Q2R2 w - -,h2h4
4k3/b2r2pp/1pR5/4P3/P2BpP2/4P1P1/4K2P/8 b - -,d7b7
r2q1rk1/2pn1ppp/p2pbb2/1p6/4PBPP/2N2P2/PPPQ4/2KR1B1R w - -,g4g5
