2r5/2P5/5R2/3kpn2/8/3PpK2/8/8 b - -,f5d4
2r1k2r/3bpp1p/p5p1/3P2P1/1Q1P1q2/1Pp5/P2N2P1/2KR1R2 b - -,c3d2
r1b1k2r/2q2ppp/p1pb1n2/1p2pP2/4P3/2NBB3/PPP3PP/R2Q1RK1 w kq b6,a2a4
4r1k1/2pr1ppp/5b2/np3b2/1qBP4/1P2BN1P/1Q3PP1/2RR2K1 w - b6,e3d2
r5k1/1r1bPnb1/3p2p1/p2Pp2p/7P/2N2PPB/PP6/R1B1K2R b KQ -,d7h3
5rk1/2p3pp/1p2nq2/r2Rpp2/p1P5/P3PP2/1PQ3PP/3R1NK1 b - -,e6c5
r3k2r/pp1bb2p/1q2pp2/3p4/1n1P4/2BB1N2/P4PPP/1R1Q1RK1 b kq -,a7a5
rn1qkb1r/pb1p1pp1/1p2pn1p/2p5/3P3B/2P1PN2/PP1N1PPP/R2QKB1R b KQkq -,f8e7:d7d6
rn1q1rk1/pp2bpp1/2p1p2p/5b2/1PPPN3/PQ3N2/4BPPP/R1BR2K1 b - -,f5e4
r1bq1bk1/ppp2r2/3p1nn1/2PPp1p1/1P2PpP1/2NN1P2/P2BB3/R2Q1RK1 w - -,d1b3
8/5kpp/4p3/3pP3/1K6/r3PP2/p6P/R7 b - -,a3e3
rn1qkbnr/pp3ppp/2p1p3/3p4/4P3/2NP1Q1P/PPP2PP1/R1B1KB1R b KQkq -,f8b4:b8d7:g7g6:f8d6:g8f6
8/p4kbp/2q3p1/1p3p2/3p1P1P/1N4P1/PP1Q3K/8 b - -,d4d3
4rb2/5pk1/8/7p/1Pr5/2P3P1/1R4KP/2R5 b - -,e8c8
2kr1b1r/pbpp1p2/1p2n2p/6q1/2B1P1pN/2N3P1/PP3PP1/1K1RQ2R w - -,h4f5
r2q1rk1/p1pnb1pp/1p1pN3/5p2/2PP4/2B3P1/PPQ1PPbP/3R1RK1 b - -,g2e4
5rk1/pp1b2pp/8/3qP3/P1p1nB2/2PpQN1P/1P4PK/R7 w - -,f3d2
r3k2r/pp1n1ppp/2pb1p2/7Q/3Pq3/4B3/PPP1NPPP/R3R1K1 b kq -,e8g8
r5k1/4Bpp1/pp5p/n2B1b2/P7/8/1P3PPP/2RR2K1 b - -,a8e8
3k4/4Rp2/5Kp1/3P4/5P2/8/8/5r2 w - -,e7e4
1r3rk1/1b3pbp/p2q2p1/2nP1P2/2P1p1P1/1P2B2P/4N1B1/R2Q1RK1 w - -,f5f6
2r1k2r/1bq2p2/pp1p1b2/4pP2/2P4p/P1NQ1N2/1P4PP/4RRK1 w k -,c3d5
r1b1r1k1/7p/1p3Bp1/2p5/2P1p1N1/1P4PP/P3n1BK/5R2 w - -,g4h6
r2q1rk1/1pp1ppbp/2np1np1/p4b2/2PP4/2N1PNP1/PP3PBP/R1BQ1RK1 w - a6,d4d5
8/8/3k2N1/5p2/1r1b4/5BP1/5P2/5K2 b - -,b4b1
R7/5pk1/3p4/2pPb3/2P5/5Kpp/P4n2/6N1 w - -,g1h3
4k3/8/4K3/8/p7/8/1Bp5/1bRr4 b - -,e8d8
7r/p2b1k2/2pPp1p1/1pPn1p2/1P3PP1/P4K2/2BBR3/8 w - -,f3g3
3qrbk1/3n1pp1/3p1n1p/1P1bp3/8/5N1P/1PB2PP1/1NBQR1K1 b - -,d5b7
r3r3/1p3pk1/2p1n1p1/p1n1p3/P3P2p/2N2P2/1PPR2PP/2NR1K2 w - -,c1d3
r5k1/pp3p1p/3p1p2/1P2n3/8/3B3P/P1P3P1/4R1K1 w - -,d3e4
1rb2rk1/1pp1qppp/pn2p3/8/P1pPN3/4P1P1/1P1Q1PBP/R1R3K1 b - a3,f8d8
6b1/1B4k1/1p6/6p1/8/Pn2PNPP/3r4/1R4K1 b - -,d2a2
8/6b1/7p/1kpK1P1P/3p1B2/3P4/8/8 w - -,f4e5
2rr1bk1/1q3ppp/3ppn2/1p6/1Pn1P3/5PP1/PB1RN1KP/1QRN4 w - -,d2c2
r1bq1rk1/4ppbp/p2p1np1/1ppPn3/2P5/2N1P1PP/PP1NQPB1/R1B2RK1 b - -,b5c4
r1b1k2r/ppp2qb1/2np2pp/3Npp2/1PP5/3PP1P1/P4PBP/1R1QK1NR b Kkq -,e8g8
6k1/p4p2/1pN5/4P3/P6P/2P3bP/4Kp2/8 b - -,a7a5
2k5/p2n1p2/4p3/3pP3/2P2P2/qP1p1Nr1/2P1Q3/1K5R w - -,e2d3
3rnk2/2p2b2/1p3p1p/7P/2P2P2/1P6/1BB1r3/2K2RR1 w - -,b2c3
6k1/2Q3pp/p3pp2/3b4/1q6/4P2P/P4PP1/2N3K1 b - -,b4e1
8/1p6/1P3k2/2Pp1p2/5npr/2K2BR1/8/8 w - -,f3d1
6k1/ppq2p2/2p2Rr1/2P4Q/1P5P/6N1/P3P1K1/8 b - -,c7g3
3k4/5R2/2p3p1/pp5r/7p/1PP4P/P4PP1/2K5 b - -,h5g5
2r1k2r/pq1nbpp1/1ppBp2p/4P3/2b3Q1/6P1/PPP2PBP/2KR3R w k -,g4c4
2r3k1/r2npp1p/2p2bp1/3p3P/3P4/2P1PNB1/5PP1/1Q4K1 b - -,g8g7
3r1rk1/q4bbp/pN4p1/P1p2n2/Q1P1pN2/4P1P1/5R1P/2B2RK1 w - -,f4d5
8/4kp2/R5p1/4PP1p/7P/1r3KP1/8/8 w - -,f3g2:f3f4
brr1q1k1/5pbp/1p4p1/p1np4/P7/4PN2/QPR1BPPP/3RB1K1 w - -,e2b5
r1r3k1/pb2q1pp/1p2pp2/3p4/2PPn3/NP1QP1P1/5PBP/R1R3K1 b - -,d5c4
r1b1rqk1/1p3p1p/6p1/p3pPP1/PnNpP2Q/1N4R1/1PP4P/2K2R2 b - -,g6f5
r1b2rk1/ppq1ppbp/3p1np1/P1n5/1P2P3/2NB1N1P/2PB1PP1/R2Q1RK1 b - b3,c5d3
8/8/1b2k3/4p1Np/4P2P/8/4K3/8 b - -,e6f6
6k1/1p4pp/p3pr2/3p2q1/P2Q4/2N1R3/1P3P2/5K2 b - -,g5f5
2r1r1k1/5pp1/1q2bn1p/p2p4/Q1p5/4PN1P/PPR2PP1/2R2BK1 b - -,e6d7
4rrk1/1qp3pp/p3b3/2bpQ3/8/1PN1B2P/P1P2PP1/4RRK1 b - -,c5d6
3R1nk1/1p3bp1/pBp5/4r3/4p1P1/1PN3K1/1PP2P2/8 b - -,f7g6
r2q1rk1/1pp1n1bp/3p2p1/3Ppp2/PBP1Pnb1/2N2N2/5PPP/R2QRBK1 w - f6,h2h3
6k1/3r4/5B2/1p3R2/1Pp1K1P1/P2n4/7r/R7 w - -,f5b5
2b4Q/p2kq2p/1bp2p1N/1p1p1P2/1P5P/P1PB4/1KP5/8 b - -,b6d8
r2qk2r/1p1bbp1p/pnn1p3/3pP1p1/3P4/1BN1BNP1/PP2QP1P/R4RK1 w kq -,f3e1
8/6b1/4k2p/8/2N1p3/7P/1PR2PPK/4r3 w - -,h2g3
5rk1/3Q1ppp/4p3/3pP3/1q3P2/7P/6P1/5R1K b - -,b4e4
1rb2rk1/p3bppp/4pn2/2P5/2p5/6P1/PP2PPBP/RNBR2K1 b - -,e7c5
rn1qk2r/pb3pbp/1p1p2p1/2pn4/2P4N/6P1/PP2PPBP/R1BQ1RK1 w kq -,g2d5
3r2k1/6n1/8/2R2p2/bP1p1Pp1/P4PP1/1B1N4/6K1 w - f6,g1f2
8/4bk2/3p3p/1q2pP2/p1p5/2Pn1N1P/P2Q1PP1/6K1 w - -,d2h6
2b1rk2/1pq2pp1/2p2n1p/p3p3/P3P3/1P1B1NQP/2P3P1/3R2K1 w - -,g1h2
8/1Q6/2P3pk/1K3p1p/7P/4q1P1/8/8 b - -,e3b3
r1b2rk1/1p1n1ppp/2pb1p2/p7/3P4/1B3N2/PPP2PPP/R1B1R1K1 w - a6,c2c4
2r3k1/p4nbp/p5p1/8/4Q1P1/5P2/3rNBKP/8 w - -,f2e1
r4rk1/1p1R1qp1/p3N2p/8/1P2P3/P3B2P/Q4PP1/6K1 b - -,f7d7
r2q1rk1/pp2nppp/4pn2/2Pp4/bP1P4/P1BB1P2/3N1QPP/R4RK1 b - -,d8d7
r1bq1rk1/ppn1ppbp/3p1np1/2pP4/2P5/2N1PN2/PPQ1BPPP/R1B2RK1 b - -,a7a6
3b1rk1/p2p1rpp/2n1p3/4P3/6q1/1NB1QN2/PP4BP/5R1K b - -,d8b6
8/pp1nk2p/2p4n/3p1pp1/3P2P1/1P1N1PN1/P1PK3P/8 w - f6,g4f5
8/p4p1k/2prr2p/P5p1/1PR5/6B1/8/2R2K2 b - -,e6f6
r2qk2r/pp2ppbp/2p2np1/2p5/4P3/3P1b1P/PPPN1PP1/R1BQ1RK1 w kq -,d1f3
r1bR4/5Bpk/2p4p/1p3p1q/pP3PnN/6P1/P5P1/2RQ2K1 b - -,h5f7
2b3k1/p4pb1/6p1/2N1p2p/1P2P3/P1B2PPP/6QK/5q2 b - -,f1c1
5Q2/5ppk/2pq3p/8/2pP3P/4RbP1/3K1P2/1R6 b - -,d6d5
8/8/7p/4R3/3rk3/6P1/PBp2K1P/8 b - -,e4e5
r4rk1/p1RQ1bpp/8/3p1p2/4BN2/P5P1/1P1qPP1P/5RK1 b - -,f5e4
2b2rk1/3nqpbp/2pp1np1/1p2p3/1P1PP1P1/4BN1P/r1P1QPB1/1N1R1RK1 w - -,b1c3
r4rk1/1q2ppbp/1n1p1np1/2pP4/2N1P3/1PN3P1/P2BQPKP/R3R3 w - -,c4b6
r4rk1/pp3ppp/4p1n1/3pP3/7P/2PBRQ2/q4PP1/1R4K1 b - h3,f7f6
3r1rk1/4R1bp/pp3pp1/1N3q2/2P5/3P2P1/P2Q1PBP/1R4K1 b - -,a6b5
6k1/5p2/6p1/4P2p/5P2/r7/4R1PP/3K4 w - -,d1e1
6k1/p2q1pp1/1p1N3p/n1pQ4/5P2/P5P1/1P3PKP/8 w - -,d5a8
3r1rk1/p3bppp/4p3/8/P1q1B3/2Pn1PP1/3BQ1KP/RR6 w - -,e4d3
rr6/p2qB1k1/4p1p1/3bPp1p/3p4/3B1PQ1/1P3K1P/R5R1 b - -,b8b2
5rk1/pb4bp/1p2pppB/3q4/r2PNQ2/P1P2P1P/6P1/2R1R1K1 w - -,h6g7
r5kr/1p1nq1b1/pP1p1p1p/2pPpPp1/4P2P/2BP2P1/P2N2K1/1R1Q1R2 w - -,f1h1
1r2r1k1/p2b1pbp/1p2n1p1/3B4/P1P3P1/q3B1NP/5P2/1R1QR1K1 w - -,b1b3
3q1bk1/5pp1/4b2p/1pp1QNn1/4P1P1/2P4P/1PB2P2/r1B1R1K1 w - -,g1g2
r3kb1r/1p1qppp1/1np1bn1p/p5N1/P1p1P2P/N5P1/1PQP1PB1/R1B2RK1 w kq -,g5e6
8/2k2r2/1pp5/p3RP2/P4K2/1P6/2P5/8 b - -,c7d6
8/2b2k2/4p1p1/1n1pP1Pp/p1pP3P/PnP2N2/1KN2B2/8 b - -,c7b6
3rk2r/pbqnbp2/1pp3p1/4p2p/2P1N1n1/1P3NPB/PB2PP1P/2QR1RK1 w k -,d1d7
1Q6/p3r1kp/3p1q2/3P4/P1P2pP1/4n3/5RBK/8 b - -,e3g4
r1b2rk1/p1p3pp/2pb4/5p2/N1R5/3P4/PPP1N1PP/R6K b - -,c8e6
r2qk2r/ppp2pbp/3p1np1/4n3/2b1PN2/2N1QP2/PPPB2PP/2KR1B1R w kq -,f4d3
8/8/4pk2/2n5/P2p2p1/2p3P1/2R2P2/5K2 b - -,c5a4
r1bqk1nr/pp1p1pbp/2n3p1/1Bp1p3/4P3/5N2/PPPP1PPP/RNBQR1K1 w kq e6,c2c3:b2b4:b5c6:b1c3
5r2/pp3ppk/5q2/Q7/2B1b1P1/4P1K1/P2r1P2/3R1R2 w - -,a5h5
1r3k2/1p2bppp/p3p3/4P3/P2R4/3NPKP1/1P5P/8 w - -,f3e2
2r3k1/4p2p/1Rp3p1/p7/4P3/4B3/P1P1K1Pb/8 b - -,h2d6
2q1r1k1/p2nbppp/1p6/2rb4/4PB2/5NP1/P4PBP/1Q1RR1K1 b - e3,d5e6
r1bq1rk1/pp2nppp/2p5/8/2Bp4/3P4/PPPN1PPP/R2QR1K1 b - -,e7d5
rn2Rbk1/p5pp/2p5/1p2N1Bb/3P4/1PP5/5PPP/6K1 w - -,e8d8
1k1r3r/p1pqbp2/bp2p1p1/3nP2p/1P1PBP2/P1N2R2/6PP/2RQ2BK b - -,a6b7
2kr3r/pp2qpp1/2p1pn1p/2b4P/2PP4/3Q1NP1/PP1B1P2/2KR3R w - -,h1h4
r4r2/1p1qnpbk/p1npb1pp/2p1p3/4P1NP/2PP2P1/PP3PBN/R1BQR1K1 w - -,c1h6
3qr1k1/pp1bppb1/3p1npB/7p/2rNP2P/2N2P2/PPPQ2P1/1K1R3R w - -,h6g7
r1bq1r2/1p2n1nk/p2pp1Pp/4Pp2/2P2PP1/2NBQ3/PPN5/2K3RR b - -,e7g6
r1bq1rk1/pp3ppp/2n1p3/8/2BPP3/5N2/P2Q1PPP/R4RK1 b - -,b7b6:d8d6
r5k1/6p1/5b2/3P3p/1N2Rp2/pP3P2/P1P4q/2K1Q3 w - -,b4d3
3k4/p7/b3p1p1/p2p1pP1/P2P1P2/1PR2N1r/2P2K2/8 w - -,c3c6
8/5p1p/3p1k2/p1pP3P/P4P2/1pR4K/7P/1r6 b - -,f6f5
3r1rk1/5ppp/Q2p4/1p6/3q2b1/3B4/PPP3PP/4RRK1 w - -,g1h1
rnb1kb1r/p1q2ppp/1p1pp3/4P3/3P4/2PB1N2/P2B1PPP/R2QK2R b KQkq -,c8b7:b8d7
r2q1rk1/pp1n2b1/2pp1npp/4pp2/2P1P3/2NP2P1/PP4BP/R1BQ1RK1 w - -,e4f5
2q2k2/1p1b3r/p2bpN2/5p2/3B1Pp1/1PPRQ1Pr/P5RP/6K1 w - -,f6h7
r5k1/ppp1nrpp/5p1B/5R2/1P2p1Q1/8/P5PP/3q3K w - -,g4d1
4nrk1/5pp1/p2p3p/1p1PpBq1/2r3P1/P3R3/1PPQ1P1P/5R1K w - -,e3d3
r4rk1/pp3pbp/2n1p1n1/qN3p2/P7/2P1B1P1/1P2QPBP/R2R2K1 b - a3,a8d8
6r1/2k2r2/p1nbR3/2R3Bp/7P/1P3p1B/P1P2P2/6K1 w - -,c5c3
4k3/5pp1/4p1p1/4P1P1/r5PP/2n2KB1/4p3/4R3 w - -,g3h2
r1bq1rk1/pp2ppbp/2n2np1/2p5/3p4/1P1P1NP1/PBPNPPBP/R2Q1RK1 w - -,c2c3
Q7/p3kp2/1p6/2p5/2P2p1p/PP1n2q1/3P4/5R1K b - -,d3f2
r2qk2r/2pb1pp1/1p1p4/p1nPp1p1/P1P1Pn2/2N1BP1P/1PBQ1RP1/R3K3 b Qkq -,d8f6
r2qkb1r/pb1n1ppp/2p1pn2/1p6/3P4/2NBPN2/PP3PPP/R1BQK2R w KQkq -,a2a3:e1g1:e3e4:a2a4
1qr3k1/p3ppbp/R2p2p1/8/4PP2/3P2NP/Br4n1/2Q2K1R w - -,a6c6
2r2rk1/pp3ppp/2n1pq2/1B1p3P/1b1PP1P1/2N1B3/PPP1Q3/R3K2R b KQ -,c6d4
5bk1/p2r1p1p/4p1p1/p1q1P2P/R1P1Q3/5NP1/5P2/6K1 b - -,c5b6
2k1r3/1p4pp/p2p4/3b1p2/3Pr3/2P1B3/PP3PPP/R2Q2K1 w - f6,c3c4
3r1rk1/6bp/p1b1pp2/1p4p1/4P3/1NPn2B1/PP3PPP/R3RBK1 w - -,f1d3
8/6k1/pp3p2/8/P1P2pP1/1P3P2/2P1Q1K1/2q5 b - -,c1b2
rnbq1rk1/4ppbp/p2p1np1/P1pP4/4P3/2N2N2/1P2BPPP/R1BQK2R b KQ -,b8d7
1rr3k1/3bq3/pp6/2pPp1p1/2P1PpPp/1P1B1K1P/P1RQ4/1R6 b - -,a6a5
2r3k1/1pr2ppp/2n1p3/pBPp4/Pb1P4/1P3qPP/1BR2P2/3R1QK1 w - -,d1d3
2rr2k1/2q2ppp/2N1pn2/1pP5/2n1PP2/1N4P1/4Q1BP/2RR2K1 b - -,c7c6
8/7p/1Np3p1/2Pp1kP1/P2P3P/1b6/3K4/8 b - -,b3a4
3r3r/1Qpk1ppp/2nbq3/8/3P4/3BBN2/PP3PPP/R4K2 b - -,d8b8
r4rk1/pp2qpp1/8/P2R2p1/8/5R1P/1P1Q1PP1/6K1 b - -,a8d8
r1bqk3/1p1n1p1r/p2p2p1/2pPp3/2P1Pn1p/2N1N2P/PP1QBPP1/2KR3R w q -,e2g4
r2q1rk1/1p1nbppp/p2n2b1/2pPp3/P1N1P3/1QN3P1/1P3PBP/R1B2RK1 b - -,a8b8
r1bqr1k1/5ppp/p1n1pn2/1pPp4/3P4/P1N2B2/1P3PPP/R1BQ1RK1 w - b6,b2b4
1rr1q1k1/R4ppp/3p4/1pp1nP2/3pP3/3P2Q1/1PPB2PP/5RK1 w - -,d2h6
2r5/2r1kp2/1p1pp1p1/pP2b1Pp/P1P4P/3RNP2/4PK2/3R4 w - -,d1d2
2r3k1/4bppp/4p3/pq6/1n1BP3/1Q3PP1/1P3K1P/R3N3 w - -,a1d1
8/1k2r3/1P6/5B2/3K3p/7P/8/8 b - -,b7b6
8/6k1/R5p1/5p1p/2r4P/5KP1/8/8 w - f6,a6a7
8/8/1p1p4/pPp2pk1/2P2N1p/r2BK2P/8/8 w - a6,b5a6
rnbqk2r/p1p2ppp/1p2p3/3P4/1b1P4/2N1P3/PP1QNPPP/R3KB1R b KQkq -,e6d5
4brk1/2p4p/pb2nqp1/1p1p4/3P2P1/PP1Q1N1P/2B2PK1/B4R2 w - -,d3d1
3k4/3b4/2np2P1/pp1Np3/4B2K/PP2P3/8/8 b - -,b5b4
4qbk1/3n2p1/7p/1pp1p3/pP2P3/P1pP2P1/4Q2P/2BN3K w - -,b4c5
r4rk1/pp6/4pP1p/1b1p2pP/3P1PP1/P3B3/2PK4/R6R b - f3,g5f4
rnbqk2r/ppp2ppp/1N1p1n2/4p3/1PB1P3/2PP4/P4PPP/R1BQK1NR b KQkq -,a7b6
2r2rk1/pp1q2b1/3p3p/3Pp3/6bQ/2N1R1P1/PP1N1P1P/R5K1 w - -,f2f3
3q1r1k/2p3pp/p7/5p2/5Q2/N7/PrP2PPP/R3R1K1 b - -,d8f6
2kr1b1r/pp6/4q1P1/1N6/P1pn1pQp/1P5P/5PP1/RR4K1 w - -,g6g7
8/p4ppk/3r1b2/2N4p/3p1P2/4r1P1/PP1RP2P/5RK1 w - -,g1f2
r1bqr1k1/3n1pbp/p2p1nP1/1p1P2B1/2p1P3/2N2N2/PPB3PP/R2Q1R1K b - -,h7g6
7R/1p2k1p1/r2p1p2/1N1P2n1/1P4P1/P6p/1B3b1P/7K w - -,b2c1
3rr1k1/1p2qpbp/1Nppb1p1/7n/2P1P3/1P2BP2/3Q2PP/1R2RBK1 w - -,g2g3
r2qr1k1/pppb1pb1/2np1npp/4p3/4P3/1P1P1NPP/PBPN1PB1/R2Q1RK1 w - -,d2c4
r1bq1rk1/1p2nppp/2p2n2/3pp1B1/p3P2N/P1PP4/B1P2PPP/R2Q1RK1 b - -,d8d6
r4rk1/pbqn1pp1/1p1bp2p/2p5/2PP4/1P1B1N2/PB2QPPP/R4RK1 b - -,c5d4
1b2r1k1/4rpp1/p1q4p/P1p1P3/1p1p1P2/1P1Q3P/2PNR1P1/R5K1 b - -,f7f6
2rr2k1/3qbppp/4p3/pb1nP3/3PB3/P4N1P/1Q3NP1/2R1R2K w - -,c1c8
1q3kr1/5p2/2n1p2p/6p1/3QP1P1/p1P5/1P4BP/1K1R2R1 w - -,d4d6
6k1/1p3pp1/p3q3/2P1b1Pp/1P1pr3/P2Q3P/1B3P2/3R2K1 w - -,g1g2
8/2R5/5r2/8/2b5/2k5/8/3K4 w - -,c7e7
r1bqk1nr/pp1n1pbp/2pp2p1/4p3/2PPP3/5N1P/PP2BPP1/RNBQK2R w KQkq e6,b1c3
r1bqk1nr/ppp2ppp/2np4/2b1p3/N1P5/6P1/PP1PPPBP/R1BQK1NR b KQkq -,g8e7
2rq1rk1/5pbp/bp2p1p1/p2pBn2/P2Pn1N1/2PN3P/1PB2PP1/R2QR1K1 b - -,f8e8
1r3r1k/pB2n1b1/3p3p/2p2p2/2P1P2N/5QPP/q4P1K/1R3R2 w - -,e4f5
rnbq1rk1/pp3ppp/4pn2/8/1bBP4/2N5/PP2NPPP/R1BQ1RK1 b - -,b8d7:b8c6
r5k1/1bqn1pb1/pn2pNp1/4P2p/Pp6/1N1B4/1PP1Q1PP/4RRK1 b - -,g7f6
2b2rk1/RpQ3bp/3p1r2/3Pp2q/1P3pP1/7P/P4PB1/2B1R1K1 b - -,h5h4
r2k1b2/p1R2p1r/1pR1p2p/3p1bp1/N2P4/4P1B1/PP1K1PPP/8 b - -,f7f6
r4rk1/pb1q2pp/1p1ppp2/3p2n1/3P4/2PBPP1P/PP1N2P1/2RQ1RK1 w - -,c3c4
1k5n/1b1r1q2/p2ppp2/1pB5/4P3/7B/PPPQ4/2KR4 b - -,b7e4
r2qr1k1/pp3pbp/nn4p1/3P4/2p5/2N1B1P1/PP3PBP/R2Q1RK1 b - -,a6b4
3r2k1/p2q1p1p/6p1/5bPn/7P/P1Q2P2/1P6/K3RB2 b - -,f5e6
8/4kp2/p2b1r2/1p3K2/3N4/4P3/PPR3P1/8 w - -,f5e4
r1b1qnk1/pp1r1ppp/8/8/2QNp3/2R1P1P1/PP3PBP/5RK1 b - -,d7e7
2r1n2k/1p3r1p/p3qpp1/2bNp3/4P2Q/2P1BR1R/PP4PP/7K w - -,e3d2
r1b1nrk1/1p2qpb1/p2p3p/2pPn1p1/P3PP2/2N4P/1P1NB1PB/R2Q1RK1 b - f3,g5f4
4r1k1/5pp1/q5p1/2P2n2/1p1P4/1P2N2P/1BQ2PP1/6K1 w - -,e3f5
4Q3/6k1/5b2/1p1q2p1/p5P1/P4NK1/5P2/8 b - -,b5b4
5r1k/p2q2bp/1p6/3p4/2rNpP2/6P1/PP1RQ2P/5R1K w - -,f1d1
2r5/pRB5/2p4k/5bp1/r7/2P5/P1P3PP/4R1K1 w - -,c7e5
8/4p3/6P1/8/2Qb4/p7/8/1k5K b - -,d4b2
r3k1br/p5p1/2p2p2/1pn2P2/3qPBP1/8/2Q1B1K1/1R3R2 b kq -,g8c4
r3kb1r/5ppp/p1npb1q1/1p2p3/4P3/N2B1Q2/PPPB1PPP/R3K2R w KQkq -,c2c3
8/1p3r1k/p3p1p1/3bQ2p/3K1P1P/1P4P1/P7/8 w - -,d4c5
2b1rbk1/1p3ppp/2pp4/p1n2P2/P3PR2/2N4P/1P4B1/3R3K w - -,f4f2
3Q4/2p5/1p4k1/p4p2/P3n3/4q3/2PR1p1K/4rB2 b - -,e3g3
r2qkb1r/ppp2ppp/2n2n2/4Nb2/4pP2/2NP4/PPP3PP/R1BQKB1R w KQkq -,e5c6
6k1/5p2/6p1/q1n1p2p/p1P4P/Q5P1/5PK1/3B4 w - -,d1c2
8/4n3/2b2k1p/1N2R3/2pP1P2/2P1P2K/1P6/6r1 b - -,g1h1
3r4/p2r1kpp/1p3p2/2RPn3/3R4/P7/1P2K1PP/4B3 w - -,c5b5
1r6/Rpb5/2p2k2/2P5/1P1p1P1P/5B2/8/5K2 w - -,f3c6
r3k2r/1p6/1P1q2p1/p2p1pP1/3PpPnp/P3P3/3NQ1P1/2R2RK1 b kq -,e8g8
