8/8/P3pk2/8/3pPbP1/3N4/2p5/5K2 b - -,f4b8
rnb2rk1/ppq1bppp/2p1pn2/3p4/2PP4/3BP2P/PP2NPP1/RNBQ1RK1 w - -,e2g3
r1bq1bnr/1p1k2p1/8/pPB1Q3/2Pp4/8/P2P1PPP/RN2K2R w KQ -,e5f5:e5d4
r3nnk1/1p2qrpb/p2pN3/2pPp1pP/2P5/2N2P2/PP1Q4/2KR1B1R w - -,e6g5
r1bqr1k1/pp1nbpp1/3p1n1p/2pP4/7B/2NBPN2/PPQ2PPP/R4RK1 w - -,a1b1
r1b1k2r/qp1nbp2/2n1p2p/2ppP1p1/p2P4/1PPBB2P/P1N1NPP1/R2Q1RK1 b kq -,a7b6
r1bq1rk1/pp2bppp/2p5/4P3/4NB2/6PB/PP3P1P/R2Q1RK1 b - -,c8h3
8/2p5/3k1p1p/1p4p1/pN1P2P1/2P1KPP1/1P6/5b2 b - -,c7c5
2rr2k1/5pp1/p3q2p/1ppnp3/7Q/P2P2P1/1P1BPPKP/1RR5 b - -,d5f6
r1bqrbk1/1p3ppp/p1pp4/8/2nNPQP1/2N4P/PPP2PB1/3RR1K1 w - -,f4c1
6k1/1p3p2/2n2Bp1/5P2/p5P1/2PR4/6K1/4r3 b - -,g8f8
5rk1/3q1rp1/4p1pp/3pP3/b1pP1PPP/1pQ4N/1RPK4/5R2 w - -,f4f5
6k1/3n1ppp/3bpn2/3p4/1p1p4/1P2PNPP/2PN1P2/B4K2 w - -,e3d4
1b2r1k1/p5p1/1p2Nr1p/3p1P2/3Pn3/2P3PB/P5KP/2R1R3 b - -,e8c8
r2q1rk1/ppp1bpp1/2n2n1p/3p3b/3P3B/3B1N1P/PPP2PP1/RN1QR1K1 w - -,c2c3
5kr1/pq5p/1p1p1P2/2p4R/2Pn1PP1/8/PP3K2/3BQ3 b - -,g8g6
r4rk1/bp1bnppp/p1n1pq2/3p4/4P3/PPPQ1NP1/1B1N1PBP/R3K2R b KQ -,c6e5
2qr1k2/R2bp2p/3p1p1P/1B1P2p1/2P3P1/4QPK1/2P5/8 b - -,f8e8
r1q1nrk1/ppp1n1b1/3pP1pp/3Npp2/1PP1P3/8/P2BBPPP/R2Q1RK1 b - -,c8e6
r4rk1/ppqnn1pp/5p2/2pp2B1/3PP3/P1P2P2/4N1PP/R2Q1RK1 w - -,g5e3
b4r1k/6pp/5q2/3R4/1P2Q3/P7/R4PPP/6K1 b - -,f6c6
r7/6bk/P1p1b1pp/4p3/4Pp2/B4P1P/6P1/2R2BK1 b - -,e6d7
8/5pk1/p7/6p1/2p1B2p/P1N2P1P/1P1R3q/3K4 b - -,h2h3
2r5/8/4k2p/4b1p1/1P6/1R2NK1P/5P2/8 b - -,c8f8
3r2k1/pp1q1pp1/5rbp/1Np5/P1P1p1P1/3nP2P/5PB1/1RR2QK1 w - -,c1c2
r1bq1rk1/6pp/p3pb2/1pp1Pp2/8/3P1N2/PPP3PP/R1BQ1R1K b - -,f6e7
r1b1r1k1/p1p1qpp1/3p1n1p/2p5/2B1PQ2/2N2P1P/PPP3PK/3RR3 b - -,f6h5
r4r1k/ppp3pp/2n1N3/3B3b/3b1B2/8/P1P3PP/1R3RK1 w - -,g1h1
8/p1k2ppp/2p1p3/2brP3/3B1P2/P1P3P1/1r4NP/R4K2 w - -,g2e3
r4rk1/1pqn1pp1/5n1p/8/3PN3/pP5N/P3Q1PP/R4RK1 w - -,e4f6
5r1k/2pn2qp/1p1p2p1/p2Bb1P1/P6N/6PQ/2P4P/4R2K w - -,d5e4:e1e3
8/4k3/2pb2p1/p1P3p1/Pp1K2P1/3N4/2P2P2/8 b - -,d6h2
r3r1k1/pb2q1pp/2pbppn1/2pp4/2P1PP2/3P2P1/PP2QN1P/RNB2RK1 w - -,b1c3
4r1k1/ppr2pp1/2nq3p/3np3/3p4/PP1P1BPP/2PBQP2/R3R1K1 w - -,e2e4
1r2k1nr/2qbppbp/1n1p2p1/2pP4/1pP1PB2/1P1B1PN1/3Q1NPP/1R3R1K b k -,b8a8
2qr3k/6p1/Q3R2p/8/8/1P3PP1/P5KP/8 b - -,d8d2
4r3/p1p3p1/2pk4/3pb3/N7/8/PPP3PP/4R1K1 b - -,e5h2
1r2kb1r/5pp1/bp2p3/2ppP2p/5P2/2P2N2/PP3KPP/R1B4R b k -,a6d3
3rr1k1/1pp1qppp/pn3nb1/2Pp4/3Pp3/1P2P1NP/P2QNPP1/1B1RR1K1 b - -,b6d7
6k1/1p5p/3p2p1/1P2p3/2p1p3/r7/1R3PnP/2NBK3 w - -,e1f1
r1bq1rk1/1p3ppp/p2b1n2/3pn1B1/P7/2P5/1PBN1PPP/R2QK1NR w KQ -,g1e2
1R6/1P4k1/8/8/6P1/1r2pK2/8/8 b - g3,g7h7
r4rnk/ppq4p/1n1p1pp1/2pP4/2P1PP1N/P1NB3b/1P1Q1R1P/R5K1 b - -,c7e7
r1bqr1k1/pp3pb1/2p3pp/3p4/8/1QPBPN1P/PP3PP1/R4RK1 w - -,a1d1
r2qbrk1/p3bppp/4pn2/2p1N3/1p3P2/1PN5/PBPPQ1PP/2KR3R b - -,b4c3
8/8/3nk3/4Pp1p/1p4p1/1P2P1P1/2B2K1P/8 b - -,e6e5
6rk/1R2R1p1/pp1r2q1/5pQ1/5P1P/P4b2/1PB5/1K6 w - -,b7a7
r5k1/4r1pp/2n2p2/2Nq4/1P1p1P2/3Pn3/3Q2NP/R3R1K1 b - -,a8a1
r1bqnrk1/1p1nbppp/p2p4/2pPp3/2P1P1P1/2NB1N1P/PPQ2P2/R1B1K2R b KQ g3,e8c7
1r4k1/R1qb1pb1/2p2np1/1p1p4/1Pn2PPB/2NQrN1P/2P3BK/R7 b - -,c7d6
r1b2rk1/1pppqp1p/p1n3p1/2n1P3/B5Q1/8/PPP2PPP/RNB2RK1 w - -,a4c6
2r2rk1/p1q2p1p/6p1/3p4/5Q2/2P3Pb/PP1N3P/2R1R1K1 b - -,c7b6
2bqkb1r/p2n2pp/1r6/4pp2/8/2Q3N1/PPPP1PPP/RNB1K2R b KQk -,f8b4
r1b1kb1r/1p3ppp/p3pn2/q7/3N4/2N1B3/PPP1QPPP/3R1RK1 b kq -,f8e7
8/p4k1p/2r2pp1/4p3/3b4/1K6/P3RPPP/3R4 w - -,f2f3
r4rk1/2pq1ppp/1pb1p3/b1PpB3/P1RP4/P3QPP1/4P1BP/RN4K1 b - -,d5c4
r2q1rk1/pp2bppp/8/8/1PPpn3/P5B1/2Q1BPPP/3RK2R b K -,e4c3
8/5pk1/2p1p3/2K1Pn2/4r3/8/8/Q7 b - -,f5e7
5rk1/p4rpp/6n1/1p2p1q1/2p1Qp2/PPBn4/4RP1P/3R1K1B b - -,f4f3
8/1r4pp/p1rpk3/R3p3/2P1P3/1PKR3P/6P1/8 w - -,d3d2
3q1r2/3np1bk/pr4pp/3Q4/3pPN2/P7/3B1PPP/R4RK1 b - -,b6b5
8/2b5/p7/2B5/8/Pk5p/8/6K1 w - -,g1h1
r3kb1r/5ppp/ppn1q3/2p5/P7/4PN1P/1P3PP1/R1BQ1RK1 b kq -,f8e7
rnbqkb1r/pppp1ppp/6n1/8/2BPPp2/5N2/PPP3PP/RNBQK2R b KQkq -,f8e7
3r2k1/pp1r1p2/2p1p1p1/7p/1PPPBn1q/4QPRP/P4P1K/3R4 w - h6,a2a4
5k1r/1pr1qpp1/1R2p2p/P2p4/3P4/1P2P3/2PQNPbP/4K1R1 b - -,g2e4
r4rk1/pp1q1p1p/3pbbp1/2pNp3/2P5/3P2P1/PP2PPBP/R2Q1RK1 b - -,f6g7
8/6k1/4p1p1/p2pNnPq/1p1P1P2/1P2P3/P2K4/2Q5 b - -,h5h2
r2qr1k1/1b3ppp/pp3n2/n2P4/1b6/N1N1BP2/PP1QB1PP/R2R2K1 w - -,e3g5
r1bqr1k1/1p1n1pbp/p4np1/3pp1N1/PP6/2NP2P1/3BPPBP/R1Q2RK1 b - -,d7f8
8/8/5k1p/1R3p2/6pP/6P1/2r5/6K1 b - -,h6h5
5rk1/pp3rpp/4R3/3P2q1/2P2p2/PP1Q2P1/5P1P/4R1K1 w - -,e6e8
8/1b2Q3/1k1Rp3/p3p3/4q3/8/1PP5/1K6 b - -,b6a7
2r1k2r/2qnppb1/p1p3p1/3pP2p/2pP2PP/P1N1BP2/1PP1QK2/6RR b k g3,e7e6
3r4/5p1k/1pr4p/p2pPp2/P2R4/2P1R1P1/1P4K1/8 w - -,e3f3
4k3/1pR4p/p3P3/4KP2/2P5/1P6/4r3/8 w - -,e5f6
2rr2k1/pbqn1ppp/4pn2/PPpp4/2P5/2Q1P3/1B1NBPPP/R2R2K1 w - -,d2b3
3r3k/4Q1p1/5q1p/1p6/p7/P4P2/1P2RK1P/8 b - -,f6d4
6k1/1pr2p2/p3b1p1/7p/1PnNpP2/P1R3PP/6B1/6K1 w - -,d4e6
3rrbk1/5pp1/2ppbn1p/p1q1p3/P1B1PP2/1PNR1QP1/2P3PN/3R3K w - -,c4e6
r3r1k1/p5pp/1p1p1n2/3Pqp2/P1p2N2/1nP1PP2/4R1PP/R1BQ2K1 w - -,a1a2
r1bq1rk1/pp1pppbp/2n3p1/1BpnP3/3P4/2P2N2/PP3PPP/RNBQR1K1 b - d3,c5d4
3rr1k1/1p1n1p1p/p1pR1bp1/P7/4PP2/2N4P/1PP1B1P1/R5K1 b - -,f6c3
rn2kb1r/1b2qp1p/p3pp2/1p2P2Q/3N4/2N5/PPP3PP/2KR1B1R b kq -,b8d7
3q1rk1/3nbppp/rpP1pn2/pp1p4/3P1B2/P1N1PN1P/5PP1/R2QK2R b KQ -,d8c8
8/4k3/6p1/1pp1bp1p/2p4P/Pn4PN/5PB1/3K4 w - -,g2d5
1qr3k1/1p3pb1/pBn1rnpp/4p3/4P3/1QNR1N1P/PP3PP1/3R2K1 w - -,a2a3
7r/1R6/p4npk/8/2Br4/3P3P/PP4K1/2R5 b - -,h8e8
8/R4p2/6k1/6P1/2r2P1K/6P1/8/8 b - -,c4b4
8/2bnknpp/4pp2/8/N3PPP1/3BB2P/6K1/8 w - -,d3b1
8/p6r/2pn1Bp1/4R1P1/5k2/5P2/PP6/2K5 w - -,e5e6
3b2k1/5p2/p2B3p/2pP2p1/1pP5/1P4PP/P4PK1/8 b - -,d8b6
r2q2k1/3b1p1p/2p3p1/p3r3/3Q4/1P4PP/P4PB1/2RR2K1 b - -,d8e7
2b1n1k1/5rb1/p2p1q1B/P1pp4/4rN2/6QP/4BPP1/4RRK1 w - -,h6g5
4rrk1/3n2p1/3bpn1p/2qp4/2p1PP2/5NPP/PPQN2K1/R1B2R2 b - -,e6e5
8/8/3k4/1r1b4/4R1P1/6K1/8/8 w - -,e4f4
r1b1kb1r/pp1n1ppp/2p2n2/q2p2B1/3P4/2N1P3/PP1N1PPP/R2QKB1R b KQkq -,f8b4
r1bq1rk1/p3bppp/2pp1n2/4p3/4P3/2PB2N1/PP3PPP/R1BQ1RK1 b - -,d6d5
8/4rkp1/5p1p/1pR2P2/1P1B3P/2Pb1PK1/8/8 b - -,e7b7
3r4/1p3pbk/2p3pp/1p1q4/3P4/P1Q1B1P1/1P3P1P/3R2K1 w - -,d1d2
r3k1r1/1b1pn2q/p3p1p1/1p3p2/3QPB2/1B1P2P1/PPP3P1/R4RK1 w q -,d4e3
6k1/1p3pp1/1bnPp2p/4P3/2p4P/P1B3PK/5r2/3RN3 w - -,d1b1
4R1k1/p4r1p/1p4pb/5p2/8/2P4P/5PP1/3R2K1 b - -,h6f8
8/3Bn1k1/1R2P1p1/3p1p1p/r3p3/4P2P/5PP1/6K1 b - -,a4a8
r1bq3r/ppp2kpp/2n5/3pP3/3P4/1Qn2N2/P4PPP/R1B2K1R w - d6,b3c3
1r4k1/3pb1np/4p3/4P2P/q1p1P3/1N2Q3/1B1N4/3K3R b - -,h7h6
7r/3k1ppp/2p5/8/2pP4/8/5PPP/2R3K1 b - -,h8a8
2r2rk1/pb2qpp1/1p2p2p/2pnP3/3P4/2PB1N2/P3QPPP/2R2RK1 w - -,e2e4
1R6/3N1k2/8/3p4/3P4/8/1p1K4/r7 b - -,b2b1q
8/4r1k1/1pprP1p1/3P4/2PKR3/8/7P/5R2 b - -,e7e8
r1bqkb1r/1p1npp2/p2p1np1/7p/3NP3/2N1BP2/PPPQ2PP/R3KB1R w KQkq h6,a2a4
8/pr5k/5p2/4pP2/4n2N/2P3P1/P2R3K/8 w - -,d2c2
1Q6/8/1Q6/7k/5p2/2P5/6pq/5K2 w - -,f1e1
2r4r/1p2kppp/pq1pb3/4p3/4P1n1/2NQ2P1/PPPR1PBP/R5K1 w - -,b2b3
r1b1k2r/2q1bppp/p2p1n2/np2pP2/4P3/PBN1B3/1PP1N1PP/R2Q1RK1 b kq -,c8b7
r3k2r/2qnbp1p/pp3p2/2pb2B1/8/3B1N2/PP3PPP/2RQ1RK1 w kq -,g5h4
3r2k1/1p2r2p/p1pNqpp1/2P5/P3PP2/1PQ3P1/7P/4R1K1 b - -,b7b6
3r2k1/1pp3pp/8/2P5/1Pbn1r1q/6Q1/1B3PBP/4RRK1 w - -,g3h4
r1b1r1k1/p1q1bppp/1pn1pn2/2pp4/4P3/1PPP1N2/PB1N1PPP/R2QRBK1 w - -,e4e5
r1r3k1/p4p2/4p1pb/1pBnP3/3PQ3/3R1N2/P1q2PP1/4R1K1 b - -,g8g7
3N1nrk/2r2pbp/pNp1bnp1/2P1p3/8/1P2B1PP/P3PPB1/3RK2R b K -,f6d5
r4rk1/1ppqn1b1/2np2pp/p3p3/P1N1PP2/2P3Pb/1P2Q1BN/R1B2RK1 w - -,c4e3
3r1rk1/p1q2pb1/1p3npp/n1p1p3/P1Q1P3/2P3P1/1P3PBP/R1B1RNK1 w - -,c4e2
8/4p3/3p1k1p/3P1p2/2r5/5N1P/5PK1/8 w - -,g2g3
2q2rk1/5ppp/p2Qpn2/np3b2/2r5/2N3P1/PP2PPBP/R1BR2K1 w - -,c1f4
8/7p/1p2R1p1/p1k2pP1/P6P/1P6/3K1P2/7r w - -,e6e7
8/1R3pk1/6p1/rp5p/b2N3P/4PPK1/6P1/8 w - -,g3f4
r4rk1/4ppbp/bq1p2p1/p2Pn3/PpN1P3/1P4P1/2P2P1P/1RBQRBK1 b - -,e5c4
rnbqk2r/ppp2ppp/3b1n2/4p3/4p3/3P1NP1/PPP2PBP/RNBQK2R w KQkq -,d3e4
r3r1k1/pp4bp/2p3p1/q1n3B1/2p5/2N3QP/PP4P1/3R1RK1 w - -,g3f4
8/3k4/ppn3p1/3p1pBp/3P3P/1Pr3P1/P3RPK1/8 b - -,c3d3
3bq3/1p3Qk1/p1n3p1/P1p4P/2B5/3Pp2P/1PP5/5RK1 b - -,e8f7
r2q1bk1/3b1p1p/p2p2p1/1ppP4/P1P5/2B2Q1P/1PB2PP1/4R1K1 w - b6,f3f4
8/3K4/5k2/8/8/P7/8/8 b - -,f6e5
rnb2rk1/pp2qppp/3pp3/2p3Q1/2PP4/2P2NP1/P3PPBP/R4RK1 b - -,e7c7
r2q1rk1/1b1pppb1/1pn2np1/p1p4p/2P2N1P/P1NP2P1/1P2PPB1/1RBQ1RK1 b - -,e7e6
1nbq1rk1/1ppn2b1/3p4/3Ppp2/1PP1P1p1/2N5/3NBPPB/r2Q1RK1 w - -,d1a1
2q3k1/1p2Q1bp/p3b1p1/8/P2NK3/1P2B2P/6P1/8 b - -,e6b3
8/2R5/p2pk1b1/4p1Bp/P1p4P/2P5/2P1K3/r7 b - -,a1a4
r4rk1/b4ppp/8/1B2P1q1/1P2b3/4p3/2P1Q1PP/2BRR2K b - -,g5e5
rn2kb1r/pp3ppp/4pn2/q7/2BP2b1/5N2/PP1N1PPP/R1BQK2R w KQkq -,d1b3
4R3/1p2br1k/pB5p/P3pqp1/5r2/2PQ3P/1P3PP1/3R2K1 b - -,e5e4
5rk1/2q2p1p/6p1/1pr1p3/2p1P3/2P1Q2P/1P3PP1/R2R2K1 w - -,a1a6
rnbq1rk1/pp2bppp/5n2/3p4/8/1N1B1N2/PPP2PPP/R1BQ1RK1 b - -,b8d7
r2r1bk1/5p1p/2qN2p1/2P1p3/8/3QP3/6PP/1RR3K1 w - -,b1b6
1rb2rk1/p1q1ppbp/3p1npB/2p5/4P3/1BN5/PPPQ1PPP/R4RK1 w - -,h6g7
r7/1R2nP2/1N3k2/6p1/8/P4P2/6PK/8 b - -,a8h8
r3k2r/1bpqnp2/p2pp1p1/1p5p/3NPP1P/1PNP2P1/1PPQ4/R3KR2 b Qkq -,e8c8
8/1p2np2/p1p2k2/2Pp4/PP1P1KPp/8/7P/4N3 w - -,g4g5
4rr1k/1ppbn1pp/p2p2q1/PP3p2/2PBP3/5P2/3N2PP/R2Q1R1K w - -,d1b3
8/6kp/p5p1/8/3Pr3/4N3/3R1P2/5K2 w - -,f1e2
r2q2k1/1p6/p5P1/2pb4/3bpPP1/7Q/PP4BN/3R3K b - -,d8e7
2krr3/p4ppp/2pb4/4p3/R2p4/7P/PPPB1PP1/2K1R3 b - -,c8b7
2r1k3/1pqb2p1/pbn1p3/3pp1r1/PP5N/2P3B1/3NQPPP/2R2R1K b - -,c6d4
4r1k1/1p3ppp/pB6/4pb2/PbP3P1/1P6/3R1P1P/3RK3 b - -,f5c2
rnbqkb1r/pp1npppp/8/2ppP3/3P4/2P2P2/PP2N1PP/RNBQKB1R b KQkq -,e7e6
r3r1k1/pp1nqp1p/2pbbppQ/8/3P4/2NBPN2/PP3PPP/R4RK1 w - -,h2h3
bk1r1bnr/p1pq4/Bpn1p2p/P2pPpp1/1P1P4/2PQ1N2/4NPPP/R1B2RK1 b - -,g8e7
8/8/8/5ppp/1R6/r3k2P/6K1/8 w - -,b4b2
Q7/6pk/1p4r1/2bP1n2/4QPbp/6P1/6KP/8 b - -,f5e3
3b4/6k1/3R4/p3p3/2P1N1P1/5r1P/PP6/2K5 b - -,d8h4
r2qkb1r/pp2pp1p/2n1bnp1/2Pp4/3P1B2/2N5/PP3PPP/R2QKBNR w KQkq -,f1b5
5r2/4pk1n/3p2R1/p3pP2/Pp4P1/1P3P2/2r1N3/R3K3 w Q -,e2g3
3r2k1/6pp/p4p2/1p1q4/3P4/P1Q3P1/5P1P/3R2K1 w - -,c3e3
8/1p1k1p1p/1B4p1/P2pb3/8/P5P1/5P1P/5K2 w - -,f1e2
bqrb1rk1/3n1pp1/pp1ppn2/8/NPPNP2p/P4P1P/3QBBP1/2R2R1K b - -,f6h5
r4bkr/1p2p1p1/8/p2qBb1p/1n2NP2/5Q2/PP4PP/R4RK1 w - -,f1e1
r7/2p2k1p/1b4p1/4q3/5n2/4BP2/1P3P1P/3Q2RK w - -,e3f4
2r3k1/5p2/p3pbp1/1p1r4/3P1P2/P3B3/1P1R1PKP/5R2 b - -,g8g7
1r4k1/5p1p/3npqp1/p1rp4/Q7/P2B4/1P3PPP/1R1R2K1 w - -,b2b4
5bk1/p2Q1pp1/7p/1P6/3P4/4BKP1/1r5P/8 b - -,b2h2
3r1r2/ppp3kp/2n2pp1/2bN1b2/2P2P1B/P4B2/1P4PP/2KRR3 b - -,f8f7
