8/5p2/6k1/2pK2p1/2r4p/7P/1P3RP1/8 b - -,c4c1
4r3/1p2p3/p1b1P1kp/5pp1/2P5/1PR4P/4RBPK/3r4 b - -,e8d8
r1bq1rk1/bpp2ppp/p1np4/4N2n/4P3/1BPP3P/PP1N1PP1/R1BQ1RK1 b - -,c6e5
8/1r2npk1/2p1qp2/4p2p/P1R1P2P/3R2P1/2Q2PK1/8 w - -,d3c3
2q5/p3p1k1/3p2Pb/4p3/Q1p1P2P/2P2P2/PP6/KR6 w - -,a4a7
rn2kb1r/ppq2ppp/2p1pnb1/3p4/2PP2PN/1QN1P2P/PP3P2/R1B1KB1R w KQkq -,h4g6
8/r5k1/1R4P1/5P2/6K1/8/8/8 w - -,g4g5
2b1rrk1/2p1npp1/pp1p3p/3P2q1/2P1P3/3BN3/P1P1Q1P1/4RRK1 b - -,e7g6
2b1r1k1/1p1n2p1/1pp1p2p/2r1P3/5P1N/P1R1Q1P1/1q4BP/5RK1 w - -,c3b3
k5r1/1pp3r1/p1bqp3/5p1p/3P1Q1B/P4P2/1P3RPP/2R4K w - -,h4g3
5kr1/p4r2/Pbpq4/2p1p1pp/1pP1Pp2/1P1P1P1P/R1K1QBP1/7R w - -,a2a1
2r1q2k/1R2b1p1/5r1p/2PQ1p2/p2P4/4PN1P/K2B2P1/8 b - -,c8b8
r7/pnk1r1b1/2p5/1pP1pN1p/1n5P/1B2B1R1/PP4P1/2K2R2 b - -,a8f8
r1br2k1/1pq1bppp/p3p3/2p1P3/1nP1B3/6P1/PP3P1P/RNBQR1K1 w - -,d1f3
r1bq1rk1/pp3pp1/2nbpn1p/8/3P1B2/2NB1N2/PP3PPP/R2QR1K1 w - -,f4e5
r1b1k2r/1p1n3n/p2pQ3/6q1/4P3/2N5/PPP3PP/1K1R1B1R b - -,g5e7
br1q1rk1/4bppp/ppnppn2/8/1PP1P3/PNN1BP2/3QB1PP/2RR2K1 w - -,f3f4
3r1r2/6k1/p4npp/1ppq4/5R2/2P4P/PPB3P1/3R1QK1 b - -,d5e5
8/3k1p1p/R2P2n1/3B1p2/3K1P2/6P1/7P/4r3 b - -,e1d1
1rr3k1/1p1bbppp/p2ppnq1/8/P1P3P1/1PNQB2P/4PPB1/2RR2K1 b - -,d7c6
r1bqr1k1/pp1n1pbp/2p1p1p1/8/2PPn3/3Q1NP1/PP3PBP/R1BR2K1 w - -,d3e4
r1bq1rk1/ppp1npbp/3p1np1/4p3/2P1P3/2NP1NP1/PP3PBP/R1BQ1RK1 w - -,c1d2
8/1pR1k3/4B3/2PPnp2/8/8/3r4/1K6 b - -,e7f6
r1bqkb1r/pp3p1p/2n2np1/5PB1/2Ppp3/1N4P1/PP2P1BP/RN1Q1RK1 b kq -,f8e7
r3nrk1/3q2b1/1p1p2p1/pNnPpp2/4P2p/1P2BP2/P2NQ1PP/R1R3K1 b - -,h4h3
r3r1k1/ppq2ppp/2pb1nn1/3p4/3P4/2NBPPPb/PPQBN2P/R4RK1 w - -,f1f2
r1r3k1/pp1bp1bp/1q1p1pp1/3Pn3/3N3B/1BP2P2/PP4PP/R2QR1K1 b - -,a7a5
r3r1k1/2q1bppp/p1bppn2/1p2P3/3B1P2/P1N3Q1/1PP1B1PP/3R1R1K b - -,d6e5
r1b1nrk1/pp2b2q/2p1p3/2PpNp1p/P2PnN2/1P4P1/1BQ3BP/4RRK1 w - -,f4g6
r1b2rk1/pp2qppp/2nbpn2/3pN3/3P4/1P1B4/PBPN1PPP/R2Q1RK1 b - -,d6a3
R3bk2/p6p/2p1r3/2P1N1p1/3r1P2/P5PP/8/2R3K1 w - g6,c1e1
2r3k1/5ppp/8/p7/P2pn3/6PR/4NP2/4K3 w - -,e2d4
5rk1/ppq3pp/4b3/5p2/2P5/P4B1P/1P1Q1PP1/2KR4 w - -,f3d5
7k/2pb2q1/pp1p3p/3P1n2/2P2P2/1P1B2N1/P2Q2KP/8 b - -,a6a5
5brk/5p1p/1Q1p4/1N1PqP1p/3pP3/P6b/5RP1/5NK1 b - -,d4d3
rn2kb1r/ppN1pppp/2p5/5b2/3P4/1q3N2/PP2PPPP/R1B1KB1R b KQkq -,e8d7:e8d8
3r2k1/5ppp/rpn5/p1b5/3p1B2/P3P3/1P3PPP/2RRN1K1 w - -,e3e4
2r2rk1/2p1bppp/p3pn2/1p1q4/3Pb3/2Q2NP1/PP1NPPBP/R4RK1 b - -,c7c5
3b1rk1/1p4pp/p7/5Bn1/2qB2QP/4P1P1/P4P2/5RK1 b - h3,c4d5
2r3k1/1pp2ppp/8/1r3n2/1p6/1P2PK2/P2R1PPP/2N4R b - -,g7g6:f5h4
rn1qnrk1/pbp1bppp/1p1p4/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,c1e3
8/r1p2pk1/6p1/2R3P1/1KP2r2/8/8/4R3 b - -,f4f5
5rk1/p4p1p/1p2p1pq/8/2rP1R2/2P1QP2/P4P1P/6RK w - -,g1g4
3rr1k1/1pq3np/p2pbpp1/P1p5/R3P3/2N1QB2/1PP2PPP/5RK1 w - -,e3d2
r2qnrk1/pp2bp1p/2npb1p1/4p3/2P1P3/1PN1B1PP/P2QNPB1/R4RK1 w - -,a1d1
r4rk1/pp1n1pp1/2p1p2p/3p3q/2PPbP2/1P2QN2/PB2P1RP/R5K1 w - -,b2a3
r1b2rk1/pp2bppp/4pn2/q7/2p5/P1N1B1P1/1PQ2PBP/R2R2K1 w - -,c2e2
rn1q1rk1/1p2bpp1/p2pbn1p/4p3/4P3/2N2N1P/PPP1BPP1/R1BQR1K1 w - -,e2f1
1r6/4k1r1/p2nBp1p/n2P4/1ppN1PPP/8/P5R1/5RK1 b - -,e7f8
2kr1r2/1ppqbp2/p6p/3pP3/1P6/P3PQ1P/6PB/3RK2R w K -,d1c1
8/p4pk1/1p4p1/1PbR4/P3r3/6P1/5PKP/3B4 b - -,e4d4
2rqk2r/4bppp/pn1pb3/1p1Nn1P1/4PB2/1N5P/PPPQ4/1K1R1B1R b k -,b6c4:e6d5
6k1/4bp2/p1r1p3/1p1pP1pp/3P4/1P4P1/P2B1PK1/7R w - -,h1c1
r2q1rk1/1pp3bp/6p1/p2PpbN1/3np3/2Q4P/PP1B1PP1/2R1RBK1 b - -,b7b5
rn1qkb1r/1b3ppp/p2ppn2/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 w kq -,f2f4:h2h3
8/8/4pk2/4Rpp1/1r3P2/6P1/4PK2/8 w - -,f2f3
5k2/3b1p1p/pp1q1bp1/2np4/1N1N4/P2BP2P/1PQ1KPP1/8 b - -,a6a5
r1bq1rk1/1p5p/2npp1p1/p1p2p2/2PbPP2/P1NP2P1/1P4BP/1RBQ1R1K w - -,c3e2
r1r2bk1/3n3p/1p1pp1p1/p1p2p2/P1PP4/BP1N1PP1/2R1P2P/2R3K1 w - c6,d3f4
1r3r2/p3p1kp/3n2p1/3Bb3/1P6/8/P2B1P1P/3R1RK1 b - -,f8f5
3k2r1/2p3Qp/p1p2p2/3b4/7N/8/1Pq3PP/R6K w - -,g7f6
8/4R3/4p3/p1rk2P1/8/7K/8/8 w - -,g5g6
rnb1k2r/pp2bppp/1qp5/3pp3/6P1/3P3P/PPP1PPB1/RN1QK1NR w KQkq -,d1c1
2rqr1k1/pb1nbp1p/1pp2np1/3p2B1/Q2P1N2/2NBP3/PP3PPP/2RR2K1 b - -,a7a5
3qr1k1/2p1bp2/p3r3/3pPQp1/3P3p/4RN1P/PP3PP1/1R4K1 b - -,c7c5
rn1q1rk1/p4pp1/bp1bp2p/2ppN3/3P1PP1/2PBPN2/PP5P/R2Q1RK1 w - -,d3a6
r2q1rk1/1b2bppp/pnnpp3/1p4P1/4P3/1NN1BP2/PPP3QP/1K1R1B1R b - -,b5b4
8/8/4pk2/4p1p1/6P1/1PRK1P2/8/5r2 w - -,d3c4
r1b1kb1r/1pq2ppp/p1npp3/1B2P3/3P4/1QP2N2/P4PPP/R1B1K2R w KQkq -,b5c6
8/8/4k1p1/4p1Bp/5P2/2r5/4BPK1/8 b - -,e6f5
3b4/1p5p/p5p1/2p5/P1Nk4/1P5P/6P1/7K w - -,c4d6
r1bqkbnr/pp1npppp/3p4/1B6/3pP3/5N2/PPP2PPP/RNBQK2R w KQkq -,d1d4:f3d4
2r1k3/4bp2/3p1p2/p1qPpP2/1p2Q1P1/7r/PPPN4/1K1R1R2 w - -,d2b3
r3k2r/pp1bbppp/2n1pn2/3p4/3P4/2P1BN2/P2NBPPP/1R2K2R b Kkq -,b7b6
8/pppq2bk/5np1/2PPr3/1P2P2P/P2Q4/7P/4R1RK b - -,d7e8
8/r1p2kpp/8/p2P4/P4r2/2R4P/5PP1/4R1K1 w - -,c3e3
2rq2rk/3nbp1p/2R1p1p1/1p1nP3/p2P1N2/P3B1PQ/1P1N1P1P/5RK1 w - -,c6c8
8/3rqpkp/1Q2p3/p2rP1p1/PpR2P2/1Pn3P1/7P/2R2BK1 b - -,e7d8
8/R6p/3r1pk1/2p5/2p2Pb1/2N3P1/PP5P/4K3 b - -,d6b6
r2q1rk1/pb1nbppp/1ppn4/3pN3/3P1B2/2N3P1/PP2PPBP/2RQ1RK1 b - -,d7e5
5r2/1r4nk/1pRPp2p/pN3pp1/5P2/P5P1/1P2K2P/2R5 b - -,f8d8
4k3/5pp1/4p1p1/4P1P1/5B1P/5K2/1r3n2/R7 b - -,f2d3
8/1nBk4/6pp/2p1p3/2PbN1P1/3K3P/8/8 w - -,c7b8
8/4K3/1pk1N3/8/1Q6/3n4/6P1/8 b - -,d3b4
r1b2rk1/ppq2pbp/3p1np1/2pPp2n/2P1P3/1P4P1/PB1N1PBP/R2QNRK1 w - -,e1d3
rnb1k2r/1pq1bppp/p3pn2/8/2BP4/1QN2N2/PP3PPP/R1B2RK1 w kq -,c1e3:d4d5
8/8/8/K4pp1/P4k1p/1p5Q/8/8 b - -,g5g4
4r3/2Bb2kp/3P1pp1/3B4/1P5P/p1bR2P1/2r2P2/3R2K1 b - -,c3b4
r3r1k1/pb2qppp/1p1b1n2/3p4/3P4/1QR1PNP1/P2N1PBP/2R3K1 b - -,e8d8
8/5p1k/3n3p/pp1P2p1/8/PR2B2P/2q2PP1/3R2K1 w - -,b3b1
8/P5R1/r7/5P1p/4K3/7k/8/8 b - -,h5h4
1k1r3r/ppp2bp1/q3np1p/2p1pN2/3nP1PP/1P1PB3/PQP2P2/1K1R1B1R b - -,a6a5
r2q2r1/p1nkb3/1n2p3/1p1pP3/2pP2pp/P1P1Q3/1P2NPPK/R1B1NR2 b - -,d8e8
r1q1k2r/pp1b1ppp/1n1p4/8/2PbN3/1P1BBQ2/P5PP/R4RK1 b kq -,d4e3
r1bq1rk1/pp1nbppp/3pp3/3nP3/2BP4/P4N2/1P3PPP/RNBQ1RK1 w - -,d1e2
1rbq1rk1/pp2ppbp/nn1p2p1/2pP4/4PP2/1BN2N2/PPP1Q1PP/R1B2RK1 b - -,c8g4
r1bR1k1r/1p3p2/2p4p/p1b1p1pn/2B1P3/P1P2N1P/1P3PP1/R1B3K1 b - -,f8g7
2r2r1k/1Q5p/4p1p1/R1p1Pb2/1PPp1P2/2qn2N1/5R1P/6K1 b - -,d3f2
6k1/pp3pp1/6bp/1BP5/1P1NrBP1/7P/P4K2/8 w - -,f4e3
r3r1k1/pq2bppp/6b1/1p2PB2/2p1pB2/2P4R/PP3PPP/RQ4K1 w - -,f5g6
2r2rk1/1bq2ppp/3bpn2/1p6/2pPPPN1/2P3P1/1BB1Q2P/R2R2K1 b - -,f6d7
8/5k1p/p1np4/3p4/PP1B3r/2KR3P/8/8 b - -,c6d4
2r1k2r/2qnppb1/p2p2p1/1p1b3p/3NP3/4BP2/PPPQ2PP/1K1RR3 w k -,e4d5
8/8/8/5k1K/8/5n2/p7/B7 b - -,f3d2
r1b1k2r/1pq1bppp/p1nppn2/8/3NP3/1BN2Q2/PPP2PPP/R1B2RK1 w kq -,d4c6
r2qr1k1/pp1nppbp/5np1/3p2B1/3P4/1Q2PN1P/PP2BPP1/R4RK1 b - -,d8b6
8/1r3pk1/1pRR2p1/p1n4p/7P/P5P1/1P3PK1/8 b - -,c5d7
r1bq1rk1/pp3n1p/n2p1ppb/2pPp3/2P1P3/2NN1P2/PP2BBPP/R2Q1RK1 b - -,f6f5
8/pk3r2/1p5R/2pPp3/5R2/2P5/3K4/8 b - -,e5f4
r1b1k2r/pp1pppbp/5np1/q1P5/2PnP3/2N5/PP1N1PPP/R1BQKB1R w KQkq -,f1e2
r2q1rk1/pp1nppbp/2p1b1p1/3nN3/3P4/2P3P1/PP3PBP/RNBQR1K1 w - -,e5f3
r4rk1/1p3ppp/3bbn2/q1np4/P2Np1P1/2N1P2P/PBQPBP2/1K1R3R w - -,d4b3
1r3k1r/3R3p/p1B1pp2/1p2b3/1P3P2/P1P1R3/6PP/6K1 b - f3,e5f4
r1bqk1r1/5p1p/p2p4/np6/2pBP3/1BQ5/PPP2PPP/R4RK1 w q -,d4f6
r3r1k1/3b1npp/1ppq1p2/p1pPp3/P1P1PP2/1P2Q1PP/3N2BK/3RR3 w - -,d2f3
7r/5p2/5kp1/5b2/1R3b2/5PNP/7K/5B2 b - -,f6e5
8/3k1p2/8/1pPNnPp1/1P2K2p/8/6PP/8 b - -,e5c6
6k1/4bp1p/4p1p1/nq1p4/1p1P4/1P2P1P1/2Q1NP1P/5BK1 b - -,b5c6
1kn5/p7/1p1p2p1/3Pp3/8/2P1r3/3R3p/5R1K w - -,d2c2
5rk1/5r1p/3p4/2p1p1p1/4Pq2/1Q3P2/P4RPP/5RK1 w - -,b3e6
3q1rk1/1p3R1p/1p1p2p1/1B1Pp3/PP2Pp2/5Pn1/2Q3P1/2R3K1 b - -,f8f7
rn1qk2r/pppb1p2/4p1p1/3pP1np/1b1P4/2N1BPQ1/PPP1N1PP/R3KB1R b KQkq -,b4e7
r2q1rk1/1pbn1ppp/p1p1pn2/3p4/1PPPP3/P1NQ1N2/3B1PPP/R2R2K1 b - -,d5e4
r4r2/pppq2kp/3p2n1/3Nn3/2B1Ppb1/P1Q2N2/1PP2PP1/2KR3R w - -,h1h2
1b6/p3n3/BPp2k2/P1P1p1p1/8/6P1/3r1B2/1R3K2 b - -,d2a2
7k/2n1rr1p/p3pp1B/1pNq3Q/1n1P1P2/6R1/PP4P1/4R1K1 w - -,h5g4
8/3k2p1/2Nn1bp1/1pB1p2p/4P3/2PP1K1P/6P1/8 w - -,c6a7
r5k1/5pp1/4p1np/1pr5/4P3/1RP2P2/4N1PP/1R4K1 w - -,b3b5
3r1rk1/Q2q2pp/2pp1n2/8/2b5/2N3P1/P4PBP/3R1RK1 w - -,a7d7
5k2/p6Q/1b2bq1p/8/4pr2/3B4/P1P3PP/4R2K w - -,d3b5
r3k2r/p2bpp1p/2pp2pn/5P1q/4Pb2/1B5P/PPP3P1/R1B1QR1K w kq -,f1f4
r1bqkb1r/pppp1ppp/2n2n2/8/2P1p3/2N1PN2/PP1P1PPP/R1BQKB1R w KQkq -,f3g5
2r2rk1/p3p1bp/8/2p2p2/2R3p1/P2N2P1/1P2PPKP/R7 b - -,e7e5
r1bq1rk1/pp3pb1/2np2pp/2pPp3/8/P2P1NP1/1P2PPBP/1RBQ1RK1 b - -,c6e7
rn1q1rk1/pp2ppb1/2pp1npp/5bN1/2PPP3/2N3P1/PP3PBP/R1BQ1RK1 b - e3,f5g4
r2q1rk1/1bpnbppp/p4n2/4p3/Pp6/1Q1P1NP1/1P2PPBP/R1BN1RK1 w - -,f3d2
1rr3k1/3n1pp1/pnp4p/4P3/3P4/NN3R2/1PR3PP/6K1 w - -,g1f1
8/5pk1/7p/2pP4/2P4P/2bP2P1/4p2K/1R6 w - -,d3d4
r2q2k1/p6p/1p1p2p1/2pPp3/1PP1P3/P1N4b/3Q1nrP/2K2BRR b - -,f2d3
r1b1qrk1/1ppnn2p/5p2/p1b1pNp1/P1N1P3/2P1B3/1PQ1BPPP/R4RK1 b - -,e7g6
8/8/1p3p1p/7P/Pp4P1/5kP1/2K5/8 w - -,c2b3
8/8/2k5/2r2R2/8/4P3/4K3/8 w - -,f5c5
3rr1k1/1bq1bp1p/p1n1p1p1/8/1p1P2n1/P1N1BN2/1P2QPPP/1B1RR1K1 w - -,a3b4
2k3r1/ppp2p2/5b1p/8/7p/2P2N2/PPK2PPP/4R3 w - -,g2g3
4k3/7R/p3rp2/1rP5/5p2/2P4P/5PP1/R4K2 b - -,b5c5
2r3k1/p1q4p/4p1p1/1p6/2b4P/P7/1Q3PP1/2RB2K1 w - -,h4h5
8/5k2/8/1pK2p2/8/P1P2N2/1P1Rr2P/1b6 b - -,e2e3
1r1r2k1/5p1p/p1npp1p1/1pp5/2P1P3/P1NP4/1P3PPP/1R1R2K1 w - b6,c4b5
r5k1/1qnnbppp/3p4/1ppPp3/2P1P3/1PN5/1BQN1PPP/5RK1 w - -,f1a1
3r1rk1/1p3pb1/p3b1p1/2np2Np/2q2Q1P/6N1/P4PP1/1B2RK1R w - -,f4c4
r2qr1k1/pb3pbp/1pp3p1/3p4/P7/2P1Pn1P/1PQ1BPPB/R2R2K1 w - -,e2f3
r4rk1/1b1nbppp/pqp1p3/8/Pp1PP3/2NQB1P1/1P3PBP/R4RK1 w - -,a4a5
1r6/p2Bpk2/3n3R/1P1P1p2/P4p1p/8/4K3/8 b - -,b8d8
8/8/3p1n2/2pPp1k1/2P1P3/1R3BPK/3r1bN1/8 w - -,b3b8
r1b2rk1/1pq1bppp/p1n5/3n4/8/1N2B1P1/PP2PPBP/R2Q1RK1 w - -,d1d5
rnbqk2r/ppp1ppb1/5npp/3p4/3P3B/2N2P2/PPPQP1PP/R3KBNR b KQkq -,b8c6
2k5/4b3/2K5/2p1B3/2P5/8/8/8 b - -,e7h4
1r6/6p1/8/6p1/3K1k2/5P2/1p4PP/1R6 w - -,d4d3
r2q4/6k1/2p3b1/p2pP2p/Pb1P2p1/1P1N1r2/5PNP/R2Q1RK1 w - -,d3f4
3rr1k1/3nbp1p/p1p1q1p1/1p2p3/N3P3/P2RBP2/1PP2QPP/3R2K1 w - b6,a4c5
2r5/pp3k2/3npr1p/3p2p1/8/2PB1P2/PP4PP/3RR1K1 b - -,c8c7
6k1/6b1/6p1/7p/p2P2pP/PpN2r2/1Pr5/1K1R3R b - -,g4g3
8/ppk2rq1/3b4/3Q4/8/4R3/PPP2PP1/6K1 b - -,g7f8
rn1qkb1r/pp1n1p2/2p1p1p1/3pP2p/5PQP/2NP4/PPPB2P1/R3KB1R w KQkq h6,g4h3
3r2k1/5p1p/4p1p1/4N3/3P4/2b4P/5PP1/3R1K2 b - -,d8d4
2r3k1/1p3pb1/1B4p1/p3p2p/P7/2PR2P1/5PKP/8 b - -,e5e4
r4rk1/pbpn3p/1p3pp1/3pP3/5P2/P1PB2N1/7P/R1B2RK1 w - -,e5f6
3rR3/p4Pkp/5bp1/3Q4/1P3P2/5K2/P1r3PP/8 b - -,c2c3
8/7k/1p4p1/p7/P3QP2/5PK1/3q4/8 b - -,d2d6
r1bq1rk1/pp1nppbp/3p1np1/2p3B1/2PP4/2N1PN2/PPQ2PPP/R3KB1R w KQ c6,d4d5
1r6/8/8/pppB1b2/2Pk1p2/P1R5/1P2KP2/8 w - -,d5f7
1r4k1/2q1ppbp/r5p1/1p6/p1npP3/P2QB1NP/R1P2PP1/5RK1 w - -,e3d2
2r2rk1/3bbpp1/pq1p3p/3Pp3/1p2P1P1/1P1Q1N1P/P2B1P2/2RR2K1 w - -,d2e3
8/3k4/2pn2p1/r4p1p/1p1P3P/1P1B2P1/1r1K1P2/1R6 w - -,b1b2
2r2rk1/1bq1npp1/pp5p/2pppPb1/P3P3/N1PP2P1/1PQN2BP/2R1R1K1 w - -,c1d1
2kr4/pp1rbppp/2n2n2/1B2p3/8/1P2NP2/1PPB2PP/2KR3R w - -,h1e1
8/p1p2k2/bp1p3p/6p1/P1P2n1n/2B1KP2/7P/2R5 b - -,f7e6
r1r3k1/1b1nbppp/pq2pn2/1P4B1/3pN3/1QN1P2P/4BPP1/R1R3K1 w - -,g5f6
3r2k1/p2q1p2/1b4p1/2p2b2/2B2B2/1PP3Q1/6PP/5RK1 w - -,g3h4
r1b2rk1/pp3ppp/1np5/8/3PN3/P3P3/B4PPP/R3K2R b KQ -,b6d5
8/7p/6p1/8/1Ppk3P/8/2K2PP1/8 b - -,c4c3
1k1rn3/1q6/3pB1Q1/P7/2p5/2P3P1/7P/3R2K1 b - -,b7a7
5k2/1R5p/5bp1/B1p1n2n/4Pp2/1PN2P2/2r1B1PP/6K1 w - -,b7c7
r2q1rk1/pbpnbppp/4pn2/1p1p4/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 b - c3,b5c4
3rr1k1/bppq1pp1/p1n1bn1p/4p3/3pP3/2PP1NNP/PPB1QPPK/R1B1R3 w - -,f3h4
2q2rk1/4ppb1/4bnp1/1r5p/1p1pPP2/1P1N2PP/2PB2BK/1RQ2R2 w - -,b1b2
4k3/p4p1R/1pn1pB2/1B1b4/7P/8/PP3PPK/3r4 w - -,h2g3
rnbqk2r/pp3ppp/3ppn2/2p5/2PP4/2P2N2/P1Q1PPPP/R1B1KB1R w KQkq c6,e2e4
8/8/4np2/7p/1pk1P2P/4KN2/8/8 w - -,e4e5
1rb2rk1/2N3bp/p5p1/2pPp3/q1P1P3/6P1/PP2Q3/R3KN1R w KQ -,d5d6
8/pp6/2p3b1/8/2B1k3/P1P3K1/8/8 w - -,g3f2
r5r1/1b2kp2/3p1p1b/p1q1pP1N/1pB1P2P/8/PPP1Q1P1/1K1RR3 w - -,h5f6
r2qkb1r/pp1npp1p/2p1bnp1/3PN3/5B2/2N5/PPPQ1PPP/2KR1B1R b kq -,e6d5
3N4/1K6/8/2k5/P1n5/8/8/8 w - -,d8c6
4nk2/5p2/p3n2p/1p2P1p1/1P6/PN4PP/4KPB1/3R3r b - -,h1d1
8/8/K6Q/8/3q4/6p1/5k2/8 w - -,h6f8
1r3r1k/1p4pp/4Rp2/p1pn4/P1N2Pq1/1QP5/1P3BBP/4R1K1 b - -,d5f4
3Rnk2/5p1p/2b3p1/p1p1p3/P1P1P3/4NP2/4BKPP/1r6 b - -,f8e7
3Q4/6k1/6p1/1K1RP1Pp/7P/1P1P4/3q4/5r2 w - -,d5d7
r3k2r/pppq2pp/2npbp2/8/8/2P1QN2/PPP2PPP/1K1R1B1R b kq -,e8g8
r4rk1/1p2qpbp/n1pp1np1/p3p3/P1PPP3/2N1BQ1P/1P2BPP1/3R1RK1 w - -,f3g3
1rb1rbk1/2qn1p1p/p1p2np1/2P1p1N1/2Q1P3/2N1B1PP/P4PB1/2R1R1K1 b - -,e8e7
r5k1/6rp/p2p2p1/1p5n/4N3/5PP1/PPP5/2KR3R w - -,g3g4
5rk1/5ppp/bp6/8/3b2q1/3n2P1/PpQ2BBP/1R1R2K1 w - -,d1d3
2r1rbk1/5ppp/p7/1p1RBp2/5P2/2P5/PP4PP/1K1R4 b - -,f7f6
2R5/3r4/5p2/4k1p1/4p3/1P2N1P1/1K3P1P/8 b - -,e5e6
8/3r4/1PbN3p/r1Pk2p1/4p3/4N3/5PPP/2R3K1 b - -,d5e6
2k1r3/ppp2ppp/8/1r3p2/3P4/4P1P1/PP1K1P1P/R6R w - -,b2b3
2r2rk1/pbq2ppp/1pnbpn2/2ppN3/3P4/PP1BPQ2/1BPN1PPP/R4RK1 w - -,f3g3
r3r1k1/p1b3pp/1pp2n2/6N1/5Nb1/P5PP/1PPB4/2K1R2R b - -,g4f5
r1bq1rk1/5ppp/p1p2n2/3p4/Pb6/2N1B3/1PPQBPPP/R2R2K1 w - -,d2d4
1rbq1rk1/1p2npbp/p1np2p1/2p1p3/P1P1P3/2NPB1P1/1P2NPBP/1R1Q1RK1 w - -,g1h1
r2k3r/pb1nb1p1/1p1p2Bp/8/3P1P2/5NP1/PP1N3P/R4RK1 b - -,d7f8
r2qkb1r/1p1npppp/p2p1n2/2p5/P3P3/5N2/1PPP1PPP/RNBQR1K1 b kq -,e7e6
r4r1k/p2p2pp/4p3/1Ppq1p2/8/2P3P1/1P2QP1P/R3R1K1 b - -,c5c4
2r2rk1/4bpp1/p3pn1p/1q1p4/NPnP1B2/1Q2PB1P/2R2PP1/5RK1 w - -,f1b1
r2qr1k1/1p1b1pb1/p2p1n1p/1B1Pn3/P1p1P1p1/2N1B1N1/1PQ2PPP/R3R1K1 w - -,b5d7
8/4k3/4p3/8/3Rb1P1/3p2K1/8/8 b - -,e6e5
r1bq1rk1/pp3ppp/2n1pn2/2pp2B1/1bPP4/2N1PN2/PP3PPP/2RQKB1R w K -,d4c5
3rrqk1/2p3p1/pb3p1p/1bpPN3/6Q1/1P5P/PB3PP1/3RR1K1 w - -,e5g6
8/3r1k2/5p1P/3ppP2/R7/P1P5/1P6/2K5 w - -,a4a8
r3nrk1/pp1q1p1p/3bp1p1/3p1P2/3P2P1/2PB1Q2/PP5P/R1B1R1K1 b - -,e6f5
1r4k1/4b1pp/1qb1Pp2/p4Q1P/Pr2p3/1B2B3/1PP3P1/1K1RR3 b - -,b6b7
r1bb1r2/1pq2p1k/p1nppPpP/8/3NP2Q/2NnB3/PPP4P/R4RK1 w - -,d4f3
rq3rk1/4bppp/p1bpp3/7Q/Pp2P3/2PB3P/1P1B1PP1/R3R1K1 b - -,b4b3
3r1k2/1p2nppp/p2r4/3p4/3R3P/1P2P1P1/P4PB1/3R2K1 w - -,e3e4
5n2/2Q2k1p/3pp3/2p3K1/P1P2P2/8/3r3P/8 b - -,f7g8
8/2N2p1p/5kp1/8/8/3r3P/5PPK/8 w - -,c7a6
8/8/p2kbp1p/np4p1/2p1P3/P1P1K1P1/1P2BN1P/8 w - -,e2d1
