8/8/2B5/7p/3R2p1/1kn1P1P1/8/r3K3 w - -,e1f2
Q3r2k/4n1pp/5p2/2R5/1p1P4/r4NP1/PR3P1P/6K1 b - -,e8a8
r1b2rk1/ppp5/3p2pp/4b3/2P1p2q/2N1KB1P/PPQ3P1/R1BR4 w - -,c2e4
8/5pk1/3R2p1/4P2p/r4K1P/5PP1/8/8 w - -,f4e3
3rr1k1/1p1qnpbp/p1p3p1/3np3/1P2N3/P2PPB2/1BQ2PPP/2R2RK1 w - -,f1d1
1q4rk/6Rp/5Q2/2B1pp2/8/2P2P2/PP6/2K5 b - -,g8g7
8/2p4R/1pPp4/1P1n4/3kp1P1/7P/5r2/7K w - -,h7h8
2qr2k1/3r3p/1p2p1pb/p1p1Pp1n/2Pn1P2/PPBNQNPP/3R3K/5R2 w - -,c3d4
1r1qr1k1/1ppbppbp/p1np1npB/8/2PP4/2N2NP1/PP1QPPBP/2RR2K1 b - -,b7b5
1r3rk1/p4pb1/4pqp1/1pnp4/1p1P1P2/1P2B3/PN3PP1/R2Q1RK1 w - -,d4c5
r1bq1rk1/pp3ppp/3bpn2/2p1N3/3P4/2PBPQ1P/P4PPB/R4RK1 b - -,d8c7
8/8/R2k4/3r2p1/1b1Npp2/2P4P/4K1P1/8 b - -,d6d7
2r2k2/8/3r2p1/bP2pB2/2P2n2/5PN1/5KP1/3R3R b - -,a5b6
3b4/3k4/2n1p3/4Ppp1/5P2/5KPN/8/8 w - -,f4g5
r2q1r2/1p2p1kp/2np2p1/p1n2b2/2P5/2N1N3/PP2BPPP/R1Q2RK1 b - -,f5d7
rnbqkb1r/1p2pp1p/p1p2np1/3p4/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,f8g7
6k1/1p3p1p/6p1/nP1N4/8/6P1/5PBP/2b3K1 b - -,c1b2
r1bqkb1r/pp2nppp/2n1p3/2pp4/4PP2/2N2N2/PPPPB1PP/R1BQK2R w KQkq d6,d2d3:e4e5
r4rk1/1pq1bppp/1npp1n2/p3p3/P2PP1b1/1PN2N2/1BP2PPP/R2QRBK1 w - -,d4d5
r1bq2k1/ppp2rb1/3p1nn1/2PPp1pp/P3Pp2/2NN1P2/1P2BBPP/2RQ1RK1 w - h6,a4a5
1n1qrr1k/2R3bp/3p2p1/3Q4/1p2P3/1P5P/P4BBK/5R2 w - -,d5b7
1qr2rk1/1p2ppbp/p2p1np1/8/3PP3/3Q1BP1/PP1B1P1P/2R1R1K1 w - -,d3b3
5r2/p3r3/1p1p4/4p1kP/1PP1P2n/4Pp1Q/5P1P/5N1K b - -,g5h5
r1b2rk1/pp3p1p/n1pp2p1/4b1P1/2P1P3/2N1B3/PP3PP1/R2R1BK1 b - -,a6c5
rnbqkb1r/pp2pppp/8/2pp4/3Pn2B/2P1P3/PP3PPP/RN1QKBNR b KQkq -,b8c6
4r3/1p1n2pk/3B3p/2P5/1P1np3/R2P4/6PP/3N2K1 w - -,d3e4
6k1/5p1p/p2p2pb/P1nP4/3Nr3/2r2NP1/5P1P/3RR1K1 b - -,g8f8
b2r1rk1/p4ppp/1np1p3/4b3/2P5/1PN1K1P1/PB3PBP/3R3R w - -,d1d8
8/k1p1R3/2P4p/5P2/N1p4P/P4rr1/KP6/8 b - -,f3f1
4B3/8/8/3R3p/6p1/1k2P1P1/4n2r/5K2 b - -,e2g3
2kr1b1r/ppp2ppp/2n3b1/3qp1N1/6P1/3P3P/PPP1BP2/R1BQ1RK1 b - -,c6d4
rn3rk1/pb2ppbp/3p2p1/q1B1P3/5Pn1/2N2N2/PPPQ2PP/2KR1B1R w - -,c5a3
r3kbr1/pp2p2p/2n1b3/q3ppN1/7Q/2N1P2P/PPP4P/2KR1B1R b q -,e6a2
3r1r1k/6p1/2p1P2p/pb1pP1q1/2P3P1/1P3B2/6QP/4R1RK b - -,d5c4
r4rk1/pp3pbp/2R3p1/q2N1b2/4np2/1B2PN1P/PP2QPP1/5RK1 w - -,c6c7:c6c1
3r3k/p1Qq2bp/1p4p1/5p2/1B1P4/P6P/1P3P2/3R2K1 w - -,c7d7
r7/1p2qkp1/2bbnn2/3ppBp1/p7/1N2BPQ1/PP4PP/2R2RK1 w - -,b3d2
5rk1/ppr4p/2p1bnp1/2PpNp1n/3P4/3BP3/P3NPPP/1R2R1K1 b - -,h5g7
3k2r1/p1p4p/b3p3/2p1P3/7p/1PB3P1/P2K1P1P/7R w - -,d2e3
4k2r/3p1p2/1prPp1qp/p3P1b1/8/Q5B1/P4PP1/3RR1K1 w k a6,f2f4
r3nrk1/pp4bp/3p4/2pPp3/2P2p2/7P/PP1BBPP1/1R2K2R w K -,d2c3
2k5/K1b5/P6p/5R2/6p1/r7/8/8 b - -,g4g3
r2qr1k1/pp3ppp/1np5/3p4/3Pn3/1PN3PN/P2QPP1P/R4RK1 w - -,c3e4
r2q1rk1/1p2bpp1/2n1bn1p/p2p4/3N4/P1N1B1P1/1P2PPBP/2RQ1RK1 b - -,e6g4
8/8/6pp/5pk1/1R6/5KP1/r4P2/8 b - -,h6h5
8/5k2/4Np2/4nP1K/6P1/8/8/8 w - -,e6f4
4r3/5pk1/1p2p1pp/p1rnN3/PnN5/1P4P1/2P1RP1P/2R3K1 b - -,b4a2
Q1bk4/p2p1ppp/2nP4/qpp5/1r6/2b1P3/PP1KBPPP/1RR5 w - -,c1c3
6k1/3bQpbp/3p4/1p1P1P2/1Pq3pP/6P1/4NPB1/6K1 b - -,d7f5
r4rk1/1p1nb1pb/2pp2qp/4p1n1/1PPPPp2/5P2/1BQNN1PP/2RR1B1K b - -,h6h5
8/1R1k4/3p2p1/4p2p/4P2P/1P2r3/6PK/8 b - -,d7c6
8/R7/8/8/4kp2/6r1/5nPK/8 w - -,a7a4
3k4/3P2pp/2K5/2N5/5p2/8/4nPPP/8 b - -,e2d4
r3nrk1/pppb4/4p2p/2q1P1p1/4p3/1Q2B3/PPP1B1PP/R4R1K b - -,f8f1
r2q1rk1/p3bppp/bpn1pB2/3p4/3P4/1PN2NP1/P3PPBP/R2Q1RK1 b - -,e7f6
2kr4/1p2qp2/p1p1p1p1/2NpPn2/Q2P4/P6p/1PP2P1P/2KR4 b - -,e7c7
r4rk1/1ppq2pp/p1p3n1/5b1Q/8/2N5/PPP2PPP/R1B1R1K1 w - -,h5e2
8/8/6R1/7p/7P/p4kP1/6r1/1K6 b - -,g2g3
8/5k1p/p3p3/B1p1PP2/2P3P1/7p/P2K2bP/8 b - -,g2f3
8/2r2p2/pkp1p1pp/2Rr4/1PR5/2P3P1/4PPKP/8 b - -,d5c5
r2qk2r/pp4b1/3p2pp/1PpP1b1P/4p1P1/3BB3/PP1Q1P2/2KR3R b kq g3,f5g4
3r1rk1/1p2q1p1/p1p1b1Bp/P3Bp2/1bP1nQ2/1P3N1P/R3RPP1/6K1 w - -,g2g3
8/8/pp3k1p/P1bK4/8/2p4P/8/N7 b - -,c5f2
rnb1kbnr/ppq1pppp/8/4P3/1Pp2N2/N1Pp4/P2P1PPP/R1BQKB1R w KQkq -,f4d5
2kr3r/1p2bppp/p1nq4/2pp1b2/5P2/1PNP2Q1/PBP1N1PP/R4RK1 w - -,c3d1
r2q1rk1/pp2ppbp/4b1p1/3N1n2/8/1B2B3/PPPQ1PPP/2KR3R b - -,e6d5
2r4r/p1p1kp2/2pq1N2/3b3p/5Pp1/2Q5/PP3P1P/2KRR3 b - -,e7d8
2Q3k1/1p6/5qp1/p2p4/2n5/1B5P/PP3PP1/6K1 b - -,f6f8
r3kb1r/pp2pp1p/2n2p2/1Q6/2pP4/2P1PN2/P4PPP/qN2KB1R b Kkq -,a7a6
6k1/R7/7p/5Rp1/2r1p1P1/4P2P/1r3PK1/8 b - -,b2b1
1k1r4/1q1rnp2/p1p1p1p1/4P2p/1PRP1P1P/P1Q1B1P1/5K2/2N5 b - -,e7d5
r1bq1rk1/ppp1b1pp/2np4/3Ppp2/2P1P3/2P2NP1/P1Q2PBP/R1B2RK1 b - -,c6b8
8/8/1K3kpp/p4r2/P4pRP/P4P2/5P2/8 w - -,b6c6
3q1rk1/4ppbp/p2pbNp1/1r6/3Q4/1P4P1/PB2PPBP/R2R2K1 b - -,g7f6
r1b3k1/1p3p1p/p1p4b/4rPN1/3pP3/3P3P/PPP5/1K4RR b - -,h6g5
1r4k1/2p2ppp/1b3n2/4r3/8/5B2/1P3PPP/R1B2RK1 w - -,a1a4
2Q3k1/5qp1/3p2Np/3P4/4p2P/p3Pb1K/1r3P2/5R2 b - -,g8h7
r5k1/ppq2r1p/2n1pbp1/2Bp4/1P3P2/P1PB3P/5QP1/2R2RK1 w - -,f2e2
6k1/4bp2/p1N5/P2p1P2/1P4p1/2P3Pp/7P/5K2 b - -,e7d6
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/4P3/5NP1/PPPPQPBP/RNB1R1K1 b kq -,e6e5
2kr3r/1pp1bp1p/p1n3p1/5q2/2RP1B2/5N2/PP3PPP/2Q2RK1 b - -,f7f6
r5k1/1pp2ppp/p2p1b2/3P4/q4B2/2PQ3P/PP3PP1/4R1K1 w - -,d3e4
1rb2rk1/1pnnqpb1/p2p2p1/2pPp1Pp/1PP1P2P/P1NBBP1N/2Q5/1R2K2R b K b3,b7b6
r4r1k/p1p1np1p/1p2pp2/3q4/3P4/2Q1PN2/PP3PPP/R4RK1 b - -,f8g8
r3k2r/1bq1bpp1/p1npp3/1p5p/4PPn1/1NNBB2Q/PPP3PP/R4R1K w kq -,e3g1
r3kb1r/p1n2ppp/qpn1p3/4P3/2pP4/2N1BN2/PPQ2PPP/3R1RK1 b kq -,c6b4
1r1qkb1r/p2n1ppp/2p1b3/1p1pP3/5Q2/2BBP3/PP3PPP/RN2K2R w KQk b6,a2a3
r1b2rk1/2q1bppp/p1Nppn2/1pn5/4P3/1BN1BP2/PPP3PP/R3QRK1 w - -,c6e7
5b2/1B3p2/5n1k/1KP1pPp1/4P1P1/4B3/8/8 b - -,f6g4
8/2k3p1/2b1p2p/2P1p3/8/4K1P1/2P1B2P/8 w - -,e2f3:e2f1
3r4/5p2/3n1kp1/1p1Pr2p/p1p4P/P4BP1/1P1R1P2/3R1K2 w - -,d2d4
6k1/5p2/1p6/2p3pp/P7/1p1rPPP1/1P1R3P/4K3 b - -,d3e3
8/1R3p2/p2Brb2/1p2pNpk/3nP3/P7/1P3PP1/6K1 w - -,b7b6
r1bq1rk1/pp3pp1/2n1pn1p/b7/2BP4/P4N2/1P2NPPP/R1BQ1RK1 w - -,b2b4
1r4k1/5pp1/p2q1n1p/P2P4/1p4P1/1Nb2Q2/4R2P/3R3K b - -,b8d8
8/5kpp/2R2p2/1p2r3/6P1/1r2PK1P/8/4R3 w - -,c6b6
r1bq1rk1/1pp2ppp/2n5/p2n4/1b6/1NN1P3/PP1BBPPP/R2QK2R w KQ -,c3d5
rnbq1rk1/ppN2ppp/2p5/3p4/3QnB2/2b5/PPP2PPP/2KR1B1R w - -,b2c3
r2q1rk1/pp1n1ppp/2p1pnb1/3p4/1bP5/1P1P1NP1/PB1NPPBP/R2QR1K1 w - -,a2a3
2rqr1k1/1b1n1pb1/pp3Pp1/4p1P1/P1pPp1N1/2P3Q1/1P4B1/R1B1R1K1 b - -,g7f8
4rnk1/pbq1rp1p/1p4p1/3p2P1/3P2P1/2NB1P2/PP1Q2R1/1K5R b - -,e7e3
r2qkb1r/pb1n1p1p/2p1p1p1/3pP3/1p1P3P/3BBN2/PPPQ1PP1/R3K2R b KQkq h3,h7h6
3R4/5pk1/1p2b1pp/p1p5/Pn2BPP1/1r5P/8/4R1K1 w - -,f4f5
2r5/p2k4/4pQ1p/1B6/4n3/1P6/PK3PPP/8 b - -,d7c7
r2q2k1/p3ppbp/1p1p2p1/2nPn3/1Q1NP3/4BP2/PP2B1PP/2R3K1 w - -,b4d2
5nk1/5bp1/2P2p1p/r3pP2/8/6PP/6BK/1RB5 b - -,a5c5
r1b1k1nr/p3ppbp/1qpp2p1/8/4P3/1N2B3/PPP2PPP/RN1Q1RK1 b kq -,b6c7
r1b2rk1/1p1n2pp/1q2pp2/pPbpn3/P2N1P2/B1PQ1N1P/4K1P1/R4B1R w - -,f4e5
r3k2r/1b1n1ppp/p1n1p3/2qpP3/1p3P2/2PB1N2/PP1QN1PP/R3K2R w KQkq -,e2d4
1rb1k2r/3n4/4p1pp/pqbpP3/1PPR1QPP/5N2/1P6/2K1BB1R b k c3,b5b7
8/1q4pk/p2bp2p/2pb1p2/P4P2/1PB1P2P/3N1QPK/8 w - -,f2e2
8/4RR2/p4bp1/1p6/4nk1P/8/2K5/r2B4 b - -,a1a2
r3r1k1/2p2pp1/1pN4p/1PbQP3/5R2/6P1/q4P1P/3R2K1 b - -,a2d5
4r1k1/5pb1/3p2p1/p2Pp1P1/q1P2P2/P2Q4/5BK1/4R3 w - -,f4f5
r3r2k/pp1q2bp/n1p2p2/3p2p1/3Pn3/1QPNBN2/PP3PPP/R3R1K1 w - -,b3c2
1r3rk1/p3ppb1/1q1pb1pp/n1p5/2P2PnN/BPN3P1/P2QP1BP/1R3RK1 w - -,f4f5
r2qk2r/pp1n1ppb/2p1p2p/3n3P/2BP1B2/6N1/PPP1QPP1/2KR3R w kq -,f4d2
8/2k2pp1/p1n1p2p/1p2b3/7P/1PPKB1P1/P4PB1/8 w - -,h4h5
r2k2N1/pppbn3/4p1r1/3p1p1p/3P4/2PB2R1/PP3PPP/R5K1 w - -,g8e7
3r2k1/p5pp/5q2/4Nb2/2Q5/8/PP3nPP/RN4K1 b - -,f5e6
r7/5pp1/2kpb2p/p1p5/7P/PPR3P1/1NP1KP2/8 b - -,d6d5
2n5/pp5p/2pk2b1/4p1p1/1PB1Pp2/P1P2P1P/2KN2P1/8 w - -,c4e2
8/8/3k4/7R/4K3/8/5b2/8 b - -,d6c6
r1r3k1/pq2ppbp/p5p1/5b2/3P4/Q3PNB1/P4PPP/R1R3K1 w - -,f3d2
4r1kr/3Q1bpp/8/3p2PP/8/3BP3/6K1/8 b - -,f7h5
8/b7/8/6p1/7k/3N3p/4K3/5N2 w - -,d3e5
r1b1r1k1/p2qppbp/2Np2p1/3N4/2P3n1/4PQP1/PP3P1P/R1B2RK1 b - -,c8b7
2r2rk1/p1q2pp1/Qp2pn1p/3p4/3P4/2P2N1P/PP3PP1/RBB1n1K1 w - -,f3e1
5k2/3R1p2/r5p1/4P2p/4K2P/6P1/5P2/8 w - -,d7d6
8/8/8/8/6p1/7q/4Q3/4K2k b - -,h3g3
6k1/5pp1/8/7p/1P2P3/3Q3P/1q4P1/7K w - -,b4b5
r1b2bk1/pp2p3/3p3p/2pPq1p1/2P3B1/4Pp1P/PPQ3P1/R4RK1 w - -,f1f3
r1b5/5r1k/2p3pp/q1B1bP2/p3P1n1/2p2R2/P1B1N1P1/3RQ1K1 w - -,c5d4
2R5/q2r1ppk/1b1p3p/p2Qp3/Pp2P3/1P3RP1/1P3P2/6K1 b - -,h7g6
5k1r/1pb3pp/p4n2/5Pn1/N1Br4/3P4/PP4KP/R1B1R3 w - -,h2h3
r5k1/1b3r1p/p1qp1Pp1/4p1B1/2n1P3/3B3Q/2P1R2P/5RK1 w - -,g5h6
r4k2/4Npp1/7p/2R1n3/3P4/4P3/5PPP/6K1 w - -,c5c8
2r3k1/1q1n1ppp/p1r5/8/1P2QB2/P6P/2R2PP1/R5K1 b - -,d7f6
8/p7/5N2/p3p3/P3P2k/1P4p1/3b2K1/8 b - -,d2e1
rnb1k2r/1pq1npp1/4p2p/p2pP3/P1pP4/2P2N2/2P1BPPP/R1BQK2R w KQkq a6,h2h4
8/8/5p1p/p1r2kP1/5B2/4P1P1/3nP1K1/R7 b - -,h6g5
2r4r/2pn1k2/1pQpq2p/p4p2/P1PP1p2/2P1P3/3NKPR1/6R1 b - -,h8g8
8/Q7/1p5q/6k1/8/4P1P1/5PKP/8 b - -,h6c6
rr3bk1/2q2ppb/p1Pp1n1p/1p1Pp3/P3P1P1/5N1P/2BB1P2/R2QR1K1 b - a3,b5b4
r2qnrk1/3nbppp/bpp1p3/p2pP3/2PP4/5NP1/PPQN1PBP/R1BR2K1 w - -,g2f1
8/pp1r1k2/7p/5pp1/1P1Pn1Pn/P3P2P/5P2/2RR1K2 w - -,f1e2
2R2r1k/6p1/3pQ2p/3P1p2/P3pq2/1P5P/6P1/6K1 b - -,f8c8
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2N2N2/PPQ1BPPP/R1B1K2R b KQ -,a6b5
rn1qkb1r/1b3ppp/p1p1pn2/1p1p4/2PP4/1P3NP1/P1QNPP1P/R1B1KB1R w KQkq -,f1g2
8/2b2pk1/p6p/P1r5/6p1/4P1P1/R1pK1P1P/2N5 w - -,c1b3
8/5pk1/4nN2/4P1p1/r4P1p/6P1/6PK/5R2 w - -,f4f5
8/3kbp2/2p5/p1p1Prr1/P1PpR2p/1P1N1RpP/3PK1P1/8 b - -,f5f3
r3rbk1/pp3p1n/2pp3p/4P1p1/7P/1BP1B3/PP2RP1K/3R4 b - -,e8e5
r2qk2r/pp1n1ppp/3bpn2/2pp4/3P2b1/1P2PN2/PBP1BPPP/RN1Q1RK1 w kq -,b1d2
8/R4p1p/1P2k3/3p2rP/1K1P4/8/1P6/8 b - -,g5g8
r2q1rk1/3bppb1/pp1p2np/P1pPn3/2P1P3/1NN3BP/1PQ1B1P1/R4RK1 w - -,g3e1
r1b1k2r/3nbppp/1qn1p3/ppppP3/3P1P2/2P1BN2/PP1QB1PP/R2NK2R w KQkq -,d4c5
br3rk1/5ppp/pp1Rp1n1/8/2P2P2/6P1/PP1NB2P/R5K1 w - -,b2b4
4r1rk/1bq1B1bp/pp4p1/3p2Q1/4N3/2P5/PP3PPP/3RRBK1 b - -,e8e7
r2q1rk1/pp2nppp/2nb4/3p4/6bB/1N3N2/PPP1BPPP/R2Q1RK1 b - -,d8c7
2r5/2rnkppp/p3p3/2N5/1PR5/P3P3/4KPPP/2R5 b - -,a6a5
r5k1/pbp1q1pp/1p3n1r/3p4/3Pp3/2N1P2B/PPQ2PPP/2R2RK1 b - -,b7c8
1r2k2r/1p3bpp/pNn2p2/4pP2/1P1pP3/3P4/P2B2PP/R4RK1 b k b3,e8d8
1rNqrn2/1p4k1/p1p3pp/2Qp1p2/1P1P2nN/3BP1P1/P4PK1/4RR2 b - -,b8c8
2R5/2r3p1/3b3p/p2pk2P/B3p3/1P2P1P1/P4PK1/8 w - -,c8e8
1k1r3r/1pp1q2p/1n2pp2/nP6/p1PP2b1/P1Q1BN2/1K2B1PP/3RR3 b - -,g4f3
r1bqrbk1/1p3p1p/1n1P2p1/pNp5/P3p3/1P2BB1P/5PP1/2RQK2R w K -,f3e2
5r1k/p1rbbn1p/qpp1p3/4Pp2/PP3P2/4BN2/2Q1P1BP/1R3R1K w - -,f1c1
r1q1r1k1/1ppb2bp/1nnp2p1/p1P2pB1/3P2P1/PPN2N1P/4BPK1/2RQ3R b - -,d6c5
n2Q4/6pk/2q1pp2/3n2p1/1p1P4/1P3B1P/P2B1PP1/6K1 w - -,f3d5
r1bqr3/pp3pbk/2pBpnpp/4n3/2pP4/1PN3P1/P2QPPBP/R4RK1 w - -,d4e5
7k/1bp2q1p/p2p2p1/2pPb2r/2B5/1P3P2/P3Q1PP/3R2BK w - -,g2g4
8/2k5/2p5/1pP2Bp1/1b6/3K4/8/8 b - -,b4c5
rn1qkbnr/pp2ppp1/2p4p/3pP3/3P4/2NQ4/PPP2PPP/R1B1K1NR b KQkq -,e7e6
1r4k1/pb3rpp/4q3/2p5/2B5/1Pb2PpP/P1P3P1/3R1R1K w - -,c4e6
6k1/5p1p/p1p1b1p1/1rBp4/3P4/PR6/1PPK1PPP/8 b - -,f7f6
r2q1rk1/pp1bbppp/1n2p2n/4P3/1P1P4/P2B1N2/1B3PPP/RN1QK2R b KQ -,a8c8
r3rbk1/1bq2pp1/p1p2n1p/3NnN2/Pp2PB2/6P1/1PQ1BP1P/2RR2K1 b - -,f6d5
1r6/8/5k2/8/K1P5/4R3/8/8 b - -,b8a8
4n3/N2k1ppp/1p2p3/4B3/8/1P2P1P1/P2bKP1P/8 b - -,d2b4
8/p1b2p2/8/kP4n1/P4R2/6K1/4R3/8 b - -,g5e6
r1b1rbk1/1pp1qpp1/p1np1n1p/4p3/1PB1P3/2PP1N1P/P3QPP1/R1BR1NK1 b - b3,b7b5
2R5/1p1r2rk/1P1p3p/2pP4/1p2P3/1P3K2/7P/4R3 b - -,h7g6
2rqk2r/1b1n3p/1pp1pbp1/p2p1p2/2PPn3/BQN1PNP1/PP3PBP/R2R2K1 w k -,a1c1
1rb2rk1/3n1ppp/2Pq1n2/1p6/3P4/1BN2Q1P/2P2PP1/R3R1K1 w - -,c6d7
rn1q1rk1/pbp2ppp/1p2pn2/8/2BP4/P1P1PN2/5PPP/R1BQ1RK1 b - -,b8d7:b7a6
8/p5r1/5R2/4N3/1P3p2/P3n1k1/8/1K6 b - -,e3g4
k7/8/P7/1P1K4/1B6/4pn2/2P5/8 b - -,e3e2
2r2k2/3b1p1p/2p1N1p1/2Pp4/PP6/4B1P1/7P/4R1K1 b - -,d7e6
r4kr1/pb1p1p2/1pnP1p1p/2p4N/2B2R2/4P3/P4PPP/4K2R b K -,c6e5
8/pp2kp1p/2p3pb/8/2BP4/2P4P/PP3PP1/4K3 w - -,d4d5
r1bqk2r/1p2bppp/2np1n2/pB2p3/4P3/1NN2P2/PPP3PP/R1BQK2R w KQkq -,c1e3
8/8/8/2R4K/1p3k2/1P6/8/4r3 w - -,h5g6
6k1/8/3P4/p2KP3/8/1b4P1/1b5P/8 w - -,d5c6
5rk1/7p/4b3/3pq3/5pp1/1B1P4/1PP2QPP/5RK1 w - -,f1e1
r2q1rk1/1b2bppp/p2p4/2p1p2n/2P1P1P1/2N1BP2/PP2B2P/2RQ1R1K b - g3,h5f4
4kbr1/r4p1p/2b1pQ2/2qpPP2/p7/P7/1PBN2PP/2KRR3 b - -,f8e7
rn1qr3/pp3pbk/3p2pp/2pP4/2P1b3/4BN1P/PP1QBPP1/4RRK1 b - -,b8d7
7r/3nkp1p/4pp2/p1r5/7R/pP4P1/2PRB2P/1K6 w - -,b1a2
r4rk1/1p2qp1p/p2p4/5Q2/3b4/8/PP1P2PP/R1B2R1K b - -,e7e5
8/8/K2R1N2/4p1p1/4P1Pk/8/8/2r5 w - -,a6b5
5k2/1p3pp1/7p/3p4/1b1P4/1Pr1P2P/1R1K1BP1/rB6 b - -,c3c6
r1b2rk1/ppp1q1pp/3n1n2/3pp2P/4P3/3B2N1/PPPN1PP1/R2QK2R b KQ -,d5e4
2kr3r/pppqnppp/2n1b3/4P1B1/2P5/P1Q2N2/1P2BPPP/R3K2R b KQ -,h7h6
3r3r/1pp2pk1/p1nnq1pp/4p3/1P2P3/2PR2NP/1P2QPPN/3R2K1 w - -,e2c2
8/8/1b1k4/1P1p3B/3P4/6r1/1PK1N3/8 b - -,g3e3
8/p7/1b2p3/3p4/3P4/1P1K4/6k1/4B3 w - -,e1d2
4r1k1/1prb1ppp/p7/2np4/3N2PP/1PBBPP2/P2PK3/6R1 b - h3,b7b6
8/4kp2/6p1/3P3p/4N2P/6P1/5PK1/2r5 w - -,d5d6
1r3rk1/2qnbppp/b2p4/p7/Pp2PP2/1P2B3/2PN1QBP/2RR2K1 b - -,f8e8
2rr2k1/1p3ppp/pnn1pb2/3p4/5B2/2NP2PP/PP2PPB1/1RR3K1 w - -,g1f1
8/R7/5k1p/3P4/p5p1/P4nP1/6KP/5r2 b - -,f1d1
7k/7p/2r2Np1/4p3/3n4/5P1P/6P1/3R3K w - -,f6g4
r2r2k1/pbq1bppp/1pn1p3/2p5/2P4P/1P3NP1/PBQ1PPB1/3R1RK1 b - h3,d8d1
3qb1k1/1pr3p1/p3pr1p/P2pN3/1P1Q4/2P3R1/5PPP/4R1K1 b - -,d8d6
1r1q1r2/p2bppkp/n2p2p1/1ppP2N1/2P1P3/PQ4P1/1P3PBP/R4RK1 w - -,c4b5
1r3k2/2R4p/1p1pnqpQ/pP1Bp3/4P2P/1P3PP1/P5K1/8 b - -,f8e8
r2qk2r/pp2npbp/2npb1p1/2p5/2P1PB2/2N2N2/PP3PPP/R2QKB1R w KQkq -,d1d6
3rr1k1/pp2bpp1/1qp1p2p/3nP3/4N3/P4NPP/1PP1QP2/R3R1K1 w - -,c2c4
2r2rk1/1p1b3p/1q2p1p1/1P1pB3/4nP1P/3B1R2/1Q4P1/5R1K b - h3,b6d8
r1bqk2r/1p1nppbp/p2p1np1/6B1/3NP3/2NB4/PPP1QPPP/R3K2R w KQkq -,e1c1
8/6pp/p4p2/2pp1P2/2k3P1/2P4P/Pn1BK3/8 b - -,b2a4
8/5p2/8/r1pk3p/P3pp1P/R2KP1P1/5P2/8 w - -,d3c3
