8/5k1p/pp1p4/2pP4/P4PP1/8/1P3K2/8 w - -,f2e3
2r4k/6pp/1N2rp2/8/1p6/2p3P1/5P1P/2R3K1 w - -,b6c8
1r6/4p1kp/3p1pp1/2pP4/p3P2P/1rPbNP2/RP3RP1/6K1 w - -,f2d2
br1qr1k1/4ppbp/ppnp2p1/4P3/2P2PB1/1PN1B3/P4QPP/2RR2K1 b - -,b6b5
5bk1/3Q1p2/6p1/4r3/8/2r3PK/8/8 b - -,e5h5
1r6/5Pk1/pp1p1n1b/2pPp1qQ/P1P5/2N5/1P2KP2/3R3R b - -,b8h8
r5rk/1b2q2p/1pp1p3/3pPppN/P2P3n/1P2P3/3R1P1P/3Q1BRK b - -,g5g4
2r4Q/3k2R1/p2p4/1p6/2q1P3/8/PPP5/1K6 b - -,d7e6
r1b2r2/1p5p/3bpkp1/1B1p4/P2P1P1P/2R1PN2/1P2K3/2R5 b - h3,f6e7
1qrr1nk1/pb2b1p1/1p2pn1p/1N1pN3/1PP5/3BP3/PB2Q1PP/3R1RK1 w - -,e5g4
8/1pr3p1/1npk1p1p/8/pP3P2/P1R1P1P1/2B4P/6K1 w - -,c3c5
4r1k1/pp3ppp/5n2/3p3q/3N4/1P2P1Pb/PQ3PBP/2R3K1 b - -,h3g2
r1q2rk1/1Q5p/p1pp2p1/3p4/P4P2/8/1PP3PP/R4RK1 w - -,b7c8
2r2rk1/4bppp/1q2p3/1N1p4/3P1B2/1n2P2P/4QPP1/R1R3K1 w - -,c1c8
rnb1kb1r/p2ppppp/5n2/q1pP4/1p2P3/2N5/PPPB1PPP/R2QKBNR w KQkq -,e4e5
r5k1/pppb2qp/3p2p1/3Pb1Q1/2P3B1/6N1/PP4PP/5RK1 b - -,h7h6
7k/5R1P/6P1/4p3/r7/6K1/8/8 w - -,f7f8
3k3r/p7/4BP2/3p2n1/1P3b2/2P3Pp/P6P/4R1K1 w - -,e6d5
r2r2k1/pq2bpp1/1n3n1p/2pp4/5B2/1QN1PN2/PP3PPP/R2R2K1 w - -,a2a4
r1bqk2r/1p3pp1/p1n1p3/3pP3/P4PPp/2NPb3/1P4BP/R2Q1RNK b kq -,g7g5
8/8/p1p2p2/P1K4p/8/6k1/8/8 b - -,h5h4
r1b1qrk1/ppp3pp/2np1n2/4p3/2P2p2/2BPPNP1/PP3PBP/R2Q1RK1 w - -,f3g5
r7/8/p2ppk2/4nb2/2NB4/P5P1/6P1/4R1K1 w - -,c4d6
2r1k2r/1p1b1pbp/pqn1p1p1/3pPn2/1P1P1P2/2BBNN2/P3Q1PP/R1R4K w k -,e3g4
6k1/5pp1/6p1/2p5/5r2/1RP3PP/8/6K1 b - -,f4f3
r4rk1/1b2qppp/pBnppbn1/P7/1p1NPP2/3B4/1PP1N1PP/R3QRK1 b - -,c6d4
rn2k1r1/2qp1p1p/p3p3/8/4b3/1Nb5/P1P1QPPP/1RB2RK1 w q -,e2e4
7R/4p1k1/3p2p1/3r2Pp/2p1NP1P/b4K2/8/8 w - -,h8a8
1r2r3/5k1p/R1R3p1/1p1pp3/3b4/6PB/P3PP1P/6K1 b - -,b8a8
4k3/3q1b2/1p4Q1/pPb2p2/8/3B4/1B4PP/5K2 w - -,g6g3
r1b1rk2/pp3pp1/1qn2n1p/3pN1P1/1b1P1P2/2NBB2P/PP1Q4/R4RK1 b - -,b4c3
3r4/p5bk/1p3q1p/4np2/2P5/4BRN1/PP2B2P/2Q3K1 w - -,f3f5
6k1/6pp/4pp2/3p4/3P1BPP/4PP2/2b3K1/8 w - -,h4h5
r2q3k/1Q1n2Bp/pp1P2p1/8/P5b1/2N5/1P4PP/4RRK1 b - -,h8g7
6k1/1pqb2p1/r2b1n1p/2p2p2/1pPp1P2/PP1P2P1/2NN2BP/R1Q3K1 b - -,b4a3
rnbqk2r/1p2ppbp/p1p3p1/2Pp2Bn/3P4/2N1PN2/PP3PPP/R2QKB1R b KQkq -,h7h6
8/5ppk/2p3rp/2P1P3/6qP/2RQ2P1/Pr6/4R1K1 b - -,b2a2
1qbb1rk1/1r3pp1/4p2p/1P1pP3/2pP3P/2P2NN1/3Q1PP1/RR4K1 b - -,b7b5
5rk1/p4pp1/1p3n1p/1q1p4/8/3N1Q2/P5PP/5RK1 w - -,d3f4
1r2r1k1/6p1/2Q1p2p/5p2/P7/8/1q3PPP/4RNK1 b - -,b2b6
r3rnk1/pp2ppbp/1qp1b1p1/3n4/2BP3B/2P2N2/PP1N1PPP/R2QR1K1 w - -,c4b3
2r1k2r/5pb1/p3bn1p/3pQ1p1/1pnN2P1/7P/PPP1N1B1/1KBR3R b k -,c4e5
r1b1k2r/ppq1bppp/2nppn2/8/4P1P1/1NN1B3/PPP1QP1P/R3KB1R w KQkq -,g4g5
6k1/2P5/6p1/4K2p/4P1r1/3B3b/1p4p1/6R1 b - -,g4g3
8/7K/4k2P/8/5R2/8/8/7r b - -,h1g1
2r2k2/2q2b1p/p3pNp1/1p1pP3/3P3Q/P2B4/1P5P/6K1 w - -,f6h7
r1b1k2r/1pq1nppp/p2ppn2/8/4P3/1NN1Q3/PPP1BPPP/R4RK1 w kq -,a1d1
r2q1rk1/1b1n1pbp/pp1p1n2/4pPB1/2P5/1NNB4/PP2Q1PP/R4RK1 b - -,b6b5
r5kn/ppq1r1p1/2p4p/8/5PQ1/1P2P2P/PB4P1/3R1R1K b - -,c7a5
6k1/2R2p2/2p2bp1/2B1p2p/1P2P3/5KP1/5P1P/2r5 b - b3,h5h4
8/3r1ppk/4pn1p/8/4PPP1/3PQ2P/2R3K1/1q2N3 w - -,c2f2
8/1R6/8/8/8/p7/k6r/2K5 b - -,h2b2
r2b2k1/3bqppp/p2p4/P1pP4/8/R2B2BP/2Q2PP1/4rRK1 w - -,d3h7
2r1k2r/q3bppp/p1p1bn2/3p2B1/N7/1Q1NP3/PP3PPP/R4RK1 b k -,e8g8
5rk1/Q5pp/2b2q2/2p1r3/3p4/P3PPR1/3B1P1P/2R1K3 b - -,c6f3
8/p7/1p3R2/5p1r/1k3P1p/8/PP4PK/8 b - -,b4a4
8/1pk3r1/p1bp1p1p/4pP2/4P1PP/4KB2/PP4R1/8 w - -,e3d2
2rr4/5pk1/p2R2p1/1p2p1Pp/1P3q2/1PP1R1Q1/5PP1/6K1 w - -,d6a6
rn3rk1/pp2qp1p/2b1pnp1/b1p1N3/2BP1P2/P1N1P3/1P2Q1PP/R1B2RK1 w - -,c1d2
3r1k2/pB2bq2/7p/1P2Q1p1/8/6P1/P4P1P/2R3K1 b - -,e7f6
1k6/1p2r3/pnp1N3/3P2Pp/8/1P6/P1P3n1/5RK1 w - -,g5g6
r1q1r1k1/ppp2ppp/3p1n2/8/4N1n1/P4P1Q/1PPR4/2K2B1R w - -,f1d3
8/1br4p/p3p3/4Ppk1/1PP5/3B2P1/3KR2P/8 b - -,f5f4
r2q1rk1/ppp1b1pp/1nn1b3/4pp2/8/P1NPBNP1/1P2PPBP/2RQ1RK1 b - -,e7f6
6k1/5pp1/1b6/4p2p/2N1b1r1/2P4P/1P3P1K/2B1R3 b - -,g4g2:b6f2
2n3k1/3b1pp1/Q2b2q1/p2p3n/1p1PpP2/1P2P1P1/PB4B1/5NKN b - -,d6c7
r1b2rk1/pp1n1pp1/3b1q1p/4p3/2PB4/3B1N2/PP3PPP/R2QR1K1 w - -,d4c3
2rq1rk1/pb2bppp/1pn1pn2/8/3P4/P1N2N2/BP3PPP/R1BQR1K1 w - -,c1f4:d1d3
r6r/1pk2p2/p1n1p1p1/2Pp2pn/3P4/4PP1P/1P1BBKP1/R6R w - -,a1a4
3r2k1/1b2ppbp/p4qp1/6N1/1PQ5/3B2nP/P4PP1/2R1B1K1 w - -,g5f7
3r1k2/5p1p/1pRPb3/8/7P/6N1/P7/6K1 b - -,b6b5
k1r3r1/5p2/1p1Nq3/pB1b2p1/3P2P1/Q3P1B1/1P3P2/4K3 w - -,b2b4
8/5k2/1R4p1/7p/6nP/6K1/1Br3P1/8 w - -,b2d4
8/6k1/5b2/6p1/4q1P1/5N1P/Q4K2/8 w - -,a2d2
rnb2rk1/pp2qpp1/4pn1p/2b1N3/2p2B2/2N3P1/PP2PPBP/R2Q1RK1 b - -,f8d8
r5rk/1p2np2/p3bq1p/2Pp4/1P1P1N2/P3Q3/5PBP/3R1R1K b - -,g8g5
1q2r1k1/p4pp1/5n1p/3N1Q2/8/6PP/r4PB1/3R2K1 b - -,b8e5
5rk1/p1q2p1p/1r3Qp1/3Bn3/8/2P4P/P4PP1/3R1RK1 w - -,f6f4
rnbq1rk1/p1p2ppp/1p2pn2/3P4/3P4/2N1PN2/PP1Q1PPP/R3KB1R b KQ -,e6d5
r1bqr1k1/1ppp1pp1/p2b1n1p/n3p3/2B1P2B/2NP1N2/PPP1QPPP/R4RK1 b - -,b7b5
5b2/2R2k2/5p2/1B5p/N3rPbP/P7/5K2/8 b - -,f7g8
r4rk1/1p1bbppp/1q2p3/2n5/p1PN1B2/P5P1/1PQ2PBP/R2R2K1 w - -,a1b1
6b1/pk1n3p/1p1Q1np1/1B6/3P1N2/2r5/P6P/4K3 w - -,b5d7
r4r2/2p2k2/3p1Pb1/p2P4/2B4R/2B5/PP6/K2R4 w - -,c4d3
1r5r/p2q1pkp/2n3p1/2pb4/1p5R/3P2P1/PPPQN1BP/5RK1 w - -,d2h6
r3k2r/pppbqpb1/2npp2p/6p1/2BPP3/2N5/PPPQNPPP/3R1RK1 w kq -,c3b5
2B4k/7p/b2p1q2/3P4/8/4Q1P1/5P2/6K1 w - -,c8a6
r1bq1rk1/1ppnbppp/p1p5/4p3/4P3/1P3N2/P1PP1PPP/RNBQR1K1 w - -,c1b2
8/1k1qr3/n1p1p1Q1/p2nP3/Pp1B1pP1/1P3B2/5PK1/2R5 b - -,e7e8
r2k1b1r/pp3ppp/4p3/3n1b2/3P4/NQ2B3/PP2BPqP/R3KR2 b Q -,f8b4
r1k4r/ppqn1Qp1/2p2np1/3p4/3P2P1/5P1P/PP4B1/R1B1R1K1 w - -,g4g5
4B3/r4p2/5Rp1/2kPp2p/4P2P/5P2/3K1Pn1/8 b - -,c5d4
r3k2r/ppq1nppp/2n1p3/3pP3/bP1p1P2/P2B1N2/2P3PP/R1BQ1RK1 w kq -,b4b5
r3k2r/pppbb1pp/1q2pp2/8/2QPP3/2P2N2/PP1B2PP/2KR3R w kq -,d2f4
8/3k1p2/8/p5rp/Pp1K3P/1P4P1/1P6/8 w - -,h4g5
2r4r/pp2kppp/4p3/1b2N3/4P3/P3K1P1/1P3P1P/2R4R w - -,e5f3
r4rk1/1p2ppbp/p1n2np1/5q2/2P5/2N3P1/P2BPPBP/1R1Q1RK1 b - -,a8d8
2k2rr1/pp1bnpp1/4p2p/q2pP2P/n1pP1BBN/P1P3R1/2P2PP1/2Q1R1K1 b - -,e7c6
2rr4/pb1nk2p/1p2pnp1/2pp1p2/2PP4/1P2PNP1/P2N1PBP/2RR2K1 w - -,a2a3
r4bk1/3B1p1n/pp4p1/6Pp/1P1p1P1P/8/P7/2R1R1K1 b - -,f8b4
3r4/p3kP2/8/1P6/3b1Rn1/1B4Pp/P6P/5K2 b - -,g4h2
rn1q1rk1/pb1p1ppp/1p2pn2/8/1bPP4/2NB1N2/PP1B1PPP/R2Q1RK1 b - -,d7d5
3r2k1/2R2ppp/4pb2/p7/8/5N2/n2B1PPP/6K1 w - -,d2a5
1r3r1k/B1n3p1/2pb2p1/1p6/4NpP1/PQ1P3q/1P1R4/2R3K1 b - -,f4f3
8/8/4kp1p/1p6/5P2/3K2nP/6N1/8 b - -,e6f5
r1q1k2r/pp4pp/2pbbn2/4pp2/2N5/1Q1P2P1/PP2PPBP/R1B2RK1 b kq -,e6c4
rn1qk2r/pbp1bppp/4p3/3n4/3N4/1QpP2P1/PP3PBP/RNB2RK1 b kq -,c3b2
8/8/4bkp1/8/prpP3P/2R1KB2/P5P1/8 b - -,b4b2
3k4/pp2nB2/2p5/4P3/4K3/8/PP6/8 b - -,d8d7
1r4k1/r2q1p1p/2Rp1bp1/p2P4/3pB3/3Q2P1/PP3P1P/1R4K1 w - -,b2b3
r1bqk2r/ppb2pp1/n1p2n1p/4p3/4P2B/1BP2N2/PP1NQPPP/R3K2R b KQkq -,a6c5
rrq1n1k1/p2bn1b1/1p1p3p/PNpPppp1/1PP1P3/3QBPP1/R3N1BP/1R4K1 b - -,e7g6
r2qk2r/pp1n1ppp/2pbpn2/8/3PN3/5Q1P/PPP1BPP1/1RB2RK1 b kq -,f6e4
8/6k1/2Npbrpp/1P2p3/4P3/6P1/P3qP1P/2Q2RK1 w - -,c1e3
r2qk2r/pp2bppp/2npbn2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 b kq -,e8g8
r2qr3/3n1kpp/p1b1p3/1p2Bp2/3P1N2/P2R4/1PP1Q1PP/2K4R b - -,d7e5
8/2b2p2/8/6Bp/4N1p1/6Pk/4KP1P/8 w - -,e4f6
r1bqr1k1/1p3p1p/p4npb/3p4/1B1P4/1Q2PB2/PP4PP/2R1NRK1 w - -,b4d2
r4rk1/pp1nqppp/2pb1n2/4p2b/2P1P2N/1P4PP/PBQN1PB1/R4RK1 b - -,h5g6
3r2k1/1p3pp1/p3pnp1/8/1nP5/1P1q1NN1/PQ3PPP/4R1K1 b - -,b4c2:f6h5:d3d6
r2q1rk1/1pp1npp1/3pbn2/1P6/3P4/BQN3P1/P4PB1/R1R3K1 w - -,d4d5
8/r5k1/6p1/2q1pp2/1p5p/P4P1P/1P1Q2P1/K1R5 b - -,c5e7
rn3rk1/pp2ppbp/1qp2np1/8/4PP2/2N2QPP/PPP3B1/R1B1K2R b KQ -,f8d8
2r3k1/1bq2p1p/6p1/4p3/2n1P3/1Q1B4/5PPP/5RK1 w - -,d3c4
r2q1rk1/pbp1bpp1/1p3n1p/3p4/3P4/2N1PNP1/PPQ1BPP1/R4RK1 w - -,a1c1
r1b1r2k/1p1nqnbp/p1p3p1/2P5/4NP2/1QN1B3/PP4BP/3RR1K1 w - -,e3f2
8/5pp1/pp5p/2p1kP1K/P2r4/1r1P4/8/R7 b - -,e5f5
r4bk1/1b1n2pp/p1q2n2/1p1p4/4P3/P1N1BP2/1PP1Q1PP/R4R1K w - -,e4d5
r1b1r1k1/1pq2pbp/p2p1np1/N3p3/2n1PP2/2N1BB2/PPPQ2PP/2KR3R w - -,a5c4
4N2k/1p3p1p/6p1/3pb3/P7/2P3P1/1P3P1P/6K1 w - -,f2f4
r1b3k1/pp1nq1pp/2pppr2/8/2PPR3/5NP1/PP1Q1PBP/4R1K1 b - -,h7h6
r4rk1/5ppp/4pn2/pq6/2R1P3/6P1/2Q2PKP/2B2R2 w - -,c1b2
8/1k6/1pp2p2/1P2bP1p/PK2N2P/8/8/8 w - -,b5c6
2r5/2q4p/1k1pR3/2pQ2B1/1pP4P/5P2/6P1/1r5K w - -,h1h2
r5k1/1p2rpbp/p1p2np1/2P1p3/4P1P1/2N1BP1P/PP2K3/2RR4 w - -,c3a4
2R4k/1b2n1p1/pp3r2/8/3PBB2/P7/1P3PPP/5RK1 b - -,b7c8
1r4k1/5pbp/3R1n2/2BP1p2/r7/p4NP1/R4PKP/8 b - -,b8a8
6k1/p1q1p1b1/4pr1p/2pp3Q/P2p1PN1/3P2PP/1P6/5RK1 b - -,c5c4
r1b3k1/pp2nr1p/6p1/2p1q3/2Pp1P2/P2B4/2PB2PP/R2Q1RK1 b - f3,e5c7
6rk/2q3p1/p1p1p2p/4Pp2/1PQ1pP2/P3P2P/6P1/3R2K1 b - -,g8d8
r7/p1p4k/1p1p2pp/3Pp1q1/2P1Pr2/2P1pP2/P3Q2K/3RR3 w - -,e2g2
5bk1/p4p2/6p1/1qp1P2p/4RP1P/2Q5/r7/2K1R3 b - -,f8e7
1r2k2r/3b3p/3pp1p1/8/p1PRP3/1P4K1/PN6/4R3 b k -,a4b3
8/3q1rk1/7p/R4p2/3pnN1P/2pQ2P1/4P2K/8 b - -,e4f2
2q2rk1/2r1pp1p/3pb1p1/1p1B4/1P1QP3/2P2P2/1K4PP/R6R b - -,e6d5
r1bq1rk1/1p1nbppp/p1npp3/6P1/3NP2P/2N1B3/PPP1QP2/2KR1B1R b - -,c6d4
5rk1/ppp3p1/3p1q1p/3P4/1PP1r3/P5Q1/5P2/2R2KR1 w - -,c1c2
rr4k1/pN1nbpp1/Bpp1p1bp/2Pp4/1P1P2PP/R3PP2/1P1K4/2B4R b - -,e6e5
8/4kp2/pNp3p1/2Pp1b1p/1b1B4/P4P2/1P2K1PP/8 b - -,b4a5
4r1k1/1q3p2/p5p1/2p1P3/7B/1bQ5/5K2/3R4 w - -,h4f6
r2qkb1r/ppp2pp1/2n1bn1p/3p4/2P5/3P2P1/PP1N1PBP/RNBQ1RK1 w kq -,d1b3
r1b2rk1/1pp1qppp/1p6/8/Pn1pPP2/1B3Q2/3P2PP/R1B2RK1 w - -,c1a3
rnb1k2r/1p1p1ppp/pq2pn2/2b5/2PNP3/1Q1BB3/PP3PPP/RN3RK1 b kq -,f6g4
R7/5b2/3k4/1p1p4/p4p2/P4P2/4K1P1/8 w - -,a8d8
rnbqkb1r/ppp1pppp/3p1n2/8/3P1B2/4P3/PPP2PPP/RN1QKBNR b KQkq -,g7g6:h7h6:c8f5:b8d7
r3k2r/b4pp1/3p1q1p/1B1Pp3/QP1n4/8/P2N1PPP/R4RK1 b kq -,e8e7
6k1/3b1p1p/3pn1p1/1p6/1qnQP1P1/2N4P/5PB1/3R2K1 w - -,d4f6
r3k2r/nppqbp2/p3b3/3pPnpp/1P1P4/P4N2/1BB1NPPP/2RQR1K1 w kq -,f3d2
4rrk1/1b2q1p1/ppn1p2p/3p1p2/3P4/2PQ1N1P/PPB2PP1/R3R1K1 b - -,e7f6
6k1/1b6/p2b2N1/1p1pp2p/1P1N3P/P5PK/1q6/3R1R2 w - -,d4f5
8/4n1k1/6b1/p1p1R3/8/P1nP1BP1/Pr3PKP/8 b - -,e7f5
2rr2k1/1p3pb1/7p/n1qnPQ2/p1p5/2P2N1P/PP1BR3/1R3B1K b - -,d5e7
1r5k/3R2b1/2p2qp1/p1N4p/3pQ3/5P1P/PP4P1/6K1 w - -,b2b3
r1bq1rk1/pp1nbppp/4p3/3pP3/3B1P2/2N5/PPPQ2PP/2KR1B1R b - -,b7b6
2R5/3b4/2n2k2/2B1pppp/3pP3/3P1PP1/5K1P/8 w - -,c8f8
2q2b2/6pk/3p2p1/pr1Np2p/1P2P3/2RP4/Q4PPP/6K1 b - -,c8g4
r4rk1/pp2bppp/2n5/2P1pb2/1PB5/2P1PN2/P3K1PP/RN5R w - -,b1d2
rn1q1rk1/pbppbppp/1p2p3/8/2PPn3/5NP1/PP2PPBP/RNBQR1K1 w - -,f3d2
2r1k2r/ppqb1p2/4p2b/3pPn1p/1PnP2p1/P1NQN3/4BPPP/R1BR2K1 b k -,c4e3
1n1q2k1/pp2ppbp/6p1/1B1pP3/3P4/2Q1B2P/PP3PP1/6K1 b - -,e7e6
r1b1k1r1/1p3pPp/p7/3pB3/7q/3B1Q2/PPP3PP/R6K b q -,c8e6
r1bq1rk1/ppp1ppbp/n2p1np1/6B1/2PPP3/2N4P/PP3PP1/R2QKBNR w KQ -,f1d3:g1f3:f2f4
6k1/1b2bp2/pn2p2p/1p2p1p1/1Pr2B2/P4PQ1/2P1N1PP/3N3K w - -,f4e5
8/5nk1/8/1p2p3/4PpQ1/2P2Pp1/2KN2q1/8 b - -,g7f6
1r3r2/p5bk/1p1q2pp/nPp1pn2/P1P1B1Q1/3PN1P1/7P/1RB2RK1 b - -,h6h5
r1bqk2r/ppp1p1b1/2np1n1p/5p1P/3P2p1/2N1P1B1/PPP2PP1/R2QKBNR w KQkq -,d1d2
5rk1/6pp/p1pq4/3prp2/P2P4/1pP2Q1P/1P3PP1/4R1K1 w - -,e1e5
r1b2r1k/ppp3bp/3p1q2/4n3/1PP1B1p1/3PB1N1/P4P1P/1R1Q1R1K b - -,e5f3
r2qb3/1p2ppbk/3p2p1/7p/1PP1P3/4BP2/3Q2PP/1R3BK1 w - -,c4c5
5k2/p1p3b1/1pn1b1pp/5p2/2P1pP2/P3P1PP/1P1NB3/3N2K1 w - -,g1f2
r1b1kb1r/ppqn1ppp/2n1p3/1B1pP3/3N4/4B3/PPPN1PPP/R2QK2R w KQkq -,f2f4
4B3/1k4p1/pp3p2/2p4p/5P1P/2PK1b2/PP3P2/8 b - -,b7c7
1r3r2/1p5k/2qp2pp/p1pNbp2/P1P1P2Q/3P3B/1P4K1/R4R2 b - -,g6g5
r1bqr1k1/ppp3bp/3n2p1/P2Pnp2/3Np3/1PN1P1P1/2Q2PBP/R1BR2K1 w - -,c1a3
3r4/1p6/p3k3/2p1N2p/1nP1PP2/1P3K2/P3R3/8 w - -,e2h2
6k1/3P2pp/8/5p2/8/2r3PK/p1R1PP1P/3r4 w - -,c2c3
1b5r/2R5/1r2k1p1/3pp3/1N2n3/B7/P4PPP/5RK1 w - -,c7e7
r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N5/PP1NBPPP/R2Q1RK1 b - -,d8d7
8/p2b2k1/1p1q1b1p/2pB1pp1/2Pp4/1P1P1NPP/P4PK1/4Q3 w - -,e1e2
5R2/2P5/1K6/1P6/P4kbp/6p1/8/8 b - -,f4e4
3r2k1/1p3p1p/2p3p1/p3p3/P1P1P3/1P6/3bB1PP/3R3K w - -,g2g3
r6r/k3p3/pqppBp1b/3Q3p/4P2P/8/PPP5/1K4RR w - -,d5d1
8/5k2/5pp1/ppBnp2p/2rP3P/P5P1/5P2/3R2K1 b - -,f7e6
2rq2k1/3r1p2/1p2pRp1/p3P2b/1PP1Q2p/P1RB3P/6P1/7K w - -,e4e3
1qr3k1/1b1nbrpp/p2p4/3Pp3/1Q6/2N1B2P/1P1N1PP1/R1R3K1 w - -,d2c4
2r2r1k/pp5p/3p1qn1/3Pp3/1Q6/4N3/PP3PRP/1K1R4 b - -,c8c7
1r2r1k1/p1nq1bbn/3p1pp1/2pP4/2P1N3/3BBN1P/P1Q2KP1/3RR3 w - -,e4d2
2r2rk1/1b1nbppp/p1q1p3/1p1pP3/3B1P2/8/PPPQBNPP/R4RK1 w - -,c2c3
3rr1k1/7p/p2qp1p1/2n2p2/2PB1P2/1P5R/1Q4PP/R5K1 w - -,d4e5
r4rk1/3qppbp/p1np1np1/1p6/2PNP3/2N1BP2/PP1Q2PP/R4RK1 w - b6,d4c6
6k1/5p2/5R1P/6N1/6PK/1b3P2/8/r7 w - -,f6b6
r4rk1/1ppbq1b1/p2p1npp/3Pp3/1PP1P1P1/P1NQB2P/4N1K1/1R3R2 w - -,e2g3
8/p1r5/bp2p1Np/3p4/3P2P1/4R1kP/PP1K4/8 b - -,g3h2
8/pQ5k/3pq1p1/2p1b1Pp/2Pp3P/5R2/PP3P2/5K2 b - -,e5g7
6k1/3b2pp/3P1p2/N7/1P1N1n2/r2n3P/P5P1/1R4K1 w - -,a5c6
2k2nnr/p2b3p/1p4p1/2p1R3/4P3/1NPBB2P/P5P1/6K1 b - -,d7e6
r3kbnr/1bq2ppp/p1p1p3/1p6/4P3/2N5/PPP1BPPP/R1BQR1K1 w kq -,e4e5
3r1k1r/1p3ppp/p1n1p3/2P5/2NP4/8/1q1N1PPP/4KB1R w K -,c4b2
8/1n1b1k1p/r2p2p1/p1pP1pPP/1nP2P2/1PN2N2/2BK4/4R3 w - -,e1h1
