8/R3bk2/4p2p/1Q3p2/4qP2/6PK/7P/8 b - -,e4f3
r1bqkb1r/pp1pnppp/2n1p3/8/2BpP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,f3d4
r1bq3k/pp4bp/5rp1/4p3/4Pp2/BQP3P1/P4PBP/R3R1K1 w - -,a1d1
r1q3k1/pbp2pbn/1p1p2pp/1N1P4/2P2P1B/8/PPBQ2PP/4R2K b - -,a7a6
r2rq1k1/6p1/pn2bpp1/1p6/1Q6/NP2P3/PB1R1PPP/3R2K1 w - -,a3c2
r5rk/p4pqp/2pPb3/5p2/5Q2/1PN3P1/2P2P1P/R2R2K1 w - -,c3a4
2r1qrk1/5p1p/RB4p1/3N4/8/2b4P/1nP1QPP1/4R1K1 b - -,e8d7
r2r2k1/1p1bq1pp/1np1pp2/p7/Pb1PP3/1P2N1P1/1BQ2PBP/3R1RK1 w - -,b2a1
r3kb1r/pp1b1p1p/n1p2Pq1/4P3/2PpNB2/3P3P/PP2Q1B1/R4K1R b kq -,e8c8
r5k1/ppb2rp1/2p1b2p/3N2q1/4B3/BP4P1/P1Q2P1P/3R1RK1 b - -,c6d5
3r4/6pk/3PRP1p/2pQ4/5P2/5NK1/1pq4P/8 w - -,f3d2
r2qkb1r/pp3ppp/2n1pn2/3p4/3P1B2/2NQPN2/PP3PPP/R3K2R b KQkq -,f8b4:f8e7:f8d6
3R4/8/8/p3p3/2pk4/8/1K6/4r3 b - -,d4e3
1k6/8/p1r3p1/1p1n2P1/7N/8/5PP1/5RK1 w - b6,f2f4
4rk2/1p3pp1/p2p3p/3n4/3P4/5N2/PP2RPPP/2R3K1 b - -,e8e2
r1bq1rk1/1pb2ppp/p1n2n2/3p4/8/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,d8d6
4k3/6Qp/2pq2p1/2p1np2/2P4P/4PBP1/5PK1/8 w - -,g7h7
r1r3k1/1qpnbppp/1p1p4/3Pp3/p1P1P1P1/2R1B3/PP2QPNP/5RK1 b - -,a8a5
r3r3/1bpn1pk1/pp1p1npp/3P4/2PN4/1PNB3P/P2K1PP1/R3R3 w - -,a2a4
8/pp2k2p/2rpb1rP/8/4PK2/P1P1N3/1P1R3R/8 w - -,d2d4
r4k2/2pb1p1r/3p4/p2P2bp/2PB4/3P2P1/PPK4P/R4BR1 w - a6,f1g2
r6r/pp1bkppp/2nNp3/4P3/5P2/P3p3/1qP3PP/R2QK2R w KQ -,d6f7
5k2/p6p/1p4p1/8/1P1P4/P1B1q1Q1/7K/8 b - -,e3e4
2r3k1/1p1nqpp1/2p1p1bp/8/Pp2PP2/1P4P1/4QBBP/3R2K1 b - -,d7f6
3q1rk1/p3bppp/8/2p5/8/3r2P1/PPQ2P1P/R1B2RK1 b - -,d8d5
r7/1pRnkpp1/1r2p3/1p1p3p/1P1P4/P3P1P1/2R2PP1/1NK5 b - -,e7d8
r2q1rk1/pp2ppbp/1n1p2pn/2pP4/P3PPb1/2NB1N2/1PP3PP/R1B1QRK1 b - -,g4f3
5r2/p4pbk/p5pp/3Q4/3pr3/5N1P/PP2pPP1/4R1K1 b - -,f7f5
r2r2k1/2qbbppp/p2p1n2/1p3P2/1P6/1NN1BQ2/1PP3PP/R2R2K1 b - -,d7c6
r1b2r2/pp3pk1/2p2np1/4q2p/N6Q/7P/PP4P1/R1B2RK1 w - -,f1f6
6k1/1p3p1p/4b1p1/PB6/R7/8/5PPP/2r1bNK1 w - -,a5a6
8/3rk3/4ppp1/1R6/1P5P/5RP1/4rPK1/8 b - -,e2b2
6k1/5p2/2r1p3/2bp1p2/1p3P2/3B2PP/P1P1Qq2/4R2K b - -,f2g3
2r1k2r/1p1n1ppp/p1nqp3/2Np4/3P4/3QPN2/PP3PPP/2R2RK1 b k -,d7c5
r1bqnrk1/1p1nppbp/p2p2p1/2pP4/2P1PPP1/2N1B2P/PP2B3/R2QK1NR w KQ -,d1c2
8/r7/4KP1k/8/8/8/8/3R4 b - -,a7a6
8/7p/q2pQ3/2pPp3/2P1Pp1k/1KP5/6P1/8 b - -,a6b6
1rb1r1k1/p1q1bppp/2n1pn2/1p1pN3/1p1P1P1B/2PBP3/P2N2PP/R2Q1RK1 w - -,c3b4
2b3rk/4qrb1/1n1p3n/p1pPp1pp/PpP1P3/1P1Q1PpP/1B2RNB1/4RNK1 w - -,f1g3
8/1p1k4/p4r2/P1PKP2p/5Bp1/6P1/7P/8 b - -,f6f5
r1bq1rk1/4ppbp/3p2p1/2p1P3/5P2/p3QN1P/1P2N1P1/2KR3R w - -,b2a3
8/2k5/7r/1PB1p3/4B3/2K5/8/8 b - -,h6h4
1r3rk1/2n2p1p/pp2P1p1/2p1R3/P7/2Nq3P/1PP2PP1/4R1K1 w - -,e6f7
r5k1/ppq2rpp/2nbpn2/3p4/1P1P1P2/P5P1/1B2N2P/RB1Q1RK1 b - -,a8f8
2qr1nk1/5pp1/p2p3p/1p6/3QPPbP/1P1B2P1/P4B1K/4R3 w - -,d4b2
1r6/R3k3/4p3/3b1pNp/P6P/6P1/6P1/6K1 b - -,e7f6
3r4/5pk1/4pb1p/6P1/1r4P1/2n1PN1R/6BP/5RK1 b - -,h6g5
r1r5/4Rpk1/6p1/p1pP4/P1P4p/1P5P/5PP1/4R1K1 b - -,a8b8
r5k1/1ppb2pp/p2b4/3Pp2q/4P3/1B2PnQP/PP4K1/R2R4 b - -,f3g5
r3r3/1p4b1/p2p1nkp/4B3/2P5/4Rb1P/PP3PP1/1K1R4 w - -,d1d6
1r1r2k1/1bq2ppp/3p1nn1/p2Pp3/P1P5/QN4P1/3N1P1P/2R1RBK1 b - -,g6f8
1r3k2/5p2/3p4/1P1P1Pp1/1P1NRbP1/8/8/1K6 b - -,f4e5
2r1k1r1/5p2/3qp3/1p6/3N1nP1/1Q4RP/2P5/1R2K3 w - -,b3b5
2R5/8/5k2/1B3p2/8/4K3/8/4r3 w - -,b5e2
r4rk1/3pq2p/n3pnp1/p1pPRp2/2P5/P1N2Q1P/1PB2PP1/R5K1 b - -,e7d6
r1bq1rk1/p4pb1/1p4p1/3P4/3p1B1p/6Q1/PP2BPPP/2RR2K1 w - -,g3b3
8/4k3/8/1p2P3/3pbNK1/8/1P5P/8 w - -,g4g3
1rbk3r/pp1pnpp1/2n2q2/2bN3p/4P3/2N3PB/PPP2P1P/R1BQ1RK1 b - -,f6g6
6k1/1p2npp1/p6p/3p4/3N1PP1/1P1RKQ1b/P3B2P/2r3q1 w - -,f3f2
1r4k1/3n1p1p/2qP2p1/5p2/r4B2/8/PbB1Q1PP/4RR1K b - -,a4a2
6r1/p7/P3P3/3K2p1/1k6/8/2p5/6R1 w - -,e6e7
7r/1p3k2/2b1pp2/1p5p/2rp4/P6R/1P2NKPP/4R3 b - -,e6e5
3r1rk1/p3ppbp/1p1p2p1/6Pn/q1nBP3/1R3P1B/1PP1N2P/3Q1RK1 w - -,d4g7
8/1pk5/p4R2/4p3/N1P2n2/KP6/P7/4r3 b - -,f4d3
r6k/7p/1p2p2r/pPn1p2q/5p2/1P3P1P/P1BQ1BP1/3R2K1 w - -,d2c3
rnbq1rk1/pp2ppbp/2pp1np1/6B1/2PP4/2N1PN1P/PP3PP1/R2QKB1R b KQ -,d8a5
1k5r/1p4pp/p1r2n2/8/8/1BP5/P1P2PPP/3RR1K1 b - -,c6c3
1r2kb1r/pbppnp1p/6p1/2p1P3/2P5/2B2N2/PP3PPP/R2K1B1R b k -,f8g7
r1bq4/1p4p1/p2kp2n/2ppRn2/5P1r/2NP1Q1B/PPP5/2K3NR b - -,f5d4
r2q1rk1/3nbppp/b2p1n2/p2Pp3/p3P3/B1N2N1P/B1P2PP1/1R1QR1K1 w - -,c3b5
1nr1k3/3p2pp/p1rPp3/1bp1Pp2/N1B2P2/PPR1KP2/7P/1R6 b - -,e8f7
8/R4pk1/7p/8/p4N2/4P1K1/r4P2/8 b - -,a2a1
r2k1b1r/pp1n1pp1/7p/3p4/3P4/8/PP2PPPP/2KR1BNR w - -,g2g3
2bq1rk1/1p2ppbp/2np2p1/1N6/BP2n3/2P1B3/P4PPP/2RQ1RK1 b - -,c8d7
5k2/5ppp/8/pq6/2p1B3/2P2R1P/PP3P1P/6K1 b - -,b5b2
6k1/4pp1p/p2p2p1/3P4/2R1P3/P4P2/1r4PP/6K1 b - -,a6a5
r4rk1/1b1n1pp1/1q1bp2p/p2N4/3P4/3BBN1P/1P2QPP1/R4RK1 b - -,b7d5
r1b2rk1/pp3ppp/8/7R/4P3/2P5/P1P3PP/2K2B1R b - -,c8e6
2rqr1k1/1b3pbp/1n1ppnp1/p7/Pp1PP3/3B1N2/1P1NQPPP/R1BR2K1 w - -,d2b3
4r1k1/1r3p1p/1q1p1npQ/1p4N1/1npP2PP/8/1P3PBB/3R2K1 b - -,b7e7
rnb1r1k1/ppq2p1p/2pb1n2/3p2p1/3P1N2/P1NBPP2/1P1Q2PP/R1B2RK1 w - g6,f4e2
4r1k1/2R5/8/5BKP/8/8/8/8 w - -,g5f6
8/pp2b3/5p2/3kpb2/8/1N1p4/PP1BnPPP/4R2K w - -,a2a3
8/7p/1p1kb1p1/3p2PP/1P1K1P2/8/8/3B4 b - -,e6g8
rnbqkb1r/pp3pp1/4pn1p/2pp4/3P3B/5N2/PPPNPPPP/R2QKB1R w KQkq c6,e2e3
2r1r1k1/1nqb1pbp/p2p1np1/PppPp3/1P2P3/2P2NN1/2B2PPP/R1BQR1K1 w - -,c2b3
8/8/2p5/1p1b1kpp/1P6/P3R2P/1r4P1/4N1K1 b - -,d5e4
r1b2rk1/3q2b1/1n2p2p/1N1p4/P1p1B2p/1P2B1PP/2Q2P1K/1R1R4 w - -,e3b6
8/6pk/3p3p/3Pp3/2P4R/6K1/4Nr2/8 b - -,f2e2
r2rq1k1/pp1b1pp1/1b5p/nP1NPp2/5B2/P4N2/4QPPP/R2R2K1 w - -,a3a4
r2qrbk1/3b1p2/p2Q1npp/1p2p3/P3P3/2N1B2P/1PP1BPP1/R2R2K1 w - -,d6d3
1r1qk2r/pp2npbp/3p2p1/2p2P2/3n4/2NP2PP/PPP2QB1/R1B2RK1 b k -,d4f5
k1r4r/p2R4/1Q2bp2/5n2/1N4p1/2N1P2p/1P3P2/1K1R4 b - -,a7b6
r3q1k1/pp2p1bp/1n2nrp1/2p5/2P2P2/1PN1B3/P1Q1N1PP/3R1RK1 w - -,c2e4
1r2r1k1/2qbppbp/1n1p2p1/p1pP4/4P3/2P1BNPP/P1Q2PB1/2RR2K1 w - -,c2d2
r2qr1k1/1p1b1pp1/2pp1n1p/p1n5/2PNP3/1PQ1R1PP/P2N1PB1/R5K1 b - -,d8c7
r1bq1rk1/1p2npbp/p1n3p1/2pp4/N7/1P3NP1/PBPPQPBP/R4RK1 b - -,g7b2
8/1R6/P1n1k3/4p1p1/4P2p/2B2P2/4KP2/2r5 w - -,e2d3
r2qk1r1/5p1p/bppbpn2/p2p1p2/3P4/2PNPNP1/PPQ2PBP/2KR3R w q -,g2f1
rnb2rk1/pp2b1pp/2pp1nq1/3P4/4p3/1PN1N3/PBP1BPPP/R2QK2R b KQ -,b8d7
6k1/5p2/8/2B1Pn2/3p1b1p/1b6/3R4/4K3 w - -,d2d3
rn1q1rk1/pp2ppb1/3p1npp/2p5/2PP3B/2NQPN2/PP3PPP/R3K2R w KQ c6,d4d5
2r5/6k1/p2PqNp1/bpp3Pp/3p1Q2/P2P2P1/1PP5/5RK1 w - -,d6d7
2r5/p2nrp2/2k1p1p1/1p3pN1/3P4/2P2R2/P3RPPP/1K6 w - -,f3e3
rqr1n1k1/2nbbppp/3pp3/pp4P1/N3PP2/PBN1B3/1PP1Q2P/2KR3R w - b6,a4b6
rn1qkb1r/1bp1pppp/p4n2/1p6/3P4/P3PN2/1P2BPPP/RNBQK2R b KQkq -,e7e6
r4rk1/ppqb1ppp/3bpn2/8/3N3Q/2PB2B1/PP3PPP/R3K2R w KQ -,e1c1
3r1rk1/1p2bpp1/2pn2p1/1pn5/3N4/4P2P/PPB2PP1/R2RB1K1 w - -,e1b4
r1r3k1/6b1/1q1p2p1/1B1b1pB1/P2P4/4QPP1/1P4K1/3RR3 b - -,c8c2
r3k2r/pp1nbppp/2p1pn2/8/1q1P1Bb1/2N2N2/PPPQBPPP/1K1R3R b kq -,h7h6
r1bqrbk1/pp3pp1/1n1p1n1p/3Pp3/4P3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,c8d7
2kr3r/1p6/p1bqRp1b/3p4/3P1Npp/1QN3P1/PP3PP1/R5K1 b - -,d6d7
8/2K5/2P1k3/8/8/8/2r5/3R4 b - -,c2c3
r2q1rk1/p4ppp/1b2bn2/1Npp2B1/1P6/P2B4/2P2PPP/R2Q1RK1 w - -,b4c5
2rB4/1bP5/1p4pp/1P2k3/4p3/4P1K1/8/R7 b - -,e5d6
br1q1rk1/p1n2ppp/3b4/1pp1N3/P3P3/2NP2P1/1P3P1P/R1BQ1RK1 w - -,e5f3
5rk1/B2R3p/4p1p1/2p2r2/P7/1P3n1P/2P5/5R1K b - a3,f3e5
r2qr1k1/1ppb1pb1/pn1p2pp/3P4/7N/4B1P1/PPQ1PPBP/R4RK1 b - -,g6g5
5bk1/5ppp/p7/1p1pqNP1/5R2/8/P1PQ3P/1KB1r3 w - -,f5d4
r1bqk2r/p2p1ppp/1p2pn2/8/1PP1n3/P1Q2N2/4PPPP/R1B1KB1R w KQkq -,c3b3
4r3/1p2rpk1/p1pR1Rp1/P1P1P2p/3K1PbP/3B2P1/8/8 w - -,d4c3
5k2/1N4p1/2p2b2/2P5/1n3P2/5B2/7P/6K1 b - -,f6d4
3q3k/pp3n1p/2p5/3pPp1p/3P1P2/2P5/PPB3K1/3RR3 b - -,d8h4
r1bqk2r/p1pn1pp1/1p1ppn1p/8/2PPP2B/2P5/P2N1PPP/R2QKB1R b KQkq e3,e6e5
8/8/k1np4/pp2b1r1/7R/2PN1R2/PP4K1/8 w - -,g2f2
r1b1k1nr/1pppqppp/2n5/p7/4P3/P7/1PPNQPPP/RN2KB1R b KQkq -,g8f6
3r2k1/3rqpp1/5n1p/p2B1P2/2PQp3/7P/PP1R2P1/3R3K b - -,g8h7
r2qr1k1/5pb1/p1b2npp/P1pp4/Bn5B/2N4P/1PP1NPP1/R2QR1K1 b - -,d5d4
2rr1bk1/1p1n1pp1/p1qpbn1p/P3p3/4P3/1NN1B2P/1PPRBPP1/R3Q1K1 w - -,e2f3
8/p7/8/2kp4/6K1/2P5/P7/8 w - -,g4f4
2b5/2k1rp2/2p1pR1p/1pP1P2p/1P1PB1P1/2K5/8/8 w - -,g4h5
4rbk1/1prbqp2/pN1p1n1p/P2P4/1P2PPp1/1B2Q1NP/6P1/1R2R1K1 w - -,h3h4
r2qr1k1/1b3pbp/ppn1pnp1/3pN3/P2P2P1/2PB3P/1P1NQP1B/R3R1K1 b - -,d8c8
r2q1rk1/pb1pb1pp/1pn1p3/1N6/4Q3/2PB4/PP3PPP/R1B2RK1 b - -,g7g6
2rr2k1/2q1bppp/p3p1n1/4P3/1pPNbPP1/3R2B1/P1BQ2P1/3R2K1 w - -,d4b3
1k6/p3R3/b1pN4/2P5/K3P3/8/8/r7 w - -,a4b4
3r3r/2k1bppp/p2pbn2/Np2p3/1B2P1P1/P1N2P2/1PP4P/2KR3R b - g3,h7h5
6k1/4R3/r7/6K1/6P1/8/8/8 b - -,a6b6
8/6k1/6p1/1Nb5/p1p5/1b6/4B2P/7K b - -,a4a3
2r2rk1/1b3pp1/p3q2p/1p1p2n1/3B4/3Q2P1/PP2PPBP/2R2RK1 b - -,c8c1
6k1/b4p2/4pQp1/4P2p/3q1P2/8/6PK/2R5 b - -,a7c5
rnbqnrk1/1p2ppbp/p1pp2p1/4P3/2PP1B2/2N2N2/PP2BPPP/R2Q1RK1 b - -,d6e5
r4rk1/pbqnbppp/3ppn2/2p3B1/2P1P3/2NQ1N2/PPB2PPP/R4RK1 b - -,f8d8
3r1bk1/1p3r1p/1N1p1nn1/1N1Pp3/P3Pp2/B4P1b/4BR1P/R5K1 w - -,a1d1
3q4/1p2rpk1/1P1b1n1p/1B1Ppnp1/6N1/1Q2B2P/5PP1/R1r3K1 w - -,a1c1
6k1/1p4pp/2p2p2/2n1pP2/1bP5/1P4PP/QB2qPB1/7K w - -,a2a8
r1b1qrk1/pp1n2p1/2p1p2p/3n1p2/3P1P2/4PN2/PPQ2PBP/RN3RK1 b - -,e8h5
r2q1rk1/p1pnb1pp/1p2p3/3bNp2/3PpP2/1P2P3/P1P1B1PP/R1BQ1RK1 w - f6,c1b2
5k2/1R2r3/8/5BP1/6K1/2b5/8/8 w - -,b7b6
q1r3k1/1b3pbp/5np1/1pppQ3/8/1P2P1P1/P4PBP/3RRNK1 w - -,e5b2
rnbq1rk1/5pbp/2p1p1p1/p2nN3/1p1P4/1P1BPN2/1BQ2PPP/R1R3K1 b - -,c8b7
2r5/1b3pk1/5bp1/p2p3p/1q5P/3Q1NP1/BP3PK1/3R4 w - -,f3g5
8/5k2/6RK/7P/8/8/6r1/8 b - -,g2h2
2rq1rk1/1p2ppbp/p1npbnp1/6B1/4PP2/1NN2B2/PPP3PP/R2Q1R1K b - -,e6c4
2r2b2/p1r2k2/5n2/1p1p3p/3P1PP1/P1N1PK1P/1P6/R4R2 b - -,h5g4
r2r2k1/1ppb1pp1/p2b3p/P2Pp3/2B5/4B3/1PP2PPP/R3R1K1 w - -,c2c3
5rk1/5p1p/1p4p1/3PP3/4r3/1B4KP/P7/5R2 w - -,f1f6
2rq1r2/3b1pkp/p2p2p1/1ppn4/3nP3/3P2NP/PPP3B1/R1BQ1RK1 w - -,e4d5
k2rr1q1/pp3pbR/4p3/2pn2PR/3pB1P1/P2P4/1PPB2Q1/1K6 w - -,h5h1
3r2k1/1p3ppp/4p2q/b3P3/PR4P1/2B2N2/1PP1QPK1/8 w - -,b4b3
r1bqk2r/4ppbp/n2p1np1/2pP4/8/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
8/7p/2B5/2b5/5kp1/4q3/5PK1/8 w - -,f2e3
r1b1kb1r/1pq2pp1/p2pp1P1/4n2p/3NP1nP/2N1BQ1B/PPP2P2/R3K2R w KQkq -,g6f7
3qr1k1/3b1ppp/rp3n2/p1pp4/3P1P2/PQN2P2/1P1B2PP/R4R1K w - -,f1e1
rn2r1k1/pp3p1p/2p3p1/3q1p2/1b1P4/1P1BP3/PB3PPP/R2Q1RK1 b - -,d5d8
8/1p6/p4Bp1/P2kpp2/b6P/P3K1P1/8/8 b - -,a4d1
r2r1k2/2qn3p/bp1p1pp1/p2Qp3/2P1P3/2P1BP2/P3B1PP/R4RK1 b - -,f8e7
6k1/3r1p1p/5Rp1/p2r4/Pp6/1P5P/6P1/2R4K w - -,f6a6
2r1r1k1/1q3p1p/1n1b2p1/pp1P4/8/P6P/1Q1NNPP1/2RR2K1 b - -,e8e2
2kr4/pp3ppp/r2bp3/8/P1PP1P2/4B3/5PKP/R4R2 b - -,d6c7
6k1/5p1p/p5p1/1p1p1pR1/3P1P2/2q1P2P/P2Q2PK/2r5 w - -,d2f2
q3r1k1/5pPp/3B2p1/2pP4/8/2P3PP/5PK1/3Q4 b - -,c5c4
8/5k2/8/R5Pp/p3KP2/7P/7r/8 w - -,e4f5
5rk1/pb2q2p/3pr3/1p2n1p1/2pQPp2/P1B2P2/1P2B1PP/3R1R1K b - -,a7a6
6k1/8/3p1r1p/1R1PpPp1/4P3/3Q4/2PP1qPK/8 w - -,d3e3
6k1/p3b1p1/1p2P1Qp/8/2q4P/3R2P1/P4P2/3r1BK1 b - -,c4d3
rnb1kb1r/1p1p1pp1/p4q1p/4pN2/4P3/3B4/PPP2PPP/RN1Q1RK1 b kq -,g7g6
r1qr2k1/1b1n1p1p/1p4pb/pPp1P3/3N1P2/P2P1N1P/3Q1PB1/2R2RK1 w - -,d4e2
1r6/4npkp/2R5/p2n4/3N4/PP6/3R1P2/6K1 w - -,c6c5
7r/5R2/p1p4P/3k2B1/3P3P/8/PP2r3/2K5 w - -,h6h7
8/p2b1p2/1k1p2pp/3P4/3N4/2bBK3/P4PPP/8 w - -,d4c6
2nNr3/p1P5/5k2/7p/1Bb1n1p1/4P1P1/P5BP/2K5 w - -,a2a4
r2r1nk1/2q3pp/2p1np2/ppb1pN1b/4P3/PPB2NPP/2P2PB1/R2RQ1K1 w - -,d1d8
r3r1k1/pb3pp1/1nN4p/3P4/PQ2BPq1/8/1P3P1P/R3R2K b - -,b7c6
r1bq1rk1/pp1nppbp/6p1/2p5/3PBB2/2P2N1P/PP3PP1/R2QR1K1 w - -,f4g5
r4bk1/pbqn1p1p/5np1/1p1pPP2/2p4B/4P1N1/PPB3PP/R2Q1RK1 b - -,c7e5
3q1rk1/p3bpp1/1rp1bn1p/3p4/5B2/1P1B1Q1P/P1P1NPP1/R4RK1 w - -,e2d4
1q4k1/2pn1p2/1p1p1np1/3Pp3/1PP1P3/r2N1PPB/6K1/Q7 w - -,a1a3
7r/ppb1kp2/2p1rp2/3p1R1p/3P3P/PPN3P1/1KP2P2/3R4 w - -,d1d3
8/5p1k/2p5/3p3P/p2PbQ2/P1Pq1P2/1r6/R2B2K1 b - -,e4f5
2q1n3/4Q3/1p1BpPp1/1P3k2/P6p/5PK1/6PP/8 w - -,g3h3
1rbq1rk1/3n1p1p/3ppnpQ/2pP4/1p2P3/5PN1/PP4PP/R2NKB1R w KQ -,h2h4
rnb1r1k1/1p3ppp/p7/3B4/6P1/4P2P/PPP1N3/R3K2R b KQ -,b8d7
2rr2k1/pbq1ppbp/1p4p1/n1p5/P2P4/Q1P1PN2/1B2BPPP/2RR2K1 b - -,b7f3
2k5/1pp2ppp/p4r2/4n3/8/3BK3/P4PPP/2R5 w - -,d3e2
