8/8/4npk1/6p1/4K2p/7P/1R4P1/8 b - -,e6f4
1qr1rbk1/1b1n1ppp/pp1pp3/8/2PQP1P1/1PN3P1/PB3PB1/3RR1K1 w - -,g4g5
8/7p/5k2/p1N1pp2/2B5/1P4KP/3r2P1/8 w - -,c5b7
r2qr1k1/1p1b1pbp/2p1p1p1/2Pp4/3P4/2Q1P3/P2NBPPP/R4RK1 w - -,d2f3
8/6kp/2p3p1/2Pn1p2/r7/PN2r1P1/7P/R2R2K1 w - -,d1d4
8/8/3P2RP/4kb2/6p1/7r/5K2/8 w - -,d6d7
2r3k1/1bb2p2/1p2q1p1/p2p4/P2P1BP1/1Q3N1p/1P5P/3R1BK1 b - -,c7f4
r4rkb/pb3pnp/1pq1pBp1/2p1p3/2P1P1PQ/2NP3P/PP2BP2/R4RK1 w - -,c3d1
r3k2r/1pq2p1n/2p1bbpp/p1n1p3/2P1P2N/1P4PP/PBQ2PBK/3R1RN1 w kq -,f2f4
R1b1k2r/2qppp1p/2p3p1/8/Q1P1P1n1/B4N2/5PPP/1R4K1 b kq -,e8g8
5r2/p3kp2/2p1p3/1p2Nb2/4n1P1/1B6/PPP4P/2KR4 b - -,f5g6
7k/1pp1r2p/p1np2p1/3B4/2P2P2/1Pb3PP/P4B2/3R2K1 w - -,g1f1
5r2/p4pbk/p3r1pp/8/Q2pp3/7P/PP1N1PP1/R5K1 w - -,a4d7
4q1k1/p2r1p1p/Q2P2p1/5n2/P7/7P/5PPB/3R2K1 w - -,a6d3
2r3k1/1p3pbp/p3bnp1/4p3/1qP1P1P1/3BB2P/P1P3Q1/K2R3R b - -,b4c3
r1b1r1k1/pp1nbppp/1qn1p3/2ppP3/3P4/P1P2N1P/1PB2PP1/RNBQR1K1 w - -,b2b3
8/p3r2p/2K3kP/P2R2P1/8/8/8/8 w - -,d5d7
r2q1rk1/1p2ppbp/2npbnp1/p5B1/4P3/1NN5/PPP1BPPP/R2Q1R1K w - a6,a2a4
rnbqkb1r/pp1p1ppp/4pn2/2p5/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq c6,g2g3
r4rk1/1ppn2q1/3P1nbp/p2Ppp2/1P4p1/P3PP2/3NBBPP/R2Q1RK1 b - -,c7d6
1rb1k2r/2qnbp2/2p1p1p1/p1p1P1Np/N1PpQP1P/BP1P4/P3R1P1/4R1K1 b k f3,c7b7
8/3R1pk1/7p/r5pK/8/5BPP/6P1/8 b - -,a5a6
r1bq1rk1/pp1n1ppp/4pn2/8/1PB5/2P1PN2/5PPP/R1BQ1RK1 b - -,d8c7
rn1qkb1r/pbp1pppp/1p6/3n2B1/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,h7h6
8/pp3pk1/6pN/n2Pr3/q1P3Q1/7P/6P1/2R3K1 w - -,g4f4
8/r6p/p1kb2pB/2p5/2Pp2P1/1P1K4/2P2P2/R7 w - -,f2f4
r3kb1r/ppq2ppp/1n2pn2/3B1b2/8/2N2N2/PPPB1PPP/R2QR1K1 w kq -,d5b3
r4Rk1/1pp3b1/3p4/3Pp3/1PP1q1pp/3Q4/6PP/3RB2K b - -,a8f8
r1bq1rk1/ppp2pbp/2np2p1/8/2BP4/PPN1PN2/2P3PP/R2QK2R b KQ -,g7h6
r1b2rk1/ppqn1pbp/2p2np1/3pp3/2PP4/2NBPN1P/PP3PP1/R1BQR1K1 w - e6,c4d5
8/6bk/1Q1P2pp/1P6/4P3/3P1K2/5P1B/r6q w - -,f3e3
r1bqk2r/1p2bppp/2pp1n2/p2Pp3/2P1P3/P1NB4/1P3PPP/R2QK1NR b KQkq -,d8b6
2kr3r/1pp1q2p/1nn1p1p1/p2pP3/P2N2B1/1P5P/2P2PP1/R2QR1K1 b - -,c6d4
2b5/p4k2/p1P2p2/3p4/3P1N1P/5PP1/1r6/2R3K1 b - -,a6a5
8/2p2p1k/6pp/3q4/Np2n1Pb/1P3Q1P/P1N5/6K1 w - -,c2b4
r2q1rk1/p5bp/1p1pbnn1/2p2p2/2P2P2/2N2B1P/PPQN2PB/R4RK1 b - -,d6d5
8/8/pk1r4/4n3/8/PK4R1/8/8 w - -,g3g5
3n2k1/4bppp/p1qNp3/2P1P3/2p2PP1/Pr1rB2P/5Q1K/1R3R2 w - -,d6c4
r2n1qrk/p2nb2p/2b1p1p1/1p1pPP2/2pP2B1/P1N1B1N1/1PPQ2RP/6RK b - -,g6f5
r1bqr1k1/1p1nppbp/2pp2p1/p5P1/Pn1PP3/2N1BN1P/1PPQBP2/R3K2R w KQ -,h3h4
1r1q1rk1/p3npb1/2npp1pp/1pp5/4PB1P/2PP1NP1/PP2QPB1/R4RK1 w - b6,a1c1
rn1qr1k1/1bp2pb1/5npp/1p1pp3/pP2P2B/P1PP1N1P/2BN1PP1/RQ2R1K1 b - -,b8d7
5bk1/ppq2pp1/2n4p/2pQ1B2/2p1R1P1/7P/PP3P2/7K b - -,c6d4
r3k2r/1pq2ppn/p1nbp3/3p2BP/3P4/P1N5/1PPQBP2/1R3K1R w kq -,g5e3
1r2qrk1/2p2ppp/1b1p1n2/1b2p3/1P1PP3/1BQ2N2/1P3PPP/R1B1R1K1 b - -,e5d4
r2q1rk1/pp3ppp/2pbpn2/8/2NP1P2/1Q2PR1P/PP4P1/R1B3K1 b - -,b7b5
6k1/p1q2pb1/PpPr2p1/8/2Q4P/3NP3/P4P1P/1R4K1 w - -,b1c1
2r1rb2/1b1n3k/1p3q1p/1P1Pp3/2p2p1N/2Q1B1PP/5PB1/R3R1K1 w - -,e3d2
r1b2rk1/pp2ppbp/6p1/q1p1P3/4p3/1PP3P1/PB2PPBP/R2Q1RK1 b - -,c8f5
8/8/3kp3/5p2/3Pn3/2P4r/BPK5/4R3 b - -,h3h2
8/3kr3/1R6/p1n5/1p6/P2P3R/5K2/8 w - -,a3b4
