8/8/5kp1/4b3/4B1KP/8/4P3/8 b - -,e5d6
7r/1p2kpp1/q1p1p1p1/b1Pn2P1/3P1P2/PQ2P1P1/8/R1B2RK1 b - -,h8h1
1r3rk1/p4p1p/q3pnp1/3p4/3P1P2/2N4P/PP3QP1/1R2R1K1 b - -,f8e8
r7/2p4p/2k5/p2R1p2/5P2/P5PK/3r3P/8 w - -,d5d2
r6k/p1p3pp/1bpp2q1/4p1N1/2Q1Pr2/2N5/PPP1RPK1/3R4 b - -,g6g5
6k1/3K2P1/5P2/4n1P1/8/8/8/8 w - -,d7e6
7r/q4k2/2b1p3/1pPp1p2/1B1P2p1/3QP1P1/1R4KP/rB6 b - -,f7e8
r1bqrbk1/1pp2pp1/3pnn1p/8/2P1P3/1PN2B1P/2QN1PP1/1RB2RK1 b - -,e6d4
3r1rk1/pp2nppp/3bb3/q1N5/2pB3N/P5P1/1P2QPBP/R2R2K1 b - -,d6c5
7k/1p2p2p/3pN3/8/5p1b/1P6/1PP3q1/1K1R3R w - -,h1h4
r1b1rnk1/1pq1bpp1/2pp1n1p/p7/P2BP2N/2N4P/BPP2PP1/R2QR1K1 w - -,e4e5
2b1k2r/1p3pp1/4pn2/nq5p/p1p5/B5PP/P2NPPB1/2Q2RK1 w k -,c1c3
rn2kb1r/pp3ppp/1qp1pn2/3p4/2PP2b1/1Q2PN2/PP1N1PPP/R1B1KB1R w KQkq -,c4c5
2nr2k1/1b1nqppp/8/pB2p3/PpN1P3/1P2Q1P1/1B3P1P/2R3K1 b - -,d7c5
2r2rk1/ppq2ppp/2N1p3/3n2Q1/8/2NR4/PPP2PPP/2K1R3 b - -,b7c6
3qrk2/pp1np1bQ/3pp1p1/8/4P3/2r1P3/PPP3P1/2KR3R w - -,d1f1
5rk1/pbB3bp/3n4/1Ppqp1P1/P2p2QP/1P4NB/3N4/R5K1 b - -,b7c8
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/2PP4/2N2NP1/PPQ1PPBP/R1BR2K1 b - -,d8e7:f8e8
r2qr1k1/3b1pb1/p1n3pp/1pp1p2n/P3P2P/1BPP1NP1/1B1N1P2/1R1QR1K1 w - -,b3d5
1rbqkb1r/4pp2/p1pp3p/6p1/4P3/2N3P1/PPPQBPP1/1R2K2R b Kk -,f8g7
1r3rk1/pp1qbpp1/2p1p1bp/3nP3/P1NP3n/1Q1B1N1P/1P1B1PP1/2RR2K1 w - -,f3h4
8/8/8/1Q6/8/K1q5/4p3/5k2 w - -,a3a2
8/1p6/p4k2/4p1pp/4P2P/1r3PP1/1P3RK1/8 b - -,g5h4
r1b4r/pp3kpp/1q3p2/2bp4/5P2/2NQ4/PPPB2PP/2KR3R b - -,d5d4
2q2rk1/3b2pp/5p2/1pNpp3/1Q1P4/5P2/R5PP/6K1 b - -,d7c6
2r1n3/p1r1bpk1/1p2p1p1/3pNn1p/3P1P2/2P2PB1/PP2R1KP/1R2N3 w - -,e1c2
r1bqk2r/pp1pbppp/2n1p3/2p5/4PP2/5BP1/PPPPN2P/R1BQ1RK1 b kq -,e8g8
4r1k1/2p2pb1/1p1pqn1p/1Q4p1/2P1P3/5PPP/RP2BBK1/8 b - -,f6d7
8/7k/3Np3/3bP1p1/pP1r4/P1R5/4K3/8 w - -,b4b5
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq d3,d5c4:b8c6:c7c5:f8b4:f8e7
r2qk2r/ppp2ppp/2npb3/6b1/5B2/2P5/PPPQ1PPP/R3KB1R w KQkq -,f4g5
r2q4/2p1p2k/p2n1r2/2QP1pp1/P3p3/1Pb3P1/4PPB1/2RR2K1 w - -,c1c3
rr4k1/2qnppbp/3p2p1/2pP4/P3P3/5NP1/1PQB1PKP/R6R w - -,a1b1
3rr2k/1bq2p1p/4pb2/np2P3/p2p4/P2P1N1P/1P4R1/R1BQ1BK1 w - -,e5f6
1r3rk1/2q1ppb1/bp4pp/p7/PnP1B3/4BN1P/1P2QPP1/2RR2K1 b - -,f7f5
6k1/1Q1b1p1p/p7/P1pP4/8/2B2R2/5Krq/8 w - -,f2e1
8/8/1kn1PK2/6N1/8/8/8/8 b - -,b6c7
r1bq1rk1/pp2bppp/2p1pn2/8/1n1P4/5NP1/PPQBPPBP/RN3RK1 w - -,c2a4
rn1qnrk1/2p1bppp/p2p4/1p1Pp3/8/2PP1N1P/PP3PP1/RNBQR1K1 w - -,d3d4
8/6pk/1pp4p/8/1P2R3/P6n/5qKP/4R3 w - -,g2h3
1nbqk2r/r1p1ppbp/p2p4/8/3P1P2/2P2Q2/P1P3PP/R1B1KBNR b KQk -,c7c5
2br4/p4kp1/1bp1ppn1/2N4p/2NrPP1P/BP4P1/P1P5/R3K2R w KQ -,c2c3
2b3rk/7r/1p6/p1p1b3/P1P1Pp2/1P1R4/5PP1/4RNK1 w - -,d3d5
1Rn3k1/2r1r2p/pNP1p1p1/3p1pP1/5P2/4P1P1/P7/2R3K1 b - -,e7e8
8/5p2/3P1kpp/8/3q3P/1Q6/5P2/6K1 w - -,b3f3
rn4k1/4ppbp/1q4p1/pp1rN3/3P1Q2/1PB3P1/P4P1P/R4RK1 b - -,b6e6
2rb1rk1/1q3pp1/2bp3p/p2Np3/1p2P1P1/4B3/PPPQ1PP1/2KR3R b - -,c6d5
r2r4/2p2p1p/2p3p1/1kN5/p1P1PP2/K3B2P/6P1/4R3 b - -,b5c4
8/8/8/6k1/1rpP1N1p/5K1P/1P6/8 b - -,b4b2
2r5/5pk1/3p2p1/p1rP2Pp/1p1R1N1P/1Pn5/PKPR4/8 b - -,c8e8
r5k1/ppq1rpp1/2n1bn1p/2Pp4/3P4/P2BBN1P/5PP1/R1Q2RK1 b - -,c7d7
r6r/ppp3pk/3b2qp/8/5P2/1Q3P2/PP5P/RbB3RK b - -,g6d3
2r1qbk1/r5p1/4p1bp/pp1pB3/1P1P4/P1P1QP2/4NK2/6RR b - -,a5b4
4rrk1/pppb1ppp/1n6/4n3/8/PB2NN2/1P3PPP/2R2RK1 w - -,f3e5
8/8/p1r5/6p1/R5P1/P2K1k2/8/8 b - -,c6h6
5r2/1PBp1kp1/4p3/2p1P2r/2P2p1p/6P1/1P3P2/5RK1 b - -,h5h8
1r1q1rk1/p3bppp/b7/P1pNn3/2p5/6PP/2QN1KB1/R1BR4 b - -,e5d3
r5k1/p4pp1/4pq1p/3b4/1Q1Nn3/3BP3/P4PPP/2R1K2R b K -,f6f2
1r3rk1/p1q1nppp/2n1p3/3pP1B1/3P4/P2Q1N2/5PPP/1R3RK1 w - -,f1c1
6k1/6p1/1p2Pr1p/p7/P2Q1PP1/1P2R1K1/2r2N2/5q2 w - -,e3e4
8/4R3/p7/2n1k2P/2P3K1/8/8/2b5 b - -,e5d4
r1bq1b1r/pppk3p/4p3/3p2pQ/8/3B1P2/PPP2P1P/R1B1K2R b KQ -,f8e7
1qr4r/1b1nkppp/p2bp3/P1p5/1p1PB3/1P2PN1P/1BQ2PP1/R1R3K1 w - -,e4b7
rnbqkb1r/pp2pp1p/2p3p1/3nN3/3P3P/8/PPPN1PP1/R1BQKB1R b KQkq h3,b8d7
8/8/2p2k2/2pb1p2/N4P1p/P7/1K5P/8 w - -,a4c5
8/5k2/5r1R/3P4/2K5/7p/8/8 w - -,h6h7
8/3R1pkp/p3r1p1/Pr4P1/2p1P3/2P1R3/6P1/6K1 b - -,b5g5
r4rk1/1bpnqppp/1p1p4/pP2p3/P1PPn3/B2BPN2/2Q2PPP/R4RK1 b - -,f7f5
r1r3k1/1pq2pbp/n2pb1p1/p7/1P2P3/P1PBB2P/5PP1/RN1QR1K1 b - -,c7d8
1rrq2k1/1p3ppp/p1n1p3/2Rp4/3P1N2/2Q1P3/PP3PPP/2R3K1 w - -,f4d3
7k/2p5/7p/1pN2r1P/p1n3p1/P1P5/1P6/2K3R1 w - -,c5e6
r1b1rnk1/2p2pb1/1p1p1q1p/p1nPp1p1/1PP1P1P1/P1N1B2P/5PBN/R2QR1K1 b - b3,a5b4
1k1r4/pp3p1p/8/4r1p1/1QP5/3q2P1/P4PbP/1R4KR w - -,g1g2
r2q1rk1/pppb1pbp/3p1np1/8/2PBP3/2N5/PP1QBPPP/R4RK1 b - -,d7c6
2bk2R1/7p/8/1B1p4/3bp3/8/5P1P/3K4 b - -,d8c7
r4rk1/1b2np1p/1qn2bp1/pp2p3/3pP3/PP1P1NP1/1BRN1PBP/3QR1K1 b - -,a8c8
8/k2nB3/2p2p2/K1P2P2/5P2/P7/8/8 w - -,a5b4
r1bq1rk1/p3nppp/3p1n2/1P1P4/2B2P2/2P3N1/P5PP/R1BQ1RK1 b - -,c8b7
8/R6p/6pk/p3r3/8/6P1/4B1K1/8 w - -,e2c4
8/1p5r/p1npp1k1/4p1p1/Pp2P3/2PP1KP1/2N2P2/1R6 w - -,c2b4
2n4r/1p1kbpp1/1q2p1p1/3pP3/3P2PP/pP3N2/P1QB1PK1/2R5 w - -,c2d3:d2g5
3q1rk1/p2rbpp1/n3bn1p/1N1pp3/Q7/B2P2P1/P2NPPBP/1R3RK1 b - -,a6c5
1r5r/3k4/p3bpQ1/q3p1pp/NbPp4/1P2BP2/P5PP/3RR1K1 w - -,e3d4
r3r1k1/p3ppb1/2p3p1/4qP2/1p1nN1P1/3PB3/PP5Q/1K1R3R w - -,e3f4
4r3/p6k/Ppb3r1/3p1Np1/2pPB1P1/2P4P/2P5/R3B1K1 b - -,e8e4
8/8/3r1pk1/7p/5R1P/6P1/3p4/3K4 b - -,d6d3
r5k1/4np1p/2p2qp1/1pN5/1PpP4/r3P1P1/1RQ2PKP/2R5 w - -,c2e2
4R3/5pp1/2p2bkp/3p4/1N1B4/P1P2PP1/1n5P/6K1 b - -,f6d4
r2r2k1/5p2/1p4p1/pR1P3p/7P/1Q6/PP3PPq/2R2K2 w - -,b3h3
1b3r1k/1p2rqpp/p7/4BP2/3p1PB1/1P4Q1/P1R4P/6K1 b - -,d4d3
5b1k/1p1q1pp1/p1p4p/2P5/1P1p1Pb1/PQ1P2P1/3NBK1P/8 b - -,g4e6
6k1/5r2/P3Q1pp/4p1b1/8/4P2P/6P1/6K1 w - -,g1h2
8/5pkp/6p1/p2Bn1B1/Pb4P1/6PK/8/8 b - -,e5d3
rnbq1rk1/1pp2pb1/3p1npp/p2Pp3/2P1P3/2N5/PP2BPPP/R1BQNRK1 b - -,b8d7
2rr2k1/pp3pp1/2b1pq1p/8/2pP4/P1P2P2/1P4PP/R2QRBK1 b - -,b7b5
8/1R6/1p5k/p1p1bpp1/B1Pn4/P3r3/1P1R3P/7K w - -,b7b6
3r1rk1/pp3pbp/3qb1p1/2np2N1/3p1N2/1B1P1QPP/PPP2P2/R3R1K1 b - -,a7a5
2krr3/ppp2ppp/6n1/2b1n3/8/2P3B1/PPKNNPPP/3R1R2 b - -,f7f5
rn1q1rk1/pp3ppp/2p1pnb1/8/PbBP4/2N1PN2/1P2QPPP/R1BR2K1 b - -,b8d7
3r1rk1/ppp1qppp/5b2/n2P1b2/Q1P5/P3B3/3NBPPP/2R2RK1 b - -,b7b6
2krr3/ppq2ppp/1n1b4/4p2b/8/2PB1N1P/PP1BQPP1/R4RK1 w - -,d3e4
2r3k1/2r2pp1/b1qnp2p/1pNp4/3P4/2PBPP1P/1Q4P1/2R1R1K1 b - -,d6c4
r3r1k1/5p1p/1p2p1p1/1P1qPnPP/1RpPp3/p1P1P2R/P3Q3/4B1K1 b - -,e8c8
rn1k1bnr/1p3ppp/p3b3/8/8/1Np5/PP3PPP/R1B1KBNR w KQ -,b2c3
r4r1k/p4p2/3p1q2/2p1p3/1p4P1/1P1P1R1P/1PPQN2K/8 b - -,f6g6
1Q6/p2r1ppk/4p1p1/8/2qB4/3R3P/P4PP1/6K1 w - -,d4g7
4r1k1/p4p1p/6p1/2p5/3qP3/PP1p1P2/3Q2KP/2R5 b - -,f7f5
r1bq1rk1/pp2npbp/2n1p1p1/2pp4/4P3/2PP1NP1/PP2NPBP/R1BQ1RK1 b - -,e6e5
r2k3r/p5pp/2p5/3np3/Nb2p3/8/PP2KPPP/R1BR4 w - -,c1e3
r1bqk2r/1p2bppp/p2p1n2/n1p1p3/4P3/2PP1N2/PPBN1PPP/R1BQ1RK1 b kq -,a5c6
3rn3/2p1qp1k/1p1r2p1/p2Pp3/P3P1Bp/2R1QPP1/2R3KP/8 b - -,h7g7
2r1r1k1/p4p1p/1pb3p1/1N2pQ2/2P1p2q/1P4bP/PB4P1/2RR2K1 w - -,f5f1
4rqk1/p2b3p/3p1n2/2pP1p2/2P2P2/P1NQ2PP/4r2K/B4R2 w - -,c3e2
r3k2r/5ppp/pp2p3/3q4/3pP3/3Q2P1/PPP2PKP/R4R2 b kq e3,d4e3
4r3/pp2b2k/q5pP/3QB3/2r2pb1/P4N2/1P3P2/1K1R3R b - -,g4e6:g4f5
1r3rk1/1p2q1bp/2p2np1/1P1ppb2/2P5/3P2P1/2Q1NPBP/1RB2RK1 w - -,b5c6
rnbqk1nr/p4ppp/2p1p3/1p6/PbpP4/1P2PN2/3B1PPP/RN1QKB1R b KQkq -,b4d2
r7/P6p/5p2/3kp3/8/4K1P1/7P/R7 b - -,d5c6
2r1r1k1/2qn1p1p/p3p1p1/1pbpP3/3N1P1P/1PP5/P3QBP1/2R2R1K b - h3,c5f8
8/5k2/pp1R4/7r/b2N1Pp1/2P5/1K6/8 b - -,g4g3
r1bq1rk1/pppnbpp1/3p3p/4P3/2B1P3/2N2Nn1/PPP2PPP/R2QK2R w KQ -,h2g3
1r1r2k1/p4pp1/p1p1p1p1/1n4P1/nb1PPN1P/4BP2/BP3RK1/2R5 w - -,h4h5
r1bqk2r/1p2bp1p/p1n1p3/3pPp2/2pP1P2/2P2N2/PPN3PP/R1BQ1RK1 w kq -,c2e3
8/2R3b1/4N1pk/3p3p/1p6/4n2P/8/6K1 b - -,g7c3
3r4/1kp3p1/1pbr3p/2pNRP2/p1P2KP1/7P/PP6/3R4 b - -,b6b5
