8/8/6R1/8/5p2/4p1p1/5rk1/4K3 b - -,f4f3
4k3/1p3r1p/2p5/p2p2p1/1q1Pp1P1/1P2PrPP/Q3R1K1/6R1 b - -,e8d7
rn3rk1/pb2q1bp/1p1ppnp1/2p3N1/2P5/2N1P2P/PP2BPP1/R1BQ1RK1 w - -,e2f3
r1bq1rk1/ppp1ppbp/1n4p1/2B2n2/8/2NP1NP1/PP1QPPBP/2R1K2R b K -,f8e8
1r3r1k/3bqppp/1pp2n2/p2p4/N2PpN2/PP2P2P/2P2PP1/R2Q1RK1 w - -,c2c4
1r3rk1/1q1b1pbn/3p2p1/1p2p2p/1N2P2P/Pn1BBP2/1P2NQP1/3RK2R b K -,h7f6
r5k1/pb2qpp1/1p5p/r3p3/4P3/4QN2/nP2BPPP/R2R2K1 b - -,a8c8
7Q/8/P1k3K1/1n6/2p5/8/8/8 b - -,c6b6
5k2/6R1/5pKP/4p1b1/4B3/6P1/2Pr4/8 b - -,d2h2
r1q2r1k/1p2p1bp/p1pn1np1/6N1/P2B4/2N4P/1PP1QPP1/R3K2R b KQ -,d6f5
r1br4/p3bk2/2p2Np1/3p2Pp/p2B4/3R1P2/PPP4P/2K1R3 b - -,c8f5
rn1qk2r/1b2bppp/p1Np4/3Pp3/1p4P1/7P/PPP2PB1/R1BQR1K1 b kq -,b7c6
r1b1nrk1/p4ppp/1n1p1q2/QNp2N2/4P3/P5P1/5PBP/1R3RK1 w - -,f5e3
8/7k/7p/1Q2p1p1/1P2P3/P5P1/1q3P1P/6K1 w - -,b5b7
r1b1k1nr/pppq1ppp/1bnp4/4p3/2BPP3/1QP2N2/P4PPP/RNB2RK1 w kq -,b1a3:c4b5
8/1ppq2k1/2n4p/1QP1p1p1/4PrP1/5N1P/1P4K1/5R2 w - -,b5e2
4r3/8/5R1P/4p1K1/8/8/4k3/8 b - -,e5e4
8/2R4p/r3k1p1/4pp2/8/5PKP/6P1/8 b - -,h7h6
r7/5pp1/p2k3p/RpNn4/2pP4/2K1PPP1/7P/8 w - -,c3d2
6bk/pp5p/1Q4p1/r3N3/5P1P/P7/1P4P1/5RK1 b - -,a7b6
8/7R/6p1/p1k5/6P1/8/r2p4/3K4 w - -,h7g7
b3r1k1/5ppp/8/PQ1pq3/8/2N3PP/4P1BK/8 w - -,c3d5
r2q1rk1/pppn1pbp/2np2p1/3Pp3/2P1P3/2N1B2P/PP2BPP1/R2QK2R b KQ -,c6d4
8/8/8/5kpp/1P6/3NR1KP/5PP1/3r4 w - -,b4b5
3r2k1/3P1p1p/p4qp1/1p5r/4RP2/2P3Q1/P6P/3B1RK1 b - -,h5d5
3r2k1/3r3p/1ppn1pp1/p7/P1PpP3/4K2P/1B1N1PP1/1R6 w - -,b2d4
8/3R4/2p5/2rnkp2/1p1Np3/4P1P1/5P1P/5K2 w - -,h2h4
rnb1kb1r/2q2ppp/pp1ppn2/8/P2NPP2/2N5/1PP1B1PP/R1BQ1RK1 b kq f3,c8b7:b8d7
4qb1k/6pb/1p5p/7P/5QN1/6P1/1B3P2/6K1 b - -,h8g8
2rqk2r/p2nbppp/bp2p3/2p5/2PPn3/1PB2NP1/P4PBP/R2QR1K1 w k -,e1e4
8/8/1P1Rpkp1/7p/4PP2/1r6/4K3/8 w - -,e2f2
8/5kp1/2q2p2/p2pp1pQ/Pp1bP3/1P5R/5PK1/8 b - -,f7e6
rnbqkbnr/pp3ppp/4p3/2p1p3/8/1P3N2/PBPP1PPP/RN1QKB1R b KQkq -,g8f6
r2q1rk1/ppp3pp/1nn1bb2/4pp2/1P6/P1NP1NP1/1B2PPBP/R2Q1RK1 w - -,f3d2
8/5p2/4p3/PK2k3/1P4R1/8/8/1r6 w - -,a5a6
2r2rk1/p2q2pp/1p2p1n1/3pPn2/1P3P2/P2Q2P1/1B2B2P/R4RK1 b - -,c8c7
8/8/3p2k1/p1NP2P1/2P1P1n1/4K3/P2N1r1p/1R6 w - -,e3d3
8/8/5p1k/p6p/p1p1P1PP/5P2/1K6/8 w - -,b2b1
r1bqr1k1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N1B1P1/PP2nPBP/R2Q1RK1 w - -,d1e2
2kr1br1/1pqb2p1/pnn1p1P1/2pp1p2/3P3P/1PN1PN1B/PBP1Q3/1K1R3R w - -,f3g5
r3k2r/1bqnbppp/pp2pn2/2p1N3/3P4/2PB1N2/PP2QPPP/R1BR2K1 b kq -,c5d4
r4rk1/1p1qnpb1/2pp1npp/1P6/P2NP3/B1N3Pb/5PBP/R2Q1RK1 w - -,a1a2
6k1/3p2p1/p3p2p/2p1Pn2/2P2P2/7Q/P1PB1K1P/7q b - -,g8h7
3q4/5pk1/1b2pn1p/1B4p1/P1QP4/5NPP/5PK1/8 w - -,b5c6
5rk1/p3p1bp/4p1p1/n1rP4/5B2/2P1P3/P3BPPP/2R2RK1 b - -,e6d5
3q1rk1/1p1bppb1/3p1np1/p1r3B1/4P1pP/1PN2P2/1PPQN3/1K1R3R w - -,f3f4
1k1r3r/ppq2ppp/2p1p3/2QnPb2/1P6/2N3P1/P3PPBP/R2R2K1 w - -,d1c1
r4rk1/p4p1p/4b1p1/8/8/Q1Nq2P1/PP3RP1/R5K1 w - -,f2f3
4nB2/8/2p1p1k1/p2pP3/P2P2Pq/1P3Q2/6K1/8 w - -,f3d3:f3h3
1r6/R5b1/1p4kp/8/4NpP1/1P3p2/P4P1K/8 w - -,a7a4
3rr1k1/2pn2b1/1p1pp1p1/p5N1/2PP4/5NP1/PP2RP2/3R2K1 b - -,e6e5
rn2k2r/pppqnppp/4b3/3p3Q/1b1P4/2NB4/PPP1NPPP/R1B1K2R w KQkq -,a2a3
4r2k/1p2bppp/pq2bn2/4p1B1/P3P2Q/2PB4/2P3PP/3R1R1K b - -,f6g8
8/5Q1p/5p1k/1pq5/2p3P1/2P2K2/8/8 b - -,c5c6
8/2K1k3/5ppp/4p3/4P1P1/5PP1/8/8 b - -,e7e6
r2r2k1/1b2qppp/p1n1p3/1pnpP3/5P2/P1N1QN2/1PP1B1PP/3R1RK1 b - -,a8c8
r3qrk1/pbpnppbp/1p1p2p1/8/P1NPnB2/2P1PN1P/1P2BPP1/R2Q1RK1 b - a3,a7a6
rqb2rk1/1p1n1ppp/pBp1p3/8/Nb2PP2/3B4/PPP3PP/R2Q1R1K b - -,b4d6
1r4k1/4brp1/3pp3/p3q2n/1B2P3/2PB3P/PP4Q1/1K1R2R1 w - -,b4a3
6k1/pp4p1/r4p2/2b5/3Nb3/1pP1PNP1/P3KPP1/R7 w - -,d4b3
r2qrbk1/1bpp1pp1/p4n1p/1p2P3/4P3/2P5/PPBN1PPP/R1BQ1RK1 b - -,e8e5
r2qr1k1/pb1n1ppp/1p2pn2/2pp4/1bPP4/1P3NP1/PBQNPPBP/3R1RK1 b - -,a8c8
r1b1kb1r/ppp2ppp/8/8/2nPB3/2P3P1/P1P4P/R1B1K1NR w KQkq -,g1e2
5k2/6pp/8/P7/8/1R2np2/1P3Nr1/7K b - -,g2f2
rn3k2/p1qr2p1/b1p1p3/1pP1RN2/3PQ2B/2n2B2/P4PPP/3R2K1 w - -,e4e1
r1b1k2r/ppp2p1p/3p4/2bP3N/2P1Ppn1/2NB4/PP3PP1/R3K2R w KQkq -,c3d1
r2q1rk1/p2n1pbp/1p2p1p1/2p1P3/2PPQ3/P4N2/1B3PPP/R4RK1 b - -,c5d4
8/1p3k1p/r1b1pn2/P4p2/3P4/R7/1R2KP1P/8 b - -,c6e4
4rr1k/pb3pp1/1pp2P1p/3p4/5b2/1BP5/PP4PP/3R1RK1 w - -,f6g7
r3r1k1/p4pb1/6p1/2pP1b2/1n2pPpq/NQ4N1/1P2B1P1/R1B2RK1 w - -,g3f5
4r1k1/p4pp1/1p2p3/1br3Pp/4P2P/2B2P2/PP1R4/1K1R4 b - -,c5c8
1rq3k1/4r1pp/2p2b2/2Nb4/4pP2/P3Q1PP/1P5R/1KNR4 w - -,g3g4
r3rbk1/p1pq3p/1p3pp1/n7/2PPp2B/2Q1P3/P2N1PPP/2RR1K2 b - -,d7f7
6k1/1p3p2/p1p1n2p/P3PNp1/1P2R1QK/1r4PP/5q2/8 w - g6,h4h5
2r1nnk1/1qr2pb1/1p1pp1p1/pP4P1/P2PP2P/3QB3/3NNR2/5RK1 b - -,f8h7
5r2/p6p/Pp1kp1n1/3p4/1Pr1P3/2PN2P1/4K2P/2R4R b - -,c4e4
r1bq1rk1/pppn1pbp/2np2p1/8/2PNP3/2N1B2P/PP2BPP1/R2Q1RK1 b - -,d7b6
1b6/1r5p/4k1p1/1P1R4/2PP2P1/5K1P/8/8 b - -,b7d7
1rbqk2r/6bp/p2p1pp1/n2Np3/1p2P3/4BB2/1PP2PPP/R2Q1RK1 w k -,f3e2
r1b1r1k1/pp2qpp1/2p2n1p/P7/1nNPp3/1BN1P3/1P3PPP/1Q1RR1K1 b - -,b4d3
1r6/2n4p/N1bk1pp1/3p4/pp1P3P/3BP1P1/PP3P2/2R2K2 b - -,c7a6
r2r2k1/pbq1bppp/1pn1pn2/3p4/2PP4/PP1B1N2/1B1NQPPP/R4RK1 w - -,a1c1
1n3bk1/5rpp/2n2r2/8/Q4B2/6P1/1P5P/2R4K w - -,b2b4
rn1q3r/pp2kp2/4pp1p/3p3Q/3N4/bPN1P3/P2P1PPP/R4RK1 b - -,b8c6
r1bq1rk1/pp2npbp/4p1p1/3P4/3P4/2N3P1/PP3PBP/R1BQ1RK1 b - -,e7d5
5r1k/6q1/4p2p/3pP3/b1pP1p1P/1pQ4N/2PK4/1R6 w - -,b1g1
r1b1qrk1/1ppn1pbn/p2p2pp/3Np3/2PP4/4PN1P/PP2BPPB/R2QR1K1 b - -,e8d8
r4rk1/pb5p/1p3bp1/n1pq2B1/5P2/2PB2N1/P1Q3PP/R4RK1 w - -,g5f6
7k/6bP/1p1p1qP1/p3p3/P1P5/1P2B2R/6RK/8 w - -,h3g3
rq2kbnr/pp1b1ppp/3P4/1N2p3/8/5N2/P1P2PPP/R2QKB1R w KQkq -,b5c7
1r1b3r/1p3kpp/2p1b3/p1P2p2/4p2P/1PN1P3/P2B1PP1/3RK2R w K -,c3a4
1r6/4ppk1/Q4n2/3pqb1p/6p1/2NBb1P1/PPP4P/1K1R3R w - -,a6a3
3r1k2/1b3pp1/pp1qp2p/4NP2/P7/2P3QP/1P4PK/3rRB2 w - -,e1d1
r5k1/1p3b2/4q3/1P3p2/P5p1/R1R1p1P1/7P/Q5K1 b - -,e6b6
r7/2b4p/r2pkpp1/2pR2P1/p1P1PP1P/1PB5/2K5/R7 w - -,b3a4
r1b1q1k1/ppp2rb1/2n2npp/4pp2/2P1P2N/BPN3P1/P4PBP/R2Q1RK1 w - -,c3d5
3q1rk1/1b2bppp/3ppN2/r7/1n2PP2/2BB4/PP2Q1PP/4RR1K b - -,e7f6
4r3/p4k1p/2R2p2/8/1rp2PPN/4p3/P3K2P/3R4 w - -,c6c7
r1bqkb1r/1p3ppp/p4n2/3PpN2/1n6/2N1B3/PPPQ1PPP/R3KB1R w KQkq -,f5g3
3r1rk1/pbq2ppp/1pn1pn2/2p5/3P4/2P1PB2/PB1NQPPP/R4RK1 w - -,b2a3
2r1kn1r/4q1bp/p2pp1p1/1p1b1nN1/1B2NP2/P2B4/1PP1Q2P/2KR2R1 w k -,a3a4
2k5/p1rq4/R1p1npp1/QpP1p2p/1P2P3/1P2P3/R2r1NPP/6K1 w - -,g1f1
r3nrk1/pb1nqpp1/1p5p/2ppP3/5PP1/2NBP1BP/PPQ5/R4RK1 b - f3,e8c7
r3r1k1/2qn1ppp/2p5/1pb1nN2/p3PBP1/P5QP/1PP3B1/3R1R1K b - -,d7f8
2r2bk1/7p/5pp1/1p6/1PbpP3/3B2P1/5P1P/2R1B1K1 w - b6,e1d2
8/7p/1pk1np1P/4p1p1/2P1P1P1/KR3B2/6P1/1r6 b - -,b1b3
3r1bk1/p1q4p/4R1p1/1p1P4/1P2Q3/P1p1N1P1/5PK1/8 w - -,e6c6
1kb3r1/pp1n4/3b1q1p/1P1pp1p1/1P1P4/3B1N1P/3BNPP1/R3K2R w KQ -,d4e5
3r4/1p2k3/p1rp1n1p/2B1p1p1/P1P5/1PNR1P2/1K1R2PP/8 b - -,c6c5
1r2rqk1/1pp2pbp/p1bp1np1/8/3BPP2/P1NQ2PP/1PP3B1/3RR1K1 w - -,a3a4
8/6pk/4p2p/p3P3/Rb3P2/3r2P1/2r2BKP/5R2 w - -,a4a1
r1bqkb1r/pp3p1p/4p1p1/2Ppn3/8/2PB4/PP1N1PPP/R1BQK2R w KQkq -,d2b3
4r1k1/1p3pbp/2r5/p1PNppP1/P5nP/5K2/1PP5/4R1BR b - -,e5e4
8/p4P1p/1p6/1P6/P1r4r/k7/5QK1/8 b - -,c4g4
r2q2k1/ppp2rb1/3p4/3Qn2p/4N1p1/4B3/PPP2P2/2KR3R w - -,e4g5
r2qkb1r/pppbnppp/2np4/1B2p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 w kq -,d4e5
1k1r4/pp3p1Q/4p3/4P3/3P2P1/8/PP4q1/1K1R4 b - -,g2g4
1r3rk1/5pbp/4b1p1/1pnN4/8/2P3PP/PPB2P2/2KR2NR w - -,g1e2
1r1q1r1k/p2bn1b1/3p1ppp/1ppPp3/7P/1QPPBPPB/PP2N3/R3K2R w KQ b6,h3g2
3rr1k1/B4nb1/p4pp1/3P1n1p/5PbP/2N5/PP2N1B1/3RK2R w K -,e1f2
3r2k1/q3pp2/6p1/p2P1R1p/Bp4rP/3Q2P1/PPR2PK1/8 b - -,g6f5
2R5/8/3r2p1/5p1p/5P1P/1p4P1/4K3/1k6 b - -,b3b2
5r1k/pp2bpp1/2r1q2p/4P3/B2PQ3/2B5/PP5P/R5K1 w - -,a4c2
r1bqkb1r/pppp1ppp/8/4n3/2P5/P3P3/1P3PPP/RNBQKB1R b KQkq -,a7a5
r2q1rk1/p2p1pp1/bpn1pn1p/2p3B1/2PPP2P/2PB2N1/P4PP1/R2QK2R b KQ h3,c5d4
r2qr1k1/1p1nbppp/2n5/p3p3/2Ppb3/1P1P2P1/PBNNQP1P/R4RK1 w - -,d3e4
2rqnrk1/1p2ppbp/1n4p1/p2pNb2/P2P1B2/1PN5/2PQBPPP/2RR2K1 b - -,f7f6
8/8/k7/6R1/3Kp2p/7P/4r1P1/8 w - -,g5g4
8/p4kp1/1rb4B/2p2n2/8/7P/P4PP1/3RR1K1 w - -,h6g5
2r2r2/3b1pkp/p2p2p1/1ppP4/3n3q/3P2NP/PPP3BK/R1BQ1R2 b - -,c8e8
r3r1k1/p6p/1p1p1n2/3Pqpp1/P1p2N2/1nP1PP2/R3R1PP/2BQ2K1 w - g6,f4h3
4k3/8/2p2K2/4P3/8/8/R7/6r1 b - -,g1e1
3r2k1/1p4pp/1bpn4/8/1PN1p3/3K1P2/1B4PP/R7 w - -,f3e4
2r2rk1/1pq2pbp/p1nppnp1/8/P1P1P3/2N1BP2/1P2N1PP/1R1Q1R1K b - -,f8d8
8/1p2kp2/6p1/4P2p/1bP2Pb1/pP3NR1/P3Br2/3K4 w - -,f3d4
r1b2rk1/p2nnppp/1qp1p3/1p2P3/P1pPN3/5N2/1P3PPP/R2QKB1R w KQ -,a4a5
rn1q1rk1/1bp1ppbp/pp1p1np1/4P3/P2P4/2N2N2/1PP1BPPP/R1BQR1K1 b - -,d6e5
8/1p3k2/p7/2ppP3/5P1P/bP1B1K2/P7/8 w - -,h4h5
8/4bppk/4p2p/4P3/p2P4/5QP1/1q3PKP/4N3 b - -,a4a3
6k1/5p1p/6p1/2n5/qp1N3P/2r1P3/1Q3PP1/5RK1 b - h3,c5d3
8/p4p2/r4kp1/5b1p/7P/6P1/P4P2/2RB2K1 w - -,d1b3
r4k1r/p1pq1pp1/1pn1p1n1/3pP2p/3P3P/P1PP1QN1/5PP1/R1B1K2R b KQ -,c6a5
r3r1k1/pp3pp1/1Bp1bn1p/3p2q1/4P3/2P3NP/PPB2PP1/R2QR1K1 b - -,a7b6
8/pp1rk2p/2pp1np1/4rP1b/2P1P3/1P2R1NP/P2R1KB1/8 b - -,e7d8
6k1/5pp1/b3p2p/p2pP3/Pq1N2Q1/1Pr4P/5PP1/3R2K1 w - -,g4h4
1r1q1rk1/3nppbp/2np2p1/ppp5/4P3/P1PPB1PP/1P2QPB1/RN1R2K1 b - -,d8c7
2r5/2Pknppp/p3p3/BpRbP3/3N4/P4PK1/5P2/8 b - -,e7g6
rn1q1rk1/1bp1bppp/p2p1n2/1p2p3/P3P3/1BP2N1P/1P1P1PP1/RNBQR1K1 w - -,d2d3
r1b1kb1r/1pq4p/p1nppp2/8/3NP3/2N5/PPP3PP/R2QKB1R w KQkq -,f1c4
8/p7/1ppkb2p/6p1/1p1P4/P1N1K2P/2P3P1/8 w - -,a3b4
2qb1rk1/1p1P2pp/p2p4/P7/3B4/1PN2bP1/2PQ1P1P/4R1K1 b - -,c8d7
r1r5/6kp/p1p2qp1/1p2pp2/1P6/2R1BB2/1P3PPP/2N2RK1 b - -,a6a5
3r2k1/3n1p1p/4p1p1/4P1P1/1P1P3P/2PQP3/8/q1B2RK1 w - -,c1d2
8/3k4/2pr3p/1p1r1p1P/p1n2Pp1/2PR4/2P1K1P1/R5B1 b - -,c6c5
r2q1rk1/pppnb1pp/3p2n1/3Pp3/4N3/2P2N2/PP3PPP/R1BQR1K1 b - -,h7h6
r3rnk1/pp4pp/1n1p1q2/2pPp2P/2P1P1b1/1PN2N2/P2QBP2/R3K2R w KQ -,f3h4
r6k/5pp1/7p/2p3q1/2PbP3/5Q1P/2B1K1P1/3R4 b - -,a8a3
r4r1k/p1pbbPpp/1q6/1p4N1/6n1/1QN5/PP1B1PPP/R4RK1 b - -,b6d6
r2qkb1r/1b1n1p1p/4pp2/1B6/3p4/5N2/PP3PPP/R1BQ1RK1 b kq -,h8g8
r2qr1k1/pp3ppp/1n1b1n2/3PN2b/2p2P2/2NB3Q/PP4PP/R1B1R1K1 w - -,d3e4
r4b1k/p3Np1n/2pr1P2/q3p1Pp/1p2P1bP/1P1B2N1/P1PQ4/1K1R3R w - -,g3f5
8/p1R5/8/1P6/1P3p2/1K2pk2/5r2/8 w - -,c7a7
4r1k1/1ppnqpp1/pb1p1P1p/3P4/bP1P1R2/P2QNBPP/7K/6B1 b - -,d7f6
r5k1/pbq1r1pp/5b2/1Bppp3/6Q1/2P4P/PP3PP1/R1B1R1K1 w - -,c1g5
6k1/5p1p/Qp1np3/3n2p1/3P4/R6P/P1q2PPK/8 b - -,c2f2
2rr1k2/1bN1pp1p/3pNbp1/8/nP6/5P2/P1R3PP/B1R3K1 b - -,f7e6
r2q1rk1/pb2bpp1/1p5p/2np4/4nB2/P1N2NP1/1P2PPBP/2RQR1K1 w - -,f3d4
r5k1/1b3ppp/1p3n2/p1npr3/3N4/1P4P1/P3PPBP/3RRNK1 w - a6,d1c1
r1b2r2/pp1nq1k1/3N2n1/1PpPp1bQ/P3Pp1p/2P3P1/2NB1RBP/5RK1 b - -,h4g3
2r1r1k1/6p1/2q1p2p/1pp2p2/1n6/1P1PR1P1/2P1QP1P/2BN2K1 w - -,e3e5
3n4/p1k3pp/4pp2/1KP5/3N2P1/P7/5P1P/8 b - g3,c7b7
8/1b2rk1p/6p1/1p1n4/3Q4/2P4P/3P1PP1/6K1 b - -,h7h5
6k1/4R1p1/r7/6KP/5P2/8/8/8 b - -,a6a1
6Q1/5K2/8/8/8/4p3/5k2/8 b - -,e3e2
3r4/3p2k1/3P4/4RB2/3rNP1p/8/P3K3/8 b - -,g7f8
2kr3r/pb1nbpp1/1qn1p2p/2p1P3/2Pp1B1P/P4NP1/1P3PB1/R2QRNK1 b - -,d7f8
rn1q1rk1/pb1p1ppp/1p2pn2/2pP2B1/1bP5/1QN1PN2/PP3PPP/R3KB1R b KQ -,e6d5
2r5/1r2Bp2/2p1bk2/ppP3pp/P3B1P1/1P3P1P/2K5/1R1R4 b - -,b7e7
5qk1/2Q3pp/3p4/3P1p2/p3rn2/5B2/7P/1R5K b - -,e4e8
2r2k2/4b3/4p1B1/Qp3p1P/1N2b3/P1P5/KP3q2/2R5 b - -,f2d2
r3r1k1/3qnpbp/p2pp1p1/1p6/3NQPPP/P7/1PPB4/4RR1K b - h3,a8c8
4r1k1/1R4p1/1B3pbp/p1q1n3/Pb1Np1p1/8/1P2Q2P/3R2K1 b - -,e5f3
rr6/3n1pkp/6p1/2pP4/4PP2/3B4/6PP/RR4K1 b - -,a8a1
r3k2r/pbq2p2/1pnbpp1p/3p4/P2P4/2PB1N1P/1P3PP1/RN1QR1K1 b kq a3,e8c8
3r2k1/pb2r1pp/1p3q2/2pnpp2/2N5/PP1PP2B/1Q3PPP/2RR2K1 w - -,b3b4
r4bk1/1R1R2pp/5p2/p7/8/4B1P1/rP2PP1P/6K1 w - a6,e3d4
5r1k/3r1p1p/3NbP2/pp5q/3Q4/P5PP/6BK/4RR2 w - -,e1e5
8/p4pk1/1bR1P1pp/8/5B2/3r3P/P4PK1/8 b - -,f7e6
8/6k1/R7/1p4Pp/p2P4/P7/1r3P2/6K1 w - -,d4d5
2r2rk1/p2qn1b1/4n1pp/1Np2p2/2P2P2/P2PB3/2QN2KP/1R3R2 w - -,d2f3
3r2k1/2p3p1/1p2qp1p/p1b1p2n/P1N1P3/1PP2N1P/2Q2PP1/3R1K2 b - -,d8d1
r7/4n3/3qn1kp/1p1P1pp1/3Pp3/1P2P1PP/1Q3RNK/5N2 b - -,e7d5
r2q2k1/pp3pbp/2p2np1/3p3r/2P5/1P1QP3/PB1N1PPP/R2R2K1 b - -,d8d6
r3r1k1/2q1bppp/p1bp4/1p2p3/1P2P1P1/2P1N3/P1B2PP1/R2QR1K1 b - -,e7g5
2r4k/1p3r2/p2R1P1p/4Rq2/1P1Q1P1P/8/1Kb5/8 b - -,f5g6
8/p3N3/1p4k1/3p4/r1n5/2P2K2/8/2R5 b - -,g6f6
4Q2r/5pk1/p7/4Pp2/1R5p/1P2K3/P1p5/2Rb4 b - -,h8e8
5r2/6k1/1p4p1/2nR4/p1P4p/2N1Np2/P4K2/8 b - -,f8f4
rnbqkb1r/pppp2pp/4pn2/5pB1/3P4/4PN2/PPP2PPP/RN1QKB1R b KQkq -,f8e7
8/8/2b5/5p1p/2p3k1/P3K1P1/8/4B3 b - -,c6e4
r4rk1/p1p2ppp/bp2pn2/8/3P4/P7/1P2PPPP/2R1KBNR w K -,e2e3
rnbqk1nr/ppp2pb1/3p2pp/4P3/2P4P/2N2N2/PP2PPP1/R1BQKB1R b KQkq -,d6e5
r1bq1rk1/p4pb1/1pn3pp/1Bp1p2n/4P3/2P2N1P/PP1N1PPB/R2Q1RK1 b - -,c8b7
8/p7/Pk2p3/1pr4p/4PPpP/1RP5/5K2/8 w - -,b3a3
6r1/p1p1qp1k/1p2p1rp/2P5/3P1Q2/3R4/PP3PPP/2R3K1 w - -,d3g3
3r3r/1b3k1p/p1q2p2/5N2/1p1P1P2/1P4P1/P6P/R2Q2K1 w - -,d1h5
8/8/6kp/p3p1p1/p2bp3/2N3PP/1PP1K1P1/8 w - -,c3a4
3rr1k1/pb2qppp/1pp1p3/2P1Q3/3P4/8/PPB2PPP/2RR2K1 w - -,c2e4
r1bq1rk1/1p3ppp/2pp4/p1nPn3/2PNPR2/2N5/PPBQ2PP/R5K1 w - -,b2b3
8/p6p/2p5/2P4k/4K3/P7/1P1qpQ2/8 w - -,f2f7
2bq1rk1/1p1n2b1/r2p2pp/2pP4/P1PpN3/1R6/1BQ1BPPP/5RK1 b - -,d7e5
r1b2rk1/4qppp/p1pb1n2/4n3/2pRP3/P1N2N2/1BQ1BPPP/R5K1 w - -,d4d6
8/5p2/5kpp/3Bp3/2P4P/3nP1PK/8/8 w - -,h3g4
r5k1/pR3pbp/6p1/3rn3/P7/q3B3/4BPPP/1QR3K1 w - -,b7a7
5n2/p6p/1ppk1pp1/4p3/1PP1P2P/3K2P1/P3NP2/3B1b2 w - -,d3d2
r4rk1/p1pn1pp1/1pN4p/8/2p5/2P4P/PPbR1PP1/2B3K1 w - -,d2d7
r7/1p2kppp/1rpnp3/p2p4/P2P1P2/1PRPP3/3NK1PP/2R5 w - -,e3e4
1r1r2k1/5pp1/3pb2p/pNq1p1b1/Pp2P3/1B3Q2/1PP2PPP/R4RK1 w - -,a1d1
r5k1/1p3qb1/p1p2np1/P1Np1b1p/1P3P2/6PP/2PQ1BB1/4R1K1 w - h6,f2d4
r1bq1rk1/ppp3bp/3p1nn1/2PPp1p1/PPN1Pp2/2N2P2/4B1PP/R1BQ1RK1 w - -,c5d6
1r1r2k1/4q1pp/1p2pp2/p1n5/P1PB1P2/Q6P/1P4P1/2RR2K1 b - -,e7c7
r2qk2r/1b2bppp/p1n1pn2/4p1B1/Np6/1N4P1/PPP1QPBP/R3K2R w KQkq -,a4c5
2r3k1/5pp1/p5rp/2N5/1P1BbPqb/4PRP1/P4K1Q/7R w - -,h2g2
1rq1r1k1/p1pb2pp/3b1p2/3NpP2/3nP3/2BP2P1/P5BP/R2Q1RK1 w - -,g3g4
r2q1rk1/2p2ppp/p1npbn2/2b1p3/P1N1P3/1BpP1N1P/1P3PP1/R1BQ1RK1 w - -,b2c3
8/p3kr1p/8/4Q3/8/6P1/1P4K1/5r2 b - -,e7f8
r1bqk2r/pp2bppp/2n1pn2/2p5/3PN3/2PB1N2/PP3PPP/R1BQ1RK1 b kq -,c5d4
2b5/p1p3kp/8/6b1/2PrB1np/1P6/P2NR3/2K4R w - -,e4g2
6r1/p4qbk/1p1n3p/2pPpP2/2P1P3/7N/P2BQ2K/6R1 b - -,g7f6
