r7/p3Nk1p/8/3Q4/3p4/PP5P/5KP1/1q6 b - -,f7e7
6N1/3b4/2p3k1/pp3p2/4pP1p/P1P1PP2/B4K2/8 w - -,a2b1:c3c4
rn2k2r/pp2qppp/2n1p3/2p1Pb2/2NP4/5N2/PP2BPPP/R2Q1RK1 b kq -,e8g8
r3r1k1/p1n2ppp/1p1q4/3Np3/2PpP2P/1P4PB/P2Q1P2/4R1K1 w - -,d5e3
5r2/4rpkp/1p1q1Qp1/pP4P1/P1PpP2P/3P3K/8/5R2 b - -,d6f6
1r1q1r2/1b3pk1/pp1p1npp/4pP2/2P1P1P1/1PN1QB1P/P7/1R1R2K1 b - -,f6e8
6r1/1p1kp2p/3p1P2/p6P/P1P1PKb1/1P6/2R5/6N1 b - -,g4h5
r2q1rk1/pb2bppp/2n2n2/1N6/3p1B2/P4N1P/1P2BPP1/2RQK2R b K -,f6d5
rnbqkb1r/pp1p1ppp/4pn2/8/3N4/6P1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
r4rk1/p4p2/1p1b2p1/2pPp1q1/P1P1PnBp/1R2B2P/2Q2PP1/5RK1 b - -,f7f5
6k1/1p5p/rbb1p3/4B1Nr/P2p1P2/8/2P1K1PP/R6R w - -,g5f3
1N3k2/5p2/p3p1p1/1pP4p/1P5P/P3PKP1/1b3P2/8 b - -,f8e7
1rq1r3/2pb1pkp/p1pp2p1/3N4/P1P1B3/1P4PP/5P1K/R2Q1R2 b - -,e8e4
4qrkn/1p4b1/p2p1p2/P1PPpQp1/2P1P1P1/6P1/3B1R2/5RK1 b - -,d6c5
8/8/2nk1Bp1/2Rp1p1p/Pp1P3P/r5P1/P4P2/5K2 w - -,f6g7
8/5pk1/6p1/1Bn1p2p/8/4KPP1/2N3P1/8 w - -,c2b4
r3nrk1/pp1b1p1p/3p2p1/3Pp1P1/4P3/2N2PN1/Pn1K3P/R4B1R b - -,b2a4
r1b1kb1r/1pqp1ppp/p3pn2/8/3NPPn1/2NBB3/PPP3PP/R2Q1RK1 w kq -,e3d2
r2qk1nr/pp3pbp/2n1p1p1/3pP3/3P4/5N1P/PP3PP1/R1BQKB1R w KQkq -,f1d3
8/1R3p1p/8/4p3/4k3/1P4PP/1r1pK3/8 b - -,f7f5
3R4/pr3pk1/4p3/PP1b4/2p3pp/2K5/7P/1R6 w - -,c3b4
2k3rr/pppbn3/7q/P2p4/1P1P1p2/2PB4/5QPP/RR2N1K1 w - -,h2h4
r1bqk2r/ppp1bpp1/2np1n1p/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq -,g5f4
2r2rk1/pp1bb1pp/1qn1p3/3pPp2/1P1P4/PN1BPN2/4Q1PP/R4RK1 w - -,g1h1
r1b2rk1/3nqppp/p1np4/4p3/1pP1P3/8/PPNNBPPP/R2QK2R w KQ -,c2e3
2b1r1k1/bp1p1ppp/2p4r/p7/2P1N3/1PQ1PqP1/PB3P1P/3R1RK1 b - -,f7f6
8/5p2/1k3p1p/8/1P1K1P2/n7/6PP/5B2 b - -,a3c2
r1bq1rk1/1p1nppbp/p2p1np1/2p5/2PPP3/2NBBP2/PP1Q2PP/R3K1NR w KQ c6,g1e2
8/8/7Q/8/6p1/4Krk1/8/8 w - -,e3e4
5rk1/p5p1/1p6/2bp1q2/7p/7P/PPP1Q1P1/4R1BK w - -,c2c3
8/6k1/8/3r2BP/5K2/3b4/R7/8 w - -,a2a4:f4g4
4r3/1p3kp1/1pnb1p2/3p4/3P1P2/PN4P1/1P1B2K1/4R3 b - -,e8e4
8/6k1/2R3pp/4p3/5p1P/5P2/6PK/4r3 b - -,e1e2
3r4/3p3p/3P2k1/p3r1p1/4N1B1/5PP1/P7/4R1K1 w - -,g1f2
r1bq1rk1/1p1n1pb1/p2p3p/2pPp3/P1P1P1P1/1PN3P1/2QBB1P1/R4RK1 b - -,g8h7
r1b1kbnr/ppppqppp/2n5/4P3/8/5N2/PPP1PPPP/RNBQKB1R w KQkq -,b1c3:e2e4
3r4/1k3R1p/pn1qQ1p1/3p2P1/2pR4/8/1PP5/1K6 b - -,b7c6
r3r2k/1q6/3pQPp1/2p5/P2bP3/1P3R2/1R4PP/5K2 w - -,f3h3
rnb1kb1r/1pq2ppp/p2ppn2/8/4PP2/2NB1N2/PPP3PP/R1BQK2R b KQkq -,b8c6
1r2kb1r/p2n1p1p/2n1p1p1/1q1pP3/3P1PP1/3QBN2/P3N2P/R4R1K w k -,d3b5
r1b2rk1/1p2bppp/p1npp3/q5P1/4PPnP/1PN2B2/P1P1N3/R1BQK2R b KQ -,h7h5
2R5/p3r3/P7/5pkp/8/4rP2/5K2/5B2 b - -,e3e6:g5f4
r2qkb1r/pp1b1ppp/2n1p3/2p1P3/3p1P1n/2PBNN2/PP1P2PP/R1BQK2R w KQkq -,f3h4
4r3/2p2k2/1ppb1p1p/p5p1/3PN3/2PbRPPN/1P3KP1/8 b - -,d3c4
1r6/7k/4N1pp/p2P1p2/P1B5/bP4PP/6K1/8 w - -,c4b5
r1b1r1k1/1p3ppp/2p2b2/p2q4/P2N4/1P2BP1P/1P1Q2P1/3R1RK1 w - -,d2f2
4R3/1p3k2/7p/5N2/6PP/8/5PK1/2br4 w - -,e8e7
5k2/3q2p1/r1npb2p/2p1p3/1p2P2P/1P1PQ1P1/P1R1N1BK/8 w - -,e2g1
8/8/3N1k2/1b1pp1p1/3P2P1/4K3/8/8 b - -,b5d7
2r2rk1/1q1bbppp/3p4/1p1Pp3/1B1n4/4N1P1/1PP2PBP/R2Q1RK1 b - -,f8d8
r1b2r1k/p5pp/2n1pb2/1pqp1p2/8/PQP1P1P1/1P1NNPBP/3RR1K1 b - -,a8b8
rn2kb1q/pp2pp2/2p5/6p1/P1pP4/B1P2PP1/3QPKN1/R7 w q -,d2g5
8/p1p2r2/1p6/2p2kP1/7n/P5K1/1P4P1/4R3 w - -,e1f1
7k/1p1b4/p1p5/2P2p1p/3P4/4B1PP/PP5K/8 b - -,h8g7
r5k1/pp3ppp/3qr3/5b2/3Bp3/2P1R3/PP3PPP/R2Q2K1 b - -,f5g6
3rr1k1/qp1n1b1p/p1p1pbp1/5p2/1P1PPB2/2QN1PPB/P6P/2R1R2K w - -,d3e5
r4rk1/3qbppp/4pn2/p1pp4/1p2PP2/PP1P1R2/2PBN1PP/R3Q2K w - -,e2g3
r3brk1/1p2qNpp/2p1p3/p1Pp1p2/3P4/6P1/PPQ1PPBP/1R3RK1 b - -,e8f7
q4nk1/1p2Q2p/2p1p3/2PpPp2/3P1P2/8/P3NK1P/8 w - -,h2h4
8/8/6Rp/r6P/6K1/8/5kP1/8 w - -,g6h6
4r1k1/1bp1b1pp/1p2p3/p4r2/N1P2p1P/2B2N2/PP3KP1/3RR3 w - a6,e1e5
r4rk1/6pp/4p3/3nPp2/1pNPp3/4P1P1/1P2K2P/R4R2 b - -,f8c8
5rk1/pp6/1n1p3Q/2p2q1n/8/2N4P/PP4B1/R5K1 w - -,a1f1
6k1/p1p3p1/1qpp2bp/4p3/2P1P3/Pr1P1RNP/1PKQ4/8 w - -,c2c1
2b3k1/6pp/2p2n2/B3rp2/2p5/4P3/PP3P1P/R3K2R w KQ -,a5c3
1r3n1r/3kbp1p/1qn1p3/p2pP1pP/P2P4/1p1QBN2/1P2NPP1/R1R3K1 b - -,h7h6
8/4Nppk/1P6/8/1r4P1/4BK2/8/8 w - -,g4g5
1Nb2rk1/2q1ppbp/p4np1/4p3/1p2BP2/4Q1N1/PPP3PP/R4R1K b - -,f6g4
8/8/1p3KP1/p1kP3p/P6n/2NP4/8/8 b - -,h4g6
1r1q1rk1/4ppbp/2n3p1/1p1p4/1P1P4/1R4P1/1B2PPNP/3Q1RK1 b - -,d8d6
3r2k1/p1q1ppbp/1p4p1/3R2n1/8/1QP1B2P/PP3PP1/6K1 w - -,e3g5
r4rk1/1q2ppb1/b1p2np1/pp3PNp/2pPP3/P1N1B2P/1PP2QP1/R4RK1 b - -,b5b4
8/7p/4p1p1/5k2/p2Q4/1b2B1K1/5PP1/7q w - -,d4f4
1qr2rk1/5ppp/p3pn2/1p1b4/7Q/1NPB4/PP3PPP/3R1RK1 w - -,f1e1
2r5/1r1k4/1B4p1/PKP4p/7P/4pB2/8/8 b - -,b7b6
5k2/5p1p/3bp1p1/p2p4/7P/1P2P1P1/P3KP2/4N3 b - -,f8e7
3rb2k/2q3pp/1p3p2/2pBp3/r3P3/P3Q3/1P1R1PPP/3R2K1 w - -,e3c3
2rbk1r1/p2b1p1p/p2ppp2/8/4P2P/1NNR2P1/PPP2P2/2KR4 b - -,d8c7
r1bq1rk1/1p1nppbp/1n4p1/p2p4/P3P3/1QN1B3/1P2BPPP/R3K1NR w KQ -,e4d5
3rr1k1/1p3pb1/1q1P2p1/p1pbp1Pp/4P3/5P2/PP1QN2P/1K1R3R w - -,d2d5
3r2k1/1q3pp1/2rpb3/1pn1p1b1/1B2P3/1P2NP1p/P2RQ1PP/3R1N1K b - -,h3g2
8/1p2r2k/p2p4/3P4/6Qp/P7/KPP5/4b3 w - -,g4h5
r5k1/p4r2/1p1p2p1/n2P4/2PBQP1q/1P5b/P6R/3N1RK1 b - -,h4g3
1r1qr1k1/p4ppp/1npbp3/2pp4/5PQ1/1P1P2P1/PBPNRP1P/R5K1 b - -,d6f8
r1bq1rk1/4bppp/p1p5/4n3/2pP4/P6P/1P3PP1/RNBQR1K1 w - -,d4e5
8/3n1kb1/6pp/3PPp2/1Br1B3/2p3P1/P6P/5RK1 w - -,e4f5
2r2k2/pprb1p2/5b1p/1P1p4/5P2/P1PB2P1/2R5/1NR2K2 b - -,f8e7
6k1/4p2p/3p1pp1/p1pP4/1qP1P3/r4PPP/QR2K3/8 w - -,a2b1
1rr5/4k1p1/p2np3/2R2pP1/Pp3P2/1P2KB2/4P3/2R5 b - -,e7d7
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/5N2/PPPNBPPP/R1BQ1RK1 w kq -,f3e1:c2c4:a2a4:d2b3
r4r1k/ppp1qbbp/3p2p1/3Pnp2/PPPNp3/4P2P/3QBPPB/2RR2K1 w - -,a4a5
r2qr1k1/pppbppbp/1n4p1/n2P4/3N4/2N1P1P1/PP3PBP/1RBQ1RK1 b - -,c7c6:c7c5
6rk/p3bp1p/2B5/3pPQ2/4n3/1P2P3/P5PP/5K2 b - -,e7b4
4rn1k/1p2q1p1/pBnR1p1p/P1P2B1P/2Q1PP2/6P1/8/6K1 b - -,e8a8
r1b1k2r/pp1nbppp/1qn1p3/3pP3/3P4/2N2N2/PPB2PPP/R1BQ1RK1 b kq -,b6d8
8/5p2/5k2/P5R1/1P3K2/r4P1p/8/8 w - -,g5h5
r3k2r/1pp1q3/1n1p3p/4p3/PP1pP3/3P1R2/1Q1N2PP/R5K1 w kq -,a4a5
1rb1r3/2k3bp/2p3p1/p1Nppp2/8/1B2BP2/PP4PP/1K1RR3 w - -,d1c1
r1bq1rk1/pp3p1p/3p2p1/2pPb2n/4P3/2NBB2P/PP3PP1/R2Q1RK1 w - -,f2f4
1r3rk1/2n1qpbp/p2p2p1/R1pP4/5P2/2P2Q1P/1P2B1P1/2B2RK1 w - -,e2c4
3k4/8/4Q2p/2K4P/p1p3P1/Pq6/1P6/8 w - -,e6b6
8/2pknrp1/1p3pp1/1K6/P5PP/5N2/8/4R3 b - -,e7d5
7k/p2N3p/3rprp1/1pp5/5P2/2bP1R1P/P1P3B1/4RK2 b - -,d6d7
2r2bk1/6pp/2P5/8/1p1NNpP1/3P4/2P4P/6K1 b - -,h7h6
3rrq1k/pb1n1nbp/1pp2pp1/2p5/1P2PP2/PNN3PP/2QR1BBK/4R3 w - -,b4c5
2r2rk1/5p2/pp1p1qnp/3P2b1/2P2p2/2R2N2/PP2BQ2/5RK1 b - -,c8e8
8/6p1/3rk2p/4p3/4K2P/3p2P1/8/1R6 b - -,d3d2
r3k2r/5ppp/pp6/3p4/8/4P1P1/PPP3KP/R4R2 b kq -,a8c8
r3r1k1/5pp1/1p1q2p1/1Pnp4/3N4/4P1P1/2Q2PP1/1RR3K1 w - -,b1a1
1r5k/3qn1b1/pp1pbrpp/2p2p2/P3PP2/2PP1N2/1PQB2BP/4RRK1 w - -,e4e5
r7/p2r1kp1/2p1p2p/bp1nB3/2pR4/P5P1/1PB1PP1P/3R2K1 w - -,e2e4
1kb1r3/p1pp4/2p1r2p/7R/2P1B3/1P3P2/P5P1/2KR4 w - -,d1h1
2qr4/1pr1pbkp/p1n2pp1/8/2P2PB1/1PQ3NP/P5P1/3R1RK1 b - -,c8b8
r3r1k1/pbqn1ppp/2pbpn2/1p6/3P4/2N1PN2/PPQBBPPP/2RR2K1 b - -,a7a6
1rbq1rk1/1p1n1pbp/p2p1np1/2pp4/2P1PP1Q/2N2N2/PP2B1PP/R1B2RK1 w - -,c4d5
r3k1nr/pp1qppbp/2np2p1/2p5/2P5/2NP1NPb/PP2PP1P/R1BQR1KB b kq -,h7h6:h7h5
8/8/7R/7p/3k1p1P/r4Bn1/6K1/8 b - -,a3a2
2r1r1k1/1p1bppbp/1p1p2p1/3P4/n3Pn2/P4N1P/1P1N1PP1/1RB1RBK1 b - -,a4c5
4rbk1/5ppp/2b5/1pp1p3/r3Pq2/2P3NP/1PQR1PPN/3R2K1 w - -,d2e2
r1b2rk1/p1qn2pp/1pQb4/5p2/3Pp3/P2BPN1P/1P1B1PP1/R3K2R w KQ -,c6c7
