8/8/6p1/5p1p/R4N2/1kb1P1P1/5PKP/8 b - -,b3a4
2rr2k1/1bq1pp1p/1p1p2pb/pB6/P2P1n2/2P2N1P/1P3PPB/R2QR1K1 w - -,h2g3
8/4r3/2k5/4R3/4KP2/8/8/8 b - -,c6d7
1r4k1/5qp1/3Q4/7p/pB1p4/PnP3PP/KP3P2/7R w - -,d6b8
r1b2rk1/2q2ppp/p1nppn2/1p4B1/1b2P3/1BN4P/PPP1NPP1/R2Q1RK1 b - -,f6d7
8/5K1B/1r6/1k6/7R/2n5/1p6/8 w - -,h4h5
3rrqk1/pp4bp/1nb5/4p1p1/4P3/P1N1Q1P1/1P3PBP/1RR3K1 w - -,e3g5
r1b1q1k1/ppp2rb1/2n2npp/3Npp2/2P1P2N/BP4P1/P4PBP/R2Q1RK1 b - -,g8h7
6k1/pp2qpbp/1np2np1/6B1/4P3/1QN2B1P/PP3PP1/3r2K1 w - -,b3d1
1rb2rk1/4bpp1/1q1p1n1p/1p1Np3/1P2P3/1B1Q1N1P/2P2PP1/R4RK1 b - -,f6d5
2b5/8/3k1p2/1Kp1p1p1/2P1P1P1/1P2NP2/8/8 b - -,c8e6
5rk1/1p3pbp/pq6/3Q4/4pP2/PP4PB/2P4P/1K5R b - -,b6f6
r2r2k1/ppp2pbp/2n2np1/4pb2/8/BPN2NP1/P1P1PPBP/3R1RK1 w - -,f3h4
1kr1r3/1ppb3p/p4ppn/3Pp3/PB6/1PR1P1P1/5PBP/2R3K1 w - -,g2f1
r1bq1rk1/p3ppbp/1pn3p1/2p5/2BP4/B1P1PN1P/P4PP1/R2Q1RK1 b - -,c5d4
2q1r1k1/5pp1/2p2n2/1pP1N2p/pP1Q1P1P/Pb1B1PP1/5K2/4R3 b - -,e8d8
q3nr2/5pkp/1n1p2p1/2pNp3/8/1P4P1/1B1QPPBP/5RK1 b - -,b6d5
r1b1kbnr/1pqp1ppp/p1n1p3/2p5/2P1P3/1P3NP1/PB1P1P1P/RN1QKB1R b KQkq -,g8f6:d7d6
r3r3/1p1qppk1/p1p3p1/6Rp/3P3P/1PP5/2P1QPP1/4R1K1 b - -,g7h7
r1bq1nk1/5pb1/p1p3p1/1pP1p2n/4P3/1NN1BPP1/PPQ1B3/2R3K1 w - -,c1d1
rn1q2nr/p4k2/2p4p/8/5pQR/2N5/PPPP2P1/R1B2K2 b - -,g8f6
rn1q1rk1/1b3pb1/pp1p2pp/2pPp2n/2P1P3/2N2N2/PPQBBPPP/R4RK1 w - -,g2g3
r2qk1nr/1p2ppbp/2p3p1/p7/1nPP4/1Q3N1P/PP3PP1/R1B1KB1R w KQkq a6,a2a3
8/8/8/2K5/kp1N4/2p5/8/8 b - -,b4b3
1k1r2r1/pp1q1p2/2pb4/P4b1p/7P/2N3P1/1P2PPB1/R1Q2RK1 b - -,a7a6
1k6/8/p3p1p1/qp6/2p5/2P1Q1P1/1P4K1/8 w - -,e3e6
1r1qk2r/5pb1/p2pb2p/3Np2Q/2NnB3/8/PP3PPP/R4RK1 b k -,e8g8
1qr1kb1r/1b1n1ppp/p3pn2/8/PppP4/2N1PN2/1P1BQPPP/1BRR2K1 w k -,c3a2
5k1r/p4p2/2p1p3/q3Pp1p/3P1P2/1pP5/1Q4PP/5RK1 b - -,a5a2
r1b1rnk1/p1q1bppp/1p1p1n2/2PPp3/2P1P3/P1N5/4BPPP/1RBQNRK1 b - -,b6c5
2bnk2r/1p3p1N/4p3/q2pP3/2pP1P2/r1P4R/p1PKB1P1/R1Q5 w - -,a1a2
2b1rrk1/5ppp/p1p3q1/4b3/1P1Q2PP/P3P3/1B2B1K1/2R1R3 w - -,d4d2
8/2r1k3/3p1n2/4pp2/2P2N2/1P2R2R/6K1/1r6 b - -,b1b2
1r3rk1/Q1p2pp1/3b1q1p/5n2/2B5/2N5/PP3PPP/R4RK1 w - -,c3e4
r2k3r/pp1b1P2/2pbp2N/q2p2PP/3P4/8/PPQ1B3/1K1R1R2 w - -,g5g6
1r1r1bk1/p1q2p1p/4p1p1/2p5/2Pn4/2BP3R/P4PP1/3QRB1K w - -,g2g4
5k2/5p2/p1p1pQ2/1n1q4/8/6P1/1PB2P2/6K1 w - -,c2g6
8/5p2/pr4p1/R6p/2k1P2P/P3K1P1/8/8 b - -,c4c3
1r3rk1/Q4p1p/4p1p1/3pP3/3B1q2/P1R4P/3N1PPK/8 w - -,c3g3
r1kqb3/p3Rp2/1pp4p/5P2/3PQ3/1P3N2/P6P/7K b - -,e8d7
4r3/5p1p/1p2bk2/pPp1p3/2P1P3/P2P2R1/4BKPP/8 w - -,e2g4
r3kb1r/2qb1ppp/pp2pn2/1P1p4/Q1pP4/P1P1P1P1/5PBP/RNB2RK1 w kq -,a4c2
8/8/2P1n1p1/5k1p/7P/5BK1/5P2/8 w - -,f3e2
8/4k3/3p4/4n1PB/4P3/6K1/8/8 w - -,g3f4
kq5r/4nn2/2rpNp2/4p3/1p2P2b/4B2P/PPPRQ1B1/1K1R4 w - -,e6g7
r1b1r1k1/ppqnppbp/2pp1np1/3P4/2P1PP2/2N1B3/PP1QBNPP/R3K2R b KQ -,e7e5
2r5/np1bnpkp/4p1p1/pN1pP3/P2P1PP1/1P1BK3/2r4P/2R1N3 w - -,c1c2
2bqk2r/3nppbp/p2p1np1/P1pP4/1rN1P3/2N5/1P3PPP/R1BQKB1R b KQk -,e8g8
r6r/5kp1/p4n1p/3bpP2/P1p5/2P1B1N1/2P4P/2KR2R1 w - -,g3h5
r7/2p5/2p2pk1/7p/pPP3pP/P3R1P1/b4P2/5NK1 b - -,a2c4
3rr3/2p2pk1/p1n1bqpp/1p2p3/8/2PP1N1P/PPB2PP1/R2QR1K1 w - -,c2b3
8/2p1r2p/pp2k3/3Rn1p1/PP3p2/3P4/2P2BPP/5K2 w - -,c2c4
r4rk1/1pp2qb1/p1nppnpp/4p3/PP2P1PN/2PP3P/4NP2/R1BQ1RK1 b - g3,g6g5
2r2rk1/1b2qpbp/p3p1p1/Pp1p4/1P1Pn3/1Q1NPB2/R4PPP/B4RK1 w - -,f1d1
8/8/3pp3/1R5P/1pk2P2/4r1PK/8/4b3 w - -,b5g5
3rrnk1/6qp/pp2p1p1/8/2P1B3/1P3R2/P3Q1PP/5R1K b - -,d8c8
r6k/3b1rpp/p3p3/4Rp2/1PpB4/6R1/P1P2PPP/6K1 b - -,a8b8
R7/4k3/5b2/7p/2P2Pb1/pB1pKNP1/2r4P/8 b - -,f6b2
rn1q1rk1/ppp2ppp/3bpn2/3p1b2/3P4/2P1PNB1/PP1N1PPP/R2QKB1R b KQ -,b8c6
rnbq1rk1/p2p1ppp/1p2pn2/8/2PP4/3B1N2/PP1N1PPP/R2Q1RK1 b - -,c8b7
r2r2k1/pb3ppp/4pn2/2p5/2P5/5P2/PP2N1PP/1BRR3K b - -,g8f8
7r/1kp3pp/1ppbR1n1/p7/P5P1/7P/1PP2PK1/1NB5 w - -,b1c3
3rr1k1/4q3/pPn1b1pp/b2p1p2/3P4/4PNP1/BQ2R2P/3N1RK1 b - -,d8b8
1r3rk1/1q2ppbp/3p1np1/nNpP4/7N/1P2P3/PB2QPPP/R4RK1 w - -,b5c3
rn1qkb1r/pp2pppp/2p2n2/3pNb2/3P4/6P1/PPP1PPBP/RNBQK2R w KQkq -,b1d2
2rq1rk1/pb3pbp/1p2p1p1/8/2PnB3/1PN2P2/P4BPP/2RQ1R1K b - -,b7e4
1rbq1rk1/3nppbp/2np2p1/6P1/1p2PP2/3P2NP/1P2N1B1/R1BQ1RK1 b - -,d8b6
3rn3/1p4kp/p1p2p2/3p1P2/5BP1/1PPP4/7P/R5K1 w - -,a1e1
1r6/p4pkp/2Pq1np1/1nNp4/1p1r4/1B4Q1/PP3PPP/2R2RK1 b - -,d6g3
r4bk1/3q1p2/b2p2p1/1p1P3p/1Q2P3/2B2P1P/1P3NP1/2R3K1 b - -,f8e7
5r2/4b1k1/3pP3/2pBpPp1/p6n/2P4P/1P2NR1K/8 b - -,f8f5
4b3/2r1bpk1/p2p3p/p2RpQpP/1qP1P1P1/1P6/P5BK/5R2 b - -,a5a4
2r1k1r1/4qb2/p1n1pn2/1p1p2Np/P2P1R2/4PN2/1PB2P2/R2QK3 w Q -,a4b5
r2q1rk1/pp4pp/2np1n2/4pb2/2Pp4/3P1NP1/PP3PBP/R1BQ1RK1 w - -,h2h3
7r/5p2/RbBk2p1/1P5p/4K3/4P1P1/5P2/8 b - -,h8b8
r5k1/1p1bb2p/pP2p1p1/4p3/3pN3/3P2P1/P3PPBP/1R4K1 w - -,e4d2
1n1q1rk1/r3bppp/p2pb3/1p2p3/4P3/4B1P1/PPPQNPBP/R4RK1 b - -,a7b7
1r4k1/2q2p1n/3P2p1/3P2Pp/1pp2P2/7P/PQ4BK/5R2 b - -,c7d6
1r4k1/pq3bbp/2p2pp1/3p4/NP1P4/P7/3Q1PPP/2R1R1K1 b - b3,b7a6
5rk1/p3R2p/3p2p1/2pPnrN1/4N3/6Q1/q4nPP/5RK1 w - -,e4f2
r3k3/1p2pp2/pq1p1b2/3P2p1/6n1/1P4B1/1PPQ1PP1/2KR1B2 w q -,f1e2
r1b1r1k1/pp2qpb1/1np3pp/4n3/3NPB2/2N3PP/PPQ2PB1/R2R2K1 b - -,b6d7
r1b1k2r/p5p1/2p1pb2/2p1n1Np/2P1Q2P/1PBq2P1/P4P2/RN2K2R b KQkq -,f6g5
8/7p/1P1k4/2p3Pp/p2p4/Pb1B2K1/1P6/8 b - -,b3g8
r1bq1rk1/pp1n1pb1/2p2npp/3pp3/1PP5/2NP1NP1/P1QBPPBP/R4RK1 b - -,d8e7
rn1qkb1r/pb1p1ppp/1p2pn2/8/3NP3/P1NB4/1PP2PPP/R1BQK2R b KQkq -,b8c6
5r2/4b3/1p2p1p1/1kppP1P1/4r3/P1P1B1K1/1P6/6RR w - -,e3c1
2r1k2r/1bqnbp2/pp2p3/4P1pp/P4Bn1/1NN2B2/1PP1Q1PP/R3R2K w k -,f3b7
1r1r2k1/pp3p1p/6p1/8/8/1b2P1P1/PR3P1P/5RK1 w - -,b2b3
8/5pk1/R5p1/7p/7P/6P1/5PK1/1r6 b - -,b1b3
2r1r3/pb4pp/np1k1p2/3p4/3P1N2/2R1P1P1/PP3PBP/5RK1 w - -,f1c1
3r2k1/b5pp/p2P1p1P/4r3/N1p1P3/8/PP4K1/3RR3 b - -,g7h6
rn1q1rk1/pbp2ppp/1p1pp3/8/2PPnB2/P2BPN2/1P3PPP/R2QK2R w KQ -,e1g1
3r2k1/1r3ppp/1q1pb3/pP2p3/4P2P/1PQ3P1/5P2/R2R1BK1 b - -,b7a7
8/2pkn1p1/1p3pp1/1K6/P2N2PP/8/8/8 w - -,a4a5
1rbq1rk1/1p2npbp/3p2p1/p1p1p3/1PPn4/P1NPN1P1/4PPBP/1RBQK2R b K b3,a5b4
3n1r2/pk4r1/1p2pn1p/1P1pN1b1/P1pP1B2/2P3P1/5PNK/R3R3 w - -,a4a5
5rk1/6p1/2p3p1/p2b2Pp/3P3P/P3RP2/4N3/2K5 b - -,d5f3
2r5/5Pk1/5RP1/p3P3/1p6/PP5b/1K6/8 b - -,h3g4
r2r2k1/1pp1bp2/p1n1b1pp/3Np3/2P1N3/6P1/PP2PPBP/R4RK1 b - -,e6d5
r1bqk1nr/pp1pppbp/2n3p1/2p5/4P3/1PN2N2/PBPP1PPP/R2QKB1R b KQkq -,g8f6
8/3rrk1p/PRR1p1p1/3p1p2/1K1P1P1P/8/2P3P1/8 w - -,b4b5
1rbq1rk1/3nppbp/p2p2p1/1P6/1P6/2N3P1/PB1QPPBP/R2R2K1 b - -,a6b5
r3rnk1/pp2bppp/2p1pn2/q3N3/2PP1B2/P2B4/1P2QPPP/3R1RK1 w - -,f4g3
8/1b3p1k/p2p2pp/p2p4/P1q5/2P3R1/2Q2PPK/1B2r3 b - -,c4h4
3r1r2/4npkp/p2qp1p1/2N4n/P1BP3Q/8/5PPP/3RR1K1 b - -,e7f5
4b3/8/5kP1/1p1K4/8/3P3p/8/6B1 b - -,f6g6
r1b4r/ppkn3p/4N1p1/2P1np2/4p3/1BN5/PP3PPP/3RK2R b K -,c7b8
6k1/5p1p/p5p1/1pp1P1P1/5P2/1PR5/r5PK/8 b - -,a2a3
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP2b1/1Q1BPN2/PP3PPP/RNB1K2R b KQkq -,d8c7
5bk1/1p1qr3/1Q1p4/4p1pp/4Pp2/2PP1P1P/3BK1P1/R7 w - -,a1a8
r1r3k1/3nppbp/3pb1p1/qp6/4P3/1PN1BB1P/P2Q1PP1/2R2RK1 w - -,e3d4
1rbqr1k1/p4pp1/2p2n1p/3pb1B1/8/1P1B1Q1P/P1P1NPP1/3R1RK1 w - -,g5h4
r1bqk2r/1pp2ppp/3p1n2/p1nPp3/2P1P3/P7/1PQN1PPP/RN2KB1R w KQkq -,b2b3
r1bqr1k1/3nbppp/p2p1n2/1pp1p3/3PP3/1BP2NNP/PP3PP1/R1BQR1K1 b - -,e7f8
r1bq1rk1/1ppn1pb1/3p3p/p2Pp1p1/4P3/2N2NP1/PPPQB1PP/3R1RK1 w - a6,f1f2
2r2rk1/pq1n1ppp/b4B2/8/1bp5/4PNP1/P1QN1P1P/2RR1BK1 b - -,d7f6
r1bqkbnr/pppp2pp/2n5/4pp2/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq d3,e5e4:e5d4
q3r1k1/1br2ppp/2np1n2/p1p1p3/Q1P5/P1BPPN1P/5PP1/R2R1BK1 b - -,b7c8
r1b1k2r/1p3ppp/2p1p1q1/p3P3/PbB5/1R4Q1/5PPP/2B2RK1 w kq -,g3h4
8/7p/6pk/4q3/P3p2P/3rp1R1/4Q1PK/8 w - -,h2h3
8/6k1/R7/8/2r5/3NK3/8/8 w - -,d3f2
r2q1rk1/1bp2ppp/np6/p2pP3/Q4P2/2N1P3/PP3PBP/2R2RK1 b - -,c7c6
8/8/3Rp3/4p3/2k1P3/4K3/2P4r/8 b - -,c4c5
6k1/ppb2Bp1/2n5/6r1/7p/1N6/PP5P/3R3K b - -,g8f7
r2q1rk1/pp1nppbp/2pp1np1/8/2PPPPb1/2NBBN2/PP4PP/R2Q1RK1 b - -,g4f3
8/p5k1/r6p/1p2Npp1/2pP4/P1P1K2P/1P4P1/8 b - -,a6d6
1rb1k2r/1p1n1ppp/p7/2P1p3/R7/1N4P1/1P2PPBP/5RK1 w k -,a4b4
3rnbk1/p1p2p2/3r1Pp1/2p1p1P1/q3P2Q/1PP5/P3B2K/R1B2R2 b - -,a4d7
8/3bk3/5b1p/4BP2/5P2/pB3K1P/8/8 w - -,f3g4
rnbqkb1r/pp3ppp/4pn2/2pp4/2P5/1P3N2/PB1PPPPP/RN1QKB1R w KQkq -,d2d3
r1b2rk1/1pp1q1bp/2n1p1p1/3p1p2/p2Pn3/1PP2NP1/PBQNPPBP/3R1RK1 w - -,c2c1
4r3/pp2bk1p/2p2pp1/8/5P2/Bn4PP/P1PR2B1/6K1 w - -,c2b3
1r2r1k1/1p3pp1/p1pRb2p/2P5/5q2/Q4B2/PP3PP1/3R2K1 w - -,d6d4
r4r2/6k1/2pq1b2/p1p2Qp1/N1Pp1p2/KP3P2/P4B2/4R3 b - -,a8e8
2kr3r/pppqbppp/2n3n1/4Pb2/QPPpN3/5NP1/P3PPBP/R1BR2K1 w - -,f3e1
8/2k1b3/1pB1P3/1Kp5/P1P4p/1P5P/8/8 b - -,e7d6
k7/1p6/p2p1R2/2pP2p1/2P5/P1P1r1Pp/7P/6K1 w - -,f6d6
2brrk2/4pq1p/2p2pp1/p1P5/1p1PR3/1P3QNP/P4PP1/4R1K1 b - -,d8d5
rqb1k2r/3pbp2/2p1pp2/p7/4P2p/P1N3P1/1P1Q1PBP/2RR2K1 w kq -,b2b4
3r2k1/6pp/1p6/1N2bp1P/PP3R2/B3PpK1/5P2/3r4 b - -,d8a8
8/8/6p1/1pb1Bp1p/p1k4P/P4PP1/1PK5/8 b - -,c4d5:c5e3
r3k2r/1b2q1pp/p3pn2/1pnp4/5P2/2NBQN2/PPP3PP/R4RK1 w kq -,e3d4
r5k1/2p1bppp/ppb1p3/n3P3/2PRNPP1/2B1P3/P1B4P/6K1 b - -,a5b7
3q1rk1/1p1bppb1/p2p1np1/7p/3NP3/2P1BP2/P1P2QPP/3R1RK1 w - -,c3c4
2r3k1/6pp/ppb1p1r1/2b2q2/PPP1pB1P/3p2P1/4QPB1/3R1RK1 w - -,e2d2
3rkb1r/1Bqn1p1p/p3p1p1/2p1P3/5P2/4BQ2/PpP3PP/1R3RK1 b k -,f8e7
1r2n1k1/1p3p1p/pn1p2p1/3Pp1q1/1P2P3/1Q4NP/P2N1PP1/2R3K1 w - -,g3f1
1r2r1k1/pb2ppbp/1p4p1/1qp5/8/P2P2P1/1PQBPPBP/1R2R1K1 b - -,b7g2
r2qkb1r/pp3pp1/2n1pn2/3p4/4P1p1/2N3P1/PP1P1PBP/R1BQK2R w KQkq -,e4d5
2rr2k1/1b3pp1/4p2p/1p1nP3/1p6/Pn3NP1/1P1B1PBP/2R2RK1 w - -,c1d1
8/1p3k1P/5b2/1bPp1B2/3P4/2K3B1/8/8 b - -,f7g7
3r2k1/1r2bpp1/p1qp1n1p/Bp2p3/4P3/1PPR2P1/P2Q1PBP/3R2K1 b - -,d8b8
3r1rk1/pb1qb1pp/1p2p2n/2p2p2/3nNP2/1P1PN1P1/PBPQ2BP/4RRK1 w - f6,e4c3
3r1b1k/pp1r4/2npq1pp/2pRp3/2P1N3/P3PN1P/1PQ2PP1/3R2K1 w - -,c2a4
5b2/1p1r1k1p/2n2p2/3p2p1/3P2P1/1R3N1P/5P1B/6K1 b - -,f8b4
8/2r3p1/5k1p/2P5/3K4/8/4R1PP/8 b - -,c7d7
rnbqk2r/ppp1bppp/1n6/4p3/8/P1NP2P1/1P2PPBP/R1BQK1NR b KQkq -,e8g8
r1b1nrk1/p1p1bpp1/1pn4p/3qP3/3P4/P2BBN2/1PQ2PPP/R3K2R w KQ -,d3e4
r1b3k1/1p2q1rp/p1n5/2NpP2p/1P6/P2BQ3/5PPP/2R1R1K1 w - -,e3f3
4rrk1/pp1n2pp/2p5/7b/1PPPN3/1N6/P5PP/R3R1K1 b - -,d7b6
6r1/1p6/4p1pp/1P1bP2k/2pP1P1P/4K3/8/R3B3 b - -,h5g4
rn3rk1/pb2pp2/q2p1bpp/1p6/1P1P4/2NQ1NPP/P3PPB1/R4RK1 b - -,b8c6
r3kb1r/pb2pppp/2p2n2/1p2N3/8/1PNPB3/1PP2PPP/R3K2R b KQkq -,a7a6
2r5/p6p/4kpp1/n7/4PP2/P2R4/2p1K1PP/2B5 b - -,c8c6
8/8/4k3/8/5PK1/1r4P1/1p6/1R6 b - -,e6f6
1nb2rk1/r7/pp1p2pn/2pPp3/P3P2q/6NP/1PP1N1B1/R2Q1RK1 w - -,f1f8
3Q1bk1/5q2/4brpp/p1p1pp2/4P3/5P2/PP2B1PP/2RR2K1 w - -,c1c5
r2r2k1/1bq2pp1/p3pn1p/1pQ3R1/5b2/2NB1N2/PPP2PPP/3R2K1 w - -,c5c7
2k1b2r/pppn1p1r/q3p3/3pP2p/1P1P1QN1/P1N4R/2PK1P2/7R w - -,g4f6
r3qr1k/1ppb2b1/p1np3p/4pp1n/7B/1BPPNN2/PP3PPP/R2QR1K1 w - -,e3d5
8/3k3p/pp1p1Kp1/3Pn3/N3P3/1r6/2R5/8 b - -,b3b4
r2q1rk1/ppp2pb1/1n2Bn1p/8/3Pp3/2N3N1/PPP2B1P/R2QK2R b KQ -,f7e6
2r2rk1/1bq1b1pp/p2p4/2n2p2/Pp6/1P1B1P1P/2PBQP2/2RN1RK1 w - -,d1e3
r5k1/1p2B1bp/2p1b1r1/p1P2p1n/P7/2N1R3/1P2N1PP/5RK1 b - -,f5f4
r7/4Bp1k/3R4/1p2PpPp/2p5/P1P1K3/6b1/8 b - -,a8h8
4Qbk1/5p2/3p2pp/3N4/p7/7P/P4PPK/1q6 b - -,b1b2
1b6/6k1/P6p/8/5q2/1p5P/1Q6/5B1K b - -,g7f8
r2q1rk1/pb2ppbp/1p2n1p1/2p1P3/2PNNB2/6P1/PP3PBP/R1Q1R1K1 b - -,c5d4
3r3r/ppk2p2/5np1/4b1p1/2Pp2P1/3B3P/PP1B1P2/2KR3R w - -,d2g5
r7/1q3p1k/4p1pp/p1Q5/2PN1P2/4P3/P1R3PP/6K1 w - -,c5c6
2R5/1p1r1ppk/1p1P2n1/pN5p/P4P2/3b2PP/6B1/6K1 w - -,c8c7
8/p3kppp/2p5/3p4/2n5/2P5/P3KPPP/2B5 w - -,e2d3
1r3q2/7k/3Pb1R1/1pP1p2P/pP2P1Pb/R2B3K/4Qr2/8 w - -,g6e6
1rbqr2k/3n2bp/p3P1p1/3Q4/3B4/2N5/PP2B1PP/R3K2R b KQ -,d8h4
1kn4r/1p1r1qpp/pR1p1p2/3p4/2PP4/P2B1Q2/2P2PPP/1R4K1 w - -,b6b4
8/p3r3/1p4P1/8/P1knNP2/3pK3/6R1/8 b - -,d4f5
1b3k2/5p2/p1p5/7p/3Pp1b1/P3P3/2QN1q2/KR6 b - -,b8d6
2kr1b1r/ppp2ppp/2n1pn2/3P3q/2P5/1P6/P1Q1NPPP/RNB2RK1 b - -,e6d5
1r2r1k1/3b1p2/p2p1npb/2qPp1N1/p1p1P3/R1P2N1P/RPB2PP1/1Q4K1 b - -,b8b3
r3kb1r/pp1n1ppp/2n1p3/1Bp3R1/Q2P4/2P1BN1q/PP2KP1P/R7 w kq -,b5c6
3r1r1k/pp3pp1/3p1n1p/7q/P1B1PP2/3PQ3/1PP4P/4RR1K w - -,e3e2
r1bq1rk1/pp2ppbp/2n2np1/2p5/3P4/N1P1PNP1/PB3PBP/R2Q1RK1 b - -,d8b6:c8f5
8/5k2/R7/2r5/P4PK1/8/8/8 w - -,a4a5
4rr2/p6k/4B2p/7p/3b4/3NP1P1/PP3P1P/R5K1 b - -,d4e3
8/2Q2pk1/r5p1/4P2p/5P1b/3P4/4K2P/8 w - -,d3d4
5bk1/1p5p/4p1p1/1p3p2/2bP1P2/4P3/P4KPP/1BN5 b - -,f8a3
rn1q1rk1/pppn1pbp/3p2p1/3Pp3/2P1P1b1/2N1BN2/PP2BPPP/2RQK2R b K -,f7f5
r3rnk1/ppq2p2/2p3p1/4bb1p/N1P1p3/1P2P1P1/PBQ1BP1P/2RR3K b - -,f8d7
8/k7/8/5b2/1P6/4N3/KP3p2/8 w - -,a2b3
r4rk1/pppbqppp/1N1p1nn1/1B2p3/3PP3/2P2N1P/PP3PP1/R1BQR1K1 b - -,a7b6
r5k1/1b1nr3/pp1pnp2/2q1P1b1/P7/2N3R1/1PPQ2BP/R1B4K b - -,e7g7
2r5/p2q1pkp/1p2p1p1/3n4/3P4/1Q3BP1/PP3P1P/3R2K1 w - -,a2a3
1r1r2k1/pp3p1p/2b1pqp1/4N3/1P1P4/8/P2Q1PPP/2RR2K1 b - -,c6d5
r1b2rk1/1pq1npb1/p2p3p/4p1p1/P3P3/1QPB2B1/1P2NPPP/R2R2K1 w - -,d3c4
4k2r/2q1bppp/2p1n3/3pP3/2r5/6Q1/P2B1PPP/R2B1RK1 w k -,d1b3
8/2k2p2/4p1pp/1pPpP3/p5PP/P1K1P3/1P6/8 b - -,c7b7
5k2/5p2/1p2n3/1b1pP3/3P1N2/4KN1p/1P5P/8 b - -,e6f4
8/4k3/4p2p/8/1p5P/1PnN4/r4P2/R4K2 w - -,a1c1
5rk1/7p/p3p1p1/8/5nPQ/2R1N3/PP1r1P2/2KBq3 b - -,f4d3
r4rk1/pp2p2p/3q1pp1/3P1b2/1P1R1P1Q/5N2/P5PP/4R1K1 w - -,h4f2
r1q2rk1/p1p1ppbp/b1P3pn/4P3/Q7/6PP/PP3PB1/RNB1R1K1 b - -,h6f5
2r2rk1/1bqnbpp1/p1p1p2p/Pp6/1P1PB3/2N1PN2/2Q2PPP/1RR3K1 w - -,b1b3
r7/3R4/5K1k/5P2/8/8/8/8 w - -,d7e7
8/1p6/8/4k3/P2p2R1/3K2P1/b7/8 w - -,g4g5
3r2k1/p4rpp/1p3b2/3Q4/3B1PP1/1N5P/qPP5/2KR4 w - -,d5c4
2r2rk1/1pqbbpp1/p6p/3Bp3/4P3/PN6/1PP1QRPP/R5K1 w - -,g1h1
1q6/1rk2b2/2pbpp1p/3p4/p1pP1PPN/P1P1N3/1P2RQ1P/7K w - -,e3d1
r4rk1/pbqnppbp/1p1p2p1/3n4/2NP4/5N1P/PPP2PPB/R2QRBK1 w - -,c4d2
3r2k1/pq1r1pp1/2pp1b1p/4p3/2Q1P3/2N5/PPP2PPP/3R1R1K w - -,c4b3
5k2/R7/P2p4/8/4p1n1/5n2/5K2/5B2 w - -,f2g3
