8/8/8/7R/4K3/1r6/3B2p1/7k b - -,h1g1
r1bq1rk1/1p2bppp/n3p3/p1p5/2PPnB2/5NP1/PP3PBP/R2QR1K1 w - -,e1e4
1k6/p4p2/2p1rp1p/5R1P/2P5/P5P1/1P6/1K6 w - -,b1c2
r7/p3k2p/3N2p1/4n3/8/6P1/1P3P1P/5RK1 w - -,d6b5
2kr1b1r/pp1q1ppp/4p3/2pP1b2/1nP3n1/2N1BN2/PP2BPPP/R2Q1RK1 w - -,e3f4
r5Rk/2p2q1n/3p1b2/pNpPp3/2P1Pp1B/5P1B/PP5P/4Q2K b - -,a8g8
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/4P3/1BPPBN2/PP3PPP/R2QKN1R w KQ -,e3a7
r4rk1/ppp2ppp/2n1p3/5q2/2PP1b2/1QN2N1P/PP3PP1/R4RK1 b - -,b7b6
r4r2/1p2Q1kp/5pp1/2R2b2/1q6/p5P1/P3PPBP/5RK1 b - -,f8f7
r4rk1/p1q2ppp/1p2pb2/n7/3P4/PbNQ1N2/1P2BPPP/R3R1K1 b - -,c7f4
r3rnk1/1p1b1p2/p1pb1qp1/3p4/PP1P4/2NBPN2/2Q2PP1/1RR3K1 w - -,b4b5
r4rk1/pp1qppbp/2n1b1pn/2p1P3/5P2/2pP1N2/PPN1B1PP/R1B1QRK1 w - -,b2c3
1Bq2rk1/pb2pp1p/1p3bp1/1Qp5/3nN3/3P2P1/P3PPBP/1R3RK1 w - -,e4f6
2r1r1k1/1p3q1p/p4pp1/3Pb3/8/5PP1/PP1R2BP/R2Q3K b - -,e5d6
r2q1rk1/pp2bpp1/2p1p1p1/8/3P1n2/3B1Q2/PPP1RPPP/3R2K1 w - -,f3f4
4b3/r4pkp/6p1/rp6/2p5/P1R1PB1P/R4PP1/6K1 b - -,e8d7
2r3k1/1p3pbp/2qPr1p1/p1p1P2n/P1Q5/2N4P/1P1B2P1/R3R1K1 w - -,c3d5
r3n1rk/pp2qn1p/3p1p1P/2pPpP2/2P1RP1Q/2PB4/P2B2P1/5RK1 w - -,f1f3
8/7k/1bP2p2/1p2pNpP/4P3/2K2P2/8/8 b - -,b6a5
2r1kbr1/1p3ppp/pqn5/3p1p2/Q7/1P2P3/PB1P1PPP/R3KB1R w KQ -,a1c1
r3kb1r/1ppb1pp1/p1nppq1p/8/3PP3/2N2N2/PPPQ1PPP/2KR1B1R w kq -,d4d5
8/4k1K1/1p1p3P/7B/2P2b2/8/8/8 b - -,d6d5
8/8/1pn5/3pPk1B/P2P1p2/3K4/8/8 w - -,h5f3
8/r7/P4kpp/RpnB1p2/1p6/6P1/5PK1/8 b - -,a7a6
2r1r1k1/p2q1p2/1p1bb1p1/3pNnPp/3P1Q1P/2N1P3/PP1B2K1/4RR2 b - -,d6e5
r4rk1/pp2ppbp/2npb1p1/q7/2P1P3/2N1B2P/PP1QBPP1/2R2RK1 b - -,f8c8
3r1k2/3P1p2/5Np1/5nP1/5K2/8/8/4R3 b - -,f5g7
8/1r4pp/3kp3/1np5/ppP1R3/P6P/1P3PP1/5K2 w - -,c4b5
8/3n2kp/5qr1/4n1R1/2p1P2P/2P5/1P1Q4/1K4R1 b - -,d7c5
r3r1k1/1pp4p/3p4/p1bPp1p1/2R1Pp2/3P1PP1/PP1B2KP/5R2 w - -,d2e1
4r2k/p5bp/8/5b2/1q2pP2/1B1Q2KP/P7/3RR3 w - -,d3d5
r1b1kb1r/1p1n1pp1/1q2p2p/pBppP3/3P4/P1Q2N2/1PPB1PPP/R3K2R w KQkq -,a3a4
rn3rk1/1b2qpp1/p1p1p2p/3nP3/Pp1PN3/1Q3N2/4BPPP/R4RK1 b - -,a6a5
2r3k1/pp2r1b1/3p1n1p/3PpP2/q3P3/4B2P/P3Q1BK/1RR5 b - -,e7c7
1r1q1rk1/1p2npbp/p2p2pB/4p3/P2pP1b1/3P2P1/1PPQNPBP/R4RK1 w - -,h6g7
r2q1rk1/3nbppp/3p2b1/np2p3/4P3/1pPP1NNP/2B2PP1/R1BQR1K1 w - -,c2b3
6r1/4k3/p3pp2/1pp5/P3P3/2P2P2/1R3K1P/8 b - -,g8b8
6k1/8/p4b2/Pppr2Bp/6bP/1P1P1N2/4PK2/1R6 b - -,f6g7
r1bq1rk1/ppp2pb1/2n2npp/4p3/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f1d1
rn1qkb1r/pp3ppp/2p1pn2/3p4/2PP4/3QPN2/PP3PPP/RNB2RK1 b kq -,b8d7
3k4/2p4p/1p1p2p1/p2Pp1Pn/P1B1P2P/1P2P1K1/1r6/2R5 w - -,g3h3
rn1qkb1r/pb3ppp/1p2pn2/2pp4/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq d6,c4d5
6b1/p2n4/1k2p3/1p2P1N1/3KP1P1/P7/2B5/8 b - -,d7b8
6r1/6P1/8/1R6/7K/2k5/1p6/8 w - -,b5c5
4r1n1/1pp4k/p2p2pp/3qn3/P2PN3/2P4P/1PQ3P1/2B2RK1 b - -,e5d7
r2q1rk1/1ppb1pbp/p2p1np1/8/2P1P3/2N1B2P/PPQ1BPP1/R4RK1 w - -,a1d1
7k/4p2p/3qPp2/pp1P2b1/2p1B3/P1P2P2/7r/3R1KQ1 w - -,e4b1
8/3Rbkn1/3qp1p1/5r2/1p5Q/1P6/P1P5/1KR5 w - -,d7b7
b1rr2k1/4qpp1/P3pn1p/8/1b1B1P2/3BPN2/1Q4PP/3RR1K1 b - -,b4e1
8/7p/6p1/5pk1/8/2r4P/6K1/5B2 b - -,g5f4
k1r4r/1b3p2/1q4p1/p7/1p1R4/1P3PQ1/1PP4P/1K2RN2 w - -,e1d1
rnbqk2r/pp2nppp/3b4/3p4/8/1NP2N2/PP3PPP/R1BQKB1R w KQkq -,f1d3
r4rk1/pb3pbp/1pn1qBp1/2p1p3/1P2P3/P1P1NNP1/4QPBP/R3R1K1 b - -,g7f6
8/2B2k2/R4b1p/8/p2r2P1/8/5K1P/8 w - -,f2e3
8/8/Pbk3p1/1n3p2/5B1P/3KN3/5P2/8 w - -,f2f3
r3r1k1/pb2npbp/2p3p1/1qNp4/N3PB2/8/PP3PPP/R2QR1K1 w - -,e1e3
3r1rk1/6pp/5n2/p1pPR3/qpQ1P3/5N2/1P4PP/2R4K b - -,f6g4
7r/2k2p2/prb1p1q1/1p1pPpPp/1PpP1P1P/2P5/PQ3R1K/1RB5 w - -,b2a3
r2qkr2/pp3pp1/2p1pn2/2Qn4/3P4/2P3PP/PP4B1/R1B2RK1 w q -,c3c4
5k2/5p1p/pq2b1p1/1n1p4/2p5/P3P2P/1PBN1PP1/2KRR3 w - -,d2b1
r2qkbnr/1p3ppp/p1n1b3/2ppp3/8/1P2PNP1/P1PP1PBP/RNBQ1RK1 w kq -,c1b2
r1bqk1nr/p3ppbp/2pp2p1/8/2P1P3/2N5/PP2BPPP/R1BQK2R b KQkq -,g7c3:g8f6:a8b8
r2q1rk1/2p1bppp/p1n1b3/1pn1P3/3p4/2P2N2/PPBN1PPP/R1BQR1K1 w - -,c3d4
r3r1k1/2p2pp1/1pNb3p/1P2P3/q3P3/3Q2P1/5P1P/1RR3K1 b - -,d6e5
8/p1r4p/R3b3/4k1p1/4B3/1P2KP2/P5PP/8 b - -,h7h5
3b4/1b6/pp2k3/2p1Bp2/1PP2Pp1/P3K2p/2N2P1P/8 w - c6,b4c5
r4rk1/2pn1p2/1p5p/p1b1pPp1/2N5/2P3PP/PP1B1PK1/R3R3 b - -,f7f6
rnq2rk1/ppp1ppbp/3p1np1/8/1PP5/5NPb/PB1PPP1P/RN1QR1KB b - -,h7h6
r1bq1rk1/4npbp/1pn3p1/p1pp4/P7/1NPP1NP1/1P3PBP/R1BQR1K1 b - a3,f8e8
8/2b1k1p1/7p/4q3/P3Q3/6P1/5PKP/8 w - -,e4c6
1r6/1pp1n2k/p2p1q2/7P/4P3/1P4N1/P1PQ2K1/1R6 w - -,b1f1
5k2/3R1p2/p7/6Qp/3Pp3/4P3/5K2/1q6 b - -,b1b2
3r1rk1/pp3ppp/2pbb3/6q1/2P5/1P3Q2/PB3PPP/1B2RRK1 w - -,f3c3
8/6pk/1p1r3p/1Q3P2/6P1/P4b1P/3q1P2/1R3BK1 w - -,b5e5
8/5R2/7P/5Pk1/3n2P1/4r1K1/8/8 w - -,g3f2
4b3/6k1/1p6/2p3Pp/P1P1BPKP/1P6/5b2/8 w - -,g4h3
r6r/1kp1bpp1/p1p1p2p/R7/1P1P4/1PP1BP2/6PP/R5K1 w - -,f3f4
6k1/2R2p2/5b1p/4nPp1/4K1P1/7P/B7/8 w - -,c7c8
2rq1rk1/1b3pp1/pn1bp2p/1p1p4/3N1BQ1/2P1P3/PP3PPP/1BR2RK1 b - -,d6f4
8/6p1/3k1nB1/1p3P1P/1p3K2/1P1P4/8/8 b - -,f6d5
r3k2r/p2bbppp/n1p1pn2/1p6/3PN3/1B2BP2/PPPqN1PP/R4RK1 w kq -,e3d2
3q1k2/r4pbp/r2p2p1/2pN4/p1P1PP2/Rp1P3P/1P1Q2P1/5R1K w - -,f4f5
7r/2kr1R1p/1pn3p1/p7/P2P4/B7/6PP/2R3K1 w - -,f7f6
r4rk1/ppq1npbp/3p2p1/2pBp3/2P5/3P2P1/PP2PP1P/R1BQ1RK1 w - -,d5g2
r4rbk/1p2n1b1/p2p1n2/P2P1pp1/1PB1pP1q/1Q2P1Np/1B2N1PP/R2R2K1 w - -,f4g5
r1bR4/2p2p2/1p3k1p/p3p3/2P1P1B1/2P1K3/P5P1/8 b - -,c8b7
r2r2k1/pp3p1p/2pp2p1/P7/1R2P3/1bN4P/1P3PP1/2R3K1 b - -,b3e6
4n3/1rq2k1p/Q3Rp2/1p1p1P2/p2P4/2P5/PP1N4/2K5 b - -,h7h5
8/8/1pNb4/P5kp/2P5/5Pp1/6K1/8 b - -,b6a5
rnbq1rk1/pp2ppbp/1n4p1/8/2pP4/1BN1PN2/PP3PPP/R1BQ1RK1 w - -,b3c2
6r1/p3pk2/4b3/P2p4/1R1P3p/2B1b3/1P3PP1/5K2 w - -,f2e3
r2qk2r/p1p2pp1/2ppbn1p/8/1b2P2B/2NB4/PPP2PPP/R2QK2R w KQkq -,e1g1:d1f3
4kb1r/4n1p1/prq5/3p1N1P/2pP1PQ1/4PK2/1PP2B2/6R1 w k -,f5g7
r2qk2r/3nppb1/pp3np1/2pPp2p/P4P2/2N2Q1P/1PP1B1P1/R1B2RK1 w kq -,f4f5
r2q1rk1/pppnnppp/4p3/3p1b2/2PP4/4PN2/PP1NBPPP/R2QK2R b KQ -,d5c4
4r3/1pkrbpp1/8/P1B3Pp/2p5/2P4P/5P2/R3R1K1 w - -,e1e4
8/1bpk4/1p1p2rp/5p2/1PPB3P/4PP2/5K2/R7 b - -,h6h5
4r3/1pn1b1p1/pNrp1pp1/P3pkP1/1BP2P1P/1P1RP1K1/8/3R4 w - -,f4e5
4r1k1/ppp2ppp/1n6/3n4/2qPr3/2P3PP/2R1NPK1/3QB2R w - -,e2c1
r3r1k1/1p1bppbp/pq4p1/3P4/3NP3/3QBP2/6PP/2R2R1K b - -,b6d6
5bk1/1p5p/2Q1p1p1/1b1pP3/p2PpPP1/4B2P/PP6/3B2K1 b - -,b7c6
r1b2rk1/p2p1ppp/2p5/qp2P1B1/8/1n6/PPP1QPPP/1K1R3R w - -,a2b3
r2r2k1/pbq1bpp1/1nn1p2p/2ppP3/1pP2B1P/3P1NP1/PP2QPB1/R2R1NK1 w - -,b2b3
R7/8/4k3/p6p/P4P2/4K3/8/7r w - -,a8a5
1q2r1k1/1b1n1p1p/1p3npb/pP1pp3/P2P4/B3PNPP/2Q1BPK1/2RN4 b - -,e8c8
r2q1rk1/ppp2pbp/2np1np1/3Pp3/4P1b1/2P2NP1/PP1N1PBP/R1BQ1RK1 b - -,c6e7
8/8/1pk2pp1/3p3p/P2Pp2P/4P3/1P1K1PP1/8 w - -,d2c3
8/5p2/6k1/PR6/r7/5P1K/8/8 w - -,h3g3
N2q2kr/1p4b1/p1n3p1/n5pp/1P4b1/P1Q5/5PBP/R1B1R1K1 w - -,c3c2
4n3/5B2/1K1k1p1p/4p1p1/4P1P1/6P1/8/8 b - -,e8g7
r1b2rk1/p1q1bppp/2p1pn2/3p4/4P3/1PNB4/PBP1QPPP/R4RK1 b - -,c8b7:a7a5
r2qrbk1/3b1pp1/p2p2np/1ppPp3/2P1P3/PP2BNP1/2B2P1P/R2QR1K1 b - -,d7g4
r1b2rk1/ppQn1ppp/2p2q2/3p1n2/1P1P4/2NBP3/P3NPPP/R4RK1 b - b3,f6d6
5r1b/7k/pp1p3p/2Pn1p2/P4P2/5P1P/3B2RK/6R1 b - -,b6c5
r4rk1/p1B2pp1/2R2bbp/1p6/8/4Q3/Pq1N1PPP/4R1K1 w - -,c6a6
r3k2r/ppq1bp2/2p2pb1/2n1p3/PP1P4/1QP3P1/4NPB1/3RR1K1 w kq -,d4c5
rr6/pp2n1pp/3k4/2p1p3/8/2nP2P1/PB3PBP/R3R1K1 b - -,e7d5
r2qrbk1/1bp2pp1/p2p1n1p/1p2p3/2nPP3/1PP2NNP/P1B2PP1/R1BQR1K1 b - -,c4b6
1br5/p3r1k1/2p3p1/3P3R/5p2/P2Qp3/1BK1B1q1/5R2 b - -,g7g8
8/1p5p/2p5/4k3/p3p1PP/2P1K2b/1P5N/8 b - -,b7b5
1r6/4kp2/p2p4/1p2r2p/1P1RB1b1/P5P1/2PR3P/2K5 b - -,b8b6
5rk1/p4p2/1p4bp/4q1p1/3N4/2r1PPP1/P4QP1/R4RK1 w - -,e3e4
3r1kn1/1bqn3R/p2P2Bp/1p1P2bP/1P1B4/P7/4N1PN/7K b - -,c7c1
r3r1k1/2p3pp/p1Nb4/P7/1p2p2P/1b2B1P1/3RPP2/2R3K1 w - -,e3f4
r3kb1r/ppqn1ppp/2p2n2/2Pp4/3Pp3/4P3/PP1NQPPP/RNB2RK1 b kq -,b7b6
1r4k1/4ppb1/1r1p1npp/8/5B2/nBN3P1/P3PP1P/2RR2K1 w - -,f4e3
q7/pp1n1kbp/3Br1p1/4P3/3p1PP1/1Q6/PP5P/R5K1 b - -,a8e8
3q2k1/5pp1/8/ppp5/1n3B2/1Q1b1B2/5PP1/6K1 w - -,b3c3
2r3k1/1p1qb1pp/p1n1pr2/P2p4/3PbPP1/2B1QN2/1P2B2P/R4RK1 w - -,f3g5
r7/p4pk1/1pbR1Npp/2p1r1P1/4P2P/2P5/PP6/2K1R3 b - -,h6g5
2r2k2/4bPp1/1Q2P1p1/p5P1/8/1P3BPK/2q5/3R4 b - -,c2f5
6rk/1pp1r2p/7R/p1pPp3/2P5/P3P3/1P1K4/7R w - -,h1h2
3r4/p7/1p1P1kp1/5n1p/7P/6P1/P4P2/3R2K1 w - -,d1c1
rn1qkb1r/pp3ppp/2p1pn2/5b2/2BP1B2/2N5/PPPQNPPP/R4RK1 b kq -,f8d6
3r1rk1/1p2ppb1/p5p1/2P2bqp/PP1Pp3/1Q5P/1B2BPP1/R3R1K1 w - -,a1d1
r3kbnr/1bqn1ppp/p2pp3/1pp5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 w kq -,h2h3
2rr1bk1/p3Nppp/qp6/8/2n1QPP1/P6P/1PP5/1KBRR3 b - -,f8e7
8/8/8/2Kp3p/3Pk3/8/6P1/8 w - -,g2g3
8/8/8/3n2Bp/7P/3kp3/5K2/8 w - -,f2f3
8/b2q2kp/4p1p1/4Pp2/Pr1n1P2/1P1Q2P1/6NP/2R3BK w - -,d3c3
1rbqk1nr/pp3pbp/3pp1p1/2p5/3nP3/3PBNP1/PPPQ1PBP/R2NK2R b KQk -,g8e7
8/3k1pp1/8/2b2P1P/2R1p3/1r5P/1P2K3/8 w - -,c4c5
r4k2/P2R1p2/1B1p2p1/1Kp5/5P2/5bP1/8/8 b - -,a8c8
2r1r1k1/1q3pp1/p6p/1p1pb3/2nBP3/1B1Q3P/PP2RPP1/4R1K1 b - -,e5d4
8/6kp/6p1/p1P5/Pp2Bp2/1P2bP1P/8/3K4 b - -,e3c5
7r/p3b3/3pr1kP/2p2p1R/1pPn2p1/3KN1B1/PP3PP1/7R w - -,e3d5
8/4k3/p5pp/1p2K3/2r1P1PP/8/R7/8 b - -,c4c6
r4rk1/p4pp1/2N1p2p/6bP/2pPn3/8/PPK2PP1/3RB2R w - -,d4d5
2rr2k1/1b3p1p/pp3np1/5qQ1/P2p4/2P2P2/3BB1PP/R4RK1 w - -,g5f5
r1q2rk1/ppn1ppbp/3p1np1/2p5/2PPP3/1PN2NP1/PB1Q1PKP/2R2R2 b - e3,b7b6
1rq3k1/3np2p/1n1p1ppB/2p5/r1P1PPPP/P1RQ1R2/3N2K1/8 b - -,c8e8
rnb1k2r/ppp1qpbp/1n2p1p1/4p1B1/3PN3/1B3Q2/PPP2PPP/RN2K2R b KQkq -,e7b4
q4rk1/1brnpp1p/pp1p2pb/2p5/P2Pn3/2P1PN1P/QP1N1PPB/3RRBK1 b - -,d7f6
r1bqkb1r/pp2pppp/2n5/3P2B1/2P1p3/8/PP3PPP/R2QKBNR b KQkq -,f7f6:c6e5
r1bq1rk1/ppp3bp/1n3pp1/3p4/3P1P1B/1PN5/1PP3PP/R2QNRK1 b - -,c7c6
3r3k/p3RQb1/1p5p/8/1n6/q4PBP/5NP1/6K1 b - -,a3a1
rnbqk2r/pp2bppp/4p3/2p5/3PP3/2PB4/P4PPP/1RBQK1NR b Kkq -,e8g8
2R5/r5kp/1p1P1qp1/p1p2nN1/P1P4P/1P1N4/5PB1/4R1K1 b - -,f6d6
6rk/pp6/3p3b/3Pp3/P3P1Pq/2N2pR1/1P6/4Q1K1 w - -,e1f2
2rq1rk1/pp1bppbp/3p1np1/n7/3NP3/1BN1BP2/PPPQ2PP/1K1R3R b - -,a5b3
2Q5/8/3p2pk/3Ppp2/1q3b1p/1N4PP/5P2/3B1K2 b - -,f4g3
3rk3/2p5/1p6/1P1p1p2/1BnP2pP/4p1P1/4K1R1/8 w - -,h4h5
6k1/6bp/2Np4/pB1P4/4n3/P1P1r2P/1PK2p2/3R4 b - -,a5a4
r1q2r2/pp4bk/6pp/2PP4/P1B2P1n/8/1P2NP1P/R2Q1RK1 w - -,d1d3
6nr/p4r1p/1p4k1/1P1Nbpp1/1B2p3/4P1PP/P4PB1/3RR1K1 w - -,g2f1
3rrb1k/p5p1/1p5p/4pq2/2P1bn1P/P3BPQ1/1PPR3K/5BR1 w - -,f3e4
r1b1k2r/1pq1bppp/p1Nppn2/8/4P3/2NB4/PPP1QPPP/R1B2R1K b kq -,b7c6
b7/8/5k1p/8/BNr5/P3K1Pp/1P5P/8 b - -,c4e4
4q3/p5pk/1p3p1p/1P2r1nP/P1PrbN2/2Q1R3/4B1P1/4R1K1 b - -,e8d8
r3r1k1/p1nq1ppp/8/1p1pP3/1P6/PQ2PN2/6PP/2RR2K1 b - -,d7e7
8/5p1k/4bBp1/8/6P1/5B2/r4R1K/8 w - -,f6b2
r2qk2r/pp1bbppp/2nppn2/1N6/4P3/2N3P1/PPP2PBP/R1BQ1RK1 b kq -,d8b8
r1bqk2r/pp3pb1/2npp1pp/2p5/4P3/2PPBNP1/PP2QPBP/2KR3R b kq -,d8a5
r5k1/1p1n1rpp/p1n1p3/3p4/2pP2P1/2P1P2P/PP4N1/R3NRK1 b - -,f7f1
rn2q1k1/pb3r1p/1p2p1p1/3PQ3/3P4/2PB1N2/P4PPP/R3K2R b KQ -,b7d5
r2r2k1/4bpp1/pp1p1n1p/4p3/2q5/2N2QP1/PP1BPPKP/2RR4 w - -,d2h6
r3k2r/p2q1p1n/1p1p4/n1pPp1pp/b1P1P2B/1NPB1P2/P5PP/1R1Q1RK1 w kq g6,h4e1
2rr2k1/p4p1p/1p2pp2/8/8/2N5/PPN2P1P/5RK1 w - -,c2e3
4r3/7p/4k1p1/1P1pB3/5P2/3R3P/7P/2r4K w - -,h1g2
r4rk1/1bq1bppp/p1n1pn2/1p1P4/3N4/P1N1BP2/1PPQB1PP/R4RK1 b - -,c6d4
8/8/1b6/8/p7/1k6/8/1K6 b - -,b6d4
2r1r1k1/1pqbppbp/p2p2p1/3Pn3/2PN4/1P2BP1P/P2QB1P1/2R2RK1 b - -,f7f5
8/5ppk/3qp2p/2p5/2P4P/1B4P1/4QP2/6K1 w - -,b3c2
6k1/5ppp/p1bp4/1p5r/8/2P1B1RP/PP3P2/R4K2 w - -,e3d4
r4rk1/pp1bq1bp/4p1p1/3pP3/n4PQ1/2N1P3/PP3BBP/R4RK1 w - -,c3a4
6k1/4pp1p/3p2p1/pq1P4/1p2P3/1P2QP2/P5PP/4K3 b - -,a5a4
2kr1b1r/ppp2pp1/2n1pn2/q4b1p/8/P1NP1NPP/1PP2PB1/R1BQ1RK1 b - -,f6d5
r5k1/5pp1/p1R1p2p/4P2P/q4BQ1/8/5PPK/8 w - -,g4f3
2B5/2b4p/1p3k2/p7/4KP2/2P4P/PP6/8 b - -,c7d6
r6r/pp2kp1p/2n2p2/3RpB2/8/1N2bP2/PPP3PP/1K5R b - -,a8d8
Q7/p7/4k2K/1ppn4/8/1P6/P7/8 w - -,a8c6
4r3/5n2/2kP4/2B4p/2NP1p2/5K2/4P2P/8 w - -,h2h4
3rk2r/pp1nb1p1/2q1p1p1/5nPp/2QPR2P/2N4B/PP3P2/R1B3K1 w k -,c4e2
3n1kr1/ppp5/3p2p1/2b1p3/4P2N/2PP2B1/PP2KPP1/7R b - -,d8e6
rn1q1rk1/pb1pbppp/1p3n2/2pp4/2P4N/6P1/PP2PPBP/RNBQR1K1 b - -,f6e4:f8e8
2R5/5p1k/4p1p1/2n3Pp/r4P1P/3n1K2/4N1N1/8 w - -,g2e3
r4rk1/pq3pp1/7p/1p6/2npR3/2P2N2/P4PPP/RQ4K1 w - -,e4d4
rn1q1rk1/pb3p2/1p3bpp/3pN3/Q2P4/2N3P1/PP3PBP/R4RK1 b - -,d8d6
r4rk1/2p3pp/1pnppq2/p4p2/2PP1P2/P1Q3P1/1P2P1NP/3RR1K1 w - -,e2e4
2kr3r/pp1bqn1p/2p2pp1/2b1p3/4B1P1/2PQBN2/PPP2P1P/2KR2R1 w - -,e3c5
r1bq1rk1/p3bppp/1pn1p3/8/3P4/P1PB1N2/5PPP/R1BQ1RK1 w - -,d1e2
8/1p1k1p2/1p1b1Pp1/r2P3p/4N3/2R2K1P/6P1/8 w - -,c3d3
8/2p5/4k2r/1P1R4/2P2K1p/5P2/5P2/8 b - -,h4h3
r1bqkb1r/pp3pp1/4p2p/2pnN3/3P4/8/PPPB1PPP/R2QKB1R b KQkq -,a7a6
r3q1k1/1pp1r1b1/5ppp/1P2p2n/3PP3/5NP1/bBQ2P1P/2RR1BK1 b - -,a2e6
R2N1b2/p3k3/5pp1/7p/8/4P1PP/r4P2/6K1 w - -,d8c6
8/6k1/1p6/pPbBpPK1/P3P3/6P1/2R5/7r b - -,c5e3
1r1q1rk1/pp2ppbp/2npb1p1/8/8/2n1PN2/PBPPBPPP/QR2K2R w K -,b2c3
2r1qrk1/pp2ppbp/1nn3p1/8/4P1b1/2N1BNP1/PP2QPBP/2RR2K1 b - -,c6e5
1r4k1/4ppb1/3p2pp/2pP4/P2r1P2/1PNq2P1/3N1RQ1/B5K1 b - -,d4b4
r1bq1rk1/1pbn1ppp/p1p2n2/2P1p3/3P4/2NBPN2/PBQ2PPP/R3K2R w KQ -,e1g1
3q1rk1/1ppn1ppp/3bpnb1/1P1p4/7N/4P3/2PPBPPP/BN1Q1RK1 w - -,h4g6
r3r1k1/ppq2pbp/6p1/4p1B1/4b3/2P2Q2/PP3PPP/R3R1K1 w - -,f3e4
r3k2r/pp3pp1/1q2p3/1N1pPnN1/1P3P1p/2P1b3/P3Q1PP/R1B4K w kq -,c1e3
8/4qpkp/6p1/Q3P3/5P1P/p5P1/5K2/8 b - -,g7h6
r3k2r/pp2bpp1/1qn1p1p1/3pP3/2nP1P2/1N4P1/PP2B1KP/R1BQ1R2 w kq -,f1f3
3r1rk1/1pp1qppp/p1nbp3/3n4/P2P3N/1PN1P2P/1B2QPP1/R4RK1 w - -,h4f3
2rqk2r/pp1bppbp/3p1np1/4n3/3NP3/2N1BP2/PPPQB1PP/R4RK1 w k -,a1d1
r2qr1k1/1bp2pbp/1pnp1np1/p3p3/2P5/BPNPPN2/P1Q1BPPP/2R2RK1 w - a6,f3d2
2r2rk1/1pq1b1pp/3ppn2/p7/Pn2P3/2N1B3/1PP1B1PP/2RQ1RK1 b - -,d6d5
2rr1qk1/pb3p2/4p2b/3pP2Q/5R1P/2P3P1/PP3P2/R4BK1 w - -,f1d3
