8/PN6/1n4k1/4p1p1/3p2P1/3P1K2/8/8 b - -,g6f6
r1b1k2r/pppn1ppp/4p3/q7/3P4/2PB1N2/P1PQ1PPP/R3R1K1 b kq -,e8g8
8/8/8/8/p2K4/2r1p3/P2k4/4R3 w - -,e1h1
2rq1rk1/ppp1b1pp/3p1nn1/3PpbN1/2P5/2N3P1/PP2QPBP/R1B2RK1 b - -,c7c5
r1bq1rk1/ppn1ppbp/2pp1np1/8/2PPP3/P1N1BN1P/1P3PP1/R2QKB1R w KQ -,d4d5
8/8/PbkP1p2/5p1p/5B2/7P/2K3P1/8 b - -,c6b5
2br1R1k/1pq1b1pp/p2pp3/6B1/3QP1n1/1BN5/PPP3PP/5R1K b - -,d8f8
r5k1/1p1r1pp1/2p4p/q1P5/pR1P3R/P5P1/1PQ3PK/8 w - -,d4d5
r2q1rk1/pb1pbppp/1pn1pn2/6B1/3P3P/2PB1N2/PP1NQPP1/R3K2R b KQ -,f6d5
8/5p2/3k4/R2rn1pp/1P1p4/3B3P/3K1PP1/8 w - -,a5a6
rnbqkbnr/1p2pppp/2p5/p3P3/1P1p4/8/P1PPNPPP/RNBQKB1R w KQkq a6,c1b2
2r1k2r/1bqnbppp/p2ppn2/1p6/4PP2/P1NBBN2/1PP1Q1PP/R4RK1 w k -,g1h1
1q3r1k/p7/3p4/4pP2/2P1P1Pp/3P4/P3PQ2/2B4K b - -,f8f7
4k3/8/p2p4/1p2r3/3K4/P1P5/1P4R1/8 b - -,e8d7
7k/5p2/1p2pN1P/pP3pP1/6rq/4Q3/8/3R2K1 w - -,f6g4
1r1q1rk1/2pbnppp/1b1p4/nP2p3/Q7/B1NPP1P1/3N1PBP/1R3RK1 b - -,d7f5
2kr4/pp2pp1p/2n3p1/1bP5/4n3/P3BNPP/2R1PPB1/3R2K1 b - -,d8d1
8/8/6k1/2B2b2/p1p2R2/P1r1K3/8/8 w - -,e3d4
1r3rk1/Rpp1q3/3p2pp/1P1P4/R3p3/2Q3Pb/3NPn1P/6KB w - -,h1g2
4r1k1/5ppp/2r5/p2q4/P4PP1/1Pp2R1K/2Q2R1P/8 b - -,h7h5
8/4k2p/3bp1p1/3bBp2/8/3BP3/5PPP/5K2 w - -,e5d6
q6r/6pk/5n1p/1pbppP2/8/1QN5/1PPB2PP/5R1K w - -,b3b5
r1bqk2r/ppp2ppp/1nn5/4p3/1bB5/2NP4/PPP1NPPP/R1BQ1RK1 w kq -,c4b5
8/7Q/6p1/6k1/8/8/8/3q1K2 w - -,f1f2
8/8/8/1K6/5BP1/7p/7k/8 b - -,h2g2
2r2bk1/1b3ppp/q2p4/1p2n3/4PB2/PP4NP/1Q2N1PK/5R2 b - -,e5d3
rn1qkbnr/pbppp1pp/1p6/5p2/3P1B2/5N1P/PPP1PPP1/RN1QKB1R b KQkq -,g8f6
r2qk2r/pp1nbppp/2p1pn2/3p2B1/3P4/2NPPN2/PP3PPP/R2Q1RK1 w kq -,f3e5
5r2/p3r1kp/1p1pP1p1/1P3n2/R6P/6P1/P4PB1/4R1K1 w - -,g2c6
5rk1/1r3pp1/4p2b/1p2n2p/7P/1PN3P1/1KP5/3R1B1R w - -,c3b5
r2q2r1/1p1k1Q2/p1nppb1p/2p1p3/P3P2P/2NPB3/1PP2PP1/R3K2R b KQ -,f6e7
3k4/1b6/4r2p/pp2PppP/3B4/2P1R3/PP4P1/6K1 w - g6,h5g6
r3kb1r/ppn2p2/1qp1p1pn/3pP2p/3P4/2PQ1N1P/PP1N1PP1/R1B2RK1 w kq -,f3g5
1r1q1rn1/1p3pkp/p1npb1p1/2pN4/2PbPB2/2NP2P1/PP1Q2BP/1R3R1K w - -,c3e2
5rk1/p1q2pp1/2pbbn1p/3p4/1r6/2PB1QBP/PP3PP1/3NRRK1 b - -,b4b8
4r1k1/p7/1p2p1p1/P1p1nr1p/5p2/1NP4P/1P3PP1/R3R1K1 w - -,a5b6
1r3rk1/1pqb1p1p/p2p1np1/n2Pp3/PRP1P3/1NN3P1/4QPBP/2b2RK1 w - -,f1c1
r1b2rk1/1p1npp1p/3p2p1/q7/2PBPP2/8/P3B1PP/R2Q1RK1 b - -,d7c5
2kr3r/1pqn1p2/p1pbbn1p/4p1p1/PP1PP3/2PB1N2/3N2PP/R2Q1RBK b - b3,e5d4
r1q2rk1/p2nppbp/1p1p2p1/8/2pPPB2/2P2N1P/PP1Q1PP1/R2R2K1 b - -,f8d8
8/B6p/6p1/1p1k1p2/8/6PP/5PK1/8 b - -,d5e4
8/6bk/1p2qpp1/p1p2n1p/PnPpNB1P/1P1P2P1/3Q1P2/4NK2 w - -,d2e2
8/1p5k/p7/2Rpr3/2p3P1/8/PPP2K1P/8 b - -,h7g6
r1b1kb1r/ppp2ppp/2np2q1/3QP3/2P5/P4N2/1P1BPPPP/R3KB1R w KQkq -,d2c3
5R2/8/p7/1p2k3/6p1/PKP1b1P1/1PP2p2/8 b - -,e3c5
r1bq1rk1/pp2ppbp/3p1np1/2p1n3/3PP3/2P2NPP/PP3PB1/RNBQR1K1 b - d3,e5f3
r1bq1rk1/ppp3b1/3p1n2/3Pp1p1/2P1N3/3B2P1/PP3B1P/R2QK2R b KQ -,f6e4
3rrb1k/pbq2pp1/1ppRp2p/4P3/2P2B2/6Q1/PPB2PPP/4R1K1 b - -,f8d6
3r4/pp2bk1p/2b5/3p4/3P1N1P/4PBP1/P4K2/2R5 b - -,f7e8
r5k1/5ppp/8/p1p1Nb2/q1B2P1Q/P3p3/2P1NnP1/1R4K1 w - -,c4f7
6k1/pp4p1/4q3/8/1P5R/5pPP/1r3K2/4Q3 w - -,f2f1
r1b2rk1/1pq2ppp/p1n1pn2/2b5/P1B5/4PN2/1P1NQPPP/R1BR2K1 w - -,b2b3
5r2/1p3rbk/p2p2p1/1q1Ppp1p/bP1pP3/P2P1PP1/1Q1BB1KP/2R2R2 b - -,b5d7
2Q5/r3qppk/4p2p/2pb4/8/4N1P1/PP2PP1P/2R3K1 b - -,a7a2
5rk1/1b3pp1/pp2p1p1/8/P3P3/1PpP2PB/7P/R5K1 w - -,a1c1
1rb2rk1/1p2qpbp/p2p1np1/P1p1n3/2P5/1PN1BNPP/R3PPB1/3Q1RK1 w - -,g1h2
1rbqrbk1/1p3p1p/pn1p2p1/1PpPp1Pn/2B1P2P/P1N2N2/K1PBQP2/3R2R1 w - -,d1b1
1rq4r/2p2p1k/2Pp2p1/1P4n1/P3p3/4P1P1/4QPBK/R6R b - -,h7g7
r1bqk1nr/pp1pppbp/6p1/1np5/4P3/2N2N2/PPPP1PPP/R1BQR1K1 w kq -,c3b5
r3k1nr/pbp2ppp/1p1ppq2/8/2PPP3/2PQ1N2/P4PPP/R1B1R1K1 w kq -,c4c5
r1bq1rk1/pp2p1bp/2pp1nn1/3P1p2/2P2P2/2N2N2/PP2P1BP/R1BQ1RK1 w - -,e2e3
4qrk1/5pb1/B5p1/2pp4/5P2/4N2P/PP1B1K1P/R5R1 b - -,e8a4
r4r2/4k1p1/pp1p3p/2nbp1PP/7R/1P6/P1PB4/2K1RB2 b - -,h6g5
6r1/p7/1p1kbQ2/5p1P/1n1P1P2/8/P4P2/5K2 b - -,b4d5
r1b2rk1/2q1ppbp/p4np1/2pPp3/P3P3/2N5/1P2BPPP/R1BQK2R w KQ -,e1g1
8/r7/PR3p1p/3Pk3/7P/5K2/8/8 w - -,b6e6
r4bk1/2pq1pp1/p3rn1p/1p2p3/4P3/3PB1NP/PP2QPP1/2R1R1K1 b - -,a8d8
r1bq1r1k/p5pp/1p6/2b4n/1B1pP3/5NP1/P1Q1NPB1/1R2R1K1 b - -,d4d3
r4k2/p4pb1/1p2p3/n3qp2/Q1B3bN/2P3P1/P4P1P/1R2R1K1 b - -,e5c5
4k3/p1p4p/b1pp2p1/2P5/8/1PN1K3/P5PP/8 b - -,e8e7
5R1k/2Q3p1/7p/8/1q5P/6P1/8/6K1 b - -,b4f8
rnbqr1k1/pp3ppp/1bpp1n2/4p3/1PP1P3/P1N3P1/2QPNPBP/R1B1K2R w KQ -,h2h3
1qr3rk/4bppp/ppb1pn2/4p3/1PP1P3/PNN1QP2/6PP/2RR1B1K w - -,c4c5
8/8/3k4/ppnP3p/3K1P2/6pB/8/8 b - -,a5a4
4r3/ppp2k2/3np1p1/3p2P1/3P1P2/1PP4r/P1KBR3/4R3 b - -,d6e4
r2r2k1/1p3pnp/p1ppq1p1/P7/1PPNP3/2PQ2P1/5PK1/3RR3 b - -,e6g4
5rk1/R4p2/5Qp1/2p4p/P2q3P/6P1/1P3P1K/8 w - -,f6d4
2R5/1r4pp/4p3/5p2/1p1k4/7P/5PP1/6K1 w - -,c8d8
r3r1k1/pp1n1pnp/2p2qpB/3p4/3P2PP/2NBP1b1/PP1Q1P2/2R2K1R b - -,g3h4
3k3r/pR1rpR2/6p1/6P1/8/8/P3NK1b/8 w - -,b7d7
r3k2r/3nqp2/bpp1p1pb/p2pP2p/P2P1N1n/2P1Q3/1PB1NPPP/R1B1R1K1 w kq -,b2b3
r4rk1/1pqnbppp/p2p1n2/2pPp2b/1PP1P3/P1NBBN1P/5PP1/2RQ1RK1 b - -,a8c8
3r1k2/1b2Nppp/p3pn2/1p6/1P6/3q4/2PB1PPP/3R1RK1 w - -,c2d3
r1bq1rk1/p3npbp/1pn1p1pB/2pp4/2P5/2NP1NP1/PP1QPPBP/R4RK1 b - -,d5c4
r1b1rn2/1pq3kp/2pbPpp1/p2p1P2/P2N4/1P1Q4/2P1N1PP/R3RB1K w - -,g2g3
5rk1/pp3pp1/6p1/3p1q2/1P1Q1P2/P3P1R1/5P1P/7K b - -,f8c8
1rb2rk1/2qnppbp/3p2p1/npp5/3PP3/2P1BN1P/1PN1BPP1/2RQ1RK1 w - -,f3d2
r1q3k1/pbpp1rbp/1pn3p1/4p3/1PPnP2N/2N1B1P1/P2Q1PBP/3R1RK1 w - -,c3d5
r1b2rk1/1p3ppp/p2pp3/q5bn/P3P3/2N1BP2/BP2QP1P/2RR2K1 w - -,c3d5
r7/B5R1/1p2kp2/3np3/8/KP6/P7/8 b - -,d5e7
5qk1/Q3n1p1/3rp2p/4N3/3P3P/5P2/6P1/4R1K1 w - -,e1b1
8/1Q3pk1/6p1/7p/7P/2q3P1/5PK1/8 w - -,b7b6
2k1r2r/pp1n1p2/2bQpP1p/q2p2p1/1RpP4/P1P2P2/2P1BNPP/R5K1 b - -,d7f6
3r1rb1/p2qn1bk/3p2pp/1ppP1p2/4PP2/PPNP4/2QB2BP/1R3RK1 b - -,d8c8
r2k3r/pp2b1pp/2p1bn2/2p2p2/2P5/1PN1PP2/PB3P1P/R3KB1R w KQ -,h1g1
1q1r1rk1/pb1nbppp/1pnpp3/8/2P1P2B/P1N2N2/1P2BPPP/2RQR1K1 w - -,h4e7
r4b1r/ppkn1ppp/2p1bn2/4p1B1/4P3/2N2PPB/PPP4P/2KR2NR b - -,e6h3
5k2/1pr2p1p/pR4p1/2p5/3pPKP1/1P1P3P/P1P5/8 b - -,c7e7
Rr4k1/3n1pp1/4p2p/8/8/4N1P1/4PP1P/5K2 w - -,a8b8
3r2k1/p1p1q2p/3b1ppB/3R4/8/5QP1/PP3P1P/6K1 w - -,h6e3
rr4k1/5pp1/5n1p/p2np3/8/1P3P2/P1RBN1PP/3R2K1 b - -,d5b4
rnbqkb1r/pp1p1pp1/4pn1p/8/3N3B/4P3/PPP2PPP/RN1QKB1R b KQkq -,f8e7
2rq1rk1/1p1bbppp/p7/2np4/3N1B2/P3PB1P/1P3PP1/2RQ1RK1 b - -,d7a4
3rr1k1/p1qn1pbp/1p1p2p1/n1p1p3/3PP3/1PP1BNNP/P2Q1PP1/R3R1K1 b - -,d7f6
r5k1/5pp1/1prp4/p3n1p1/P3P3/1P2R2P/1B1R1PP1/6K1 b - -,g8f8
2r4r/4k1p1/5bR1/1B1p4/Np1P4/1P2P3/1P1K4/8 b - -,h8h2
5k2/5P2/2P2q1p/p3R3/P3Q1P1/1P2P2K/3r4/8 w - -,e5f5
3r3k/pp6/2n2Q2/4p3/4b2P/8/P4PP1/2B3K1 b - -,h8g8
6k1/4Rp2/pBB4p/P1n3p1/1b6/7P/4b1P1/7K b - -,e2c4
3r4/4kp1R/4b1p1/pr1p4/3P4/8/1P1K4/R2N4 b - -,g6g5
1r1q1rk1/pb2bppp/1nQp4/8/2P5/2NB4/PP3PPP/R1B2RK1 w - -,c6b5
r1b1k3/ppq1bp1r/2pp1npp/2n5/P2NPP2/1BN5/1PP3PP/R1B1QRK1 b q -,c5b3
2b2rk1/p2r1pbp/1p1N1np1/1P2n1N1/4p2B/1B2P3/P4PPP/3R1RK1 w - -,g5e4
2b5/4bk2/4p1p1/4Pp1p/2BN1P1P/2P3P1/7K/8 w - -,h2g2
2r3k1/1qr1ppb1/1p1p2p1/pP1R2Pp/P1P2Q2/4N3/4PP1P/3R2K1 w - -,d1c1
rnbqk2r/2pnppbp/p2p2p1/1p6/3PP3/2N1BP2/PPPQ2PP/2KR1BNR w kq -,e3h6
r2q1rk1/pp2ppbp/6p1/3Pn3/3NP1b1/4B3/P3BPPP/R2Q1RK1 b - -,g4e2
r1bq1rk1/pp3ppp/2p1n3/3pP3/3N1Q1b/2N5/PPPB1PPP/4RRK1 w - -,d4e6
6k1/1p4pp/p7/3p1r2/2nPqP2/2P1P1BQ/P5K1/4RR2 w - -,g2g1
2kr1b1r/1ppqnb1p/p1p2p2/4p1p1/4P3/3PBP1P/PPPN2PN/RQ3RK1 w - -,b2b4
8/1b3p2/8/1k2KN2/R7/5r2/8/8 w - -,a4h4
8/8/2R2kp1/7p/5P1P/6PK/5r2/8 b - -,f6g7
r1bq1b1r/1p1n1k1p/p2p1pp1/2pP3n/Q3P3/2N1BN2/PP3PPP/R3KB1R w KQ -,h2h3
r1b2rk1/1pq1npbp/p1npp1pB/2p5/4P3/2NP2P1/PPPQNPBP/1R3RK1 b - -,b7b5
4r1k1/p3q1bp/3pp1p1/2r5/2p1PN2/2P3P1/PP2Q2P/3R1R1K b - -,e7c7
r2qrbk1/1p1n1pp1/2p1pn1p/p2p4/P1PP3P/N2BPPB1/1PQ2PK1/3R3R w - -,f3f4
b1qrr3/p5kp/1pn2pp1/2p1p3/2P5/PNQP2P1/4PPBP/1R2R1K1 w - -,b1b2
1qb3k1/4p2p/1Pp1n1p1/2Pp1p2/1Q2n2P/1N1BP1P1/r2N1P2/1R4K1 b - -,e4g3
6r1/pp6/2k5/5p2/4b2R/1P6/2PB4/5K2 w - -,d2e3
r1bq1rk1/p5bp/2pp1pp1/8/2Pn4/2N1B3/PP3PPP/R2QR1K1 w - -,d1d4
3rk2r/pp1n2pp/2pbpp2/8/2P2PP1/P1BB1K2/1P5P/1R5R w k -,b1d1
r1b1k2r/pp1nbp2/1qn1p2p/2ppP1p1/3P4/1PP2N2/P1B1NPPP/R1BQ1RK1 b kq -,c5d4
rnb2rk1/ppp3pp/3p3q/8/2PPP1p1/2P3P1/P2N2B1/R2Q1RK1 w - -,f1f8
3rk2r/2q1bppp/p2pbn2/1p6/3QPB2/N6P/PPB2PP1/3R1RK1 w k -,c2b1
2r5/5p1p/3k2p1/3p4/1P6/3K2P1/1R3P1P/8 b - -,c8b8
r2q1rk1/pp1nbppp/2p1pn2/4N2b/3P4/5NP1/PPQ1PPBP/R1BR2K1 b - -,a8c8
r1b2rk1/1pp3N1/n2p2q1/p2Pp3/2P2p2/2N5/PP1QBPP1/R3K2R b KQ -,g8g7
4r3/3rP1bk/p4pN1/2p2P2/4Q2P/6P1/1P2R2K/5q2 b - -,d7d4
r3kbnr/pp1b1ppp/1qn1p3/3pP3/2pP4/N1P2N2/PPQ2PPP/R1B1KB1R b KQkq -,f7f6
R7/3r1pk1/5bp1/2pp4/8/4PN2/5PP1/6K1 w - -,a8c8
3r2k1/7p/p4R1P/1bB1p3/8/2P3P1/6P1/3R2K1 b - -,d8d1
5rk1/1p1R1pp1/3Q3p/1P1Pp3/4P3/3q4/r5PP/6RK b - -,d3e4
r2q1rk1/pb2ppbp/1p3np1/n2p4/2PP4/BPN2NP1/P4PBP/R2QR1K1 b - -,f8e8
1r1qr1k1/p4ppp/2p1bn2/3p2B1/1b6/2NB1Q1P/PPP2PP1/R3R1K1 w - -,a2a3
2kr3r/2pbb1p1/1pp2pn1/p6p/P1NNP3/1P2BP2/2P2RPP/3R2K1 w - -,f2f1
5b2/6pk/6p1/1p2R3/p2p4/7P/1P2KPP1/8 w - -,e5b5
r3r1k1/pb1n2bp/1q1Pp1p1/1p2n1N1/2pN2B1/4B3/PP4PP/R2Q1RK1 b - -,b6d6
3r1k2/pp6/4P2p/2p1K1p1/P5R1/8/6PP/8 w - -,e5f6
r2qk1nr/1p2bppp/p2p4/2p1p3/3PP1b1/2P2N2/PP3PPP/RNBQR1K1 w kq -,c1e3
r1bq1rk1/1p2n1bp/3p1np1/P1pPp3/2P1Pp2/1QN2P1P/P3NBP1/R3KB1R w KQ -,a2a4
5rk1/5pp1/4pnp1/8/4P3/1q4P1/4QPBP/2R3K1 w - -,e4e5
8/4k3/7p/5pP1/1r6/5BP1/6PK/8 b - -,h6g5
2r2rk1/4ppbp/R4np1/1pq1P3/8/1bN2N2/1PnQBPPP/2B2RK1 b - -,f6g4
2r1q3/p1r1bk2/2p1p3/4Pp1p/2QR1BpP/1P4P1/P4P2/3R2K1 b - -,c7b7
r3r1k1/pb1nqpp1/1pp4p/8/2BPp3/4P2P/PPQ1NPP1/3R1RK1 b - -,d7f6
r2nr1k1/1bpqbppp/p2p1n2/1p2p3/4P3/PB1P1N1P/1PP2PP1/R1BQRNK1 w - -,f1g3
3r2k1/7p/6p1/pBbP1p2/2P1r3/P1R1pKP1/7P/4R3 b - -,g6g5
7r/p3k3/1p1p4/1BpPbb2/P4pp1/8/2P1RKP1/6N1 w - -,c2c4
r2r4/8/pbp3pk/4B3/4b3/1R6/1P3PPP/5RK1 w - -,b3b6
6k1/4R1p1/5p1q/4p2p/2Q5/7P/6PK/8 b - -,g8h7
3B4/5kp1/2Bnpp2/p3P3/1b1P3p/1P1K3P/6P1/8 b - -,d6f5
3N4/4R3/k1p5/p4n1p/1nP5/1P6/8/6K1 w - -,e7d7
2brr1k1/1p2q1p1/2pp1p2/p2Pp3/1nP1P1pP/2N1P1P1/PP1RQ1B1/3R2K1 w - -,c3a4
8/4kNb1/1p2p3/1P4P1/2P1K3/8/8/8 w - -,f7e5
8/1p1r4/p3pk2/1P4p1/P1P1R3/3n2N1/6P1/7K w - -,h1g1
8/5p2/2nNp1k1/1p2P1r1/4R3/7K/8/8 w - -,d6b5
2r2nk1/5pp1/b2qpn1p/p1R1N3/P2p1P2/1P1BQN2/6PP/4R1K1 w - -,e3d4
7r/1p3kq1/2p1pr2/2PbR1p1/p2P2B1/PnBQ1PP1/5KR1/8 w - -,d3e3
2kr1b1r/ppp1qppp/2n2n2/3p3b/3P2P1/2P1BN1P/PP1NQP2/R3KB1R b KQ g3,h5g6
r5k1/1p3rpp/p1p1bb2/P4p2/2Np4/P2P2P1/4PPBP/2R2RK1 b - -,e6c4
rn1qkbnr/1b1ppppp/p7/1p6/3NP3/6P1/PPP2P1P/RNBQKB1R w KQkq -,f1g2
2q2rk1/3nbppp/p1rpp3/2p5/4P3/1PB3Q1/P1P1BPPP/3R1RK1 b - -,g7g6
2k1r3/1ppq3p/5Q2/p7/Pbpr2P1/5RB1/1P3PP1/5RK1 b - -,d4g4
1r1r2k1/pp1bppbp/1qnp2p1/3B4/2PN4/PP2P3/1B3PPP/R2Q1RK1 w - -,a1b1
r2qk2r/1b1p1ppp/4pn2/p7/Pb1Q4/2N2NP1/1P2PPBP/R4RK1 b kq -,e8g8
r2qkb1r/ppnb1ppp/2n5/2p1p3/2N5/2NP2P1/PP2PPBP/R1BQK2R b KQkq -,f8e7
8/5pp1/3n4/4kPp1/2B3P1/4K2P/8/8 w - -,c4d3
3r4/4k2p/1PR3p1/1n3p2/N7/6P1/1K6/8 b - -,e7d7
5rk1/2R2p2/7p/3pP3/1p1NbP1P/1P2K3/8/r1R5 b - -,a1a2
rn1r2k1/pp2ppbp/2p1bnp1/q2p4/2PP3N/1P4P1/PB1NPPBP/R2Q1RK1 w - -,d1c2
r4nk1/1R3pp1/4p3/3p3p/3B3P/4P1P1/5P2/6K1 b - h3,f8g6
r1br2k1/1pR2p2/6p1/1R1p2p1/p2P4/P3P1P1/BP3PP1/6K1 b - -,c8e6
r1bq1rk1/pp1nbppp/2pp1n2/3Pp3/2B1P3/2N1BN2/PPP2PPP/R2Q1RK1 b - -,d7b6
r1bqr1k1/pp2p1bp/n1pp1np1/5p2/2PP4/P1NQ1NP1/1P2PPBP/R1B2RK1 w - -,e2e4
1rb5/pp3k1p/5n2/3r1p2/3BpN2/4P3/P5BP/R5RK b - -,d5a5
8/1p3r1k/2p3p1/P1P1b3/1QP5/8/6K1/8 w - -,b4b6
3r2k1/pp3p2/2n3p1/6Q1/2Np4/BP3q1p/P3n2K/2R2R2 b - -,f3g2
4r3/p4pk1/5r2/4pB2/1PRp2P1/P2Rb3/6K1/8 b - -,e8e7
r3k2r/pp1qbppp/2p2nB1/3pB3/3P4/1QN1P3/PP3PPP/2R1K2R b Kkq -,h7g6
Q7/4B1bk/6p1/3pq2p/p7/4P1P1/5P1P/6K1 w - -,a8a7
1r1q2k1/3r1pp1/1pRP2p1/p7/6P1/Q6P/P4P2/3R2K1 b - -,b8c8
5bk1/3q4/p2n1r1p/1p1PpP2/2r1B3/P2Q2P1/6KP/2RR2B1 w - -,c1c4
2rq1rk1/3b1pbp/p1n1p1p1/1p1pP3/3p1P2/1N1P1B2/PPPB2PP/R2Q1RK1 w - b6,a1c1
r1bq1rk1/pp1n1ppp/2nbp3/8/3P4/P1NB1N2/1P3PPP/R1BQR1K1 b - -,d7f6
rnbq1rk1/pp3ppp/2p2n2/3pp3/1bP5/2NP2P1/PP1BPPBP/R2QK1NR w KQ d6,d1b3
8/2k3p1/1pb2r1p/p7/P1B5/1P2K1P1/3R3P/8 w - -,c4d5
r1b2rk1/1pq2pbp/p1p2np1/2Pp4/NP6/P3PB2/1B3PPP/R2QK2R b KQ -,c8f5
rnb1k2r/pp1p1ppp/1q2pn2/8/1b1P1B2/2NB1N2/PPP2PPP/R2QK2R b KQkq -,f6d5
2rq2k1/6np/4p1pb/p1B1N3/Bp2n3/8/PPR1QPPP/6K1 w - -,e5c6
1rr4k/1Q3pRp/1n6/p3B3/2q5/P3PP2/5P1P/1R5K b - -,b8b7
8/4R1pk/p1p5/3r4/P7/1P1b4/3N1K1P/8 w - -,e7e3
r1bqkb1r/1p2nppp/p2pp3/8/3pP3/3P2P1/PPP1NPBP/R1BQ1RK1 b kq -,e7c6
2r3k1/p1r1q1pp/bp2pp2/2n5/1QP5/P3P3/5PPP/B2RRBK1 b - -,c5b7
r4rk1/p1p2pp1/1pPp3p/3npP2/8/2P2P2/P2KB1PP/1R4R1 b - -,d5e7
1r5r/3n1pN1/p1k1pP1p/P2pP2P/2pBn1P1/2P1K3/8/1R4R1 b - -,c6c7
2RbN1k1/5n1p/p5b1/P3p3/2Q1Pp2/5P2/3q3P/6K1 w - -,c4a6
