8/1p6/2p2kp1/PBP2b1p/5K1P/8/5P2/8 w - -,b5f1
8/3R1bk1/8/8/p7/1r4P1/1pK5/1B6 b - -,g7f6
4r3/2k2np1/1pbp1pr1/p6p/P2B3P/1P3P2/1KPR2P1/3R1B2 w - -,f1d3
r2qk2r/1pp3pp/p2bbpn1/2p1p3/4P3/1P1PNN2/PBP2PPP/R2QK2R w KQkq -,f3d2
3rnrk1/pp1b2pp/1qpp2n1/8/1PP2P2/P2N2PP/1Q3NB1/3R1RK1 b - -,d7e6
rnbq1rk1/1pp1bppp/3p1n2/pP2p3/2PPP3/P4N2/1B1N1PPP/R2QKB1R b KQ -,e5d4
r1bq1rk1/pp2ppbp/1n1p1np1/8/2BP1B2/2P2N2/PP1N1PPP/R2Q1RK1 w - -,c4b3
8/1k3N2/4p3/8/3bP3/1P3P1K/8/5r2 w - -,f7d8
r1bqk2r/pp2ppbp/n2p1np1/2pP2B1/2P5/2N1PN2/PP3PPP/R2QKB1R b KQkq -,e8g8
r2q1rk1/pb2bppp/1pnppn2/8/2P1PB2/PNN5/1PQ1BPPP/R4RK1 b - -,c6e5
Q7/3k1r2/pp6/2pPBn2/5P2/1P6/P2r1P1P/6K1 b - -,d7e7
3k4/1R6/3b1p2/1P1pP3/6P1/1r2PK2/6N1/8 b - -,d6e5
r2q1rk1/1b2bp1p/1pp1pnp1/p7/2pPPB2/2N3P1/PP2QPBP/3RR1K1 b - -,f8e8
r1bq1rk1/pp2ppbp/n1p2np1/8/4P3/5NP1/PPPNQPBP/R1B2RK1 b - -,d8c7
bq2r1k1/2r2pp1/pp1ppbn1/4n3/1PP1P2p/PN3P1N/Q3B1PP/2RR2BK b - -,f6e7
1k5r/1p6/p2Pp3/4q2p/7P/P2R2P1/3Q1PK1/8 b - -,h8d8
r2r4/5k1p/p1n5/1pBP2p1/5pb1/8/PPPR2BP/2KR4 b - -,g4d1
r1bq1rk1/ppp1p1bp/n2p1np1/5p2/2PP4/2N2NP1/PP2PPBP/1RBQ1RK1 b - -,c7c6:c7c5
r2q1rk1/pp4bp/2n1npb1/2Pp1p2/BP1Pp2P/P3B1N1/3QN1P1/R4RK1 b - -,c6e7
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/2NP2PP/PPP2PB1/R1BQK1NR b KQkq -,f8g7
5R2/8/4r2p/p2k1ppP/8/2bN1KP1/8/8 b - -,d5c4
7k/3b3P/p7/p7/P2pp1P1/1P5R/2r4P/5K2 w - -,h3h4
r2qr1k1/3n1pp1/p3p2p/1pbn4/4N3/3BPPBP/PP3P2/1Q1R1RK1 b - -,d8b6
r7/pr3pkp/2R1pbp1/BP6/1PK5/8/3R1PPP/8 w - -,a5c7
r1bq1rk1/ppp2ppp/2pb4/2n1p3/4P3/3P1NN1/PPP2PPP/R1BQ1RK1 w - -,c1e3
r7/8/8/5N2/5p2/3k2p1/6P1/3BK3 w - -,d1e2
rbb4Q/3kqp2/p1p3p1/4p3/4P3/2Pp4/PP3PPP/3R1RK1 w - -,d1d3
r2qb1k1/5ppp/2nb1n2/p1pp4/8/1P1PNNP1/2P2PBP/R1BQ2K1 b - -,e8d7
1r1r1b2/p4k1p/P2p1pp1/1PpRn3/2P5/1B4BP/6P1/4R1K1 w - -,e1d1
1r4k1/2q2p1p/p2p2p1/1p1Pb3/6P1/P1PB4/1P3Q1P/5R1K w - -,f2f3
3r2k1/p1pnqppp/r7/3Pp3/N7/1P2Q1P1/4PP1P/R2R2K1 b - -,d7f6
rn1qk2r/pp2ppbp/2p3pn/3pP3/3P1Pb1/2N1BN1P/PPP3P1/R2QKB1R b KQkq -,h6f5
r3rnk1/pb4bp/n1p2pp1/1pPpp3/1P1P1B2/R4NPB/NP2PP1P/3R2K1 w - e6,d4e5
3rk3/1p2bpp1/p1n1b1r1/3qPp2/3p1P2/1P1P2N1/PB3Q1P/2R1NRK1 b - -,d5a5
6q1/7k/1p2Q2b/2p2p1p/5P2/2B5/1P5P/6K1 w - -,e6g8
1rb2rk1/2qnppbp/p2p2p1/1pp5/P3P3/2PPBQ1P/1PBN1PP1/R1R3K1 b - -,f7f5
r1r3k1/1q3pbp/3p2p1/8/1np1P3/N5P1/1PQB1PKP/R3R3 w - -,d2b4
6k1/5pp1/4p2p/4P3/3Pq2P/5N2/5PPK/1rQ5 w - -,c1d2
r1b3k1/p6p/1pn1p1p1/3Nn3/P5P1/4BB1P/1q1RK3/4Q2R b - -,c8a6
r4rk1/1bpnqpbp/1p1p1np1/pB2p3/P2PPB2/2P2N1P/1P1N1PP1/RQ3RK1 w - -,d4e5
8/4Bn2/6p1/pk6/4K3/P7/8/8 b - -,b5c4
2q2rk1/rpp1npp1/p2pbn1p/8/3PP3/5N1P/PPB2PP1/R2QRNK1 w - -,f1g3
1r4k1/1r1n1pp1/2p2q1p/p1ppp3/2b5/P1N1PNPP/1PQR1PB1/1R4K1 w - -,e3e4
2rq1rk1/pp2ppbp/4b1p1/n2n4/3P1B2/2N2N2/PP2BPPP/2RQR1K1 w - -,c3d5
8/7k/3p3b/6r1/4Q3/1p5R/pq4PP/5R1K b - -,h7g8
rn3rk1/pp2ppbp/2p2np1/q2p4/2PP1B2/2NBPQ1P/PP3PP1/2R1K2R b K -,b8d7
r6r/3kb2q/1nn1pp2/3p2B1/p1pP4/2P2PPN/RP2Q2P/5RNK w - -,g5h4
r4rk1/1pp3pp/3p1n2/1p2p3/R3P3/1P2BP1P/1PP3P1/5RK1 w - -,a4a1
r3qr1k/2p1bbnp/p1np1ppN/1p2p3/3PP3/1PP2N1P/P1B1QPP1/R1BR2K1 w - -,h6f7
rnb1qrk1/ppp1p1bp/3p1np1/3P1p2/5N1P/2N3P1/PPP1PPB1/R1BQK2R b KQ h3,c7c6
rnbqk1nr/ppp2pbp/6p1/4p3/4P3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,d1d8
r3n2k/p5pp/2pB4/8/2Bp4/2P5/PP4PP/4R1K1 w - -,d6e5
r4r2/1pp1npk1/4p1pp/2n1P3/p1P1BP2/2K2NP1/PP5P/3RR3 b - -,f8d8
6k1/5p2/3P2p1/1Qn4p/2B4q/1nP3p1/R7/5rK1 w - -,c4f1
1r4k1/p2b1r1p/1qn1p2b/2pp1p2/5P2/N1P2NB1/PP3QPP/1R2R1K1 b - -,h6g7
r3kbnr/ppq1pppp/2n5/1Bpp3b/6P1/1P2PN1P/PBPP1P2/RN1QK2R b KQkq g3,h5g6
2rn3r/p2qk1bp/2ppbpp1/4p3/Q1P5/3PP1P1/P2B1PBP/1R2K1NR w K -,g1e2
rnb2rk1/1pq1bppp/p2p1n2/4p3/4P3/1NN1B3/PPP1BPPP/R2Q1RK1 w - -,a1c1:a2a4
2r3k1/1b3pbp/4p1p1/ppN5/3P4/PP2P3/1B1KQ2q/3R4 b - -,h2e2
2kr3r/pp1bq1pp/2n1pB2/2p5/2P1N3/6PP/PP3PB1/R2Q1RK1 b - -,g7f6
2r3k1/1B2R3/6p1/1p1b1pB1/p2q4/P2p4/1b6/6RK w - -,b7d5
2r2rk1/pp2bppp/4pn2/nR1p4/3P1B2/q1P2B1P/P1Q1NPP1/R5K1 b - -,b7b6
3b1k2/p7/bp2p2p/2q2pp1/2P5/3Q1BP1/PP2NP1P/6K1 b - -,d8f6
6r1/4K3/8/2kp1B2/2p5/2P5/4R3/8 w - -,e2e3
r2qr1k1/1p3ppp/n1p1pn2/p3N1B1/PbQP4/2N3P1/1P2PPKP/2RR4 w - -,e2e4
r1bq3k/p5pp/2p1P3/2p2rn1/3p1B2/1Q3PP1/PP4BP/3R1R1K w - -,f1e1
2kq3Q/1p1b4/p3p3/2p1P1N1/1nr4P/3B1P2/PP4P1/R4RK1 b - -,d8h8
5rk1/2pq2p1/7p/1p1Ppp2/1N2Pn2/1PP2QB1/1n3PPP/4R1K1 b - -,f4g6
r4rk1/3p3p/3Qb3/1P6/P3np2/2N4P/1P1KB1q1/R6R w - -,c3e4
8/8/8/5pkp/4r3/5RP1/3K4/8 w - -,f3e3
3r2rk/p4p1p/1p3pn1/3Pp1q1/b1N1P3/5P2/5QPP/3RRB1K w - -,d1a1
8/1kp4p/1p6/p7/P3QK2/5P1q/8/8 b - -,b7a7
5k2/5p2/1p1p4/3P4/P3Q3/1P3B2/K6p/6q1 w - -,a2b2
8/pp2kppp/8/3pP3/1P1N1P2/P2b4/5KPP/8 b - -,a7a6
8/5k2/7p/1P4p1/8/4B1P1/1br4P/1R4K1 b - -,f7e6
5k2/p7/2Bp1q2/2p5/2Pb1Pp1/3P4/PP1Br1K1/4R3 w - -,e1e2
6k1/2qn2p1/2p1npp1/1p6/p2QN2P/2P3P1/PP3P2/1K3B2 w - -,d4e3
8/2b5/P7/3N3R/2K5/5r2/1P3kp1/8 w - -,a6a7
R7/4kp2/p3prp1/1p6/3q2PQ/P7/1PP5/1K6 w - -,h4e1
