8/8/7k/8/3b2R1/6P1/2r1r3/5R1K w - -,g4h4
1r2k2r/1p4q1/p2p2p1/2pPb1B1/P1Q3n1/2N2R2/1P4P1/4R1K1 b k -,g4h2
r1bqk2r/ppp3b1/4pnpp/5p2/3PpBPP/2P1P3/PP1NBP2/R2QK2R b KQkq g3,f6d5
1nbrr1k1/1p3pp1/1b1q3p/1PpPp3/2P1P2N/6PP/1B1Q2BK/R4R2 b - -,e8f8
8/8/4nk2/R1r2pp1/4pp1p/7P/5KP1/3R4 w - -,a5a6
5rk1/2qrbp1p/2n1P1p1/2p2R2/NpP5/1P6/1B3QPP/4R1K1 b - -,f7e6
2r5/5pk1/6p1/2P4p/2Q5/q4N1P/1bR3P1/7K b - -,a3a1
8/3qb1kp/1p4p1/1PnB4/2Qp1pP1/3P3P/3N1PK1/8 b - -,e7f6
5k2/7R/4BP2/3P4/1r6/pr4P1/4K2P/8 b - -,b3b2
5r2/1p3pbk/p3p1pp/4P3/5B1P/8/PPnR1PP1/6K1 w - -,d2c2
r4rk1/pp3ppp/2b1pn2/8/5N2/4KP2/PP4PP/2R2B1R w - -,f1c4
1n6/p2kp3/2p2qpp/2N2r2/2Q5/2P1R3/PPP3PP/3K4 b - -,d7c7
4rk2/1p3p1p/2p3p1/1p1n1P2/3N4/2PR1KP1/PP6/8 b - -,h7h5
2rq2k1/pp3p1p/1n4p1/1Q1P1p2/4r3/2P2N1P/P4PP1/3R1RK1 w - -,d1d3
rqnbk2r/3b2pp/p2p4/Q2Ppp2/2N5/3BBP2/PP4PP/2R2RK1 w kq -,a5d2
r6k/1bp1np1p/1b1p4/3Ppp1q/1P2P3/1BN2N1P/5PP1/3QR1K1 w - -,e4f5
3k4/8/2K5/8/1P3r2/P7/5p2/5R2 w - -,c6b7
2r3k1/p3bppp/2p1pnq1/P2n4/1p2N3/1P1QP1PP/1B3PB1/2R3K1 w - -,d3a6
8/R7/1p6/8/Pk6/1P1K4/8/2r5 b - -,c1c3
r7/1p1q2bk/2p3Qp/1PP5/5Nn1/1N3RP1/n2B1PK1/8 b - -,h7h8
1rb1kb1r/3p1ppp/5n2/qp2p3/8/1PPQP3/P4PPP/RN2KBNR b KQk -,d7d5
r1bq1rnk/p7/1p1p2p1/2pPp1bp/1PP1Pp2/P1NN1P2/8/R2QBBRK b - -,h8g7
5k2/5ppp/4p3/8/3NnK2/P3P3/2r3PP/8 w - -,d4c2
r1bqk2r/pp1nbppp/4pn2/2pp4/3P4/1P1BPN2/PBPN1PPP/R2QK2R b KQkq -,e8g8:d8a5
r4rk1/1b2bppp/p1q1pn2/1pp3N1/5B2/1PNP1P1P/1PPQ2P1/R3R1K1 b - -,a8d8
r1b1k2r/2qp1pp1/pp2pn1p/8/2PNP1n1/P1N3P1/1P3PP1/2RQKB1R w Kkq -,f1e2
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/3BPN2/PP3PPP/RNBQ1RK1 w kq -,b2b3:b1d2:b1c3
r2q1rk1/ppp1ppbp/2np1np1/8/3PP3/2N1BB1P/PPP2PP1/R2Q1RK1 b - -,f8e8:e7e5
8/5p1p/2p5/1p2P1P1/RN2k1P1/1K2b3/1P4r1/8 w - -,a4a6
5rk1/pQ3pbp/3P2p1/7q/8/2N2R1P/PP1n1PK1/3R4 b - -,d2f3
r1b4r/3nqpkp/pppn2p1/2Np4/PP1P4/3BPN2/2Q2PPP/1R3RK1 w - -,c5d7
1rr3k1/3q1pp1/pp2pn1p/2Rn4/3P4/1Q3BPP/PP1B1P2/2R3K1 w - -,c5c4
r1b1k2r/p4ppp/4pn2/8/1b6/2N5/PP2BPPP/R1BqK2R w KQkq -,e2d1
1q2r2k/1p1Q2b1/p3r1p1/P1B1p2p/1P2R3/3R3P/2P2PP1/6K1 b - -,e6c6
r2q1rk1/pp2npbp/3p2p1/8/1P1nN3/3P2P1/bB2PPBP/R2QNRK1 b - -,a2b3
2nr1b2/p4pk1/2R3p1/2pp3P/6p1/2P1N3/1r3PK1/R4N2 b - -,b2b6
4r1k1/5p2/p3P3/2PQ1P1p/3BP1pP/8/5PK1/3q4 b - -,d1f3
r1r3k1/p4pb1/2b3pp/1p2p3/1n2P3/1BR1B3/PP1N1PPP/5RK1 b - -,c6d7
2r2rk1/1b2bppp/1pp1pn2/8/3P4/P3PN2/4BPPP/R1BR2K1 b - -,f6e4
r3r1k1/p1pq2pn/1p2bp2/3p3N/3Q1N2/8/PPP2PPP/4RRK1 w - -,f4e6
r4rk1/1p2nbp1/p2qp2p/4Np2/3P4/P2B4/1P2QPPP/3RR1K1 b - -,e7d5
2r3k1/p4p2/5p1p/4b3/4B3/8/b1PN1PPP/1R4K1 w - -,b1b4
8/5p2/4ppkp/8/1r2P2P/5PP1/3R2K1/8 b - -,b4b3
6k1/5p2/2B1p3/p7/1P4p1/4n1P1/r6P/4N1K1 b - -,a5b4
1r4k1/1q2bp1p/3Pp1pB/3n4/8/6P1/5PBP/3QR1K1 b - -,e7d6
2kr3r/1b2npp1/p3p2p/Pp1p2P1/1P1N1P1P/2NP1P2/8/2KR3R w - -,h4h5
8/7p/6p1/2b2p2/5P2/4k1P1/4P2P/5K2 b - -,c5b4
r5k1/pppq1rbp/3p1n2/3P1bR1/2PBpP2/2N5/PP1QB2P/2K3R1 b - -,h7h6
r1bqk2r/4ppbp/1pp3pn/p1p5/P3P3/3PBN1P/1PP2PP1/RN1Q1RK1 b kq -,f7f6
R3n2k/R6p/8/4pP1b/1r2P1N1/7P/p7/6K1 b - -,b4e4
r3r1k1/p1pb1ppp/3n1q2/2Bpp3/5P2/2PPP3/P1Q1B1PP/R4RK1 b - -,d6f5
8/b4Qk1/6p1/1p6/3q4/1B5P/5PK1/8 b - -,g7h6
8/p7/3k4/2p5/1p2p1P1/P5P1/1P4K1/8 w - -,g2f2
1r2k2r/2n1b1p1/bqn1p2p/2p2p2/1pP1NP2/3P2PP/1P3BB1/R1NQ1RK1 w k -,d1h5
rn2kb1r/p4pp1/1ppqpnp1/3p4/2PP2P1/1QN1P2P/PP3PB1/R1B1K2R w KQkq -,c1d2
3r2k1/p2rnpp1/1qp3p1/2R5/P3PP2/1P2Q2P/5NPK/2R5 b - -,d7d2
4r3/pq3p1k/2p3p1/4P2p/1r1p1N2/2bR1PP1/P1P1Q2P/3R2K1 w - -,e2e4
8/8/5pR1/8/7P/5k2/7K/r7 b - -,f6f5
r3k1nr/1pp2pp1/p1p3Qp/b3B3/4P3/3P3P/P1P1N1P1/1R1K3R b kq -,f7g6
r1bqk2r/ppp2pb1/2n1pnpp/3p4/3PP3/2PB1N2/PP1B1PPP/RN1QK2R w KQkq d6,e4e5
5r2/p1Nk2p1/3n2p1/1pp1p3/3rP2P/P4PP1/1PK5/4RR2 w - -,c7d5
r2qr1k1/pbn2pbp/2pp1np1/1p2p3/2P1PP2/2NPB1PP/PP1QN1B1/R4RK1 w - -,c4b5
r1bq1rk1/ppp1bppp/3p1n2/1B2p3/2PnP3/3P1N1P/PP3PP1/RNBQ1RK1 w - -,f3d4
2r4r/4bpp1/k1n1p2p/pq1pP3/1p1P3P/1P2BNP1/RPQ2P2/R5K1 w - -,c2d1
r7/7R/4pk2/1pPp4/1P6/8/P4PK1/8 w - -,h7b7
8/6K1/2b5/5P1p/3k3P/8/8/8 b - -,d4e5
5k2/1p3p2/1b1p2p1/p2P3p/Pn3NPP/2r2B2/4RPK1/8 b - -,h5g4
3r4/p4R2/k7/5p2/8/4n3/PP5P/2R3K1 b - -,d8g8
8/3r3p/5p2/1p1nk1p1/1P6/pB6/P4KPP/3R4 w - -,d1e1
3r2k1/Nb3pb1/1p2pnpp/3p4/1qr1P3/2NQ3P/PB3PP1/3RR1K1 w - -,d1b1
2r1rbk1/1bqn1pp1/pp1ppn2/8/2P1PB2/1PN2P2/P3NQBP/2RR3K w - -,g2h3
2n5/5pp1/7p/1k1K4/4P3/6P1/5P1P/8 w - -,e4e5
8/5pk1/4p3/3p4/1R1P2p1/1P4P1/1r3P2/4K3 w - -,b4b8
2kr3r/pbppq1bp/1pn1p1pn/5p2/2P1PP2/2NPB1PP/PP1QN1B1/2KRR3 b - -,h8e8
r1b2rk1/bp3ppp/p1p2qn1/8/B2NNn2/2P2Q1P/PP3PP1/R1B1R1K1 b - -,f6e5
r2q1rk1/pb3ppp/1pn1pn2/2bp4/2P5/2N2NP1/PP1QPPBP/R1BR2K1 w - -,c4d5
2r2rk1/pp1b1Pp1/6p1/6B1/2P5/8/P4PPP/2RqR1K1 b - -,f8f7
2q1r1k1/pb3p1p/1p1r1np1/n1pp1P2/P2P4/2PBP1N1/3B2PP/2RQ1R1K w - -,d1f3
r2r2k1/pbq2pp1/1p2pn1p/8/2P5/3BRN1P/PPQ2PP1/R5K1 w - -,a1e1
1qr2nk1/1p3npp/1Pp5/p1Pp1p2/P2P1P2/5NPP/3NQ3/4R1K1 w - -,d2b3
1r1qk2r/4bppp/2np2n1/1p2p3/3PP1b1/N4N2/1PB1QPPP/R1B2RK1 w k -,a3b5
2r1k2r/1p1q2p1/p2b4/P3ppB1/8/5QP1/1PP2P2/R1R3K1 w k -,c1d1
r1bq1rk1/1p2bppp/2np1n2/p3p3/P3P3/1NN5/1PP1BPPP/R1BQ1R1K b - a3,c6b4
8/7k/4r3/2B3pP/p2K2P1/PbR5/8/8 b - -,b3d1
8/8/8/8/1R4PK/4k3/4b3/6r1 w - -,b4b3
r2q2k1/pp4b1/2bp1r1p/2p3p1/2N1P3/2PB2Q1/PP4PP/4RRK1 b - -,f6f1
R3Q3/1q3pk1/6p1/7p/1pP5/1Pb3PP/5PK1/8 w - -,g2h2
2r2rk1/1b1p1ppp/p4q2/4p3/PpBnP3/3QBP2/1PP3PP/R3K2R w KQ -,e1g1
5r1k/6p1/R6p/1p6/1P1P4/8/2r4P/4R1K1 w - -,e1f1
rn1qkb1r/ppp1pppp/5n2/3p1b2/8/2PP2P1/PP2PP1P/RNBQKBNR w KQkq -,g1f3
1r3r2/1pp1n2k/p2p1P2/7P/4P2q/1P4N1/P1PQ2K1/1R3R2 b - -,f8f6
1R6/5ppk/4p3/P2pr2p/8/7P/6P1/7K w - -,b8b1
r4rk1/pp1n1ppp/3b1n2/3p4/3P4/1P2NN2/2P1KPPP/R1B4R w - -,h1e1
r4r2/1p2q1bk/pNnpp1pp/P1p1p3/4P3/3P3P/1PPB1PP1/R2Q1RK1 b - -,a8d8
r2q1rk1/1b1pbppp/ppn1p1n1/2p1P3/2P1B3/1PN2NP1/PB1P1P1P/R2QR1K1 w - -,d2d4
4r3/1p1nrppk/1pp4p/4P3/P4P1P/2N2K2/1P5P/3R2R1 w - -,h4h5
2r3k1/1b3qbp/p5p1/1p4N1/n7/Q3B3/PP2BPPP/5RK1 b - -,g7b2
rn2k2r/pp1bppbp/3p1np1/qBpP4/P3P3/2N5/1PPB1PPP/R2QK1NR b KQkq -,a5c7
8/4k3/8/3N4/p6K/P5RP/4r3/8 b - -,e7d6
r1bqk2r/p3npbp/1pn1p1p1/2p5/3pP3/1NPP1NP1/PP3PBP/R1BQ1RK1 w kq -,c3d4
8/p3r1k1/6p1/2P1R1P1/8/r7/P2K4/8 w - -,e5e7
r2qnrk1/2p3b1/npPp2pp/p3p3/1PP1Pp2/P1N2N2/5PPP/1RBQR1K1 w - -,c3d5
8/8/4Rnkp/8/6PK/8/8/8 w - -,e6a6
1r2k2r/p1qbb1pp/5n2/2Ppp3/6n1/RN3NP1/1PQ2PBP/2B2RK1 b k -,d7b5
1r6/4kpp1/1pR1nb2/1B1p2pr/P2P4/4BP2/1P4PP/1K5R w - -,h2h3
2kr3r/ppq1pp2/2p1b2p/4b3/P1pPPP2/1nQ1B3/1P4BP/1R3RK1 w - -,f4e5
8/5n2/2kp2Kp/1p3P2/1P2P3/2N5/8/8 b - -,f7e5
4R3/5p1k/5qpp/3Q4/5b2/P1P1p2P/5r2/4R1K1 b - -,f4h2
r4rk1/2pbq1b1/np1p2pp/3Ppn2/2P1N2P/3B1N2/PPQB1PP1/R3K2R b KQ -,a8e8
rnb2rk1/1p2ppb1/p2p1np1/q1pP2Bp/P1P1P2P/2N2P2/1P4P1/R2QKBNR w KQ -,g5d2
1q1r4/p4pkp/2Q1nbp1/4p3/1P6/P2PP1PP/5P2/2RR2K1 b - -,h7h5
r2r2k1/3nqppp/4p3/pBp5/Pp1P4/4PQ2/1P3PPP/2R2RK1 b - -,c5d4
rn2kb1r/pp1q1ppp/4p3/2pnN3/5P2/8/PPPP2PP/RNBQ1RK1 b kq -,d7c7
2kr4/1pp5/7p/pPPP1p2/5r2/P3R3/7P/3R2K1 b - -,f4c4
3R1bk1/p3r2p/2p1pp2/1p6/4PnN1/6N1/PP3PPP/6K1 b - -,g8f7
8/8/p3kb2/4N2p/pP2b2P/P1K3B1/8/8 w - -,c3d4
3r2k1/4bpp1/4p2p/2p1P2N/nqP1Q3/4R3/1P3PPP/5BK1 b - -,b4b2
8/pb2rp1k/3r1npp/1p1p4/2pP1N1P/P3P1P1/1PR2PB1/5RK1 b - -,h7g7
r2qk2r/1b1nppbp/p5p1/2p1P3/Pp4n1/2PBBN2/1P1QNPPP/R3K2R w KQkq -,e5e6
3r3k/pb2Qppp/1p6/3N2q1/3R4/PP2P2P/5PP1/3R2K1 b - -,h7h6
Q2R4/p3qpkp/1p3pn1/8/1P6/P3P1P1/5P1P/6K1 b - -,g6f8
8/3k1p2/1p3p2/5P2/4b2P/4N3/4K3/8 w - -,e2d2
1r3rk1/2n1qnpp/3p4/p1p1pP2/P1Q2P2/1P2P2P/1B1N4/2K1R2R w - -,f4e5
rnbqkb1r/pp1pp1pp/5n2/2pP4/8/2N3PP/PPP1P3/R1BQKBNR b KQkq -,e7e5
4r1k1/3p1p1p/p3pp2/8/2nN4/1P4P1/P3PPKP/5R2 b - -,c4d6
r5k1/ppp3p1/2b4p/4R1b1/2P2r2/1P1R4/PB3P1P/4N1K1 b - -,a8f8
r2qkb1r/pp1n1ppp/4bn2/3p2B1/2pP4/2P2N2/PPBN1PPP/R2QK2R b KQkq -,f8d6
r1b2rk1/p3qpb1/1pn2npp/2p1p3/4P3/2P1B2P/PPQ1BPPN/R1R2NK1 b - -,c8e6
8/5pk1/4p2p/4KP2/3P2P1/3rP2R/8/8 b - -,e6f5
8/8/3p1kp1/r4p1p/pR5P/P1R1PK2/1P1r2P1/8 w - -,c3c4
r5k1/1q1n1ppp/p1p1p3/1n6/3P4/2Q1P1P1/5PBP/RR4K1 b - -,a8c8
