8/5p2/4kB2/4P3/6KP/5r2/8/8 b - -,f3f1
8/7p/4k1p1/p1b5/P7/1Pp2KPP/2N2P2/8 b - -,g6g5
r3r1k1/p2q1p1p/2n2bp1/3p4/1ppP4/2P1N1P1/PP1N1PKP/R2QR3 w - -,d1f3
4b3/6pk/5bp1/7P/4Q3/5PK1/5P2/r7 b - -,e8f7
1k1r3r/pbp2p2/1p1p1q1p/3PpNp1/2P1Pn2/2P2P2/P4BPP/2KR1QR1 w - -,a2a4
3nr1r1/ppbk1p2/3p4/2p4p/2B2P2/2P1N1P1/PP3K1P/R3R3 w - -,e3d5
2r3k1/p4rpp/1q2p3/3p4/2PR1P2/3Q4/PP5P/1K1R4 b - -,d5c4
r1b1k2r/pp3ppp/1qn1p3/2pp4/3P4/2P1PNP1/PP1Q1PP1/R3KB1R b KQkq -,h7h6
r1b1k2r/ppqnbppp/2pp1n2/4p3/2PPP3/2N2NP1/PP3PBP/R1BQK2R w KQkq -,e1g1
8/ppb4r/2p2k2/8/1PP2pp1/P7/3R4/3B2K1 b - -,f4f3
r3kr2/2qb1p1p/B3pb2/3p1P2/1p3N2/8/PPP2QPP/1K1RR3 b - -,f6e5
1r2rnk1/4q2p/b2p1pp1/ppnPp3/2p1P1P1/2P2NNP/PPBQRP1K/R7 w - -,b2b4
3r2rk/p4pp1/2Q2q1p/1Pp2P2/3p1P2/2P4R/P7/1B1R1K2 b - -,d8d6
r4rk1/pbpnq1pp/1p1p4/4p1n1/2PP1p2/PPQ1PP2/1B1NB1PP/R4RK1 w - -,d4e5
r1bq1rk1/1pppbppp/p7/4P3/3Q4/1P6/1PP2PPP/RNB2RK1 w - -,b1c3
2b5/2r2pkn/p2p1bpp/2pPr3/2P1PBP1/2q4P/3NBQK1/R1R5 b - -,c3b4
r2q1rk1/3p1pbp/1pb1p1p1/p1n5/2P1P3/1PN1BP2/P2QB1PP/2R2RK1 b - -,a8c8
r2qk2r/ppp2ppp/2npbn2/2b1p3/1PP1P3/P1NP1N1P/5PP1/R1BQKB1R b KQkq b3,c5b6
5rk1/2qb1pp1/p1nN1n1p/bpP5/5pP1/2PQ3P/5BB1/1R2R1K1 w - -,c3c4
8/8/1B2k1p1/3Np2p/2b1P2P/5P2/3Kn1P1/8 b - -,e6d6
4r3/1p3pk1/p2p1p2/2rN1Rb1/1R2P3/1PP3KP/1P6/8 b - -,b7b5
r1b2rk1/pp1nppb1/2p3p1/q6p/3P1P2/PQPNP1PP/6B1/R1B1R1K1 b - -,c6c5
r2qkbnr/1p2pppp/p1bp4/2p5/4P3/2P2N2/PP1P1PPP/RNBQR1K1 b kq -,g8f6
3R4/1pk2n2/2p1nppp/p3p3/P3P1PP/1P2KPN1/2P1N3/8 b - -,c7d8
r1b1k2r/1p3ppp/p1q1pn2/3p4/1b2P3/2N1BP2/PPPQ2PP/2KR1B1R w kq -,e4e5
8/8/7p/5k1P/K7/2P5/8/8 b - -,f5g5
6k1/5p2/4p3/1R2P2p/8/3K1Pb1/1P2B2r/8 w - -,b5c5
8/ppk1r1p1/2p4p/2P5/1P6/P2r1RPP/5PK1/5R2 b - -,d3d4
4r1k1/1p2pp2/1r1p2p1/2qPn2p/p1P5/7R/PP1QBPPP/4R1K1 w - -,b2b3
8/4p1k1/2prPr1p/2R2p2/1Pq5/P2p2P1/3Q1P1P/4R1K1 b - -,c4d4
3Q4/pr3pkp/6n1/2qPp3/2p4P/P5P1/1B4K1/2R5 w - -,b2c3
6k1/p2br1pp/1qnbpr2/1p1p4/2pP1P2/2P1BNP1/PPB1Q1P1/R4RK1 w - -,f3e5
8/pk5p/5p2/PPB1p3/2P2n2/3r3P/8/4R1K1 b - -,d3g3
r2q1rk1/1b2bpp1/pp2p2p/P1P1N3/1n2P3/2Q3P1/1P1N1PBP/R4RK1 b - -,b6c5
8/6pk/4p3/3b4/p3qPP1/1p4KP/1B3Q2/8 w - -,g3h4
r4rk1/p3ppb1/1qp2npp/1p6/n3P3/P4PNN/1PP3PP/1RBQ1RK1 w - -,g1h1
2b1rrk1/ppp2qbp/6p1/5p2/5R1B/P1Q2P2/1PP1NKPP/7R w - -,f4d4
8/p4p1p/p3k3/5p2/3P4/4NK1P/1P3PP1/1b6 w - -,f3f4
2k2r2/Q2n2R1/2q1pr1p/2p5/2Bp4/7P/P5P1/1R5K b - -,f6f7
2r3r1/1p3p1k/3ppb1p/pN5p/PnP1nP1q/1P2BR2/4N1P1/3R1QK1 b - -,d6d5
8/1p1b2n1/p2p1k2/P4pN1/1n3P1N/6P1/1P2B2P/6K1 b - -,b4c6
r4b1r/ppq1k1pp/2n1b3/4p2Q/3PB3/1N2B3/PP3PPP/3RK2R b K -,e5d4
r2q1rk1/pp2bppp/4p1n1/3pPnB1/8/3B1N2/PPP2PPP/R2Q1RK1 w - -,g5d2
r3rnk1/pp3ppp/2pqbp2/b7/1PPP4/P6P/1B1NBPP1/R2QR1K1 b - -,a5c7
4rrk1/pp1q2b1/2pppnpp/1Pn5/2PN1P2/3P4/PBQ3PP/3BRRK1 w - -,b5c6
r2q1rk1/pp2ppbp/nn4p1/3pP3/3P4/4BN2/PP1N1PPP/R2Q1RK1 w - -,d1b3
1r4k1/3nppbp/n2p2p1/PqpP4/N1N1P3/1rB5/1P2QPPP/R3R1K1 b - -,a6c7
8/8/5n2/R6p/4k3/6PP/4K3/2b5 b - -,c1b2
r2qkb1r/pp1bpp1p/1n3np1/1B1P4/3P4/1QN5/PP3PPP/R1B1K1NR w KQkq -,b5e2
r1bq1rk1/p4ppp/p3pn2/2Pp4/5B2/2P1P3/P1P2PPP/R2QK1NR w KQ -,d1d4
4q1k1/4r1p1/2Q1p2p/5p1P/3P1N2/4P1P1/5P1K/8 w - -,c6d6:f4g6
r4rk1/ppp2pp1/1b1p1qnp/4p3/4Pnb1/2PPBNN1/PPBQ1PPP/R3R1K1 w - -,c2d1
1r3r1k/ppp3pp/2n1bq2/2R1p3/5p2/P2P2P1/1P1BPPBP/3Q1RK1 b - -,c6d4
7r/pp1nq1k1/3p1b1r/P1PP1p2/2P1pPpP/R3B1P1/3QB1K1/7R b - -,d7c5
6k1/1p3npp/2p1qp2/p2rp3/1B2P1P1/1P1r1P1P/P1R2K2/2R3Q1 b - -,d5d7
r3kb1r/pp3ppp/2p1b3/P2pP3/6q1/2N1B1Q1/1PP2PPP/R2R2K1 b kq -,g4g3
3rr1k1/p4ppp/1p3q2/2pPn3/6b1/P1P1R3/R2Q1PPP/2B2BK1 w - -,c3c4
r3k2r/pp2q2p/1np1p1pb/4P3/3P2QP/1N1BP3/PP2K3/2R4R b kq -,b6d5
8/8/p1bN4/5k1p/pP5b/P3K3/7B/8 b - -,f5e6
r3r1k1/ppq2ppp/2nbb3/2Np4/3P4/P3B2P/1P2BPP1/R2Q1RK1 b - -,d6c5
2b2rk1/1p4bp/1B2p1p1/1R3p2/8/1P2P1P1/5PBP/R5K1 b - -,g7a1
1brr2k1/1pq2ppp/1R6/p1Ppp3/3Pn3/P3B2P/4RPP1/3Q1NK1 w - -,e2b2
2qrr1k1/6pp/5b2/2p1pn2/ppP1Q3/3PP3/P2N1P1P/BR1R3K w - -,d2f1
8/4q2k/1P3ppp/p7/4p3/4P1P1/5PBP/1R4K1 b - -,e7b7
1rbq1rk1/5pbp/p2p2p1/1ppPn3/P3P3/1PN1BP2/R2QN1PP/5RK1 w - -,a4b5
3rr1k1/1pqbbppp/p1np1n2/3P4/3NP3/4BP2/PPRQB1PP/2R3K1 b - -,c7b8
3k3r/p2p1ppp/2n5/6B1/3q4/1P3P2/1PQ3PP/R4K2 b - -,d8c8
r2q1rk1/pb2ppbp/1pnp2p1/2n5/2P1P3/1PN1BN1P/P3QPP1/1BR2RK1 b - -,c6e5
r1br2k1/p4p1p/1q2pbp1/1P3n2/3P4/1BB1RN1P/P3QPP1/R5K1 w - -,d4d5
r1bqkb1r/p2n2pp/2p1p3/1pPp4/6n1/5NP1/PPQNPP1P/R1B1KB1R w KQkq -,f1h3
1r4k1/6p1/5n1p/p7/2rNp3/2P5/P1R3PP/R5K1 w - -,d4f5
2r2rk1/p2nq1pp/4p3/5pP1/2Rpp2P/PP2P1Q1/1B3P2/3R2K1 w - -,d1d4
2r5/1p2ppkp/3p2p1/pNr1n3/P3P3/1P3P2/2PRR1PP/7K b - -,e5c6
2b4r/1p3rk1/1B1p2p1/1P1Pp1b1/4Q1Pq/3B1P1P/2R3K1/7R b - -,h4h6
2r1r1k1/1p3pqp/p3p1p1/3p4/1Qn5/P1N4R/2P2PPP/1R4K1 w - -,a3a4
6k1/2p5/p4p1p/1pn1P1p1/8/6P1/PPB2P1P/6K1 w - -,b2b4
8/2q3k1/6p1/3pr3/5Qp1/3R2KP/4P3/8 w - -,h3g4
rn1qkb1r/pp1npppp/2p5/7b/P1NP4/2N2P2/1P2P1PP/R1BQKB1R b KQkq -,e7e5
8/2p2pk1/2p2n1p/6p1/p1P5/2QR3P/5PPK/3q4 b - -,d1e2
2r1r1k1/1bq1nppp/p1p1p3/1pP1NnP1/3PBPQ1/1P1R2N1/P6P/2R3K1 b - -,g7g6
4rk2/1p4p1/p1nRp1P1/P1P1P3/2K5/2B1P3/8/8 w - -,c4d3
2r2nk1/1pr1b2p/p3p1p1/3pP3/P1qP1PRP/4BN2/1P4R1/3Q3K w - -,h4h5
8/2bb4/p7/1p2kpp1/P2p4/3B1PPP/1P1NK3/8 w - -,a4b5
8/4p1kp/P2p1pp1/7r/1P2P3/2Q2P1P/5qP1/2R4K w - -,c1c2
6R1/8/4k2p/2p4P/2p5/4K3/r5P1/8 w - -,g8e8
2kr3r/pp1np1bp/1qp2Pp1/3n4/3PN3/2PB1Q1P/PP4P1/R1B2R1K b - -,g7f6
8/Bp3k1p/p3rpp1/2p5/1P1b4/P4P2/5P1P/3R2K1 b - -,b7b6
3r1k1r/p2n1pN1/7p/qp4p1/2p5/5bP1/PPQ1BPP1/3R1K1R w - -,g7f5
2Qb2k1/pp2npp1/4p2p/3pP3/3P4/P4N2/1P1B1PPP/6K1 b - -,e7c8
2r3k1/p1qb1pp1/Qp5p/2p5/2Pp4/3P2P1/PP3PBP/R5K1 w - -,a1e1
r1bq1rk1/bp2npp1/p1p4p/3pN3/3PPN2/1B5P/PP3PP1/R2Q1RK1 b - -,d5e4
7k/3r2b1/4b1p1/2B1p1q1/1PN1Pp1p/5PnP/1NQ2KP1/4R3 w - -,e1d1
rn1qkb1r/ppp1pppp/5n2/5b2/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c1g5
r1b2rk1/ppp1q1bp/2nppnp1/5p2/2PP4/BPN2NP1/P3PPBP/R2Q1RK1 w - -,a1c1
8/3b1k1p/3r1p2/6p1/2RN2P1/5K2/1P3P1P/8 w - -,b2b4
r2r2k1/1b1nqpp1/p2bpn1p/1p6/8/PPNBPN2/1B2QPPP/R4RK1 w - -,f1d1
1k1r4/pp3pp1/2p4p/PPPq2bP/8/4BP2/2Q1KP2/1R6 b - -,c6b5
2b2rk1/p4pp1/2pq1n1p/3p4/1r6/1PNB1Q1P/P1P2PP1/R3R1K1 w - -,c3a4
r2qr1k1/p3Bpp1/2p5/4nP2/N2pP1n1/7Q/PP4BP/R4R1K b - -,d8e7
3qr3/r3ppkp/1pp2np1/p2p4/P2PPP2/2P4P/1P1NQ1P1/R4RK1 b - -,d5e4
5rk1/6p1/r7/pp1p1Q1p/2pP3R/2P1Pp1R/PP3P2/1K6 b - -,f8f5
rn1q1rk1/pbp3pp/1p1p4/3Ppp2/2P5/5NP1/PP1QPPBP/R4RK1 b - -,h7h6
r1b2rk1/p4pbp/6p1/4q3/1Q6/8/PP2BPPP/R1B2RK1 w - -,e2f3
r1bqr1k1/pp1nbppp/2n1p3/2p1P3/2Pp1B1P/3P1NP1/PP2QPB1/RN3RK1 b - -,f7f6
r1bqk2r/3n1pb1/1pn1p1pp/p1ppP3/3P3P/2P1NN2/PPB2PP1/R1BQ1RK1 b kq -,c8a6
8/6k1/3Q4/p3p2P/5qPK/8/8/8 w - -,d6g6
8/1p2k2p/1np2pp1/p1n5/4PP1P/2N1K1P1/PP6/5B2 w - -,b2b3
2r1rbk1/1b3p1p/p2pp1p1/2B3P1/1p2P2P/3P4/PP2NPB1/1KR3R1 b - -,d6c5
krb4r/2q5/p1Pp1ppb/pP2B2p/P3Pp2/3Q3P/N1PN2P1/1R2R1K1 b - -,d6e5
2r1kb1r/3b1p2/p1q4p/Q2Rp1p1/6P1/2P1B2P/PP3P2/2KR4 b k -,d7e6
7k/8/8/P7/1PK1Q1p1/8/6P1/5q2 w - -,c4b3
1r2k2r/ppq1bppp/2n1p3/7b/2PP4/PQ2BN1P/4BPP1/1R3RK1 b k -,e8g8
5k2/2n3p1/2p5/2P4P/1p6/1B1P2P1/8/2K5 b - -,c7b5
5r1k/1bq3p1/p6p/1n1p4/3R1P2/3Q2PP/1PP1R2K/8 w - -,d4b4
2kr4/1pp4p/2n2p1q/p7/1bP2P2/1N3Q1P/PP2B1P1/2K4R w - a6,a2a4
1n4k1/2q2ppp/1pP5/1Q6/1b1rp3/5B1P/P4PP1/3R1RK1 b - -,c7c6
4rb1R/2B2kp1/p2p1p2/4pP2/2p3P1/P7/1PP5/2K5 w - -,c1d2
2r2rk1/pbqn1ppp/5b2/1Bpp1Q2/8/1PB1PN2/P4PPP/2RR2K1 b - -,f8d8
6k1/1r4pp/p3p3/bq1nPp1Q/2R2P2/Pr4P1/1P4NP/5RBK b - -,g7g6
rnbq1rk1/1p3ppp/p4n2/3pp3/2P5/P1N3P1/P3PPBP/R1BQ1RK1 b - -,d5c4
2krr3/pp4p1/2p1p3/2N2p2/2Q1p3/6P1/PP4PP/1K1R4 b - -,d8d1
8/5k2/7p/1pb5/5p2/P7/6PP/4BK2 w - -,e1d2
1r6/2k2pp1/Rbrp3p/PQ6/1R6/6P1/KPP4P/6q1 w - -,a5b6
r2q1r1k/pp3pp1/3p1b1p/2p3n1/P1BnP3/2NPBP2/1PP3QP/R4R1K b - -,d8d7
r3r1k1/5qpp/2Pn1p2/pp2pP2/2P1P3/P1PB1R2/1K1Q3P/6R1 b - -,e8d8
8/5pk1/4p3/p3P1p1/Pp1Q4/1Pn3P1/3r2BP/4R1K1 b - -,d2d4
r1br1nk1/1pq1bppp/p2ppn2/8/2PN4/BPN3P1/P2QPPBP/R2R2K1 w - -,a1c1
7k/8/2p5/p6R/2BrN3/4q1P1/PP3RK1/8 b - -,h8g7
8/pp1r2p1/3Pk2p/5p2/1P6/3R3P/5PP1/6K1 w - -,g1f1
8/5k2/p7/PrN1PPB1/8/5K2/8/8 w - -,e5e6
r3r1k1/4ppbp/1qp2np1/3p1b2/PPpP4/Q1N3P1/1B2PPBP/R4RK1 w - -,a4a5
rnbqk2r/pp4bp/2pppnp1/5p2/3P4/1QP2NP1/PP1NPPBP/R1B2RK1 b kq -,e8g8
2rq1rk1/pp2ppb1/1n4p1/1Qp4p/3n2bP/2NPBNP1/PP2PPB1/R4RK1 w - -,e3d4
1r3rk1/1p3qb1/2p1bn1p/3p1pp1/Q2P1P2/2N1P1P1/PP4BP/R1R1N1K1 w - -,e1f3
r2qk1r1/pp1n1p1p/2p1p3/5p2/3P4/5BP1/PPPQ1PP1/R3R1K1 b q -,d8c7
rnb1k2r/pp2bppp/1q1p1n2/2pPp3/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQkq -,e8g8
8/5Rb1/p1p2p1k/2P2PpP/8/8/2r2NKP/8 b - -,h6h7
rnbqk2r/ppp2ppp/4p3/3p4/2PPn3/P1Q5/1P2PPPP/R1B1KBNR w KQkq -,c3c2
r1bqk2r/pppnb1pp/2n1p3/1B1pP3/8/2P2N2/PP1N1PPP/R1BQK2R w KQkq -,e1g1:f3d4
r3k2r/pp3pp1/2b4p/3pq3/1Q2n3/3BP3/PP1B1PPP/R4RK1 w kq -,d2e1
r1bqnrk1/pp2p1bp/2p1n1p1/3pN3/P2P2P1/1BN3BP/1PPQ1P2/R3K2R b KQ -,e8d6
4r3/6pp/2k5/2p4P/1p2KP2/1P4P1/P2R4/8 w - -,e4f5
8/6p1/5k2/5p2/4P2P/5BP1/1r3PK1/8 w - -,e4f5
3rrbk1/1p1q1p2/1n4p1/1P3N2/4P3/5Q1P/1B6/2R3RK b - -,d7d3
8/8/8/8/p2K4/q6k/8/5Q2 b - -,h3g4
3rk1nr/4bppp/pqb1p3/1p2P1B1/5Q2/P1N5/1PP1B1PP/2KR1R2 b k -,d8d1
8/6k1/3p2pp/3Q3P/4PKP1/5P2/8/6q1 b - -,g1c1
6k1/5pp1/rB2pq1p/2Rb1n2/3Pp3/1p6/6PP/2R1Q1K1 w - -,c5c8
8/8/1p6/6p1/PR4P1/4b1k1/5p2/5K2 b - -,g3f3:e3c5
1rr3k1/pq1n1ppp/4p3/3n2B1/3P4/6P1/P3QPNP/2R1R1K1 w - -,g5f4
2r5/p3k3/6Q1/3p1p1p/5B1P/8/5PP1/1q4K1 w - -,g1h2
2r2r2/pp3bp1/5k2/3P4/4p3/1KN1P3/PP3P1R/7R b - -,f6f5
r3k2r/pppn1ppp/3q4/2p1p3/4P1P1/1P1P1Q1P/1PP2P2/R1B1K2R w KQkq -,f3g3
4r3/3q1pk1/p1R3p1/3Pb2p/7P/3N1QP1/5PK1/8 b - -,e5d6
8/6kp/6p1/2Q5/1P6/7P/3q2PK/8 w - -,c5c7
8/1p4k1/p1p5/P2pPpRr/1P1P3P/2PP4/6K1/8 b - -,h5g5
8/8/8/4kPP1/6K1/2bB4/8/8 b - -,e5d6
rn1q1rk1/pp1nbppp/2p1p3/3p4/4P1PP/2NP1Q2/PPPB1P2/2KR1B1R b - -,b8a6
6k1/4R1p1/6p1/p7/5KP1/4P3/5P2/r7 b - -,a5a4
r1b2rk1/ppq1bpp1/4pn1p/6B1/8/3B1N2/PPP1QPPP/R3R1K1 w - -,g5h4
2r1nrk1/pp1qn2p/2ppbb2/4ppp1/PPP2P2/3PP1P1/1BQNN1BP/R4RK1 w - g6,d2f3
r1bq1rk1/pp1nppbp/2pp1np1/8/2PP1B2/2N2N1P/PP1QPPP1/R3KB1R w KQ -,a1d1
2r3k1/1r2p3/1p1p1ppq/p1nNn2p/P1P1P2Q/1P3P1N/6PP/1R1R3K b - -,g6g5
7k/pq2p2b/3pPp2/3P1P1p/Pp3Q2/1Pr1N2P/3R3K/8 w - -,d2g2
1r3rk1/4bp1p/p1q3N1/2p3p1/2Pn1B2/3PQ1P1/P4PKP/R4R2 w - -,e3e4
8/1r1bk1pp/2pp4/2n5/2P2P1P/5BK1/2N1P3/R7 b - -,b7b3
r1bq1rk1/1p4bp/2p1pnp1/pP1p1p2/P1PPn3/1QN1PN2/1B2BPPP/3R1RK1 b - -,e4c3
6r1/8/P6p/1R5k/1P5p/3K4/8/8 b - -,h5g4
8/4k3/5p2/3R3p/3P4/3K3P/6r1/8 w - -,d5h5
8/5pp1/6k1/4p3/P3R3/6P1/1K2P2P/r7 b - -,a1h1
1k1r4/1pp3pq/p1p2p2/Q5p1/3PrbPn/P1NRB2P/1PP1KP2/7R w - -,c3e4
8/3r2pk/2rp1p1p/bp2pP2/p3P3/P1P1NKP1/1P1R3P/3R4 w - -,d2d5
3b4/p2r2kp/2nr1pp1/8/5R1P/P7/1BR1Q1PK/8 w - -,e2f2
8/5pk1/4p2p/p2qP1pP/1p3P2/1P4P1/3Q3K/8 w - -,d2e3
5rk1/R3Qp2/5Pp1/4P1Pp/2p1p2q/2r1B2P/P3PR1K/8 w - -,e7f8
r1b1k2r/ppq2ppp/4pn2/8/1bNp4/2N1P3/PP2BPPP/R1Q2RK1 w kq -,c3b5
6r1/pp6/3pR2p/8/1P6/2PB1kpP/PK6/8 b - -,d6d5
8/1p2k3/p1p2npp/2P5/1P6/P2rPB1P/3p1P2/3R1K2 b - -,a6a5
r2q1r2/p3pp2/1p3kp1/2p5/3N3Q/2nP2P1/PP2PPb1/R3K2R b KQ -,f6e5
1r3r1k/p3q1bp/1pnpp1p1/2p4n/P1Q1PP2/2N1BNP1/1PP4P/3RR1K1 b - -,b8d8
8/pp2r1k1/2p3p1/4np2/8/1PN4P/P1P3P1/5RK1 b - -,e5f7
2rq1rk1/1p2bppp/p7/2np1b2/3N1B2/P3P2P/1P2BPP1/2RQ1RK1 b - -,f5d7
r2q1rk1/pb1nbppp/1p1p4/4p3/2P1P1P1/2N1BP2/PP1QB2P/R4RK1 b - -,d7c5
1k1r1b1r/p1p2p2/2p2q2/3b2pp/2Np4/P2P1PN1/1PPQ2PP/1K1R3R b - -,f6g6
1r6/p4pkp/6p1/2n5/8/2PB3P/PP4P1/3R2K1 w - -,b2b3
r4rk1/ppp1n1p1/3p1q1p/3Ppb2/2P5/P1PB1PN1/3Q2PP/2KR3R b - -,f5d3
8/2k3rp/p5p1/1p4R1/4Bp1P/P1P1bP2/1PP3P1/1K6 b - -,g7e7
6k1/pp1n1p1p/3bp3/3p1p2/3P4/4P3/PP3PPP/2B1NK2 w - -,e1d3
r2q1rk1/3b1pbp/2p1pnp1/pp6/3PP3/2B2NP1/PP2QPBP/3RR1K1 w - a6,c3d2
8/8/p4k2/8/r4n2/7P/P1B5/5R1K b - -,a4d4
8/4k3/P2pp3/5p2/1R3P2/4K3/7r/8 b - -,h2a2
r5k1/7p/5ppB/4p3/3p4/b2N1P1P/2p3PK/8 w - -,h2g1
6k1/5p1p/R2p2p1/2bP4/8/4rP2/6PP/5K2 w - -,a6a2
r3r1k1/1bqn1pbp/p1pp2p1/1p2p2n/P2PP3/BPP2NPP/2QN1P2/R3RBK1 b - -,g7f6
