8/6pk/p2r4/P1R5/7P/5KP1/8/8 b - -,d6d3
1r5k/8/6Bp/8/P2p4/3P3P/1P1R3K/1r6 w - -,g6f7
8/R4p2/8/1p1k2p1/2p5/2Pr1PP1/4K3/8 b - -,d3c3
r1bq1rk1/1p1ppp1p/5bp1/p7/P3P2Q/1PN1B3/1P3PPP/R3K2R w KQ -,e3g5
rnbqkb1r/pppp1ppp/8/4P3/3Nn3/8/PPP2PPP/RNBQKB1R b KQkq -,d7d5
8/5k2/2R5/3p1P2/3N1P2/4P3/4K3/q7 w - -,d4f3
r3r1k1/1pp2ppp/2bp1qn1/p7/2PbPPQ1/1PNB4/PB4PP/4RR1K w - -,e1c1
3b4/1p3kpp/p3p3/P2pPp2/1P2nPP1/3BPK2/7P/4B3 b - -,g7g6
r4rk1/1pp1b1p1/n2p3p/p2Ppq2/2P4n/PPN1B3/3N1PPP/1R1Q1RK1 w - -,g2g3
2b2k2/5p1p/p3pnp1/1p1pN3/nP5P/PN1PP1P1/4KPB1/8 b - -,f6d7
rn1q1rk1/pbpp1pbp/1p3np1/3P4/2P5/P1N2N2/1P3PPP/R1BQKB1R w KQ -,f1e2
r2q1rk1/p2pbppp/bpn1pn2/8/2P2B2/1NN3P1/PP2PPBP/R2Q1RK1 w - -,c3b5
r1b2rk1/1p4b1/3N2n1/p2Pp1qp/1PN1PnP1/P4P2/4B2B/R2Q1RK1 w - h6,d6c8
rn1q1rk1/1p2bppb/2p1pn1p/p2p4/4P3/1P1P1NP1/P1PNQPBP/R1B2RK1 w - a6,a2a4
1rb1kb1r/p3pp1p/1qpp1np1/8/2pPP3/2N1BP2/PPPQ2PP/K2R2NR w k -,d1b1
r1b2rk1/5ppp/pp2p3/2np4/2P5/PP2P3/1BK2PPP/R4B1R b - -,d5c4
r1bqkb1r/p2p1ppp/2p1p3/3nP3/8/2N5/PPP2PPP/R1BQKB1R w KQkq -,c3e4:c3d5
r1bqr1k1/pp3pbp/n5p1/2p5/3P4/B3P1P1/P3NPBP/2RQ1RK1 b - -,d8a5
r5k1/1p1rbppp/pBn5/P2p4/8/1NP5/1Pb1BPPP/R3R1K1 w - -,e2g4
r4b1r/2pk2pp/pnp1pq2/3p4/3P4/4B3/PPQ2PPP/RN2R1K1 b - -,f8d6
8/6R1/pP1k4/P3r3/5K2/7b/8/8 w - -,g7g8
6k1/4Kp2/8/4n1P1/7P/6N1/8/8 w - -,g3f5
4b3/b6p/4Pk2/pp1K1Np1/4PN2/P5P1/1P5P/8 w - -,f4d3
8/8/5p2/2k2Np1/4pnPp/7P/5P1K/8 w - -,f5g7
rq2r1k1/2bn1ppb/2p1pn2/p6p/P3P3/1QNN1PP1/1P3BBP/2RR2K1 w - -,b3b8
1R6/8/8/6k1/6p1/8/r7/6K1 w - -,b8b3
r2qr1k1/pp1n1pb1/6p1/2pNN2p/2P2P2/1P2pRPb/PQ2P3/R1B3K1 w - -,f3e3
2b5/2q2nnk/p1N2pp1/1p1Pp2p/1P2P2P/8/P1BQN1PK/8 b - -,c8g4
r4rk1/p2p2bp/1pqnp3/2p2p2/2Pn1P2/1PNPN1P1/P2B3P/1R1Q1RK1 w - -,f1f2
r1q1r1k1/1b3pp1/pp5p/4p3/2n5/1QP1PP2/P3B1PP/2BRK2R b K -,b6b5
3q1rk1/rpp2pbp/3pN1p1/1N6/nPP1P3/5P2/3QB1PP/1R2K2R b K -,f7e6
r1bqkb1r/p4ppp/2pp1n2/4p3/8/1P2P3/PBP2PPP/RN1QKB1R w KQkq -,f1e2
8/5pk1/4p1p1/2R1K2p/3PPP1P/6P1/8/5r2 b - -,f1e1
6rk/1pp4p/p2p1r2/3P3R/2P1q1BR/2Q5/PP6/1K6 w - -,b1a1
8/5kn1/pp1pqrpp/2p5/P1P2PPN/1P1Q3P/8/5RK1 w - -,h4g6
8/p2kpp1p/r7/2p5/1P3PP1/6K1/1PP1R2P/8 b - -,c5b4
2r1r3/2qnbp1k/p2p1n1p/1p1PpNp1/2p1P1P1/2P1B2P/PPB1QP1K/R3R3 w - -,h3h4
8/8/1B4k1/6p1/4pp2/6PP/r2n1P2/2R3K1 w - -,g3g4
8/2R4p/5bk1/p2r2p1/Np3P2/1P6/1PP1K1PP/8 w - -,c7c5
1q1r2k1/1br2pb1/pN1pp1pp/P3n3/1QPNP3/4BP2/2P3PP/1R1R2K1 w - -,d4b3
2r1kb1r/pp1b1ppp/3qpn2/4N3/2BQ4/4B3/PPP2PPP/R4RK1 b k -,f6g4
1r5k/p1p1q1b1/6pp/3B4/2Pp1rn1/5N2/4PP2/2RQ1RK1 b - -,c7c6
r2q1rk1/1bp1npbp/pn1pp1p1/4P3/3PNBP1/R4N1P/1PP1BP2/2QR2K1 w - -,e2d3
1rb1r1k1/p1pp1p1p/2p2p2/4q3/1bBQP2P/2N5/PPP2PP1/2KR3R w - -,f2f3
5r1k/2p3pp/1pqpQ3/5r2/p2PpP2/P1P1P3/1n3RPP/2B3K1 w - -,c1b2
8/2R5/6p1/p1p3kp/3b4/5K1P/P6P/8 w - h6,c7c6
rn1q1rk1/1p2ppbp/p1pp1npB/3P4/4P1bP/2NB1N2/PPPQ1PP1/2KR3R b - -,d8a5
6k1/7p/8/N3p3/P1r5/1p4P1/1P1RKP1P/8 b - -,c4e4
r1b1k2r/ppp2ppp/n4n2/1Nb5/2p1PB2/2N5/PP3PPP/R3KB1R b KQkq -,c8e6:c7c6
8/p3kp2/1p2p3/4n3/PPP3p1/3B4/4KPP1/8 b - -,e5c6
3r2k1/bB3pp1/p3q3/4n2p/4Q3/BP2P1P1/P4P2/5RK1 w - h6,a3b2
5nk1/4Rp2/2r1b3/3p2PP/1ppP1R2/p1P5/PP1K4/8 w - -,c3b4
5rk1/p5p1/1p2pb2/6Br/6RP/8/6P1/3R2K1 b - -,f6g5
rnbq1rk1/1p2npb1/p2p2pp/2pPp3/P1P1P3/2NB3P/1P3PPN/R1BQ1RK1 b - -,b8d7
3rr2k/ppp3pp/1n3b2/3q1p2/3P4/2PBBP2/P3QPRP/1R5K w - -,b1b5
rnbqkb1r/ppp2p1p/5p2/4p3/2pP4/2N5/PP2PPPP/R2QKBNR w KQkq -,d4e5
r2r2k1/1p2qp2/1npbb1p1/5p2/pP1PP2p/P2Q1PP1/3NN1BP/2R2RK1 w - -,d3e3
r4rk1/1npq1pp1/1p1p2n1/3Pp1p1/PNP1P3/R1N5/R1Q2PPP/6K1 w - -,c3e2
8/2bk4/1p1r1p2/p4Pp1/2KBP1P1/8/8/1R6 b - -,d7c6
r3r1k1/1bqn1pbp/p1p2np1/1p2p3/4P3/2N1BN1P/PPPQ1PP1/3RRBK1 w - -,e3g5
1r1r2k1/1b3pp1/pp3n1p/2pp4/3P4/2PNP1PB/P4P1P/2R2RK1 b - -,b7c8
rnb1kb1r/pp2pppp/2p2n2/q7/3PP3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,g7g6
8/8/8/2kp1B2/6r1/4K3/8/8 b - -,g4g3
8/1p6/3p2k1/p2P4/P1P1P1Pp/1P1K3R/4Qr2/6q1 w - -,h3h1
r2q1rk1/1pp3pp/1nn1b3/p1B1pp2/8/P2P1NP1/1P2PPBP/R2Q1RK1 b - -,f8e8
2r1nr2/p4pk1/6p1/2pPP2p/4P2P/2Q3N1/P3bqP1/K2R3R w - -,d1d2
2k5/1p1q1p2/p1p3pp/8/5QP1/2PP3r/2P5/2K1R3 b - -,h3h4
r4rk1/2p1pp2/p5p1/3bN2p/1p3Q2/3B4/1qP1K1PP/3R1R2 b - -,c7c5
r2q1rk1/1p2p1bp/2bp2p1/p1n2p2/2P1P3/1PN2P2/P2QBBPP/1R3RK1 w - f6,e4f5
2r2rk1/p5b1/4q1p1/4p3/PP1pP1pp/8/3N1PPP/2RQ1RK1 w - -,d1b3
r4r1k/p1R3pp/2n2p2/2P1p3/2N1P3/Q5P1/P1n2PKP/2Bq1B2 w - -,c4e3
3r1rk1/ppp3pp/3nb3/3np2P/8/2P1P1N1/PP1QBqP1/R2K1N1R w - -,d1c2
6k1/2q4p/p1r1b1pQ/1p1ppr2/8/1P1N2RP/P1P3P1/3R2K1 w - -,d3b4
r1b1kb1r/pp3ppp/4pn2/8/2BN4/8/PPP2PPP/R1B2RK1 b kq -,f8c5:c8d7:a7a6
q4rk1/r4ppp/p3p3/b1PbN3/1Pp5/4Q1P1/P3PP1P/2R2BK1 w - -,b4a5
3r1rk1/p2n2pp/1p6/4p3/2NP4/P1K2P2/6PP/3RR3 b - -,e5d4
r1bqk2r/ppn2ppp/2pb1p2/3p4/3P4/3BPN2/PPPN1PPP/R2QK2R w KQkq -,e3e4
r2qk2r/pp1b1ppp/2n1p3/1BPp4/4n3/4PN2/PP1B1PPP/2RQ1RK1 b kq -,e8g8
r1r4k/p4pp1/4p2p/1b2P3/3p4/1NnN4/3K1PPP/R5R1 b - -,c3e4
2rr2k1/1b4np/3qp3/2b3PN/1p1N4/2P1Q2B/PR6/K2R4 b - -,b4c3
r4rk1/ppb2bp1/2p5/3p1R1p/1P1N4/4P1q1/PB1Q2B1/5RK1 w - -,f1f3
4r3/1p3npk/2p4p/p1Rp3P/P2P2P1/1P3NP1/6K1/8 b - -,e8e2
8/5kp1/p2r4/1p6/2p5/P1P3PP/1P2RP2/5K2 b - -,d6d1
8/1p2k3/2bpp3/p1n4P/2P4r/1PN2P2/P3BK2/3R4 w - -,d1b1
4r1k1/2RQ1p2/1p2q1p1/p6p/4P3/1P3PP1/P5KP/8 b - -,e6d7
rnbq1rk1/pp2ppbp/2pp1np1/8/2B1PP2/2NP1N2/PPP3PP/R1BQK2R w KQ -,c4b3
8/1p1r1pbk/2nqp1p1/p6p/P3P3/1BP1BQ1P/1P4P1/3R3K b - -,d6e7
r2q1rk1/pb2b1pp/1p2p3/2ppPp2/2P5/1P2PP2/PB1Q2PP/1BR2RK1 b - -,d5c4
1n4k1/p3bppp/4p3/4P3/P2N4/2B3P1/5PKP/8 w - -,f2f4
5k2/pp1r2b1/2p1B3/5Pp1/3PRn2/P3BK2/1P6/8 b - -,d7d6
3rr1k1/1qpn2pp/1p3n2/p3ppN1/2P1b3/BP4P1/P3PP1P/2QRRBK1 w - -,f1h3
rnbqk1nr/pp1pppb1/6p1/2p4p/1P2P2P/P1N5/2PP1PP1/R1BQKBNR b KQkq -,d7d6
2kr2r1/p1q2p1p/1p2p1p1/2p1P3/3p1PP1/1P1P1RQ1/P1P4P/4R1K1 w - -,g1f2
8/R7/1p6/2bPk3/1r3pP1/5P2/P1R5/5K2 w - -,c2d2
r4r1k/pp3ppp/q4nb1/3R4/7P/1BP3Q1/PP3PP1/R1B3K1 w - -,d5d4
2rr2k1/pb1n1p1p/1p4p1/2pPq3/8/4P2P/PQ3PPN/1BRR2K1 w - -,b2b3
8/3R4/5pk1/8/5K2/5N2/7P/7r b - -,h1a1
r2r2k1/ppq2p2/n1p1p1pp/P3P3/R1N5/5QP1/1P2PPKP/4R3 w - -,c4d6
1q2nrk1/2rn1p1p/p2pp1p1/6P1/2P1N2Q/5P1B/P4P1P/2RR2K1 w - -,h4f4
rn1qkb1r/ppp2ppp/4pn2/8/2NP2b1/4PN2/PP3PPP/R1BQKB1R b KQkq -,f8b4
1r4k1/1b2qpb1/p5p1/P1r1p2p/BpNpP3/1P1P4/3Q1PPP/R3R1K1 w - -,a1a2
rr4k1/4pp1p/3p2p1/q2P4/2p1PP2/1Pbb1NP1/PQ1B2BK/3R4 w - -,b2c3
8/5p2/R4nk1/3pB1p1/3P2P1/3KPr2/8/8 w - -,d3e2
1r3rk1/pQ1nbppp/2p1pn2/5b2/3q4/2N3P1/PP1NPPBP/R1B2RK1 w - -,b7c6
8/6k1/3R4/p6p/Pr2PP1K/6P1/8/8 w - -,e4e5
1r3rk1/p4ppp/8/2npPp2/3N4/2P5/qP2QPPP/1R3RK1 b - -,c5e4
8/pp1r4/2p2k1p/4np2/7P/2P2P2/PP1KB2R/8 w - -,d2e3
8/5kpp/5p2/PR1Kp3/8/4P1P1/7r/8 b - -,h2e2
N1b3kr/pp3npp/3p4/8/2Q1PPnb/2N5/PPP3qP/R1B1KR2 w Q -,e1d1
4r1k1/1pb4r/2p2qp1/8/pP1PN1Q1/P4NP1/8/2R3K1 b - -,f6g7
2r2rk1/pp1q2n1/2ppbbn1/4pp1p/PPP2Pp1/1N1PP1P1/1BQ1N1BP/2RR2K1 b - -,h5h4
r4k2/6p1/4pp1p/7P/pR4P1/8/1P2PPK1/8 b - -,a8a7
rnbqkb1r/pp2p1pp/2p2n2/3p1p2/3P1B2/2N1P3/PPP2PPP/R2QKBNR w KQkq -,f1d3
r2qk2r/3n1p2/p3b3/1pppP3/3P2p1/6P1/PPBQ2P1/RN3RK1 w kq c6,b1c3
2rn1rk1/p4p1p/b3qbp1/2pNp3/4P3/P1P3P1/3NQPBP/1R2R1K1 w - -,e2e3
rn1qkb1r/ppp1pppp/5n2/3p4/6b1/1P2PN2/P1PPBPPP/RNBQK2R b KQkq -,e7e6
2rqrbk1/p4ppp/bpn5/2Pp4/4n3/1P2NNP1/PB2PPBP/2RQR1K1 b - -,f8c5
6k1/5p2/R3pbp1/P7/r2p1P2/6P1/6K1/3R4 b - -,g8g7
r1bq2k1/pp1n1pbp/2p3p1/4p3/P1NnP3/2N4P/1PPQ1PP1/1K1R1B1R b - -,d7c5
r1bqr1k1/pp1n1pbp/2p1p1p1/8/2PPp3/1PB2NP1/P1Q2PBP/3R1RK1 w - -,c2e4
5R2/4R3/6p1/P1p1k1P1/2b3n1/r7/8/4K3 b - -,c4e6
8/5P1k/3p2R1/2pPr3/1pP4N/pPnK3P/P3n3/8 w - -,f7f8q
r2q1rk1/pp3pp1/2p4p/3pPb2/3Pn3/P1N1P3/1P3PBP/R2Q1RK1 b - -,d8h4
6k1/R4p2/7p/8/4P1P1/B5b1/2r5/7K w - -,a3e7
r3k2r/4bp2/1qp1ppp1/1p1n4/3P4/p1PBB2P/PP2QPP1/2KR3R w k -,c1b1
1rbq1rk1/1p1nppbp/p1np2p1/2p5/P1P1PP2/2NP2PP/1P2N1B1/R1BQ1RK1 b - a3,c6d4
8/7R/3k2p1/5p2/4r3/5KP1/1B6/8 w - -,h7g7:h7h4
8/1Nk2p2/4pn2/8/P7/1P3K2/8/8 w - -,b7c5
8/8/8/8/3P2pP/p3n1P1/k1K1N3/8 w - -,c2d3
8/3R4/6b1/P1R2kP1/5P2/6KP/r2p4/8 b - -,f5e6
r1b2rk1/pp1p1ppp/1qn1pn2/1NB5/4P3/2N5/PPP2PPP/R2QKB1R b KQ -,b6c5
r3k2r/pp3ppp/4pn2/q7/1b1n4/2N2B1P/PP1B1PP1/R2Q1RK1 w kq -,f3b7
4r1k1/5ppp/p3qb2/Pp6/1B1pn3/1P1Q1NP1/2R1PP1P/6K1 b - -,e8d8
8/5rp1/4p2p/1rP1k3/8/3R1P2/P1R3PP/6K1 b - -,f7c7
7k/1p4pp/2N1Qn2/1Pr5/3q3P/6P1/5P2/4R1K1 b - -,b7c6
r5k1/1rqbbpp1/3p1n1p/p3p3/N1P1P3/BP6/2Q2PPP/1R1R1NK1 b - -,d7a4
8/1pr1k3/p1n1pp2/P1Np1b2/3P1P2/2P5/1P3K2/R6B w - -,b2b4
6k1/p4p2/1p2p2p/3BPp2/1P3P2/P1n1P3/2N4P/6K1 b - -,c3d5
8/4r1k1/3Q2p1/5q2/P1BP4/8/2N2K2/8 w - -,f2g1
3rr1k1/pb1nqppp/1ppbpn2/3p4/2PP4/1PNBPN2/PBQ2PPP/3RR1K1 w - -,e3e4
4r1r1/1kp2pp1/pppbb2p/8/3BP3/P4N1P/1PP2PP1/2KRR3 w - -,g2g4
5k2/3r3p/8/4B1RP/4b1P1/8/7K/8 w - -,e5c3
8/8/7p/6k1/5p2/6K1/8/8 w - -,g3f3
1nb2rk1/1ppn2b1/3p4/3Pppq1/1PP1P1p1/2N5/3NBPPB/Q4RK1 w - -,a1d1
3rr1k1/pp3ppp/2p5/P1bpR2q/1P1N4/2NQ4/B1PB4/5RK1 b - -,h5g4
r2q1rk1/1p1n1pbp/p2p1np1/2pPp1B1/P1P1P1P1/2NQ1N1P/1P3P2/R2R2K1 b - -,g8h8
3r2k1/5ppp/1q3n2/3Pp1b1/6P1/4PB1P/PP6/R1B1R1K1 w - -,b2b3
5BR1/5pp1/p3p1k1/4P3/r1n4p/5K1P/6P1/8 b - -,c4e5
4rrk1/pp2q1p1/2p1b2p/2Rn1p2/2NPp3/1B2P3/PP3PPP/1Q3RK1 b - -,e7g5
8/6p1/5k1p/6n1/5KP1/8/3N4/8 b - -,g5e6
5qk1/2p1rp2/1p1prnp1/7p/1PP1PP1P/5BP1/3QR1K1/4R3 w - -,d2c3
r2q1rk1/4bppp/p3pn2/1p6/1n1P1B2/1BN2b2/PP3PPP/R2QR1K1 w - -,g2f3
8/pB3p2/2p2k2/1n5p/2p2P2/8/PP5K/8 b - -,c6c5
8/8/4pk2/6p1/4P1R1/6pP/4r3/6K1 w - -,g4g3
b5k1/B4ppp/Pp2p3/1rn5/3N1P2/7P/5K2/4N3 b - -,b5b2
6k1/1p3p2/7p/3Q4/1bp3P1/2q4P/P5K1/5R2 b - -,c3d2
r3rbk1/1bqn1p1p/pn1p2p1/1p1PpNN1/4P3/2PB4/P2B1PPP/R2QR1K1 w - -,d1f3
r1b2rk1/1pppnppp/pbn2q2/8/3NP3/N1P1B3/PP2BPPP/R2Q1RK1 w - -,d1d2
rnbqkb1r/pp1ppp1p/2p2np1/8/2PP1B2/2N5/PP2PPPP/R2QKBNR b KQkq -,f8g7
2q1kr2/3n1p2/2p2r2/pp1pP2Q/3P1NR1/1P5P/P5P1/5RK1 w - -,e5f6
8/2pkr2p/3b2p1/8/1p1P4/rR2P3/1R1N2KP/8 w - -,e3e4
8/8/4kBK1/b7/6P1/8/2P5/8 b - -,a5b6
rnbqkb1r/p2p1ppp/1p2p3/3nP3/3P4/5N2/PP3PPP/RNBQKB1R w KQkq -,f1d3:a2a3:c1d2:b1c3:f1c4
r3k2r/1pqbbp2/p3p3/2Ppn2p/1P1N1Pp1/2P5/P2NQ1PP/R1B2RK1 b kq f3,e5c6
2r1k2r/bpqb1pp1/p2ppn2/4n2p/3NPB2/2N3PP/PPP1QPB1/3R1RK1 w k -,d4f3
8/p4pk1/2p1nq1p/3p3P/5P2/1P3BK1/P2Q4/8 w - -,f3g4
3b4/3q3k/1p1p2rp/1NnPpNn1/r3P1P1/6B1/P1Q3RP/1R5K w - -,f5d6
r1q1r1k1/pp5p/5bp1/2pp1b2/4pP2/1BP1P3/PP1NQ2P/2K3RR b - -,c5c4
8/6pp/3k4/3Rp3/2Pp2KP/1r6/8/8 b - -,d6e6
1n1q1rk1/r4pp1/p1pbpn1p/3pNb2/N1PP4/P5P1/1B2PPBP/R2QR1K1 b - -,a7b7
2B5/5kp1/3bp2p/5p1P/p2B1P2/P4bP1/1P5K/8 w - -,c8d7
8/8/1Kb5/4p3/2k5/P1N5/1P6/8 b - -,c6f3
1qr1r1k1/1b1nbppp/pp2p3/3pn3/2P1P3/N1N1BP2/PP1RB1PP/2RQ3K w - -,a3c2
r3k1nr/pp1b1ppp/1q2p3/2b1P3/8/PB3N2/1P1Q1PPP/RNB2RK1 b kq -,b6b3
6B1/k1p3p1/4R1np/1pr5/5P2/1P4P1/7P/6K1 b - -,g6f8
8/1R3p2/1p1r1kp1/p6p/4K3/1P2P2P/P4P2/8 w - -,e4f3
rnbq1rk1/1p2bppp/p3pn2/2p5/2BP4/2N1PN2/PP3PPP/R1BQ1RK1 w - c6,a2a3
8/6p1/3nP2p/3R4/1kp3PP/4PB2/1rp5/4K3 w - -,e1d2
4rb2/1r1k4/p1b1p1p1/2ppPp1p/5P1P/2P3P1/PPNN1R2/2K1R3 w - -,d2b1
8/8/5K2/4R3/3k1P2/8/8/7r w - -,e5e8
2kr3r/pp2b1p1/3p2p1/2pP4/2n3P1/R3B3/PPP2PB1/2K1R3 w - -,a3a7
8/p3np1p/1p3kp1/3q4/4N1P1/3Q1P2/PPP2K1P/8 b - -,f6g7
r1q2rk1/1ppb2bp/2np2p1/p3ppN1/P3P3/2PPB1P1/1P3PBP/R2QR1K1 b - -,g7h6
2rr2k1/5pb1/1p2p3/pN1nN2p/Pn5P/6B1/1P2RPPK/3R4 b - -,g7h6
5K2/kr2R3/8/8/1r4p1/5PP1/1PR5/8 w - -,f3g4
8/R7/n2r1p2/5k2/8/8/5PK1/2R5 w - -,c1a1
5k2/5P1p/1b4p1/1Pr5/2Br1P2/Q5PP/8/7K w - -,a3e3
8/8/p4kp1/3b1p2/2p2KPP/P1P5/1PN5/8 b - -,f5g4
r4rk1/1q1nppbp/p1bp2p1/1pp2P2/4P1P1/2PPBN1P/PPQ1N3/R4RK1 b - -,c5c4
8/6pp/2pk1p2/r3p3/n3P3/2PKB1P1/5P1P/1R6 b - -,a5b5
8/Q4pkp/4p1p1/1r2b3/1pq5/P7/4PPB1/3R1K2 w - -,a3b4
r1bqr1k1/pp3pbp/2pp2p1/4n2n/2PNP3/2N1BP2/PP1QB1PP/3R1RK1 w - -,e3g5
rn1qk2r/p1pp1ppp/b3pn2/4N3/1bpP4/1P4P1/P3PPBP/RNBQK2R w KQkq -,c1d2
8/p2r2k1/P3b1pp/1R1pP3/1Ppn2PP/5BB1/2P3K1/8 w - -,b5b7
4rbk1/2q2pp1/5n1p/2p1p3/2B1b3/2P4P/1P2QPP1/R1B1R1K1 w - -,c1e3
6k1/R4p2/4p3/3p2pp/3P2b1/4P3/5PP1/5K2 w - h6,f2f3
r3r1k1/p4ppp/1pnP1q2/3b4/3P4/B4NP1/P2Q1PBP/R5K1 w - -,f3e5
rn1qk1nr/pp3pbp/2pp2p1/3Pp3/4PPb1/2PB1N2/PP4PP/RNBQK2R b KQkq -,c6d5
1rbr3k/1pq3pp/pR2pp2/2P5/2QP4/6P1/P4PBP/3R2K1 w - -,d1b1
8/Q3k2p/3pn1p1/6P1/8/p4BKP/P7/2q5 b - -,e6c7
7R/8/2Kp4/1Pb5/1r4p1/6k1/5p2/5B2 w - -,h8f8
8/8/8/5K2/7p/5bk1/8/5B2 b - -,f3g2
1rbq1rk1/p3npbp/3pp1p1/1pp5/1P1nPP2/P1N2NPP/2PP2B1/1RBQ1RK1 w - -,g3g4
r2q1rk1/pp1bppb1/3p1np1/7p/3NP2P/1PN1BP2/PP1Q2P1/R3K2R w KQ h6,e1c1
r2qkb1r/1p1n1pp1/2p1pn1p/p2p3b/2P5/PP1P1N1P/1BQNPPP1/R3KB1R w KQkq -,g2g3
r2q1rk1/1p1bbppp/p2p1n2/4p3/1nP1P3/N1N5/PP2BPPP/R1BQ1RK1 w - -,c1e3
r2r2k1/1p2qppp/2pbpnb1/p3N3/2PP1BP1/1Q5P/PP2RPB1/R5K1 w - -,a1e1
1r1q1r2/p3npkp/3pb1p1/1np1p3/4P3/2PPN1P1/P2QNPBP/R4RK1 w - -,f2f4
3nkq2/1p5p/2p2Q2/4N2p/8/6P1/5P2/6K1 w - -,f6g5
rnbqkb1r/ppp1pp1p/3p1np1/8/1P6/5NP1/PBPPPP1P/RN1QKB1R b KQkq -,f8g7
1q3rk1/1bpnn1pp/1p1p4/1N1Ppp2/1PP5/3BPP2/Q2B2PP/R5K1 b - -,e7c8
1rb2rk1/1p2bppp/pq6/1N2p2Q/PP2B3/2P5/5PPP/R2R2K1 b - -,f7f5
r3k2r/1bb1q2p/p4pp1/3np3/2B1P3/PP3Q2/1B3PPP/2KR3R w kq -,c4d5
r1b1k1n1/5p1p/2pBp3/ppPp4/3P4/1P1BPP2/3K1P1P/R7 w - -,d3h7
rn1qkb1r/ppp2ppp/3ppnb1/8/3PP1P1/2N2N1P/PPP1QP2/R1B1KB1R b KQkq -,a7a6
1bkr4/pp3Q2/2p1p3/2P3P1/3Pq2p/P6P/1P1BR1P1/5K2 b - -,e4d4
3rr1k1/1p1n2bp/1p1P2p1/5p2/4p3/4B1PB/PP3P1P/3RN1K1 w - -,g3g4
2r5/7p/p5p1/P2pkp2/1p1Rb3/8/1P4PP/3R2K1 b - -,c8c4
5rk1/6p1/p3p2p/1p6/q6P/3NQ1Pn/PP2PP2/2R3K1 w - -,g1h2
rnbq1rk1/pp2ppbp/2p2np1/3p4/3PP3/1B3N2/PPP1QPPP/RNB2RK1 w - -,b1d2
r1bqkb1r/ppp4p/2n1p1p1/3pPp2/3P2n1/1N3N2/PPP2PPP/R1BQKB1R w KQkq -,h2h3
r2q1rk1/4ppbp/ppn3p1/3pP1B1/P2P4/5N1P/1P2QPP1/R4RK1 b - -,d8d7
8/5k2/p1r1b3/8/1P2R1P1/5P2/7K/8 w - -,h2g3
5rk1/2p3qp/1p1p1pp1/p2Q2P1/2P5/1P2P1P1/P4PK1/7R b - -,g8h8
rnbqk2r/ppp1bpp1/5n1p/3pN3/3P1B2/2NB4/PPP2PPP/R2QK2R b KQkq -,e8g8
rnbq1rk1/p1p1bppp/1p3n2/3p4/3P4/2NBPN2/PP3PPP/R1BQK2R w KQ -,e1g1:c1d2
