8/8/5K2/8/R7/3k1n2/8/8 w - -,f6e6
1r4k1/3n1rp1/p3pnNp/1p1b4/5N2/3B3Q/Pq3PPP/2R2RK1 b - -,b2a2
r4rk1/pbq1bpp1/1p3n1p/4p3/3B3P/2PB4/PPQ1NPP1/2KR3R w - -,d4e3
4k3/2q4p/2P1ppp1/p1Q5/P6P/4P3/5PP1/6K1 b - -,h7h5
r1b1k2r/ppB3p1/2n1q3/7n/4p3/P1Q5/1PP3PP/2KR1B1R b kq -,e6h6
r4rk1/1p2nbp1/p1p2p1p/2PpP3/6qP/P3PN2/1PQ1BP2/2RR1K2 b - -,f7g6
8/r3R3/3P4/4n3/P3Pk2/3K4/8/8 w - -,d3c3
2r5/1p3k1p/4p3/p2pPr2/3R1P2/1P4KP/P7/3R4 b - f3,f7e7
r2r2k1/1pqnn1pp/1bp1bp2/p3p3/P3P3/1N4P1/1PPNQPBP/R1B1R1K1 w - -,d2c4
r1br2k1/q4ppp/p3p3/1p1nP3/3pNP2/3P1N1P/PP1Q1RP1/4R1K1 b - -,c8b7
6k1/1q3pp1/4pb2/1Bp1n2p/4PB2/2P4P/4QPP1/6K1 b - -,g7g6
r3r1k1/pp3ppp/2p4q/2nnP3/5pPP/P2B1N2/PB5Q/R5K1 w - -,d3f5
6rk/5Qpp/8/p4p2/2qP1B2/n5RP/6PK/8 w - -,f7e7
r1bq1rk1/1p2bppp/p1nppn2/8/3PP3/2N2N1P/PP2BPP1/R1BQ1RK1 w - -,a2a4
2rb2k1/1p4p1/p2pp1np/8/1PrPP3/5NPP/5P2/BR3RK1 w - -,f3d2
5rk1/ppp1qp1p/2n3b1/r7/2BP1Bpb/P3P1N1/1PPQ2PP/2KR3R w - -,d4d5
r4rk1/1p2qpp1/p3b2p/8/3bN3/6R1/PPP1Q1BP/2K2R2 w - -,c2c3
r4rk1/pbpnq1pp/1p2p3/3P1pN1/3Pn2P/2N1P3/PPQ2PP1/2KR1B1R b - -,e6d5
8/7p/6p1/2nN1p2/4p2k/4P2P/Pn3KP1/4N3 b - -,c5a4
8/5pk1/3p1ppp/3Pr3/6P1/7P/P2R1PK1/8 b - -,e5e1
rn2k2r/p3bppp/1q3n2/2p3B1/3p4/1N1P4/PP3PPP/R2QK1NR w KQkq -,g1e2
rn1qkbnr/pbpp1ppp/1p2p3/8/2PP1B2/5N2/PP2PPPP/RN1QKB1R b KQkq -,g7g6
6k1/5pp1/1pq1p2p/2p1P3/7P/6P1/PP3P2/3Q2K1 b - -,c6e4
r4rk1/ppp2ppp/2n5/8/1b3B2/5RPP/P1P2PB1/3R2K1 b - -,b4a5
8/5pk1/1n2p2p/p2pP2P/1b1P2P1/3B4/2K5/2B5 w - -,g4g5
8/7p/8/4k1p1/2Pn2K1/2r5/R7/8 b - -,d4e6
r5k1/p3pp1p/4b1p1/b7/8/3R2P1/P1P2P1P/2BR2K1 b - -,e6g4
r2R2k1/5pb1/p6r/Q1p5/2P1qNnp/P3PNP1/5PK1/1R6 b - -,a8d8
r1br2k1/4bppp/p1qpp3/4P3/p1PP4/BQ6/3N1PPP/R4RK1 w - -,b3g3
8/6kp/R7/6P1/1r3K2/5P2/8/8 w - -,f4f5
r1b1kb1r/1p3ppp/pqnppn2/8/P3P3/1NNB4/1PP2PPP/R1BQ1RK1 b kq a3,b6c7
2rr2k1/ppp2ppp/q3p3/5n2/P1P1B3/1P2P1P1/5P1P/2B1QRK1 b - a3,c7c5
r1bqkb1r/p4pp1/2p2n1p/nB2p3/4N3/5Q2/PPPP1PPP/RNB1K2R b KQkq -,f6d5
8/5Q1p/3p2pk/p2Pq3/1p2Pp2/1P3P1P/P5P1/6K1 b - -,a5a4
1r4k1/R4p1p/1rpqpbp1/8/3PQ3/1P2P1P1/5P1P/2R2BK1 b - -,b8c8
1r2r1k1/p2nbpp1/3p1n1p/2pb4/q6N/P1QBP3/1B1N1PPP/1R1R2K1 w - -,h4f5
8/1k6/3n4/P7/1K1N4/8/8/5B2 b - -,d6e8
4r2r/p1n1qk1p/bp1p2p1/2pPnp2/5N2/2N2BP1/PP1QPP1P/4RRK1 w - -,f3g2
2rb4/1p4k1/p1pBp3/P1PpPP1R/1P2p1p1/4P1P1/6K1/8 b - -,e6f5
rn1q1rk1/3nbppp/b1p1p3/pp1pP3/3P4/P2BBP2/1PPQN1PP/R3K1NR w KQ -,f3f4
8/2kb1p2/4p1p1/r2pP1Pp/PR1P1P2/1PN3K1/8/8 w - -,g3h4
rn1q1rk1/ppp1ppbp/3p1np1/5b2/2PP2P1/2N1PN1P/PP2BP2/R1BQK2R b KQ g3,f5d7
4r3/2p3bk/p5pp/2P2p2/PP1B4/3p2PP/5P2/2R3K1 w - -,d4e3
b5r1/7k/p2N4/3P1pq1/4Pn2/5Q2/P5B1/5RK1 w - -,f1f2
2krq1nr/ppp2bpp/2n2p2/3p4/1b1P2P1/1NN1B2P/PPPQ1P2/2KR1B1R b - -,c6a5
8/3p1kp1/4p3/R1p1P3/2P2P1p/8/1r3P2/6K1 w - -,a5c5
5k2/5p1p/p5p1/1p1rP3/3P4/P3KN2/6PP/8 b - -,a6a5
r4rk1/3n1pp1/p3p2p/2qb4/1Qn2B2/P4NP1/5PBP/2R2RK1 w - -,b4c5
4q2k/8/8/5PKP/6Q1/8/8/8 b - -,e8e3
r2q1rk1/1p1b1ppp/3p1n2/p3p3/1nPPP3/1PN2PP1/4N1BP/R2Q1RK1 w - -,g1h1
8/8/1N6/p2K4/Nk6/8/8/8 b - -,b4b5
3rk2r/pp3pp1/n1p5/3nb1p1/NP4P1/P3P2P/2RB1PB1/4K2R w Kk -,e1e2
8/6B1/8/3k1p1p/b4P2/2pp2P1/2P5/3K4 w - -,g7c3
2r5/3k1p2/r2p1p2/N3pP1p/1PK5/8/P4RP1/8 w - -,c4b5
r1b2rk1/1ppnbppp/p1p1q3/4p3/3PP3/4BN2/PPPN1PPP/R3QRK1 w - -,c2c3
r3k2r/pp3pp1/1np1p2p/2bnP3/4N2P/5N2/PP2KPP1/2RR4 w kq -,e4c5
8/1pkb1r1p/p2p2p1/4p3/2P1P3/1KP2B2/5PPP/1R6 b - -,b7b6
r4rk1/ppqb1ppp/2n5/3pb3/8/2PB2N1/PP3PPP/RN1QR1K1 w - -,b1d2
r4rk1/p3pp1p/1p4pb/1N2P3/Q1PR4/5P1q/PP3P1B/6K1 w - -,a4d1
r2r2k1/pp2bpp1/2n2n1p/2p1pP2/P1N1P3/2PQ2P1/1P4BP/R1B2RK1 b - -,d8d3
5rk1/pp2R1p1/2q4p/3r4/2p4Q/P1P5/1PP5/1KR5 b - -,d5g5
8/3r1pkp/p1R3p1/4p3/4q3/1P5P/P4PPK/2Q5 b - -,a6a5
r1q3k1/1pp1n1rp/p2p4/3Pp1p1/4Pp2/2NQ1P1P/PPP2KP1/R5R1 w - -,c3e2
rnbqkb1r/pp2pp1p/3n2p1/8/5B2/2N2N2/PPP2PPP/R2QKB1R b KQkq -,f8g7
r4rk1/p2b1pbp/4p1p1/q1ppP3/3Pn3/1QN1BN2/PP3PPP/R4RK1 w - -,b3b7
r1r3k1/pb2qpnp/1pp1p1p1/2P3Q1/1P1P2nP/1B3NN1/P4PP1/3RR1K1 b - -,g4f6
3r2k1/6p1/4p2p/2n2p2/2P5/6P1/5P1P/4NBK1 w - f6,h2h4
3q4/1b3k2/pp1r1npp/3pQp2/8/5NPP/PP2PPB1/3R2K1 w - -,f3d4
r3k3/pp1nnpb1/1qp1p1p1/7r/4pP1P/2NP1Q2/PPPBB3/2KR3R w q -,d3e4
r1bq1rnk/pp6/2np3p/2p1p2P/4P3/3P2P1/PPPQNPB1/R3K2R w KQ -,f2f4
3r1k2/bp3pp1/p1n2q1p/5N2/3pRB1P/1PP2KP1/3Q4/3R4 b - -,f6f5
r7/8/8/P1k1pp2/R7/4K3/6P1/8 w - -,a4a1
r1bq1r1k/pp4bp/2p3p1/3BPp2/2P5/1P4P1/PB2Q2P/RN3RK1 b - -,c6d5
r3k2r/p4ppp/1pn1pq2/2Bp4/1P6/P1P1PB1P/5PP1/Q4RK1 w kq -,c5d6
2rrn1k1/p3qpb1/1pp1b1pp/4p3/2P1P3/P3B1PP/1P2QPB1/1N1R1R1K b - -,e8d6
5B2/1pqk2p1/4p1Bp/1P1b2PP/3p3b/P7/4Q2N/6K1 w - -,h2f1
r4r2/3q3k/4p1pB/p1p1P2p/1p1pP2P/2P3Pb/PP1Q3K/R7 b - -,h3g4
rn1qkb1r/pp1n1pp1/2p3b1/3pPpP1/3P3p/2N1B2P/PPPN4/R2QKB1R w KQkq -,c3e2
7k/5r2/4N1p1/3P3p/Pp4n1/8/1P2BrP1/4R1K1 b - a3,f2f5
brr3k1/4qppp/p7/P1P1p3/1P2PpP1/7P/3Q2B1/2R2RK1 b - -,c8d8
8/5rk1/2P5/pp1pQ3/3PpP1P/4P1r1/PP6/1K6 b - -,g7h7
2r3k1/1p3pqp/p5p1/4n3/2r5/P1N3QP/1P3PP1/2R1R1K1 b - -,f7f6
rn1qk2r/p3ppbp/1p3np1/8/2PN4/6P1/PB2PPKP/RN1Q1R2 b kq -,e8g8
5rk1/1R3pp1/7p/4P3/1p6/1P2r2P/5PP1/6K1 w - -,f2e3
2kr3r/1p2bp2/pqn1p3/1B1p3P/Q5P1/2N5/PP3P2/2KR3R w - -,b5c6
r5k1/1pp3b1/3p1r2/p1nPpp1R/2P5/2N5/PPB2PP1/2K4R w - -,c2f5
8/8/2p5/4k3/2P5/4P3/5K2/8 b - -,e5e4
r4rk1/1p3ppp/1pn1pnb1/1N1p4/1b1P1BP1/4PP2/PP3K1P/R4BNR w - -,h2h4
rn2kbnr/ppp1pppp/8/3q1b2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq d3,d5e4
8/5pk1/8/6p1/2r3P1/8/R5K1/8 w - -,g2g3
r1b2rk1/1p3ppp/pbn2n2/6B1/2B5/1N3N2/PP3PPP/3RR1K1 b - -,c8g4
4r3/3k1p2/3p1Pp1/2r5/1pB1b2p/1P6/P1P2R1P/3R2K1 b - -,c5g5
r1r3k1/1p2bpp1/1qn1b2p/p2pPp2/3P3P/P1N2NP1/1P3PK1/1RBQ1R2 w - -,c1e3
8/8/2p5/p1Pr2pk/2R5/P3KP2/8/8 w - -,e3e2
1rq4k/n3n2p/2pR2p1/p1P1N3/PP3P2/6Pb/Q3PK1P/8 w - -,a2a1:a2b2
r3k2r/3nqpp1/p2bp2p/1ppp2P1/1n1P1B1P/2N1PP2/PPPQN3/1K1R3R w kq -,g5h6
8/pp1n2k1/2pp2p1/6Pp/2PP4/1P3P2/1PN1K3/8 b - -,d7b6
5rk1/1bB4p/rp3bp1/2Pp1p2/8/1Q5P/P4PP1/4N1K1 w - -,c5b6
1rbqr1k1/2p3p1/1bn4p/1p1npp2/4N3/2PP1N1P/1PB2PP1/R1BQR1K1 w - f6,c2b3
8/1p3r2/p1pk4/P1R2p1p/3BPKp1/6P1/2P5/8 b - -,f5e4
r1bqr1k1/1p1n1ppp/2pb1n2/3pp3/p3P3/2PP1NP1/PP3PBP/R1BQRNK1 w - -,h2h3
6r1/2k5/2p1pP2/3p1p1P/8/6P1/2P4K/4R3 b - -,c7d6
r4bk1/p1N1qp1p/1n4p1/3pB3/8/1b4P1/1P3PBP/R3Q1K1 b - -,a8c8
r1b2rk1/ppq1pp1p/2n2bp1/8/8/BBP2N2/P2P1PPP/R2QR1K1 w - -,e1e3
r6k/6b1/7p/8/3q2p1/3Q4/3N1PPP/5RK1 w - -,d3c2
r1brk3/1p2bppp/p1np2q1/8/1PP1PB2/5N2/P3B1PP/R1Q2K1R w - -,f1f2
3r2k1/1p5p/p1r1pbp1/P1p5/R4P2/1P1B1R1P/2P3PK/8 b - -,d8d4
5rk1/2q5/3pP1pp/1p4b1/2n1pp2/1Np3RP/2B1QPP1/2B3K1 w - -,g3c3
3r2k1/4bp2/2p1pp1p/qp6/1npPP3/2N3P1/1P1NQPKP/3R4 w - -,e2g4
R7/5pk1/3p2p1/4p3/1b2P2P/1P4P1/5K2/2rB4 w - -,f2e2
r2r4/ppq1kppp/3bpn2/1Qp5/2P5/2B4P/PP3PP1/2KRRB2 w - -,g2g3
r1bq1rk1/ppp1bpp1/2np3p/4p2n/2B1P3/2PP1NB1/PP1N1PPP/R2Q1RK1 b - -,h5g3
r7/8/8/5K1P/8/5k2/8/8 w - -,h5h6
2rr2k1/pp1qb1p1/2p1p1p1/3n1p2/1P1P1P1P/4P1P1/P2BQ1B1/1R1R2K1 w - f6,g3g4
3rr1k1/pb3p2/1p1bpp1p/8/2P2q2/1P6/PB2QPPP/1B1RR1K1 w - -,g2g3
r2q1rk1/3bppbp/3p1np1/p3n3/p2NP1PP/1BN1BP2/1PPQ4/R3K2R w KQ -,c3a4
8/kpp1Rn2/p4Pq1/6P1/P7/2P1RN2/6K1/8 w - -,e7f7
r4rk1/5ppp/3N4/4P3/p4B2/P6P/1q2NbP1/R2Q3K w - -,e2g3
2rq1rk1/4bpp1/p2p1n1p/1p1Pp3/6P1/P3BB2/1PP2P1P/3QRRK1 w - -,g1h1
3rr1k1/1b2qp1p/p1p1n1p1/1p2P3/4B2P/1P3N2/P1Q2PP1/2RR2K1 b - -,c6c5
b4rk1/4bpp1/1q2p3/n1p1P2p/2PN1P2/1p3NP1/1P1B2BP/2Q2RK1 b - -,c5d4
r5k1/p4ppp/1p6/5n2/2pP1PN1/4r3/PP2K1P1/R7 w - -,g4e3
2rr4/pb2npkp/1p2p3/2p5/3P4/P1PBKP2/2P1N1PP/3RR3 w - -,e2f4
r2q1rk1/ppp1ppbp/6p1/3P3n/4P1b1/2N1BB2/PP3PPP/2RQK2R b K -,g4f3
r1b2r1k/1p2b1np/1npp1p1B/p3p1pq/P2PP1N1/2N4P/BPP1QPP1/3RR2K b - -,h5h4
4r2k/p1qQ2pb/1pP4p/3B4/1P3p2/P3p1P1/5P1P/2R3K1 b - -,e3f2
r5k1/p3b1pp/bqp1p3/3nn3/1pp1N3/1P4P1/P1Q2PBP/R1BR2K1 b - -,c4c3
r1bqkbnr/ppp2ppp/2n5/8/2Pp4/P3PN2/4B1PP/RNBQK2R w KQkq -,e3d4
r1b1kb1r/p1q1pp1p/2p2np1/4p3/2B2P2/2N1B3/PPP1Q1PP/3R1RK1 b kq f3,c8g4
2rqk2r/pp2ppb1/2npb1p1/5P2/1PP1P2p/P1N1B2P/3QB1P1/2R2RK1 b k -,g6f5
4Qbk1/6p1/4p1pp/3pP3/3q4/8/5PPN/6K1 w - -,e8e6
r2r2k1/1b2n1pp/1pp1q3/3p1p2/1P1Pn3/1QN1P1P1/5PBP/2RRB1K1 w - -,b4b5
3rr1k1/1ppqbppp/p1n1bn2/3p2B1/3P4/P1NB1N1P/1PPQ1PP1/R3R1K1 b - -,e6f5
1rr5/3n1p1R/3p1kp1/4p1P1/bp2P3/3B1P2/1PP5/1N1K3R b - -,f6e7
2r2r1k/4bpp1/2p1pnN1/3q2BP/3P4/pP1Q4/P4P2/1K1R3R b - -,f7g6
8/p1r2pk1/4p2p/1p2Np1P/1q1P4/1Pn2Q2/P4PP1/5RK1 b - -,b4d4
r4rk1/5pbp/2ppq1p1/pPn1p3/P1PnPP2/2N1B1P1/6BP/R2Q1RK1 w - -,b5c6
r2r1k2/p4ppp/8/1Bpn1N2/1n6/5P2/PP4PP/2KR3R w - -,a2a3
3K4/2p1P3/1p1B4/p7/1kP3R1/8/4r3/8 b - -,c7d6
2r2rk1/pbqnbpp1/1pp1p2p/3pP3/2P2P2/1PNBP3/PB2Q1PP/3R1RK1 b - f3,d7c5
1rq2b1k/5bpp/p4p2/1pp1n3/P3QN2/2PP2P1/1R1BP2P/5RK1 w - -,a4b5
7R/8/8/pK3kp1/8/r6P/8/8 w - -,h8f8
8/1p6/p3kp2/4p1pp/b7/2B1PP2/1PR2KPP/3r4 w - -,c2d2
r3r3/1p3pkp/p1np1qp1/2p4P/2B2P2/4P3/PPPQ4/2K1R2R b - -,g7h8
1k2b3/R1n5/3p4/1p1Pp1K1/1P2P3/2N5/4B3/8 b - -,b8a7
r1bq1n1r/1p3k2/1bp2P1p/3p1BPP/1P1P2Q1/2P5/4N1P1/1RB1K2R b K -,h6g5
1kn5/1pprn3/p4qp1/3p1p1r/3P1P1p/2PBRN2/PP2Q1PP/4R1K1 b - -,h5h8
8/r2n1pk1/2R3p1/7p/4P2P/3N1PK1/6P1/8 b - -,a7a3
8/6kp/5b2/5Pp1/Q2p2P1/P1r1p2P/2P1K3/8 w - -,e2d1
8/6pp/p1k1p3/Pp6/3PP3/2r5/1R2K1PP/8 b - -,c3a3
3r4/ppb2kp1/4pn1p/2p5/P1N5/1P2PP2/4K1PP/4B2R b - -,f6d5
r3k2r/ppqn1ppp/2pbpn2/3p4/4P1b1/3P1NP1/PPPNQPBP/R1B2RK1 w kq -,f1e1
r1b1r1k1/2qnbppp/p1npp3/1p2P3/5P2/1NNB1Q2/PPPB2PP/4RR1K w - -,e5d6
r4rk1/p2n2pp/1pb2q2/2ppp3/3P4/P1P2N2/1P1N1PPP/R2Q1RK1 w - -,d4e5
2r3k1/rq2b2p/p1p1pp2/3p2p1/N2Pb3/1P2P1B1/P4PPP/2RQ1RK1 w - -,h2h4
r2qkb1r/pbpn1ppp/1p2pn2/3P4/3P4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,e6d5
r1bq1rk1/pp1n2b1/2p3pp/4p2n/2P1PP2/1PN2N2/PBQ2PBP/R4RK1 w - -,f4f5
r7/8/1p1k4/2p2p1P/P1B5/2N1P3/5K2/8 b - -,d6e5
6k1/1pp5/p5pp/Rr3p1P/3P1P2/8/P5P1/6K1 w - -,a5a4
8/6k1/4B3/4N1KP/5PP1/8/8/7r w - -,f4f5
5k2/5p1p/4p1p1/p1p5/P1P1KP2/6P1/7P/8 w - -,g3g4
8/R3n2B/4k3/2p3p1/P1P2b2/8/1PK5/8 w - -,a4a5
r1b1qrk1/ppp3bp/6p1/2pPp1n1/2P1B3/2N2PP1/PP5N/R2QK2R w KQ -,h2f1
1qr2k2/4ppb1/7p/3N4/2p3Q1/1P4P1/4PP1P/1R3RK1 b - -,c4c3
2r3k1/3qp2p/1prpp1pb/pR6/P2pPP2/3P4/1PP1QRPP/2B2K2 w - -,f1e1
rn1q1rk1/p5bp/3p2p1/1ppPp3/2P1P3/4B3/PPQ1N1PP/R3K2R w KQ b6,c4b5
6k1/p4p1p/1p2p1p1/8/3r4/1P4P1/Pn3P1P/2R2BK1 w - -,c1c7
8/3k4/R2b4/3p4/3P4/3KP3/7r/3N4 w - -,d1c3
7r/5k2/5p2/2R1b1p1/P5P1/4BK2/P4P2/8 b - -,f7e6
r2qkbnr/p2b1ppp/2n1p3/3pP3/1p1P4/p1PB1N2/5PPP/RNBQ1RK1 w kq -,c3b4
r4rk1/5ppb/p1pqpn1p/3pN3/3P4/2P4P/PP1N1PP1/R2QR1K1 w - -,f2f3
5RR1/ppk4r/3np3/3p3P/2p4K/2P4P/PP6/8 b - -,e6e5
2r1b1k1/p4ppp/2Nq1n2/8/Q1Pp4/6P1/PP3PBP/R5K1 w - -,a4a6
r6r/5pk1/p1pp2p1/4b2p/P3PpPq/1P1R1Q1P/2P1NP2/6RK b - -,h5g4
r3r1k1/p4nbp/3p2p1/1Ppq4/3p4/1P3PPB/P2B3P/2RQ1RK1 w - -,f3f4
8/5pk1/4p3/2K1P1p1/1P2P2p/8/R7/1r6 w - -,a2h2
r1bqkb1r/ppn1ppp1/2p2n1p/8/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,c8f5
5r1k/1B1R2pp/8/pNn5/P2pp3/1P1n2P1/7P/1R4K1 b - -,c5d7
3r2k1/3r1pp1/1q2b2p/4p3/ppPnP3/1P2N1PP/1Q3PBK/1R2R3 w - -,b3a4
5r2/3q1pkp/r2P2p1/1b2p3/1P6/p1N2P2/2PQ2PP/2KR3R b - -,a3a2
8/p1p1N1pk/1qp3bp/4p3/2P1p3/Pr1P1R1P/1P4Q1/2K5 b - -,g6h5
3r1rk1/pp2p1bp/2p3p1/q4b2/2PP4/1PN1PB2/P2Q3P/3R1RK1 w - -,c3e2
8/4kp1p/3p2p1/2nPp3/1r2P1PP/1pN2P2/1P1R3K/8 b - g3,f7f5
2kr1bnr/p1p2pp1/2p4p/4P3/2Pp4/5NPP/PP2PP2/R1B1K2R w KQ -,c1d2
r1b1k2r/1p2npb1/pq1p3p/2pPn2P/P3Pp2/2N1B3/1PQ1B1P1/R3K1NR w KQkq -,e3f4
r2r1nk1/pp5p/5pp1/P2P1P2/1PB1qb2/2B5/1Q3P2/R2KR3 b - -,e4c4
2r1n1k1/rqp2ppp/1p2p3/pP2P3/8/P3P3/1B2QPPP/2R2RK1 w - -,c1c6
r2q1rk1/1p3ppp/pb3n2/3pB3/8/1P1BP3/P3QPPP/R4RK1 b - -,f8e8
8/4k1p1/2b2p1p/8/7P/r5P1/3R1KB1/8 b - -,c6b5
1Nb2rk1/2q1ppbp/p4np1/4p3/1p2BP2/4nQN1/PPP3PP/R4R1K w - -,f3e3
4q1k1/1p3p2/p3b1p1/P1Qp3p/1P3P1P/2P3P1/5KB1/8 b - -,e8a4
6k1/8/8/1KPN2p1/4bp2/P1R4r/8/8 b - -,h3h6
r1b1k2r/p1nqb1pp/2p2p2/2p1p3/Q1N5/2NP2P1/PP2PP1P/R1B2RK1 b kq -,c7e6
8/5k1p/7P/2r2Pp1/1p6/3B2K1/P1P5/8 b - -,f7f6
5rk1/7p/3r1Bp1/1B6/N7/P3p1P1/3n3P/5RK1 w - -,f6e7
r1bq1rk1/1p3pbp/4p1p1/p2n4/8/P1N1BP2/1PP1N1PP/R2QK2R w KQ -,c3d5
r2q1rk1/pbpn1ppp/1p1bpn2/3p4/2P5/1P1PPN2/PB1NBPPP/R2Q1RK1 b - -,a7a5
r4nk1/1bq1brpp/pn2p3/2ppP3/1p4P1/1P1P1NNP/P1PBQ1B1/R4RK1 w - -,d2e3
8/3q2k1/3p2p1/3Pp2p/pN2b3/P1Q1K1P1/7P/8 b - -,d7f5
8/8/8/4k2K/R3P3/4Bn2/5Pr1/8 b - -,g2g8
r1bqr1k1/1ppnbppp/p4n2/3p2B1/3P4/2NBP3/PPQ1NPPP/R4RK1 b - -,h7h6
4k3/1b1r1pn1/pp2p3/3pPp2/PP1K2Pp/3B3P/5R2/2R5 w - -,g4f5
r5kq/3brp2/2p3p1/pp1p1P2/6R1/1PN4P/P1PP1Q2/1K3R2 w - -,f5g6
6k1/1p3p1p/4b1p1/pP1p4/n2r2P1/4B3/4BP1P/R5K1 b - -,a4c3
R3b3/4qrkp/3p3Q/2pPbpP1/1r5P/2N1P1B1/1P4P1/4R1K1 b - -,g7g8
8/8/5kpp/p1r1pp2/1p1p1P1P/3P2K1/PPP1R3/8 b - -,e5f4
k2r3r/1p2bpp1/pn2pnp1/1Np5/3PPBP1/1B3P1q/PP2Q2P/2R2RK1 w - -,d4c5
8/p4Pk1/1p2K3/3N4/3p4/2nP4/8/8 w - -,d5c3
4r3/pp3kbp/2p5/3r4/P2Pp3/2B5/1P3PPP/3RRK2 w - -,d1d2
