8/Bp4k1/6p1/3P3p/P3P1bb/8/2K5/8 w - -,a7d4
7r/1p4R1/p6p/3bkp1P/8/P7/1P2NPP1/6K1 w - -,f2f3
1k3bN1/pp6/4p3/3pP3/1PnP1P1P/P4N2/7K/8 w - -,f3g5
rn2r1k1/pb3p2/1p3qP1/3p4/8/3BP3/Pp5Q/1K1R3R b - -,e8c8
8/3b1qpk/2p5/2Pp3p/3Pp2n/4P1QP/N5P1/5NK1 b - -,h4f5
4q1k1/1p1r2pp/pBN1p3/2QpPp2/bP3P2/P2P4/6PP/2R3K1 b - -,a4c6
8/ppR5/2p2p2/5kpp/PK1P4/BP6/2r5/8 b - -,b7b6
r3r1k1/6bp/p5p1/1p6/1P1pQ3/P2N2P1/1R5P/3R2K1 b - -,e8e4
3r4/5pk1/Q3p1p1/2q1P2p/P7/1p2P1P1/1P1n2BP/3R2K1 w - -,g1h1
2q2rk1/3nbppp/4pn2/p2p4/N1b5/P3BNP1/1PQ1PPBP/2R3K1 b - -,c8a6
r1bq1rk1/p5Bp/2ppp1p1/2pn4/N7/1P3N2/P1PPQPPP/R3R1K1 b - -,g8g7
r2q1rk1/1b1n1pbp/p2p1np1/1ppPp3/4P1P1/2PBBN1P/PP2NP2/RQ2K2R b KQ -,c5c4
8/KP1q4/8/8/4Q3/8/8/6k1 w - -,a7a8
4r3/5qpk/pp2p2p/3b1p2/3B1P2/3R2QP/3R2PK/2r5 b - -,e8c8
2q1k2r/1p2bpp1/p4n2/3pBb1p/3P3P/1Q3B2/PP1N1PP1/5RK1 b k -,e8g8
r5k1/pp1b4/2n4p/3P1pp1/3q4/P2B1PN1/1P4PP/R3Q2K b - -,d4d3
r2q1rk1/1p1nbpp1/p1n1p2p/3p1b2/N7/PP1PPN2/1B2BPPP/2RQ1RK1 b - -,a8c8
1nr2r2/1pq1ppk1/p2p1np1/3P3p/1PPQ1P2/P3N3/4B1PP/1R3R1K w - -,f1f3
6k1/p1q1B2p/1p3pp1/1P6/8/P6P/4Q1PK/8 w - -,g2g3
2q2rk1/pb4pp/7r/1p1PN3/2P1QP2/7P/P4RP1/5RK1 w - -,c4b5
r1bqkb1r/pp3p1p/n2p1np1/2pP4/5B2/2N1PN2/PP3PPP/R2QKB1R b KQkq -,a6c7
r1b1k1nr/pp3ppp/2n2q2/3p4/Q2p4/5NP1/PP1NPPBP/R4RK1 b kq -,g8e7
8/5p2/6pp/4k3/4p1P1/4N1P1/n2K4/8 w - -,e3c4
2r2rk1/p1pq1pb1/1pnpbnpB/3Np2p/2P1P2P/3P1PP1/PP1QN1B1/2R1K2R b K -,f6h7
2r1k3/P7/4p1p1/1KB3P1/5P2/8/8/8 w - -,c5d6
8/4kp2/5p2/5Pp1/1pr5/1R2K1P1/7P/8 w - -,e3d3
3r4/1k1r1ppp/8/1p1NP3/8/2P5/6PP/R2R2K1 b - -,d7d5
8/5ppk/1p3n2/4pP2/8/P4QB1/1r1q3P/3R2K1 b - -,d2g5
8/6p1/PR5p/4p2P/r2kp3/6P1/2K2P2/8 w - -,c2b3
r1r3k1/pq1n1ppp/P3pn2/1pp5/3PPB2/2PQ1P2/4N1PP/R4RK1 b - -,b7c6
3q1rk1/1pp1ppb1/rnn1b1pp/1NB5/8/P2P1NP1/2Q1PPBP/1RR3K1 b - -,d8d7
6k1/6p1/R4p2/2N1p2p/8/1NnPPKP1/p4PBP/1r6 w - h6,h2h4
8/8/3k4/2pr2P1/7P/2R5/5PK1/8 b - -,d6e5
rnb1k2r/pp2ppbp/6pn/8/3p2q1/N1PBBN2/PP3PPP/R2QK2R w KQkq -,c3d4
8/3n1p1k/8/6Pp/4P3/P4PB1/1P4K1/8 w - -,f3f4
r3rnk1/5qpp/pppbb3/3p4/1P1PPp2/P1BB1PP1/2Q4P/4RRNK w - -,e4e5
3r2k1/p1b3p1/1pr2p1p/4p3/P2P1P2/2P2R1P/3BK1P1/R7 w - -,f4e5
4q2k/5pp1/p2b3p/1ppP4/2n3Q1/2B2N1P/P1P2PP1/6K1 b - -,c4e5
3r1r1k/4n1b1/1p1p3p/pNp1pqp1/2P5/PP1PP2P/1B3PQ1/2RR2K1 b - -,e7g6
3r4/pp3Qbk/4p1pp/4q3/6P1/2PrN3/PP2R1KP/4R3 b - -,d3e3
5bk1/5p2/p3p1p1/3p3p/Pp5P/1P1Q2P1/1P1R1P2/2q3K1 w - -,g1h2
6k1/5p1p/6p1/3B4/8/p2RPKP1/Pbr2P1P/8 b - -,c2c3
4rrk1/2pp2pp/1p2n3/p3PR2/2P3P1/qPB3KP/P1Q5/5R2 w - -,h3h4
1rb3k1/5ppp/2p2n2/1qr3N1/p2pP3/6PP/Pn1B2B1/KQ3R1R b - -,c5g5
8/4kppp/2p1p3/3pP3/1P6/r4P2/P1P1KP1P/R7 w - -,f3f4
4rrk1/3qp1bp/3p2p1/1NpPP3/PnQ2Bn1/1P4P1/4N2P/1R3RK1 b - -,g7e5
1b4r1/6pk/7p/2P4q/1P6/5p2/5Q1P/3R1N1K b - -,g8e8
r3r1k1/pbq1bppp/2nppn2/2p5/2P1PP1N/1P4P1/PB4BP/RN1QR1K1 w - -,b1c3
1Q6/5k1p/6p1/8/5n2/8/3Kr2P/8 w - -,d2d1
2r3k1/ppq1ppbp/3pbnP1/8/2r1P1P1/1NN1BP2/PPPQ4/1K1R3R b - -,f7g6
r2r2k1/1p2bpp1/p1p1bn1p/q3p3/2P1P2B/P1NB4/1PQ2PPP/2RR2K1 w - -,c3b1
8/2p3pp/3k2p1/P1R5/3P1P2/2P4P/5r1K/8 w - -,h2g3
r2n4/2R1B1pp/6k1/4pp2/8/6PP/4PPK1/8 w - -,c7c5
3r2k1/p3Qpp1/8/2P2q1p/8/P4N1n/1P2R1B1/3rRK2 w - h6,e7e4
1nr3k1/p3qppp/bp2p3/3nP3/Q2P4/P4NP1/1P1N1PBP/4R1K1 w - -,d2e4
3rR3/2kP4/4BK2/4P3/7p/1p6/8/8 w - -,e8d8
r2q1rk1/p3bppp/bp2p3/8/1n1PPB2/4RNP1/P4PBP/R2Q2K1 b - -,g7g5
rnb1k2r/pp1n1ppp/2p5/2b1p1B1/P1B1P3/2N2N2/1PP2PPP/2KR3R b - -,f7f6
r2qk2r/p1p2pp1/2ppbn1p/8/1b2P2B/2NB1Q2/PPP2PPP/R3K2R b KQkq -,g7g5
8/5p2/8/r1pk3p/P3p2P/R1K1P1P1/8/8 b - -,f7f5
8/8/5k2/2r1pp2/R1B1p2p/4P3/4KP2/8 w - -,e2f1
r1bqkbr1/p2n1p2/2p1pn2/1p2P1B1/2pP3P/2N3P1/PP3P2/R2QKB1R b KQq h3,g8g5
q5k1/3nppb1/1p1p2p1/rNnP3p/1QP1P3/R3BPPP/4B1K1/8 b - -,a5a3
r2qrbk1/1p1n2p1/4bp2/2p3B1/p2pP3/5P2/PPPQB2P/1KNR3R w - -,g5h4
r2r2k1/qp1b1ppp/4pn2/p1bp4/1nPP4/1P2PNP1/PB2QPBP/R4RK1 w - -,d4c5
1rbq1rk1/p4ppp/2p1p3/8/1b6/PQn3P1/1P2PPBP/R1B2RK1 w - -,b2c3
r1b2q2/pp1nn1bk/5r1p/2p1pp1B/2P4N/BPN3P1/P4P1P/1R1QR1K1 w - -,d1c2
rnbq1rk1/pp3ppp/5n2/2bPp3/8/2NB1N1P/PP3PP1/R1BQK2R b KQ -,f6d5
q3r1k1/1bR3pp/1p2pp2/bB1pN3/3P1P2/Q3P3/5P1P/6K1 b - -,a5e1
4b3/ppr1k1pp/4pp2/3n4/2NP4/P2BP3/3K1PPP/R7 b - -,h7h6
6k1/5pp1/1R2p2p/8/3P4/r3PPKP/5NP1/5b2 w - -,b6b8
3r4/p1p2kp1/1p3pn1/7R/2PP1pP1/P1PK1N2/5P2/8 w - -,h5d5
4b2k/8/p7/2p2p2/P1P5/1r1N2PP/7K/4R3 b - -,e8a4
8/8/4r2p/6pk/2R4P/4bP2/4P3/5K2 w - -,h4g5
7r/1kP1n3/pB3p1p/Pp3p1K/4bP2/4N3/8/2R5 w - -,b6d4
8/5K2/Q7/3B4/k7/6p1/8/4q3 b - -,a4b4
5bk1/5p1n/3p4/3P3p/3pP1p1/2BN1PPB/5K1P/8 b - -,d4c3
2rq1r1k/1b3p2/p2b1n1p/1p2p1p1/4Pn2/P1N2NBP/1P3PP1/RB1QR1K1 w - -,b1a2
r2qk2r/ppp2pp1/2n1bb1p/4p3/3pP3/2NP1NPP/PPP2PB1/R2Q1RK1 w kq -,c3d5
r1b1k2r/pp1n1pp1/5n1p/q2p4/1bpP3B/2N1PN2/PPBQ1PPP/R3K2R b KQkq -,e8g8
r2n1rk1/2pb1ppp/pb6/1p4B1/4P3/1BP5/PP3PPP/RN2R1K1 b - -,c7c5
8/P1R3p1/5k2/Pr2pp1P/4p3/4P2P/5P2/1nK5 b - -,b5a5
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/P2BBP2/1P4PP/RN1QK1NR w KQ e6,d4d5
6k1/1p1q3p/p4pp1/P1B1p1b1/1Pp1P3/2P2P2/2Q3PP/6K1 w - -,c2e2
1n1q1rk1/r1p2ppp/1p2pn2/8/1pNP4/P3P1P1/1P3P1P/RN1Q1RK1 w - -,b1d2
r2q1rk1/2p1bppp/p3bn2/n2pN3/B3P3/2PP4/3N1PPP/R1BQ1RK1 b - -,d5e4
r2qr1k1/pp1bppbp/6p1/P3N3/2Pp4/2nP2NP/2P2PP1/R1BQR1K1 w - -,d1f3
rnbqk2r/pp2ppb1/3p1npp/2p3B1/2B1P3/2PP1N2/PP3PPP/RN1QK2R w KQkq -,g5h4
8/5Qpk/4pp2/4qn1p/4N3/5PP1/6PK/8 b - -,f5d4
r3k1nr/pp1b1pp1/2pp3p/2b2P2/3pP2q/1B1P4/PPP3PP/RNBQ1RK1 w kq -,b1d2
8/8/1p1k2p1/pP1pN1Pp/b2P3P/4P3/8/4K3 w - -,e5g6
4k3/3p1p2/6p1/2P1PpPp/pb5P/2r1B3/4K3/3R4 b - -,b4c5
r1bqkb1r/pp1n1ppp/3ppn2/2p5/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQkq c6,f1e2
7k/1pp2Bp1/7r/2p1q3/2P5/P3r3/1P2QR1P/7K w - -,e2g4
7r/ppk1b2p/2pq1p2/7Q/3Pp3/6P1/PPP4P/R4RK1 w - -,c2c3
5k2/5p1p/1R1pB1p1/3br3/4p3/8/5PPP/2R3K1 b - -,e5e6
5bk1/2q2pp1/7p/3Q3P/2P3P1/5KN1/5P2/8 w - -,g3e4
3qr1k1/Q2n1ppp/1pp2b2/2Pp4/1P1P1N2/2B5/5PPP/R4bK1 w - -,g1f1
8/5p2/2k3p1/r1p4p/P4P1P/1K4P1/8/R7 w - -,a1f1
r3r1k1/2p2qpp/2pb1p2/1bN5/1P1BPn2/4NPP1/1Q1R3P/6RK b - -,f4e6
4rrk1/1p5p/p2p4/1P1Q4/P1PB1p2/6qP/R5P1/6K1 b - -,f8f7
8/8/6p1/1pb2p1p/p1k2B1P/P4PP1/1PK5/8 w - -,f4e5
r1bqr1k1/1pn2pp1/5n1p/p1bp4/3N2P1/P1NQPP2/1P4BP/R1B2RK1 b - -,c7e6
rnb2rk1/ppp1ppbp/6p1/3qP3/3P4/5N2/PPP3PP/R1BQKB1R w KQ -,c2c4
3r4/4qpk1/2n1pRp1/p3P1Pp/2pP1Q1P/1r6/6PK/B1R5 b - -,c6b4
r2qrbk1/pb1n1pp1/1pp2n1p/2Pp4/1P1Pp3/2N1P1P1/P1QB1PBP/R2RN1K1 b - -,h6h5
2kr3r/ppqbn2p/2nb1P2/3p4/1P1P4/1NPB1Q2/P4PP1/R1B1R1K1 w - -,f6e7
8/6k1/1Rpr2pp/p1n1pp2/P1P3P1/2N1P2P/5PK1/8 w - f6,g4f5
2bq3r/5k2/p2p2r1/2pPp3/2P1Pp2/1R3N2/P5P1/1R2Q1K1 b - -,g6h6
q1r3k1/1b2rpbp/p2Q2p1/1p6/4P3/PPN4P/4NPP1/2R2RK1 b - -,e7e6
r1b1q1k1/p1np1p1p/1p2rPp1/2p1P2P/2P4Q/B1P5/P5P1/2KR1B1R b - -,e6e5
r1b1r1k1/1p2Bppp/p3p3/7n/3N4/2PB4/PP3PPP/R3R1K1 b - -,e8e7
rnbqkb1r/pppp3p/5np1/4pp2/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,d2d3
5k2/B1Rn1r1p/3p1pp1/3Pp3/P4P2/8/5PKP/8 b - a3,f8e7
r1b2r1k/1p1p2pp/p1nP4/5p2/N2Qp1P1/8/PP2PPBP/2R2RK1 b - -,c6d4
r1bq1rk1/pp1nbppp/4pn2/2p3B1/2BP4/2N1PN2/PP3PPP/2RQ1RK1 b - -,d7b6:a7a6
r1bqkbnr/pppn1ppp/8/3pp3/8/5NP1/PPPPPPBP/RNBQK2R w KQkq e6,d2d3
r2n1k1r/pp1bnpp1/4p2p/2PpP2P/qQ6/P1PB3R/3B1PP1/1R2K1N1 b - -,a8c8
2k5/p1p4R/3p2rp/1p6/6N1/1P4bK/P7/8 w - -,h3g3
2q3k1/2r2pp1/3b1n2/1Q1pp2p/Np6/1P2PPPP/PB1R4/3K4 w - -,g3g4
r4rk1/1bq2pp1/3p1b1p/p3pP2/Np2P3/1P2QN2/1PP2RPP/3R2K1 b - -,a8a6
8/7R/8/3r1p2/1p5P/1k3PP1/2p1K3/8 w - -,h7c7
2bq4/5pk1/1ppr2p1/p3b2p/P1B1Pp2/1NP2P1P/1P3QPK/5R2 w - -,f1c1
r3r1k1/pp1nbpp1/1qp1pn1p/2Pp1b2/3P1B2/1Q2PN1P/PP1N1PP1/R3RBK1 b - -,b6b3
2r3k1/4r1pp/4p1n1/1BQ2p2/qP6/n6P/5PP1/2BR1RK1 b - -,a4a8
r3kb1r/pp3ppp/2n1p3/1BP2b2/3N4/2P1n3/PP3PPP/RN1K3R w kq -,f2e3
2r1rbk1/1b1n1p1p/p1q1p1p1/1pp1P3/3PNPP1/P1PB3P/1B2QR1K/R7 b - -,c6d5
r4rk1/p2n1p1p/1q2bbpB/2pp4/8/1PPB1Q1P/P3NPP1/3RR1K1 b - -,f8e8
3qr1k1/3rbppp/p4n2/1p1pB3/2pP4/P1NbP3/1P2BPPP/2RQR1K1 b - -,d3f5
r4rk1/1p1b1q2/2n3p1/3p1pPB/p4P2/2P1Q1K1/PP4N1/R3R3 w - -,h5f3
r6k/p3q3/1p4Rp/5p1Q/1nbP1P1P/8/P4P2/6K1 w - -,g6h6
5rk1/pp2bppp/1qr1pn2/3p4/3P4/P1N1PP1P/1P2Q1P1/3RBRK1 b - -,b6b3
2R3k1/5p1p/b3p1p1/3pP3/1p1p1P1P/1P1P1NP1/P3n1BK/8 b - -,a6c8
r1br2k1/ppq1bppp/2n2n2/4p1B1/2p4P/PNN1P3/1PQ2PP1/2KR1B1R w - -,f1c4
2rq1rk1/1p1npbbp/p2p4/n4p2/2P2N2/N3BP2/PP1QB1PP/2R2RK1 w - -,f1d1
8/4r2p/2kpbNpP/p1p3P1/4PP2/P3R3/1rP5/3RK3 w - -,d1d2
r5k1/4pr1p/3p2p1/3P4/p1R2nB1/4R3/PP5P/6K1 b - -,f4d5
3rr1k1/p1q2pb1/1p2nnp1/2pbp3/P7/2PP2N1/1PQN1PP1/R1B1RBK1 w - -,g3e4
4r3/1p1n2p1/b2Bppk1/P3P2p/3R1P2/3pK1PP/8/2R5 b - -,g6h6
r3r1k1/1pp2qbp/p5p1/3b1p2/P1P1pPP1/4B2P/1PQ5/R2R1BK1 b - -,d5e6
r2q1rk1/1p2ppbp/2bp1np1/p7/2P1P3/2N1BP2/PP1QB1PP/3RK2R w K -,b2b3
8/8/2k5/3RKP2/8/7b/3p4/8 b - -,h3f5
3r1k2/5p2/4p1p1/P3Pn1p/1R2NP2/3b2P1/3P2BP/6K1 w - -,e4c5
3rnrk1/3nbpp1/1p2p1p1/1N6/R2P1P2/5BP1/1P3B1P/3R2K1 w - -,b5a7
1rb2r2/2q2pk1/5np1/pB1p2Np/P2p3P/8/1PPQ1PP1/R3K1R1 w Q -,d2d4
1r6/8/3N4/3N1pk1/1PK4p/6PP/8/8 w - -,d6f7
1Rqn1bk1/2pn2p1/p2pp2p/4p3/P3P3/2PPBN1P/Q2N1PP1/6K1 b - -,d7b8
r2q1rk1/1b1n1ppp/2pbpn2/pp4N1/3P4/P1NBP3/1P1B1PPP/R2Q1RK1 b - -,h7h6
r1bqr1k1/pp3pb1/3p1npp/n1p1p3/4P3/2PPBNNP/PPB2PP1/R2QR1K1 b - -,c8d7
r1b1k2r/2qnbppp/p2ppn2/1p6/4PP2/1NNB4/PPPBQ1PP/4RRK1 b kq -,b5b4
3r2k1/q3bppp/8/2Nbp3/NP1r4/2R1QP2/2P3PP/5R1K b - -,d4b4
4rrk1/6pp/3pP3/p1p2P2/Ppn1N3/1P4P1/4p1KP/R4R2 w - -,f1f3
r1bqkb1r/ppp2ppp/2n5/3np1N1/2BP4/8/PPP2PPP/RNBQK2R b KQkq d3,c8e6:f7f6
4r3/3R2kp/5bp1/1pP2p2/1P3P2/1B5P/1Q2pP2/6K1 b - -,g7h6
2rr3k/p1q2pp1/bp2p2p/2npP2P/5PP1/2P1BB2/PP1R4/R2Q2K1 b - -,c7e7
r2qkb1r/pp1b1ppp/2n1p3/1BppP3/8/2P1BN2/PPPQ1PPP/R3K2R w KQkq -,d2e2
8/1b3p2/1r3k2/1p3B2/1P2p1P1/p1R1P3/P4K2/8 b - g3,b6c6
3b2k1/1p3p2/6p1/p3pp2/5N2/P1P3P1/1P1r1P1P/1R3K2 w - -,f1e1
2q3k1/4rpp1/p1p3rp/Pp1p4/1P1P4/4PQP1/5P1P/2R2RK1 b - -,c8e6
r3kb1r/1p3ppp/2p5/p1npP3/5P2/P1N1P2P/1P3KP1/R1B4R w kq -,c1d2
2r2rk1/1b1nbppp/pq1p1n2/1ppP4/1P6/PNN3P1/1B2PPBP/R2Q1RK1 w - -,h2h3
2kr3r/1bq1bppp/p3p3/2p3P1/1p2PB2/1P3P2/1PP1N1QP/R3K1R1 b Q -,c7c6
r7/P2kp2p/2p2pp1/R7/3BPP2/3K2P1/7P/2r5 b - -,d7d6
2rr2k1/p3qppp/1p3n2/2n5/1Q2b3/P3PN2/1B2BPPP/R4RK1 w - -,a1d1
1B6/8/8/1p3p1p/p1k5/P3bPP1/1PK5/8 b - -,e3d4
r3k2r/p1n1nppp/1p2p3/2P5/4P3/P2q1N2/2P2PPP/R1B1K2R w KQkq -,c2d3
3r2k1/p4p2/5pb1/8/2Q1P3/3p2Pq/PP1B3P/4R1K1 b - -,g8g7
6k1/4pp1p/p2p2p1/n2P4/bqPpP1P1/6KP/P1QN4/5B2 w - -,c2d3
3r2k1/r4p1p/2npb1p1/2q1p3/1pP1P2P/1p1Q2P1/P1N2PBK/3R1R2 w - -,a2b3
r2qk2r/pp3ppp/1n1bpn2/2P5/1P1p4/3B1N1P/P4PP1/R1BQ1RK1 b kq -,e8g8
4n3/p1n2p1p/3k2p1/P3p3/4PP1P/4K1P1/8/3R4 b - -,d6e6
n1b2rk1/5pb1/3p1qpp/2pPp3/1p2P3/4QN2/1PP1BPPP/3N1RK1 w - -,c2c3
8/5k2/4bQ2/p2pP2p/2p4P/q1P5/1r3PPK/8 b - -,f7e8
6k1/4R1p1/p4q2/1pp2r2/4Q3/P1P4P/1P3PP1/6K1 w - -,e7e8
rn1qk2r/pb2bppp/1p1ppn2/2p5/3P4/2PBPN2/PP1NQPPP/R1B1K2R w KQkq -,e1g1
2r3k1/rp2npp1/p2np2p/q1NpNb2/3P4/PQ2P2P/1P2BPP1/2RR2K1 w - -,b3b4
8/1p3qk1/5pp1/1b6/1P1R4/4Q3/P4PP1/6K1 w - -,d4e4
r7/pp1b1nk1/2n1p3/3p1p2/1q1P1Q2/NP3NP1/P3BPK1/R7 w - -,a3c2
3r3k/7p/6p1/4Rp2/2B4r/PPKP4/8/8 b - -,f5f4
r3kb2/pp1nqp2/2p1p1p1/3pP2r/3P1P2/6QP/PPP1BB2/1K1R3R b q -,h5h8
r2q1rk1/pp5p/4bb2/3pNp1Q/3P3p/2PBP3/P4P2/R3K2R w KQ -,h1g1
rnbq1rk1/ppp2ppp/5n2/3p2B1/1b1P4/2N5/PPQ1PPPP/R3KBNR w KQ -,e2e3
5rk1/2qnbpp1/2p1pnb1/rp5p/6PP/PBNPBN2/2PQ1P2/R3K1R1 w Q h6,g4h5
5r2/1qN3kp/5pp1/2PRn3/4P3/6QP/6P1/2R4K b - -,b7c7
r1b1k1nr/pppp1ppp/8/2b1q3/2BpP3/2P5/PP3PPP/RNBQ1RK1 w kq -,g1h1
8/5k1p/1p6/5P2/1p4P1/1P6/P4K1P/8 b - g3,f7f6
6Q1/8/3k1p2/1n6/p1pP1K2/2P4q/8/2B5 w - -,g8d8
3r1r1k/ppp1b1p1/4Pn1p/4R3/2B5/P6P/1PP2PP1/R5K1 b - -,d8d4
2R5/6k1/2p3P1/P3bB2/8/4B2p/5Kb1/r7 b - -,h3h2
8/R1P5/6pk/2q5/8/p6P/6P1/7K w - -,g2g3
2r1r1k1/pp3pb1/n2p2p1/3p1q1p/3P1N2/1P2P1PP/P2NQP1K/2R1R3 w - -,e2d3
8/6k1/5R2/2r2pPp/5P2/6PK/8/8 w - -,f6a6
2r2rk1/2q1bppp/1p2pn2/p2b4/3B4/PP4P1/1Q1NPPBP/R2R2K1 w - -,g2d5
8/8/1p1kbp2/p1p5/3KPP2/1P6/P3B3/8 w - c6,d4c3
3rkb1r/pp3ppp/1nq1p3/8/3P2Q1/2N5/PP3PPP/R1B2RK1 b k -,h7h5
8/8/4N1k1/7p/8/7P/pr4K1/R7 w - -,g2f3
8/3R1pkp/1pr3p1/p1p5/2P2P2/6PP/PP6/6K1 b - f3,g7f6
r3k2r/1b2bppp/p1n1pn2/1pP5/8/P1N1PN2/BP3PPP/R1BR2K1 b kq -,e7c5
r4rk1/pp2bppp/1n2bn2/1Ppq4/P3p3/1N2P3/1BQPBPPP/RN2K2R w KQ -,b3a5
2rrb1k1/1p3pbp/1q1pp1p1/p6n/Pn1PP3/1BN2N1P/1P1Q1PPB/2R1R1K1 w - -,e1d1
r1bqr1k1/1p3pbp/p2p1np1/2pPn3/P1P5/1PN3PP/4NPB1/R1BQ1RK1 b - -,c8f5
6k1/5pp1/p3Q3/7P/1P3qn1/P6P/B3R1K1/8 b - -,f4h2
r5r1/ppkbb1PN/2n1p3/2ppP3/5B2/2PB4/PP4P1/3R1RK1 b - -,g8g7
r2r2k1/pp2qpb1/2n1bnp1/3p3p/P1PPp3/1QN1P3/1B1NBPPP/2R2RK1 w - -,c4d5
3r2k1/p3bppp/1p2q3/3p4/3Nn3/1P3QP1/PB2PPKP/2R5 b - -,e6d7
r2qkbr1/1b1n1p2/p2pp1pp/1pp5/3P1PP1/2PBP3/PP1NQ2P/2KRN1R1 w q -,e1f3
1r3r2/3b2kp/p2p1pp1/1PpP4/2P1P3/1P3B2/2R3PP/3R2K1 b - -,a6b5
1r2k2r/3bbp2/1q1ppp1p/8/1P2P3/2N2N2/3Q1PPP/R4RK1 b k -,e8g8
6k1/p3pp1p/4b1p1/4P3/1r5P/6P1/2B1PP2/R5K1 w - -,a1a7
r3k2r/pp1q1pp1/2pbpn1p/8/2PP4/P3BBP1/1P3P1P/R2Q1RK1 b kq -,a7a5
6k1/p6p/5pp1/2r5/2qnP1b1/P2pQ1PP/3B1PB1/1R5K b - -,c5h5
rnbq1rk1/ppp2ppp/4pn2/3p4/1bPP4/2N1P3/PP2NPPP/R1BQKB1R w KQ -,a2a3
r3r2k/5Qp1/4p2p/p1qpN3/8/2P5/PP3PPP/5RK1 b - -,c5a7
8/2R5/1p1rr1p1/pK1p1p1p/3Pp1k1/P3P1P1/1P3PP1/2R5 b - -,f5f4
4R3/3r1pp1/1n5p/8/2pk4/1p4PP/1P1K1PB1/8 b - -,c4c3
4n1k1/4npbp/6p1/p7/Pq1P2P1/2N1BP2/3Q3P/5RK1 b - -,e8c7
