8/2B5/8/8/4n1p1/5b2/4k3/6K1 w - -,g1h2
2rq1rk1/pp1nbpp1/2p1pn1p/3pNb2/2P2P2/1P1PP3/PB1NB1PP/R2Q1RK1 b - f3,d7e5
1rrq4/3b1pk1/p2p1npp/1p1Pp3/2p1P3/2P1N1PP/PPBQ1P1K/2R2R2 b - -,f6h5
r2b1r1k/1pp3p1/2np3p/PN6/P1P1Npb1/B2P1pP1/1Q3P1q/RR2K2B w - -,g3f4
2rr2k1/1bq1bppp/p2ppn2/1p2n3/3NP3/P1NBBP2/1PP2QPP/R2R3K b - -,c7b8
3r1k2/1R6/5p2/p2r2p1/1bR2P2/4P2P/P3K3/4B3 w - -,e1b4
r1b1kb1r/ppq2ppp/2n1p3/2pp4/3P1P2/1QPB1N2/PP1N1PPP/R3K2R w KQkq -,d3b5
rb1rbnk1/pp3qp1/7p/2Npn3/3N4/1P2B3/P3BPPP/2RQ1RK1 w - -,d1d2
r1r3k1/1p2bpp1/p1N1pn1p/3q4/8/1PP1BN1P/P3QPP1/R2R2K1 b - -,d5c6
8/5p2/4rBk1/3n2P1/8/8/2B2PK1/8 b - -,g6h5
7k/5Qp1/7p/3P4/8/2P4P/4rPPK/1q6 b - -,h8h7
1r2r1k1/p5pp/8/2p2p2/2P2p2/7P/PPPNbPP1/R3R1K1 w - -,b2b3
2r2rk1/2q2ppp/P2b1n2/N3n3/1P6/3BPQ2/3B1P1P/R4RK1 w - -,f3f5
8/R7/r5p1/3k1p2/3B1P2/4PK2/r7/8 w - -,a7d7
r1b2rk1/1p1p1p2/p4Q1p/q1P3p1/4Pn2/1B4B1/P2N1PPP/5RK1 w - -,g3f4
r2nk2r/pppb1p1p/4p3/q4p1Q/3P3P/2P3P1/P1P1NPB1/R3K2R b KQkq -,d7c6
r5r1/pp3k2/4p3/5p1b/5P2/4R1BP/PPP5/R5K1 b - f3,a8c8
4r1k1/1p3p2/p1bq2pB/4p2p/8/2P2P1P/1P3QP1/4R1K1 w - -,h6e3
6k1/3r2pp/p2p2p1/1p1n4/4N1P1/1PPP2KP/1P6/5R2 w - -,f1a1
r1b2rk1/ppp2p2/5qp1/4p1np/4P3/1BP1R1NP/PP3PP1/3R1QK1 b - -,g8g7
r1br2k1/2q2ppp/p1n1pn2/1p2N3/2BP1P2/B1P5/P3Q1PP/2R2RK1 w - -,c4d3
r1b2rk1/pp1nb1pp/1qn1p3/3pP3/3P3P/P2B1N2/1P4P1/R1BQK1NR w KQ -,g1e2
2kr3r/ppqnbppp/2p1p1n1/3pP2B/1P1P1P2/2P4P/P2N2P1/R1BQ1RK1 b - b3,f7f6
rnbq1rk1/pp2ppbp/5np1/2pp4/8/2NP1NP1/PPP1PPBP/R1BQ1RK1 w - c6,c1g5
rn2k2r/p1p2pp1/Bpq1p1n1/3pP3/3P3P/P1P5/2P2PP1/R1BQK1NR b KQkq -,b8a6
2R3k1/5p2/4pPp1/6Pp/1p1r4/6P1/1P3PK1/8 b - -,g8h7
r1b2rk1/pp4pp/3q1n2/3pn3/8/1P1B1NN1/P4PPP/R2Q1RK1 w - -,f3e5
r5k1/1p1nr1b1/2pNN2p/4pp1q/p5n1/2P5/PP3PQ1/R1BBR1K1 w - -,e6f4
3rr3/1p2kp2/p1n2p1p/4pB2/1P6/2P3P1/1P2KP1P/R2R4 w - -,d1d8
1R2n2k/5rpp/p1q5/4PNQ1/P2P2P1/7P/5PK1/8 w - -,g2g1
8/2k5/p1np1np1/2p2p2/2P2P2/1P1K1B1P/1P1B4/3N2b1 w - -,d1c3
3Q2k1/2n3p1/1pp1pp1p/r7/pqP1P3/2R3P1/P4P1P/3R2K1 b - -,g8h7
r2qk2r/pp1bbppp/3p1n2/2n1p3/2P1P3/2N2N2/PPB1QPPP/R1BR2K1 w kq -,h2h3
r1b1k2r/pp1nqpbp/2p2np1/3pp3/1PP5/PQ1P1NP1/3NPPBP/1RB1K2R b Kkq -,e8g8
1r3bk1/5p2/Rp4pp/1N1rP3/1PR3P1/3Pp3/4P1KP/8 w - -,b5a7
6k1/6pp/p7/1p6/1Pb5/7P/1B2pKP1/R2rN3 b - -,d1d2
4k2r/pp3ppp/2n1b3/2Br4/4N3/P3q1P1/1P2BKP1/2R5 w k -,f2e3
8/5pp1/7k/7p/5N1P/1r1p1P2/2bR1KP1/8 w - -,f2e3
2rqr1k1/1b3ppp/p1nppn2/1p6/4PP2/PNNBQ2P/1PP3P1/3R1RK1 b - f3,e6e5
6k1/r2n1pp1/P6p/1Bp1q3/4p3/4Q1P1/5P2/2R3K1 b - -,h6h5
R4k2/2r1np2/3Rp3/6Pp/2P2P1P/4N3/7r/5K2 b - -,f8g7
r1bqkb1r/1p3ppp/p3pn2/2pP4/P1Bn4/2N5/1PPPNPPP/R1BQ1RK1 b kq -,e6d5
1r1b2k1/3q1ppp/3p1n2/2pPp3/4P3/8/1PQB1PPP/R2N2K1 w - -,d1e3
2b3k1/3n3p/p2pp2P/1p6/3PP3/1P6/P4RB1/6K1 w - -,f2c2
2rq1rk1/pp2ppbp/3p1np1/8/3BP3/1PN2P2/PP1Q2PP/2KR3R b - -,d6d5
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/N1P2N2/PP2BPPP/R1BQ1RK1 b kq -,f5h7
3rr1k1/1p2b1np/q4p2/3p2p1/p2B2P1/P1P2NP1/1P1Q1P2/3RR1K1 b - -,a6c6
2r4k/1p1qbrp1/p1np2p1/3Qp3/2P3n1/5P2/PPN4P/R1B2RK1 w - -,d5f7
1rb3k1/2r5/1p1q1bp1/2pPp2p/2P1Pp2/Q2N4/1R3PPP/1R1B2K1 w - -,d1a4
r2q1rk1/pp3ppp/2n5/2bN4/3p2b1/6P1/PP1NPPBP/R2Q1RK1 w - -,d2b3
r1b1k1nr/pp2ppbp/1q1p2p1/2pP4/2PnP3/2N2N1P/PP1B1PP1/R2QKB1R w KQkq -,a1b1
r2qr1k1/3bbpp1/2p1p2p/pp4N1/3P1P1P/PB6/1PPQ2P1/1K1R3R w - -,d2d3
r1bqk1nr/1p3pbp/2np2p1/p1p1p3/2P5/P1NP1NP1/1P2PPBP/R1BQ1RK1 b kq -,g8e7
8/5pk1/4p3/3n2p1/2R5/r5PP/4BK2/8 w - -,h3h4
3r1r2/1p3pkp/2bp1np1/p1q1pP2/2P1P3/2NQ1B2/PP1R2PP/3R3K b - -,f8e8
rnbqk1nr/pp2ppbp/3p2p1/2p5/4P3/2P3P1/PP1PNPBP/RNBQK2R b KQkq -,b8c6
5k2/2b5/8/p3p2R/1pPpP3/1P1P1N1b/7N/1r5K w - -,f3g1
3q4/p4pk1/1bp3pp/1p2p1n1/4P1P1/PBP2N1P/1P2QPK1/8 b - -,g5e6
1k5r/1bp5/1p2p3/5p1p/5P2/P3P1P1/1P1rB3/1K3RR1 w - -,e2c4
r4rk1/3q1pp1/1Bb1P1P1/3p4/pp1N4/1P6/1PP2Q2/1K2R3 b - -,f7g6
k7/8/8/3p1npN/3Pn1K1/1P6/8/8 b - -,f5d4
r2q1rk1/pb1n1ppp/1p2p3/8/P1BPP3/5N2/3Q1PPP/R4RK1 w - -,f1e1:c4d3
r2q1rk1/1bnnppbp/pp1p2pB/2pP4/2P1P3/2N2N1P/PP1QBPP1/R4RK1 b - -,g7h6
r1bq1rk1/pp4pp/3b1p2/3p1N2/2nP4/3B4/PPPB2PP/R2Q1RK1 w - -,d1g4
8/3k1p2/3p1p2/p6P/1p5r/1P6/P2K4/5R2 w - -,f1f6
8/8/7B/5p2/4kn1K/8/8/8 w - -,h4g3
6k1/p5p1/3Np2p/8/5r1P/2nP4/P4PK1/4R3 w - -,g2g3
r2q1rk1/1ppb1ppp/3p1n2/p2Pp3/2P1PP2/2NQ2P1/PP4BP/R4RK1 b - f3,d8b8
8/p5pk/2R2n2/8/8/2Nq4/1P3P2/4R1K1 b - -,f6g4
r2qk2r/3p1pp1/2b1p3/p1Q1R2n/2P5/B4P2/6BP/2R4K w kq -,e5h5
6k1/pp3rn1/1nppbrp1/2Q4p/2P1P3/1PN2N1P/P4PB1/3R1RK1 b - -,d6c5
r3r1k1/3p1p1p/6p1/2pP4/Pn6/1PN1PK2/3N2PP/4R3 b - -,b4d3
3rr1k1/2qbbpp1/2pp1nnp/p7/Pp1NPP2/1PN2QPP/1BP3BK/4RR2 w - -,c3d1
6k1/5p1p/pp6/2r3q1/8/5P1P/P1B3P1/2Q4K w - -,c1d1
q4rk1/1br1bppp/3p4/1p2pP2/1N2n3/1P4P1/PB2Q1BP/R3R1K1 w - -,g2e4
r1q1r3/1ppb1pbk/3p1npp/p1n5/2PNP3/2N1BPPP/PP1Q2BK/2R1R3 b - -,a5a4
1r6/R4Qbk/1Nb3pp/2B1p1qn/2BnP3/5P2/6PP/5RK1 b - -,d4b5
4q1k1/6p1/1p1r4/1Pp1pp1p/2P5/Q2P3P/5PP1/4R1K1 w - -,a3a7
2rr2k1/1p2ppbp/3p2p1/3P2q1/8/2NQ2PP/PPP2P2/3RR1K1 w - -,h3h4
r2qr1k1/pp1b2pp/6n1/3p4/3PpP2/7P/PPBB1QP1/1K1R3R b - -,a8c8
r5k1/1pp3bp/p2p2p1/3Pp3/2P1n3/4BrP1/PP2KN1P/3R3R b - -,e4f2
r2qk2r/pp3ppp/2n1p3/2bn3b/Q3P3/5NP1/PP3PBP/RNB2RK1 b kq e3,d5f6
2r2r1k/b2q1pp1/8/Pnpp2N1/1p1P1B2/7P/1PQ2PP1/3R1RK1 b - -,g7g6
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/3BPN2/PPQN1PPP/R1B2RK1 b - -,c7c5
r1r3k1/p3pp1p/1np2bp1/8/3P4/3R1P2/P1PBN1PP/5RK1 w - -,d2b4
r1b1k2r/1p2bppp/p1p1pn2/8/2NR1B2/6P1/PPP1BP1P/5RK1 w k -,d4d3
1r6/8/8/8/p3p3/2P1N1k1/1P1R1rp1/2K1R3 w - -,d2f2
3q2k1/p4rpp/1p1p1n2/1PrPp3/PQ6/2N1P3/5PPP/3R1RK1 w - -,c3e4
r1bq1rk1/1p3pbp/2pn2p1/8/1Q6/6P1/PP2PPBP/R1BR2K1 w - -,b4d6
3k3r/2p1bppp/p3n3/1p2PB2/8/4B3/PP3PPP/R5K1 b - -,g7g6
1r2r1k1/3b1p2/R5pB/3Pp3/1p5q/3Q3P/1PP1B1P1/3R2K1 b - -,h4h6
2rr2k1/1pp1bpp1/7p/2PpN3/1P1P1B2/3B3P/q2R1PP1/1R4K1 b - -,a2a8
8/5pk1/6p1/Qp6/7P/P5P1/1q3PK1/8 b - -,b2b3
6rk/p2n1qrp/n2p1ppQ/2pPp3/P1P1P1NN/6R1/5PPP/4R1K1 w - -,h6d2
r1b2rk1/ppp1q1pp/3p2n1/3Pp3/1PP1Pp2/1N3PP1/P3Q2P/R3NRK1 w - -,g3g4
r2qr2k/2R2Qb1/4R2p/pp6/3P4/1P3NP1/5P1P/6K1 b - -,d8c7
r3k2r/ppq2p1p/2npb1pB/2p1N3/Q7/2PP2P1/PP2P1BP/R4RK1 b kq -,d6e5
8/6k1/3p2p1/2pPp1PP/1pP1P3/1P3K2/8/8 w - -,h5g6
2r1r3/pp3kb1/4bp1p/2pN4/2P1Pp2/1PB5/P4PK1/2R1R3 b - -,h6h5
8/5pb1/4p1k1/8/2n1P3/1r4P1/RPR1K3/8 b - -,c4b2
4Kq2/8/8/8/8/8/8/k7 w - -,e8f8
r1bqk2r/ppp1ppbp/1nn3p1/3P4/4P3/2N2N2/PPQ2PPP/R1B1KB1R b KQkq -,c6e5
r1b1r1k1/1pp1qpbp/1n4p1/pPp1n3/8/BNN1P1P1/P3QPBP/R2R2K1 b - -,c8g4
8/1p4k1/p2q1pp1/2pP3p/2P1Q2P/8/PP3KP1/8 b - -,g7f7
r4rk1/pp1n1ppp/2pq1n2/3p1bB1/3P4/4PN2/PP2BPPP/2RQ1RK1 w - -,g5f4
8/1pNq1b2/3P3Q/8/2k5/7P/6PK/8 w - -,h6f4
2r3k1/5pb1/4p1pp/1QBq4/p6P/3P2P1/P1R1PP1K/8 b - -,g7f8
r4r2/q5bk/2p1b2p/p3p1p1/PpNnPp2/1B1N1P2/QPPR2PP/5RK1 w - -,g1h1
6rk/3n2r1/2Np2q1/p2Pp3/1RR1PpNb/7P/4Q1P1/6K1 w - -,b4b7
3r4/4kp2/3pp2p/pp2b1p1/P1r1P1P1/2P1RK2/1P1N1PP1/3R4 w - -,g2g3
r1b2rk1/3nppbp/pq1p1np1/2pP4/2B1P3/2N5/PP2NPPP/1RBQ1RK1 b - -,b6a7
6k1/2b5/3p3P/1p1Pp1p1/1P2P3/P3NP2/6K1/8 b - -,g8h7
r1bnk2r/bpp1q1pp/p2p4/3PP3/5p2/PB3N2/1PP2PPP/R1BQ1RK1 b kq -,e8g8
r2qr1k1/1p3ppp/2p1bn2/p3b3/P1B5/1PN1P2P/1BQ2PP1/R4RK1 w - -,f1d1
4k3/8/5P2/2p1NK2/2P5/8/4r3/8 w - -,e5d3
6k1/5ppp/p1R5/1p2b3/8/7P/1P3PPK/4r3 w - -,g2g3
r3n1k1/1p3ppp/8/1P1p4/N2q4/1Q1B1P2/P4R1P/6K1 b - -,a8a4
4k3/7R/2r3p1/p1r1Bp2/3K1P2/8/P6P/8 b - -,c5c2
5rk1/2q2ppp/1n1p4/2b1p3/Q7/2P2BP1/4PP1P/2B2RK1 w - -,a4a6
8/5k2/2R5/4pN2/1r6/6PK/5b1P/8 w - -,h3g2
3r2k1/5p1p/4p1p1/8/2NP4/2b4P/5PP1/3R1K2 w - -,c4e5
rn1q1rk1/pb1pbppp/1p2pn2/6B1/3p4/2PBPN2/PP1N1PPP/R2Q1RK1 w - -,e3d4:c3d4
6rk/p3p3/1p1q1b1p/2p2p2/3p1PrP/1P1P2P1/P1P1R2Q/4B1K1 b - -,f6h4
5n1k/ppq2p2/2b1p2p/2p5/4Bb1P/2P2QN1/PP1rRPP1/R5K1 b - -,d2e2
r4rk1/pbqnbpp1/1p2pn1p/2ppN3/3P1PPB/2P1P3/PP1NB2P/R2QK2R w KQ -,h2h3
8/1pp1r2p/p2p1kp1/3P4/4p1P1/rP2P3/P1R2P1P/2R3K1 w - -,c2c7
2r5/6pk/R2n1n1p/4Nq2/5P2/4P1P1/1P5P/2B2QK1 b - -,d6e4
3r2k1/4bp1p/6p1/pr1P4/Pp6/6PP/P2R1P2/3B1K2 w - -,a4b5
8/6R1/6p1/5p2/2P2P2/5k2/2r4P/6K1 w - -,h2h4
r2qk2r/p2pbppp/1pb1p3/3nP3/8/P1NB4/1PP2PPP/R1BQ1RK1 w kq -,c3e4
r2k1b2/pb1qp1p1/1p1p1r2/2pP2Np/2PnB3/3Q3P/P4PP1/R1B1K2R w KQ -,e1g1
r5k1/ppr1pp1p/2p3p1/2N5/PnP5/7P/1P3PP1/2R1R1K1 w - -,c1d1
8/2k5/3p4/pp1Pp1pp/P3P3/n2K2P1/8/3N4 w - -,a4b5
r1r3k1/qp3p1p/2nbp1p1/pR1p4/Q2P4/2R1BBP1/PP2PP1P/6K1 w - -,a2a3
4R3/1r4pp/4Qb1k/p1r2P2/P1q1pP2/8/6BP/5R1K w - -,e6c4
r4rk1/pp3ppb/2p4p/q3n2P/2B1PB2/2P5/PP2Q1P1/R3K2R w KQ -,c4b3
4r1k1/1qb2pp1/p4n2/2B5/1Pp2P2/2Nn3p/4R1PP/1R3Q1K w - -,e2e8
1r2r1k1/3b1pnp/p2p4/PppPq1p1/4P3/2N4P/1P1Q1PP1/R2BR1K1 w - b6,a5b6
3q2k1/5p2/3Qp1pb/2PpP3/1r1B1P1p/7P/P5PK/5R2 b - -,d8c8
1q1rrnk1/p4pp1/1pb1p2p/4P3/1P6/4b3/PB2QPPP/1BRR2K1 w - -,c1c6
2n5/4k3/P7/2K4B/8/8/8/8 w - -,h5g4
8/7k/8/p3r1p1/5nR1/8/R4P1K/8 b - -,h7g6
r1b2rk1/pp3pp1/1q5p/4p3/2B1P1nP/2P2N2/PP2Q1P1/R3K2R b KQ -,c8e6
r7/p1b1q2k/1pPnb1pp/1P1p1p2/P2P1P2/2QBP2P/3R2PK/5R2 b - -,a8e8
r4r2/1pkb4/p1p1pq1p/3nNnp1/1P1PB3/PQ2B2P/5PP1/2KRR3 w - -,c1b1
6k1/rpp1nqp1/p1n4p/3pNp2/3P1P2/3Q2NP/PP4P1/4R1K1 b - -,c6e5
r1b2rk1/1p3pp1/2pp1qnp/4p1N1/B2PP3/2P1B2P/1P2QPP1/R3R1K1 b - -,h6g5
r2qn1k1/3n1pp1/p1R1p1p1/3pP3/pP1P4/5PP1/1BQ4P/5BK1 w - -,c2a4
rnb2rk1/pp3pbp/3p1np1/qNpP2B1/4P3/5P2/PP1Q2PP/R3KBNR b KQ -,a5b6
3r1bk1/ppq2ppp/1np3n1/4P3/N4P2/3RB1PP/PPQ3B1/6K1 w - -,d3d8
r1b1qrk1/ppp2pb1/n2p2pp/2P1p3/3PP3/2N2N1P/PP2BPP1/R2Q1RK1 w - -,c5d6
8/2Qn1rk1/7p/3PqB2/2p1p1R1/6P1/7P/7K b - -,g7h8
r3r3/1bq2p1k/p3nnpp/1pp1p3/4P3/P1P1QNN1/1P3PPP/3RRBK1 b - -,c5c4
rnbq1rk1/ppp1b1pp/3p4/5pn1/2PP4/2NB1N2/PP3PPP/R1BQ1RK1 b - -,b8c6
r1q1r1k1/5ppp/p1pBpbn1/2PP4/1P6/PN3QP1/5P1P/3RR1K1 b - -,e6d5
r1b2rk1/p2p1ppp/1pn1pq2/8/1bP5/2N2N2/PP1QPPPP/2R1KB1R w K -,g2g3
r2q1rk1/pb1p1pbp/1p3np1/2pP4/1n5N/2N3P1/PPQ1PPBP/R1B2RK1 w - -,c2b3
1rr1b1k1/R4pp1/1b1p3p/3Pp3/4P2P/2NK2PB/1PP5/7R w - -,a7a2
r2n1rk1/1p4p1/p4b1p/2pPpp2/P1N5/1q2P3/1B2QPPP/2RR2K1 w - -,d1d3
2r3k1/2q4p/4p1p1/r2p4/P2PP3/1Q5P/R4KP1/R7 w - -,e4e5
3r4/p4kb1/bp2p1p1/1qp1Pp2/5B2/1PP1QBP1/P3P3/R3K3 b Q -,c5c4
r3kb1r/2qn1ppp/p3pn2/8/Pp1PbB2/4PN2/1P2BPPP/R2NK2R w KQkq -,f4c7
rn1q1rk1/ppp2ppp/3b1n2/3p2Bb/3P4/3B1N1P/PPPN1PP1/R2Q1RK1 b - -,b8d7
r2qrn2/1bp2pk1/pp5p/4p3/PP2Pp2/1QPB1N2/5PPP/R3R1K1 b - -,d8f6
2r4r/ppqnk1pp/3b1n2/3pp3/3BP3/1P1B3Q/P1PN2PP/R4RK1 w - -,d4e3
6rk/1p4qp/8/3p4/p2Q4/7R/6PK/8 w - -,d4d5
r3k2r/pp3p2/2p1npp1/4p3/1PP5/6P1/P1P1NP1P/3R1RK1 b kq -,e8e7
r2qk2r/1pp2p2/p1pb1n1p/4p1pb/4P3/2NP1NBP/PPP2PP1/R2Q1RK1 b kq -,d8e7
1rbr2k1/n3qpp1/p2p1n1p/2pP4/7N/pP1QP1P1/1B3PBP/1R3RK1 w - -,b2a3
3R1n2/1p2rpkp/p4pp1/8/2P2P2/3B2P1/PP1K3P/8 w - -,b2b4
2r5/5pk1/p3p1p1/3pPnPp/q7/2P5/PQ3RPP/4B2K b - -,c8c4
r1br2k1/p4ppp/2p1pn2/2b5/2p5/2N3P1/PP2PPBP/R1B2RK1 w - -,g2c6
4Q3/5ppk/5q1p/1Bb5/p3N3/Pn1p2PP/R1b2P1K/8 b - -,f6d4
3b1q2/5pkp/2p5/2n1p3/p1P1P3/Pn2B1N1/1P3QPP/7K w - -,g3f5
8/8/7r/4p1R1/3k4/5P2/5K2/8 b - -,h6f6
r5k1/pp2qppp/2n1bn2/2b1p1B1/2B5/P3PN2/1PQ2PPP/3R1K1R w - -,c4e6
r4rk1/1b1nbppp/1q2p3/p1p5/PpBPn3/1P1NPN2/1B2QPPP/R2R2K1 w - -,f3e5
8/7p/1R2k3/5p2/P3p2P/4P3/5P1K/r7 b - -,e6e5
R2r4/2Rn1p1p/5kp1/3p4/P7/6PB/4P2P/6K1 b - -,d8a8
6k1/p2n3p/5pp1/3p4/NB1Pb3/3NP3/P2b1P1P/6K1 w - -,a4b2
4r1k1/5p1p/p1p3pb/3p1b2/3B3q/1NP5/PP1Q1PPP/4R1K1 b - -,h4d8
r3r1k1/pp3pbp/4p1p1/2pQP1B1/6n1/2P2N2/PP3PPP/1R3RK1 b - -,e6d5
3Nb1k1/p6p/1p3R2/8/7P/1P6/P4PK1/1r6 w - -,f6e6
8/8/1p1bB1p1/6k1/P1P1K3/7P/8/8 w - -,e4d5
1k6/1p6/p1n4n/7P/4B1b1/4K1N1/1r4P1/7R b - -,c6e5
r1b2rk1/2p2pp1/p2b1q1p/np1P4/3N4/2N3P1/PP3PBP/R2Q1RK1 w - -,c3e4
3r3r/1p2bpp1/1kp5/4PP1p/p3BBb1/4R1P1/PPP5/2K4R w - -,e3c3
5rk1/4Rp1p/pq4p1/1b1pQ2n/3N4/2R4P/5PPK/8 w - -,d4e6
8/2p2pk1/r5p1/2R3P1/1KP2r2/8/8/6R1 b - -,a6a7
rnb2rk1/4ppbn/p2p2pB/qppP4/2P1P2p/2N2PN1/PP1QB1PP/R3K2R w KQ -,h6g7
r2qk2r/pp2bppp/1np1p3/3n1bB1/3P4/1BN2N1P/PPP1QPP1/R4RK1 w kq -,g5d2
1r1q1rk1/3p1ppp/4pn2/2n1N3/2P5/2b2BP1/3NPP1P/R1BQK2R w KQ -,e5f7
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2N1BB2/PPP2PPP/R2QK2R b KQkq -,e6e5
rn1qkb1r/pp3p1p/2p2pb1/3p4/3P4/2N1PQ2/PP3PPP/R3KBNR w KQkq -,g1e2
r1b1r1k1/ppq2pbp/4p1p1/2p1P3/3P4/1BP1B2P/PP2Q1P1/R4RK1 b - -,c8d7
2r2r1k/p5pp/P3b3/2p1N1q1/4pn2/1P2N3/1Q1R1PPP/5RK1 w - -,e5c4
5r2/6kp/p3qn2/1p1pr1p1/3N2P1/2P1bB1Q/PP2N1KP/4R3 b - -,e3d4
2n3n1/3b1qk1/1p1p2p1/p1pPp1Bp/P1P4P/2P2rP1/R1Q1N3/2K3R1 w - -,c2d2
8/1k5p/8/5p2/1P6/P1N1KN2/1r5P/8 w - -,e3f4
8/1p3k1R/2r1np2/2P5/5P2/3KN1P1/8/8 b - -,f7g6
2bqk1nr/r4pbp/p1pQp1p1/8/2B1PB2/2N5/PPP2PPP/R3K2R b KQk -,d8b6
r1b1r1k1/1p3pb1/5qpp/p7/3pP3/P5P1/1P3PBP/1RNQ1RK1 b - -,c8d7
3rnrk1/1bq1np1p/p2p2p1/P1p1p3/4P2N/2PBN3/1P2QPPP/R2R2K1 b - -,c7c6
r2qr1k1/1bp2pb1/p2p1npp/1p2p3/2P1P2B/1P1PNN2/1P2QPPP/R4RK1 w - -,h2h3
r2rnbk1/Nq1b1p1p/4p1p1/2BpPnP1/1p3PN1/8/1PP2QBP/R4R1K w - -,c5f8
7K/8/4Q3/8/8/k2q4/1p6/8 w - -,e6e7
4r1k1/1Bp3pp/3p2n1/8/p1P2Pq1/6P1/PP1Q3P/4R2K b - -,e8e1
7B/8/7n/2Kb4/4k3/8/8/8 w - -,h8a1
r2q2k1/1p3rbp/pn3pp1/3Pp3/6b1/1PN1B3/1P1Q1PPP/R3NRK1 w - -,f2f3
r4rk1/1p3ppp/1p3n2/7q/PP1Q4/6P1/1B2bPBP/R3R1K1 w - -,d4b6
2b3k1/2pr2pp/2p2p2/p1p1qN2/P1P1P3/1P1R1Q1P/5PPK/8 w - -,g2g3
1r4k1/Rb2q1b1/1p1p2p1/1N2p2p/1pP1P1p1/1Q1N4/5PPP/6K1 w - -,c4c5
r1bb1r1k/4nqpp/3p1p2/p2NpP2/1pP1P3/3BBR2/PP4PP/R2Q2K1 w - -,d5e7
2r2rk1/1b1n1pp1/pp3q1p/2pp4/1P1P4/P1Q1PN2/4BPPP/2R2RK1 w - -,d4c5
