4b3/8/1K2Bk2/5P2/2P5/3r4/8/2R5 b - -,d3b3
2r5/4qpk1/3p2p1/n1bPp2p/Bp2P2P/1P2N1P1/3Q1PK1/1R6 w - -,e3c2
7k/1R1R4/p1p3p1/6K1/4prB1/1P6/P4r2/8 b - -,f4f6
r2r2k1/pp4b1/2nqb1pp/3npp2/P1N5/2NP2P1/1B2PPBP/1R1Q1RK1 b - -,d6d7
3rr1k1/pp3p1p/2nq4/1b1N2p1/6n1/P5P1/1PQB1PBP/R3R1K1 b - -,c6d4
r2qkb1r/3n1pp1/p2pbn2/1p2p2p/4P3/1NN1BP2/PPPQ2PP/1K1R1B1R b kq -,a8c8
4rnk1/4qppp/2n1b3/p2p4/3P1PP1/2N1P2P/PPQ5/1K1R3R w - -,f4f5
8/5p2/p2k1p1p/4p1PP/2p2P2/2P2K2/P7/8 b - -,f6g5
1rr3k1/5pbp/p2pp1p1/7n/2nP4/3RN1P1/P1R1QPBP/1q2B1K1 w - -,c2c4
r4r1k/1pqn1ppp/2pbbn2/p2pp1N1/4P3/PP1P2PP/1BPNQPB1/R4RK1 b - -,a8e8
8/1B6/8/8/3k2p1/2r3P1/5K2/8 b - -,c3c2
4k3/R4pp1/4p1p1/p7/3P1P1P/4K1P1/1r6/8 w - -,a7a5
r3r1k1/4qpp1/b1Q2n1p/p7/Pp1NP3/1P3P2/3R1BPP/3R2K1 b - -,a6b7
r1b1k2r/ppp2p2/7p/3P2p1/3P4/6P1/PPQb1qP1/2KR1B1R w kq -,d1d2
r3r1k1/ppqb2bp/2ppRpp1/8/3P1n1B/N1PB1Q1P/PP1N2P1/R5K1 b - -,f4e6
r2q1rk1/ppp4p/3P2p1/2pQpbbn/2P5/2N2BPP/PP3P2/R3K1NR b KQ -,g8h8
r1bq1rk1/pp3pp1/4pn1p/8/2Pn3B/P1NB4/1P3PPP/R2QK2R b KQ -,e6e5
r3kb1r/pp1n1p1p/2p1pp2/8/3P4/2PbB1P1/PP1N1PBP/R3K2R w KQkq -,e1c1
8/8/p1R3r1/6k1/PP3p2/7P/5rP1/6RK w - -,c6g6
6B1/8/8/8/8/2K5/8/N2k4 w - -,g8c4
2k2r2/1p4p1/p6p/4p1Bn/8/1P3PP1/P1P1K2P/3R4 w - -,g5e7
8/8/1K1k4/8/1p6/1PbR4/8/8 b - -,d6e6
r5k1/4bq2/p1Rp2pQ/3Ppb2/PB3p2/1P6/1P4PP/5R1K b - -,f7d5
8/5pkp/2pq1b2/5Pp1/1pP5/1P3QP1/7P/rB3R1K w - -,h1g2
r2q1rk1/pp2b1pp/2n1bp2/2pnp3/8/PP1PPN2/1B2BPPP/RN1Q1RK1 w - -,b1d2
2rrn1k1/2qb4/p1p1p1pp/1pb1Pp2/3P1PP1/1Q2BN1P/PP6/2RR2K1 w - -,c1c5
5rk1/1p1n1r1p/p2p1np1/2pPp1q1/1PP1Pp2/P1N4P/2R1BPP1/2Q1R1K1 w - -,e2f3
3q1r2/2nbppk1/3p4/p1rP3p/1p1N4/1P2Q1P1/P3PPBP/3R2K1 w - -,e3g5
r1b2r1k/pp3pb1/4qNp1/2P1n1BP/7Q/R4B2/1P3P1P/5RK1 b - -,e6h3
2kr1b1r/1ppq1ppp/p4n2/3P1b2/2P5/2N1BP2/PP4PP/R2QK1NR w KQ -,d1a4
r7/4r3/p1p4k/PpNp2q1/1PnPP2p/1R1Q4/4R1P1/5K2 b - -,g5c1
7k/1p1r1qn1/pR1p1n1b/P1pP1p1p/2P2P1B/2N3P1/1PBQ3P/7K w - -,h1g2
6k1/5p2/pK6/1p4p1/1P5p/P4P2/6P1/8 w - -,b6a6
2r4k/1p4bp/r4n2/p1p3R1/2P1p3/Q1N1R1BP/PP1q1PP1/6K1 b - -,a6e6
1r4k1/pb3ppp/1q2p3/1p4PB/3n1P2/4Q2P/PP5K/2B3R1 b - -,b8c8
r7/1b1kqpp1/pn2p1p1/1p1pP2r/8/1P1QRN2/P1PN1PPP/1R4K1 b - -,e7a3
r2qkb1r/pp1npp1p/2p1bnp1/4N3/3P1B2/2N5/PPP1BPPP/R2Q1RK1 w kq -,c3a4
6k1/1p3p1p/2pbBp2/r7/P2P4/8/2N2PPP/R5K1 b - -,f7e6
8/3Q2k1/1p5p/6p1/PqP2pP1/7P/5PK1/8 b - -,g7g6
2rr4/3n1b1p/2pb1kp1/p1p1P3/N1P1p3/1P1N2PP/P3R1BK/4R3 b - -,d7e5
r1bqk2r/p1pp1ppp/1p3n2/2b3B1/3QP3/2N5/PPP2PPP/R3KB1R w KQkq -,d4e5
r1q2rk1/1ppb2bp/3p2p1/2nPppBn/1PP1P3/2N2N1P/2BQ1PP1/1R2R1K1 b - -,f5e4
2rr4/p1b1kpp1/4pn1p/1p1b4/8/1N2PP2/PP1NB1PP/2R2RK1 b - -,c7b6
1r6/p4pk1/3q2pp/2p5/P1BpR3/1P2nPPP/2P1QK2/8 w - -,c2c3
6k1/5p2/4p2p/4P3/1R2K2P/6P1/5r2/8 b - -,g8g7
5rk1/pp3pb1/2p1q1pp/3rP3/3P4/4Q1B1/5PPP/3RR1K1 b - -,a7a5
2r1k2r/4ppb1/p2pb2p/qp1Nn1p1/3BP3/5P1P/PPPQ2P1/1K1R1B1R b k -,a5d2
r4rk1/1bqnbppp/p2pp3/1pp2P2/3nP1P1/3P2NP/PPP1N1B1/R1BQ1RK1 w - -,c2c3
rnbq1rk1/1p2bppp/p1p1pn2/8/2NP4/2N3P1/PP2PPBP/R1BQK2R w KQ -,e1g1
2k4r/1pq3p1/p4p2/4p2p/P2b2b1/1B2BN2/1P2QK1P/R7 b - -,c8b8
2k2Q2/pp6/4p3/5p2/2qrp3/6P1/P4P2/4KR2 b - -,d4d8
8/8/8/2b1k3/2P1r1p1/6P1/2R3K1/8 w - -,g2f1
2r3k1/r2b1p2/p5p1/2b1P2p/5PP1/2NR3P/P1B4K/3R4 b - -,d7e6
2kr3r/pp2bpp1/2p1pn2/6q1/1PB3P1/P4Q2/1BPP1P2/2KR2R1 b - -,h8h4
r1bqr1k1/pp1n1pbp/2n3p1/2P1p3/8/2N1BN2/PP2BPPP/2RQ1RK1 w - -,c3e4
1k5q/pp6/4p3/3pPnP1/2pP1P2/P1P2Q2/3B3r/3R2K1 b - -,h2h3
r4b2/r2b1k1p/3P2p1/6B1/8/6P1/1P3P1P/2R1R1K1 w - -,g5e7
8/3qk1p1/7p/7P/5QP1/8/5PK1/8 b - -,d7c6
r4r2/pb1k3p/1qp1p1p1/1p1nB3/PbpPp3/2N2B2/1PQ2PPP/R4RK1 w - -,c3e4
2r5/p5kp/2p2pp1/2Rbp3/8/1P2P3/P2N1PPP/6K1 b - -,c8d8
4n1r1/1k1bq2r/1p1p2p1/p1pP1p1p/P1P1pP1N/1PQ1P1PB/2K2R1P/5R2 w - -,c2b2
3r4/R2P4/4kb2/4p1p1/B3P2p/1P3PP1/6K1/8 w - -,a7a6
2r2rk1/p2nq2p/Ppb1p3/3p1p2/3Pn1p1/1Q1BP3/1PR1NPPP/R3N1K1 b - -,d7f6
1r3rk1/pp1n1pp1/2pNb2p/8/8/P7/1P1RPPPP/4KB1R w K -,g2g3
rnbq1rk1/p4pbp/2pp1np1/1p1Pp3/2P1P3/P1NBBP2/1P4PP/R2QK1NR b KQ -,b5c4
r2qk2r/p2n1ppp/2p1p3/3n4/8/6P1/PP1QPPBP/R3K1NR w KQkq -,g1f3
rnbq1rk1/pp1p1ppp/2p2n2/2b1p3/2B1P3/3P1N2/PPP1QPPP/RNB2RK1 b - -,f8e8
8/7k/6Rp/2pp1p2/Pp2pP1P/1P2P3/1B1Qb2K/5q2 b - -,h7g6
1r3r1k/q5pp/3p1pn1/1B6/PpRbPP2/3Q3P/1P1B2P1/1R5K b - -,d4c5
8/5p2/4p3/7p/2kP2p1/r4PP1/3RK1P1/8 w - -,d2d1
r1r3k1/1bqnbppp/pp1ppn2/8/2PNP3/2N1BP2/PP1QB1PP/2RR2K1 w - -,e2f1
2r3k1/p4pbn/7p/B4Pp1/2Bp2P1/1P5P/P1rR4/3R3K b - -,c2d2
2r2rk1/q4ppp/p2pbb2/1p1Bp3/3nP3/PNNQ4/1PP2PPP/R2R2K1 b - -,e6g4
r2qr1k1/pppn1p2/3p1n1p/7b/1N1PP2p/5N1P/PPB2PP1/R2QR1K1 w - -,d1d2
6k1/1p1r1rb1/pn6/2qpp1Q1/8/1P4R1/1BPRNPP1/6K1 w - -,b2e5
r3b1k1/6p1/p1p2p1p/4pP2/Pp2P2P/1P1rb1P1/2R1NN2/5RK1 w - -,e2c1
rnbq1rk1/1pp2pbp/3p2p1/p2Pp1B1/2P1P1n1/2N2N2/PP2BPPP/R2QK2R b KQ -,f7f6
r2qk2r/pp2bppp/5n2/2np2B1/8/2P2N2/PP3PPP/RN1Q1RK1 b kq -,e8g8
r1bq1rk1/p2nppbp/2pp2p1/1p6/3P4/P1PBPNP1/1PQN1PP1/R3K2R b KQ -,a7a5
6r1/2q4k/4p1p1/1pB2p1p/1P2Pb2/2nP1QN1/7P/6RK b - -,f4g3
5b1k/3q3p/p2p4/1p1P1pRQ/3p4/P6P/1Pr3P1/4R2K b - -,d4d3
7k/2p4p/1p1p4/4n1p1/1P1q4/6PP/2B1QP1K/8 b - -,d4c4
1q2r1k1/1p1r1bbp/pBp1p1p1/4Pp2/PP2PP2/2Q3P1/6BP/3RR2K b - -,b8c8
6k1/6p1/8/3RP2p/8/6R1/5rPK/4r3 w - -,d5d8
r7/1q1r3k/5PpP/4p3/p2p3Q/3R2RK/P4P1P/8 b - -,a8g8
3rr1k1/pp3p2/1np2p1p/2q2P2/1b6/2N2B1P/PPQ2PP1/3R1RK1 w - -,c2c1
r1b1kb1r/pp3ppp/n1p2nq1/8/4p3/2N3PP/PPNPPPB1/R1BQ1RK1 b kq -,f8d6
8/2B5/2b5/p4p1B/Pb3P2/6k1/4K3/8 w - -,h5g6
6k1/4r3/2pB1b2/7p/p1Pp2p1/3P2P1/PPN2P1P/5K2 b - -,e7b7
rrq1n1k1/4np1p/p1p1pbp1/2PpN3/P2P1P2/R1B2PPB/3Q1K1P/R7 w - -,a1a2
2k1r2r/1p3pp1/pPP5/7p/8/1nN5/5PPP/3R1K2 b - -,e8d8
rn2R3/p4k2/2qp2pp/2p5/8/7P/P2B1PP1/R2Q2K1 b - -,f7e8
2rr2k1/1p2qppp/p3b3/3pN3/P2P4/1QR5/1P3PPP/3R2K1 b - -,c8c3
4r1k1/1p1q1pp1/p6p/2PB2n1/1P1P4/6P1/5PK1/2RQ4 w - -,d1b3
r1bqk1nr/pp1n1pbp/2p3p1/4p3/3pPP2/3P2P1/PPP1Q2P/R1BNKBNR w KQkq -,g1f3
r4rk1/p2qn2p/bpn1pbp1/2pp4/5P2/2PP1NP1/PP4BP/RNBRQ1K1 b - -,a8e8
r3k2r/ppqbn1pp/3b1p2/3pn3/3N1B2/2P2P2/PPB3PP/RN1Q1R1K b kq -,g7g5
6r1/7p/4k3/R7/3BP3/5P1K/3n1P1P/8 b - -,d2f3
r1bqk1nr/pp3ppp/2nb4/1B1p4/3P4/1PP2N2/5PPP/RNBQ1RK1 b kq -,g8e7
rnbqk2r/pp2ppbp/2p2np1/3p4/2PP4/1P2PN2/PB3PPP/RN1QKB1R b KQkq d3,e8g8
2r2r1k/6p1/pQ5p/5P2/8/7P/6P1/6K1 b - -,f8f6
6k1/p2n2b1/1p1Pp1pp/2p1P3/2P5/PP2Q1B1/2qNK1P1/8 w - -,e3f3
r2q1rk1/pbpn1ppp/1p1ppn2/8/2PP4/PP2PN2/1B1QBPPP/R3K2R b KQ -,d8e7
1r3rk1/ppqbnpb1/2np2pp/P1p1p3/2N1P3/2PP1NP1/QP3PBP/R1B1R1K1 w - -,c4e3
5k2/1p3p2/5p1p/R7/7P/pP2P1P1/r4P2/6K1 w - -,a5a7
8/p3k3/6p1/4P1n1/B1K5/8/8/8 w - -,a4c2
rnbqkb1r/pp3ppp/2p5/3np3/Q7/6P1/PP1PPPBP/RNB1K1NR w KQkq -,b1c3
7r/1b2kppp/p1p1p3/1pq5/P7/5QP1/4PPBP/3R2K1 b - -,c5b6
1k6/4P3/p7/1p1Q2pp/8/5P1P/r4rPK/8 b - -,f2g2
3r4/1bp2k2/1p3p2/p6P/P2rNnpN/1P2R3/5P1P/4R1K1 w - -,e4g3
2r1nrk1/3bbq1p/p3p1p1/1p1pB1P1/3P1P2/P1NB4/1P2Q2P/R4RK1 w - -,c3d1
2r5/5pk1/2bR2p1/p1N4p/P6P/1P2KPP1/8/8 w - -,f3f4
r4rk1/1bpnqppp/1p1pp3/p7/2PPnB2/1QP1P2P/P3BPP1/3RNRK1 b - -,e6e5
r1b2rk1/ppp1qppp/2np4/4P3/2P5/P1n2NP1/1P2PPBP/2RQK2R w K -,e5d6
8/1p4k1/2p2p2/p4Rp1/P1BPPb2/3K4/1PN3q1/8 w - -,d3c3
3r2k1/Q6p/3rp1p1/7n/8/2Pq4/PP6/2K1RR2 b - -,h5f4
8/2K5/2p5/3q4/4kp2/8/4Q3/8 b - -,e4d4
2r2rk1/1b2bp1p/pp1pqnp1/8/PP2PB2/1NNP4/1Q4PP/2R2R1K b - -,f6g4
8/5pk1/R2R2p1/2p4p/2b4P/6P1/1r1rPP2/5BK1 w - -,d6d2
5bk1/2n2ppb/2qprn1p/1p2pN1P/1P2P3/2P2QN1/2BB1PP1/4R1K1 b - -,d6d5
5k2/4Rp2/5P2/4P3/8/7r/3K4/8 w - -,e7c7
5bk1/2R2p2/2Q1p1p1/8/1p1q4/6P1/5P1P/6K1 w - -,c6f3
r2q1rk1/1p2b1np/p1b1p1pB/3pP3/1P6/P1NQ4/B4PPP/3R1RK1 w - -,d3h3
r2r4/p4pk1/1p4p1/2nPq2p/2p1PRbP/2P3N1/P1BQ2P1/2R3K1 w - -,c1f1
1rr1n3/3b4/3pkppb/Np2p2p/1P2P3/2NRBPP1/2P4P/3R2K1 w - -,e3h6
rnb1kbnr/p2p1ppp/1qp1p3/1p6/3PP3/2PB4/PP3PPP/RNBQK1NR w KQkq -,c1e3
r1bqkb1r/ppp1pppp/2n2n2/3p4/5P2/5NP1/PPPPP2P/RNBQKB1R w KQkq -,f1g2
3r1r1k/p6p/3N4/3p1P2/1p1np3/8/P5PP/3R1RK1 w - -,d1d4
r5k1/5ppp/2n1p3/nN1pP3/P7/3R1N2/1P3PPP/5K2 w - -,d3c3
8/5k1p/4p1p1/2p5/3qQP2/1P4P1/P1Pr1r1P/2KR3R w - -,e4d4
1r1q1rk1/5ppp/B1bp4/3Np1b1/pP2P3/8/1P3PPP/R2Q1RK1 w - -,a1a4
4rrk1/p2q1pbp/1pn1p1p1/2p1p3/1PP1P3/P1NPB3/4QPPP/1R2R1K1 b - b3,c5b4
r1bqk2r/p2nbp1p/2p1p3/2ppP3/3P2p1/2P5/PP1N1PPP/R1BQNRK1 b kq -,c5d4
2k5/2p4p/1p6/3K4/2P1QP2/1p4rP/3q4/8 w - -,d5c6
8/5k2/1p3pn1/p2pp2p/3Pn1pP/3NP1P1/PP2KP2/2B5 w - -,a2a4
rnbqk2r/p3ppbp/1ppp1np1/8/P2PP3/2N1BP2/1PPQ2PP/R3KBNR b KQkq -,c8a6
r3kb1r/pp1n1ppp/3Pp1n1/q1p1P3/2p5/5N2/PP1NQPPP/R1B1K2R w KQkq -,e1g1
r2q1rk1/1p1bbppp/p2ppn2/2p4P/P2nPP2/1PNP1N2/1BPQ2P1/R3KB1R b KQ -,h7h6
2b4R/3k4/1p1Np3/2r4p/2PK4/5P2/8/8 w - -,d6c8
2q2rk1/2P1p2p/1Q1p2p1/2n1Pp2/1p6/1P2b1P1/PBR4P/3R1B1K w - -,b6b8
8/8/3nk3/R7/5K2/8/8/8 b - -,d6c4
rnbq1rk1/pp3ppp/2p2n2/3Pp3/1b2P3/2NP2PP/PP3PB1/R1BQK1NR b KQ -,c6d5
rnbq1rk1/1p3pbp/p2p1np1/2pP4/P4B2/2N1PN1P/1P3PP1/R2QKB1R b KQ a3,f6h5:f8e8
r1bq1rk1/1p2ppbp/p1p3p1/P2pP3/3PN3/2P1B2P/2P1BPP1/R2Q1RK1 b - -,d5e4
1k1r3r/7p/p1p1pp2/qp3b1Q/3Pn3/1BP2NP1/PP3PP1/K2R3R b - -,e4f2
3r3r/ppk1b1pp/2n5/8/3p1P2/8/PP3BPP/1K1R1B1R w - -,f1b5
1r4k1/p1p2p1p/3bp3/6p1/2qP1P2/P1N1P2n/1r4KP/R1BQ1R2 w - -,c1b2
r4nk1/pp3pp1/2p1b3/q3P1b1/3p4/2NBP3/PPQ2P2/2KR3R w - -,c3e4
8/7k/8/5N1P/6PK/8/2b5/8 w - -,f5d4
r1bqk2r/1pp1nppp/p1pb4/4p3/4P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,b1d2
1r1qk2r/pp2npbp/2n1b1p1/2pPp3/8/2NP2P1/PPNBPPBP/R2Q1RK1 b k -,e7d5
r4rk1/1p1n1pp1/p1bqpn1p/4P3/P7/2N2NP1/1P3PBP/3R1RK1 w - -,d1d6
7k/3n1pb1/1pBPq1r1/p1p1PR2/2P3p1/P2Q2Pn/1P5P/5R1K w - -,c6d5
r4rk1/ppqb1pp1/3bpn1p/4N3/8/3B4/PPP1QPPP/R1B1R1K1 b - -,a8d8
2r3k1/1n4p1/p3p3/1p1nP1Pp/3PN2P/2P2R2/3BK3/8 w - -,g5g6
r2qr1k1/1pp2pbp/p1n3p1/2P2b2/1P1P4/P1N1B1N1/5PPP/R2Q1RK1 b - -,c6d4
1n1q1rk1/rbp1bppp/p3p3/3p4/3P4/1QNBPNP1/PP3PP1/2R2RK1 b - -,b8d7
8/2p5/3p1k2/2p4p/P1B1K1b1/P4r2/8/7R b - -,f3a3
rnbqkb1r/ppp1pppp/3p4/2P1P3/8/2P5/PP3PPP/R1BQKBNR w KQkq -,f1c4
rnbqkb1r/p1pppp1p/1p3np1/8/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq -,f1d3:c2c4
r5k1/5pnp/p2p1qn1/PppPrNp1/4P1P1/5R1P/1PBQ1P2/1R4K1 b - -,g7f5
8/6K1/4k3/3p3P/1N4n1/4P3/8/8 w - -,h5h6
5r2/p4p1k/2p3PP/1p1nR3/2pPN3/2P3K1/P4P2/8 b - -,h7g6
1rb1r1k1/ppqn2pp/3p1pn1/2pPpNB1/2P1P3/2PB1P2/P2Q2PP/R4RK1 w - -,g5e3
8/8/4r1k1/R6p/5p1K/5P2/8/8 b - -,e6e3
3B4/8/1p5R/2b1kp2/6pK/6P1/7P/7r w - -,d8b6
3r2k1/pp3p1p/2nNB3/8/8/2P1r1P1/1K1RP2P/3R4 b - -,e3e6
r4rk1/1b1nbppp/1q2pn2/p1p5/Pp6/3P1NP1/1PQNPPBP/R1B2RK1 w - -,b2b3
r6r/1bqpk3/1p2ppn1/8/4PpPp/1PP4P/P2Q1PB1/R2N1K1R w - -,d1b2
8/5p1R/pr1k4/5p2/2KP1pP1/1N6/P7/8 b - -,f5g4
3q2k1/3rn1p1/p3bp1p/1pR1p3/1P2P3/P4NP1/4BPP1/2Q3K1 b - -,g8f7
3r1k2/1p3p2/p1p1Pbp1/7n/PP4RP/2B2P2/2K1N3/8 w - -,e6f7
3qkb1r/p2n1ppp/1pn1p3/3pP3/2rP1P2/PP1Q1NP1/3B2BP/1R1R2K1 b k -,c4d4
1k2r3/6R1/PP6/6p1/K7/3p4/8/8 w - -,a6a7
8/1p1r3p/p1p5/2P2K1k/1P6/7P/P2p4/3R4 w - -,a2a4
r4rk1/pp1nqppp/2pb1n2/4p3/2PPp3/PP3BP1/1B1N1P1P/R2Q1RK1 w - -,d2e4
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NPP2/2N5/PPP1B1PP/R1BQK2R b KQkq f3,b7b5
5r2/6kp/2NP2pn/1b1B4/2pN2P1/7P/8/7K w - -,d4b5
8/3k4/p1p5/7p/2N3b1/1P6/P5PK/8 w - -,c4e5
2rq1k2/5p2/pp2p3/3nN2b/P1pP1b1P/2P5/1Q3PB1/R3RK2 w - -,e1e4
8/p7/p5p1/4k3/7P/6P1/PP3K2/8 w - -,f2f3
r4bk1/1p2rpp1/3p3p/N2n4/P7/6PP/1P1B1P1K/2R1R3 w - -,e1e7
8/1p2k2p/r2p2p1/3Pp3/1P1nB3/P5P1/5K1P/R7 b - -,d4b5
2b2r2/2p2rkp/p1Pp1np1/1p1Pp1b1/1P2P3/P1N2PP1/2N1K1B1/3R1R2 w - -,d1d3
r1bq1r1k/p5bp/6p1/4p1N1/1P1Bp3/1Q4P1/P4P1P/R4RK1 w - -,d4e3
1nrr2k1/pq2bpp1/1p2p1np/2p1PP2/2P5/2NP2PN/PB2Q2P/2RR2K1 b - -,e6f5
5nk1/3b1pp1/2p4p/p2p1Pq1/3Q4/2P5/PPB3PP/5RK1 w - -,f5f6
2r3k1/2Pn1ppp/3Rn3/2p1p3/4P3/1P3P2/1B1N2PP/6K1 b - -,c8c7
3k1b2/2nb3p/6p1/B3Q3/p3N1P1/5B2/6KP/1q6 b - -,b1c2
r1r3k1/1p2pp1p/p2p2p1/5P2/b2bP1PP/B4B2/P1P5/1K1RQ2R b - -,a4c2
6R1/4b3/2K1Bk2/p1p1pP2/3r4/8/P7/8 b - -,e5e4
r3kb1r/pp1n1pp1/1qp1p3/3nPbBp/2BP3P/2N2N2/PP1Q1PP1/R3K2R w KQkq -,e1g1
3r1rk1/4ppbp/p1pq2p1/3p2Bn/3P4/N1P5/PP1QbPPP/R3R1K1 w - -,d2e2
r3kbr1/1bqn4/p2pp2p/6p1/1pNP2PP/2P1PN2/PP2Q3/1BKR2R1 b q -,b4c3
6k1/pp3p1p/6p1/2P2b2/PP3b2/2r5/1K1R2PP/3R4 b - -,f4d2
rn1qkb1r/pp3ppp/4pn2/3p4/3P4/2N1PQ2/PP3PPP/R1B1KB1R w KQkq -,f1d3
r4rk1/p1q2pbp/2nppnp1/1pp5/4P3/2PPN1P1/PP3PBP/R1BQR1K1 b - -,h7h5
r2qkb1r/1p2nppp/p1n1p3/2P1Pb2/2Pp4/N2B1N2/PP3PPP/R1BQ1RK1 b kq -,f5d3
