n1B5/6p1/3k3p/4p3/8/1P4P1/5PKP/8 b - -,a8b6
1r3bk1/1b3pp1/1q2p2p/p1p5/P1P1NB2/1PQR1P2/6PP/6K1 b - -,b8d8
1B6/4rk2/4pp2/3p2PQ/p2P3b/2P1n2P/2P5/q4B1K b - -,f7g8
r5k1/1pp1r1pp/3b4/p3p3/Pn2P3/1P4PB/1B3P1P/2R2RK1 b - a3,b4d3
7k/5p2/1p3p1p/p1rP4/P1P1nP2/1K6/7P/3R2R1 b - -,e4d6
r5k1/ppqnrpp1/2p4p/5b2/3PpN2/2P1Q3/PP3PPP/R3RBK1 w - -,a1d1
r3rbk1/5p1p/b3pPq1/3p4/1p1B2Q1/1P4P1/5RBP/R5K1 w - -,g4h4
8/p4pk1/B4n2/4N1pp/3n4/7P/PP1R2PK/2r5 b - -,d4f5
1r1q1rk1/1p1bbppp/p1nppn2/2p5/P1P1P3/2NPBN1P/1P1QBPP1/R4RK1 b - a3,d8c7
rnbq1rk1/ppp1bppp/3p1n2/4p3/3PP3/2N3P1/PPP1NP1P/R1BQKB1R w KQ -,f1g2
3q1r2/1b1rbpkp/p1n3p1/2p1p3/P3N2P/2PPPQN1/B5P1/3R1RK1 w - -,f3g4
r4rk1/pbpp2bp/2p3p1/4p3/qPP2P2/B7/3NBQPP/R4RK1 b - -,a4c2
6k1/p3npbp/b1n1p1p1/2p1P3/2P2B2/P5P1/1r1NRPBP/5NK1 b - -,a6c4
8/5pk1/4pp1p/R7/4P3/6P1/3r1PKP/8 w - -,h2h4
r4rk1/1Nqn1p1p/p5p1/2p5/2B1p3/R1P1P1PP/1PQ3P1/R5K1 b - -,c7b7
rn1qk2r/p1pp1ppp/bp2pn2/8/2PP4/5NP1/PPQbPP1P/RN2KB1R w KQkq -,b1d2
4r1k1/pp3ppp/1bb5/3p2q1/1P2r3/P1R1PQNP/5PP1/2BR2K1 b - -,e4e6
5n1r/pp2rpb1/2pk2p1/3p2P1/3P1N2/4PR1B/PP1K1P2/2R5 b - -,h8h4
8/7R/p2pNk2/1ppPb3/2P5/P7/1r6/6K1 b - -,b5c4
r2q1rk1/ppp2pb1/2npbnpp/4p3/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - -,b2b4
2b2n1r/2k3r1/1p1p1n2/p1pPp3/P1P1Pp1p/5B1P/1PR3P1/1K2QN2 w - -,b1a2
1R6/8/6b1/r5kp/8/8/6PK/8 b - -,a5a2
2r1r3/1p3pk1/p2p2p1/8/2P1PP2/2R2Qpq/PP6/3R2K1 w - -,f3g3
1rq2rk1/3bppb1/1p1p1np1/pNp4p/PnP2N1P/1PBPP1P1/5PB1/1R1Q1RK1 b - -,f6e8
8/2P5/8/p3PB2/P2K1k2/8/8/5q2 w - -,c7c8q
2r2rk1/ppQ3bp/2p1p1p1/7n/1PnBP3/P1N4P/2P1N1P1/1K1R3R b - -,c8c7
r4rk1/2qbbpnp/p2p2pB/nppPp3/4P3/1PP2N1P/P1B2PP1/R2QRNK1 w - -,g2g4
5q2/pbNr2k1/1p1P1rpp/8/1P2np2/PB2P2P/1Q3PP1/2RR2K1 b - -,g7h7
4r1k1/2p1r1bp/1pq1bpp1/p7/2P1P1P1/3PB1RP/2P1QN2/3R2K1 w - -,e3c1
5r2/8/2p1p2k/2PpP3/3P2Rp/1PKR2pP/5rP1/8 b - -,h6h5
4k3/5pp1/7p/3pP3/2pP2P1/1pP2K1P/qP6/1Q6 w - -,b1f5
1r1q1rk1/p2bb1pp/1pn5/2p2p2/2N1NR2/3P2P1/PP2P1BP/2RQ2K1 w - -,e4d2
r4rk1/p3bppp/1pp2p2/8/3P4/2P1BN2/PP1RbPPP/2K4R b - -,e2f3
8/8/6p1/PR3pkp/1P2p3/8/r7/5K2 w - -,b5b6
1r6/p2r2b1/2p1b3/2B1p2k/1p2P1p1/1PpB1P2/P1P1K3/R4R2 w - -,f1h1
r2qkb1r/pppbnppp/3p4/1B6/3BP3/2N5/PPP2PPP/R2QK2R b KQkq -,d7b5
rnbqr1k1/p2p1pbp/2p2np1/2N5/4P3/2N2P2/PP2B1PP/R1BQK2R b KQ -,d8e7
8/R5pk/7p/3n1N2/5P2/7P/P5r1/4K3 b - -,d5f4
1r6/1r1q2pk/2p2p1p/2P1p3/PP1pP3/3Q2P1/1R3P1P/1R4K1 b - -,d7e7
1k2r3/2p5/1p1p1p2/pPnP1P2/P2KP1p1/1P2R3/5qB1/3Q4 w - -,d1e2
7b/5N2/4k1K1/7P/5PP1/8/8/8 b - -,h8f6
1r6/2R5/1p2B1k1/p2pK2p/P2P4/1P2n3/8/8 w - -,e6c8
1q3rk1/p1p2pb1/3pn1pp/B3p3/6P1/Q4P1P/Pr3P2/2RR1BK1 b - -,c7c5
2kr3r/5ppp/bp1n4/3N4/1P3N2/4P3/P5PP/2KR3R w - -,d5b6
r4r2/pp2P1bk/3p2pp/4p3/1P1n4/3Q4/P3BqPP/R1BR3K b - -,f8e8
2n2k2/1p2b1pp/p7/1n1BPp2/bP1P1P2/P3B3/3N2PP/5K2 w - -,d5b7
6k1/r5p1/1p1p3p/1BpPp3/P3P3/2PK4/8/5N2 b - -,h6h5
r5k1/1p2ppb1/q3n1p1/4P2p/2r5/2N4P/PPPQ2P1/1K1RR1B1 w - -,a2a3
4R3/1p3pk1/2p5/2n1NK2/1r6/8/8/8 b - -,c5e6
r6k/1p4p1/7p/p3P3/3pP3/8/3p2PP/3R2K1 w - a6,d1d2
4br1k/1p4bp/1q2p2p/p2pN3/1P1P2Q1/P5N1/5PPP/4R1K1 w - a6,b4a5
8/6r1/p3p3/PpPb1p1p/1P1k3P/5P1K/3N4/2R5 b - -,d4e3
r1bqk2r/pppp1ppp/2n5/4P3/2P5/P7/1P1BPPPP/R2QKB1R b KQkq -,c6e5
r1r1q3/1p2p2k/3p1bp1/p2Pn2p/2P3P1/1P2B2P/P1R3B1/3Q1RK1 b - -,h5g4
2bqr1k1/rp3ppp/3b1n2/nR2p3/P1Np4/1Q1P1NP1/4PPBP/2B2RK1 w - -,c4a5
rn1qk2r/1bp2ppp/pp1bpn2/3p4/2P5/1PN1PN2/PB1PBPPP/R2QK2R w KQkq -,d1c2
r2q1rk1/ppp3pp/2n1bp2/4p3/3pP3/P2P2N1/1PPN1PPP/R2Q1RK1 b - -,d8d7
r2R4/1pk2p1p/2p2p2/4p3/p1P5/P3b3/1P2Rn1P/1B5K w - -,h1g2
5k2/1p3p1p/1pp5/3r1p2/5P2/PPR1K3/6PP/8 w - -,e3f3
r3k2r/1ppqbpp1/p2pb2p/8/3n1B2/2P5/PPPQBPPP/1K1R3R w kq -,d2d4
r5k1/1p3ppp/1Bb1p3/8/p1P5/Pn2PP2/1K2B1PP/7R b - -,g8f8
3rr1k1/pp5p/2n3pq/5pN1/8/2PB2R1/P1P2Q1P/R4K2 b - -,c6e5
r1bqr1k1/1pp2ppp/3p1n2/p1b1n3/2P5/1PN1PN2/PB2BPPP/R2Q1RK1 b - -,e5g4
r1bq1rk1/p4pBp/2p3p1/8/5n2/P4N2/1P2BPPP/R2Q1RK1 b - -,g8g7
3r1rk1/p6p/1pp1b1p1/2p1b3/P1P1P3/3BBPp1/3Q2Pq/R2RNKN1 w - -,a4a5
rn1k2r1/pp2q2p/2p2Bb1/3p1P2/6P1/2N4P/PPP5/2KRR3 w - -,f6e7
3r1rk1/pp3ppp/2n5/8/3Q1B2/8/PP3PPP/R4RK1 b - -,c6d4
6k1/p4pp1/2q2n2/6p1/5n2/5PN1/B2R2PP/3R2K1 w - -,d2d8
rnbqk2r/pp1ppnbp/2p2pp1/8/3PP3/2PB1N2/PP3PPP/RNBQR1K1 b kq -,d7d6
1r6/8/1b1p2p1/4k2p/2B1Pp2/2P2K1P/RP3P2/8 w - -,a2a1
r2qk2r/pp1nnppp/2p1p3/3p4/3bP3/2NP2QP/PPP1BPP1/R1B2R1K b kq -,e8g8
1nb5/1p2kp2/1Pp2n2/2Pp1Pp1/1N1P2P1/2N1KB2/8/8 w - -,c3d5
4r1k1/5p2/2p1r1p1/p1RnNq2/Pn1P3N/6P1/4RPK1/3Q4 b - -,f5h5
8/pr1k4/R3p3/1P6/2PP4/2K5/8/8 w - -,c3d3
1n2k2r/3b1pp1/pR1b3p/P1qBp3/4Q1PP/8/2P1KP2/7R b k -,d6c7
2r2rk1/1pqnbpp1/p3bn1p/3p4/P1pP3B/2N1PN1P/1PQ1BPP1/1RR3K1 b - a3,c8b8
8/1p2k3/p1p2n2/2Ppr3/8/1R5P/PPB3P1/7K w - -,b3b7
r2b1k2/3b1ppp/pB1P4/P1r5/8/6P1/5P1P/2R2BK1 w - -,c1c5
r2qkb1r/4nppp/p1p1p3/2pp4/4PP2/2NP1R2/PPP3PP/R1B1Q1K1 w kq -,f4f5
rnbq1rk1/pp2bppp/2p2n2/3p2B1/3P4/2N1PN2/PPQ2PPP/R3KB1R b KQ -,b8d7:f6e4:c8g4:h7h6:f8e8
2r3k1/pbr3pp/1pq2p2/8/2NRp3/QP2P1P1/P4P1P/3R2K1 w - -,a3a7
q1r3k1/3nb2p/4pP2/p1r5/2N2Pp1/1PR3P1/P2N1K1P/1QR5 b - -,e7f6
r1qr2k1/pb2ppbp/1p1p1np1/4n3/2P1P3/1PN1N1P1/PB3PBP/R2Q1RK1 w - -,d1e2
r1rq1b2/3b1k1n/1p1p1p1p/pBnPp1pP/4P1P1/N1N1BP2/PP2QK2/R1R5 w - -,f2g3
2rq1r1k/1bnnbppp/2p1p3/1p2P3/p2P4/P2NB1PQ/1P1N1PBP/2R2RK1 w - -,g2e4
2b5/4k1p1/1q2p2p/3pPp2/P2p1P2/rPrP2P1/R2QK2P/1R1B4 b - -,c3d3
2rq1rk1/1p2bppp/p3p3/3pBb2/3PN3/P3P3/1P2BPPP/2RQ1RK1 b - -,f5e4
2R5/2p2pk1/P2b3p/3P1K2/r1B2P2/6P1/8/8 w - -,c4e2:c4b5
8/p4N2/1p6/1kpP2p1/2n3P1/5K2/8/8 w - -,f7g5
r1b2rk1/2qnbppp/p2pp3/1p4P1/3BPP2/8/PPPQN2P/2KR1B1R b - -,c8b7
rq2rnk1/1p1b1pp1/p1pb4/3p2p1/PP1P4/3BPN2/2Q1NPP1/1RR3K1 w - -,f3g5
3r1bk1/5pp1/p1n1b2p/1pn1pN2/2p1P3/2P1B2P/PPB2PP1/1R3NK1 b - -,b5b4
3q1rk1/4ppBp/p5p1/2pn4/2p5/Pr1b2PN/3P1PBP/2RQR1K1 b - -,g8g7
8/pppkpp1p/7r/8/5P2/6P1/PPP1R1KP/8 b - -,c7c5
r2q1rk1/1b1n1pbp/pp2pnp1/8/P1PP4/2N2N2/1BQ1BPPP/R2R2K1 b - a3,a8c8
r1bq1rk1/p3bppp/2n1pn2/3pP1B1/2pP3P/2p2N2/PPBNQPP1/R3K2R w KQ -,b2c3
1r4k1/3b1p1p/pp1p1qp1/n1pP4/P1P3P1/1PR2N1P/4rP2/2Q2BK1 w - -,f1e2
8/5p2/4pk1p/1R6/4PP2/5PKP/8/r7 b - -,a1g1
2r2rk1/1p2bppp/p2p1n2/N2P4/P1q5/2P1B3/1P1Q2PP/R4RK1 b - -,c4d5
8/4n3/1p4kp/1P2P2P/4K1B1/8/8/8 b - -,g6f7
r3r1k1/1p3pbp/6p1/3P1N2/PQ2p3/6P1/1q1P1PBP/5RK1 w - -,f5h6
8/8/1kpb4/8/2PQ2K1/8/8/5r2 b - -,d6c5
r3br1k/1pn1q3/p2p3b/P2Pp1P1/1P2Bp1B/2NQ1P2/3KN3/1R6 b - -,h6g5
8/3k4/1P1B4/8/4K3/8/8/8 b - -,d7d6
r1Nr2k1/p2nqpbp/1p4p1/1PpPpB2/P3P3/5R2/1BQ2PPP/3R2K1 b - -,a8c8
6k1/3r4/p3p1p1/n1n1p3/4P3/1pP4P/1P4P1/1BR2NK1 b - -,a5c4
3q1k1r/r4ppp/p1np1n2/2bP4/1p3Bb1/6P1/PPPQ1PBP/R3R1K1 w - -,d5c6
2r2r2/1R3pkp/B1Pp1np1/8/8/5P2/P5PP/2R3K1 b - -,c8a8
1r3rk1/2qb1ppp/p2pp3/2p3P1/P1pnPP2/2NP2P1/1P4B1/1R1Q1RK1 w - -,g1f2
r2q1rk1/pppn1ppp/3b1n2/3p3b/3P4/3BBN1P/PPP2PP1/RN1QR1K1 w - -,b1d2
r2q1r2/pp1n3k/2p1p1p1/3nP3/PbB2PP1/2N1P3/1P2Q3/R1B2RK1 w - -,c3e4
6k1/5p1p/3qp1p1/p1p1B3/4B2P/6Q1/5PPK/3r4 b - -,d6e7
1r6/3bk1p1/4p2p/3pPp2/pP1N1P2/2PK4/6PP/R7 w - -,g2g3
r3r1k1/1b2pp1p/pP4pb/N1p1q3/2P5/3B3P/1P3PP1/R2Q1RK1 b - -,a8b8
r2q1rk1/1bp1bppp/np1pp3/pN6/2PPnB2/5NP1/PP2PPBP/2RQ1RK1 w - -,a2a3
2k1r3/1pp2pp1/p2p1b1p/1q6/2n2PP1/1PPR1Q1P/P1P3B1/1KB1r1R1 w - -,g1e1
8/R7/2k1pB2/1nnpP3/8/p7/5P2/3K4 w - -,a7a8
r1b2rk1/ppqn1pbp/n2pp1p1/2pP4/2P1PP2/2N2N2/PP1BB1PP/R3QRK1 w - -,d5e6
r5k1/2p2ppp/1nqbpn2/1p6/3PPP2/2NQ1RP1/1P4KP/2B5 b - e3,b5b4
3qr1k1/rbp2pp1/1p1p1n1p/p1nP4/4P2N/1P4P1/PBQ2PBP/3RR1K1 b - e3,c5d7
8/6p1/1p1k1p1p/p1p2P2/P1PpK1PP/3P4/1P6/8 w - -,e4f4
3rr1k1/4bpp1/2pp3p/p1q1pP2/P3P3/1PNR1QP1/2P3P1/3R3K b - -,e7g5
5r2/p3n3/2ppq1pk/2p4p/4Pp2/3P3N/PPP3QP/5RK1 w - -,f1f4
1r3rk1/p2b2b1/2p3pp/2Rp1p2/3P4/3BPN2/P4PPP/R5K1 w - -,c5a5
2r1k2r/pp1b1ppp/q1n1pn2/2b5/2Np4/1P1Q1NP1/P3PPBP/R1B2RK1 w k -,c1b2
r5r1/1kp1np2/1p2b1pp/p1p1P2N/5P2/P6P/1PPR2PN/4R1K1 w - -,h5f6
2k1r2r/1bppqnpp/1p6/p2P1Q2/2P1PP2/P7/1P1N2P1/2KR1B1R b - e3,f7d6
r1bq1rk1/p3ppb1/n1pp1npp/8/Pp1PP2B/3B1N2/1PPQNPPP/R4RK1 w - -,e4e5
4r1k1/5pp1/7p/4qN2/3Q2P1/2n3P1/4pK1P/4R3 b - -,c3d1
2rr2k1/1b2bpp1/pq2p2p/1p6/1P1Pn3/P2B3P/1B2QPP1/2R2RK1 w - -,d3e4
r1bqr1k1/ppp1n1b1/3p2pp/2PPp3/4N3/1Q2BN1P/PP3PP1/2R1K2R b K -,e7f5
8/4p3/R4b2/2r1pk2/p4r1p/P1B4P/1PK1RP2/8 w - -,c2b1
8/1p3bk1/p1p2Rp1/2P3P1/7p/1P4b1/P5B1/7K w - -,g2e4
4r2k/1b4pp/1p4qr/2np1p2/3N4/4PPB1/5QPP/3RR2K w - -,d4e2
8/3n2k1/1p5p/p1pPp3/P3P1PK/1P2N3/8/8 b - -,d7f6
1rbqr1k1/3n1p1p/p5pb/3pP3/3B1P2/2N1Q3/PP2B1PP/R3K2R b KQ -,f7f6
7r/p7/1p1bpk2/3p4/3P2R1/2PN1K2/PP6/8 w - -,g4g2
rnbq1rk1/p1p1ppbp/1p1p2p1/7n/3PP3/1NPB1N2/PP3PPP/R1BQ1RK1 b - -,c8b7
r2q1rk1/ppp1bp2/2n2n1p/3p1bp1/3P4/P1NNPP2/1P2B1PP/R1BQK2R w KQ -,d3f2
r2qk2r/2p1npb1/p1ppp1pp/8/3PP2P/2N1BQ2/PPP2PP1/1K1R3R b kq -,d8b8
r3kbr1/1p1bnp1p/1q2p3/1P1pP2p/p2P4/P4NPP/1R3P2/1N1QKB1R w Kq -,f1e2
7r/4k3/1p2p3/p1b5/P1P1P3/1P1R1N2/6K1/8 b - -,h8g8
8/8/p3k3/1b1R4/p1pP4/2P5/2P2K2/8 w - -,d5h5
r1b1q1k1/ppp1p1b1/2npprpp/3n4/2BP1P1N/2P5/PPQBN1PP/R4RK1 b - -,e8f7
8/4Pk2/8/p4p1p/1p1K1P1B/8/P7/8 w - -,d4c4
5rk1/Bb2r1pp/5b2/q2ppB2/2p3Q1/2P4P/P4PP1/3RR1K1 w - -,a7e3
3qkb1r/1b1n1ppp/p2p1n2/1p2p3/P3P3/1Nr2B2/1PP1QPPP/R1B2RK1 w k -,b2c3
2R5/br2kp2/p4p2/q7/3pP3/1P1R2P1/5P1P/2Q3K1 b - -,b7d7
r2q1rk1/pb1p2pp/1pnp1n2/4Pp2/1PP5/PN2PN2/5PPP/R2QKB1R b KQ -,c6e5
5rk1/pp1nq1pp/2p1p3/3p4/3PP3/2NQ4/PPP3PP/5RK1 w - -,f1f8
r1bq1rk1/1p2bppp/p1n1pn2/3p4/1PP5/P4NP1/1B2PPBP/RN1Q1RK1 w - -,d1c2:b1d2
5k2/1p2R3/6pp/1r2p3/4P2P/5PK1/5P2/8 w - -,e7h7
4rrk1/1p1q2bp/n2p4/2pP3n/2P1p3/PRNNB3/6PP/4RQK1 w - -,f1e2
8/7k/4r1p1/pp3p1p/5P2/1KP5/PP1r4/2R2R2 w - -,c1c2
8/5p2/8/1p2P3/1k1N1P2/2pP2P1/1r5P/3K4 b - -,b2d2
rn1q1rk1/pppbppbp/5np1/3p4/8/1P1P1NPP/PBP1PPB1/RN1Q1RK1 b - -,d8c8
r1bqk1nr/1pp2pp1/2np3p/p1b5/P1BpP3/2P2N2/1P3PPP/RNBQ1RK1 w kq -,f3d4
r3r1k1/1ppq1pbp/p1n3p1/3np3/1P4b1/P2PPN2/1BQNBPPP/R3K2R w KQ -,e1g1
2q2rk1/1p1npp2/p2p2p1/7p/b1P1P3/1Nb1BP2/P1P1Q1PP/3R1RK1 b - -,d7e5
r3r1k1/1bpnqpb1/1p1p1np1/p2Pp2p/1PP1P3/P2B1NN1/1BQ2PPP/3R1RK1 b - -,c7c5
r3rbk1/5pp1/1pqp1n1p/n3p3/2P1P3/3PNN2/3B1PPP/R2QR1K1 b - -,a5b7
3r4/5kp1/8/p3p3/PN5p/1P2B1bP/2P3P1/5K2 w - -,b4d3
rn1qkb1r/pp2pppp/2p1bn2/8/3P4/2NQ4/PP2PPPP/R1B1KBNR b KQkq -,b8a6
3r1r1k/1b1n1ppp/pqp1p3/1p4BQ/PbpPP3/2N3P1/1P3PBP/R2R2K1 b - -,f7f6
1r3r1k/6pp/8/5q2/Qn2pN2/5bP1/PP3P1P/R1B1R1K1 w - -,h2h4
8/p1Rp2k1/3B1p2/6p1/8/P5P1/6BK/1q6 b - -,b1f5
2r2r2/1p6/p4pnk/2pq1bp1/3pN3/P2P4/1P1Q1PPN/2R1R1K1 w - -,h2f1
2rq1rk1/pp2npb1/3p1npp/2PPp3/1PB5/B1N3Pb/P4PNP/R2Q1RK1 b - -,e7f5
2r1kb1r/1p1n1ppp/p2p1n2/4pP2/P3P3/1NN1B3/1PP1K1PP/R6R w k -,a4a5
4q1k1/1p3pp1/p1b4p/P2p4/3B4/1PP2PP1/3Qr2P/3R2K1 w - -,d2c1
r1b1k2r/ppp1nppp/4q3/3pP3/1P1P1P2/3Q4/P2NB1PP/R4RK1 b kq -,h7h5
2rq1rk1/1b2bppp/p1p1p3/3n4/2NP4/PP4P1/1BQ2PBP/R4RK1 w - -,b3b4
3nnb2/1k3p2/1ppp3p/1K1Pp1pP/1PP1P1P1/2N1BP2/8/2N5 w - -,d5c6
3r4/R2B4/3k1p1p/p2pp3/8/8/P1P3PP/5K2 b - -,d8d7
4r1k1/pp4np/2pp3q/5r2/2PPN3/5p1P/PPQ2P2/1K1R2R1 b - -,f5f4
r2qk2r/1p1bnpbp/p1n1p1p1/3pP3/3P1P2/3BNN2/PP1BQ1PP/R4R1K w kq -,d2c3
3rr1k1/p1q2ppp/5n2/2pPpb2/2p5/P3P2P/1B1NQPP1/R4RK1 w - -,e3e4
r1b3k1/ppq3p1/2nb3p/3p1p2/3P3B/8/PPQ1NPP1/R3R2K w - -,h1g1
r5k1/pp3r2/3p1q2/2pQ1p2/6p1/6P1/PP3BK1/R4R2 b - -,a8e8
2kr3r/ppq2pb1/2p3pp/3n1p2/2QP3P/8/PPPBNP2/1K1R2R1 w - -,c4d3
2r3k1/6b1/8/p7/3nN3/6B1/r4PP1/1R3R1K w - a6,b1b7
r2qr1k1/1p1nbppp/2p1pn2/p7/2PP4/PP1Q1NN1/1B3PPP/R4RK1 b - -,d8c7
r2qr1k1/3n1ppp/pp1p1b2/3Pn3/P1PQ4/1N2B3/1P2B1PP/R4RK1 w - -,d4f4
r3r1k1/2q2p1p/p1p1n1pb/2Pp1p2/P2P1P2/2BBPP2/3Q3P/1R3RK1 b - -,c7e7
6k1/5p1p/4p1pb/8/4P3/P4P2/2rNK2P/1R6 w - -,b1b8
r4rk1/1p1q1pb1/2pp1nnp/4p1p1/1PP1P1P1/3PBN2/4NPBK/1R1Q1R2 b - -,f6g4
4r1k1/1q2rp1p/2bp2p1/1pp3B1/2PbPNP1/1P6/2B4P/2QRR2K b - -,e7e4
1r5k/1b5p/1N1r2p1/PppPR3/8/7P/1P4P1/3R3K w - -,e5e7
r2qr1k1/1p1n1ppb/2pbpn1p/p2p4/2P5/1P1P1NP1/PB1NPPBP/1QRR2K1 b - -,d8e7
r1b2r2/1pp4k/p5pp/2N5/P7/b3B2P/2P2PP1/1R3RK1 w - -,c5b7
rn6/bp3Q1p/2kq1P1B/1n1ppP2/p1rP4/P5PP/1P1R2B1/5RK1 w - -,f7e8
r5k1/1p2RpPp/2pp4/8/p1Pn4/1P3B2/P5PP/6K1 b - -,a4b3
8/8/1p3k1p/5ppB/8/1P3KPP/8/4b3 b - -,g5g4
r4rk1/1p2n1p1/p1p2p1p/2PpP3/4b1qP/P1Q1P3/1P1NBP2/2RR1K2 b - -,g4g2
8/4k3/3p1p1p/5Pp1/1pP3P1/1b3B1P/1P1b1N2/1K6 w - -,f3e2
1r3k2/1p1Pb1p1/1R3p1p/P4P2/2B5/1P6/5PKP/8 b - -,e7d8
8/2qP1pk1/6p1/3Q3n/7p/7P/6B1/6K1 b - -,c7d8
r1bqk2r/ppp1bppp/2np1n2/4p3/2P5/P1N1PN1P/1P1P1PP1/R1BQKB1R b KQkq -,e8g8
3nnrk1/1q1bbp1p/6p1/1p1P4/p7/P1NB4/1P2RPPP/3QR1K1 w - -,e2e7
r3rbk1/1b6/p1p1pqpp/1pPnNp2/1P1P3P/1B1R2P1/P2BQP2/4R1K1 w - -,e5f3
2r5/3nkp1R/3p2p1/1r2p1P1/1p2P3/1P3P2/2PN4/3K3R b - -,c8c3
rn1q1rk1/ppp1ppb1/3p1npp/8/2PP3B/2NbPN2/PP3PPP/R2QK2R w KQ -,d1d3
2R5/r2n4/p2ppkpp/1p6/3K1N1P/1P3PP1/P3P3/8 w - -,f4d3
r1r3k1/1p1qppbp/3p2p1/p1nP4/2P5/1P2BP2/P2QB1PP/1R2R1K1 w - -,e3c5
r6r/2k1Q2p/ppq1p3/2p5/2Pb4/2N2PP1/PP4KP/3R1R2 b - -,c6d7
r7/2q2p2/5kpp/2b1p3/1pP1P3/2n2BPP/P1QR1P2/2N3K1 b - -,f6g7
r2q1rk1/1b1n1pbp/2n1p1p1/p1pp4/1p1P1PN1/2P1P1N1/PP2B1PP/R1BQ1RK1 w - a6,c1d2
8/Pk6/8/1N6/4K2p/8/8/8 w - -,e4f4
r4r2/3RQ1bk/p4ppp/1p1N2p1/5BP1/5q2/PPP2P1P/2K5 b - -,f8g8
8/4kp2/p2p1n2/n1pPpPpp/2P1P1P1/P2K1N1P/5N2/8 b - -,h5g4
2br2k1/1p3p2/1np3pp/2p5/2P1PP2/1PQq2PP/4NKB1/4R3 b - -,h6h5
2rrb1k1/5pp1/1Q1Pp2p/4N3/2P1B3/1p4P1/1P2RK1P/7q b - -,h1d1
3r2k1/1p1r2bp/p2ppnp1/q1p1n1B1/2P5/2N1PB1P/PP1Q1PP1/R2R2K1 w - -,f3e2
r2q2k1/pb5p/1p1P2p1/2p2r2/3b1B2/3Q2PP/PP4B1/R3R1K1 w - -,g1h2
8/5Qpk/4pp2/5q2/5n2/5K2/5NP1/8 w - -,g2g4
1k1r1r2/p3q1b1/2p1b2p/1p4pP/QPpP4/P1N1B3/3R1PP1/2K4R w - -,a4c2
8/p2b4/1p5p/4kpp1/2B5/1P3KPP/P7/8 b - -,d7c6
8/3k3p/8/1p2K3/2p5/1r5P/R5P1/8 w - -,e5d5
2r2bk1/5p1p/5P2/2rq2P1/pp2R2P/4Q3/PPP5/1KR5 w - -,e4d4
r1b1kb1r/2pp1ppp/1np1q3/4P3/p1P5/1P2Q3/PB1N1PPP/R3KB1R b KQkq -,f8b4
r4rk1/p1q1ppbp/5np1/8/2p4Q/N1PbB3/PP1N1PPP/R3R1K1 w - -,d2c4
r1r1b1k1/q2n1pbp/2p2np1/1p2p3/3PN3/3BPN1P/P2B1PP1/RR1Q2K1 b - -,e5d4
6k1/1P1nbppp/4p3/2p5/2N2B2/2P2P2/rP2KP1P/7R b - -,e6e5
8/2bRk3/6p1/8/1p2p1B1/1P4P1/1r6/5K2 b - -,e7f6
