8/8/8/2p5/8/8/p1k5/B2NK3 b - -,c2b1
3r2k1/1p2pp2/p1q1bb2/7Q/2PpPBp1/1P1B4/P4PP1/3RK3 b - -,f6g7
5K2/8/6P1/1p6/8/1k6/8/r7 w - -,g6g7
r1b2rk1/1pp1qpbp/p4np1/4p1B1/Pn2P3/2NB1N1P/1PP2PP1/R1Q2RK1 b - -,b7b6
3r4/p3npkp/1p1rp3/2p5/3PbNP1/P1P1KP2/2P4P/3RR3 w - -,f3e4
Rn6/8/1r5p/1BpPk2P/2P5/P7/K4P2/8 b - -,e5d4
B5k1/5p1p/1p2p1p1/1P4Q1/3q4/6PK/4RP1P/2r1n3 b - -,c1c5
r3k1r1/pp2pp1p/3p1p1b/q2Nn2B/3NPP2/7b/PPP3PP/R2Q1RK1 b q f3,h3g2
1n2r3/2qbr1kp/3p1pp1/p1p5/2PpPP1P/1P1Q1BP1/P2NR3/4R1K1 b - -,b8c6
r3rbk1/1pq2pp1/1Bp4p/8/2P1n3/6PP/PQ2NP2/2RR2K1 b - -,c7c8
rn4k1/1bqp2pp/pp2pr2/2n5/2PN1P2/B1P1Q3/P3B1PP/R4RK1 w - -,d4b3
6k1/5p2/3p1qnb/3P1p1p/2Q1pP2/2P5/P1B3PP/5RK1 b - -,h6f4
rnbqk2r/1p2ppbp/p2p1np1/8/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,e8g8:b7b5
8/4rk1p/prb1p1p1/2Rp1pP1/1P1P1P2/PB6/1K4P1/7R b - -,f7g7
rnbq1rk1/pp2ppbp/3p1np1/8/3pP3/2PB1N2/PP1N1PPP/R1BQ1RK1 w - -,c3d4
r1bqk2r/pppp2pp/8/4Pp2/1bP5/2nB1Q2/PP3PPP/R1B1K2R w KQkq -,a2a3
r3k2r/ppq1bpp1/2pp1n1p/3Pp3/4P1n1/2N1B2B/PPPQN2P/2KR3R w kq -,d1g1
r1bqkbnr/1pp2ppp/2n5/p2pp3/8/P2P2P1/1PPNPPBP/R1BQK1NR b KQkq -,f7f5
8/7k/R7/6pP/8/4P1KP/P3r3/8 b - -,e2e3
2r1r1k1/1p1q1ppp/p4n2/P2p1b2/1Q1P1B2/7P/1P3PP1/R3RBK1 b - -,h7h6
6k1/Q4pp1/1p2pn2/5P2/8/P5B1/1r1q3P/4R1K1 w - -,a7a8
r4rk1/bp1q1ppn/p1ppb1np/3Np3/1PPPP3/P3BNPP/5PBK/1R1Q1R2 w - -,d4e5
1r3rk1/5bb1/p2p3p/2p1pB2/q1P4Q/6P1/P1R1PP2/2B2RK1 b - -,h6h5
r2qkb1r/pp3pp1/2n1p3/3pPn1p/3B1P2/2PQ4/PP1NN1PP/R4RK1 b kq -,f8e7
rnbqk2r/pp2bppp/2pp1n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w kq -,c4b3:c2c3:f1e1
4r3/p4p1p/n1k3p1/2p5/3pNPP1/8/PPP3P1/2K1R3 w - -,c1d2
1k1r1r2/ppp3q1/3bR3/3P2pp/2Q5/P1P4P/1P3PP1/4R1K1 w - -,c4e4
rnbqk2r/1p3ppp/2p1pn2/3p4/pbP5/1PN2NP1/PB1PPPBP/R2QK2R w KQkq -,c3a4
r1bqnrk1/pp1n1pbp/3p2p1/2pPp3/2P1P3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,d7b6
r3rnk1/pp2pp2/7p/4Bbp1/2PPp3/1q2P3/4BPPP/R1QR2K1 b - -,b3b6
r3k2r/pppqnppp/2nb4/3p1b2/3P1B2/2PB1P2/PP2N1PP/R2QKN1R b KQkq -,e8c8
rnbq1rk1/ppp1ppbp/5np1/8/3P1B2/2N5/PPPQNPPP/2KR1B1R w - -,h2h4
4kb1r/1p3pp1/pBp1p2p/4P3/3R4/8/PPK2PPP/8 b - -,f8e7
r2q1rk1/2p2ppp/p1np1nb1/1pb1p1B1/P3P1P1/1BPP1N1P/1P3P2/RN1Q1RK1 b - -,a8b8
8/5rk1/4Qppp/8/4B3/P7/1P3K1b/8 b - -,f6f5
k4r1r/pp2b1q1/1nn1p2p/3pPppP/b1pP2N1/P1P1BBP1/1P1N1PK1/2R1Q2R w - f6,e5f6
1r4k1/R5p1/5p1p/8/1P2r3/3R2PP/5PK1/8 b - -,g8h7
r4rk1/1bqnppbp/pp1p1np1/8/2PNP3/1PNBBP2/P2Q2PP/3R1RK1 b - -,e7e6
6k1/p4p1p/4pPp1/qn1pP3/2pP1P2/2P1QB2/Rrb1N2P/5RK1 b - -,a5a2
r4rk1/1p2bppp/p1p1pn2/7q/2PP1B2/P4N2/1P2QPPP/3RR1K1 b - -,f8e8
r1bq1rk1/1p2bpp1/1np3p1/p7/P2P3P/2N1P1P1/1P4B1/R1BQ1RK1 w - -,e3e4
2bnkr2/1p3p2/1q2p3/3pP1N1/2pP1P2/r1P4R/p1PKB1P1/R6Q w - -,h1c1
6k1/5p2/1b2r1p1/1P6/6p1/2Q2K1P/8/8 w - -,h3g4
8/ppp4p/6p1/4kP2/P4R1P/1P2K3/2Pr4/8 b - -,g6f5
r7/p3k3/1p6/2p1Pn2/2n1P3/1R5P/PPP5/2K5 w - -,e4f5
8/1r6/6R1/7p/8/7k/5K2/8 w - -,g6g3
r5k1/2qr1ppp/1p2b3/pB2pn2/P7/5P2/1PP2QPP/R2R1NK1 b - -,d7d1
2q3k1/p4ppp/1pp2b2/4n3/P7/1QP1B1PP/1P3PB1/6K1 w - -,b3c2
4R3/p5kp/1pqr2p1/3p1p2/3P4/2P5/PP2QKPP/8 w - -,e2e7
1rr4k/p3pQb1/1p2P3/3pq1P1/2P2BP1/7P/P5B1/2R3K1 b - -,e5b2
3rr3/2pn2kp/p2pnppN/4q1P1/1p2P2P/1P3P2/P1P5/2BRQR1K w - -,h6g4
6k1/1p2qp2/p2b3p/n2Q4/4N1p1/3NP3/P4P1P/6K1 b - -,d6c7
r3k2r/p2np3/1p1p1pq1/2pP3p/P1P1P2R/3Q2B1/5PP1/4RK2 b kq -,d7e5
2rq1r1k/3nb1pp/p7/1p5Q/1p2P3/P2P3P/2B1RPP1/R1B3K1 b - -,c8c5
r5k1/2q2p1p/3p2pb/1b1Pp3/1pN1Pn2/1P3P2/r2B2PP/1R1QRBK1 w - -,d2e3
2q2bk1/p1rnpp1p/bp4p1/3p4/3P1P2/BP1NP3/P2Q1KPP/1B1R4 w - -,d3e5
r1b2r1k/pp2R3/2p3p1/2P2p1p/8/1BR5/Pq3PPP/4Q1K1 b - -,f8f6
r1bq1rk1/p3bppp/2p2n2/3p2B1/8/2NB1Q2/PPP2PPP/R3R1K1 b - -,c8e6:h7h6:a8b8
2rq2k1/R1p3pp/5p2/4P3/1Q6/3NP2P/5Pb1/6K1 w - -,b4g4
3r4/1p3qpk/p1p2p1p/3n1b2/3R4/P3B1RP/1P3PP1/2Q3K1 b - -,f7h5
rnr5/4bkp1/p1q2n1p/8/1p1p1N2/3Q2P1/PPP4P/R1B2RK1 w - -,d3g6
r1b2rk1/ppq1bpp1/4pn1p/8/7B/3B1N2/PPP1QPPP/R3R1K1 b - -,f8d8
r5k1/1bpq1ppp/p4b2/1p1n4/8/1BPP3P/PP1N1PP1/R1B1Q1K1 b - -,d5c3
r1bq1rk1/pp2ppbp/2n3p1/2p1P1N1/2BP4/2P5/P1P3PP/R1BQK2R w KQ -,e1g1
r1bqn3/2p1rnbk/pp1p4/1NPPp1pp/1PN1Pp2/R4P2/PBQ3PP/2R2B1K w - -,c2f2
r1bqkb1r/pp3ppp/2n2n2/2p1p3/4P3/5NPP/PPPN1PB1/R1BQK2R b KQkq -,f8e7
2r3k1/2p3pp/3p4/3P4/1pPb4/1B3p2/1P3P1P/R5K1 b - -,c8e8
r3r3/1pq3kp/3R1pp1/p3pb1n/P5PP/1B3N2/1PP1QP2/2KR4 b - g3,f5g4
r2q1rk1/pbp1bppp/3p4/3N4/2B1n3/4B2P/PPP2PP1/R2QR1K1 b - -,e7g5
3rk2r/3n2pp/p1p2p2/R7/4P3/2N1K1PP/PP6/R7 b k -,d7e5
r1b1kb1r/1pqn1ppp/p1npp3/6P1/4PP1P/1NN5/PPP5/R1BQKB1R b KQkq f3,b7b5
2k2r2/pp2bpp1/2p1p2p/r4n1P/2PP2q1/4BN1R/PP2QPP1/K3R3 w - -,e3d2
r1bq1rk1/ppp3bp/2np1pp1/4p3/2PPP1nB/2N2N2/PP2BPPP/R2Q1RK1 b - -,g6g5
8/1p4k1/5p2/5P2/b5p1/2K5/2p1P3/2R5 w - -,c3b4
2rq1rk1/p2nbppb/2p1p2p/2pp4/2P1PP2/1P1P2P1/PB1NQ1BP/R4RK1 w - -,d2f3
2r3k1/1R1n1p1p/1p1p3b/6p1/3P1n2/6BP/1P1r1PP1/R4BK1 w - -,b7d7
6k1/pp5p/n2b2PB/2pPr3/2P1P3/P1NB4/1P4K1/R7 b - -,h7g6
r1b1qrk1/ppp3bp/n4ppn/4p3/2P1P3/2N1BN1P/PP2BPP1/R2Q1RK1 b - -,h6f7:f6f5
