1k2b3/8/8/5N2/4KPP1/4N3/1r6/8 b - f3,b8c7
r1bqnr2/1p1p1p1k/p1n1p1pp/8/2P1P1PP/2N1Q3/PPN1BP2/2KR3R w - -,f2f4
5k2/8/3p3p/2P3p1/2P3P1/4rr2/3K4/1B1R4 b - -,d6c5
7Q/8/1P6/5p2/3kp3/1r6/5r2/3K4 b - -,d4e3
1r6/1q1n1k1p/pnp1pbp1/Q2pp3/1NP5/3PP1PB/P4P1P/1R3RK1 w - -,f1c1
8/bN1k4/p5p1/P7/1n6/6PP/4B1K1/8 w - -,h3h4
1rb2rk1/2q2p1p/2nppbp1/1p6/3NP3/2P1B1P1/1P3PBP/R2Q1RK1 b - -,c6e5
r1r3k1/1bpnq1bp/1p1p2pn/pN3p2/P2Pp3/2P1P2P/1P1NBPPB/R2Q1RK1 b - -,h6f7
5r2/qpr1p1kp/pQ3ppn/2PPn3/4P3/N4P2/P3B2P/1RR3K1 b - -,a7b8
r4bk1/B2R3p/2p3p1/6n1/N1P5/1P5P/1P2r1P1/5RK1 b - c3,f8g7
5bk1/r4p2/1Np1rBnp/2P1P3/Pp6/8/P4PP1/1R2R1K1 b - -,f8c5
5Bk1/1p6/2p1PR1p/8/1P2q1p1/8/KP6/8 b - -,g4g3
8/8/3k4/8/6rP/1KP2R2/8/8 b - -,g4h4
r3k2r/4b3/p1p1pp1p/1pP2bp1/1P1Pp3/4P1BP/1P2BPP1/R4RK1 b kq -,e8d7
8/4k3/4p2p/3p3n/5P2/pP1K4/P3R1BP/1r6 w - -,d3e3
r3rk2/pp3pp1/2pq1np1/3p4/3P2P1/1P2NP2/P1P2Q1P/R3R1K1 w - -,e3g2
8/8/R6p/p3k1p1/8/r4P2/4nBPK/8 w - -,a6h6
2B5/6K1/3r4/4k3/8/7P/8/8 b - -,d6b6
r4r1k/pp2b1pp/4N3/8/1n2pP2/1q2B1P1/PP2N2P/5RK1 w - -,a2b3
r2q1rk1/1bp3bp/3pn3/p1p1pp2/2P2P2/3PBN1P/PP1QN1P1/1R3RK1 b - -,e6d4
8/5pk1/6p1/4K3/6r1/4N2p/8/5R2 b - -,f7f6
8/p6p/5kp1/5p2/5K2/P1N2P2/2b3PP/8 w - -,c3d5
r3kb1r/pp2pppp/1nn2q2/8/2p3b1/1PP2N2/P1BP1PPP/RNBQR1K1 b kq -,e7e6
1r1n3r/2q2pbk/b2p2p1/1pp1p1Bn/3PP1N1/pPP1QN1P/P4PB1/2R1R1K1 b - -,f7f6
r3k1r1/2q1bpp1/p2pb3/1p2p1PP/4PPp1/PPN1B3/1P2Q3/2KR3R w - -,e2c2
1r4k1/r2nppbp/bq1p2p1/2pPn3/P7/1PN2NP1/2QBPPBP/1R3RK1 w - -,f1e1
r2k1b1r/2q2Bp1/3p1pPp/1nn1pP2/1p2P2P/pP2Q3/P1PRN3/1KBR4 w - -,d2d5
7r/1pr1k3/1RB2p2/p3p3/P1P5/1PK2P2/3R4/8 b - -,b7c6
r1bqr1k1/1p1n1ppp/3p1n2/p2Pp3/1pP1P3/3Q1NPP/PP1N1PB1/R4RK1 w - -,d3e3
b3qbk1/5ppp/1n6/2ppQ3/1p6/1P1P2P1/1BPN1PBP/6K1 b - -,e8c8
5qk1/ppb3p1/2p4p/3r1p2/8/P4NPP/1PQ1RP2/6K1 w - -,c2b3
5R1k/2p3pp/8/5q2/1b6/1P6/3NQPPP/6K1 b - -,f5f8
2k1r2r/p1pp1p1p/b1p5/4B1p1/2P2n1P/1P6/P2N1PP1/2KR1B1R b - -,e8e5
8/R2n4/5k2/3r2p1/8/5N1P/6PK/8 w - -,h2g3
r1b2k2/1p2q1pp/2p1p3/p2p1p2/P1PP4/1P4P1/3QPPBP/R5K1 w - -,f2f3
2rqk2r/pp1bppbp/3p1np1/4n3/3NP3/2N1BP2/PPPQB1PP/3R1RK1 b k -,e8g8
r3r2b/1p3p1k/2pp1P1p/4p1p1/p1P1P1b1/P1NP2P1/1P3RBP/5R1K w - -,h2h3
r2r2k1/pb3pbp/6p1/1p2N3/2p1nP2/6P1/PPB4P/R1B1K2R w KQ -,e1g1
r3r1k1/1pqb1pbp/2pp1np1/p1n5/2PNP3/2N2PPP/PPQ2BB1/3R1RK1 b - -,a8d8
r5k1/pp1b2pp/1q1npr1n/3p4/5P2/PP2BR1P/4N1P1/RB2Q2K b - -,b6d8
r1r5/p5pp/1p1k1n2/n2p1p2/PN1Pp2P/1P2P1P1/3N1P2/1RR2K2 w - -,f1e2
1rbq1rk1/6Bp/p2pp1p1/npp5/2P1n3/1P4P1/P1QNPPBP/R4RK1 b - -,e4d2
1r1r2k1/1b2qpp1/1p1p1nnp/pBpP4/P3P3/1PN1BP2/3Q2PP/4RR1K b - -,b7c8
4r1k1/1b3p2/p1p4p/1p2q1pn/P3P3/1Q6/1P2NPPP/1BRr2K1 w - -,c1d1
2r3k1/p3ppq1/1pbp1np1/2n4p/P3P2P/2N1QP2/1PP1B1P1/R3K2R b KQ -,d6d5
r3r1k1/3nppbp/3p2p1/3P4/Pqp1P3/2N5/RPRNQPPP/6K1 b - -,d7b6
r2q1rk1/pppbbppp/3p4/3Pp2n/2P1P3/2NQ1N1P/PP1B1PP1/R3R1K1 b - -,f7f5
2r3nk/1p1b2pp/8/p2p4/3Pp2P/2P1P1P1/P3BP2/2R2K1R b - -,g8f6
3r1rk1/pp2bppp/4p3/2nn4/2N3q1/1P3NP1/PBP1QP1P/3RR1K1 b - -,d5f4
7r/1R2Ppb1/2B3p1/k7/2R5/8/P1K5/4r3 b - -,h8h2
2kr2r1/ppqb1pp1/2n1pn1p/8/1bPp2P1/1P1P2NP/PB1NQPB1/R3KR2 w Q -,a2a3
1r4k1/R4bp1/5r1p/2P1Np2/5P2/7P/p5P1/1q1RQ1K1 w - -,g1h2
8/B6p/2k3p1/1p6/1K4nP/6P1/5P2/8 w - -,a7c5
2r3k1/1b3pp1/p5r1/1pqPp2Q/2P1P3/2R3P1/B4P2/2R3K1 b - -,b5b4
8/4bppp/2k1p3/1r1p4/2nP1B1P/1pPK1PP1/1P2R3/2N5 w - -,f4g5
8/p5k1/1p1p4/1Pp2p2/P1P2b2/3N4/2N1r1B1/6K1 w - -,d3e1
r1b2rk1/npp1qpbp/3p1np1/pN6/P2Pp3/4P2P/1PPNBPPB/RQ3RK1 w - -,c2c4
8/8/1b4p1/1p1k1p1p/p7/1N1K1P1P/P5P1/8 w - -,b3d2
8/p3p3/1p2Pkp1/b2P3p/3B4/3K3P/P5P1/8 b - -,f6f5
3Br3/4P1pk/p4bq1/P1p4p/4Q3/7P/2P1R1P1/5K2 b - -,c5c4
r1b1rbk1/pp2qp1n/2p3p1/2p1P2p/2P1NP2/1P4PP/P2QN1B1/3R1RK1 b - -,f7f6
r1b2rk1/p1q1bppp/1pn1pn2/2pp4/4P3/P1PP1N2/1P1N1PPP/R1BQRBK1 b - -,d5e4
r1bq1rk1/pp1n1ppp/4p3/8/P2PP3/5N2/3Q1PPP/R3KB1R w KQ -,f1c4
r1bq1rk1/pp1nppbp/3p1np1/2p5/2PP1B2/2N1PN2/PP2BPPP/R2QK2R w KQ -,h2h3
r4r2/p2n1pkp/1p1q2p1/3P4/2pQ4/2P2N2/P4PPP/1R3RK1 b - -,d7f6
r4rk1/pp2bppp/2bppn2/q5B1/3NPP2/2NQ4/PPP3PP/2KR3R b - f3,a8c8:f8c8:f8d8
1r2k2r/3bnpb1/1qnpp1p1/p1p3Pp/1p2P2P/3PB1N1/PPPQ1PB1/R2N1RK1 b k -,a5a4
r1bq1rk1/1p2N1bp/2pp2p1/4pp1n/1PP5/3PP1P1/4NPBP/1RBQ1RK1 b - -,d8e7
6b1/2R5/1p1r1kp1/pB3p1p/5P1P/P5K1/6P1/8 b - -,g8e6
r1b2k1r/pp1n1pp1/1q2p2p/2bpP3/1P4Q1/P2B1N2/5PPP/R1B2RK1 b - b3,c5e7
r3r1k1/5pb1/pp4p1/3p2Np/P3q1bQ/1N6/1PP3PP/1R3R1K b - -,e4c2
3r2k1/5Ppp/4p3/p7/p2b4/PP3QP1/3q1PBP/2r2RK1 b - -,g8f8
8/6p1/4pqkp/3p4/4p3/1r2P1PP/4QPK1/4R3 w - -,e1c1
8/8/4p2R/2p2p2/4kP2/1P3n1P/P5K1/8 b - -,f3d4
2r2rk1/1p1qbbpp/p1n1p2n/P2pP3/5N2/1NB4B/1P3PPP/R2QR1K1 b - -,g7g6
8/2P1Bkp1/K3p3/4P2p/7P/8/1q6/8 b - -,b2a2
5rk1/1P2bppp/2B1pn2/8/3q4/1R1P2P1/5P1P/3Q1K1R b - -,e7c5
6k1/6pp/Np1R4/pP3p2/5P2/P3r3/2r3KP/8 w - -,g2f1
2r2rk1/ppq1bppp/1n2p3/3pP3/3Bb3/1BP2N2/PP3PPP/R2Q1RK1 b - -,b6c4
8/1b3kp1/p4p2/1p3Bp1/2pP4/P4P1P/1P2K1P1/8 b - -,f7e7
rnbqk2r/4p1b1/p1ppp1p1/1p3nNp/3PQ2P/2N5/PPP2PP1/R1B1KB1R w KQkq -,g5e6
2q4k/6p1/6n1/p4pp1/5P1P/P4B2/1R1K4/7R w - -,h4g5
8/6pk/3N3p/8/4p1P1/7P/4nP2/5K2 b - -,e2f4
1r2nrk1/2n3bp/ppqpP1p1/2p3B1/P1B2P2/2N5/1P2Q1PP/R4RK1 w - -,e6e7
2r5/1R4p1/6Pp/5p1P/1B1knP2/1P6/PKR5/8 w - -,c2c8
rnb1k2r/pp4pp/3pp3/1N1p1p2/2PPn3/4PN1P/Pq3PP1/R2QKB1R w KQkq -,f1e2
r1brn1k1/1p1pqp1p/p5p1/2P1p3/8/1Q2PN2/PP2BPPP/2R2RK1 w - -,b3b6
2rnk2r/1pq3pp/pb2p1n1/3pPpN1/PP5P/2PB2B1/5PP1/2RQR1K1 b k -,h7h6
3q1r1k/3BRp1n/3p4/p1pP2p1/1pP3P1/1P2QP2/P7/6K1 w - -,d7f5
r1r5/1p2pkbp/3pb3/2N2p2/2P2P2/1P1BB3/5KPP/1RR5 b - -,d6c5
r3rbk1/p2b2pp/1np5/2p1Bp1N/2P5/3B4/PP3PPP/3RR1K1 b - -,d7e6
rnbqk2r/p1ppppbp/1p3np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq -,f1g2
r1br2k1/p3qpp1/3bpn1p/2pP4/2P5/3Q1N2/PBB2PPP/R3R1K1 b - -,d6c7
2rq1rk1/p2nbppp/1pb1pn2/2p5/P3P3/1P1P1NP1/1BQN1PBP/2R2RK1 b - -,a7a6
r1bqk1nr/pp1p1pbp/2n3p1/2p1p3/2B1P3/2NP2N1/PPP2PPP/R1BQK2R b KQkq -,g8e7
8/1bP5/p1N2k1p/Pp4p1/1P1p2P1/5PKP/8/8 w - -,g3f2
1r4k1/6pp/p2b4/2p2p2/2Pp4/BP4P1/2P1KP1P/R7 b - -,g8f7
r4rk1/pp1q1pbp/2np1np1/3Npb2/2Pp2P1/1P3N1P/PB2PPBK/R2Q1R2 b - -,f5e6
2k1rr2/2pn2pp/pq3n2/4p1N1/Pp2N3/4Q1P1/1PP2PKP/R3R3 w - -,e3b6
3r4/3P4/8/1Bp1k2p/1p2p1p1/1P3nK1/P4R2/8 b - -,f3d4
r5k1/p4pb1/3p1qpp/2pP4/1r6/5QNP/PPb2PP1/R1B1R1K1 w - -,f3e2
R7/1p6/3k3p/6p1/1Pp3b1/2P1K3/P7/8 b - -,g4d1
r3r1k1/pp4bp/1qn1b1p1/2p2p2/Q1P2P2/5NN1/PP4PP/R1B2R1K b - -,b6b4
2n3k1/2bb2p1/6p1/p2p3n/1p1PpP2/1P2P1P1/PB4B1/5NKN w - -,h1f2
8/5k2/7K/8/3B4/7P/3n4/8 b - -,d2e4
r1bq1rk1/pp1pppbp/2n2np1/8/2B1P3/1NN1B3/PPP2PPP/R2Q1RK1 w - -,f2f4:f2f3
3rr1k1/pp2nppp/1q3b2/3P4/8/P1N5/1P1QNPPP/1R1R2K1 w - -,e2g3
2r3k1/5pp1/3B3p/2Pp4/p1p1P2P/1r6/1PR2PPK/8 b - -,c4c3
3rr1k1/8/2p1qp1p/1b2p1p1/4Pn2/4R1BP/1Q3PPK/2R1N3 w - -,c1a1
8/6p1/1P1Bp3/r3P2p/4k3/8/2K4P/8 b - -,a5b5
r3r1k1/1p3ppp/1p3b2/3P4/P2N1Pb1/1P6/3R1PBP/5RK1 b - -,a8c8
5n2/2p2kb1/br4p1/3pP2p/P2P4/6N1/2BB1PP1/4R1K1 w - -,e1b1
4r1k1/8/5R1p/1pb1n3/8/3RPP2/6PP/5K2 w - -,d3d5
r1bq1rk1/pp2nppp/2n1p3/2ppP3/3P4/6P1/PPP1NPBP/RN1Q1RK1 w - -,d4c5
r1bqr1kb/pp1npp1p/2n3pB/2p5/2P5/2N2NP1/PP2PPBP/R1Q2RK1 w - -,f1d1
8/1p1r4/4kpp1/1PPpr3/3R4/7P/5KP1/3R4 w - -,d1c1
r3qr2/2p1b1k1/1p1p2pp/p2Ppb2/2P1N3/1PRBQPP1/P6P/3R2K1 b - -,f8f7
1r4k1/pb1r1pbp/1pnpp1p1/1N6/1PPpP3/P2P2P1/4NPBP/1R1R2K1 w - -,a3a4
1rb2rk1/1pqppp1p/p4npb/8/3NP3/1NPB1P2/PP4PP/R2Q1RK1 b - -,d7d5
r4rk1/2pqbppp/p1n5/1p1pP3/3Pn1b1/1BN2N2/PP2QPPP/R1BR2K1 b - -,e4c3
r4rk1/p1q2ppp/bpn1pn2/2p5/3P4/P1P1PP2/B3NRPP/R1BQ2K1 b - -,c6a5
q4rk1/2p1ppbp/2p3p1/3nN3/r2P4/1Q4P1/PB2PP1P/R4RK1 w - -,a2a3
rnb2rk1/pp2qpp1/2p1p2p/3p4/2PPn3/2N1PN2/PP2BPPP/2RQK2R b K -,e4c3
r3k2r/pbqnbppp/1pp1pn2/8/2PPN3/5N2/PPQ1BPPP/R1B2RK1 w kq -,e4f6
b2q1rk1/r2n1ppp/pp2p3/2b5/P1NpPB1P/1Q1P2P1/1P3P2/R1R2BK1 w - -,a4a5
8/p4pkp/6p1/3b4/1P6/1P2P1P1/5P1P/3B2K1 w - -,g1f1
1B6/8/p7/3k1p1p/4nP2/3K3P/P5P1/8 w - -,b8a7
r1bq1rk1/pp2bppp/8/2pP4/5B2/5N2/PP3PPP/R2QR1K1 b - -,e7d6
3r4/pkb2p1p/8/3p1p2/1P3P2/4B3/P4KPP/3R4 w - -,g2g3
rn2kbnr/pp3ppp/1q2p3/2ppP3/3P4/2PQ1N2/PP3PPP/RNB1K2R b KQkq -,b8c6
rn3q1r/p2pk2p/4pNp1/2p1P3/3n4/2P5/PP1Q1PPP/2KR1B1R b - -,f8c8
3r1rk1/4bpp1/pn2p3/1pnqP3/3NNB1p/2P5/PP2Q1PP/R4R1K w - -,e4f6
r4rk1/pppq1pbp/5np1/3Pp3/2PnP3/2NN2P1/PP4KP/R1BQ1R2 b - -,f6e8
r2q1rk1/2p1bppp/p4n2/np1Pp3/3P4/1QP2N1P/PP3PP1/RNB1R1K1 w - -,b3c2
r1b1qrk1/1ppn2p1/3ppb1p/p4p2/2PP3P/4BNP1/PPQ1PPB1/3R1RK1 b - -,e8h5
r1r3k1/1p2p1bp/1q1p1pp1/3Pn3/3N1PbB/2P5/PRB3PP/2Q1R1K1 b - -,b6a7
rn2k2r/pp3ppp/q7/3B4/8/1N1b2P1/PP1b1P1P/R2QK2R w KQkq -,e1d2
1rb3k1/4p2p/p3p1p1/4B3/2P5/5rP1/PP3P1P/R4RK1 b - -,b8b4
r3k1nr/pp3ppp/2bp2q1/3p4/8/1P2P3/PBPP1PPP/RN1QK2R w KQkq -,e1g1
r2b2r1/pp1P1n1k/4NppP/8/4N3/1P2P3/1P2K3/5R1R b - -,f6f5
r6r/1p2qpk1/2p4b/4p3/2B1P1b1/2P1BNPn/PP1Q2K1/R3R3 w - -,f3h2
8/4k3/4p3/8/R7/4PK2/1r3P2/8 b - -,e7f6
8/2Bnb2p/pp2p1k1/3p1p2/3P2P1/1P3N1P/P3KP2/8 w - -,f3e5
r4rk1/pppbqpp1/1n2p2p/4P3/3P4/1BPQ1P2/P3N1PP/R4RK1 w - -,b3c2
r2r2k1/3q1ppp/p1bpp3/8/2P1P3/1R1Q1B1P/P4PP1/1R4K1 b - c3,d7c7
3k4/pp3p1p/3pb3/3p1r1P/1P1P3P/2P2BK1/P7/4R3 b - -,h7h6
1qr3k1/pp1rbpp1/2p1pnp1/8/P1PP4/2Q1BBP1/1P3P1P/2RR2K1 b - a3,c8d8
rnbqk2r/ppp2ppp/3Bpn2/3p4/3P4/4P3/PPPN1PPP/R2QKBNR b KQkq -,d8d6
r3k2r/pp1qbppp/2n1p3/8/3P2b1/1QP1BN2/P3BPPP/R4RK1 b kq -,e8g8
r2r2k1/1p1nqppb/2pb3p/p3n3/P3P3/1PNNB1P1/4QPBP/R2R2K1 w - -,d3e5
r2qr1k1/ppp2ppp/1nbp1b2/3N4/4PP2/3Q1B1P/PPP3P1/R1B2RK1 b - -,b6a4
2r2r1k/2R1q1pp/p7/4Pp2/P1QP2P1/7P/1P3P2/2R3K1 b - -,c8c7
8/p7/5KR1/4p3/4Pn2/6k1/8/7B b - -,f4g6
2r3k1/1p3ppp/pNrpbn2/P3p3/4P3/3B4/1PPR1PPP/R5K1 b - -,c8b8
r1b2rk1/pp1nbppp/2p1pn2/q2p4/2PP1B2/2N1PN1P/PPQ2PP1/R3KB1R w KQ -,f3d2
r4r1k/1pqb1pbp/p2n2p1/2pPp3/P1N1P3/1QNB3P/1P3PP1/3RR1K1 w - -,b3b6
6kb/7p/p1p3pP/1pPpPr2/3P1nR1/4P2r/PPKB4/6R1 w - -,g4f4
r1br1bk1/2q2ppp/pnnp4/4p1P1/4P3/1P4NP/1BP1NPB1/R2Q1RK1 b - -,c8e6
6k1/1Bn2p2/4p1pb/4P2p/p1qp3P/P2N1QP1/1P3PK1/8 b - -,h6g7
r1bq1rk1/bpp1n1pp/p2p4/3Ppp2/7N/1P2P1P1/PB1P1PBP/R2Q1RK1 w - f6,f2f4
rnb1k2r/ppqn1pbp/2p1p1p1/3pP1B1/2PP4/P1N2N2/1P3PPP/2RQKB1R b Kkq -,d7b6
4rrn1/1b2qpk1/1p1p2p1/p2PpP1p/2PpP2P/6P1/PP1Q1RBN/3R2K1 b - -,b7c8
8/8/4Bn2/1p4p1/8/5KP1/3k4/8 b - -,b5b4
2k3rr/1q2n1b1/3pp3/pp5P/2pP1n2/2P4Q/PP2N3/1KNR3R w - -,e2f4
r7/3q2kr/1p1p1pp1/p3p2n/P1PpP3/1P1P1PP1/1R4RP/3Q1NK1 b - -,h7h8
