6k1/1RN2p2/5n1p/6p1/8/r5PP/5K2/8 w - -,b7b4
r1b1k2r/ppppqppp/2n5/4P3/1bP5/5NP1/PPQBPP1P/R3KB1R b KQkq -,c6e5
3r4/1pRPkppp/1P1np3/pB6/6P1/P6P/5PK1/8 w - -,b5a4
r2qkb1r/pp2pppp/2n2n2/2pp4/4P1b1/3P1PP1/PPPN2BP/R1BQK1NR b KQkq -,g4c8
2r3k1/p5b1/1p1pp1p1/8/2r5/R1N5/PP3PP1/R5K1 b - -,a7a5
5Q2/7p/2qpk1p1/2p2p2/p1Pb4/P2PB1PP/8/5NK1 b - -,d4e3
r5k1/5pp1/1R2p2p/r1Nb4/3P4/4PP1P/2R2KP1/8 b - -,a5a2
rqr3k1/4bppp/ppbppn2/8/P1PBPP2/1PN3P1/4Q1BP/2R1R1K1 b - a3,f6d7
8/pp1k2p1/3Pp3/1Pp5/2P1KP2/P5P1/7N/3R3r b - -,h1d1
5r1k/1p2b1pp/1p3p2/pP1qP3/8/P5P1/5P1P/RQ3RK1 b - -,f6e5
r1b2rk1/ppp1q1pp/3pP3/3Bnp2/2P5/B1P3P1/P3PP1P/R2Q1RK1 w - -,d1d4
2r5/1p2kpp1/p1b1pn1p/8/3R4/P1N1PP2/BP2K1PP/8 b - -,c8d8
3r2k1/1bp1rpp1/p1n4p/1p2p3/4NnqN/P1PPQ1P1/1PB2P1P/3RR1K1 b - -,f7f5
8/8/1k2p2R/3bP1pP/3P4/2KB4/6r1/8 w - -,d3f5
6k1/6p1/8/4N2p/p3nP2/P4Q1P/1P4PK/4q3 b - -,e4d2
8/p2r4/1p1r4/2p1bk1p/2P1p3/1P4PK/PB1RnP2/7R w - -,d2e2
4bk2/8/4P1p1/1r1p4/R1pP3P/5B2/P1K5/8 b - -,b5b6
1r2r1k1/p4pbp/b1n1p1p1/3pPP2/2pP2P1/2B4P/PP2N1B1/1K1R3R b - -,c6b4
r3k2r/3b1ppp/p3p1n1/P1Bp4/3P1qPb/5P2/2N1B2P/1R1Q1K1R b kq -,h7h5
rnbq1rk1/1p3pbp/p2ppnp1/2pP4/P3PP2/2N2N2/1PP1B1PP/R1BQK2R w KQ -,d5e6
r3r1k1/2qnbpp1/p1n4p/1p1p1B2/P1pP3B/1PP2N2/5PPP/R2QR1K1 w - -,a4b5
r3kb1r/2pp2pp/2n5/1B3P2/6P1/8/PP3B2/RN2K1Nb w Qkq -,b1c3
8/1p4k1/p3p1p1/3p2n1/5q1p/7P/PP3PP1/3QrNK1 w - -,d1e1
8/5k2/7p/p3Q3/5P1K/P5PP/3q4/8 b - -,d2d8
r1b2rk1/4p1b1/3n1np1/qNpP1p1p/5P2/1Q2BB1P/PP4P1/2NRK1R1 w - -,b5c3
3r1r2/4qk1p/p7/1p2B2P/2pPP1Qp/P1P5/3K1P2/R7 w - -,d2e3
8/7p/4K3/2k1P3/2r5/7P/P1p5/2R5 w - -,e6f7
r3k3/pp6/2pRp3/2B2bp1/7p/8/PP3PPP/6K1 w q -,c5e3
4rr2/4q1k1/p1p1n2p/2N1p1p1/1P1P2P1/4P1Q1/5RK1/5R2 w - -,g3e5
r5k1/3qp1b1/b3r3/p2p1pNp/3P1B2/P6P/2P2QP1/4R1K1 w - -,g5e6
3Rr1r1/pkp1P2p/4bBp1/2p3P1/2P5/1P5P/PK6/3R4 w - -,b2c3
r2qk1nr/ppp1ppbp/3p2p1/3P4/2Pn3P/2N2PP1/PP3P2/R1BQKB1R b KQkq h3,h7h5
3kr3/pp6/2p2p2/7N/4bPp1/1Pb1B1R1/P4KP1/8 b - -,f6f5
r1b2rk1/pp2bppp/1qn1pn2/3pP3/8/PNN5/1PPBQPPP/2KR1B1R b - -,f6d7
4r1k1/1b2r1pp/p3qp2/1pRp3N/1P1P2P1/P1Q4P/5P2/2R3K1 w - -,h5g3
rnbqkb1r/1p3ppp/p2p4/3Np3/3NP3/8/PPP2PPP/R2QKB1R w KQkq -,d4b3
6k1/pb5p/1pp1q1p1/5p2/2PPnQ2/P7/1B4PP/R5K1 w - f6,d4d5
3r1k2/1R6/5R2/8/5p2/4PK1P/r7/8 b - -,f8g8
r3k2r/1b1q1pp1/p2ppb2/1p5p/3NPPn1/2NP3Q/PP4PP/2R2RBK w kq -,c3e2
r3nrk1/pp1b2pp/5q2/2pP1p2/2P2B1n/2PB1N2/P5P1/R2QR1K1 b - -,h4g6
2R2rk1/R3bppp/4p3/8/1r1P4/4B1P1/1P2PP1P/6K1 w - -,a7a8
4rr2/p4qbk/bpnn3p/2ppp2p/P2P3N/2P3P1/1PQ2PBN/R1BR2K1 b - -,e5e4
rn2k2r/pp2bppp/2p1pn2/q6b/8/P1N3PP/1PPPNPB1/R1BQ1RK1 w kq -,a1b1
rr4k1/3nqpb1/6pp/BR2p3/2NpP2P/3P2P1/Q4P2/1R4K1 w - -,b5d5
6k1/1b3p2/p3p1pP/2p1P1q1/1bP5/4P3/P3Q2K/1R6 w - -,h6h7
7k/6p1/2p4p/1bP5/1P6/8/5KPP/8 b - -,g7g5
r2q1rk1/pp3nbp/2ppbnp1/5p2/2P2N2/BPN3P1/P1Q1PPBP/3RK2R b K -,f8e8
r7/1bpnkp2/pp1ppq2/6b1/P2PP3/2PBNP2/1PKNQ3/7R w - -,e3g4
2r3k1/pp1q1pp1/2p1r2p/1P1p4/3P4/P2QP3/5PPP/1RR3K1 w - -,g2g3
r2qr1k1/5pb1/2p1p1p1/p3N1P1/Pn1PQP2/8/2P1B3/2KR3R b - -,d8b6
8/3n4/6pp/3kp3/1P4P1/2NK3P/8/8 b - -,d5c6
r1bq1rk1/p1p2ppp/2N2n2/3P4/2pQ4/8/PPP2PPP/RN3RK1 b - -,d8d6
8/8/8/4p1K1/4B3/5PP1/5k2/2r5 b - -,f2g3
r3kb1r/5ppp/1q1p4/p2Pp1Pn/1p6/1N3P2/PPPQ3P/2KR1B1R w kq -,d1e1
r1br4/pp3pk1/6pp/2pqp3/3b2R1/3P2PN/PPQ3BP/5R1K b - -,d5a2
r3r1k1/ppp2pbp/4q1p1/3R4/4P1P1/2N1QP1P/PP6/2KR4 b - -,a7a6
r1bqk2r/1pp1bppp/2n2n2/p3p3/2Pp4/PP1P1NP1/3NPPBP/R1BQ1RK1 b kq -,e8g8
3rr1k1/p6p/5qp1/1P1Pbp2/P1p1P3/2N4P/1P2RPQ1/4R1K1 b - -,f5f4
5nk1/r1q3b1/4pp1p/1R1p2pN/1QpP2P1/2P1PNP1/5P2/6K1 w - -,b5b8
r2q1rk1/pp3pbp/4bnp1/1B6/3B4/2N2P2/PP1Q2PP/3R1RK1 w - -,d2f2
6k1/1p4p1/p6p/8/P1bN4/7P/2r2PP1/R5K1 b - -,c2d2
4n3/2p2pk1/2Nr2p1/2R4p/2P1p3/1P5P/4KPP1/8 b - -,d6d3
r1b1kb1r/1p1n1p1p/p2pp1p1/6P1/P1NNnP2/4B2P/1PP3B1/R4RK1 w kq -,g2e4
4rkr1/p4pqp/1p1p4/2p4R/2PnPPP1/8/PP1Q1K2/3B2R1 w - -,g1e1
2rqr1k1/pp3p1p/5bp1/3p4/b2N1PP1/3BP2P/PP3Q2/1K1R3R w - -,d1d2
8/8/6k1/5pp1/5br1/1PrRKN1R/P7/8 w - -,e3e2
8/6kp/6p1/2N5/1pbPPPP1/2p5/2K4P/8 b - -,g7f7
r3k2r/1pp1qp1p/p2p1nb1/4p1p1/4P1P1/1PPPPQ1P/1P1N3N/R4RK1 b kq -,f6d7
4rb2/pR6/2p5/3bP1k1/P4R2/2N2KP1/1PP4r/8 w - -,c3d5
rn2kbnr/p3pppp/2p1q3/8/PppP4/2N1P3/1P3PPP/R1BQKB1R w KQkq -,c3e2
6k1/1b4bp/p1p3p1/PpBpq3/1P3QP1/1B6/4r2P/2N2RK1 b - -,e5f4
1r4k1/5pb1/2p1pq2/2Rr4/3PQ1p1/4PnP1/5PB1/3RBK2 b - -,d5c5
2rq2k1/p3pr1p/6pB/3b4/3P4/1P6/P4PPP/R2Q1BK1 b - -,e7e6
7r/1pp1q1k1/n2p1np1/1b1P4/N1PBPp2/5B2/PP4QP/7K w - -,c4b5
r1bq1rk1/p3pnbp/2p3p1/4P3/3p4/2N2N1P/PP3PP1/R1BQR1K1 w - -,c3a4
2kr1b1r/1ppn1pp1/p7/5q1p/8/4BB1P/PPP2PP1/R1Q2RK1 w - -,f1d1
1rb3k1/p4ppp/1q2p3/1pb3PB/4pP2/3r3P/PP2Q1N1/n1B2RNK w - -,e2e4
2q1rrk1/4p1bp/2np2p1/pNp5/2P5/PP2B2P/3QBP2/3RR1K1 b - -,c6e5
r1bq1rk1/pp3ppp/1bn5/3p4/4n3/1NP2N2/PPQ1BPPP/R1B2RK1 b - -,c8f5
8/3n1k2/2p1q1p1/P1Bp4/1P2bQ2/6KP/2P3B1/8 b - -,f7g8
2r2k2/1b2q1p1/pn3p2/2p5/3p1P1P/1P3PP1/PBQ3B1/3R2K1 w - -,b2a3
3r1r1k/2p4p/1p1p1qn1/p2Pp2p/2P1R3/1R3N1P/PP3PP1/5Q1K w - -,h3h4
8/rB6/P7/4R3/P7/2bp4/5k2/3K4 w - -,e5c5
8/7p/3k2p1/1p1P2P1/2p4r/5K2/1P1R3P/8 b - -,b5b4
4k3/8/4P3/3N1K2/8/7n/7P/8 w - -,f5e5:f5g6:f5g4
6k1/3b1pp1/q3pn1p/1p2N3/1Q1PP3/3B2PP/5P1K/8 b - -,d7e8
8/p6p/1r1Pbkp1/8/8/1BK5/1p4PP/1R6 w - -,b1f1
5k2/6p1/8/Pr3P2/7p/1P2P2P/3pK3/3B4 b - -,b5a5
r1br2k1/1pqpbppp/p1n1pn2/8/2PNPP2/P1NQ4/1P2B1PP/R1B2R1K b - f3,d7d5
r2q2kr/ppb2p1n/8/4Pp2/B4BnP/1P1P4/P3QPP1/R4RK1 b - -,d8h4
8/8/8/3pBp2/2k1pP1P/4K2P/2N5/5n2 w - -,e3f2
8/8/7p/7k/KR5P/P4r2/8/8 w - -,b4c4
2r3k1/1b2b1pp/p3pr2/4NpB1/1pPq4/1P5Q/5PPP/1R2R1K1 b - -,b7e4
8/1p6/p2k1pp1/8/3K1PP1/1P6/P7/8 b - -,b7b6
3r1r2/pp2npk1/3p2pp/q3p3/4P3/1BP1Q3/PP1R1PPP/3R2K1 b - -,e7c8
8/r4k1p/7n/p2n1p2/8/1P1NR2P/8/7K w - -,e3f3
1rr5/8/5Rp1/1pnPp3/p1p1P1k1/B1P1K3/1R4P1/8 b - -,c5d3
r1bqk2r/ppppbppp/2n5/5n2/8/5N2/PPPP1PPP/RNBQRBK1 b kq -,e8g8
5Rk1/2n1q1p1/1p1p2Qp/p1pPp3/2P5/1P4P1/P6P/3R2K1 b - -,e7f8
8/6R1/8/4rP2/6p1/3K2k1/8/8 b - -,e5f5
r3k2r/pp1bnppp/1Q2p3/4P3/3n4/3B1N2/P2P1PPP/RN2K2R b KQkq -,d4f3
3k4/1R6/4pp2/1P1p2p1/1b1P1PP1/1r2P1K1/6N1/8 b - f3,g5f4
