8/1p6/p6k/7p/5K1P/1P1r2P1/P3R3/8 b - -,d3d4
r3k2r/1b2bppp/pq2pn2/1p1n4/3PN3/5N2/PP2QPPP/RBBR2K1 w kq -,c1d2
8/5kp1/p3r3/P5R1/4P1KP/r5P1/8/4R3 b - -,a3a4
4r3/1b3p1k/p4np1/8/PpPp1q2/1P1Q3P/2BN1PP1/R5K1 w - -,a1d1
r1bqrnk1/1p2bppp/3p1n2/2pPp3/R1P1P3/2N1B3/P2NBPPP/3Q1RK1 b - -,a8a4
r2qnbk1/3b2r1/1p1p2n1/pN1Pp1pp/P3Pp2/2R2P1N/1P2B1PP/3QBR1K b - a3,g6h8
r4rk1/pp2bppp/1q2p3/3pn3/3Pn3/1P4P1/PBP2PBP/R2Q1RK1 w - -,d4e5
r1bq1rk1/1p1n2bp/p2p2p1/2pP3n/P3Pp2/2N2N1P/1P2BPPB/R2QK2R w KQ -,e1g1
1rb2r1k/1p2qpbn/p2p2pp/P2Pp3/1QN1P1P1/4B2P/1P2BP2/2R1K1R1 b - -,f8d8
2r2rk1/bb3pp1/p1n1pq1p/1p1p4/3p4/N1PQ1NP1/PP1RBP1P/4R1K1 w - -,f3d4
7k/4qpp1/1Q2bn1p/P3p3/4P3/2N2P2/1PP3PP/2K5 b - -,f6d7
8/1R6/8/6Pk/r7/4B1K1/8/8 w - -,b7b6
8/6bk/5qpp/p2Q4/1p2BBp1/1P2K3/7P/8 w - a6,d5c6
8/8/2k1p3/3pP3/8/Bn6/2K2P2/8 b - -,b3a5
5b2/1b1Q2kp/2N3p1/6Pn/1P4N1/2P4P/5P1K/4q3 b - -,g7g8
8/7k/4PKn1/6R1/8/8/2b5/8 b - -,c2b3
5q2/6pk/3PQ3/pp2P3/5r2/7P/4R1K1/8 w - -,d6d7
8/1pr5/p4p2/P3bkp1/1P1B3p/2PK1P1P/5P2/1R6 w - -,b4b5
r2qkbnr/pp2pppp/2bp4/8/3pP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,d1d4
3r4/3r1k2/1p4pp/p1p1Pp2/2RP1P1P/PP2K3/8/3R4 b - -,g6g5
3r2k1/3r1p2/1b3p1p/pp3b2/3p1P2/P7/1PNRPPBP/3R2K1 w - -,g2c6
3q1rk1/p4pb1/3p2Q1/3B4/3n4/P1N5/2r2PP1/R4RK1 w - -,a1d1
r1bq1rk1/pp3ppp/2n2n2/3Pp3/1pN5/4P1P1/PP3PBP/RN1QK2R b KQ -,b7b5
rnb1k2r/pp3p1p/4pp2/2pP4/3P4/4PK2/Pq3PPP/R1Q2BNR b kq -,b2c1
r1b2rk1/pp2bppp/1qnppn2/8/P3P3/1NNBB3/1PP2PPP/R2Q1RK1 b - -,b6c7
rnbq1rk1/pp2bppp/5n2/3p4/3P1N2/P1N5/1P3PPP/R1BQKB1R w KQ -,f1d3
1rr3k1/4pp1p/q2p1np1/2pP4/2R1PP2/pP4NP/Pb1B2PK/3Q1R2 b - -,f6d7
8/kp1q2p1/p1pB1n1p/2PpQ3/8/P4PP1/KP6/8 b - -,d7e8
5n2/4kpp1/8/4PP1p/2B5/4K1PP/8/8 b - -,f8d7
r1bq2k1/1p2rpb1/2p3pp/4pn2/PPN5/2NPP1P1/4QPBP/2R2RK1 b - a3,c8e6
6k1/1r4bp/p2p2p1/Bb1Pp3/1Pp5/P5PB/5P1P/2R3K1 b - -,g7f8
1b2rr1k/1p1bq2p/p7/6p1/1PPNBp2/4P1PP/P1Q3R1/R3B1K1 b - -,e7e4
8/4b3/6p1/p4p1p/1k3P1P/1P1K1N2/P7/8 w - -,d3c2
rnb1k2r/pp4p1/2pb1q1p/3p1p2/3P4/2N1PNP1/PP3PBP/R2QK2R b KQkq -,e8g8
r4rk1/2p1q1bp/1p1p4/p2Ppbp1/1PP1N3/P5BP/4QPP1/R4RK1 b - b3,a5b4
6k1/1p1qprrp/p2pRpp1/2PP4/P2Q3P/1P6/5PP1/4R1K1 b - -,d6c5
8/7k/p6p/1p4p1/8/P3Q2P/1P4PK/3q4 b - -,d1d6
r1bq1rk1/pp2ppbp/3p1np1/1Pp5/4PP2/2NP1N2/1PP3PP/R1B1QRK1 b - -,e7e6
rnb1k2r/ppp1qppp/3ppn2/8/2PP4/P1N2N2/1P1QPPPP/R3KB1R b KQkq -,e8g8:e6e5
r3kb2/8/2r1p3/4P1Pp/1p2P3/2p1BK2/P1R5/3R4 w - -,g5g6
r1bq1rk1/1p1nbpp1/2n1p2p/p2pP2P/3p4/2PB1N2/PP3PP1/R1BQRNK1 w - -,c3d4
3rr1k1/1p1bqpp1/p1p4p/3n4/N2Pp3/4P2P/PPQN1PP1/2R1R1K1 w - -,a4c5
2k5/1pp2rpp/p2bbp2/2p1nN1P/4P1P1/2B1NP2/PPP2K2/7R w - -,h1d1
2b4r/r3qkn1/3p1pp1/p1pP2Q1/PpP1P3/1P1N2N1/5R1P/5BRK w - -,g5f4
2bq1r2/r4pk1/p1p3p1/3p3p/3P1Q1P/5P1N/PPP5/2KR3R b - -,c8h3
r2q1rk1/pp1n1pbp/2p2np1/4p3/4PP2/2N2BP1/PPP4P/R1B1QRK1 b - -,e5f4
8/4kp2/r1p1p1p1/4P2p/p2P1P2/3K2P1/PrR5/7R b - -,a6b6
r2q1rk1/ppp1nppp/2n5/1B6/3P2b1/1N3N2/PP3PPP/R2Q1RK1 w - -,h2h3
r2qk2r/pb2bppp/1pn1pn2/2p5/3pPP2/3P1NP1/PPP1N1BP/R1BQ1RK1 w kq -,h2h3
r2qk2r/1p1nbpp1/p2pb2p/4p3/4P1PP/1NN1PB2/PPP1Q3/2KR3R w kq -,e2f2
r2q1r2/4ppkp/p1bp1np1/1p6/4P3/P1N5/1PPQBPPP/R3K2R w KQ -,f2f3
1r4k1/r2qbp1p/n1n1b1p1/2p1p3/p1N3P1/P1NPP2P/1BQ2PB1/2RR2K1 w - -,c3a4
8/3b1k2/3P4/7r/p7/4p2p/4K2B/6R1 b - -,a4a3
3r2k1/2R1p1bp/5pp1/3b4/p2PpBN1/P6P/5PP1/6K1 b - -,g7f8
rnbq1rk1/ppppp1bp/6p1/8/2PPn3/6P1/PP3PBP/R1BQK1NR w KQ -,g2e4
8/4k3/r1p5/pp2P2N/6b1/P1R5/1P1r4/4R1K1 w - -,h5f4
rnbq1rk1/p1pp1ppp/4pn2/1p6/2P5/P1Q2N2/1P1PPPPP/R1B1KB1R w KQ b6,c4b5
1r1qk2r/pb1p1ppp/n3pn2/b1pP4/2p1P3/P1N3P1/1P2NPBP/1RBQ1RK1 b k -,e8g8
r2r1nk1/qp1b1p1p/3p2pQ/1P1N4/4PP2/8/4B1PP/3R1R1K b - -,a7a2
1rbq1rk1/5p1p/p2p2pb/nppPp3/2P2Pn1/1P4P1/PBQNP1BP/3NRRK1 b - -,e5f4
3rk2r/1p2bpp1/p1bppn2/8/4P3/P1NRB1P1/1PP2PB1/R5K1 w k -,e3d4
r3r1k1/1pp2ppp/3q1bn1/p2p4/5P1P/1PPBB3/P1PQ1P2/1K4RR b - -,c7c5
8/p7/1b1knp1p/1p2p1pP/2p1P3/2PN1P2/PP1B2P1/3K4 w - -,d3b4
5rk1/6pp/r2n1q2/p1pPpPB1/PpPb3P/1P1B4/6RQ/5R1K b - -,f6f7
8/3b1k2/3p3p/p1pPq3/1pP1Pp2/1P1B1P2/P2Q3P/1K6 w - -,d3f1
r4rk1/p1ppq1pp/1pn1p3/5Pb1/2PPQ3/1PB2B2/P3PP1P/R4RK1 b - -,f8f5
r1bqk1nr/ppb2ppp/2n1p3/1N1pP3/1P1p1P2/P7/2P3PP/R1BQKBNR w KQkq -,g1f3
r1b1k2r/ppp3b1/2nnpqpp/3p4/3P4/2PBBN2/PP1N1PPP/R2QK2R w KQkq -,e1g1
8/5b2/8/8/8/2K5/5R2/k7 b - -,f7d5
r4rk1/pb1nqppp/2p1pn2/6N1/1p1PP3/1B4P1/PP4PP/R1BQ1RK1 b - -,e6e5
8/7p/2k3p1/1N6/1bP3K1/8/P6P/8 w - -,h2h4
3r3k/2q3pp/2r2p2/p3p3/2N5/1P2Q1P1/P4PKP/2R5 b - -,a5a4
1rr3k1/4ppqp/1p1pb1p1/p7/PPP1PPP1/2R1Q2P/8/2R2BK1 w - -,b4a5
5r2/pp5p/4BP2/3p2k1/P3b3/2r5/7P/3R1RK1 b - -,e4f3
r1bqk2r/pp3ppp/2n1p3/2PpPn2/8/P1P2N2/2P1BPPP/R1BQK2R b KQkq -,c8d7
r4rk1/pp3ppp/1bn2q2/3p4/5Bb1/4PN2/PP1QBPPP/2R2RK1 b - -,h7h6
7k/8/6Qp/4p3/1q6/7P/5PPK/8 w - -,g6h6
5k2/p7/1p2p3/3n1pQ1/3P4/P1qN1PP1/6K1/8 w - -,g5h6
5k2/5pp1/4p2p/p1p5/PpPb4/1P1R2PP/1r2BP2/5K2 b - -,e6e5
8/6pk/2r1q2p/2ppPp1P/1p3Q2/1P2PPP1/8/2R3K1 b - -,c6c7
3r4/1b5p/p2b1N2/1p1P2k1/2p1B3/2P5/PP4K1/5R2 b - -,b7c8
r2qkb1r/pp2n3/1np1pp2/5b1p/3P3P/1BN5/PP1BNPP1/R2QK2R b KQkq -,d8d7
r1q1k2r/pbnpbppp/1pn5/2p1NQ2/8/2N3P1/PP2PPBP/R1BR2K1 b kq -,c6e5
r4rk1/2q1nppp/np2p3/p3N3/2Pp4/6Q1/PP1B2PP/1K1R1R2 w - -,d2f4
3rr1k1/p1nqbppp/1pp1b3/4P3/3N4/P6P/BP1B1PP1/R2QR1K1 w - -,d4e6
8/6B1/p1k1B3/Pp1p4/1Pn5/2P5/1KPb4/8 w - -,b2b3
3b4/1p6/4k1pp/p1p1pp2/P1N1P3/2PK2PP/1P3P2/8 b - -,h6h5
4r3/2pr4/1p1p1pk1/pP3Npp/P1R1P3/1nP2PP1/5KP1/4R3 b - -,e8e5
r2q3k/1b1nb1p1/1p2Br1p/p2p3Q/3p4/P7/1P1N1PPP/R1B1R1K1 w - -,d2f3
2r5/5pkp/3p2p1/3N4/3K2P1/3rR2P/8/2n5 w - -,e3d3
