2b5/5p2/5k1p/8/4K2P/4N1P1/8/8 w - -,e3d5:g3g4
2rr2k1/pb2qpbp/1p2p1p1/3nN3/B2P4/P5Q1/1P1B1PPP/2R1R1K1 b - -,e7d6
5rk1/p1r2pbp/6p1/3Pn3/1nP1B3/6PP/P3QP2/2R2RK1 b - -,f7f5
4R3/3r2kp/p1n1R1pb/1pq2pN1/3p3P/P2P2Q1/1P4P1/6K1 w - -,e6c6
4r1k1/1p4Pp/p1p5/4B3/4q3/P4rQP/1P4PK/5R2 w - -,f1f3
r3k2r/pp2bpp1/1q2p2p/2p1P3/4N1Q1/8/PPP2PPP/2KR3R b kq -,e8g8
r3k2r/ppqnnppp/4p3/3pPb2/Q7/2P1B3/PP3PPP/2R1KBNR w Kkq -,c3c4
2r2rk1/1bqnbp2/p1p4p/Pp2p1p1/1P1PP3/2QB1NP1/3N1PP1/3R1RK1 w - -,d2b3
b2k3r/4bppp/3pp3/4n3/3N4/1P6/1BP2PPP/1N1R2K1 b - -,d8c8
1r2kb1r/pb2p2p/3pn1p1/qp6/2p1P3/2P2NP1/PPQN1P1P/R3KB1R w KQk -,f1g2
1b5r/4k3/1r4p1/3pp3/1N2n3/B7/P4PPP/5RK1 w - -,b4d5
rq1rn1k1/pb4bp/1p1pp1p1/5n2/2PNNP2/4BB2/PP1R1QPP/3R2K1 b - -,f5d4
R7/5p1k/5Pp1/4K1P1/2P4P/2Nr4/p7/8 b - -,d3c3
1n2rk2/2p2pp1/p2p3p/Pr6/1pN1PP2/1P2R2P/2P2KP1/4R3 w - -,e1d1
1R4k1/8/6pp/6N1/P6P/1P2n3/5r2/1K6 b - -,g8g7
2rqr1k1/pb1nbppp/1p2pn2/2ppN3/2PP4/1P1BP3/PB1NQPPP/R4RK1 w - -,f2f4
r2q1rk1/5pp1/2N3p1/1pPp1nn1/3P4/1P5P/1B1QRPP1/4R1K1 b - -,d8f6
2bq1rk1/r5bp/p1pp2p1/1p2pp2/4P3/1PBP1N1P/1PP2PP1/R2Q1RK1 w - -,d1e2
8/5p2/2r4P/p2p1Np1/Pp4P1/1P1K4/1k6/3B4 b - -,b2c1
2bqk2r/r3ppbp/p4np1/1p1PN3/2pP1P2/2N5/PPP1Q1PP/R1B1R1K1 b k -,a7c7
1r1br1k1/1pp2p1p/p1npq1p1/3N4/1PPP4/P3P1P1/1BQ2P1P/4RRK1 w - -,e3e4
r2q1r2/1b1nnpkp/pp4p1/2p5/4p3/2PB1NN1/PP1Q1PPP/R3R1K1 w - -,d3e4
8/5r2/4p1kp/3pP2N/3P2Pb/7P/8/3R2K1 b - -,h4g5
2r5/P1Pk4/1B1b2p1/7p/4p1P1/3p4/5PP1/2R1K3 w - h6,g4h5
8/pR6/3P3N/6p1/5n2/r4k1P/8/7K w - -,h6f5
8/7k/8/7P/3N2PK/8/2b5/8 b - -,c2d3
8/1p1r1p1k/p1pP2pp/P2bq3/1P6/8/2Q2RP1/6K1 w - -,f2e2
2kr3r/pp2bppp/2n1p3/3n4/3PNP2/1BP5/P4P1P/R1B1R1K1 b - -,h7h6
2r3k1/6pp/5b2/2PR4/3N1K2/R1Pr1P2/6P1/8 b - -,f6e7
1n1N4/5rkp/6p1/4Rp2/r2Q4/8/P1q2PPP/3R2K1 w - -,d8e6
r1b1r1k1/ppn2pbp/2p2np1/4p3/2P1P3/P1N1BN1P/1P2BPP1/3R1RK1 b - -,f6h5
r4r1k/p5q1/1p1p3b/1P1P4/P1N3b1/1R3pP1/5QP1/4RB1K w - -,g2f3
8/3r4/2p3p1/p2n1k1p/N1p4P/8/2P3P1/2K1R3 w - -,e1e8
r2q1rk1/2p2pb1/1p1p1npp/2nP4/1Pb4B/2N2N2/2B2PPP/1R1Q1RK1 w - -,b4c5
1r1q1rk1/Q1p2ppp/3b1n2/8/2B5/2N2n2/PP3P1P/R1B2RK1 w - -,g1h1
1Bb5/8/P1p2k1p/2N1nn2/6p1/4P3/5PB1/6K1 b - -,c8a6
r3k2r/p4ppp/2b1p3/1pbpP3/3N1Pq1/3Q4/PPP4P/R1B2RK1 w kq -,g1h1
r2qk2r/p4ppp/1bpp1n2/4p3/1PB1P3/8/P1P2PPP/R1B1QR1K b kq -,e8g8
rn1qkb1r/ppp1pppp/1n6/5b2/8/2N2N2/PPPPBPPP/R1BQK2R b KQkq -,e7e6
1rbqr1k1/1p2npbp/p2p2p1/2pN4/P3P3/2P2NPP/1PQ2PBK/R3R3 b - -,e7d5
8/8/5KNk/7p/7P/6P1/8/3b4 w - -,g6e7
r3k2r/2q1bppp/p1bppn2/1p6/4PP2/P1N1BB2/1PP3PP/R2Q1R1K b kq -,a8c8
rn1q1rk1/pp2ppbp/4bnp1/2pp4/2PP1B2/1QN2N2/PP2PPPP/2R1KB1R w K c6,b3b7
8/P7/2q5/7P/3Q4/1k6/4K3/8 b - -,b3c2
r1bqk2r/pp3ppp/2n2n2/2bp4/3N1B2/P1N1P3/1P3PPP/R2QKB1R b KQkq -,e8g8
6k1/R7/7p/pr5K/7P/3n4/7P/8 w - -,h5h6
r3k2r/pp1qp2p/2npN1p1/2p2n2/5P2/1P4K1/PBPQ2PP/R3R3 w kq -,g3f2
r1bqk2r/pp3pb1/2np1np1/2p1p1p1/2P4P/1P2PN2/PB1P1P2/RN1QKBR1 w Qkq -,h4g5
b2r4/2n2pk1/6pp/3p4/5NPP/4PB2/3R1P2/6K1 b - -,g7f6
8/n2qn1k1/2r5/r1p1pp1p/1p2PPpP/1P1P2P1/2RRN1Q1/2N3K1 b - f3,e5f4
r1bqkb1r/1p3ppp/p1nppn2/8/2P1P3/N7/PP3PPP/RNBQKB1R w KQkq -,b1c3
1q1rb3/1p2kp1p/p2p2p1/2rB4/2PQ4/2R3PP/P3PP2/3R2K1 b - -,b8c7
8/4Rp2/3p4/3p1P2/1P1b1kPp/7P/3r4/5B1K b - -,f4g3
1r2brk1/N2n2pp/5q2/2pP1p2/5P2/8/Pb2N1BP/1R1QR2K b - -,b8a8
q6k/2R3pp/1P3n2/PQ2p3/3pN3/8/5PKP/8 b - -,a8e4
r1br2k1/ppq1bppp/4p3/4P3/1n1p3P/6P1/PPP1QPB1/R1B1RNK1 w - -,g2e4
5rr1/p7/2q1kp2/3p3p/1QpPnBPP/P1P5/2P3R1/R5K1 w - h6,g4h5
r3kb1r/2Pnpppp/p4n2/1p3PBb/3N4/2N5/PPP3PP/R3KB1R b KQkq -,b5b4
8/p4r1k/1p1R2p1/7p/7Q/2P1rp1P/qP1R2P1/6K1 w - -,h4g5
8/7p/p4r1k/3p2RP/2nP1P1N/2PK4/P3RP2/1r6 b - -,f6f4
8/1p3ppk/2p3rp/P4Q2/2P1P3/KP1n4/3q1P2/R1R5 w - -,c1d1
rnbqk2r/pp2bppp/3p1n2/4p3/2P1P3/1N3P2/PP4PP/RNBQKB1R b KQkq c3,a7a5
5B2/p6R/1b6/1k1r2pp/8/7P/5PP1/6K1 b - -,d5f5
3N1b1k/2p4p/pr6/2p1Pp2/8/1P4PP/P5K1/4R3 w - -,e1d1
8/8/4K1k1/8/8/p7/P7/2b2R2 b - -,c1b2
r4rk1/ppp2q1p/4b1p1/6B1/2P1Q3/1P3BP1/P4P1P/b4RK1 w - -,e4e6
r3r2k/1q2N2p/3pQPpb/2p5/P3P3/1P6/1R3RPP/5K2 b - -,h6e3
2r1n3/pqnbkrb1/1p1p1pQ1/2pPp1p1/P1P1P1P1/1P1BNPN1/3B4/1R2K2R b K -,c7a6
2q1k2r/4rp2/1np4p/pp1pP1p1/3P4/3N2R1/PP3PPP/2Q2RK1 w k -,f2f4
4r2k/3n1rb1/1p3q1p/p1p1p1pP/P1PpQ3/1P1P1NP1/4RPK1/2B4R w - -,f3h2
r1q2rk1/p3p1b1/1pp1bp1p/6p1/3N3P/6B1/PPP2PP1/R1Q1R1K1 b - -,e6d5
r1b2rk1/1p2ppbp/2n3p1/p3P3/P1BP4/1q5P/1P2N1P1/R1B2RK1 w - -,c4b3
8/6k1/5p2/P4q1p/7P/6P1/3Q1K2/8 w - -,f2g1
rn1r2k1/pb1nqpp1/1p1pp2p/P1p5/1PPP4/RQ3NP1/1B2PPBP/5RK1 w - c6,d4c5
r1b2r1k/6b1/2p5/p3p3/P1B1Pppq/2P5/4QPPN/R2R2K1 b - -,f8f6
r2r2k1/p1b1qppp/2b2n2/1p1p4/2pP4/1P2P2P/PBB1NPP1/R2QR1K1 w - -,b2c1
3q1k2/pp2b3/2p5/5Q2/6p1/2N4b/PP3P2/1K2R3 b - -,f8g7
1q4Q1/5K2/7B/7k/8/8/8/8 b - -,b8c7
3r2k1/p4pp1/1pn4p/2Pp4/3P4/B6P/P4PP1/4R1K1 w - -,c5b6
1r6/4q1kp/1rbb1pp1/3p1P2/pppPp3/2P1P2B/PP1RQ1PP/3N1RK1 b - -,g6g5
6B1/p1R5/1n3k2/2p5/1p1b3n/1P6/P6P/7K b - -,h4f5
8/p4pk1/1p4p1/3BP2p/7P/1P4P1/P1b3K1/8 b - -,f7f6
r1bq1rk1/1pp2pb1/2np1npp/4p3/1PP5/2NPP1P1/5PBP/1RBQK1NR w K -,g1e2
8/5p2/r5kb/5p1p/1R5P/6P1/1B3P2/6K1 b - -,a6e6
1q4k1/p4pp1/1pn1p2p/3bP3/Q7/2BB1P1P/PP4P1/6K1 b - -,b8f8
1n1k2nr/3p1ppp/3P4/6b1/2B5/P4P2/1P4PP/R3K2R b KQ -,g8h6
8/kp2Qp2/2p2Pqp/1p6/7P/PP6/KP6/8 b - -,g6h5
r1bq1rk1/1p1nb1pp/2pnp3/2Pp1p2/1P1P4/2N2NP1/2Q1PPBP/1RB2RK1 b - -,d6c4
1rb2rk1/2q2nb1/p3p1p1/1pPpPp1p/1P3P2/4B1PP/2PQN1BK/R6R w - -,e2d4
6k1/5pp1/p3p2p/1p2P3/4pP2/P1P1q1P1/1P5P/3Q1K2 b - -,g8h7
6k1/6p1/1prR3p/1pr5/8/8/PPP2RP1/2K5 w - -,d6c6
8/4kp2/2n1p1pp/N3P3/R4PKP/2r5/5P2/8 b - -,c6a5
8/5k2/4q1p1/3p3p/2p4P/5P2/1P1Q1KP1/8 b - -,e6b6
3q1n2/1p2ppk1/p2p1bp1/P2P4/QP2PPB1/4B2P/6K1/8 w - -,e3b6
2rqr1k1/1b3pp1/pp1b1n1p/2pPn3/P1B4B/2N2N2/1PQ2PPP/3R1RK1 w - -,f3e5
1rb2rk1/p3qpnp/2B3p1/8/1PP5/P1N5/5PPP/R2QR1K1 b - -,e7f6
4r2k/1b4pp/pp1n1q2/2pP1p2/P3pP2/2N4P/BPP1Q1P1/4R1K1 b - -,b6b5
4rrn1/pp4bk/3q2p1/Q1pNp1Bp/2PnP3/1P4P1/P5BP/3R1RK1 b - -,a7a6
r3r1k1/1Q3pp1/p4b1p/3p4/3PbP2/2B3P1/1P3K1P/3R4 b - -,e8b8
1rbq1rk1/p4pp1/2pb1B1p/3p4/8/2NB1Q2/PPP2PPP/1R2R1K1 b - -,d8f6
7b/pRr2p2/3p2pk/2r5/7P/8/PPP4R/2K5 w - -,b7b3
r2qkb1r/p1n1pppp/2pp4/2p1P2b/8/1P1P1N1P/PBP2PP1/RN1QK2R w KQkq -,b1c3
rnbqnrk1/pp4bp/3p2p1/2pPpp2/2P1P3/2N3P1/PP2NPBP/R1BQ1RK1 w - f6,f2f4
1r6/1N3pk1/1p4p1/3Pp2r/2R1B3/5N2/6K1/8 w - -,c4c7
r4rk1/4Qp1p/6p1/p7/2p5/2RnPqB1/P4P1P/5RK1 b - -,a8c8
8/5pk1/1R6/r5p1/5KP1/4P3/5P2/8 w - -,f4e4
3rr1k1/1pq3pp/p2ppn2/P3p3/3nP3/2NB3Q/1PP2PPP/R4RK1 w - -,g1h1
8/1p3r1p/2p5/p7/4k3/8/PP4KP/3R4 w - -,d1d8
r6k/1q3pbp/1p1pr1p1/1P6/p1PpPN2/Q4P2/P5PP/1R1R2K1 b - -,e6f6
7R/k7/8/p1r1p3/2p1K3/1pP5/1P6/8 b - -,a5a4
rnbqk2r/p3bppp/2p1pn2/2N5/1p1P4/1B6/PPPBNPPP/R2Q1RK1 b kq -,a7a5
4Q3/pp3rkp/3n1pp1/2pP4/3q2NP/5PP1/P4RB1/3b2K1 w - -,e8e6
8/6k1/6p1/3q4/6QP/5P1K/8/8 w - -,h3g3
1k1r3r/pppq2p1/2n1pn1p/4p3/4P3/2NP1N1P/PPP3P1/2KR2QR w - -,g1c5
8/8/8/1R3pk1/7p/5Pn1/5K2/8 w - -,b5b8
1r1q1rk1/1p1nppbp/p1np2p1/2p5/2PPP3/1PN1B3/P2QNPPP/R4RK1 w - -,f1d1
r3r1k1/1pq2pbp/2p3p1/p4n2/NPP5/Q5PB/P4P1P/3R1RK1 w - -,h3f5
r1bqr1k1/pp3pbp/n1pp1np1/8/2P1P1P1/2N2P2/PPN1B1KP/R1BQ1R2 w - -,c1f4
1r3rk1/3nppb1/b2p2p1/p2P3p/2p1PN1P/4BP2/PPRK2P1/3N3R b - -,d7e5
8/3k4/3p4/2pPp2p/1pP1n2P/8/PN5K/8 w - -,b2d3
4n3/1p3k1p/p1p1Npp1/8/PbP3P1/1P1r2BP/4RPK1/8 b - -,b4e7
rq3rk1/p2nbppp/1p2b3/2ppP3/8/1P2P3/PB1NBPPP/2RQ1RK1 w - -,f2f4
r7/p7/1p1pNk1p/3Pbrp1/1PP3P1/4R3/P4P2/4R1K1 b - -,f5f4
r1b1k2r/1pq1bpp1/pn1ppn2/7p/3NPP2/2N3PP/PPP3B1/R1BQR1K1 w kq -,d1d3
5B2/8/6p1/1p1k1p2/1P2nP2/3K3P/8/8 b - -,e4f2:e4f6
2B5/2b1n1k1/p7/4PP2/4K2r/PP6/8/8 w - -,e4d3
6k1/1b4pp/2N1pq2/3r1p2/1P3P2/P3Q1P1/4P2P/2R3K1 w - -,a3a4
r1b3k1/1pqn2bp/2pp4/p2PprB1/2P1N3/7P/PP2BP2/2RQ1RK1 b - -,d7c5
2r1r1k1/1q3pb1/2p1p1p1/1pR3Bp/p2PQ2P/P1PR4/1P3PP1/6K1 b - -,g7f8:b7d7
r2qrbk1/p1p2ppp/1p6/8/4p2N/1P1bP1P1/PQ1P1PBP/2RR2K1 w - -,g2f1
r1b1kbnr/1p3ppp/1qn1p3/p1ppP3/3P4/P1PB1N2/1P3PPP/RNBQK2R b KQkq -,a5a4:f8e7:c8d7
2q1kb1r/Rb3ppp/2p5/1p1pQ3/2p2B2/2N3P1/1P2PP1P/6K1 b k -,f8e7
r2qk2r/pp1n1ppp/4p3/2p1P3/2B3b1/1Qb1PP2/PP4PP/R1B2RK1 w kq -,b2c3
r1b2rk1/ppq2pbp/2n1p1p1/2ppPn2/8/2PP1NP1/PP1NQPBP/R1B1R1K1 b - -,b7b6
3r4/6kp/2p1qpp1/2n1p1b1/2P1P3/2B2PP1/2B1Q2P/5R1K b - -,e6h3
1r4k1/1r2ppb1/qn1p2pp/3P4/4RPP1/2P3KP/1R2N3/2BQ4 w - -,g3f3
3r2nr/ppBQ3p/5bpk/qP3p2/4pN2/4P1P1/P4PBP/3R1RK1 b - -,d8d7
3rn1k1/pr3pbp/1p4p1/7q/1PRN4/P2P2P1/Q4P1P/B4RK1 b - -,e8f6
r5k1/4q1bp/6p1/1pp2p2/8/1P2npPP/P1QBb2N/3R2KB w - -,c2b1
4rrk1/1pqb2bp/4ppp1/2P5/PpP1R3/5N1P/1PBQ1PP1/R5K1 b - -,f6f5
8/8/6k1/5p1p/4KR1P/3P2P1/8/3r4 w - f6,e4e3
q3rnk1/5pbp/3p2p1/1p1n4/1Pp1PP2/2P2Q1P/3B2PK/1B1R4 w - -,e4d5
6k1/1p3qpp/1pp3r1/8/P1P1P1K1/8/1P5P/4Q1NR w - -,g4h3
8/3r2k1/8/3Bp3/1r6/2R2P2/4K3/8 w - -,d5e4
2krr3/bp6/2p2p1p/P2Pp2q/B3Pn1B/3P1bP1/2Q2P1K/R5R1 b - -,h5g4
r2qk2r/pb3ppp/1p1ppn2/2n3B1/2P5/P1Q2NP1/1P2PPBP/R3K2R b KQkq -,a8c8
6k1/p4p2/5rp1/2pp1q1p/3b4/1P1P2P1/P3R1QP/2B4K w - -,e2e1
2kr3r/1ppq2b1/3pb3/pP2p2p/2P3pP/3BP1N1/P4PP1/2RQK2R w K -,d1c2
rn1qkb1r/1b1n1ppp/p3p3/2p1P1N1/p2P4/3B4/1P3PPP/RNBQ1RK1 b kq -,f8e7
r2q1rk1/p4ppp/n4n2/2pp4/8/P1P1PN2/5PPP/R1BQ1RK1 w - -,c3c4
r2bq1k1/pp2nr1p/1npp1pPQ/8/3PP1R1/2P1BN1P/PP4B1/5RK1 b - -,e7g6
6k1/p2q1pp1/1pnN3p/2pQ4/5P1P/P5P1/1P3PK1/8 w - -,h4h5
1k2rb1r/5Rpp/p2pp3/1pqN2P1/4P3/1P5Q/P1P4P/2KR4 w - -,b3b4
8/8/4K3/p1Q5/8/kp1P2N1/7p/8 b - -,a3b2
2k4r/pp2R2p/5pp1/3r4/3n3R/B4P2/PP4P1/6K1 b - -,h7h5
rn1qkb1r/ppp1pppp/1n6/3pP3/3P2b1/2N2N2/PPP1BPPP/R1BQK2R w KQkq -,e1g1
qr4kb/p2n1N1p/1p3pp1/8/1P3N2/4BP2/P1Q3PP/2R4K b - -,g8f7
1k6/pp4p1/2n5/2p3rP/6NR/2P2p2/PP1r1P2/1R3K2 b - -,b7b5
rn1qkb1r/pp3pp1/2p1pnbp/8/2BP1N1P/6N1/PPP2PP1/R1BQK2R b KQkq -,g6h7
1rn3k1/3N3p/1p1nR1p1/p2Pp3/P2pP1BP/1P6/6P1/6K1 b - -,b8b7
r1q2rk1/ppn1ppb1/2ppb1p1/7p/2PPP3/1NP1B1PP/P3QPBK/2R2R2 b - -,e6d7
6k1/p4pp1/4p2p/1bbn4/2N2PP1/1P3BK1/3BP2P/8 w - -,c4a5
2k1nb1r/p2r1Q2/4p2p/1p1pP2P/2pP4/2P5/Pn1BN1PN/5RK1 b - -,d7f7
2kr3r/pp1b2pp/4p3/2n1Pn2/5P2/P2p1KPB/RB5P/7R w - -,h1c1
3r4/1p6/p3k3/P3p1p1/1P2R2p/4NPbP/2K3P1/8 b - -,d8c8
2br1rk1/p1q2ppp/3p1n2/1Qp5/8/1NN5/PPP2PPP/2RR2K1 w - -,d1d2
5k2/3n1p2/4p3/p3P3/1p2R1p1/2qB4/P4PKP/4R3 w - -,e1e3
6r1/p3k3/2N1p2b/3p4/8/1P4P1/2P2RK1/8 b - -,e7d6
2rqr1k1/pp3pbp/2pn1np1/3pN3/3P4/2N1PP2/PPQ2BPP/3RR1K1 b - -,f6d7
6k1/1q3pp1/p3p2p/1pQ1P3/1Pb2P2/P5P1/5K1P/2R5 w - -,c1c4
8/1q2bk2/b2p1Pp1/1prP3p/3QP3/1PB2P1P/5N2/R5K1 b - -,c5c3
4K3/1Pb5/P1k5/3p4/3B4/8/8/8 b - -,c7b8
8/5p2/2n3kp/3pP1p1/1brP4/1R2BN1P/4KPP1/8 b - -,b4a5
6k1/4K3/7P/5Bn1/1p1B1bP1/8/P7/8 w - -,e7f6
4r1k1/1p4p1/8/1PB5/P7/2n1NPbp/4R3/6K1 w - -,e2c2
rnbqkb1r/1p3ppp/p1p1pn2/3p4/P1PP4/2N1PN2/1P3PPP/R1BQKB1R b KQkq a3,a6a5
r1bbn1k1/p1p2rpp/1p2p3/3p4/1P1N1B2/3P2PB/P3PP1P/2R2RK1 b - -,g7g5
8/4B3/8/pp3pKp/4k1b1/P5P1/5P2/8 b - -,g4d1
r5k1/p1p1p1b1/bpnN2Bp/3npP2/8/1PP2N2/P5PP/R1B2R1K b - -,a6f1
4q3/p1pk4/1p6/7p/2PPb1PQ/1P5P/P6K/8 b - g3,e8g6
r1b2rk1/pp3pp1/7p/2p4B/8/2b3B1/PPn2PPP/2R2RK1 b - -,c3b2
r1R5/p3p1bp/R5p1/1p1k4/1P1PnP2/4PN2/3B2PP/6K1 b - -,a8c8
rn1r2k1/pb1qbpp1/1p1p1n1p/2pPp3/4P3/P1PBBN1P/1P3PP1/R2QRNK1 b - -,g8h7
1r2k2r/p4pb1/b1p1p2p/3p2p1/1qP5/2N1P1P1/PP1QBPP1/2R1K2R w Kk -,c4d5
r2r2k1/pp3p1p/2bp1p2/6q1/4P3/3R1Q2/PPP2PPP/1K2R3 b - -,g8h8
5rk1/5ppp/p1q5/2bpPQ2/1r6/2N5/1PP3PP/2KR1R2 w - -,c3d5
r5k1/2n1qp1p/3p2p1/2pPb3/1p2N3/4P1P1/1PQ2PBP/1R4K1 b - -,h7h5
r1bq1rk1/p1pn1pbp/1p2pnp1/3p4/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1 w - -,c4d5
8/p3pp1p/1p4k1/4P1p1/r7/2PK2P1/P3P2P/R7 b - -,g6f5
5r1r/1b2kp2/p2p1p2/1P2pP1p/4PKn1/1N1B4/PP3RPP/5R2 w - -,f4f3
1rb1r1k1/1p1n1pbp/pq1p2p1/2pP2Bn/P3N3/5NP1/1PQ1PPBP/1RR3K1 b - -,h7h6
6k1/p2n2p1/4p2p/2p2r2/1r6/4K3/PP2B1PP/1R4R1 w - -,b2b3
1rb2rk1/3n1pbp/p2p1np1/qppPpP2/2P1P2P/2NB2N1/PP1B2P1/R2QK2R w KQ b6,c4b5
r1bqk2r/pp3ppp/2n1pn2/3p4/2P5/P1N1P3/1P3PPP/R1BQKB1R b KQkq -,e8g8
2r1r1k1/1p3pp1/p3p1qp/2b1P3/2nN2P1/2N1Q2P/PB6/3RR1K1 w - -,e3e2
3Rrk2/1p3p2/2p2n2/2n2b1p/3R4/4B1PP/6B1/7K w - -,d8e8
8/6R1/4pp2/2p4k/1p2PP2/r1P5/2K4P/8 w - -,c3b4
1r2k1nr/3bp1bp/p2p2p1/qppP1p2/2P1PB2/1BN2Q1P/PP3PP1/1R3RK1 w k f6,f1e1
r1b2rk1/pp2bppp/1qp1p3/8/3PP3/2Q2NB1/PP3PPP/2KR3R w - -,c1b1
r1b4Q/1p5p/p1n5/3kp3/8/8/PPP4P/2K5 w - -,h8h7
r2q1rk1/3n1ppp/4p3/pP6/PbNp1B2/3P2P1/4QP1P/R2R2K1 w - -,f4d2
5rk1/1p3p1p/p1r2Rp1/2p5/3pP1P1/1P1P3P/P1P4K/5R2 b - -,c6f6
6k1/2n2p1p/p1pR2p1/3b4/2r3P1/8/PP5P/4R1K1 w - -,h2h3
4r1k1/p4pp1/1p1n3r/3P3p/3p4/3R1N2/P1P3PP/5RK1 b - -,h6g6
5b2/5p2/2r2P2/2P1k3/1BR1p1p1/P5P1/4KP2/8 b - -,e5d5
7r/1p4k1/2b1p1p1/p2pN1P1/P2P1PP1/1P6/6Kp/2R5 b - -,h8f8
