5bk1/p7/1p4Q1/4PP1p/7P/P2q2P1/7K/8 b - -,f8g7
r1bq1r1k/pp4pp/1bn1pp2/8/1PB5/P1Q1PN2/1B3PPP/R3K2R w KQ -,e1g1
r2r1nk1/1bn1qp2/p5pp/1pp1P3/3p1PP1/2N1P1BP/PPQ5/1B2RRK1 w - -,e3d4
r5k1/4bpp1/p2p1q1p/P1pP4/1rQ1P3/1P6/4BPPP/R4RK1 w - -,c4c2
8/2p1k3/pp1p4/4pp2/2P4r/PP4NP/8/2K4R b - -,e7e6
2Q1n3/p3qk1p/1p1p1np1/2pP1p2/2P2P2/P1PBN2P/5KP1/8 w - -,g2g4
r3k2r/pp3ppp/2p1pn2/3p4/2PP4/qP2PN1P/P3QPP1/R4RK1 w kq -,f3e5
r4rk1/5pbp/1q1p1np1/1pnP4/2p1PBP1/2N2Q1P/1P3P2/1B1R1RK1 w - -,e4e5
r4rk1/1p2qp1p/2bpp1p1/p1n1b3/2P1P3/2N1BP2/PPRQB1PP/3R2K1 b - -,a8d8
1rb1r1k1/2q3bn/3p2p1/1pnP3p/2p1P3/2N1B1N1/1PQ1B1PP/R4RK1 w - -,e4e5
r2qkbnr/pp1n1ppb/2p1p2p/3p4/4P3/3P1NP1/PPPNQPBP/R1B2RK1 b kq -,f8e7
rnbqk2r/pp2bppp/3ppn2/8/2PP4/2N1B3/PP3PPP/R2QKBNR w KQkq -,h2h3
r1bqk2r/pp2npbp/3p2p1/2pNp3/3nPP2/3P1NP1/PPP3BP/R1BQ1RK1 b kq -,e7d5
4q1k1/3b1pp1/3p4/1pnPp3/1Np1Pbp1/2P2P1P/1PB2B2/3Q1K2 w - -,h3g4
2r5/1p1q1kpQ/p3pp1p/2Pp4/P2P4/4P1PP/5P2/1R4K1 w - -,b1b4
Q6k/p5p1/1p5p/4B1q1/7N/7P/5rPK/8 b - -,h8h7
r2qkbnr/p1p2ppp/np2p3/3pP3/3P4/P1NQ1N2/1PP2PPP/R1B1K2R b KQkq -,a6b8
8/r7/5k1P/4Np2/5B2/8/4K3/8 b - -,a7h7
8/3q3p/3p3P/3Pp1k1/P1P2pP1/5K2/1P6/4Q3 w - -,e1e4
r3k2r/1q1bbpp1/p2p1n1p/1p2p3/2P1P3/NP1Q4/P2N1PPP/R1BR2K1 w kq -,f2f3
r3r1k1/pp2bppp/2n1b3/2p4q/8/P1BBP3/1PQ2PPP/R3K1NR w KQ -,g1e2
4r3/1p3rkp/p1n3p1/5p2/PPR2B2/4P2P/5PP1/3R2K1 w - -,d1d5
2r3k1/p4qpp/4pn2/1Pp1Bp2/PPQ5/5P1P/6P1/3R2K1 b - b3,f6d5
2kr3r/2q2p2/b1n1p2p/p1b1P1pP/Ppp3Q1/1P3NP1/2P2PB1/R3RNK1 w - -,g4e4
4b3/8/1p2k2p/1P1p1p1n/3N1P2/2KBP1P1/8/8 b - -,e6f6
5rk1/pppnb3/1n2p1bp/3pP1p1/3P1P2/1PPN2P1/P2N4/3RRBK1 w - -,e1e3
2r4k/3R2pp/p3Qp2/2n5/1q6/1P4P1/PB2PP1P/5K2 w - -,e6e7
2b1k2r/1p1nbppp/4p3/2Pq4/1P6/5N2/RB1N1PPP/3QK2R b Kk -,d5a2
2kr3r/Rp3p1p/1np1p3/2b2p2/8/2N2P2/1P2K1PP/5B1R b - -,b6c4
8/8/8/pP3Rpk/8/6PP/1r6/6K1 b - -,a5a4
7k/p4r2/7p/4P3/8/5B1P/P3r1P1/2R3K1 b - -,e2e5
q1rbn1k1/1r1n1ppp/2p1p3/p1B5/Np1PP3/5N1P/PPQ2PP1/1KR1R3 w - -,c2d3
1r1q1rk1/3bbp1p/p2p1npB/2pPpP2/2B1P3/P1N4P/1P1Q1P2/2K3RR b - -,d7b5
r3rb2/2q2pk1/2pnpnp1/pp1pN2p/P2P1P2/1P2Q1PP/1BP2P2/3RRBK1 w - b6,d1a1
1qr3k1/r3bppp/p3p3/Qb2P3/3R1P2/1N3B2/PPP3PP/1K1R4 b - -,a7c7
1r2r3/p1pb2k1/3b1n1p/3P1pp1/2BPp3/1PN3P1/P2B1P1P/2R1K2R w K -,c3e2
r4rk1/pb4pp/4p3/nPq2n2/1b3B2/1PN2PP1/P2QN1BP/1K1R3R b - -,a8c8
r5k1/6p1/3b1q2/pppp4/8/2PP2PQ/PP3PN1/R5K1 w - -,a1e1
r3r1k1/p2R2bp/2B1npp1/4P3/5P2/BP3RP1/P1n4P/6K1 w - -,c6a8
5rk1/p4p1p/4p1b1/3p2p1/3P2P1/r3P3/P3BPP1/R4RK1 w - -,f1d1
5rk1/3b2bp/p3pp2/1p4p1/3NP3/2Pr2B1/PP3PPP/R3R1K1 w - -,a1d1
4k3/5p2/1Kp5/4P1P1/bPB5/8/8/8 w - -,b6c7
8/pp1b1k1p/2pbpn2/P2p4/2PPpP2/1P2P2P/1BQKBqr1/R4N2 w - -,a1e1
8/7k/8/2p5/2Nb1P2/4N2P/6K1/1r6 w - -,e3d5
4r2k/1p1r3p/p2q4/5p2/1P1pb3/3B2PP/P2R1Q1K/3R4 b - -,d6b4
5r2/p5k1/1p2q3/2p5/P2pP1p1/1P1P2Bb/4Q3/1R4K1 b - -,f8f3
rn2r1k1/3b1pb1/3p2pp/pB6/Qp1PpP1q/4B1N1/PP4PP/2R1K2R b K -,h4d8
4r1k1/5p1p/p2p4/qr1nbPB1/2p1N3/P7/1P1R2PP/3Q1R1K w - -,d1h5
4r1k1/2pqr1bp/1p1p1np1/pP1P1n2/P1QP1P2/2B2BPP/5K2/R3RN2 b - -,e7e1
r2qrbk1/1b1n1pp1/p2p1n1p/1ppP4/P3PP2/6P1/1P3NBP/RNBQR1K1 w - -,c1e3
r1b2rk1/1pq3pp/p4p2/4p3/PbNp1n2/1P1P1BN1/2P2PPP/R2QR1K1 w - -,e1f1
r3rnk1/1bq1bppp/pp1ppn2/8/2PNP3/PPN3PP/1B3PB1/R2QR1K1 w - -,a1c1
7k/7p/p2bBq2/1p1Pp1p1/1P4QP/6P1/5P2/6K1 b - -,h7h6
r1bqnrk1/ppp1n1bp/3p2p1/3Ppp2/2P1P1P1/2N2P2/PP2B2P/R1BQNRK1 b - g3,g8h8
r2r4/1p1nqpk1/6p1/p1bP2n1/4p3/P1N1P3/1PQN1P2/R1B2K1R b - -,d7f6
r2qk2r/pb1pbppp/1pn1p2n/4P3/Q1Pp4/5NPP/PP1N1PB1/R1B2RK1 w kq -,d2e4
5k2/1b2r1p1/4P2p/p2p1P2/3R2P1/p7/7P/4R1K1 w - -,d4a4
1qr2rk1/p3bpp1/bpnppn1p/8/2P1P2B/P2B1N2/1PQN1PPP/2RR2K1 b - -,f8d8
r7/1q2ppkp/r2p1np1/2pP4/2NbPB2/1P1Q2P1/P1R1RPKP/8 w - -,d3f3
r3k2r/1b3ppp/p1n1pn2/1pb5/1P6/P1N1PN2/B4PPP/R1BR2K1 b kq b3,c5b6
2b2rk1/R4ppp/8/1pp1N1b1/4P3/P1N5/1PP2P1P/3K4 b - -,f8d8
rq3rkb/3b3p/1ppP1ppP/2p1p3/1nP1P1P1/pPN2Q2/P4P2/1NKR1BR1 w - -,d1d2
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2N3PP/PP1PNPB1/R1BQ1RK1 b - -,f6d7:a7a6:c8d7
6k1/p4r2/1p4r1/2pNb1pR/2Pn4/1PB2pP1/5PK1/R7 w - -,g2h3
5rk1/1R3ppp/p7/1Pp5/5P2/P4P1P/5P2/6K1 b - -,a6b5
2rq1rk1/p2nbppp/bp3n2/8/3B3N/1P4P1/1Q1N1PBP/R2R2K1 b - -,a6e2
r4rk1/1pqbbppp/p3pn2/8/3B4/1PN2B2/P1P1QPPP/3R1RK1 w - -,d4e5
8/2p5/p2p1kp1/1p1P1p2/1P3P2/P1r5/B3R1K1/8 w - -,g2f2
5rk1/6b1/pp5p/2p1pP2/bP2P2q/NnP2RN1/6B1/3Q2K1 w - -,b4c5
5r1k/8/6Qb/1p2q2p/4N3/4P3/5PBK/8 w - -,f2f4
8/8/8/5N2/4pp2/6p1/6K1/3k4 w - -,f5d4
r4rk1/1npq1pp1/1p1p2n1/3Pp1p1/PNP1P3/R7/R1Q1NPPP/6K1 b - -,f7f6
5k2/2p2p1p/3n2p1/8/8/qP6/6Q1/5BK1 w - -,g2c2
1r4k1/pq3bbp/2p2pp1/3p4/N2P4/P7/1P1Q1PPP/2R1R1K1 w - -,b2b4
r2q1rk1/1p1bb1pp/2n1pn2/p1pp4/3P1P2/2PB1N2/PP2N1PP/R1BQ1R1K w - -,c1e3
8/pK1Br1k1/P3P3/5P2/6p1/3R4/1b6/8 b - -,g7f6
1n1r2k1/2q2ppp/1pP5/r1b1p3/4Q3/2N2B1P/PP3PP1/R4RK1 w - -,b2b4
2kr1b1r/pp1qnp1n/3p4/3NpNPQ/4P2p/8/PPP2P1P/2KR3R w - -,d5b6
2kr3r/ppq2pQp/2pb2b1/8/2P5/1N3B1P/PP3PP1/R3R1K1 b - -,h8g8
5b1r/ppk3pp/2p1np2/4p3/1PB1P3/P4P2/1Bn2KPP/1R5R b - -,c2d4
r1bqk1nr/pp1pppbp/2N3p1/8/2B1P3/8/PPP2PPP/RNBQK2R b KQkq -,b7c6
r2r2k1/ppqbbppp/3p1nn1/P1pPp3/4P3/2N1BN1P/1PPQBPP1/R1R3K1 w - -,e3g5
8/8/R1Q1p2p/1p2p1pn/1k2P3/2r1qP1P/6PK/8 w - -,c6d6
8/1R4pk/8/6PP/1P6/5PK1/8/3r4 b - -,h7g8
r1b1k2r/1pq1bppp/p1npp3/7n/2B1P3/2N1BN2/PP2QPPP/2RR2K1 b kq -,e8g8
1r1q1rk1/1pp1bpp1/p3bn1p/4p3/NnPp4/BP1P2P1/P2NPPBP/R1Q2RK1 w - -,c4c5
2brr3/6k1/p7/1p3p2/2p5/P1N4P/1PP2PP1/1B3K1R w - -,h3h4
1r3k2/5p1p/3p2p1/pP2p3/1R2P3/4NP2/6PP/R5K1 b - -,a5b4
1r6/R5p1/4p3/2BnP2k/7p/5P1P/6PK/8 b - -,g7g5
rn3rk1/pbq1b1pp/1pp1p3/5p2/2PPB3/4B1P1/PPQ1NP1P/R3K2R w KQ f6,e4g2
6k1/4bpp1/bp2p2p/1q1pP3/p2P1PP1/3NQN2/PP5P/6K1 w - -,f3e1
1r4k1/1q2p1b1/3p1np1/Q3p1P1/4P3/Pr2BP2/1P1RN3/1K5R w - -,e2c3
4r1k1/pq2rp1p/6p1/1PQR4/5N2/n4PP1/3RP2P/6K1 b - -,b7b6
1r1rb3/1p6/4pk2/R3Nppp/1P1P4/2P2PP1/1P3K2/4R3 w - h6,e5d3
4r1k1/3n1ppb/1q3n1p/pp2p3/1P2P3/3Q1PPP/1BB3K1/1N1R4 w - -,b4a5
4q1k1/1p1r3p/p1p1pb2/2Pp1p2/PP1P1Br1/4P2R/2Q3PP/5RK1 w - -,f1f2
3rr1k1/pppb1pb1/2n2qpp/4p2n/4P3/2P1BN1P/PPQN1PP1/3RRBK1 w - -,b2b4
r2q1rk1/p4ppp/Bb3nn1/3pp3/QP6/P3P1N1/1B3PPP/2RR2K1 b - -,h7h5
6Q1/3k4/3n4/1p2b1P1/1P2p3/3r4/8/4BK2 b - -,d3f3
r2q1rk1/1pp1bpp1/2n1b2p/p3p3/n7/P2PPN1P/1PQBBPP1/R4RK1 w - -,c2a4
4k2r/3p1ppp/2b1p1n1/pr4P1/4P1R1/1P1N1P2/2PR3P/2K2B2 w k -,d3b2
r2qkb1r/pppn1ppp/5n2/3pp3/6b1/3P1NPP/PPP1PPB1/RNBQ1RK1 b kq -,g4f3
r1b1rbk1/ppp1qpp1/2np1n1p/P3p3/2B1P3/1QPP1N2/1P1N1PPP/R1B1R1K1 b - -,b7b6
r1bq1rk1/pp1p1pbp/2n1p1p1/8/2PpP3/3P2P1/PP2NPBP/R1BQ1RK1 w - -,a1b1
2q3k1/1rbnr1p1/p1p1p2p/P1Pp1p2/N2P1Pn1/1N2P3/3B2PP/R2Q1RK1 w - -,a4b6
1n1r1rk1/pn2qpbp/1p2b1p1/1Bp1p3/P3P3/1PP1BP2/2QN2PP/R1N2RK1 b - -,b7a5
2r3k1/pbqrbppp/1pn1pn2/2p5/2P5/2NPPNP1/PB2QPBP/1R1R2K1 w - -,f3e1
2r1r2k/5p1p/7n/3pq3/1P6/2PB2RP/P4Q1K/4R3 b - -,e5d6
r3k2r/1pp1n1pp/p1nb1p2/5b2/2B5/2P1BN2/PP1N1PPP/R4RK1 b kq -,e8c8
4r1k1/p4pb1/q4npp/Pb1P4/2pB4/Q4B1P/3N1PP1/2R3K1 b - -,e8d8
r2q1rk1/pb3ppp/1p1bpnn1/2ppN3/3P1P2/2PBP1B1/PP1N2PP/RQ2K2R w KQ -,e5g6:e1g1
8/R4pp1/3r1rkp/8/3NKP2/4P1P1/P5P1/1R6 w - -,b1b7
8/1p6/p4kpr/3P1p2/8/4K3/PP4RP/8 b - -,f6e5
2b2rk1/Q5pp/1p1p4/3Pppqn/1PP5/2N2P2/4B1PP/R5K1 w - -,a7a3
r1bq1rk1/1p1nb1pp/p2p4/3Ppp2/2P5/1QNB4/PP3PPP/R1B2RK1 w - -,c3a4
r1bq1rk1/p3ppbp/2p2np1/2pp4/5P2/1P2PN2/PBPP2PP/RN1Q1RK1 w - -,d2d3
4b3/1n2k1pp/1p2p3/3pN3/1P3Pp1/3PPN1P/3K4/8 w - -,h3g4
4r1k1/1p4p1/p1p1rn1p/7P/1P2P1P1/P3BP2/2R1K3/3R4 w - -,d1d3
3rr1k1/1p3p2/p1p4p/2q1nbp1/3p4/P2P2PN/1B2PPBP/2R1R1K1 w - -,c1c5
3rr1k1/p1p2pp1/1p4qp/4pb2/2PB4/3P2PP/P1P1QPB1/1R2R2K b - -,d8d4
8/p3B2p/1b2p1k1/7r/1P3ppP/8/P1R1KPP1/8 b - h3,g4h3
r4rk1/1p1n1pbp/2p1q1p1/3np3/1P6/2NP2PP/4PPB1/1RBQ1RK1 w - -,c3d5
2r2bk1/5p2/p4qp1/Qp4N1/7P/1N6/5PP1/5RK1 b - -,c8c4
6k1/pb3pp1/1p1qpn1p/2b1N3/2P5/1P6/PB2QPPP/1B3K2 w - -,e2d3
r4rk1/pppb2pp/2nq1b2/3p1p2/3P4/1N1B1N2/PPP2PPP/R2QR1K1 w - -,c2c3
3b4/q4pk1/4p1pp/pBp1P3/P1PnQPP1/7P/3B2K1/8 b - -,d8e7
r1bq1rk1/pp4bp/2np2p1/2n1pp2/2P1P3/2N1BN1P/PPQ1BPP1/3R1RK1 b - -,c5e4
k1r4r/pp3Q1P/4pP2/3p4/3PqB2/P1P5/7P/5RK1 b - -,h8h7
1k6/1pp3p1/p7/3n4/3N3P/1PP2Q2/P2P4/2K1q3 w - -,c1c2
3nkb1r/pp4pp/4Pp2/8/2P2nB1/2B5/P4PPP/RN4K1 w k -,b1d2
8/p2bkp2/1p5p/3p2p1/3P3P/P2BKP2/1P4P1/8 w - g6,h4g5
7r/p5k1/1p5p/2p1p1r1/3p1pPR/P2PnP2/1PP2KN1/7R w - -,c2c3
8/3N1p2/4p3/P4kP1/8/1KP5/7r/5b2 w - -,c3c4
5rk1/4b1pp/1qp2p2/4p3/4P3/2QP1NP1/5P1P/R5K1 w - -,c3c4
7k/pp5p/2p3p1/4r3/1P6/2N2rPb/P1R2P1P/3R2K1 b - -,h8g7
2b3k1/6pp/3ppb2/p3q3/Bp2P3/2PQ4/PP6/1K1R4 b - -,b4c3
3rr1k1/1p2npq1/p1p1b1pQ/4N2p/3P2PP/P4P2/1P4K1/1B1RR3 w - -,h6c1
8/8/1NP5/p7/5p2/4kBp1/2r5/6K1 w - -,c6c7
r1r3k1/pp1bqppp/2n1p3/1BPp4/3P4/2P2N2/P4PPP/1R1QR1K1 b - -,b7b6
1r1r1k2/2Rbpp1p/p5p1/1p1P4/7P/2R2BP1/PP4P1/6K1 w - -,c7a7
r1b3k1/2q2rbp/p1p1p1p1/3p4/1P2p3/P2BB1Q1/2P2PPP/3RR1K1 w - -,g3c7
3r4/8/p4k1p/1p3p2/1P1r1P2/1P3K1P/4R3/4R3 w - -,e2e6
r4rk1/1pqnbpp1/3p1n1p/p2Pp3/1Pp1P1b1/P1P2NPP/1B2QPB1/RN3RK1 b - -,g4f3
8/p7/5k2/3R2p1/1p4Pp/r6P/8/2K5 w - -,d5f5
r4rk1/1b4pp/p2bp3/5p1Q/q2PpP2/p3P3/1P1BN1PP/2R2RK1 w - -,b2a3
r1b2rk1/1pq2pbp/p1nppnp1/8/2P5/2N3P1/PPN1PPBP/R1BQ1RK1 w - -,c1f4
8/R7/6pp/P4p2/3K2k1/7r/8/8 w - -,a5a6
1rbqnrk1/4n1bp/p2p2p1/2pPpp2/R1P1P3/2NNB1PP/1P2QPB1/1R4K1 b - -,e8f6
7r/1p1bk3/p3p3/3p4/3P1K2/P4P2/1P1R4/5B2 w - -,f4g3
r4rk1/pp1b1ppp/1bn1p3/1B6/8/4PN2/PP1BKPPP/2R4R b - -,a7a6
5r1k/4npp1/pqbNp2p/2R1P3/5QP1/3r1N2/PP3P1P/2R3K1 w - -,f3e1
1b6/6kp/p3qp2/8/Q1pP4/4P1P1/1B5P/6K1 w - -,g1f2
2r2rk1/pbqn1ppp/1p1ppn2/2p5/1PPP4/P1Q2NP1/1B2PPBP/2R2RK1 b - d3,a7a5
r3kb1r/pp3ppp/2n1p3/8/2nP4/2P2P2/P1B2P1P/RNB1R1K1 b kq d3,e8c8
1rr3k1/2q2ppp/4p3/3p2b1/2P1Pn2/1P5P/PB3PP1/RN1Q1RK1 w - -,d1g4
1rbr2k1/2pq1pbp/p1n1pnp1/1pR5/3PP3/4BP2/PP1QNNPP/4KB1R w K -,c5c1
7k/8/3RB2r/2pP4/2P5/7P/1r6/7K b - -,h6f6
q5k1/5p1p/b2p2p1/3P4/2pb1P2/7P/1PQ3P1/4R2K w - -,c2a4
6k1/1p3p2/p4rpp/P1Np2q1/3P4/2P3Pb/2Q2P1P/4R1K1 w - -,e1e5
8/8/8/8/3Kp3/5b2/3R4/2k5 w - -,d4c3
r2q1rk1/pp1n1ppp/4p3/1NPpP3/1P1N1P1b/P2Q4/6PP/R4K1R w - -,g2g3
6k1/p3np2/4p1n1/2p1P3/2PpBPQ1/3P1N2/P1R4K/1r2q3 b - -,e1h1
r3kbnr/1pp1pppp/p1q5/3p4/5Pb1/1P2PN2/P1PP2PP/RNBQ1RK1 b kq -,e7e6
1r3b2/5Q2/p2p1P2/k1rRp3/1p6/8/PPP3BP/1K6 b - -,c5d5
2r3k1/p1r2pb1/q1n1p1p1/1p1pP2p/1PnP4/P1RQB1P1/2R2PBP/N5K1 b - -,c6b4
r2qkb1r/ppp2ppp/2npbn2/4p1N1/2B1P3/8/PPPP1PPP/RNBQ1RK1 w kq -,c4e6
2R3k1/6b1/3B2p1/4p1P1/4P2P/3r4/8/6K1 b - -,g8f7
3r2k1/5pp1/p1p4p/1pP5/3Nb3/P1P4P/5PP1/3R2K1 b - -,d8d5
r1b3k1/2q1b2p/p1ppp1p1/5r2/5P2/3Q3R/PPPBN1PP/5R1K b - -,f5f7
7k/6p1/7p/p2Q4/5p2/2P4P/6P1/q6K w - -,h1h2
3r4/p1R1r1k1/7p/1B1p4/1P2p1p1/P4bP1/5P1P/2R3K1 b - -,e7c7
rn1q1rk1/pb2bppp/1p2pn2/8/2pP4/1PN2N2/PB2BPPP/R2Q1RK1 w - -,b3c4
7R/8/2pb2p1/5kP1/2b2P2/2B3K1/8/8 w - -,c3e5
r4rk1/4p1b1/1p3pp1/2nPPb1p/p1P2P2/4B3/3NB1PP/R4RK1 w - -,e5e6
3r1b1r/ppk3p1/2p4p/3pPn2/3P4/4R3/PPPB1P2/R3K1N1 w Q -,e3d3
r7/1pp1kp2/3p2p1/p1nPp3/2P1P1B1/4B1N1/PP2KP1r/R7 w - -,b2b3
8/p3k3/4p2p/2bpPp2/1p5P/2PB1P2/P2K1p1r/5R2 b - -,h2h4
1rnR1bk1/1p5p/n4pp1/4p3/1PN5/P1P1BN1P/5PP1/6K1 b - b3,g8f7
1r2B1k1/pp3ppp/3q1n2/P2b4/2pP4/2P5/3B1PPP/RQ2R1K1 b - -,f6e8
3r2k1/1p3pp1/1pn3p1/3p4/B7/5P2/PP3KPP/3R4 w - -,a2a3
3b3r/qpr2pk1/4p1p1/p2pP2p/P2P3P/1RPB1QP1/5P2/1R4K1 b - -,d8e7
4r3/ppkn1b1p/3b2p1/2p5/3P3R/2P1B3/PP3P2/2K3R1 b - -,h7h5
4r2k/1p3q1p/2bp3r/p1nNpp2/2P2P2/1P3QRB/P4B2/3R1K2 w - -,f2c5
2r5/1p6/1p1bkn2/3p1p1p/3P2p1/P2RPPP1/1P2N1K1/4B3 w - -,d3c3
r1bq1rk1/pp3pbp/6p1/3n4/1PpN4/4P3/PB1N1PPP/R2Q1RK1 w - -,d2c4
3r4/1p1r1pk1/pb1pqnp1/NP2p2p/4P3/P1BRPQPP/5PK1/3R4 b - -,a6b5
r1q1k2r/1p1nbppp/p1p1pn2/2Pp1b2/3P1B1N/1QN1P2P/PP3PP1/R3KB1R b KQkq -,f5e4
6b1/6P1/2k3R1/1pP5/p3p3/1PbpB3/P7/2K5 b - -,c6d5
3r4/7k/6p1/3q4/7P/4B1Q1/P4PP1/6K1 b - -,d8a8
rnbq1rk1/p3bppp/1p2pn2/2pp4/3PP3/P1N1BPN1/1PP1B1PP/R2Q1RK1 b - -,b8c6
8/8/2k4R/1p6/1Kn3b1/p7/8/8 b - -,c6b7
2n1k2r/pp1b2pp/3n1p2/1P2p3/1b6/4P1B1/1PNNBPPP/3R2K1 b k -,b4d2
r3k2r/pp2q1bp/3p2p1/2p1p2P/2PnP3/4B3/PP1QBPP1/R3K2R w KQkq -,e2g4
2r1k1r1/pb1n1pnp/1p2p3/2pP2P1/q1P1p2P/B1P1Q2B/4NP2/R3K2R w KQ -,e3e4
2rrn1k1/pb1nqpp1/1pp5/3p1P2/2PPpR2/PP2P2P/1BQNB2P/6RK w - -,c2d1
1r4kb/3qpp2/3p1npB/r2P4/ppB3P1/1P3P2/P1P4Q/1K1R3R b - -,a5a8
r1q2rk1/2p1ppbp/ppnp1np1/1P6/P1P5/1QNP1NP1/4PPKP/1RB2R2 b - -,c6a5
2k5/1p1r4/p7/P2p1pp1/7p/2n4P/2PR2PK/1R6 w - -,b1e1
8/1PR2p1p/b4P1k/4P3/1r3K2/7P/6B1/8 w - -,f4e3
6k1/5p2/8/4p1p1/1p4P1/1P2KPpn/P7/4N3 w - -,e3d3
8/4b3/ppb1k2p/2p2pp1/1PP1pP2/P1P1B1P1/3K3P/3B4 w - -,d1e2
r5k1/1p1qpp1p/2bp2p1/2n2P2/1RPNP3/r2P2PP/4Q1B1/3R2K1 w - -,d1d2
r4k2/pp2bp2/4p3/4n3/P3NQP1/7P/1q6/3R1R1K w - -,d1d2
6k1/1bB2pbp/p5p1/3p3n/7q/3BP3/1P1Q1PPP/2rN2K1 w - -,d2c1
3r1rk1/p1Nqbppp/1p6/3pBb2/3P4/1Q6/PP3PPP/2R1R1K1 b - -,h7h5
rnbqkb1r/pp2pppp/3p1n2/2p5/4PP2/2N2N2/PPPP2PP/R1BQKB1R b KQkq -,g7g6:a7a6:e7e6:b8c6
r3r1k1/pbq3p1/1n1b1n1p/1N1pp3/2p1P3/3B1N1P/PP3PP1/R1BQR1K1 b - -,c7d7
8/1r2k1p1/p7/R3KPPp/7P/8/8/8 w - -,a5a4
2R5/1r6/3p2p1/2nP1p2/3K1k1p/5B1P/6P1/8 w - -,c8g8
2r4k/R5pp/5p2/1R6/p7/6KP/3r1PP1/8 w - -,b5b7
8/p4pk1/6pp/8/P1pq4/5P1P/6P1/2Q4K w - -,a4a5
2r3k1/1p1q1pb1/6p1/pn1p1PPN/3P2pP/1P2B3/P4QBK/5R2 b - -,g6h5
rnbq1r2/pp3pkp/3ppnp1/2pP4/4P3/2N5/PPPQ1PPP/R3KBNR w KQ -,d5e6
2rr2k1/4bppp/p3p3/np6/3P1B2/Pq1B1b2/1P1Q1PPP/1R2R1K1 w - -,g2f3
8/1p6/4k3/p4p1P/P1NR4/6P1/1r3PK1/4q3 w - -,c4b2
