2r5/8/K7/5k2/2P1R3/8/8/8 w - -,e4h4
4r1k1/bpr3p1/p1n1p2p/2Np1q1b/NP1P1P2/P3Q1P1/5B1P/2R1R1K1 b - -,h5g4
r4kn1/1bqn4/p1ppQbp1/1p4B1/3PP3/2N5/PPP1NPP1/R3K3 w Q -,g5f4
rnbq1rk1/pp2bppp/4p3/3n4/3P1N2/P1N5/1P3PPP/R1BQKB1R w KQ -,f4d5:c3d5
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/2PP4/5NP1/PPQNPPBP/R3K2R b KQ -,b7b6
2r3nk/ppqbrppp/2p5/3p1P2/3P3n/2NBPRNP/PPQ3P1/3R2K1 w - -,f3f4
3r2k1/5pp1/p4n1p/3p4/P4N2/1pr1P3/5PPP/1R1R2K1 b - -,d8b8
1r4k1/3n1ppn/2q1p3/r2p2P1/1bpP1P2/2N2Q2/1P1B2KP/1BR1R3 w - -,f3h5
3r1bk1/pbqr1p1p/1p2p1p1/2pnP3/P3NP2/2P3PP/1PQ3B1/R1B1R1K1 b - -,f8e7
8/4bpkp/3pq1p1/r3p3/2P5/1Q2B1P1/4PPKP/1R6 w - -,e3b6
8/8/2pBPk2/1p1n3R/p2P4/8/1P6/7K w - -,h5e5
r1b2rk1/ppq2ppp/2p1nn2/2b1pN2/2P1P3/2N1B3/PPQ1BPPP/R2R2K1 b - -,c5e3
8/8/2r5/3b4/2k1p3/3pK3/5P2/1R1B4 w - -,b1c1
1r4k1/5p1p/4rpq1/pp6/2p2p1Q/P6P/1P3RP1/5R1K w - -,f2f4
r5k1/1b1p3p/pq4n1/1pp5/2Pbp1R1/1PNP1r2/PB4QP/1R5K b - -,f3f2
8/8/R7/p1kP1p2/4r3/4p3/4K3/8 w - -,a6a5
2r1r1k1/1p2bpp1/p1b4p/q2pP3/P7/2N1QNP1/1P3PP1/RR4K1 b - -,e7c5
r3k2r/1b2bppp/pq2pn2/1pn5/4N3/2PB1N2/PP2QPPP/R1B1R1K1 w kq -,e4c5
r3k2r/2q1bppp/p1npb3/1p2p3/4P3/2P5/PPN2PPP/R1BQKB1R w KQkq -,f1e2
k1n4r/3rnp2/p3p3/R6p/p3P3/4BP2/7P/1R2KB2 w - -,f1a6
r1r3k1/3b2n1/1q2N1p1/1p1pP3/1B1N2QP/1B6/8/5R1K w - -,b3d5
6k1/1pp1n1p1/p4r1p/P7/3R4/2P4P/1P2rPP1/2B2RK1 b - -,e7c6
8/2bk4/1p2p3/pP2P1pp/P7/5KP1/7P/4R3 w - h6,f3e4
r5k1/q2nnpp1/2p1p2p/2b1P2P/p1P3PB/Pr3N2/4QPB1/R3R1K1 w - -,f3d2
8/3r1k2/p4p2/8/1PppP3/6R1/P2K4/8 b - -,f7e6
5r2/2p2rk1/2R2pb1/4p1p1/4P3/2P2P1Q/5K2/8 b - -,f7e7
b1r1r1k1/p3bpp1/qpp1pn1p/8/2PP1B1P/1P2NQPB/P2R1P1K/3R4 w - -,g3g4
1rq1b3/1p2ppkp/p1P2bp1/P1Q5/1PN5/4PBP1/5P1P/2Rr2K1 w - -,c1d1
r3r3/bppq1p2/2n2k1p/p4Pp1/3Pb3/1PB3PP/P5BK/R2Q1R2 w - -,d4d5
8/p2Br1k1/1b4p1/3RPp1p/P4P2/5KPP/8/8 b - -,e7f7
r7/1b1nNrk1/pqpQ1n1p/1p4p1/P2P4/3B4/1P3PPP/R1BR2K1 b - -,a8h8
8/ppprk1pp/5p2/4n3/PPn1PB1P/2P5/2K1B1P1/4R3 b - -,c4d6
5r1k/8/4p2p/3pP2q/2pP1p2/1bQ5/3K1N2/7R b - -,h5g5
3rkb1r/2q2ppp/pNb1pn2/3p4/1p2P1P1/4BP2/PPPQ3P/2KR1B1R w k -,e4e5
r1r3k1/2qn1pp1/p3p2p/1p6/1Q1P4/2P1P3/3N1PPP/R4RK1 w - -,d2e4
r1bq1rk1/p1p2ppp/1p1p4/2nPp1N1/2P1PP1P/2P3P1/P3Q1B1/R4RK1 b - f3,h7h6
r1b2rk1/ppqn1pb1/2p4p/4pNN1/3P4/3Q4/PPP2PPP/R1B2RK1 b - -,d7f6
r2qrbk1/5pp1/p2pbn1p/P7/3QP3/6NP/2B2PP1/R1B1R1K1 b - -,d6d5
r1bq1rk1/pp2bppp/2n1pn2/8/3P4/P1NB1N2/1P3PPP/R1BQ1RK1 b - -,b7b6
6k1/5p2/1p4p1/pq1p3p/1b1P4/1P2P2P/2Q1NPP1/6K1 w - h6,e2f4
r2qk1nr/1p2ppbp/p1np2p1/2p5/2P5/2N1PBPP/PP1P1P2/R1BQ1RK1 b kq -,h7h5
8/8/1p3kp1/pP1p3p/P2Pqp1P/8/5QP1/7K b - -,e4e3
1R3rk1/5ppp/p3p3/2pbP3/P7/2K1BP2/2P3PP/7R b - -,f8b8
2rnqr2/1p1bbppk/p3p2p/P2pP3/1P1N1B2/2P1R3/3Q1PPP/R3N1K1 b - -,f7f5
6r1/8/1p3p1p/pPk1p2P/P1PrB1P1/3PK3/1R6/8 w - -,e3f3
r3q3/pp1r2pk/2pBp2p/4PpbP/2P5/8/PP2QP2/1K1R2R1 b - c3,b7b6
8/3R1pk1/4P1p1/2p4p/4Pn2/2P4P/1r1N1b1K/8 w - -,e6e7
r4rk1/1pqnbppp/p2pbn2/4p3/4P3/1NN1BP2/PPPQB1PP/2KR3R w - -,f3f4
r4rk1/pbq2pbp/1pn1p1p1/4P1N1/3P4/3BQ3/P4PPP/R1BR2K1 w - -,e3h3
2r2rk1/p4pp1/4pb1p/2p5/2p1QB2/4PN2/q2R1PPP/1R4K1 b - -,a2a6
4rk2/2R5/2p1p1pp/2N2p2/1PP1P3/2b4P/5PP1/6K1 w - -,c7c6
3r3r/ppk1bp2/2n1p1p1/2ppPn1p/5P2/1PPP1BPP/1P1N1B2/2KR3R b - -,b7b6
8/R7/6p1/4K2k/5P2/4P3/p7/r7 w - -,e5f6
r1bq1rk1/pppp2pp/2n2n2/1Bb1ppB1/4P3/3P1N2/PPP1QPPP/RN2K2R w KQ -,b1c3
8/8/pr6/6p1/2R2kP1/P7/8/4K3 b - -,f4e3:f4f3
8/p4rk1/2q4p/6p1/5n2/6p1/PQ4P1/3R3K b - -,g7h7
rnbqkb1r/p2p1ppp/4pn2/2pP2B1/1pP1P3/5N2/PP3PPP/RN1QKB1R b KQkq e3,d7d6
rn1qkb1r/1b3ppp/pn2p3/3pP1P1/1p1N1P2/7P/PPP1N1B1/R1BQ1RK1 b kq -,g7g6
8/8/8/1R1Ppk1p/1P1r2P1/4K1P1/8/8 b - -,f5g4
r7/3b2kB/3N1pP1/p1p5/Pr2p3/1P2K3/2P3PP/5R2 w - -,h2h4
2r1nrk1/3qR3/1pp2p1Q/p7/3P1B2/P1P4P/5P2/4R1K1 b - -,d7f5
1r3rk1/n3bppp/p1q1pn2/1pp5/2P5/2NPPQP1/P4P1P/BR1RN1K1 b - -,c6c7
5rk1/5ppp/4pn2/8/1p3P2/1P2Pq1P/P3QP1R/2R1K3 b - -,f3b7
r4rk1/1bqp1ppp/np2pn2/2p5/1pPP4/PN4P1/1P1NPPBP/R2Q1RK1 b - -,b7g2
1r1q1rk1/1p1n1ppp/3Q4/p2B2b1/3NPNb1/BP6/P1P3PP/R5K1 b - -,g5f6
2b5/7p/p4k2/1pN2p2/1P2p2P/8/P1P3r1/3K3R b - -,h7h5
rnbq1rk1/2p1ppbp/p5p1/1p2P3/8/2BB1N1P/PPP2PP1/R2QK2R b KQ -,d8d5
8/8/6p1/2n1q2p/1QB5/1P4kP/8/7K w - -,c4f1
8/p6q/1p3k2/2p3p1/P1P5/1P3PB1/5K2/4R3 w - -,g3e5
3k4/8/8/8/5p2/5P2/4QKP1/2q5 w - -,e2d3
r5k1/pp4pp/2nb1r2/1q3p2/2pP4/2P5/PPQ2BPP/R3RNK1 b - -,a8f8
6k1/rp4bp/2ppq1p1/4p3/1PP1P3/1QN3P1/5PKP/5R2 w - -,f1d1
8/8/6p1/5k1p/5P1P/r3RKP1/8/8 b - -,a3a5
r7/p2k3p/2p1pp2/1r4p1/3P4/RP2BP2/P5PP/1bR3K1 b - -,b1d3
r1bqk2r/bpp2ppp/p1np4/3P4/P7/1N4Q1/1PP2PPP/R1B1KB1R b KQkq -,d8e7
8/5k2/1p1rb2R/2n1R3/8/3p2P1/1P1B4/6K1 w - -,g1f2
8/4k1p1/2K2p1p/2P5/6P1/5R1P/2r2P2/8 b - -,e7f7
8/8/8/1B6/3p1k2/5p2/r7/3NK3 w - -,b5c4
r2k1b2/ppp1n1p1/2p1p3/4P3/6Pr/2N2P2/PPP5/R1B2RK1 b - -,d8e8
1r4k1/2q1ppbp/2r3p1/1p6/p1npP3/P2Q2NP/R1PB1PP1/5RK1 w - -,f2f4
2n5/1Np3b1/3kp2p/p3p1p1/P3P1P1/1KP2P2/5B1P/8 b - -,d6d7
r3k2r/4qppp/2ppbn2/pp2p1B1/3PP3/1B3Q2/PPP2PPP/R4RK1 b kq -,h7h6
r7/pp2k2p/3R4/4Pb2/7R/1Pn5/6PP/6K1 w - -,d6f6
2r5/4ppkp/pn1p2p1/8/1rN1P2P/1P3P2/1KPR2P1/3R4 w - -,c4e3
8/6p1/1pbp1k2/3p1p2/1P1P1K1P/3B2P1/8/8 b - -,c6d7
5k2/5p2/8/8/3qP3/6Q1/5PK1/8 w - -,g3f4
r1b2rk1/p4q1p/2p1p3/3pQ3/2p5/P1P3B1/RPB2PP1/1N4K1 b - -,h7h6
8/Rbr5/7k/1p1pP2p/2p5/2P1p3/1PQN1r2/7K b - -,e3d2
rn1qkb1r/pbpppppp/1p3n2/4P3/2P5/2N5/PP1P1PPP/R1BQKBNR b KQkq -,f6e4
8/p7/2p1pkn1/2pp1b2/1P5r/P1KP2R1/2P3RP/8 b - -,c5c4
2R2bk1/1r5p/4p1p1/p2pPp2/3n1P2/1P6/1B3KPP/4N3 b - -,d4b5
1rbq1rk1/1p3pbp/p2p2p1/2pP1P2/P1P3n1/3B1N2/1P4PP/1RBQ1RK1 w - -,f5g6
2qr3k/pb4pp/8/1P1npp2/8/PQ3PP1/1BrNR2P/4R1K1 b - -,c8c5
8/3k1p2/3Pb1p1/1P6/7B/1P6/6PP/6K1 b - -,d7d6
r1b2rk1/p4ppp/1q2p3/2npPn2/3N4/2P2N2/PP1Q1PPP/R3KB1R w KQ -,d4f5
r1bqk1nr/pp2bpp1/2npp2p/8/3NP1PP/2N1B3/PPP2P2/R2QKB1R b KQkq -,g8f6
2r3k1/p4p1p/5p1b/3p4/QP2q3/P5PK/5P1P/5R2 b - -,e4e7
8/p7/1b3p2/3p3p/3P2kP/P1N1K3/1P3P2/8 b - -,b6d8
8/p4rpp/1p3k2/2p5/2P3PP/1P3PK1/P2R4/8 b - -,f6e5
4R3/6pk/8/1p3r1p/2p1p1Nb/2P4P/1P3PK1/8 w - -,e8e5
2rr2k1/1p3ppp/p3pbb1/q2nQ3/P1BP4/1P3N1P/1B3PP1/R4RK1 w - -,e5e2
rnbqk2r/pp2ppbp/3p1np1/2pP4/2P1P3/3B3P/PP3PP1/RNBQK1NR b KQkq -,e8g8
rnbqkb1r/2p1pppp/p2p1n2/1p6/3PP3/1BN5/PPP2PPP/R1BQK1NR b KQkq -,e7e6
8/4bk2/4p1p1/Q2pP3/3P4/4B1P1/3NbP1K/4q3 w - -,a5c7
3qr1k1/1p1b1ppp/3b1n2/1Q2p3/P2p4/3P2P1/3NPPBP/2B2RK1 w - -,b5b7
rnbq1rk1/4bppp/p2p1n2/1p1Np3/4P3/6P1/PPP1NPBP/R1BQ1RK1 b - -,f6d5
r2qkb1r/pppN1ppp/2n1pn2/3p4/2P5/6P1/PP1PPPBP/RNBQK2R b KQkq -,d8d7
8/1p6/p7/P1B1k3/1P2b3/2K5/2P3R1/8 b - -,e4g2
rnbqr1k1/1p3pbp/2p2np1/p2pp3/2P5/1P1P1NP1/P1QNPPBP/1RB2RK1 b - -,b8a6
k1r5/1p4pp/p2R1p2/P7/1P6/2Q3P1/2P2PK1/8 b - -,c8c3
r5k1/1pp2ppp/p3bn2/4r3/1PP1p3/P3P1PP/4NPB1/R1R3K1 b - -,a8d8
r1bqk2r/pp1pbppp/2n1pn2/8/2P5/2N5/PPN1PPPP/R1BQKB1R w KQkq -,e2e4
4rb2/pp1n2p1/4Pnkp/2p5/2P2B1P/6N1/PP3PP1/1K2R3 w - -,b1c2
r5k1/6p1/2n1pb1p/1R2p3/ppP1P2P/1P3NP1/PB6/7K b - -,a4b3
4r3/2p3pk/p2p3p/2p2r2/4pP2/4B3/PPP1NP2/2K4R b - -,c5c4
8/2p2qk1/4bpp1/1pp1p3/4P1P1/1P1PNQ2/2P2PK1/8 w - -,f3g3
3r1k2/p2n1p2/5N2/4pN2/4P3/2P3P1/4bP1P/R5K1 w - -,f6d7
6k1/p2q1ppp/1n1np3/2p5/2P4P/P1Q1P1P1/4BP2/B5K1 b - -,f7f6
r2qk2r/pp1nppbp/2np2p1/2p5/2P1P3/2NPBB2/PP3PPP/R2Q1RK1 w kq -,f3e2
3Q4/5pk1/4p1p1/3pP2p/1p3P1P/1P4P1/Pq4K1/8 w - -,g2h3
2b4k/1p4pp/p1n2n2/3p2N1/8/P1N3P1/1PP3BP/6K1 b - -,c8f5
r1bq1rn1/1pp1npbk/p2p2pp/3Pp3/2B1P2B/2N2N1P/PPPQ1PP1/R3K2R w KQ -,f3h2
4r1k1/2p3pp/bp1q4/r4N2/2P1p1Q1/4B3/PP4PP/5RKR b - -,a5f5
r3k2r/pp2ppnp/b1p3p1/8/4P3/1P3P2/P1P1N1PP/2KR1B1R w - -,e2f4
r2rb1k1/4q1pp/np2pn2/p1ppNp2/P1PP4/1P2PPP1/2N1Q1BP/1R3RK1 w - -,g3g4
r1b1k2r/p1pqbp1p/6p1/N1ppP3/P1P2P2/8/1P4PP/R1BQ1RK1 b kq c3,d5c4
r1bq1rk1/pp2pp1p/2n2bp1/2pp4/8/2NP2P1/PPPNPPBP/R2Q1RK1 b - -,c8e6
2r3k1/6pp/bp6/4N3/1rp1pP2/1PRpP3/P2R2PP/6K1 w - -,b3c4
q6k/4P1p1/3n1P1p/1p6/5Q1P/p3N1P1/6r1/7K w - -,e3g2
r3r1k1/5ppp/bp3B2/p2P3q/Q7/P2p2P1/1P1R2BP/R3b2K w - -,g3g4
r5k1/pp1r1b1p/2pBppnb/2P2pq1/2NP4/5Q1P/PPB3P1/4RRK1 w - -,b2b3
2kr3r/pppq1ppp/8/2P5/2nPp3/4P1P1/P1P1N1KP/1R1Q1R2 w - -,b1b3
r2q1rk1/pp4pp/2pppbb1/4p3/4P1P1/P1NP1N1P/1PP1QP2/R4RK1 b - -,d8e8
r1bq1bk1/1p3r2/pQn1p1pp/3pBp1n/N2P4/P2BPN2/1P3PPP/2R2RK1 b - -,d8e7
4k3/r5b1/p1bppp1r/1p2q2p/4PN2/3B4/PPP3PP/1K1RQR2 w - -,d3e2
8/8/3R4/KNP5/8/6p1/5k2/1q6 w - -,c5c6
8/8/2Q3p1/3P1pP1/7k/4KP2/7q/8 w - -,d5d6
r1bq1rk1/1p3p1p/p1n1pp2/2b5/2B5/1P2PN2/P2N1PPP/R2Q1RK1 w - -,d2e4
r1bqk2r/1p2bppp/p1nppn2/8/3NP3/2N1BP2/PPPQ2PP/R3KB1R b KQkq -,d6d5
8/6p1/4k2p/8/1prR1P2/4K1P1/4P2P/8 b - -,c4c3
1rbb1rk1/2q2ppp/3pn3/2p1nNPN/1p2Pp1P/1P1P4/2P3B1/R1BQ1RK1 w - -,h5f4
1R6/8/2k5/8/8/P7/KP2n3/3r4 w - -,b8c8
4r2k/3r2pp/3P4/5b2/4pp2/P1B5/1PP3PP/1K1R1R2 b - -,f4f3
3r1r1k/6pp/2q2p2/1pPpp3/pPn5/P3P1BP/4QPP1/R2R2K1 w - -,f2f3
3R4/8/5p2/3bb1p1/5kP1/7P/7K/8 w - -,h2g1
8/8/4p1k1/p5p1/4RPP1/1P5P/1K6/5r2 w - -,e4e6
r4r1k/5ppp/1pn2n1b/p6q/3P4/P3P1N1/1P1B1PQP/2RR2K1 b - -,h5g4
2r5/1p2nbkp/p2r1pp1/3p4/3n3P/2R1PNP1/PP3PB1/2R3K1 w - -,f3d4
r2qr1k1/1b3pp1/p1np1nNp/1pp1p2N/1P2P3/P1PPP3/B5PP/R2Q1RK1 b - -,c5c4
rn3rk1/p2qbppp/bp2p3/1NppP3/P2P1P2/4nN2/1PPQB1PP/R4R1K w - -,d2e3
q3r1k1/1p1Q1p2/1r4pp/2R1b3/8/4P1PP/5PBK/5R2 b - -,e8d8
Rb6/1p3k1p/2p3p1/1PP5/4Nn2/6K1/1B3P1P/3r4 b - -,d1d3
8/3k4/8/8/8/8/3pK3/8 b - -,d2d1q
1r1qrbk1/2pb1p1p/p1n1pnp1/1p6/3PP3/3NBP2/PP1QN1PP/2R1KB1R b K -,e6e5
