8/8/1r3k2/8/4KP2/4P3/3R4/8 w - -,d2h2
5r1k/pp3pp1/7p/2rp2q1/2nN4/P3PB1b/1P3PPP/RQ2R1K1 b - -,c4e5
rn1q1rk1/4bppp/b3pn2/3p4/pp2P3/1P1P1NP1/PB1NQPBP/R4RK1 w - -,f1d1
5rk1/1r2bppp/p7/1p2pP2/2n5/P4N2/1PP3PP/2BR1R1K b - -,e5e4
3r1b2/2p5/pp2pkn1/4p1pp/PP2P3/2Pr1PP1/3NK2P/R1R1B3 w - -,d2c4
6k1/1p2RpPp/2pp4/8/2Pn4/1P3B2/r5PP/6K1 b - -,d4f3
r3kb1r/pp2pppp/1nnq4/5b2/8/NBPp1N2/PP3PPP/R1BQ1RK1 w kq -,a3b5
r2q1rk1/pp4p1/3b1npp/2p5/3p3P/2NQPP2/PPP3P1/2KR1B1R b - -,d4c3
8/3b4/p5p1/P2k2Pp/1Pp2K1P/2Pp4/3B1R2/6r1 w - -,f2h2
6k1/2B3pp/5p2/P7/6P1/1n1b1P2/6P1/6K1 b - -,g8f7
r1bq1rk1/pp2nppp/2n5/2ppP3/3P4/P1P2N2/4BPPP/R1BQK2R w KQ -,e1g1
3r1r2/p1pqn1bk/1p2b3/2P1p1pp/N2pPpPn/PP1P1P1P/1BQ1NRB1/2R2K2 b - -,d7b5
r2q1rk1/1p2bppp/4bn2/pP1pn3/8/P1NBPP2/2Q1N1PP/R1B1K2R w KQ -,e1g1
r2qkbnr/2p2ppp/p1Qpb3/1p6/4P3/1Bp5/PP3PPP/RNB1K2R b KQkq -,e6d7
3r2k1/5p2/1p1p1qp1/3N4/2P1QP2/1P4P1/1b2R1K1/8 b - -,f6d4
r3k2r/p1ppq1bp/bn4p1/2p1p3/2P2P2/BP6/P3BQPP/RN3RK1 w kq -,e2f3
3q3k/4b2p/3rQp2/4p3/1p6/3N3P/1PP5/1K3R2 w - -,e6f7
2r2rk1/5pb1/p5p1/1p2p3/3p2Pp/1P1P3P/PBP2Rq1/4R2K w - -,h1g2
1nrq4/bR1b1k2/r2Npn1p/p5p1/4PB2/2R3P1/1P2QPBP/6K1 b - -,a6d6
2r2rk1/pp3p2/6n1/3qpR1p/1P6/5QP1/1B5P/5RK1 b - -,d5f3
r1bqk1nr/ppppbppp/8/n7/2BQP3/2P2N2/PP3PPP/RNB1K2R b KQkq -,a5c4
3Qkb1r/pp4pp/2n1Ppn1/7B/2P5/2B5/P4PPP/RN4K1 b k -,c6d8
8/8/8/p1n2B2/5P2/2k1K3/8/8 b - -,a5a4
8/3R1pK1/8/1p4P1/k6r/p4r1P/7R/8 b - -,h4h3
5rk1/p4pbp/6p1/5b2/8/2N2n2/P2P1PPP/2B2RK1 w - -,g2f3
r1b2rk1/ppn2pbp/1qn3p1/1N4B1/P1PpN3/6P1/1P3PBP/R2Q1RK1 b - a3,c7b5
5B2/8/2r4p/5R1P/P2kn1p1/6P1/5PK1/8 w - -,f5f4
r3kbnr/pp1n1pp1/1q2p2p/3pPb2/2pP4/1QP2N2/PP1NBPPP/R1B2RK1 w kq -,b3b6
2R5/3kbp2/p5q1/3pp3/Pr5p/1P2B1rP/6P1/2R2QK1 b - -,b4b7
8/2B5/6p1/pP1p1p1p/P1k2P1P/6P1/2K5/4b3 b - -,c4c5
3k4/2b1n2R/8/3KP3/5P2/8/8/8 w - -,d5e6
3k4/7p/1p1pQ1p1/2PPb1Pn/1r5P/6p1/6B1/7K w - -,e6g8
3rnrk1/2qb1p2/1p1pp2p/pP4p1/P1P1N1Pn/2N1P2P/3R1PBQ/3R2K1 w - -,c4c5
8/8/5R2/6Pk/8/4B1r1/5K2/8 b - -,h5g4
rn2kb1r/p1pn1pp1/qp2p2p/3pPP2/3P4/2P2N2/PPQ3PP/R1B1K1NR b KQkq -,b6b5
8/4k1p1/R2p2P1/3r1p2/8/8/PPP2KPP/8 b - -,d5d2
5rk1/1Q5p/4p3/2r1qpp1/P3p3/4P3/5PPP/3R1RK1 b - -,c5c7
r1bqk2r/p3npbp/1pn1p1p1/2p5/3PP3/1N1P1NP1/PP3PBP/R1BQ1RK1 b kq -,c5d4
r5k1/1b1nq1pp/2pp4/5p2/1PPNp3/2Q3P1/4PPBP/3R2K1 b - -,e7e5
r4rk1/5pp1/p1p1b3/2q1pN2/4P1p1/6Q1/PPP3PP/R4R1K b - -,e6f5
5rk1/2p1b1pp/3p1p2/3P4/q3bBP1/P6P/1PP2Q2/2KR3R w - -,h1e1
rnb2rk1/pp2ppbp/6p1/8/3PP3/4BN2/P2q1PPP/2R1KB1R w K -,f3d2
8/5k1B/8/4b1p1/8/4B3/5PPP/r4NK1 b - -,f7f6
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/8/PPPNPPPP/RNBQKB1R b KQkq -,c8f5
2r2rk1/p1q2pbp/bp2p1p1/3p4/2nP2N1/2PN2P1/PPQ2PBP/R3R1K1 w - -,c2a4
8/1p4r1/p1p3kp/8/5p2/1PP4P/1P4P1/4R2K w - -,e1e6
5rk1/5p1p/1R2pn2/6p1/4P3/5PP1/6KP/3N4 b - -,f8d8
1r2k1nr/2qbn3/p2pp3/1pp1b2N/6Pp/2NPB2P/PPPQ2B1/4RR1K w k -,d3d4
r2qk2r/1ppnbpp1/p1n1p2p/8/2QP3B/2N5/PP2PPPP/R3KB1R w KQkq -,h4e7
rn2k2r/pppbppbp/8/8/5P2/8/PPPB2PP/2KR1BNR w kq -,f1e2
2N5/8/8/7p/p4K1P/Pk6/8/8 w - -,c8b6
8/pp2kb2/8/5P2/3p4/P2R2P1/2P1p1Br/4K3 w - -,g2b7
rnbqk1nr/ppp2ppp/4p3/3pP3/1b1P4/2N5/PPP2PPP/R1BQKBNR b KQkq -,b7b6:f7f6:g8e7:b8c6:c7c5:d8d7
8/1p1n4/p2kp1pp/P4p2/1PP2P2/3K1N1P/6P1/8 w - -,d3d4
3r1r2/1pq3k1/p1pb1pp1/5PP1/3P4/1B2Q3/PP3R2/3R2K1 b - -,f8h8
5R2/8/2r1p3/3pB1k1/3P4/3K4/8/8 w - -,f8f7
8/5pk1/1np3p1/3nP3/p2P1p1Q/P4R1P/1q3PP1/5NK1 w - -,g2g3
7r/pp5P/3kp3/8/4K2R/8/PP6/8 b - -,d6e7
1n1r1r2/p1n3k1/3Rp2p/1pp1P1p1/2P3N1/1P4B1/P4P2/4R1K1 b - -,b5c4
8/8/8/3bk1p1/5pBp/7P/5KP1/8 b - -,d5e4
8/5k2/1N6/3KBP2/P6P/1nR5/4r3/8 w - -,c3b3
6k1/2p3p1/4p2p/1pP2p2/2pK1P2/2P4P/8/1b6 w - -,d4e5
8/5k2/1n2nb2/1Pp2pp1/2Pp4/BN1N3P/4PK2/8 b - -,f6e7
3r4/p3n1kp/2np4/1p6/3P2P1/1P5P/P3KP2/2R3R1 w - -,g1d1
4n3/p2rrk2/1pRp2p1/3P1p1p/1P2pP1P/P3K1P1/5PB1/3R4 b - -,d7c7
2rb4/3n1k2/3p4/p2Ppppp/8/2NPB1PP/RP2KP2/8 w - -,c3b5
6k1/5p1p/6p1/3P1p2/p7/b3PN2/5PPP/2R2K2 b - -,a3c1
3B1k2/1P5b/3b3p/6p1/4p3/7P/4PP2/4R1K1 w - -,e1d1
5b1k/3n1p1p/3p1P2/1pq3PP/3p1P2/Pp1P1Q2/1P2RK2/2r5 w - -,f3b7
r3r1k1/1p1qnpb1/2pp1npp/1P6/P2NP3/B1N3P1/3R1PKP/3Q1R2 b - -,e7c8
3qkb1r/pp1n1ppp/2rp1n2/4p3/4P3/1NNQBP2/PP4PP/R4RK1 b k -,a7a6
2br1rk1/1p2qpp1/2p4p/p1n1n3/N1PNP3/PP2P1PP/2R2QB1/R5K1 w - -,a4b6
1r6/1PN2rpp/B2p4/4p3/1PR1P2k/8/6PK/4b3 w - -,c4c1
2r1n1k1/3r3p/2p2p2/B2p1bp1/5q2/P1Q2B1P/1PP2PP1/1R2R1K1 w - g6,a5b6
r3k1nr/p1p2ppp/2ppbq2/2b5/2B1P3/5Q2/PPPN1PPP/R1B1K2R w KQkq -,c4e6
r1b1r1k1/ppp1qpb1/6n1/4p2p/1PN1Pnp1/2P2PB1/P1QN2PP/R3RBK1 w - -,c4e3
r2q3k/pB3r1p/1p1n1pp1/3p4/Q2P4/5N1P/PPR2PP1/2R3K1 b - -,d6b7
8/5k2/5p2/p7/1p1p1P2/1P1Bb1P1/P6P/5K2 w - -,f1e2
r1bqr1k1/pp3pbp/2n2np1/3N4/3P4/1Q2B1P1/PP2NPBP/R3K2R b KQ -,f6d5
4r1k1/pp3ppp/2pn2q1/3p4/P2P2B1/2P2Q1P/1P3B2/R6K w - -,a1e1
7R/5p2/PR2bp2/4p1k1/8/1P3P2/1K6/5r1q w - -,h8h1
3r1rk1/p4pp1/2n2np1/2p1q3/3p2P1/2P4P/PPQ1BP2/R1B2RK1 w - -,e2c4
r4qk1/pp1b1r1p/2n1p1p1/3p1nN1/2pP1BB1/P1P5/2PQ1PPP/R4RK1 b - -,f7f6
8/8/8/1P6/p1K3pk/P7/8/8 b - -,g4g3
r3k3/3r4/7p/pp3p2/3pqP1p/4pRP1/PPQ1P3/3R2K1 w q -,c2c5
r2qnr1k/1ppbb1pp/p1np1p2/4p3/B2PP3/2P2N2/PP3PPP/R1BQRNK1 w - -,f1e3
rn2q1k1/pp3pbp/3pr1p1/2p3B1/2P5/3B1Q1P/PP3PP1/R4RK1 w - -,g5d2
2q2r1k/5p1p/RB4p1/8/8/2b4P/1nP1QPP1/4R1K1 w - -,e1a1
4rrk1/p1p4p/2N1b1p1/3n3q/3P4/2P1BP2/PP3QP1/R4RK1 w - -,c6e5
8/8/8/4K2n/4N2k/5B2/8/8 b - -,h5g3
4QN2/p2R4/k7/1p1p3p/3P4/n7/6P1/6K1 b - -,b5b4
5rk1/p5pp/n3p3/2q2p2/8/1PpB2P1/P3PP1P/1Q3RK1 b - -,a6b4
2r4k/3P1b1p/1p3bp1/p4p2/P3pB2/4P2P/1PN2PP1/2R3K1 b - -,c8d8
r2N1b1k/1p4pp/1np5/p7/P1B1P3/2N3qb/1PP1Q1P1/3R2K1 w - -,d8f7
5rk1/q2b1p2/1n1p2pp/3Pp1b1/1p2P3/1N1QN1P1/1PR1BP1P/6K1 b - -,a7a2
rnb1kbnr/ppppqppp/8/4P3/2Bp4/8/PPP1QPPP/RNB1K1NR w KQkq -,g1f3
r1bq1rk1/1p1pnpbp/p1n1p1p1/8/3NP3/2PBB3/PP1N1PPP/R2Q1RK1 w - -,d4c6
r1b1k2r/1pq1bppp/p1nppn2/8/4PP2/2NB1N2/PPP3PP/R1B1QRK1 b kq -,b7b5
2r1r1k1/p1q3pp/Qn2pn2/P3p3/2p5/2P1N1P1/5P1P/R1B2RK1 b - -,b6d7
r2q1rk1/ppp2pp1/1bnp1n1p/4pb2/NPP5/P2P1NP1/4PPBP/R1BQ1RK1 b - b3,d8c8
1Q6/p4k1p/2p5/3b4/8/P5P1/1P2q3/4B1K1 w - -,b8a7
r1kq4/p2bR3/1pp2P1p/8/3PQ3/1P3N2/P6P/7K b - -,d8f8
2rq1rk1/pb3ppp/1p1bpn2/8/1PB1P3/PNN1BP2/6PP/2RQK2R b K -,c8c4
8/8/1p2p3/1p1k2r1/1P2RKP1/P7/8/8 w - -,f4g5
3k4/8/3Rp1p1/4P3/p6P/P1K3P1/5r2/8 b - -,d8e7
rn1qkbnr/pp2pppp/2p5/8/3Pp1b1/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c3e4
3r4/1p2rpbk/p1nNq1pp/4P3/P2R1B1P/6Q1/5PP1/4R1K1 w - -,d4e4
4rr1k/pp1b2pp/4qn2/3p4/3b1PP1/P1N4P/1P5K/1BRQ1R2 w - -,d1d4
2B2r2/p6k/1bR3p1/4B2p/5P1P/6P1/3nP1K1/8 b - -,d2e4
2r5/1p2kppb/4pn1p/1B5P/1PP5/4KPN1/6P1/3R4 w - -,d1a1
4r3/1B3pk1/4pp1p/p3n3/2q4P/6P1/3Q1P2/3R2K1 w - -,d1c1
5rk1/pr5p/1p2pqpQ/2p3p1/2P2P2/3P2P1/4P2P/1R3RK1 w - -,g1g2
2rr2k1/1p2qpp1/p6p/3P1b2/3RB3/4BN1P/PP3KP1/1Q6 b - -,f5e4
r4rk1/1bq2ppp/p3pb2/1pp1P3/5PP1/P1NB4/1PPQ3P/2KR3R b - -,b7h1
r4rk1/pppb1pp1/2nbp1qp/8/2QP4/P1N1PN2/1P2BPPP/R3K2R w KQ -,e1g1
3r4/p4pk1/1p1qpnpp/4Nn2/2PP1Q2/5N2/P4PPP/3R2K1 w - -,g2g4
r1bb1rk1/1p3pp1/3p3p/p2P4/3N4/P3B2P/1P3PP1/2R2RK1 b - -,c8d7
2r2r2/pp2k2p/2pR2p1/4n1p1/4PP2/6P1/PP4B1/3R2K1 b - f3,g5f4
r1b1k2r/pp1pq1bp/2p2np1/4np2/5N2/1QP1B1P1/PP2PPBP/RN3RK1 b kq -,d7d5
2rr4/1bp3k1/1p2qppp/3p4/1P1P4/2Q1PN2/5PPP/2RR2K1 b - -,b7a6
7r/8/p4k2/8/2PK3P/7R/8/8 b - -,h8h5
8/p3bk1p/1p3np1/5p2/3PpN2/1P4P1/P3K2P/2B5 b - -,e7d6
5rk1/1b3p1p/1p1pn1p1/4p1qn/1PP1P3/5PP1/2QNBK1P/B2R4 b - -,h5g7
r2q1rk1/pb1nbpp1/1p2p2p/2p1P3/2PP4/1P1B3Q/PB3PPP/RN3RK1 b - -,c5d4
1br2rk1/1b2qppp/p1p2n2/8/Pp2PP2/1P1B4/1B2Q1PP/2RN1RK1 b - -,a6a5
3rr3/5p2/p6p/Pp1P1RpP/2p3P1/P1K1k3/3R4/8 w - -,d2d1
rnbq1rk1/pp2bppp/3ppn2/2pP4/2P1P3/2N2N2/PP2BPPP/R1BQK2R b KQ -,e6e5
r2q1rk1/3nppbp/2p3p1/pp3b2/3P1B2/2Q1PN2/PP2BPPP/2R2RK1 b - -,a8c8
r1bq1rk1/5pb1/p5p1/3p4/1n1Nn3/3B1N2/1PP3PP/R1BQ1R1K b - -,b4d3
6k1/8/p2q2p1/4bp2/P2Nb1p1/1P2P3/4Q1PP/2B3K1 w - -,e2c4
8/6pk/3Qp2p/5p2/3P1P1q/4P1PP/3R3K/5r2 b - -,h4f6
r2q1rk1/pb2b1pp/np3n2/2pp1p2/8/1P1PPNP1/PBQ1NPBP/2R2RK1 b - -,e7d6
4r3/2p5/3b4/3R1pkp/5p2/3B1P1P/2P5/5K2 b - -,d6e5
8/5pk1/4p1pp/8/1P5r/P4K2/1R3N2/5r2 w - -,b4b5
4k3/6p1/R3pp2/1p2P1p1/8/Pb2N3/1r3PPP/5K2 w - -,e5f6
2kr3r/pp3p2/1npPp1p1/7p/1q3P1P/2RR4/PPP1Q1P1/2K2B2 w - -,e2e5
8/8/3R4/2pP1k2/2P1p3/6n1/6r1/4KB2 b - -,g3f1
1rb1k2r/4ppbp/1q1p1np1/p1p5/4PP2/2PPn1PP/P2QN1B1/2RN1RK1 w k -,d1e3
6k1/p4pbp/1p2p1p1/1q2P3/3B4/PP2PP2/2r4P/1R2Q1K1 b - -,g7e5
7k/p1p2B1p/1bR5/4r3/8/3K4/P7/8 b - -,h8g7
2rqkb1r/1b1pnppp/p1n1p3/1p6/3NP3/2P5/PPB2PPP/RNBQ1RK1 w k -,g1h1
8/2r3k1/pR3ppn/3Ppb2/2P5/4RP2/P7/6K1 w - -,e3c3
r1b1kb1r/1p1p1ppp/pqn1p1n1/2p5/4P3/1PN2N2/P1PP1PPP/R1BQRBK1 b kq -,f8e7
8/R4pk1/P5p1/4n3/7P/8/3r1PK1/2RN4 w - -,a7b7
r1bq1rk1/pp1nbppp/4p3/3P4/3p4/1P4P1/PB1NPPBP/R2Q1RK1 b - -,e6e5
r1b2rk1/p4pp1/2pq4/2npp1PQ/7N/2P1P3/PP3P1P/R3K2R w KQ -,e1c1
r5k1/3n1ppp/2rPp3/p2p4/P7/1N3NP1/1P2PP1P/R4BK1 b - a3,c6d6
rnbq1rk1/1p3ppp/p4n2/2bp4/8/1PN1PN2/PBQ2PPP/R3KB1R w KQ -,a1d1
k3r3/pp3pp1/1b3n1p/4p2P/2P4R/PNBr2P1/1P2RP2/1K6 b - -,d3f3
r1b2b1r/ppkn2p1/2p2p2/4p2p/5Pn1/2N1BNPB/PPP1P2P/2KR3R w - -,h3g4
1q3rk1/p4pp1/1p1prb1p/3R4/2P1PQ1P/PP6/3N2P1/5RK1 w - -,d2f3
1rb5/4p1kp/3p1pp1/1qpP4/p3P2P/1rP1N3/RP1QRPP1/6K1 w - -,f2f3
rn1qk2r/pp3pbp/2p1pnp1/8/3Pp3/2N2Q1P/PPP1BPP1/R1BR2K1 w kq -,c3e4
r4k1r/1p3pp1/p3bq2/2p4p/5Q2/2N4P/PP3PP1/R3R1K1 w - -,f4d6
8/6p1/2b5/2p5/1p2kN2/6P1/1P1K3P/8 b - -,c5c4
4r2k/1Q4p1/p5Rp/PP3r2/2Pq4/6B1/6KP/8 b - -,e8e2
rnbq1rk1/ppb2ppp/2p5/3p4/2P1N3/2N3P1/PP3PBP/R2Q1RK1 w - -,c4d5
r7/8/3pk1pp/1np1P3/2R4P/1p3PK1/1B6/8 w - -,c4g4
5r1k/R4pbp/2b3p1/8/8/1P4P1/P2r1PBP/5RK1 w - -,g2c6
4n3/3k4/2p3p1/5p1p/1pBP1K1P/1P4P1/1R3P2/3r4 b - -,d1d4
2r1kb1r/1pq1pp1p/5np1/1Q1p4/pP1P4/5N2/1PbN1PPP/R1B1R1K1 b k -,c7c6
r2q1rk1/1b1nppbp/p5p1/Pp1p2B1/2pPn3/2P1P3/QPNNBPPP/4RRK1 w - -,d2e4
8/1r6/p7/4kpPp/1b1p3P/P4R2/4K3/8 w - -,a3b4
rn3rk1/1p2ppbp/p1p1bnp1/2Pp4/3P1B2/1PN1PN1P/1P3PP1/R3KB1R w KQ -,b3b4
4r1k1/2R2pp1/1n1q3p/3p3Q/1p1r1N2/6PP/P4PK1/2R5 b - -,g7g6
7r/1b4k1/3p1pp1/2qPp3/1p4P1/4r2P/1PP2RQK/3R4 w - -,f2f3
6k1/p2n1ppp/2b5/2p5/2Pp4/1P1N1PKP/P5P1/5B2 b - -,a7a5
r2qk2r/pp1bppbp/2n2np1/1B1p4/3NP3/2P1B3/PP1N1PPP/R2QK2R w KQkq -,d1a4
7R/4k3/1r6/3P1pp1/5P1p/1B1KP3/n7/8 w - -,b3a2
3q1rk1/p1rbbppp/R3pn2/4N3/3P1B2/2N5/1P2QPPP/3R2K1 b - -,d7c8
N1q4k/1b1n2b1/1p1ppn1p/3P4/1PP2P2/7P/2Q3P1/1RB2RK1 b - -,b7d5
8/R7/7p/3pk2p/2p1n2P/4P3/P1K5/8 b - -,e4d6
8/4p1k1/3pP1p1/8/1K5p/1P3P2/6P1/8 b - -,g7f6
8/2p5/3p1k1p/5pp1/7P/4P1P1/1R2KP2/2r5 w - -,h4g5
2r1rbk1/1b2qp1p/3p2pP/p1n1nPPN/1p1BP3/3B4/PPP1Q3/1K3R1R b - -,g6h5
rnbqk2r/1pp2ppp/1p1p4/7n/3PPp2/3B1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
r4r1k/1b3ppp/pp2p1q1/2b1B3/7N/8/PPPQ1PPP/3RR1K1 b - -,g6g4
8/3k4/3p2QP/p3r3/1p6/5P2/1PP5/1K6 w - -,h6h7
2rr2k1/pbq1npbp/2n1p1p1/1pp1P3/6PP/2PP1NN1/P2BQPB1/R3R1K1 w - -,a1d1
r1bqr3/1p3kpp/P5n1/3Ppp2/Q7/B2B4/P4PPP/R4RK1 b - -,b7a6
2r2r1k/p1q1p1bp/4bp2/1pp1PB2/8/P4R1P/1PP1N3/R3Q1BK b - -,e6d5
6k1/p1p1rp2/5bp1/r3P2p/2RP3P/1B4P1/P5K1/4R3 w - -,e1f1
2r1k2r/pp1bbp2/3ppp1p/2q5/4PP2/P1NQN3/1PP3PP/R4RK1 w k -,g1h1
4rbk1/pR1b2r1/3p3n/P2Pp2p/4PpPq/5P2/1P1BBNP1/2RQ2K1 w - -,c1c7
8/8/8/1P1n3p/2Nk3n/8/7K/7B w - -,b5b6
8/4R1k1/2p3P1/p1p4K/P2p1P1p/3r3P/8/8 b - -,g7f6
4rrk1/1ppq2bp/2npb1p1/p3pp2/2P5/PP1PP1P1/1BQ2PBP/1N2RRK1 w - -,g2c6
2r5/1b3R1k/p4Qpb/3p1q2/2pP4/P1N2P2/1P4PP/1N4K1 b - -,h7g8
r3r1k1/1p3qb1/2p2npp/p2b4/3Np2P/PP2P1P1/1BQR1PB1/4R1K1 w - -,b2c3
r1b1kb1r/1q4p1/p2p1p2/1p1NnN1p/P3PBn1/5B2/1PP3PP/R2Q1R1K b kq -,e5f3
r2q1rk1/1p1n1pbp/p2p1np1/2pP4/P1B1P3/2N2Q1P/1P3PP1/R1B2RK1 w - -,c1f4
5rk1/rN5n/2p3p1/p2p3p/P3p3/1R5P/4BbP1/2NK3R b - -,h7g5
5r2/1p2qp1k/r2n1bpP/p1pPp2P/P1N1P3/2N2Q2/1P3P2/2KR3R w - -,c4d6
r2q1rk1/pp2ppbp/2n3p1/3pNb2/3PnB2/2N3P1/PP2PPBP/2RQ1RK1 b - -,a8c8
r4bk1/2p2ppp/1pPp1q2/3P4/p4B2/7P/PP1Q1PP1/4R1K1 b - -,h7h6
3r2k1/3r1pp1/BRpB1n1p/2P5/p3p3/P1n1P1PP/3R1P2/6K1 w - -,b6c6
5k2/4pp1p/3p2p1/pBbP4/P3P3/5P2/6PP/5K2 b - -,f8g7
8/3bnpk1/n5pp/1p1p4/1P1P2P1/2NB1P2/5K1P/5N2 w - -,d3b5
4nr2/1r3pbk/1qNp1np1/1p1P2Bp/1Pp1PQ2/7P/2P1NRP1/5RK1 w - -,g1h1
4B3/6k1/5p1p/p4K2/3bPP2/8/P6P/8 b - -,d4e3
r2qk1nr/1p1n1pbp/p2p2p1/2pP4/P3P3/2N2Q1P/1P3PP1/R1B1KB1R w KQkq -,f1d3
r5k1/1p3r1p/p2p1q2/3Ppb2/5p2/2RB1P2/PP1Q2PP/5RK1 w - -,f1c1
8/6k1/6p1/6P1/4K3/6R1/3b4/8 b - -,g7f7
8/4kp2/B2n2p1/p1BP1nPp/P3p3/4P3/5K2/8 b - -,f7f6
r1bqr1k1/pp3pbp/n1pp1np1/8/2P1PBP1/2N2P2/PPN1B1KP/R2Q1R2 b - -,d6d5
rnb1kb1r/2q2ppp/p2ppn2/1p6/3NP3/2N1B3/PPPQBPPP/R3K2R w KQkq b6,a2a3:f2f3
rnbqk2r/p3bppp/1pp1pn2/3p4/2P5/1PN1PN2/PB1P1PPP/R2QKB1R w KQkq -,g2g3
r2q2k1/pp1n1pbp/3pr1p1/2p5/2P1P3/2N1B3/PP2QPPP/1R1R2K1 b - -,g7c3
8/1b4k1/p4npp/1p6/2B1p2P/P7/1P2KPP1/3N4 w - -,c4b3
3r2k1/3P3p/1p4p1/4p3/6P1/7P/P5B1/3R2K1 b - -,g8f7
8/1pp1Qrk1/6p1/p1pP3p/P1Pb4/1P4N1/5qPP/4R2K w - -,e7e2
r3k2r/p4ppp/2p1p3/3pP3/1q3P2/3b4/PP1N1QPP/R4RK1 w kq -,f1c1
r5k1/1p2b1p1/3p2n1/p1pPprp1/2P5/1PN3PP/P4P1K/4RRN1 w - -,h2g2
Q7/3n1ppk/5n1p/2bp1N2/4rBP1/1P2P3/P1q2P1P/5RK1 w - -,h2h3
rn5r/pp1bkppp/4p3/3pP3/3N1P2/3B4/PPPK2PP/R6R w - -,h2h4
3q1bk1/5p2/3prn1p/2r3p1/Pp2P3/3BR1B1/1P3PPP/R2Q2K1 b - -,d8a8
r3k2r/pb1n1pbp/3p2p1/q2Pp3/1p2N3/1B2BP2/PPPQ2PP/R3K2R b KQkq -,e8e7
rn2kb1r/pp2pppp/2p2n2/3q4/3P2b1/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1:h2h3
8/8/2n2k2/1pP1p3/1P1p1pp1/3PbnP1/r2NK3/1R2BN2 w - -,e2d1
r2qkbnr/pp1n1ppp/2ppp3/8/2PP4/2N2PP1/PP3P1P/R1BQKB1R w KQkq -,d4d5
rnbqr1k1/pp3pbp/3p1np1/3P4/2p1P3/2NB1N1P/PP3PP1/R1BQ1RK1 w - -,d3c2
8/5rpp/8/p1k5/8/2p1P3/PbK3RP/1R6 b - -,c5b4
r1b2rk1/ppqn1pp1/2p2n1p/2b1p3/2B1P2B/2N2N2/PPP1QPPP/R4RK1 w - -,a2a4
r4rk1/p2nqppp/bp1bpn2/1N1p4/8/1P2PN2/PBQPBPPP/R4RK1 w - -,f3d4
2r3r1/1p3p2/1P1pq2k/2bN3p/2P1pP1P/5QP1/5P2/R2R2K1 w - -,f3g2
r2q1rk1/1pp2pb1/p4nnp/4p1pb/B3P3/2P2NBP/PP1N1PP1/R2QR1K1 w - -,d2f1
2r3k1/5p2/5bpp/3Rp3/r3P2P/5PP1/8/3RNK2 b - h3,g8g7
4r1k1/p2qn1pp/1pp1b1n1/3pP3/N2P4/1P1BB3/P2Q2PP/2R3K1 w - -,a4b2
r1br2k1/pp2pp2/7B/n1P5/1b1qP2P/6p1/P1QNBPP1/2R2RK1 b - -,g3f2
8/8/2pk4/3n4/4K3/5B2/8/8 b - -,d6c5
2r1q3/2r2pkp/2p2bp1/2Np4/2nP4/1Q1NP2P/2R2PP1/1R5K b - -,f6e7
5rk1/1p4pp/4p1r1/P1Np1n2/1p1Ppq2/2P3P1/4Q1KP/RR6 w - -,c5e6
