8/8/3p2P1/3Pk3/8/6K1/8/1Br5 w - -,b1d3
rqb1r1k1/pp2b1pn/3p2np/PN1Ppp2/2P5/4BN1P/1P1QBPP1/R3R1K1 w - f6,e3h6
5r2/p7/kp2pp2/3p2p1/b1pP1n2/P1P1NPK1/2PR1P2/7R b - -,a4e8
r1bqk2r/pp3pp1/2n1pb1p/8/3P4/3B1N2/PP3PPP/R1BQ1RK1 w kq -,c1e3
5rk1/p1q3pp/1p2p3/n3P3/4Q3/P1P3P1/6KP/1RB5 w - -,c1f4
8/2R2n2/5k2/4n3/5r2/K7/2B4P/8 w - -,a3b2
2r2rk1/1bqp1ppp/p3pn2/8/Pp2P3/5BP1/1PP2P1P/R1QNR1K1 w - -,c1d2
r2q1rk1/pbnnppbp/1p4p1/8/2PN4/2N1B3/PP1QBPPP/3RR1K1 b - -,d7c5
6k1/5p2/1p2q1p1/p6p/Pn1PN3/2Q3P1/1P5P/6K1 w - -,c3f3
r3r1k1/1bqn1pbp/p2p2p1/1ppP2Bn/4P3/P1NB1N1P/1P3PP1/2RQR1K1 w - -,b2b4
rnbq1rk1/pp3ppp/5n2/3p2B1/1b1P4/2NB4/PP2NPPP/R2QK2R b KQ -,b8c6
r3qr2/1pp3k1/pnnp1pp1/3B3p/4PP1P/2Q5/PPP2NP1/2KR3R b - -,b6a4
r5r1/1pp1kp2/p4p2/2b1p2p/2B1P3/5PPb/PPP1N2P/2KRR3 w - -,e2c3
5rk1/2p4p/8/1B1Pp3/1P2Pnp1/2P1B3/3N1P2/6K1 w - -,b5d7
4r1k1/1p4bp/p1n1q1p1/3p1p2/4r3/1PPQP1PP/P1NB1R2/5RK1 w - -,g1g2
r3kn1r/pp1b2p1/2nbpq1p/3p4/3P4/P2Q1N2/1PB1NPPP/R1B1K2R w KQkq -,c1d2
8/5k2/2R5/8/4NK2/8/8/1r6 b - -,b1f1
8/1p4k1/4b2p/PB1p1p1P/5P2/4P3/4K3/8 w - -,e2d3
8/1r1bk1pp/2pp4/2n5/2P2P1P/4NBK1/4P3/R7 w - -,e3c2
1k6/2p1r1p1/1n4Q1/p7/q7/5B1P/6P1/1R5K w - -,g6d3
2r1k2r/5p1P/pq2bp2/1p6/4P1p1/PPN5/1PQ5/1K1R3R w - -,c2d2
rnbqk2r/pp1p2bp/3Ppnp1/2p2p2/2P5/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,c3b5
r1b3r1/1pp3qk/3p4/3P1p1p/1P3P2/n6P/4QBPK/1RN3R1 w - -,e2h5
1r3k2/5pb1/pp1p2pp/n2N4/P1P5/1P3NP1/4RPKP/8 w - -,f3d2
r1bq1rk1/3nnpbp/p2p2p1/1p2pP2/4P3/2NBB3/PPPQN1PP/R4RK1 w - b6,f1f3
3Q4/q4pk1/P3p1p1/3p1BPp/1p1P1P2/4P3/1P3K2/8 b - -,e6f5
r3k2r/p1p2ppp/1pq1p3/n2pPn2/P2P4/B1PQ4/2PN1PPP/R2R2K1 w kq -,d1b1
3rkb1r/p1q2ppp/b1n1p3/1pp5/4P2P/PP1NN1P1/1B3PB1/R1Q2RK1 b k -,d8d3
1r3rk1/p1q1ppbp/1pbp2p1/3Nn3/2PB4/1P4PP/P3PPB1/2RQ1RK1 b - -,c6d5
8/1p6/4kRp1/4P1p1/1r1b4/6B1/K4PP1/8 b - -,e6d5
3r2k1/p4p1p/1r3p2/2NPnN2/4P3/7P/P4PP1/3R1K2 w - -,d1c1
2brr3/pp4kp/1np2qp1/P3pp2/1P1n4/2NP1NPP/1Q2PPBK/2R2R2 b - -,b6a8
8/p1r3k1/P2b1p2/1K6/6Pp/8/5Q2/8 w - -,f2h4
7r/1pr1kpp1/p3pnp1/2n5/2P5/1N2P1PP/P1R2PB1/1R4K1 b - -,f6d7
6k1/4nppp/ppn1pb2/2p5/2P1P3/P1N1BN1P/1P1q1PP1/6K1 w - -,e3d2
5k2/1p6/8/p4p2/4nP1K/PP1r4/8/2R3B1 b - -,d3b3
2rr2k1/1pn2ppp/8/p2N4/bP5b/P3P2P/1B1RKPB1/3R4 w - -,d1c1
1r1q1rk1/pBn1ppbp/1p1p2p1/1Pp5/2Pn4/P1NP2P1/3BPP1P/1R1QNRK1 b - -,b8b7
5k2/4p2p/3p1pp1/2pP4/2P2PPP/2Q1PNK1/8/3n3q w - -,c3d2
8/p4k2/1pR5/1Kp3P1/8/8/8/r7 b - -,f7g7
r4rk1/5qb1/pN1Pb2p/2p1pp2/2N3p1/3Q4/RP3PPP/5R1K b - -,e5e4
8/7k/p7/P4P2/1P1QK3/7q/8/8 w - -,d4d8
5bk1/4pp2/1p1p3p/p1r2Np1/2P1P3/NR3PP1/7P/7K b - -,e7e6
r5kr/1b4p1/p3p3/3pP1bp/8/1P1B4/PBP2QPP/7K w - -,f2b6
8/2k4p/2b5/r3B3/4B2P/1pP1KP2/8/2R5 b - -,a5e5
rnb2rk1/ppppqppp/8/8/2PPN1n1/6P1/PP2P1BP/R1BQ2KR b - d3,f7f5
r1bq1r1k/1pp1n1pp/1p1p4/4n3/4Pp1P/1NN5/PPPQBPP1/2KR3R w - -,a2a3
5rk1/1p4p1/p1p5/P2pP1b1/1P1P4/2P3P1/2B3K1/5R2 w - -,c2h7
2r1k2r/p2qnpp1/1p2p2p/n1pPP3/3P3B/P1PQ1N2/5PPP/2R2RK1 b k -,c5c4
r4rk1/1p1n1pp1/2p1pnp1/q2p4/pbPP2P1/1P5P/PBQNPPB1/R2R2K1 w - -,a1c1
r3rbk1/1pn2p1p/p5p1/RnPpN3/NP1P4/3K2P1/1B3P1P/4R3 w - -,a4b6
rnbq1rk1/1p2ppbp/2pp1np1/p7/P2PP3/2N3P1/1PP1NPBP/R1BQ1RK1 b - -,b8a6
8/8/4p3/p2kPn2/R2P4/1P6/3b4/5K2 w - -,a4a2
5b1k/pq4pp/8/1B6/4P3/1QB3Pb/1P3P1P/3r2K1 w - -,b3d1
5rk1/1p4pp/p2R4/8/2p2p2/2P2P2/PPn2BPP/5K2 b - -,f8e8
r4r1k/pp5p/3N4/1BP1q3/1P6/P4p2/5P2/1RB2K2 w - -,c1b2
2R5/8/p6p/8/k1p4r/2K5/P7/8 w - -,c8c6
8/7p/1r2kpp1/8/RP4P1/7P/5PK1/8 w - -,g2f3
1r1qk2r/1bp2ppp/p1np1b2/1p1Bp3/4P3/5N2/PPPP1PPP/R1BQ1RK1 w k -,c2c3
1rB4k/pP5p/2p3p1/2q1b3/4Qp2/8/P5PP/3R3K b - -,h8g7
4r1k1/pp2rpb1/2pp3p/5Pq1/2PpnNP1/5BP1/PPQ2PK1/3R3R w - -,h1h4
r2knr2/pp3p1R/4p3/6N1/1P6/2P5/P2B1Pb1/R3K3 b Q -,g2d5
q7/2pr1rkp/ppRp1pp1/3Pp3/3PP3/1P3P1P/P2Q2P1/4R1K1 b - -,a6a5
4Q1k1/6b1/1p3p2/2pbp3/4q1B1/2P1B3/5P1K/8 b - -,g7f8
5rk1/1p4p1/p2ppbnp/8/1PrpP3/2P2NPP/1B3P2/1R3RK1 w - -,c3d4
r6q/1b3r1k/pR1p1bpp/2nPpp2/8/B4N1P/P4PP1/3QRBK1 b - -,a8d8
1k6/pnr5/1p6/1P6/2p2Q2/2P1K3/2P5/8 w - -,e3d4
rnbq1rk1/ppp2ppp/3p4/2bPp3/8/5NP1/PP1PPPBP/R1BQK2R w KQ -,d2d4
3r1q2/1p4k1/2p3p1/p2n2Qp/4PP1P/1P2P1N1/P4P2/3R2K1 b - -,d5f6
b4n2/4b1k1/4p3/r5p1/3PP2p/2PBB2P/4NKP1/1R6 b - -,f8d7
3q2k1/1Qp2rpp/3p2b1/5n2/5PB1/1P6/1BP3PP/r4RK1 w - -,f1a1
r2qr1k1/1pp3bp/p1b3p1/5p2/P3pP2/2P1B1PP/1PQ3B1/R2R2K1 b - -,d8e7
8/5k2/3B1p1p/6p1/p3PPPP/1b3K2/1P6/8 w - -,d6c7
8/6k1/5r2/R5pp/8/6KP/8/8 b - -,g7g6
r1b1k2r/pp1pnppp/4p3/4P3/1bNq1B2/P1p2P1N/2Q3PP/4KB1R b Kkq -,e7d5
rn3rk1/ppp2pp1/4p2p/1qPp4/3P1PP1/P3PN2/1PQ4P/R3K2R w KQ -,g4g5
3r3k/1b3prp/3pn2N/2q1p3/1pP1P3/1P3B2/3R2PP/4QR1K b - -,f7f6
2k5/2pr1p2/p3rnpp/np2p3/1P2P3/2P3NP/P2NKPP1/R2R4 b - b3,a5b7
r1b1r1k1/3n1pb1/pq1p1np1/3P2B1/1pp1P2Q/5N2/PPB1N1PP/R4R1K b - -,f6d5
r4rk1/1bp2ppp/ppnbpq2/8/P2P3N/4P1P1/2P1B2P/1RBQ1RK1 b - -,f6e7
4nb2/1p3kp1/p2p1pp1/2pP4/P1P1NBP1/1P1K3P/5P2/8 b - -,f7e7
r1q4r/pppbnk1B/5n2/3p4/3P1B2/P3PP2/1PQ2P2/2K3RR w - -,h7g6
1r4k1/Q5p1/2p4p/1rN1Pb2/2qp1P1P/8/PP1RP3/3K2R1 b - -,g7g6
8/8/2pk4/3pR3/8/1r6/2K1R2P/1r6 b - -,d6c5
1r4r1/1N1pkp1p/4pp2/8/Pp6/1n2P3/1P3PPP/1K1R1B1R b - -,b8b7
8/8/1r1KP1k1/8/8/8/5R2/8 w - -,d6d7
r4rk1/1b1nqpp1/p1p1p2p/1p6/3PB3/4PN2/PPQ2PPP/R4RK1 b - -,a8b8
r4rk1/6bp/5np1/1Npp1b2/Pn6/N1B1qP2/1P2B1PP/R2Q1R1K b - -,f5d3
r1bq1rk1/1p1nppb1/p2p1npp/2pP4/P1P4B/2N1PN2/1P2BPPP/R2QK2R b KQ a3,a8b8
2r2r1k/1pq1b2p/p3ppb1/1P2P3/P1pP4/2B2N2/4Q1PP/2R2R1K w - -,e2e3
r7/4krq1/2Pp3R/4p1p1/4npP1/pPN5/P3B2Q/1KB4R b - -,e4c3
r1r3k1/p2bpp2/3p1npQ/q6p/1p1NP1PP/1P3P2/PP2N3/1K1R3R b - -,a5e5
r2q1k2/ppp4p/2np2r1/2b3p1/3pP3/1QP2P2/PP3PKP/RNB2R2 w - -,b3d1
2r5/1prnkp2/p1b1p3/P2pP2p/1P1N1P1p/2P3P1/1KB2R2/2R5 w - -,g3h4
2q1r3/1Q3pbk/6pp/P7/4Pp1N/6P1/5PKP/1R6 b - -,c8b7
r1bqk1nr/pp1pppbp/6p1/1N6/2PNP3/8/PP3PPP/R1BQK2R b KQkq -,d7d6
2k4r/p1qr1pp1/2p2b1p/n3p3/4Q3/1P6/PBPP1PPP/RN2R1K1 b - -,h8d8
r3rbk1/pp3p1p/2p5/5pN1/2Pq1P2/6P1/PPQB2KP/4R3 w - -,c2f5
7k/6p1/7p/p2Q4/5p2/2P4P/6PK/q7 b - -,a1c3
r2q1rk1/pp1b2pp/2n1p3/3pPn2/1P6/PN6/1B2BPPP/R2Q1RK1 b - -,c6e7
2rrb1k1/1p2npp1/1Pp1pq1p/4N3/2QP4/4P3/4BPPP/R4RK1 w - -,e2f3
1r1q1rk1/pb2bppp/2p2n2/3p4/2BNN3/8/1PP1QPPP/R1B2RK1 w - -,c1f4
1r1qk2r/5p1p/p2p1p2/1p1Np3/4P1Q1/2P5/PP3PPP/n2K1B1R b k -,e8f8
rb1qr2k/p5pp/Qn2p2n/1NBp1p2/3P4/4PN2/P4PPP/1R3RK1 b - -,h6f7
3q1r2/4r1nk/pp1pB2p/2pP4/P2bRB2/R6P/1P1Q2P1/7K w - -,a3f3
8/3R1p2/5kp1/4p2p/7P/4nPK1/6P1/8 w - -,d7d6
r1bqk2r/pp2b1pp/5n2/3ppp2/1n6/2NPP1P1/PP2NPBP/R1BQ1RK1 w kq -,a2a3
3r1rk1/5p1p/5bp1/p2n4/NpRP4/1P3B1P/P2R1PP1/5K2 b - -,f8e8
8/5R2/6k1/4p1p1/1pBp1n2/1P1P1r2/3K4/8 w - -,f7f8
6k1/pp1nppbp/2p1b1p1/2n5/2P5/PPN3P1/1B2PPBP/5NK1 w - -,f1d2
r1b2r1k/pp4b1/2nQ2pp/8/3p3q/5B2/PP1B1PP1/R3RNK1 b - -,h4f6
8/5p2/4p1kp/1R6/3P2P1/4P3/3r1PK1/8 w - -,g2g3
1rr3k1/1Nq2pp1/p1P1bn1p/1pQp4/1P2p2P/P5PB/2R1PP1K/2R5 b - -,f6e8
1rb1kb1r/p2n1ppp/2pp4/q7/2P1P3/2N1QN2/PP3PPP/2KR1B1R b k -,a5b4
r4r1k/pp1q1ppp/2npb2b/2pNp2Q/P1B1P3/1PPP3P/R4PPN/5RK1 w - -,h2g4
r1bq1rk1/pp2bppp/2n1pn2/8/2Np4/3Q1NP1/PP2PPBP/R1B2RK1 w - -,f1d1
1b6/p3nk2/1p2pp1p/6p1/r2PP3/6P1/P2R1PNP/3R2K1 b - -,b8d6
r2r2k1/Bp3pbp/3p2p1/4p1q1/4P1b1/1PNQ4/1PP2PPP/R4RK1 w - -,a7e3
r1b1kbnr/pp1ppppp/1qn5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,b5a4:b5c6:b1c3
2r3k1/7p/3p2p1/8/3R4/2P2P2/5KPP/8 w - -,c3c4
3qr2k/5p1p/pp2pPp1/3b4/1P1P4/P6R/3Q2PP/2r2RK1 w - -,d2c1
1r4k1/p4pp1/q2Nn1b1/4P3/P7/2P1Q1BP/1r3P1K/R3R3 b - a3,a6c6
7r/3k1p2/3p1p2/rNbPp2p/1pP5/1P3PP1/P6P/1K1R3R w - -,d1d2
1rr5/4kp2/p1bpnnp1/4p2p/PpP1P2P/1P2NP2/2BN1KP1/2RR4 b - -,f6d7
4bN2/4Pk1p/4R3/1p6/1n3P2/3p4/5K2/8 w - -,f4f5
8/8/2k4p/8/K4pP1/3r1P2/5P1R/8 w - -,h2h6
r3kb1r/p1p3pp/5p2/3np3/2N5/8/PP3PPP/R1B1R1K1 b kq -,f8b4
r4rk1/pb1qnpbp/1p2p1p1/nPpp4/2P5/P1NP2P1/1BQNPPBP/1R3RK1 b - -,a8d8
r4rk1/2qbnpb1/4p1p1/2ppPnN1/5PQ1/2NB4/1PP2B1P/R4RK1 b - -,f5h6
3r1rk1/pp2qppp/2p1b3/2Ppb3/5P2/P3P2P/1P1QB1P1/1RB1R1K1 b - f3,e5f6
1r1q3k/pb4b1/3p1n1n/2pPp1pp/B1P1Pp2/P1N2P1P/3BQNP1/1R4K1 w - -,e2d1
1rbrn1k1/2q2ppp/2p5/p1Np4/3B1b2/P1Q2B1P/1PP2PP1/1R1R2K1 w - -,d1e1
3r1qk1/pb3rpp/1pp2n2/3PQ2B/2P1pP2/P3P1R1/1B5P/2K3R1 b - -,f6h5
r2q1rk1/p2n1ppp/1p1bpn2/2pbN3/3P4/1P1BP3/PB1N1PPP/R2Q1RK1 w - -,d2c4
2r2k1r/ppq2ppp/2nbp3/8/6Q1/2PB3P/P1PB1PP1/1R2K2R b K -,c6e5
1r1qr1k1/ppbb2pp/2p1p1n1/2PpPpP1/3N1P2/1P1BP3/PB2Q2P/1R3R1K w - -,b3b4
r2qk2r/pp3pp1/5Bp1/3p1n2/1b2N3/1P4P1/P3BP1P/R2Q1RK1 b kq -,g7f6
r4r1k/ppp2Ppp/2nb1nb1/6Bq/2B5/2N2N1P/PP2QPP1/R4RK1 w - -,g5f6
r1bqrbk1/5pp1/p1np1n1p/8/P2pP3/5NNP/2B2PP1/R1BQR1K1 w - -,f3d4
3r1rk1/1p5p/p3pbp1/2p2q2/PnP2P2/R4N2/1P2Q1PP/2B2RK1 w - -,h2h3
1Q6/3p1kpp/p4n2/4p3/1p2r3/2P1Rn2/PP2KPqP/5R2 b - -,f3h2
rn1q1rk1/pb3ppp/1p1p1n2/2pP4/8/P1NBP3/1P3PPP/R1BQK2R w KQ -,e1g1
r1b1r1k1/pp2qpbp/3p1np1/P1pP2B1/8/5NP1/1P1QPPBP/R4RK1 w - -,f1e1
3n2k1/pp3ppp/4p3/qNb5/2B5/5P2/PPQ2nKP/R7 b - -,c5b6
8/7p/2PR4/2r2pk1/7R/6K1/6P1/2r5 w - -,h4h7
r1r3k1/pnq1ppbp/1p1pP1p1/3P1b2/2P1NP2/Q3B1PP/P5B1/2R2RK1 b - -,f7e6
r2q1rk1/1p2ppb1/p4npp/3P1b2/P4B2/2N2N2/1P2QPPP/3R1RK1 b - -,f8e8
8/2Q5/6q1/5pkp/4p1p1/4P1P1/5PK1/8 b - -,g6f6
8/8/8/p3K3/Pk3P2/8/8/8 w - -,f4f5
r5k1/5pp1/4p2p/3nB3/3P4/2b2N1P/5PP1/2R3K1 w - -,c1b1
3r2k1/1p2q3/p1bN1b2/n1P2Qp1/1P2p1B1/7R/P5K1/2R5 b - -,e4e3
8/1p2k2p/1pp3p1/2n5/1P1Rp3/2P3P1/1P2K2P/8 b - -,c5a4
8/1p4k1/1R5p/5p2/5Pp1/8/P4K1P/8 b - -,h6h5
3r4/5p1p/pPk3pb/P1P5/3P4/4P1P1/5P2/1R4K1 b - -,d8b8
4rrk1/6bp/3p2n1/1pqn2B1/2p2p2/5N2/1PQ2PPP/R2R1BK1 b - -,d5b4
r1bqr1k1/pp1nbppp/2p5/3pP3/8/2N1P2P/PPB2PPB/R2Q1RK1 b - -,e7c5
6k1/2r2b2/pr3ppp/R2p4/2pB2B1/3N4/5KPP/8 b - -,b6b5
5k2/R6p/8/6PP/P7/6PK/r7/8 b - -,f8g8
r4rk1/pbpnqppp/3p1n2/2P1p3/3PP3/P2B1N2/2QN1PPP/R4RK1 b - -,d6c5
3r4/3q1k1p/1p3np1/pP4Qn/P1Pp1p2/3P1B2/1B3P1P/R6K b - -,h7h6
8/8/8/5p2/5K2/8/R5kp/8 b - -,g2h3
2r2rk1/3n1pbp/p4np1/NB1p4/3Pp3/4P2P/PP3PPB/R1R3K1 w - -,b5e2
8/5pk1/6p1/8/5PPP/5Q1K/8/4q3 b - -,e1a1
2r4R/p1n1kp2/1p1p4/4pP2/2P1P1r1/2N5/PP3K2/7R b - -,g4g8
r4r1k/3bb3/p1p1p1p1/PpPp4/1P1PpP2/4K3/2BN2P1/R6R b - -,h8g7
1r1q1rk1/1ppn2bp/p2p2p1/3P4/1PPBP3/P1N2p1K/3Q1P2/R4R2 b - -,g7d4
1Q6/5rkp/3pp1q1/6p1/1P1P1p2/4P1P1/6KP/2R5 w - -,e3f4
r3r1k1/2Q2ppp/p2b4/1p6/4n3/P2B3P/1P3PP1/R3R1K1 b - -,d6c7
8/1b2kp2/p1p5/1pb2P2/2r1p3/2PR2N1/PP4KP/5R2 w - -,f1e1
8/2k5/1p2pnp1/pQ1p4/P2P1q2/2P5/6P1/5NK1 w - -,b5e2
4r3/8/7P/2k5/2P1K3/5p2/7R/4n3 w - -,e4f5
r1b2rk1/pp3pp1/1qpn3p/3p4/1n1P2PQ/2NB1P2/PPP1N2P/2KR3R w - -,g4g5
5rk1/1p3pb1/p6p/2pp1qp1/3p4/1P1B1PP1/P1PQ1P2/4R1K1 b - -,f5f3
r2qkb1r/pppn1pp1/3pbn1p/8/2PQPP1B/2N5/PP4PP/R3KBNR b KQkq -,c7c5
5rk1/8/p1R1p3/1n2P3/1r1P2p1/3RK1P1/1P1N4/8 b - -,f8d8
2rr4/p3qp1k/1p2n1pb/2ppPp1p/3P1P1P/2PQBP2/PP2N1R1/1K4R1 w - -,e2g3
8/8/5k2/1R3pp1/1pBr3p/5P1P/5PK1/8 b - -,d4c4
r3k2r/1bq1bppp/pp3n2/3p4/P3nP2/3B1N2/1PPBN1PP/R3QR1K w kq -,e2d4
rnb1k1nr/pp2bppp/8/3qp3/8/2P2N2/3P1PPP/RNBQKB1R w KQkq -,b1a3
5nkr/2q3p1/b2bp2p/8/2pPn3/5N2/1PP1QPPP/2B2RK1 w - -,e2e4
r4rk1/2p1bpp1/p2q3p/1p2n1n1/P2pPP2/1BPP3P/1P2Q1P1/R1BR2K1 w - -,f4e5
1rbq1rk1/R5pp/1pBp1b2/3Pp3/1P2np2/5N2/2P1QPPP/2B1R1K1 b - -,e4g5
r2q1rk1/pp3pbp/2n1p1p1/2Pp4/3P3n/PP2BB1P/3QNPP1/2R2RK1 w - -,f3g4
6k1/p4p2/1p4p1/1P6/2PQ2K1/5N2/q7/8 w - -,g4g5
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,g8f6:f7f5
r2qkb1r/3npppp/p1p2n2/1p1p4/2PP2b1/1P1BPN2/P1QN1PPP/R1B1K2R b KQkq -,e7e6
b1R3k1/5r1p/1B4p1/P7/4N3/3r4/3N1P2/6K1 b - -,f7f8
r2r2k1/3bqppp/np1Np3/p1n1P3/2PR4/P3Q3/1B2BPPP/5RK1 b - -,d7c6
5rk1/1pq1b1p1/3pbpp1/2n1p2P/pR2P3/2P2Q1B/P1PN1P2/K6R b - -,e6h3
r2q1rk1/2p1ppbp/pn4p1/1p2P1N1/1QnP2b1/2N5/PP3PPP/2BRKB1R w K -,f2f3
8/3k1bpp/5p2/p2P4/2p3P1/2p1Nn2/1r5P/R1B2K2 w - -,e3c4
r3k2r/2pn1ppp/p1n5/1p2P3/1b4b1/2N2N2/PP3PPP/R1BB1RK1 w kq -,c3d5
r1bq1r2/1p3pkp/p2p2pn/2pP4/P3PP2/3B3P/1P2Q1P1/RN3RK1 b - -,f7f5
5bk1/6r1/1p1p4/pN1Pp1q1/P3Ppb1/2Q3P1/1P6/4BRK1 b - -,g5h5
2r2rk1/1p1b2pp/p4qn1/5p2/P1PPp3/QN4P1/2R2PBP/2R3K1 b - -,c8e8
8/1p3p1k/pbr1p1p1/4p2p/2P1P2P/1P2NPP1/P3R3/3r3K w - -,e3d1
8/3k4/p2p4/3P1N2/5r2/2B5/P1K5/8 w - -,f5d4
R4bk1/5pp1/4p2p/3pP3/3P4/r5PP/3BKP2/8 w - -,a8f8
6q1/k1rr1p2/pp2p3/2p3P1/3bBQP1/P2P1R2/1PP5/1K3R2 b - -,g8g7
8/8/3kp1pp/p1r5/2K2PP1/1P2R2P/8/8 w - -,c4d4
r1brq1k1/1p4pp/4pp2/pPb5/2P1Q3/P4NPB/5P1P/R3R1K1 b - -,d8d6
r2qr1k1/pp3pbp/2pp1np1/4p3/2PnP3/2NP2PP/PP3PB1/1RBQ1RK1 w - -,c1e3
8/8/3R4/3P1p2/8/5k2/2r5/4K3 w - -,d6c6
1r1q1bk1/1pp1n2p/p2p2p1/2PPp3/4P1b1/4B1P1/PP1Q2BP/2R3NK w - -,h2h3
3R1r1k/1p4b1/p3R1Bp/2P1P2p/1n6/8/6PB/7K b - -,f8d8
rn1q1rk1/1p2ppbp/2p2np1/3p1b2/p1P5/1P1P1NP1/PBQNPPBP/R4RK1 b - -,b8a6
4r1k1/p2n1ppp/bq1p4/3P4/Ppr1PP2/6P1/1b1QN1BP/1R3R1K w - -,b1b2
r2qkb1r/pp1n1ppp/2p1pn2/3p4/3P1P2/3BPQ1P/PPP3P1/RNB2RK1 b kq -,f8e7
3r1q2/1pr2p1k/2p2npp/p3p3/P1P1P2P/2PR2PB/2Q2PK1/3R4 b - -,d8d3
r3k2r/ppq1b1pp/2p1b3/4p3/2P1P3/2N1B3/PP2QPPP/R4RK1 b - -,g7g6
6k1/5p2/3p2p1/8/3R4/P4Q1P/q5r1/6K1 w - -,f3g2
3r4/p3r2k/1p2bb1p/4pp1n/1P6/P3BNPP/5PB1/2RR2K1 b - -,d8g8
5R2/8/2p1b1p1/4B1P1/4KPk1/8/8/2b5 b - -,e6d5
1k1r1r2/ppp2BBp/5Q2/2q5/4p3/2Pb4/PP3PPP/R3K2R w KQ -,g7f8
8/5k1p/8/6p1/1P2pp2/8/P2RK3/2rN4 b - b3,f7e6
r1bq1rk1/pp3pp1/2np1n1p/2pPp3/2P5/2PBP3/P2N1PPP/R1BQR1K1 b - -,c6e7
1R2k3/2prr3/p6p/4n1p1/2bN4/P3R2P/5BP1/6K1 b - -,e8f7
r4rk1/p1p1qppp/1p3n2/4p3/1PP5/1QB3P1/P3PPKP/2R2R2 b - -,c7c5
r2q1rk1/pppn1pbp/1n4p1/4P3/4P3/1QN1BB2/PP3PPP/3RK2R b K -,d8e7
6k1/7p/N1P1p3/p2pNb2/3P1Pp1/1r6/3K4/2R5 b - -,a5a4
8/3k3p/p3p1p1/1p1pP3/P4PP1/2P1K3/1b1B3P/8 w - b6,a4b5
r2q1rk1/p4pbp/2p1p1p1/1p1n4/2BP4/2P2Q1P/PP3PP1/R1B2RK1 w - b6,c4b3
r3kb1r/5ppp/bnpp4/8/2P2B2/1P4P1/4NP1P/1R2KB1R b Kkq -,d6d5
r1br2k1/pp1nqpp1/2p4p/4p3/2BP4/2R1PN2/PPQ2PPP/5RK1 w - -,f1d1
1r2r2k/p1R3pp/1n1q1p2/8/4B2P/5Q2/PP3PP1/2R3K1 b - -,g7g6
r4rk1/2q1bp1p/p1b1pnp1/N3p3/1p2P3/N2B4/PP3PPP/2RRQ1K1 w - -,a5c6
8/4k3/3n1r2/6K1/8/4R3/8/8 b - -,e7f7
2rqr1k1/1p2ppbp/pn4p1/n5B1/3P4/2N2N2/PPQ2PPP/3RR1K1 w - -,c2e4
7k/5p1p/3p4/3P1P2/2N1P1p1/3p2P1/r4RK1/2b5 b - -,a2c2
8/8/2pn4/1k6/p4N1b/K7/8/8 b - -,d6c4
3r4/3nkp2/4p1p1/p6p/1qpR4/2Q1P2P/P4PP1/3R2K1 w - -,c3b4
8/8/8/P3K3/8/2p3p1/2kq4/5Q2 w - -,a5a6
q4rk1/5ppp/2bppb2/1p6/rP2PP2/1BP1Q3/1B4PP/R4R1K b - -,c6e4
