7r/pp1k3P/3Pp3/8/7R/3K4/PP6/8 w - -,d3d4
8/5pk1/1P2p3/R2pP3/2r3pr/P6P/1R4PK/8 b - -,c4c3
r2r3k/p2qNbpn/1ppP1p2/2P1n1p1/1P2P3/2Q2BN1/P5PP/R4R1K w - -,g3f5
r1b1r1k1/pp3ppp/2pp1n2/8/2P1P3/qn2BP2/P1Q1BKPP/2R4R w - -,a2b3
4R3/6pp/3k1p2/R2p4/8/4P1KP/3n2P1/1r6 b - -,d2e4
3q1nk1/6p1/1p2p1p1/p3P2n/2pP2Q1/5P2/PP1B4/K2R4 w - -,d2g5
r6r/1pk1bnp1/2p1b3/2n1pp1p/p1P5/2N1P2P/PP2BPPN/2RRB1K1 b - -,h5h4
r1bqk2r/4npb1/1pp4p/p1p1p1p1/4P3/P2PBNNP/1PPQ1PP1/R3K2R b KQkq -,e7g6
2r1r1k1/1p1qpbbp/p1n2p2/P2p2p1/B2P4/2P2NB1/1P2QPPP/R3R1K1 w - -,h2h3
8/q4p2/2p4k/P3N2p/4P3/1P3P2/2P5/1K5R b - -,a7a5
r1bqk2r/p1ppn1pp/4pn2/1N6/2P5/5N2/PP1QPPPP/R3KB1R b KQkq -,e8g8
2r1kbnr/1q3ppp/p1bp4/1p2p3/1Q2P3/2N1BN2/PPP2PPP/3RR1K1 w k -,f3d2
r2qkb1r/5p2/pn2p2p/1ppbP1p1/P1pP4/5BB1/1P1N1PPP/R2Q1RK1 w kq -,d4c5
1rbq1rk1/p2n1pb1/2np2pp/2pN4/1p1PPNP1/2P1B2P/PP2Q1B1/R4RK1 w - -,f1d1
r7/8/1Rbk2B1/1p2nP2/2p1P3/2P5/2PK4/8 w - -,d2e3
2kr1b1r/1p1np1pp/2p1bp2/4P3/PR2P3/2N1BP2/2K3PP/5B1R b - -,c8c7
r1bqk2r/pp1p1ppp/2n1pn2/2b3B1/2P5/2N2N2/PPQ1PPPP/R3KB1R b KQkq -,b7b6:h7h6:d8a5
1k1r3r/1p4p1/2p2p2/1P2nq1p/8/2Q5/P3BPPP/1R3RK1 b - -,c6b5
7k/5p2/1p1n3p/p1rP1p2/P1PR1P2/1K6/7P/6R1 w - -,g1g2
8/5Q2/5ppk/5q1p/4p2P/6P1/5P2/6K1 b - -,f5e5
1r5k/4r3/1q1p1b1p/pBpPn1pQ/4P3/1nN3P1/6KP/4BR2 w - -,h5h6
r1b2qr1/2p1npk1/pb1p1p1p/1p1Pp2Q/4P2N/1BP2N1P/PP3PP1/R3R1K1 w - -,h4f5
r2qr1k1/pp4bp/2npbpp1/3np3/2BP4/N1P2N1P/PP3PPB/R2QR1K1 w - -,b2b4
1k6/1bp1bq2/3p4/pQ6/8/1PP1B3/2PR1P2/1K6 w - -,b5a5
r3brk1/pp4pp/2pb3q/3pNpn1/3P4/1P2PPP1/PBR1Q1BP/5RK1 b - -,e8h5
rn3r2/1pp1qppk/1p2bn1p/4N3/PPB1P3/2PP4/6PP/R1B1QRK1 b - -,e6c4
8/5p2/2p1rb2/ppPr1kpp/3P1p2/PP3P1P/3RRBP1/3K4 b - -,g5g4
8/1p1q1pbk/p3b1p1/3p2Bp/1Q1P3P/P5P1/1P3P1K/5B2 b - -,e6f5
rn1kr3/2q4p/b1pnB2Q/p3N3/Pp1P3b/8/1PP2PPP/R1B1R1K1 b - -,c7e7
2r3r1/1p1nq2k/p1p1p1bp/P3Pp2/1b1P1P2/1N5Q/1P2BB1P/R5RK w - -,f2h4
2r1r1k1/1bpnqppp/pp3n2/3p4/1b1P4/1PN1PNP1/PB3PBP/1QR2RK1 w - -,f1d1
2rq1rk1/1p2b1pp/pn3n2/3p4/3P4/2N1P2P/PP2NP1B/2RQK2R w K -,e2f4
r1b3k1/pp3p1p/2p3p1/4b3/2PrB3/8/PP3PPP/1RB1R1K1 b - -,e5f6
2R3k1/1p5p/3q4/p2prppP/4n3/P4QP1/1P3PK1/4R3 b - -,g8g7
3qr1k1/2rnb3/Qpp3pp/3P4/4N3/6N1/PP4PP/4RR1K b - -,c6d5
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2PP1N2/PP3PPP/RNBQR1K1 b - -,c5a7:d7d6
4r2k/1p3Qq1/p1nP3p/P3P2P/2N5/8/6P1/5RK1 b - -,e8e5
3R4/5Qpk/7p/8/pqP1p1Pn/8/5PP1/6K1 w - -,f7g8
r1bq1rk1/pppn1pbp/2np2p1/4p3/2BPP3/2N1BN1P/PPP1QPP1/R3K2R w KQ e6,d4e5
r5k1/p1p4p/2pp1B2/8/2P2q1N/2Q3P1/PP5K/n3r3 b - -,f4f2
r2q1rk1/pb4pp/1p2p3/2ppPp2/3P4/2P2P2/PP1QP1BP/R4RK1 b - -,a8c8
r3k2r/pp3ppp/2nbpn2/3q4/2QP4/5N2/PP2BPPP/1RB2RK1 b kq -,e8g8
5nk1/p1q2p1p/1prNr1p1/3pP2n/3P1P2/P2Q4/1B2R1PP/5RK1 w - -,f4f5
2r2rk1/1pq1bp1p/p1bppnp1/P7/4P3/1P1B4/1BPNQPPP/R4RK1 b - -,d6d5
4r1b1/Bp1n2kp/8/5p2/2P1p3/1P4PP/P5BK/5R2 w - -,f1d1
5B2/3r4/2k2P2/1p4p1/p4bP1/8/2K5/5R2 b - -,c6d5
r3r1k1/p2q1pb1/bp1p3p/2pPn1p1/PnN1P3/1PN2PP1/5B1P/2RQRBK1 w - -,c4e5
1r4k1/1p2p1bp/pNB1bpp1/2B1P3/5PPn/7P/PPP1NK2/3rR3 w - -,e1d1
6B1/8/2N5/8/4K3/8/2k5/8 w - -,c6a5
8/5kp1/1p2pp1p/p4P1P/P1Q1P1K1/1P4P1/8/3q4 w - -,g4f4
rnbqk2r/pp1pppbp/2p2np1/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,g1f3:e2e4:e2e3
2r1b1k1/pp2bpp1/1q2p2p/4B2n/1P2NQ1P/2P5/P1B2PP1/3R2K1 w - -,f4f3
8/2k2p1p/r1b1pPpP/3p4/pRpP1K2/P1P3P1/2B2P2/8 w - -,c2g6
r2q1rk1/pp1bb1pp/2p1pn2/3pP3/2PP4/6P1/PPQ3BP/RNB2RK1 b - -,f6e8
r2qkb1r/1p3ppp/p1np1n2/4p3/3PP1b1/5N2/PP3PPP/RNBQRBK1 w kq -,d4d5
3r3r/pp3pkp/4bbp1/1Bpn4/8/P3PN1P/1PPB1KP1/1R5R w - -,e3e4
8/8/1bkNb3/4Pp1p/1B3Pp1/6P1/7K/8 b - -,b6e3
r4rk1/p1q2pbp/bpn2np1/2p1pP2/4P1PN/2P4P/PP4B1/RNBQR1K1 b - -,f8d8
8/p1r2p1k/3q1bp1/1PNr3p/PP1pQ2P/3R2P1/5P2/3R2K1 w - -,d3f3
5k2/4p3/4B3/2B5/6pK/p7/1bb2P2/8 w - -,e6a2
8/6kp/4b1p1/p7/1PP1BP2/2K2P2/7P/8 b - -,a5b4
r7/P6R/6p1/Pk2p1P1/4Pp1P/5K2/8/8 w - -,h4h5
rnbq1rk1/1pp1ppbp/p2p1np1/8/P2PP3/2N1BN2/1PPQ1PPP/R3KB1R b KQ -,b8c6:c8g4
2bb1nk1/q5np/2p1p1pB/1pPpP3/1p1P2PP/1N1B4/P4QNK/8 b - -,c8d7
r2q1r2/2n3pQ/2p2kBp/p1Pp4/Pp1b4/7P/1P3PP1/4RRK1 w - -,g6h5
8/2p3k1/1p2rp2/p1P2Rp1/P3p3/1PB2nPP/5PK1/8 b - -,g7g6
8/4q1k1/6P1/ppp4P/4bQ2/PPP5/8/6K1 b - -,e4b7
r4rk1/pb1nqppp/1p2p3/2pn4/3P4/2NBPN2/PP3PPP/2RQ1RK1 w - c6,c3d5
1nb1nrk1/R1q2pbp/1rNp2p1/1ppPP3/5P2/2N3P1/1P4BP/2BQR1K1 b - -,c8b7
rqb1r1k1/3n1pbp/3p1np1/pp1P4/2p1PP2/P1N2N1P/1PB3P1/R1BQR2K w - -,f3d4
rnbqk2r/ppp1bppp/3p1n2/4P1B1/4P3/2N5/PPP2PPP/R2QKBNR b KQkq -,d6e5
4k3/4p2R/3p4/3r1K2/6PP/8/8/8 w - -,f5g6
2b1k2r/1r2bppp/Q1pp4/2q1n3/2P1P3/P1N2N2/1P1R1PPP/2K2B1R w k -,b2b4
r1b1k1r1/pp2n2p/4p2Q/3pPp2/3N4/P1q5/2P2PPP/R1B1KB1R w KQq -,h6d2
1r3rk1/p1pp2bp/bnp3p1/4Pp2/2P2P2/P2B2P1/1P1N1K1P/1RB2R2 b - -,d7d6
r2q1rk1/pp3p2/1b2bn1p/1B1p2p1/3N3B/2P5/PP3PPP/R2Q1RK1 w - g6,h4g3
4r1k1/1p3pbp/p1np1pp1/3N4/P1P1r3/1P1N2B1/7P/1R2R1K1 w - -,g3d6
k1r2q1r/pp2bp2/2b1p1pp/3pP3/P1nP3P/1NPBB1P1/4QP2/R4RK1 b - -,g6g5
1r1q1rk1/pp1bb1p1/1nn1pP1p/2pp4/7P/2PP1NP1/PP3PBN/R1BQR1K1 b - -,e7f6
rn2kbnr/pp3p1p/2b1p3/2p1P3/3p2pq/2PB4/PP1PQPPP/RNB1R1NK b kq -,f8g7
8/1n1nk2p/1pp1b1p1/5P2/2P1pP2/4K2P/3NB3/1R6 b - -,g6f5
8/3rpR2/8/5kp1/2K5/7P/8/8 b - -,f5e4
r1b1qrk1/pp4bp/2pQ2p1/2n1p3/2P5/2N1RN1P/PPB2PP1/R5K1 b - -,c5e6
r1b1k2r/pp2q1b1/2p1n1pp/3P1p2/NP5P/3BPN2/P4PP1/2RQK2R b Kkq -,e7b4
1k5r/ppr1q1p1/4p3/b2p2Np/Q3P1nP/2pP2P1/PR3PB1/1R4K1 w - -,b2c2
4r2k/p4pb1/5p2/1pp2Rp1/4B3/1P4P1/P4P1P/5K2 w - -,e4c6
2q2rk1/3b1pp1/p2p2np/1p5Q/4PP1P/1P1B2P1/P4B1K/4R3 b - -,d7g4
6k1/1p6/2b4p/p2qP1p1/2p2B2/2Pp3P/1P1Q2PK/8 w - g6,f4e3
1r6/4k3/pp1Rp1bp/2p5/2P2pP1/1P3P2/P3B1P1/2K5 w - -,d6d2
7k/1p2q1p1/rp1pp2p/8/1Pn1PB2/6Q1/5PPP/5RK1 w - -,g3g6
5rk1/4b1np/pnqpp1p1/4p1P1/1p2P1Q1/1N2BP2/P1P4P/1K1R3R w - -,e3b6
r1br2k1/1p1nbppp/4pn2/p6q/1PPN4/P2B1N2/5PPP/R1BQR1K1 w - a6,a1b1
2r2rk1/1q2p1bp/p5p1/3b2N1/4B3/PPp5/R4PPP/2R1Q1K1 b - -,b7b3
2q4r/4kppp/p3p3/2p1P3/1nP5/8/P3QPPP/R4RK1 w - -,e2g4
r2qkb1r/pp3ppp/2n1p3/3pPb2/3P4/2P2N2/PP2B1PP/R1BQK2R b KQkq -,f8e7
r5k1/pp2pnbp/1q2b1p1/4P3/3r2P1/2NB3P/PP2QB2/R4RK1 b - -,f7e5
2rqk2r/4bpp1/pn1pbn2/1p2p3/4PP1p/1NNBB2P/PPPQ2P1/1K1R3R w k -,d2f2
4k3/8/5RNp/1p2P3/1P2b3/8/5KPP/1r6 w - -,f2e3
r1br2k1/1p3p1p/p1n3p1/2Rp4/4P3/4BN2/P2KBPPP/8 w - -,e3g5
1r6/5k2/3P4/3Kp3/8/8/8/3R4 b - -,b8h8
2q2k2/5rp1/2pP3p/2P5/4Qn2/8/4NPPP/4R1K1 b - -,f4d5
r2qr1k1/pb1pbppp/1pn1pn2/8/3P4/PP1B1N2/1BPN1PPP/R2Q1RK1 w - -,f1e1
6k1/5p2/1p1p2b1/p1p1q3/6PK/P6P/1P6/2Q5 w - c6,c1d2
2r2rk1/pp3pbp/6p1/1Pqp4/2nN4/1Q2P3/P1R1NPPP/R5K1 w - -,a1c1
r1bqk2r/3n1ppp/pp2pn2/2b5/P1p5/2N1PN2/1PQ1BPPP/R1B2RK1 w kq -,e2c4
4rr1k/2R4p/p2p1npq/3Pp3/4PpbP/5P2/P4QB1/3NR1K1 w - -,f3g4
r3r1k1/1pqn1pp1/2p1pn1p/pP1p1b2/2PP4/3NP3/PQ1NBPPP/R1R3K1 b - -,f5d3
3r4/4nk1p/3pn1pP/2p2pP1/1pN2P2/1PbP1NK1/2PB4/4R3 b - -,c3h8
8/1p2k3/4p3/3p2p1/1p1P2P1/3KP2r/1PR5/8 b - -,e7d7
rn1qkb1r/pbpp1p2/1p2p2p/6p1/2PPn3/4PNB1/PP3PPP/RN1QKB1R w KQkq -,g3e5
2rq1rk1/1p2pp1p/3p2p1/pN5P/nn1QP3/2N2P2/1PP3P1/2KR3R w - -,h5g6
5R2/8/8/3K4/8/4k1n1/8/8 b - -,g3e2
r1b2rk1/pp1nb1pp/2p1N3/3n1p1Q/4N3/2PB2BP/1q3PP1/R4RK1 w - -,f1b1
8/3Rn3/p3Pk2/5pN1/2r2P1P/6P1/8/6K1 w - -,d7a7
8/pp1k2pp/5p2/2b3P1/1nB1RP1P/1P6/PB1K4/7r b - -,h1h2
6k1/8/8/1b6/P2r2p1/4N3/2K2p2/2R5 b - -,d4a4
2k3q1/pp6/4n2P/3pPn2/b1pP3p/P1P5/2P2QP1/2R1B1K1 b - -,h4h3
1r4k1/2r2p2/pppqbnpp/P2p4/1P1P4/2QBP1N1/5PPP/2RR2K1 b - -,h6h5
r3nrk1/1ppq2bp/6p1/p1pPp1P1/2P1Pp1P/2N4R/PP1N1P2/R2QK3 w Q -,d1f3
k2r3r/pb3ppp/2p2n2/2Pp4/2Q5/6P1/P3PPBP/1RB2RK1 b - -,d5c4
8/2Pk4/6R1/p6p/7P/r7/6K1/8 b - -,d7c7
2r3k1/ppr1ppbp/3p1np1/q2P2B1/6P1/1B3P2/PPP4Q/1K1R3R b - -,a5b6
r4rk1/4ppbp/2p2np1/p7/P7/1P1N2P1/1BNnPP1P/R1R3K1 w - -,a1a3
1nbq1rk1/r1p1bppp/p3pn2/1p2N3/3P4/3Q2P1/PP2PPBP/RNB2RK1 b - -,c8b7
2r5/2nkb2R/pn2p1Q1/q5P1/1p1N4/1P2BP2/1PP5/1K6 b - -,b6d5
r5k1/2pb1ppp/pp4q1/2p1P3/Q4PP1/2P1R2P/PP1r1B2/5RK1 w - -,a4b3
5rk1/q2n1pbp/1p2p1p1/6B1/PQP4P/6P1/5PB1/4RK2 w - -,g5e3
r2qkbnr/ppp2ppp/2bp4/4p3/4P3/2N2N2/PPPP1PPP/R1BQ1RK1 b kq -,g8f6
1r4k1/6bp/3p4/qN1Pp3/1p6/8/PP2Q1PP/R5K1 w - -,a2a4
rnbq1rk1/pp2ppbp/1n1p2p1/4P3/3PNP2/5N2/PP2B1PP/R1BQK2R b KQ -,b8c6
4Q3/1p6/3K4/1kpP4/6Q1/8/5q2/8 b - -,b5b6
rnB2bk1/pp4pp/2pq4/3pN3/3Pb3/8/PPP3PP/R1BQ2K1 b - -,d6e7
rn1q1rk1/pbppbppp/1p2pn2/8/1P6/P4NP1/1BPPPPBP/RN1Q1RK1 b - -,c7c5
8/3b2b1/5pk1/1R5p/3B1P2/5K2/7P/8 w - -,b5a5
r3r1k1/pp1n1ppp/2p2n2/4p2b/2P1P3/qP3NPP/P1Q2PB1/R3RNK1 b - -,h5f3
4r3/pp3pkp/2p3n1/3b2N1/1R6/7P/PPB2PP1/7K b - -,b7b5
8/8/4p3/4Nk2/5P2/1b2K1P1/8/8 b - -,b3d1
r3kb1r/1pqn1b2/p1p1p1p1/3pPpPp/2PP1P1P/1P2BBN1/P7/R2Q1RK1 b kq c3,a8d8
8/kb5p/4R1p1/1B3p2/2Pr1P2/7P/8/5K2 w - -,e6e7
8/8/3p1k2/2pPp2p/P1P5/5KP1/4BP2/4b3 b - -,f6g5
1r2r1k1/1pR2R1p/p6b/3pP3/8/1P4P1/P5KP/8 w - -,f7h7
8/7k/8/7P/3N2PK/3b4/8/8 w - -,d4e6
7r/1p2rkp1/pBnRbp2/4p2p/P3B1P1/2P4P/2P2P2/1R4K1 w - h6,f2f3
r1q1k2r/p1p1bppn/2pp2bp/4p3/2PP4/1PN1PQP1/PB3P1P/R1N2RK1 b kq -,h7g5
r1b1r1k1/1p1n1p1p/2p3p1/p1b1p3/N1P1P3/1P1RBPP1/PK2B2P/2R5 b - -,c5e3
r2qr1k1/1p2n1b1/p3P1p1/2ppN1Pp/5B2/2P5/PP2QP2/2KR3R b - -,g7e5
r2q1rk1/pbpn1ppp/1p1N4/4pN2/Pb1pP3/3P2P1/1PP2PBP/R1BQ1RK1 b - -,b4d6
b7/8/2p1kP2/3pN1K1/3P3p/7P/8/8 w - -,f6f7
k1r1r3/q5pp/5n2/1R1pN3/1Q6/8/5PPP/1R4K1 b - -,e8e6
r4rk1/p5b1/bp4p1/n2pNp2/3PpB2/2P5/PP3PP1/2KR2NR b - -,g7e5
rnbqk2r/pp2ppbp/2p3p1/4N3/2pP2n1/2N3P1/PP2PPBP/R1BQK2R w KQkq -,f2f4
1r1bq1k1/5p2/3Pn3/1pN1Pp2/1P1Q4/8/5P2/3R1K2 w - -,d4d3
1r4k1/6p1/p1p2r1p/4p3/8/1P3P2/P5PP/2RR2K1 b - -,b8b5
7Q/2p1k3/8/3K4/5P2/2P5/8/4q3 b - -,e1e6
r1b2rk1/pp1nq1pp/n3p3/3pP3/1P6/2P1BN2/P5PP/R2QKB1R b KQ -,f8f3
3r2k1/p4p2/1p2p1p1/2r1P1p1/2Pp4/3R1P2/P4P1P/4R1K1 b - -,c5c4
2kr3r/pb1q1pbp/1p1pn3/2pN4/4P3/2PPN3/PP3RBP/R2Q2K1 b - -,h7h5
r3r1k1/1q1b4/1N1P2pQ/p4p1n/2Ppp1PB/1P1B3P/P7/5RK1 b - -,e8e6
8/2kbn3/B7/4pP2/4P3/1N6/7P/7K w - -,h1g1
8/8/2bkp3/p1Pp4/P6r/1P4r1/2BK1R2/4R3 b - -,d6e7
r1bq3k/p1p2Bb1/2pp3p/6P1/2P1r2B/2P5/P5PP/R2Q1RK1 w - -,d1h5
r1bqk2r/pp2b1pp/3n4/5p2/2Bnp3/2P5/PP1N1PPP/R1BQ1RK1 w kq -,c3d4
r4k1r/ppp1n2p/3p1p2/3Pp2B/5b1N/3P1Q2/PPq2PKP/R5R1 b - -,c2c5
8/8/1kp3p1/p6p/2Pr3P/RP4K1/8/8 b - -,d4e4
r4r1k/1pqb1p1P/p2ppbpQ/4n1N1/1n2P3/2N1B2P/PPP5/R4RK1 w - -,f1f6
r1bq1rk1/pp3pbp/2np2p1/2p1Pn2/2P5/1P2PNP1/P3NPBP/R1BQ1RK1 b - -,d6e5
5rk1/1p2qpp1/r2p3p/p2R4/3QP3/P4P2/1P4PP/5RK1 b - -,f8c8
1rbqr1k1/5pbp/pn1p2p1/1ppP3n/2P2P2/1PNQ2NP/P1BB2P1/1R3RK1 w - -,c3e4
8/4bk1p/p2p1p2/1p1RpP2/rPr4P/PK6/2P4R/2B5 b - -,c4g4
r1bqkb1r/pp2pp1p/2np1np1/2p5/4P3/3P1NP1/PPP2PBP/RNBQ1RK1 b kq e3,c8g4
8/5ppk/8/8/R5p1/1p4r1/3B4/3K4 w - -,d2e1
r1q1r1k1/p3bppp/bn2pn2/2ppN3/3P4/B1P3P1/P1QNPPBP/1RR3K1 w - -,c2d1
r3kbnr/pppq1pp1/2n1p3/3pP2p/3P4/2PB1Q1P/PP3PP1/RNB1K2R b KQkq -,e8c8
rn3rk1/pbp2ppp/1p1qp3/8/2BP4/4PN2/PP1Q1PPP/2R1K2R w K -,c4e2
8/1k5r/8/K2R4/P2N4/8/8/8 b - -,h7e7
r1bqk2r/1p1nppbp/p2p1np1/1Bp5/4P3/2P2N2/PP1PQPPP/RNB2RK1 w kq -,b5a4
r1bqr1k1/pppnbppp/3p1n2/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,c1e3:f1e1:d4d5
r2qk2r/ppp2ppp/2n5/2bbp3/2P5/3P2P1/P1P1NPBP/R1BQ1RK1 b kq -,d5g2
3R4/1p3p1b/6k1/1r4PN/1p5P/2P5/6P1/6K1 w - -,g2g4
rn3rk1/3nq1pp/bp2p3/pBpp1p2/Q2P1P2/2P1PN2/PP1N2PP/R4RK1 b - -,a6b5
r1brk3/1p3pp1/p1n2n1p/2B1p3/2P5/PN6/2P2PPP/2KR1B1R w - -,d1d8
r2nq1k1/pb1pb1p1/1p2p2p/3P4/4Nr2/P4N2/1PB2PPP/R2QR1K1 w - -,d5d6
1r1r3k/p3q2p/3bbnp1/1P2p3/4p2N/1P2N1P1/PBQ2P1P/2R2RK1 w - -,c2e2
2kr3r/1p4pp/pnpn1p2/3p1b2/1P1P3P/2N1PP2/1P1N2P1/R3KB1R b KQ h3,h7h5
r1bqk2r/ppp2pp1/2n1pN1p/8/2PP4/5N2/PP3PPP/R2QKB1R b KQkq -,d8f6
r4rk1/ppN1ppbp/5qp1/2R2b2/4p3/1PP1B3/1P2QPPP/1K5R w - -,c7a8
8/5kp1/5p1p/5P2/4KPr1/8/1R6/8 w - -,e4f3
1rbq1rk1/3nppbp/p2p2p1/PnpP4/N1N1P3/8/1PQBBPPP/R4RK1 b - -,b5d4
6k1/5p1p/8/1p2P2p/2p1N3/b1P3P1/rP3KP1/1R6 b - -,a3b2
3r2k1/pBrbpp1p/6p1/8/8/4P3/P2K1PPP/RR6 w - -,d2e1
8/4q1kp/p1b1pp2/1p2p3/4P3/PNN2BP1/1PP3P1/3R3K w - -,h1h2
2r3k1/pp3pq1/2pr2pp/8/1PQPBn2/P5P1/5P1P/3RR1K1 b - -,f4e6
6qn/1p3r1k/2bPp2p/2Pp1p1P/3Q1PP1/2B5/4BK2/R7 w - -,g4g5
1r4k1/5pp1/2B2n2/1P3P2/3R4/8/5PK1/8 w - -,g2f3
1r6/p1pk1p2/4b3/4PB1p/7P/P1N1R1P1/1b2K3/8 w - -,f5e6
rnbq1rk1/pp2ppbp/3p1np1/3P4/2B1P3/2N2N1P/PP3PP1/R1BQ1RK1 b - -,b8d7:f6d7
2bqr1k1/1p3pbn/rNppn1p1/p6p/2P1PP2/1N4PP/PP1Q1BB1/3RR1K1 w - -,c4c5
r1b1nrk1/1pq2ppp/p2pp3/4n3/2P1PP2/1PN4P/P1NQB1P1/3R1RK1 b - f3,e5g6
r1bqk2r/pp2ppbp/2n3p1/3p4/2PP3B/4PN2/P4PPP/R2QKB1R w KQkq -,c4d5:f1e2
r6r/5p1p/1nn1k1p1/p2pP1P1/1p1P4/1P1KNN2/P6P/R6R w - -,e3g4
8/1p1b1p1p/pb1k2p1/3P1p2/2B2P2/1N4P1/PP4KP/8 w - -,g2f3
r1b1r1k1/pp2qppp/2pb4/8/3B1P2/2P2nNP/PP1Q2P1/3R1RK1 w - -,f1f3
2br2k1/4bppp/2np4/2q1pP2/1pP1P1NP/1P1Q2P1/2N3B1/R6K b - -,e7f8
r1b1k2r/q3bppp/p1p1p3/3n4/N1NP4/1R4B1/PP3PPP/3Q1RK1 b kq -,a6a5
1rbq1rk1/5ppp/p1np4/1p1Np1b1/4P3/2PQ4/PPN1BPPP/R3K2R b KQ -,g7g6
rnbq1rk1/pp1pppbp/5np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1QK2R b KQ c3,b8c6:d7d6
r1bq1rk1/pp2npbp/2np2p1/2p1p3/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -,f7f5:c6d4:a7a6
2rqn3/1p1r2k1/1Qbp2pp/pBP1p3/N3P3/8/PP1R2PP/3R2K1 w - -,h2h3
1r4k1/5ppp/4p3/p2pPn2/P2P3P/2K1P3/2P3N1/R7 b - -,f7f6
8/pr4p1/R7/1p6/1P1k2K1/P7/8/8 w - -,g4g5
1r4bk/4q1pp/2p5/5P2/p3P3/P1R5/2Q3B1/6K1 b - -,h7h6
r5k1/1q2bp1p/3p2p1/1p2p3/4P3/3Q4/1PP2PPP/1N3RK1 b - -,b5b4
rnb1k2r/1pqp1ppp/p2bpn2/8/2PNP3/2N2Q2/PP1B1PPP/R3KB1R w KQkq -,f3d3
r4r1k/pp4p1/3Q1npp/q1p5/2B4P/2p1PP2/PPP3P1/2KR3R w - -,e3e4
r2q1rk1/pb2bppp/1pn1pn2/2p5/2P5/2NPPNP1/P4PBP/R1BQ1RK1 w - -,d1e2
r2q1rk1/pp1nbppp/2p1pn2/8/2PP4/1P1B1QN1/P4PPP/R1B2RK1 w - -,c1b2
r5k1/3q1pbp/3p2p1/1p1P4/2p1RPP1/7r/4Q2N/2R4K b - -,h3a3
2r1r1k1/1bqnbppp/pp1ppn2/8/2PNP3/P1N1BP2/1P1QB1PP/2RR2K1 w - -,b2b4
6k1/1b1rpp1p/pB2n1p1/1p2Pn2/5P2/1P6/P3N1PP/2R2BK1 w - -,b6a5
8/8/R1p1p3/2K1k3/8/2P5/3r4/8 w - -,c3c4
3r1k2/3P1p2/pr6/5pp1/2RR4/7P/P5P1/5K2 w - -,c4c5
4q1k1/7p/3b2p1/1p3p2/1P1B1P2/2P2P2/5Q1P/6K1 w - -,f2e3
8/5p2/4pk2/2p4p/4PPpP/6P1/R3K3/6b1 b - -,f6g7
r4rk1/5p1p/pq1p1np1/1BpP4/7R/5N2/PP1Q1PP1/R4K2 b - -,b6b5
r2rb1k1/ppq2pp1/2n1p2p/8/8/2P2N2/PP1Q1PPP/1B1R1RK1 w - -,d2c2
