8/3n4/8/2pK1P2/1pP4p/pP6/P3Nk2/8 w - -,e2f4
r2qnrk1/3nbppp/3p4/p3pPP1/1pb1P3/1N2B3/PPPQN2P/2KR1B1R w - -,e2g3
8/4k3/3p4/2bP1p1p/2P2P2/p1BK3P/P7/8 b - -,e7d7
1r3rk1/2q2pp1/4p2p/2npPP1Q/3N2P1/1p6/PP5P/1K1RR3 w - -,a2a3
r2qk1nr/1p3pbp/p1n1p1p1/2BpP3/Q4P2/3B1R2/PP4PP/RN4K1 b kq -,g8e7
2r1r1k1/1b3pp1/pq3b1p/1pN1p3/3NP3/P7/1P2QPPP/1BRR2K1 b - -,c8c5
8/3k1Np1/2p3P1/2P1p2p/pbp1P3/8/1PK5/8 b - -,d7e6
r2q1rk1/ppp2ppp/2n5/2bnp2b/2B3P1/2PP1N1P/PP3P2/RNBQR1K1 b - g3,h5g6
3r1rk1/1pp3pp/p7/7n/1P2P3/1R4P1/5PB1/5RK1 w - -,e4e5
8/R5k1/8/4n1p1/2p1r3/1P4P1/P4K2/3B4 b - -,g7h6
6k1/7p/5KPP/5PB1/8/3b4/8/8 b - -,d3c2
r2q1rk1/pp1bb1pp/n3p3/1Npp1p2/3PnB2/2P1P3/PP1NBPPP/R2Q1RK1 w - -,a2a4
6k1/1p3p2/p2b2p1/3p1q2/P2Pn1pP/1P1NQ1P1/5PK1/2B5 b - -,b7b6
1kr5/pp2n3/1q3p1p/1Pn1p1p1/PBQ4P/5N2/2P2PP1/3R2K1 b - a3,c5a4
6k1/1n3pp1/6p1/1p6/pP6/2P4P/3NKPP1/8 w - -,d2b1
r4rk1/p2qbnpp/1pn1p3/3pPp2/3P1P2/3NB3/PP1NQ1PP/3R1RK1 w - -,h2h3
1r3k2/6b1/B4pp1/3Rn3/Pp5r/4B3/P3KP2/2R5 b - -,g7h6
8/1p3p2/pbn3p1/3pk2p/7P/1PPKNPP1/P3N3/8 b - -,e5d6
2rr2k1/1p1qnppp/p2p4/P3p1b1/1R2P3/1NPQ2P1/1P3PBP/5RK1 b - -,e7c6
8/2bk4/8/3K4/7p/7P/1R6/8 b - -,c7g3
r1bq1rk1/pp1n1ppp/2pb1n2/4p3/2BPP3/2N2N2/PP3PPP/R1BQ1RK1 w - -,c4b3:c1e3:c1g5:a2a4:g1h1
r1bqk2r/ppp1nppp/2np4/2b1p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,e1g1
8/5pk1/p1R4p/P2r3P/8/5P2/5P2/5K2 w - -,c6a6
2r2rk1/1p3ppp/p1n1bn2/8/8/4BN2/PP2BPPP/2RR2K1 w - -,a2a3
1r1q1k1r/1ppb2p1/p2p1pn1/3Pp2p/2P1P2P/4NQP1/PP3PBK/R4R2 b - -,f8g8
r2qk1nr/pp1n1ppp/2pb4/3p4/3P2b1/2NBB3/PPP1NPPP/R2QK2R w KQkq -,f2f3
2kr3r/1p1bbp2/1q2p1pp/p2pP3/3p1P2/1B1P1NP1/PPPQ2KP/R4R2 w - -,a2a4
6r1/p1p1k3/P2p4/3PnRp1/1P2P3/6P1/4B1K1/8 w - -,e2h5
8/4k2p/p2n1p2/R4P2/8/6KP/2P5/8 b - -,d6c4
q1r3k1/3nbp1p/4p3/p1r1P3/2N2Pp1/1PR3P1/P2N1K1P/1QR5 b - -,f7f5
r1b2rk1/p3p2p/6p1/2P5/8/NP1p3P/PN2nPPK/R3R3 b - -,c8a6
2rr1bk1/1q3ppp/pp1p4/3Np3/PPP1P3/6P1/1Q3P1P/2RR2K1 w - -,b2e2
r7/2nk3p/1pp1p1pP/3b1pP1/3P1P2/2BP4/1PK5/2RB4 w - -,c2d2
8/p4pp1/3k3p/3p3b/4pr1P/P6R/3NP1K1/1r3B2 b - -,b1d1
8/1b2kp2/3rp3/5p2/1p2P2p/5B1P/1R3PP1/6K1 b - -,d6b6
r5k1/2pqpp1p/6pb/p2n4/2NP4/2P1P1B1/5PPP/RQ4K1 b - -,d5c3
3r1rk1/1bq1ppbp/1p4p1/p3nP2/1Pp1PB2/2P2NP1/P1Q3BP/4RR1K b - -,b7a6
1r2r1k1/5pbp/p5q1/2R2bP1/pP4p1/P3B1Q1/7P/5RK1 w - -,c5f5
Q7/p1k1n3/1p2q2P/2p1p3/5p2/P1P1B3/1PP2P2/2K5 w - -,h6h7
1r1q1rk1/bp2npp1/1n1p3p/1P1Pp2b/8/1QN1PPP1/4N1BP/1RB2RK1 w - -,g1h1
8/p2n4/Pp4p1/1P4P1/4k3/2K5/5BP1/8 w - -,c3c4
6k1/4rpb1/6pp/1N5n/2P5/1P2B3/3r1PBP/3bR1K1 w - -,e3d2
r3k2r/ppq2pp1/2p1pnp1/3n2B1/2BP3P/2P2QP1/PP4P1/2KR3R b kq -,e8c8
5k2/3n1pp1/2p1p1p1/2P5/1P5P/5N2/5PP1/6K1 b - -,e6e5
4rrk1/1pb1q1pp/4b3/pPppNpP1/P2pnB2/R2B1R2/2P3PP/4Q2K w - -,g5g6
6k1/R5p1/7p/4PK1P/pr4P1/8/8/8 w - -,a7a8
4Q3/8/k7/2KP4/8/8/p7/8 b - -,a2a1q
r2qrnk1/ppp2pb1/3p1np1/1P3b2/P1PPp2p/2N1P3/1BQNBPPP/R4RK1 b - a3,f8h7
r3rbk1/5p2/2p2np1/1bNq3p/3Pp3/4P1P1/1R1B1PBP/2RQ2K1 b - -,f6d7
1kr4r/pp1nq2p/2p1b1p1/2Np1p1n/3P4/3BP2P/PPQ1NPP1/1KR4R b - -,d7c5
3R1rk1/p5q1/1p2pp1p/6p1/2r5/P3P1P1/1P3PP1/3Q1RK1 w - -,d8d6
r1b1kb1r/p1pp1p1p/1np1q1p1/4P3/2P1QP2/2N5/PP4PP/R1B1KB1R b KQkq f3,f8b4
3r4/pb2qrkp/1p2p1p1/nB2Pp2/2pP1N2/2P2P2/P3Q1PP/R4RK1 b - -,d8c8
1r2qrk1/pppn1pbp/2n1b1p1/4p3/2P1N3/Q3PN1P/PP1BBPP1/R2R2K1 b - -,h7h6
8/4k2p/R3R1p1/p1p1n1N1/6PP/8/P4P1K/3q4 b - -,e7d7
rnbqk2r/pp1pppbp/5np1/2p5/2PP4/4PN2/PP2BPPP/RNBQK2R b KQkq -,e8g8
2r2rk1/2pq2bp/p2p2p1/1p1n4/3PR3/1P3N1P/P1QB1PP1/4R1K1 b - -,c8e8
6k1/1p6/2pBb3/2Pp2PR/1r3P2/p7/Pb4K1/1B6 w - -,f4f5
r6k/p1R3pp/8/6B1/8/5b2/PP3P2/6K1 b - -,a7a6
3qb3/1p3pk1/2n1p3/p2pP1bQ/P2P2pp/2r4P/5RP1/1B1R3K b - -,g4g3
1r1r2k1/1b3pp1/ppnppq1p/8/1PP5/P3QNP1/4PPBP/3R1RK1 b - -,c6e7
r1bqk1nr/ppp1bppp/2np4/4p3/2B1PP2/2NP4/PPP3PP/R1BQK1NR b KQkq f3,e5f4
8/4p1b1/pk1p2p1/3P1pP1/BPK2P2/8/5P2/8 b - -,g7b2
8/4k3/2p5/p1NbP3/P7/2K5/8/8 b - -,d5f3
nr3rk1/1p1bqpbp/p2p2p1/P1pP4/2B2B2/1QN1P2P/1P3PP1/R3R1K1 w - -,b3c2
r2q1rk1/pp3pbp/2n1p1p1/2Pp4/3P4/1P2n3/P1NQNPPP/3R1RK1 w - -,d2e3
rr4k1/3n1ppp/2p2n2/p1q1p3/2P5/8/PPQ1NPPP/R1BR2K1 b - -,c5b4
1r6/1p1nkp2/p2n2pp/N3p3/NP2P3/5P1P/P3K1P1/2R5 w - -,e2e3
r1bq2k1/5r1p/1pn3p1/p2pPpB1/3P4/2PB2Q1/PP5P/R4RK1 b - -,d8c7
rnbq1rk1/1p2bppp/p2ppn2/8/3NP1P1/1BN5/PPP2P1P/R1BQK2R w KQ -,g4g5
r2qn3/3n2k1/1pRp2pb/3Pp2p/1P2P3/2Q2PPN/5BK1/5B2 b - -,g7h7
3r4/1p6/2p2k2/1nR2p2/p7/Pb3PP1/1P2NK2/5B2 w - -,f2e3
1r1q1rk1/2R2ppp/1B2p3/1b1pP3/8/pP2RN2/P4PPP/2Q3K1 b - -,b8b6
r1r3k1/pp1bppbp/n2p1np1/q2P4/3BP3/P1N2N2/1P2BPPP/R2Q1RK1 b - -,f6e8
6k1/pp3pb1/5qp1/1PP5/8/5PPp/P1Q3KP/4R3 w - -,g2h3
6k1/p2P1p2/6p1/1p6/4q3/1P6/3Q1PP1/3K4 b - -,e4b1
2rq1rk1/1b1nb2p/p3p3/2ppPpp1/5B2/1PNQ4/P1PN1PPP/3RR2K w - g6,d3g3
r6k/2p1b1p1/b1P4p/3nq3/1pQ1p3/pPP1BN1P/P2R1PP1/2K4R b - -,e4f3
r4rk1/pp3ppp/1b4n1/2p1P1B1/3PP3/2P5/P1BQ2RP/5qNK w - -,c2d3
8/2R2p1p/4pkp1/3p4/3P4/2P1P2P/2r2PP1/4K3 b - -,h7h5
6k1/p6p/3p2p1/4p3/3p3b/1N1P1r2/PPP5/R5K1 b - -,f3f2
r2q1rk1/pppb1ppp/2n5/1B1pP3/Q2Pn3/2b5/PP2NPPP/R1B2RK1 w - -,b2c3
r3k1nr/pp1qnpbp/2ppb1p1/3Np3/2P1P2P/3P2P1/PP2NPB1/R1BQK2R w KQkq -,d5e7
8/4b3/1k2p3/3pP1p1/K2P2P1/8/8/2N5 b - -,e7f8
rb4k1/pp1n1ppp/1qr2n2/3ppQ2/8/BP2PN2/P2PBPPP/2R2RK1 w - -,d2d4
1r3rk1/5ppp/1bpp1qn1/8/3PPp2/N1PB1Q2/1P3P1P/R5RK b - -,c6c5
8/6R1/2K4p/1P2r2P/5kn1/8/8/8 b - -,e5h5
r1bqkbnr/1p1p1ppp/p1n1p3/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq -,g2g3:f2f4:f2f3:d4b3:c1e3:f1e2:d4c6:c1f4
r1bq1rk1/pp4pp/2n1p3/3p4/3P2n1/2NB1NPP/PP3P2/R2Q1RK1 b - -,g4h6
r2qk2r/pppb1pp1/2n1pn1p/6B1/1bQP4/2N2N2/PP2PPPP/R3KB1R w KQkq -,g5h4
2n5/p1k5/4p1p1/3pP2p/2pP1PP1/2P3K1/1r6/R3B3 w - -,g4h5
4rrk1/1pb2pp1/p6p/2p2q2/P2pP3/1P1P2P1/2PB3P/4RRK1 w - -,f1f5
3R4/4k3/7p/3Rb3/2r1p2P/8/6B1/2r4K w - -,d5d1
8/B1r3pk/b7/pB5p/1p6/1Pb2P2/P1R3PP/3R2K1 b - -,a6b5
5rk1/2q1ppbp/3p1np1/5b2/QR6/1P4P1/P3PPBP/3R2K1 w - -,b4c4
rnbq1rk1/ppp2ppp/4pb2/3p4/2P1n3/1P2PN2/PB1PBPPP/RN1Q1RK1 w - -,d1c2
r4rk1/ppp3pp/2n5/2P2b2/2p4Q/3q1N2/PP3PPP/R1B1R1K1 b - -,a8e8
8/8/8/5p2/4kP2/7R/2r3K1/8 w - -,g2f1
1r2nr1k/6q1/3p1bBp/pp1Rp2Q/5p2/P1P2P2/1P1R1BPP/7K b - -,f8g8
8/1pp4p/p7/4kp2/8/4K1P1/PPP4P/8 b - -,c7c5
2rr2k1/4nppp/1q2pn2/p1p1N3/2b1P3/1P1P2PB/1QR2P1P/2R3K1 w - -,c2c4
r1bq1rk1/pp3ppp/2n2n2/3p4/3Pp3/1P2N1P1/P2QPPBP/RN3RK1 w - -,b1c3
r3k2r/1bq1bppp/pp3n2/2pp1N2/Pn3P2/2NP3P/BPP3P1/R1BQ1RK1 b kq -,e8g8
8/1p3k1p/3p1p2/3P1P2/5K1P/1P3P2/r7/2R5 b - -,a2e2
7r/pk6/1p1bp2r/2p1np2/1PPp2p1/PR1P2P1/3N1PKN/7R b - -,e5f3
4r1k1/2R5/6R1/3n2p1/6K1/7P/5P2/8 b - -,g8h8
r5k1/5ppp/1p2pP2/r2bP1PP/1p2p3/1P6/1BP3B1/1K1R3R w - -,h1e1
1qrb1r1k/1b3ppp/pp1ppn2/4n3/2PNP3/2N1BP1Q/PP4PP/2RR1BK1 w - -,b2b3
rn1q1rk1/1b2ppbp/p2p1np1/3N2B1/1p1NP3/1B5P/PPP2PP1/R2QR1K1 b - -,e7e6
2b2B2/6p1/p1p3k1/P3qp2/1P3K2/4P3/6P1/8 w - -,f4e5
rnbq1rk1/pp2ppbp/5np1/8/2p5/N5P1/PPN1PPBP/R1BQK2R w KQ -,d1d8
1krq4/p2n1rp1/Pp2p2p/2ppP2P/1P3PP1/2P1Q1K1/4N3/RR6 w - -,c3c4
3rr1k1/1bq2pbp/pp1ppnp1/2n5/2P1PP1Q/2N2N2/PP1B2PP/1B2RR1K b - -,d6d5
3r1bk1/R4p2/2q1p1p1/4PbPp/1Pp2P1P/2B5/1KP1Q3/2N5 w - -,c1a2
rnbq1rk1/pp1pppbp/5np1/2pP2B1/2P1P3/2N5/PP3PPP/R2QKBNR b KQ -,h7h6:d8a5
r1brn3/ppk4p/2n2pp1/3B2P1/2P1PP1P/BP6/P7/2KR2R1 b - c3,d8d7
5r1k/pp2p2p/2n1qpp1/2P5/5P2/4P3/PBQ3PP/3R2K1 w - -,g1f2
8/4b1pp/bp2k3/3n4/pP1P3P/P3B1P1/5PK1/2R5 w - -,g2f3
r2qr1k1/1b1n1ppp/p1pbpn2/1p1p4/2PP4/1PN1PNP1/PB2QPBP/2R2RK1 b - -,a8c8
3rqrk1/pn3pbp/6p1/3Npb2/8/1Q4P1/PP3PBP/2R2RK1 w - -,b3b7
r1b1kbnr/ppqp1ppp/2n1p3/8/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
r2q1rk1/4bpp1/p4nbp/2Np4/Pn6/1P2BN1P/4BPP1/R2Q1RK1 w - -,c5d3
r3k2r/1bq1pp1p/pb1p1np1/1p6/4PP2/3P4/PPB1N1PP/R1BQ1R1K w kq -,c1d2
8/p1k5/1pp1pNPR/4P3/1P6/P1n1K3/6r1/8 b - -,c3d5
r2r2k1/1bq1bppp/ppn1pn2/2p5/2P5/2N1PNP1/PB1PQPBP/1R1R2K1 w - -,b2a1
r4rk1/1pqnbpp1/2p5/4p2R/1n1PP1P1/pPN2P2/P2BB3/1KQR4 b - -,g7g6
r2q1rk1/4bp2/pn1p2pp/1ppb4/8/P2QPNB1/1PB2PPP/R2R2K1 b - -,d5e6
1b4rk/pq2np1p/1p2p3/3P1p2/1P6/P3N2P/4QPP1/3R1NK1 b - -,f5f4
r1b1Qb1r/p3R1kp/1qp3p1/3p2p1/3P4/5N2/PP3PPP/R5K1 b - -,f8e7
8/8/5B2/7k/5Kp1/4N3/p4P2/N5r1 w - -,e3d5
r4rk1/1pqbbppp/p2pp3/n7/P1N1P1P1/4B3/1PP1QPBP/R1RN2K1 b - -,a5c4
r3k2r/p3pp1p/2p1b1p1/q1P3B1/8/2b1P3/P2N1PPP/2RQK2R w Kkq -,d1c2
rnbq1rk1/ppp1bppp/4p3/3n4/3P4/2N2N2/PPQBPPPP/R3KB1R b KQ -,b8a6
r4nk1/1p3pqp/p1p3p1/2P1rb2/1P2N3/2QB3P/P4PP1/R4RK1 w - -,e4d6
r2qk1nr/pp1b1ppp/2B1p3/3pP3/8/P1Q5/1PP2PPP/R1B1K1NR b KQkq -,d7c6
2k2b2/3b3p/4n1p1/B3Q3/p5P1/2N4K/2q1B2P/8 b - -,c8b7
1Q6/5r1k/4pPp1/7p/1P2q2P/P1B5/1KP5/8 b - -,e4f5
5r1k/2R1P3/6K1/7P/6P1/8/8/8 b - -,f8g8
r2q1rk1/1bpnbppp/1p2pn2/4N3/p2P4/P5P1/1PQNPPBP/R1BR2K1 b - -,b7g2
5k2/4R3/5P2/5K2/5P2/8/8/r7 w - -,e7d7
8/2p2b1p/2kn1p2/1pbr4/1P3P2/4BNP1/P3K2P/2R5 b - -,d6e4
R2b3k/3q1r1p/3pnNp1/1p2p1P1/1P2P1P1/P3B1K1/2Q5/8 b - -,d7b7
r2r2k1/5p1p/1pp3p1/8/1pPpPP1b/PK5P/4BP2/3R1R2 w - -,a3b4
8/pp3k2/2p5/2P5/R4P2/1bP2KPP/3r4/8 w - -,a4a7
8/1p1r4/8/1RN1pkpp/P4p2/7P/4K1P1/8 b - -,d7c7
3k2r1/pb1r1p1p/1p1p1n2/4n3/2PRpN2/P6P/1BP1BPP1/2KR4 b - -,d8e7
3bqrk1/3b3r/1p3p2/2pN1P2/2npP2P/1R6/6B1/1RBQ2K1 w - -,b3g3
2r1r1k1/pb2pp1p/1p2nnpb/3qN3/P2P4/4RNBP/1P3PP1/3QRBK1 w - -,e3e2
r1b2rk1/p4p2/2pq2pQ/2np2P1/4p2N/2P1P3/PP3P1P/2KR3R w - -,f2f4
r1b1k2r/ppp1ppbp/2nq4/8/8/2P5/PPQB1PPP/2KR1BNR b kq -,d6g6
1r3qk1/2Q3pp/1PB1pn2/p1N5/P1b5/8/6PP/3R2K1 w - -,c5e4
4b1k1/p4q2/3r1rp1/1pP1Q3/7R/8/P4P2/6K1 w - -,c5d6
r4k2/p3pp1p/b1p3p1/2P5/3N4/4P3/P1K2PPP/7R b - -,a6c4
1r3rk1/5p2/5Qp1/3Pp2n/1p1q2p1/8/P4PB1/4RNK1 w - -,f6g5
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2PP4/P1N1P3/1PQ2PPP/R1B1KBNR b KQkq -,g7g6
r4b1k/pb4pp/1pp2n2/8/Q1PPBq2/5P2/PP5P/1K1RR3 b - -,f4c7
r3kb1r/p4ppp/4p1n1/3pBN2/7q/1P5P/P2Q1PP1/R3R1K1 b kq -,h4d8
1r1q1rk1/bp2npp1/1n1p3p/1P1Pp3/6b1/1QN1PPP1/4N1BP/1RB2RK1 b - -,g4h5
6k1/3nppbp/3p2p1/3P4/4PP2/6PP/PB1nq1BK/2QN4 w - -,d1c3
1r3r2/p4pkp/1p2p1p1/1b6/1P2P3/3R2P1/5PBP/1R4K1 w - -,d3a3
1r1q1rk1/2p1npbp/p1bp1np1/8/2N1PP2/1PN3PP/P4BB1/2RQ1RK1 b - e3,f6d7
r1bqk2r/pppn2bp/3p1pp1/4p1B1/2PPP1n1/2N2N2/PP1Q1PPP/R3KB1R w KQkq -,g5h4
1R6/2r5/8/8/8/p7/k2K4/8 b - -,a2a1:c7h7
8/5pk1/3p4/3P1qpp/8/5KPP/3Q4/8 w - -,f3g2
6k1/p1R3n1/1p3b2/3p1qpQ/3Pp3/4r1B1/PP4KP/6N1 w - -,h5f7
3r3r/1pqn1pkp/p1bp2p1/P3p3/1PP1P3/R2B4/3NQPPP/4R1K1 b - b3,d7f8
8/4k3/1bB2pp1/1N5p/1P3P2/1b2PKP1/7P/8 w - -,b5d4
2r1r1k1/1b1n1pbp/pq1p1np1/1ppP4/P3P3/BP1B1N1P/2QN1PP1/2R1R1K1 b - -,f6h5
2rq1bk1/1b1n1ppp/p7/1p1n4/3N4/1P4N1/PBB2PPP/3RQ1K1 b - -,g7g6
r1bq1rk1/1pp2ppp/p1Bbpn2/8/3P4/2N1PN2/PP3PPP/R1BQ1RK1 b - -,b7c6
6k1/1p3rb1/p1pB1pR1/3p1Rp1/1P1Pr1p1/2P3K1/5P2/8 w - -,d6c5
q1rb4/pb1r2k1/1p1pnp1p/3Np1pP/1PP1P1P1/PQR2PK1/B4B2/2R5 b - -,e6f4
8/p5k1/1p2pp2/1P6/P2b1PP1/2Br4/1P4K1/7R w - -,h1h3
8/p4k2/2p4r/1pR1PK2/1P6/8/P1P5/8 w - -,c5c3
rn1qk2r/pb2bppp/1p2pn2/2pp4/2PP4/2BBPN2/PP1N1PPP/R2QK2R w KQkq c6,a1c1
r1b2rk1/p1qn1ppp/1pn1p3/2b1P3/3p4/1N1P1N2/PP1B1PPP/R2QRBK1 w - -,a1c1
4kb1Q/p4p1p/8/8/Np2q1KP/1P4P1/PB1P1P2/4r3 w - -,f2f4
8/5pk1/ppr3p1/P1p1P1Pp/2R5/6P1/5PK1/8 w - -,a5b6
8/8/6k1/8/6PP/r5K1/6R1/8 w - -,g3h2
r2qk2r/1p2bpp1/1np1pn1p/p4b2/3PN3/1BP2N2/PP1BQPPP/R4RK1 w kq -,e4g3
r4rk1/2qnppbp/p1np2p1/2p5/Qp2P3/2PPBN1P/PP3PP1/R3RBK1 w - -,d3d4
r7/4krq1/2bp1n1R/1P2p1p1/4npP1/pPN2P2/P3B2Q/1KB4R w - -,f3e4
8/6n1/5k2/7p/5Kp1/6P1/4N3/8 b - -,g7e6
r1br4/1p2ppkp/6p1/NR1n4/8/6P1/3PPPBP/3R2K1 b - -,d5c3
r4rk1/1p3pb1/1qbp1Bp1/p3p2p/2P1P1PP/2N2P2/PP1QB3/R3K2R b KQ -,g7f6
3r1nk1/2qr1pp1/pp2p2p/2pnP3/6Q1/2P2N2/PPBR1PPP/3R2K1 b - -,b6b5
r3rbk1/2qb1pp1/2pp1nnp/pp2p3/P2PP3/2P2NNP/1PBB1PP1/R2QR1K1 w - -,c2d3
2rr4/p3kpBp/1q2p3/3n4/1p2N3/1P1P1PP1/4P1KP/1Q3R2 b - -,f7f5
r2q1rk1/pbpnnpbp/1p1pp1p1/8/2BPP3/2P1BN2/PPQN1PPP/R4RK1 w - -,f1e1
6k1/5pp1/3rq2p/3p4/3RP2P/6P1/3Q1PK1/8 b - -,h6h5
3qr1k1/pp3pbp/4b1p1/2rN1p2/2B2Q1P/2P2P2/PP4P1/1K1R3R w - -,h1e1
2r5/p1r2kb1/Pp1nppp1/3p4/3P1P2/4PP2/1P1R1NBK/R7 w - -,f2d3
6k1/1q4p1/2p5/2Pp1Pp1/p2P1bP1/P4Q2/2K5/4N3 w - -,f3d3
4k3/2R2p1p/1p1P2p1/pr6/8/6PP/5P2/6K1 w - -,c7e7
r5k1/p3nqpp/1ppbbpn1/8/2pP3P/1Q1BNNP1/PP1B1P2/2R3K1 w - -,d3c4
r1b1kb1r/p3q1pp/2p2p2/n7/7P/3PBp2/PPP2PP1/RN1QKB1R b KQkq -,e7b4
r4rk1/5ppp/2p4P/3ppbq1/1PP1n3/4P3/2Q2PP1/1RB1KB1R w K -,c2b2
r1bq1rk1/pp1pbppp/2n5/2p1P3/2B2pn1/1P3N1P/PBPPQ1P1/RN2K2R b KQ -,d7d5
r1bq1rk1/pp2n1pp/2n1pP2/2pp4/3P2Q1/P1PB1N2/2P2PPP/R1B1K2R b KQ -,f8f6
r3r3/2p3bk/p5pp/2P1Np2/PP1Bp3/3b2PP/5P2/2R1R1K1 w - -,e5d3
1r1bk3/1rq2p2/R1p1p1p1/1pPp1bPp/1P1P1P1P/4P3/8/R2QBBK1 b - -,c7d7
r2rn1k1/1bp1q1b1/1p1p1npp/pN1Pp3/P1Q1Pp2/2P4P/1P1NBPPB/R2R2K1 w - -,b2b4
8/4pK2/3k1p2/4r3/8/8/8/3R4 b - -,d6c5
8/2q1p1kp/6p1/8/4R1Pb/4Q2P/6K1/8 b - -,c7c2
r2q1rk1/pb3ppp/1pn2n2/3p4/1b6/2N1PNP1/PP1Q1PBP/R1BR2K1 w - -,d2d3
4rr1k/Bnn3bp/5q2/1P1Ppp2/P7/1Q3P2/2R3PP/4RBK1 b - -,f6f7
1rb1r1k1/2q2pbp/p2ppnp1/N3n3/2P1P3/2N1BP2/1P1Q2PP/R1R2BK1 b - -,e5c6
8/1B5p/3k4/P1N2p2/1Pn5/6P1/2b4P/6K1 b - -,c4a5
r4rk1/pp2q1bp/4p1p1/1b1pP3/5PQ1/4P3/PP3BBP/2RR2K1 b - -,e7f7
