1R6/4k3/7K/4P1P1/8/8/4r3/8 b - -,e2h2
1r1r4/6k1/5bb1/6p1/4p1Qp/1BP1B2P/PP4P1/6K1 b - -,b8b5
8/2n2kp1/4p2p/2pr3q/5P2/P1B1Q3/1PP5/1K4R1 b - -,d5d1
2rq1kr1/1p6/p2n4/P3p1p1/4Pn1b/4B2P/1PPQ1PB1/3R1RK1 w - -,d2d6
2n2R2/ppk2Nr1/4p3/n2pP1N1/2pP3p/P1P5/1P3P1K/8 b - -,g7g6
r1bq1rk1/2ppbppp/p1n2n2/4p3/Pp2P3/1B3N2/1PPPQPPP/RNB2RK1 w - -,a4a5
6k1/p3bpp1/1p2p2p/4P3/r2P1P2/PrP5/1BR3PP/R4K2 w - -,c3c4
2n2rk1/2qr1pb1/1p2p1pp/p1p4P/P1P1P3/1QP1RNP1/5P2/1R3BK1 b - -,g6g5
3r1rk1/ppq1ppbp/1np3p1/4P3/2PP2b1/1BB2N1P/PP2Q1P1/R3R1K1 b - -,g4f3
r4qk1/ppnb2bp/3p1pp1/2pP3n/P1P5/2NB1N1P/1P1B1PP1/R3Q1K1 b - -,f6f5
r4rk1/1bqpb1pp/p3p3/2pnB3/PpN5/1P1P2P1/2PQ1PBP/4RRK1 b - -,d7d6
r1bq1k1r/pp1n1ppp/5b2/2p5/Q1B5/2P2N2/P4PPP/R1B1R1K1 b - -,d7b6
2r2rk1/pp1nbpp1/1q2p2p/3n4/3PN3/P2Q2P1/1P1B1PBP/R2R2K1 w - -,b2b4
8/8/6n1/1pP1k1P1/1P2p1Kp/2P5/3B4/8 b - -,e5d5
8/p3k1pp/1p3p2/P2R4/1r2KP2/8/6PP/8 w - -,e4f5
5k2/p6p/1p1Q4/8/1P2P3/3P1P2/2r2P2/4KNq1 b - -,f8f7
r1br2k1/ppqn1pb1/2p2n1p/2P1p1p1/4N3/2N1P1B1/PPQ1BPPP/R4RK1 b - -,f6d5
r3r1k1/1ppq1ppp/p1nb1n2/4p3/8/PNNP1QBP/1PP2PP1/R3R1K1 b - -,e8e6
2r2rk1/pbq1bppp/1p2p3/2ppP3/4N3/PP1BP3/1BP1QPPP/2R2RK1 b - -,d5e4
r1bqk2r/ppp1bppp/2p5/8/3PR3/5N2/PPP2PPP/R1BQ2K1 b kq -,e8g8
r2qk2r/1p1n1ppp/p2p4/3Ppbb1/8/1N1B1P2/PPP2BPP/R2QK2R b KQkq -,f5d3
8/8/5k2/2R2p1p/r6P/5KP1/8/8 b - -,a4a3
8/5r2/1k3p2/p1p1PPp1/3b2P1/1P1n1B2/6K1/2R5 w - -,e5e6
8/p3rqkp/R4p2/4pQ1p/1P6/2P4P/1P3PPK/8 w - -,a6d6
6r1/5k1p/pp1p4/5P2/2PKPBn1/1P6/P3B3/8 b - -,g4e5
Q7/p2kp2q/3p1p2/6B1/6P1/1Nb5/P1P5/1K6 w - -,a8a7
8/5k2/p3R1p1/1p1P3p/2p2K1P/P1P3P1/1P6/3r4 w - -,f4e5
3r1k2/1R2bppp/4p3/3BP2P/1P1p1P2/3P2P1/3B4/6K1 b - -,d8d5
1bR5/1P1n4/8/3k3p/5p1P/5P2/4K1P1/8 b - -,b8e5
6k1/r4p2/NR1P2pp/1Bp1pbb1/8/2r5/5PPP/4R1K1 w - -,h2h4
3r1rk1/p3bppp/bpq5/2pp4/3Pn3/1P2P1P1/PBQ2PBP/RN2R1K1 w - -,b1d2
r2q1rk1/1b3pbp/p1pp1np1/1pnPp1B1/2P1P3/P1N2P2/1P1QBNPP/R3K2R w KQ -,d2c2
1rb3k1/2q1b2p/2p1prp1/p7/4QP2/2PB4/P5PP/R1B2R1K w - -,c1e3
1k6/1b5p/1Q1p2pb/p2q4/Pp6/8/1PR3P1/1K6 w - -,b6d8
rnbqkb1r/ppp2p1p/3p2p1/8/2NP4/2P5/P1P2PPP/R1BQKB1R b KQkq d3,f8g7
R4bk1/3R1p2/4nP2/1p2P2p/p5p1/8/PP5P/4K3 w - -,e1f2
2Rnr3/4b1k1/3p4/1p1Bp1p1/1P2P3/3P2PK/3B4/8 w - -,h3g4
4b1r1/2p4R/1p1p1k2/p2PpP2/P1P1B2K/1P4P1/8/8 b - -,g8g7
2kr3r/ppq1ppb1/2p1b2p/4N3/P1pPPP2/1nQ1B3/1P4BP/1R3RK1 b - -,g7e5
1n2r3/5k1p/2p3p1/pp1nP1P1/4P3/PP3qP1/1BQK1P2/4R3 b - -,d5c7
2R5/p5p1/r7/3k3P/2p3P1/6K1/8/8 w - -,g3f4
r2qrbk1/2p2p1p/p5p1/1p6/3R4/1PP2n1P/P4PP1/R1BQ2K1 w - -,d1f3
1k2r3/r4p2/q3b1p1/1p1pPpNp/1QnP4/P2N4/2R2PPP/2R3K1 w - -,d3c5
2rq1r1k/1ppbbpp1/p1n1p2p/6n1/2BP3N/P1N1P1B1/1P2QPPP/3RR1K1 w - -,d4d5
7k/8/7P/2K1p1Pb/4B3/8/8/8 w - -,c5d6
8/7p/1p4p1/3B1k2/P7/1P4P1/2r4P/6K1 b - -,c2b2
3r1rk1/pbq4p/1p1bpp2/2p1np1N/2P4N/P1BPP3/1PQ1B1PP/R5K1 b - -,d6e7
r2r2k1/pp1q2b1/4bp1p/2pNp1pB/2PnP2P/5PB1/PP4P1/1R1Q1RK1 b - -,d7d6
8/8/4k3/8/5K2/8/5P2/8 w - -,f4g5
2Q5/4kpp1/5r2/4p3/1P2q3/1K5P/2P5/8 w - -,c8c7
1k1r4/pppq1pp1/3bp2r/3nB1N1/5P1P/1P5R/P1PPQ3/2K1R3 w - -,e2f2
4kb2/2R3np/2N1p3/1pPpPpp1/1P3P2/r3P1P1/6BP/6K1 w - -,g2f1
r4r2/p3b1pk/R1p1B3/5b1n/3B2qP/2N1Q3/1P3P2/4R2K w - -,e6f5
r2q1rk1/4pp1p/n7/1p4b1/1P1Pp3/p1B1P1P1/Q4PBP/2R1R1K1 b - -,a6c7
2b5/2P5/2R5/4K3/8/5rkp/8/8 b - -,h3h2
r4rk1/pp1b1p2/6pb/2pPP3/8/4KN1P/PP6/R4B1R w - -,e3f2
1r3rk1/p1qnnpp1/Bp5p/2p5/3PpPP1/P1Q1B3/1PP4P/2KR1R2 w - -,d4d5
r4rk1/2pq1ppp/p3n1b1/1p1pP3/3P2PN/bBP2Q1P/P4P2/R1B1R1K1 b - -,g6e4
r1b3k1/qp4p1/n2p3p/3Pp3/pPPnN2P/P3Nr2/6K1/1R2QB1R w - -,e4d6
2b5/5p2/ppr1k2p/4p3/1PP2p2/3B1P1P/P1K1R1P1/8 w - -,c2b3
1rnqnbk1/3b2r1/3p4/p2Pp1pp/N1N1Pp2/5P2/P3B1PP/2RQBRK1 w - h6,e1a5
3r2k1/p1p3p1/2b1p1p1/2P5/2p2P2/8/P1Pr1BPP/2R1R1K1 w - -,e1e6
rnbqk2r/pp3ppp/5n2/2pp4/3P4/P1P2NP1/4PP1P/R1BQKB1R b KQkq -,d8a5
4k3/P4R2/6PK/4p3/8/8/8/r7 w - -,h6g7
2rqr1k1/p2bppbp/3p1np1/4n3/1p1NP1PP/1B2BP2/PPPQN3/1K1R3R b - -,a7a5
4r3/1p4r1/p1p2k1p/2P2p2/2BPbK2/2P1R2P/P3R3/8 w - -,c4d3
r1bqk2r/pppp1pb1/2n5/4P1pp/2P3nP/5NB1/PP2PPP1/RN1QKB1R w KQkq -,b1c3
r1br1qk1/pp1n1p1p/2pP2p1/4p1N1/2P5/8/PPQ1BPPP/R2R2K1 b - -,c6c5
2rq1rk1/p2nbppp/2p1pn2/1p2N3/3P4/4P1P1/PP2QPBP/RbBR2K1 w - -,e5d7
6k1/ppn1n1pp/5p2/3pP3/8/1P2N1P1/P4PBP/6K1 w - -,e5f6
r1bqk2r/1p2ppbp/p1np1np1/8/4P3/2N1BN1P/PPP2PP1/R2QKB1R w KQkq -,f1e2
6k1/pr6/5pp1/3pp3/6b1/3P1N2/P3QPPK/2r2N2 b - -,b7b1
r2r2k1/3n1ppp/2p1pn2/ppP2b2/1P1P4/PB3P2/1B1N2PP/R3R1K1 b - -,a5b4
2r2r2/4ppkp/p2p1np1/1b6/1p2PP2/1N1P3P/PP1R1KP1/2RN4 b - -,e7e5
2r2rk1/p4ppp/1p2b3/1q1p1n2/3P4/1P2B1P1/P2Q1P1P/R1R2BK1 b - -,b5d7
1k1q2r1/pp6/2bbp1rp/n2p4/2pP1p2/P1P1PB1P/1PQ1RBP1/5RNK b - -,d8g5
r2q3r/1bp1bkpp/p1n5/1p1p3Q/3pn3/1BP5/PP3PPP/RNB1R1K1 b - -,f7f8
r3k2r/pp1q1p2/1n1bpQp1/4P1p1/1n1P4/8/PP3PPP/R1B2RK1 w kq -,f6h8
1r3bk1/3n1p1p/ppqPr1p1/2pRp1B1/P3P3/2P1N2P/4QPP1/R5K1 b - -,b8a8
q3rbk1/5pp1/p1Rp3p/3n4/1P2p3/PN2B2P/4QPP1/6K1 w - -,c6a6
3r3k/1q4bp/3r2p1/1p6/2p1PP2/P7/BP2R1QP/5R1K b - -,d6d1
6k1/5p2/2N3p1/1P2P1rp/8/4n3/1KP2R1P/8 w - -,b2b3
8/R7/4pk2/4p1p1/4PnPp/5P1P/5K2/1r3B2 w - -,a7d7
r4rk1/1p1B1p2/n7/p5p1/3B3b/P7/1P3P2/K5RR b - -,f7f6
r2q1rk1/p1pn1ppp/1p2pn2/8/1P1Pb3/P4NP1/2Q1PPBP/R1B1K2R w KQ -,c2b2
r1br2k1/pp2ppb1/2np1npp/8/4P3/2P2N1P/PP1NBPPB/R2R2K1 b - -,c8e6
r1b2rk1/pp2q1bp/2p3p1/4p1Bn/4P1n1/P1N2N2/1PPQBP1P/2KR2R1 b - -,e7f7
2kr1b1r/5p2/p2pb2p/2pP2pn/Bq2P3/5N1P/3N2PQ/R3K1BR b KQ -,e6d5
6k1/4Npbp/6p1/1pP1p3/r3Pq2/7P/P2n4/RNR2B1K b - -,g8f8
8/5k2/4N3/5K2/6PP/8/8/3b4 w - -,e6f4
r7/pp1bn2B/3k3p/3pp1b1/1P1p4/P4P2/3N2PP/R2K3R w - -,h7d3
4R3/kpp5/p1p5/P4p2/2P2Pp1/1r4Pp/5KnP/2R5 w - -,c1c2
7k/p2n4/bp1B2rp/1R2P3/3P2P1/5P2/P7/2K5 w - -,b5b3
r1bqkbnr/p4ppp/2p1p3/2pp4/4PP2/2N2NP1/PPPP3P/R1BQK2R w KQkq d6,d2d3
rnb2rk1/ppq3bp/4p1p1/1BPp1p2/3Q1P2/2N1PN2/PPP3PP/R3K2R w KQ -,f3e5
r1bqrn1k/ppp4p/3p1bp1/4p3/4P3/1BPP4/PP1N1PPQ/R3K1NR w KQ -,d2f3
6r1/r4k2/p1bppp2/1p6/4PP1p/7B/PPP2b1P/1K2RR2 w - -,f1f2
r4rk1/p4ppp/1pnqp3/6b1/2PP4/3Q4/P4PPP/R1BR2K1 w - -,c1g5
2r2rk1/1q2bppp/1p2p3/2p1P3/5B2/6P1/PP2QP1P/R2R2K1 w - -,e2g4
6k1/3R1pp1/ppr4p/8/4pP2/2PbB2P/PP4P1/6K1 w - -,g1f2
6R1/8/3p1k2/3Pp3/4Pr2/1p2K2p/1P6/8 b - -,f4h4
8/7p/6p1/1p1k1pB1/1P3P2/2PK1P2/5b1P/8 b - -,f2g1
r1bqk2r/1p1nbp1p/p2ppp2/1B6/3QP3/2N2N2/PPP2PPP/2KR3R w kq -,b5d7
r1bqk2r/4bppp/p1np1n2/1p2p3/2N1P3/2N1B3/PPP2PPP/R2QKB1R w KQkq b6,c4b6
6k1/1p4b1/r2p2q1/2pP1r1N/P1P2P2/R3p1Pb/4B3/1Q3RK1 b - -,h3f1
8/1pr1qk2/p2Rp3/P1Pp1p1p/1Q1P2p1/4P1P1/5PKP/8 w - h6,b4b6
1rb2rk1/1pqnppbp/p2p1np1/2p5/P1PP4/1PN2NP1/2Q1PPBP/R1BR2K1 b - a3,c5d4
r3k2r/pppb1ppp/2np4/2b5/2P2P1q/P1NBP3/1P4PP/R1BQ1R1K b kq -,f7f5
2rr4/8/4KQ2/1P6/8/8/P3k3/8 b - -,e2d3
1r2q1k1/3np2p/1n1p1ppB/2p5/r1P1PPPP/P1RQ1R2/6K1/5N2 b - -,e8f7
8/8/2p1kpp1/1nP1p2p/1P1pPP1P/3K2P1/8/4B3 b - -,b5c7
3k4/5ppp/p1r5/2B5/PP3n2/7P/5PP1/4RK2 b - -,f4e6
6r1/1p1k2rp/p1bp4/8/1PP1P2Q/7B/P6P/7K b - -,d7c7
4r1k1/7q/ppr2Bp1/3Q1p2/1PP3n1/8/P5PP/2R2R1K b - -,c6e6
r1r3k1/1bq2p1p/p3p1p1/3pP3/3b1PB1/2P4Q/1P1n2PP/R2R2BK w - -,g1d4
rn3rk1/1p2qppp/4b3/2p1p3/n7/P2PPN2/2Q1BPPP/R1B2RK1 b - -,b8c6
r4rk1/pp2q1p1/2p4p/3pPb2/3PpP2/1Q5B/PP2P2P/R4RK1 b - -,e7d7
8/8/6N1/4p2P/p2n4/1k6/4KPP1/8 w - -,e2e3
rn2kbnr/pp2pppp/1qp5/5b2/3P4/1N6/PPP2PPP/R1BQKBNR b KQkq -,g8f6
8/p3k3/P1K4p/1P5P/8/2n4B/8/8 b - -,c3a4
1r2r2k/5pp1/3pq2p/1p2n1bN/p2BP3/2P4P/1P3QP1/R4R1K b - -,b8b7
r3rbk1/pp1b1pp1/7p/3p4/3P1B2/P5N1/1P3PPP/2R1R1K1 w - -,e1e8
r2q1rk1/ppp2ppp/1nn2bb1/3p4/2PP4/2N1BN1P/PP1QBPP1/R4RK1 w - -,c4c5
4k3/6p1/pR6/5N2/8/2Pn1P2/1Pr5/6K1 w - -,f5d6
3r1rk1/1p2bppp/1pp1p3/8/2PPn3/7P/PP2BPP1/R1BR2K1 w - -,c1e3
r2r2k1/pp5p/2np2p1/2p5/2P3B1/P1P5/5PPP/1R1R2K1 w - -,b1b7
5k2/3R1p1p/p1P5/1p3Nb1/8/5P2/P4PK1/2r5 w - -,f3f4
8/p7/8/1n1pp2p/5k2/1NP4P/2K3P1/8 w - -,b3d2
4q3/7k/4p1pP/p3Pn2/b1pp1B2/P1p5/1rP2P2/2RQ1KR1 b - -,d4d3
1r1q1rk1/2pb1pbp/2nppnp1/1p6/1P1P4/P1N2NP1/4PPBP/1RBQR1K1 w - -,h2h3
8/1K4Q1/8/1P1p4/3P1pk1/8/q7/8 b - -,g4f5
r1b2rk1/pp2ppb1/n5pp/1N1n2B1/8/2PB1N2/PP3PPP/R3K2R w KQ -,g5d2
rnbq1rk1/ppp2pbp/3p1np1/4p3/1PP5/2NP2P1/P3PPBP/1RBQK1NR b K -,a7a6
5rk1/7p/6p1/3p4/P7/8/5PP1/4R1K1 w - -,a4a5
5n1k/1pr4p/p1b2b2/P3pP2/8/1NN1B2P/1PP2R1K/6r1 w - -,h2g1
q7/2knrp2/2b1p1p1/6P1/1Q6/2N5/PPP4P/2KR4 b - -,c7d8
r5k1/p3qppp/4p1b1/1Qn5/4P1P1/2N4P/PP3PB1/2R3K1 w - -,c3e2
3r1k2/1p3pp1/p3n1p1/8/2N1b2P/1P6/P4PP1/2R1NK2 b - -,d8d4
r1b1kb1r/1pq2ppp/p1n1p3/3n4/2P5/1N6/PP2BPPP/RNBQ1RK1 b kq c3,d5f6
r3k2r/pp1qbppp/5n2/3p4/3Nn3/1N6/PPP2PPP/R1BQ1RK1 w kq -,c1f4:f2f3
8/3r1pk1/1p1p1qp1/1N6/2P1QP2/1P4P1/1b2R1K1/8 b - -,d7d8
r1q2rk1/1p2bppp/8/pBNbp3/3B4/5P2/PPP2QPP/R4RK1 b - -,e5d4
5R2/3r2qk/1p4p1/pP5p/P6P/3p2P1/Q6K/8 w - -,f8f2
r1b3k1/3qB1bp/pp1pp1p1/2p5/4P2Q/1PNP4/1PP3PP/5R1K w - -,e4e5
r1b2rk1/2qpbppp/p1n1pn2/1p6/3NP1P1/2N1BP2/PPPQ3P/2KR1B1R w - b6,h2h4:c1b1:g4g5
3r3r/1k1P1P2/1q5p/5Pp1/Q2R4/1pP5/7P/5RK1 w - -,f1b1
3r1rk1/pp2q1p1/2pNpp1p/4P1bP/2QP2P1/8/PPP5/1K1R1R2 b - -,f6e5
3r2n1/7k/1pp2p1P/p7/P6Q/5P1R/1Pnq2r1/6K1 w - -,g1h1
r3kb1r/pp1n1ppp/2p1pn2/q7/3P1B2/2N2b1P/PPP1BPP1/R2Q1RK1 w kq -,e2f3
2r2rk1/3nbp2/pp2pn1p/6p1/2PPq3/7N/PB2QPPP/1N1R1RK1 w - -,e2e4
8/pppk3p/5r2/3Pp1p1/2n1P3/5P2/PP2NK1P/6R1 b - -,c4d2
2rqk3/Q1p5/3p2rp/3Np3/2P4b/8/PP4BK/R1B5 w - -,a7b7
5qk1/1p4b1/p2p2p1/3Pp3/2Q1P1b1/1P1BB1Pp/P6P/6K1 w - -,d3e2
r1bq1rk1/1p1n1ppp/p2pp3/8/Q1PN4/2P3P1/P3PPBP/R2R2K1 b - -,a8b8
r1b5/1p4pk/pn5p/3P2q1/3p2P1/3P2N1/PP4BP/R4Q1K b - -,c8g4
2r1r1k1/1p4b1/p2R1npp/2p1p3/2P1P3/1P3NP1/PB3P2/4R1K1 b - -,c8d8
8/p7/8/2K5/3Q2k1/1PR5/P7/5rq1 b - -,g4f5
8/1p1k2p1/pQ1n1p2/P1PBp2p/4P3/7q/8/6K1 b - -,h3g4
5rk1/p6p/1p2p1p1/3p4/1q1b1B2/1P6/P1Q4P/3R1R1K b - -,d4g7
r3kbnr/ppp2ppp/2n1b3/8/3Pq3/3QBN2/PP3PPP/RN2KB1R b KQkq -,e4d3
3r1rk1/pb2qppp/1p2P1n1/2pp3Q/8/2P2N2/PP3PPP/2R1RBK1 b - -,g6f4
rn1q1b1r/p4p1k/3p1Pp1/1PpPp1Pp/4P2P/P3B3/3QB3/1R2K2R w K -,a3a4
2rrb1k1/1p3pb1/p3p1pp/3n4/3P2P1/1N2PPBP/1P2BK2/R1R5 w - -,c1c8
r3r1k1/5pp1/2q2n1p/4p3/4P3/1R3Q1P/1B3PP1/4R1K1 b - -,a8a4
r6r/pp1kb1pp/1qn1p3/3p4/2pPpB2/1PP1P3/P1Q1BPPP/R3K2R b KQ -,c4b3
rnbqkb1r/p2p1pp1/1p2pB1p/2p5/3PP3/2P2N2/PP3PPP/RN1QKB1R b KQkq -,d8f6
r4r1k/2p3p1/3p3p/1R2p3/4b3/2P2P1P/6P1/1R5K w - -,f3e4
rnbq1rk1/pp2ppbp/5np1/3p4/2PN4/N5P1/PP2PPBP/R1BQ1RK1 b - -,b8c6
8/8/5pk1/6p1/pp3q2/3Q3P/P1P5/1K1R4 b - -,g6g7
1r1rbk2/2N1pp1p/1p4pb/5n2/1P1P4/P1N1PBP1/5K1P/2R1R3 b - -,e7e5
