8/1B4p1/8/5np1/5k2/8/5K2/8 b - -,g5g4
rn1qkb1r/pb1p1ppp/1p2pn2/6B1/3P4/5N2/PPPN1PPP/R2QKB1R w KQkq -,f1d3
r3r1k1/1b2qp1p/p4np1/3Pp3/Ppp1P2Q/4R1NP/1PB2PP1/R5K1 w - -,h4h6
r5k1/3bppb1/p2p2p1/6Pn/4P3/1P2KP2/2P1N3/3R3R b - -,a8c8
r2q1bk1/2pn1p1p/1p1p2p1/pQ1Pr3/P7/1P2N1P1/4PPBP/R4RK1 w - -,e3c2
2r1b1r1/pp4qk/3bpp1p/3p1p2/3PnP1Q/P2BNR2/1PP1N1PP/3R3K w - -,d1g1
4R3/1b3nkp/pp1r2p1/8/1PPb2q1/2N5/PBB3PP/5R1K w - -,c3e4
3r2k1/5pp1/p1pB4/4P2p/1PBbN1r1/P5K1/8/4R3 w - -,g3f3
3r3r/1p4k1/p1b2p2/P3p1pR/1BPp4/3P1P2/2P1RKP1/8 w - -,h5h8
3rn1k1/pp1q1pp1/4b2r/2p5/2P4p/4Q3/PBB2RPP/4R1K1 b - -,b7b6
rn1q1rk1/pp3ppp/4pnb1/2p5/PbNPP3/5P2/NP3KPP/R1BQ1B1R b - -,b8c6
8/6pk/2qr3p/5P2/3Q4/P5PP/5P1K/5B2 w - -,d4e3
2k1rb1r/6pp/pq1pp3/1p1N2P1/4P3/1P5Q/P1P4P/2KR1R2 b - -,b6c5
5rk1/5ppp/1p6/1PpQB3/7q/P2P4/6P1/5K2 b - -,h4g5
1Rbr4/1p3kpp/3p4/2pp1p2/3P1P2/4R1P1/4P2P/6K1 b - -,h7h6
8/p5k1/1p3n2/6p1/2B1p1P1/P3Nb1P/5K2/8 b - -,f6d7
1k3r2/1pp2p1R/p4qp1/4p3/4PbQ1/1BPP4/PP2K3/8 b - -,f8h8
8/7p/8/1k3p1p/5P2/2r5/4R1K1/8 w - -,e2e5
r1br2k1/1p1q1pbp/6p1/p1Pp4/P4B2/5P2/1P1Q2PP/3RRBK1 w - -,f1b5
2r3k1/6p1/p1pqR2p/1p1n4/1P6/P2N2P1/5P1P/6K1 w - -,e6d6
r1bqkb1r/1p1p1ppp/p1n1pn2/2p5/4P3/1PNB1N2/P1PP1PPP/R1BQ1RK1 w kq -,f1e1
3r1rk1/5ppp/p3p3/6b1/1P1q4/P4BP1/R2pQ2P/3R2K1 w - -,g1g2
r1b2rk1/p2P2pp/2p1P3/q1n2p2/p3n3/P4N2/2Q1BPPP/R1B2RK1 b - -,c5d7
r1bqk2r/pp1n1pp1/2pbpn1p/3p4/2P3P1/2N1PN2/PPQP1P1P/R1B1KBR1 w Qkq -,d2d4
1rb1nr1k/5pp1/2qpp2p/pp6/3RP2Q/PBN5/1PP2PPP/3R2K1 b - -,c8a6
4r1k1/p1p3p1/bpp1p3/8/2PP2R1/P1P4P/3KP3/6R1 b - -,e8e7
r4rk1/pp1nbppp/1qp2nb1/3p4/4P3/2NP1NP1/PPQ2PBP/R1B2RK1 w - -,c1e3
r5k1/p4pbp/q1NQpnp1/1b1P4/2p1PP2/2P3PP/P4B2/R3R1K1 w - -,c6e7
r1b2rk1/4bppp/p1n1pn2/1p2N3/1P6/P3P3/1B2BPPP/RN1R2K1 b - -,c6e5
rn1qkb1r/pb3ppp/1p1ppn2/8/3P1B2/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,f1b5:h2h3
3q1r2/3r1ppk/pn4b1/1pQ1P3/3N2P1/4B2P/PP3P2/R4NK1 b - -,b6a4
rnbr2k1/pp2ppb1/6pp/8/3PP3/4BN2/P2K1PPP/2R2B1R w - -,c1c7
3r2k1/2q2p2/4p2p/p1Pp2p1/P1nN2P1/2P3P1/4QP2/R5K1 b - -,c7c5
r2r2k1/2n2pbp/3p1np1/2pP4/1qN2B2/1QN2BPb/PP3P1P/R3R1K1 b - -,f6e8
2R5/pp1r1k2/7p/4pbp1/8/3pKP2/PP1R4/8 w - -,c8h8
r2qk1r1/8/p1R1b3/1p1p2bp/1P1P4/P3B3/3Q2BP/5RK1 b q -,e8d7
r3k2r/1b1n1qpp/pp2p3/2ppPp2/P4P2/2PBP2Q/1P1N2PP/R4RK1 w kq -,d2f3
2rr2k1/pb2qppp/1p2p3/2nn4/3N4/PQN1P3/1P2BPPP/2RR2K1 w - -,b3c2
2rq1rk1/pp3p1p/3bpnp1/3p4/1n1P1P2/2N1P1Q1/PP1B2PP/RB3RK1 w - -,g3f3
r1k4r/1pp2ppp/p1b5/4n3/8/2N5/PPP1BPPP/2KR3R w - -,c3d5
4rnk1/pp2q1b1/2p3p1/5pQ1/P1b5/2P5/1P1B2PP/R5RK w - -,g5f4
r1bq2k1/1p2brpp/1nn1pp2/p2pP3/3P1P2/PPN1BNP1/6KP/RB1Q1R2 b - -,c8d7
6k1/p1p2qp1/2p3rp/3n1r2/3BRP2/1P1P1Q2/P4P1P/4R2K w - -,d4e5
rn1q1rk1/pbpnppbp/1p4p1/8/3PN3/3BBN1P/PPPQ1PP1/2KR3R b - -,c7c5
6k1/pp3p1p/6p1/2bN1b1n/2P5/4p3/n3P1PP/R3KB1R b - -,a2b4
2k5/pp2bp1p/2p5/4PP2/P2r1r2/2Q5/4K1P1/1R5R w - -,h1h7
2rq1rk1/1bpnbppp/p3pn2/Bp6/3P4/5NP1/PPQ1PPBP/RN3RK1 w - -,b1d2
4r1k1/1p3p2/p1p5/2Ppr2B/PP1Q3P/8/4PK2/8 b - -,e5f5
3r1rk1/ppq2pbp/2n3p1/2p5/2N1P1b1/2Pn1NP1/PP2Q1BP/R1B2RK1 w - -,c1g5
r3k1nr/pp1b1ppp/1q2p3/2bpP3/1P6/3B1N2/P4PPP/R1BQ1RK1 b kq b3,c5e7
r2r2k1/p1q1bppp/2p2nb1/2N1p3/4P3/1PPBBR2/P1Q3PP/4R2K b - -,e7c5
1r3rk1/3b1p1p/3p1qp1/2pP4/P1B5/1P3PP1/2Q1R2P/5RK1 w - -,c2d2
2r2rk1/4qpbp/p2ppn2/5PB1/3N4/1Pp2Q2/P1P3PP/3R1RK1 b - -,c8c5
r6k/1p2rp2/1np5/p3qBpN/Pn2P1P1/1Q6/1P4P1/2RR2K1 b - -,f7f6
1k1r3r/p1pq1ppp/1p2p3/5b2/2PB4/3P1B2/P1P2PPK/1R1Q1R2 b - -,d7d4
rnbqkb1r/pppp1p1p/6p1/5p2/2PP4/8/PP2PPPP/RN1QKBNR w KQkq -,g2g3
8/8/8/5r2/7p/7k/4K3/7R b - -,h3g3
1r3rk1/2q2ppp/p2p4/8/2pN1Pn1/P1P1p3/1P2R2P/R2Q2K1 w - -,d4f5
5r2/p1P4k/4bpq1/3p3p/5R1P/2Q3B1/6PK/8 w - -,f4a4
8/8/p7/Pp4pk/5pb1/2P3Rp/1P5K/8 w - -,g3d3
3r2k1/2p3p1/1p6/p1nP1q1p/3Q4/r4P2/5NPP/3R1RK1 w - -,f2e4
6k1/2q2p2/6p1/7p/8/3Q1PP1/6KP/8 b - -,c7e5
8/p4pbk/1q2pnpp/1p6/3NP3/6P1/3B1PBP/2Q3K1 w - -,d4b3
r1bqk2r/pppp2pp/2n2n2/5p2/2PPp3/2P1P2N/P4PPP/R1BQKB1R b KQkq -,d7d6
r4r2/1p4pk/2pb4/p2pp1q1/2PP2b1/PPN1P1P1/1B2QP1K/R6R w - -,e2c2
1k5r/1p3pp1/p2rp2p/3p4/1NnP4/2P2P2/PP2R1PP/4R1K1 b - -,h8c8
8/8/2k3p1/1p3q2/2pQ4/2P3P1/1P5K/8 w - -,d4d2
7r/p3k1pp/1p2p3/1b2p3/4B3/2P2P2/PP1R2PP/4K3 b - -,g7g5
r1bq1rk1/3n1ppp/1p2p3/p7/P2PP3/3B1N2/3Q1PPP/R4RK1 w - a6,f1c1
3N2k1/pp2n1b1/5r1p/4pp2/1p2P1n1/6Pb/P2BB1NP/R4RK1 b - -,f6d6
rn1q1rk1/pb3pbp/1pp1p1p1/3n4/3PN3/P2BPN2/1P3PPP/R1BQK2R w KQ -,e1g1
rn2kb1r/pp3ppp/2p1pn2/q4b2/3P4/2N2B2/PPP1NPPP/R1BQK2R w KQkq -,c1d2
4k3/8/1pq5/2p4p/4b1nP/2B2P2/1P2P3/R3K1R1 w Q -,f3g4
2B5/8/6pp/p2k1p2/5P1P/1K2P3/8/1b6 w - -,c8b7
r2n4/ppk1r1b1/2p5/2P1p2p/1nB1N2P/4B1R1/PP4P1/2K2R2 w - -,e4d6
8/2r2p2/p5p1/1p2k2p/1Rr1P3/1KP1R1PP/P1P5/8 b - -,f7f6
3r1rk1/1p1qb1pp/1nP1bp2/p3p3/P2n4/2NP2P1/1B1NPPBP/R2QR1K1 b - -,b7c6
8/8/8/7k/7p/6p1/5B1K/5b2 w - -,f2g3
8/8/2N2p1p/1p2b3/8/8/P3K1k1/8 b - -,h6h5
3r4/pPpk1ppp/4N1b1/3pP3/8/1N3P2/PP1K2PP/7R b - -,f7e6
r4r1k/1pp1bppp/2n5/p2qp3/1P4b1/P2PPN2/1BQ1BPPP/R3K2R w KQ a6,h2h3
7k/4R3/8/7P/p3p3/R1P1B3/1nb2PPK/3r4 w - -,e3d4
r1q1k2r/pp2bppp/2p1p3/3nN2P/3P1B2/3Q4/PPP2PP1/2KR3R w kq -,f4d2
8/1P2R2p/b4P2/4Pk2/8/1r2K2P/6B1/8 w - -,e3d4
2r3k1/p3rpbp/n3b1p1/BpP5/1P2P3/6P1/1NR2PBP/2R3K1 b - -,a6b8
r1q2rk1/5ppp/pBnp1b2/1p2pb2/8/1N1B4/PPP2PPP/1K1RQ2R w - -,d3f5
r3kb1r/pq1n1p1p/b3pp2/P2p4/1p1P4/1N1B1N2/1PP2PPP/R2QR1K1 w kq -,f3h4
r1bb1rk1/p1qn1pp1/2p4p/4p3/4P3/QBN2N2/1PP2PPP/R4RK1 b - -,f8e8
8/7R/4k1p1/p2p3P/3Bp1P1/2P1K3/7r/8 b - -,g6h5
r1bq1rk1/p4ppp/2pb1n2/3pp3/3P4/2N3P1/PP2PPBP/R1BQ1RK1 w - -,e2e4
r2qr1k1/1R3pp1/p3p3/7p/3P4/Q3P1P1/P4P1P/5RK1 w - h6,f1c1
4b3/7B/3kp3/1p1p4/1P1P1PK1/2P5/7P/8 b - -,d6e7
5bk1/1r4p1/1pRpp2p/pN3p2/2P5/6P1/PP2PPKP/8 b - -,d6d5
4r2k/R2b1p1p/7b/3pq2P/3Q4/4P1R1/2P3P1/6K1 b - -,e5d4
r4rk1/pp2qpbp/1np2np1/8/3Pp3/2N1P2P/PPQ2PP1/R2RBBK1 b - -,f8e8
6k1/1pQ4p/2r2ppB/5P2/4p1PP/pP1nP3/P1r5/5RRK b - -,c6c7
1r6/6np/1pkp2p1/pR1N4/2P2P1P/5K2/PP6/8 w - -,d5e7
4Q3/5p2/2N1b1p1/P2q4/8/r3R3/1k3PP1/6K1 w - -,e8b8
1k3r2/ppp3p1/7p/3rq3/P1Rp4/6P1/1P1QPP1P/5RK1 w - -,b2b4
r1bqr1k1/ppp1npbp/3p2p1/8/3nPN1P/2N3Q1/PPPB1PP1/2KR1B1R b - h3,d4e6
8/6pk/7p/N1p1p3/7n/P2P2RP/5r1K/8 w - -,h2g1
2r2bk1/p4ppp/1n6/4Pb2/2pP4/2P3P1/P2B1NBP/R5K1 b - -,c8b8
8/2k5/3p4/1P6/2P4r/2K3R1/8/8 b - -,c7b6
3r4/p6p/2p1kp2/4p1r1/2N3P1/P3PK2/1P6/2R4R b - -,d8d7
8/p5pp/8/1p1k1K2/2pP1P1P/P7/1P3P2/8 w - -,h4h5
r2qk2r/p2nbppp/bpp1pn2/8/2PPN3/1P3NP1/P1QB1P1P/R3KB1R w KQkq -,f1g2
1n2rr1k/2b2qpp/2p5/2PnpPB1/N2pN1P1/P4P2/4Q2P/R4R1K w - -,a1b1
8/4p3/3p2k1/1prP4/5PK1/1P1R4/8/8 w - -,d3d4
3q2k1/4b1r1/3pQ3/1NpPp3/2P1Pp1n/2B4R/6P1/6K1 b - -,g8h7
3q2k1/4Qpnp/pn1P2p1/8/2P2p2/1P3B2/6PP/4R1K1 b - -,d8c8
7k/4bpp1/6qn/r2bP1p1/1ppPN3/4R1N1/1P4PP/5QBK b - -,h6g4
8/3k1p2/3p2p1/8/1PRp4/2BP1P2/r5PP/2K5 b - -,d4c3
r1b2rk1/p3q1pp/1pRp4/3Ppp2/3n4/3Q2P1/PP1NPPBP/5RK1 w - -,c6c1
8/3k3p/p2p2p1/3Pb3/1Pr1P3/2N4P/1P2K1P1/2R5 w - -,e2d3
8/8/p3p3/3p2B1/3P4/bP1K4/8/3k4 w - -,d3c3
r4b1r/1p1k1pp1/2n1b2p/pN1pPpB1/3P4/P7/1P1N1PPP/R4RK1 w - -,g5e3
3qr1k1/1br2ppp/1pnp1n2/p1p1p3/1PP5/PQ1PPN1P/1B3PP1/R2R1BK1 w - -,b4c5
rnbqk2r/pp2ppbp/2pp1np1/3P4/4P3/2N2N1P/PPP1BPP1/R1BQK2R w KQkq -,e1g1
rnbqkb1r/pp2pppp/5n2/3p4/8/6P1/PP1PPPBP/RNBQK1NR w KQkq -,e2e3:d2d4:b1c3:g1f3
r3k2r/2qbn1b1/p2p2pp/1pp2P2/2Pp4/PP1P1N1P/1N2BPP1/1R1Q1RK1 b kq -,g6f5
r2qkb1r/pp1bpppp/3p1n2/6B1/3nP3/2N5/PPPQ1PPP/R3KB1R w KQkq -,d2d4
1r2rbk1/pppq2pp/1n3pb1/3np3/2N5/PP1P1PP1/1B1QPNBP/2R1R1K1 b - -,d7b5
r4r1k/p1pq2b1/1p1p1npp/1P1Npp1n/P1P5/1Q1P1PP1/3BPNKP/2R2R2 b - -,a8e8
2qr2k1/3R1bpp/1p3p2/pP2pQ2/Pbp5/2B2PP1/6BP/1N2R2K b - -,d8d7
r2q1rk1/pp3ppp/2b1p3/3n4/3P4/BQP2N2/P4PPP/R4RK1 b - -,d5f4
1r4k1/1q3npp/2npp3/5p2/8/N1Q1B1P1/KP3P1P/1R6 w - -,e3d2
6k1/2Q2pp1/p2rr1np/8/1P6/3p1BP1/P4P1P/6K1 w - -,g1g2
3q2k1/1p2rppp/p3pn2/2Q1N3/2P5/1P5P/P3KPP1/4R3 b - -,f6e4
1n2k3/8/p1pbp1p1/3p1pP1/1P1P1P1q/P3PB2/3B2K1/2Q5 w - -,d2e1
4r1k1/1pp2pp1/1p1r3p/4p3/4q3/P2P3P/1PP1RPP1/4R1K1 w - -,e2e4
5rk1/6q1/4R1Q1/3p3p/5P2/2P2P2/1P6/6K1 b - -,d5d4
8/5kp1/p5n1/1p3p2/2p1rP2/P1P2K2/1P1R1P1P/2N5 w - -,d2d4
r4rk1/ppp3pp/2nb4/3p1b2/8/1NP2N2/PP3PPP/R1B2RK1 b - -,a8e8
8/3B2p1/5k2/8/1r3K1p/4P2P/8/8 w - -,f4f3
5rk1/p1p2rpp/2p1Nq2/8/2Q1p3/2P1b3/PP3PPP/5RK1 w - -,e6f8
8/5k2/p7/P3N1rp/1p1b1p2/1P3P1b/4R2P/4R2K b - -,f7g8
8/8/2P5/p6K/3k1p1P/8/P7/8 b - -,f4f3
8/3K1pR1/3r4/P1b2k2/8/8/8/8 w - -,d7c7
3r4/1pk1r1p1/2p1pp1p/p6P/2PPn3/3NPNnR/PPK3P1/4R3 w - a6,d3c5
r1b2rk1/1pq1bppp/p1nppn2/8/3NPP2/2N1BB2/PPP3PP/R2Q1R1K b - -,f8d8:c6d4:f8e8:c8d7:a8b8
8/2pr4/1b6/4K3/1k6/1P5R/8/8 w - -,e5e6
rn1qk2r/pp3ppp/2pbpn2/3pN3/2PPb1P1/2N1P3/PP3P1P/R1BQKB1R w KQkq -,f2f3
3r2k1/7p/4p1p1/1NPp4/5Pbq/3QB3/P2K1R2/8 b - -,d8a8
2r1rbn1/2qb3k/p1p3pp/P3P3/7N/2R3P1/2QNPPB1/1R4K1 b - -,e8e5
3r1k2/2qbb1r1/p6Q/3n1p2/2pNpP2/P1P1B1P1/P4NK1/R3R3 w - -,h6h8
5R2/8/1p1r2p1/4n1p1/P2k1pP1/1P1p3P/3K4/3B4 b - -,d6e6
3r1k2/3r1p1p/p4np1/1p1p4/3R4/2P1N1P1/PP3P1P/3R2K1 w - -,a2a4
r1bqk2r/pp2npb1/2npp1pp/2p5/4PP2/2NPBNP1/PPPQ2BP/R3K2R b KQkq -,c6d4
r4rk1/1p3pbp/2nqb1p1/p2p4/P2p1P2/1B1P1N2/1PPB1QPP/R4RK1 b - -,b7b6
2Q3k1/1R3bp1/5p2/3q3p/4r2P/1p2B3/5PP1/6K1 b - -,g8h7
r5k1/pp2n1bp/2nqprp1/3p4/P2P4/1N1BB2P/1P3PP1/R2Q1RK1 b - -,e7f5
r3kb1r/pp3ppp/2n5/2Pnpb2/8/2P2P2/PP3BPP/RN2KBNR b kq -,d5f4
r1b2rk1/pp2qppp/5n2/2ppN3/3P4/2PBP3/P1Q2PPP/1R3RK1 b - -,c5c4
r3k1nr/ppbn1pp1/2p1p2p/2N4P/2PP4/3q1N2/PP1B1PP1/R3K2R w KQkq -,c5d3
r3r1k1/4Qppp/pp2pn2/2p5/2PP1q2/P4N2/1P3PPP/R2R2K1 w - -,e7b7
rn1qkbnr/pp1b1ppp/4p3/2ppP3/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq d3,d8b6
8/5k2/2pp3p/4np2/2P2N1P/4K1P1/5P2/8 w - -,e3d4
5r2/6pk/2p2rqp/3p4/1p1Q4/1P5P/P3RPPK/4R3 b - -,f6f4
5r2/6n1/2N3BR/2n2kp1/P4p2/8/5KPP/8 b - -,f5f6
rnbqk1nr/2p2pbp/pp1pp1p1/8/P2PPP2/2N1BN2/1PP3PP/R2QKB1R b KQkq -,g8e7
2r1k2r/p3ppbp/1Qn1bnp1/2p5/4PP2/2N2N2/PPPB2PP/R3KB1R b KQk -,a7b6
r2qkb1r/pp1b1ppp/2n1pn2/3p4/3P1B2/P1NBP3/1PQ2PPP/R3K1NR b KQkq -,f6h5
8/8/1p1k4/p2ppBPp/1P3P2/P3Pb2/8/4K3 b - -,e5f4
8/5p1k/2p3pp/pq6/Q6P/6P1/5PK1/8 w - -,a4f4
r2b1rk1/2p5/1p1p2p1/pP1Pp2p/P1P1p2q/4B1R1/4KP2/1Q5R b - -,h4e7
r1bqk2r/pp2bppp/2p2n2/3p2B1/3P4/2Nn2N1/PPP2PPP/R2Q1RK1 w kq -,d1d3
3r3r/8/p2ppk1p/1pq1np2/3R3P/1P2QpPB/5P2/3R2K1 w - -,b3b4
4rrk1/bp6/p4pq1/2p2N1p/2PnP3/2Q3PB/P4PK1/R2R4 w - -,d1e1
r2qkb1r/1b1N2pp/pp2pp2/3p4/Q2PnP2/2NBP3/PP4PP/R1B2RK1 b kq -,d8d7
rrb2n2/4qpbk/3p1npp/p1p1p3/2P1P3/BP1B1NNP/P2Q1PP1/1R1R2K1 b - -,f8e6
5B2/3k1n2/K7/4p1p1/3p1pP1/3P1P2/4P3/8 b - -,d7c6
r1b1k1nr/pppq1ppp/1b1p4/n3p3/2BPP3/N1P2N2/P1Q2PPP/R1B2RK1 b kq -,d7e7
r4rk1/p2nb1pp/1qp1p3/3p4/3PpPb1/1P3NP1/PB2P1BP/R2Q1RK1 w - -,f3e1
3Rbk2/4r3/1Qp1q2p/1pPpPppB/8/4P2P/5PP1/6K1 w - -,f2f4
1r6/5pk1/1nRb1qp1/pQ2p2p/4P3/P2N1P2/1P6/K4R2 b - -,f6d8
r1r3k1/1b2bppp/p3pn2/Bp6/3N4/4P3/PP2BPPP/2RR2K1 b - -,b7d5
r3k2r/1p1nqppp/p1pbpn2/3pN3/2PP1P2/1P1bP3/PBQN2PP/R4RK1 w kq -,c2d3
r1bqr1k1/1p2ppbp/3p1np1/p1n3B1/2P1P3/2N2N2/PPQ1BPPP/1R3RK1 b - -,c8d7
5kr1/p1rb1pp1/4p1Bp/3pP3/3P1Q1P/P1p3R1/1qP2PP1/3RK3 b - -,d7e8
r2qk1r1/pbp2p1p/1p2pn2/n7/P1PPpN2/8/2PQ1PPP/R1B1KB1R w KQq -,d2c3
8/5k1p/2pb2p1/5p2/2PK1P2/r1B3PP/8/2R5 b - -,d6e7
rn1q1rk1/pp2bppp/2p1pn2/4N2b/2PP4/2N1B2P/PP2BPP1/R2Q1RK1 b - -,h5e2
2q5/Rp2rnk1/1Pp1n1p1/N1Pp4/3P1P2/4QB2/5PK1/8 b - -,e6g5
rn1q1rk1/pp4pp/2p1R1B1/b2p4/3P1p2/P1N2bBP/1PP2PP1/R2Q2K1 w - -,d1f3
r1b2rk1/pp2ppbp/n7/1N5p/5P2/8/PPPB2PP/R2NK2R b KQ -,c8d7
6k1/p2rr1pp/1p3p1n/4qP2/1nP1PN1P/6Q1/P7/1B1R2RK w - -,a2a3
1r3rk1/pb1qppbp/1p4p1/1n6/NP1N4/1Q1P2P1/3BPPBP/2R1R1K1 b - -,b5d4
8/8/3r4/2N2p1k/7P/4nPpK/8/2R5 w - -,h3g3
6k1/1Q3pbp/p2q2n1/2p5/P4p2/7P/1P4PB/4R2K b - -,d6d2
8/2k2p2/p4K2/P7/1p6/8/1PP5/8 b - -,c7c6
r3k2r/5p2/4p2p/1pPp2p1/8/4PNP1/Pb3PP1/R4RK1 w kq -,a1b1
4r3/7k/1p5p/2p5/1p1b2P1/3N4/PP1Br2P/3R1R1K w - -,d3f4
6k1/5rb1/p6q/n1pQ4/2P5/P3p3/K5B1/5R2 b - -,g7f6
2kr2r1/p1qb4/1np1pP2/3p2P1/6Q1/1PN2N2/P4PP1/2R2RK1 b - -,e6e5
r1bqr1k1/pppp1pp1/2nb1n1p/1B2p3/4P2B/2PP1N2/PP2QPPP/RN2K2R b KQ -,a7a6
2b2rk1/1pQ2pp1/r1n3q1/7p/p4B2/3p2P1/PP3P1P/2RR1BK1 b - -,c8f5
r2qkbnr/1bpp1ppp/p1n5/1p2p3/4P3/1BP2N2/PP1P1PPP/RNBQK2R b KQkq -,g8f6
8/p5pp/1p6/1P1pk3/P7/1N1P3P/1b2K1P1/8 w - -,e2f3
r1bqk2r/pppp1ppp/5n2/4P3/1b2P3/2N5/PPP1BPPP/R1BQK2R b KQkq -,f6e4
rnbqk2r/5p1p/p2b2p1/2p5/PpN1N3/4P3/1P2P1PP/R2QKB1R b KQkq -,d6e7
r1b2rk1/pp2ppbp/2n2np1/7q/2B1P3/2N2N1P/PP1BQPP1/R4RK1 b - -,e7e5
r2bk3/2p2ppp/p1N4n/4P3/5P2/B7/PP2KP1P/3R4 b - -,h6f5
r1b1qbk1/ppp2r1p/n2p2p1/3Ppp2/2P1P1PP/1P2BP2/P1Q1B3/1K1R2NR b - h3,f5f4
8/2Q2pkp/4p1p1/8/n1P4P/6P1/5PB1/q5K1 w - -,g1h2
r4rk1/1ppb1qp1/p1nbp1np/3p4/3P4/2P2N2/PP1BNPPP/R2BQRK1 b - -,e6e5
2brr3/4q2k/p4pp1/1pp1p2p/4P3/P1PP2RP/BP2Q1P1/3R2K1 w - -,d1f1
r4rk1/1p1qnpbp/p2pb1p1/2p1p3/3nPP2/2NPB1P1/PPPQNRBP/5RK1 w - -,e2c1
kr6/r2nqp2/2b1p1p1/pp1pP1Pp/2pP3P/P1P5/2PQNPB1/RR2K3 w - -,e1f1
4rk1r/pR2bq2/5nQp/2B5/4P3/8/1PP2P1P/2K3R1 b - -,f7g6
r3r1k1/pp3pbp/2pq2p1/3b4/3P1B2/P1R2N2/1P1Q1PPP/5RK1 b - -,d6d7
