6R1/8/3p4/4bk2/8/2p4R/2r5/4K3 b - -,f5e4
1Q4k1/2rqbp1p/B1b1p1p1/3pP3/p2P2P1/2P3BP/1P3K2/1R6 b - -,g8g7
2rr2k1/pp4p1/5n1p/8/3p4/PP1P3P/5RP1/R2N2K1 b - -,f6d5
rnbq1rk1/pp4pp/2pbpn2/3p1p2/2PP4/1Q3NP1/PP2PPBP/RNB2RK1 w - -,c1f4
2q1n1k1/5p1n/p2p2p1/3P2Pp/1rPb4/3B3b/3Q1P1N/2N1R1K1 w - -,d2b4
r5k1/ppn5/2p4p/3pr1p1/3P4/P1P2NPP/1P2R1K1/8 w - -,e2e5
4k3/8/6p1/p1P1K1N1/5P1p/1P5P/6P1/3r4 w - -,g5f3
r3r1k1/1pp2ppp/2np4/p1bNnb2/2P2N1q/PP2P3/1B2BPPP/R2Q1RK1 b - -,a8c8
6qr/k3bp1r/p1p1p1p1/Pp1pP1P1/1PnP3p/1KP4R/4BPPB/2Q4R b - -,g8d8
5r2/p2k1pp1/2pn4/1p2R3/8/1B2P2P/PPP1K3/8 w - -,e5g5
r2qkb1r/pp1np1pp/2pp1n2/6B1/2BP2b1/2N2N2/PPP3PP/R2Q1RK1 w kq -,d1d2
2rrn1k1/pq4bp/1pbp1pp1/3Np3/2P1P1P1/4BP2/PP1QBK1P/2R2R2 b - -,b7d7
8/8/2n5/1p1k4/8/B1K5/4b3/8 w - -,a3f8
r7/1pp2r1p/p2bknp1/N3p1B1/4P3/3R1PP1/PPP4P/2KR4 b - -,b7b5
rn2k1br/ppq3p1/2pb3n/3pp1Np/4P2P/2P3P1/PPQN1PB1/R1B1K2R w KQkq -,e4d5
8/pp4p1/2b2k1p/5P2/2P5/4P2P/P3rK2/1B6 w - -,f2e2
r1bq4/1p1k1p2/3ppb2/1p6/3NP3/2N4Q/PPP5/2K3R1 w - -,d4b5
8/pp6/3k4/4p2B/2p1Pp1n/5P1P/PP3K2/8 b - -,d6c5
3r2k1/p3bpp1/1p5p/nPqB4/4Q3/P4PB1/5P1P/3R2K1 b - -,e7f6
rn3rk1/pb3p2/1p2pp1p/2pq4/3P4/2PBPN2/P4PPP/R2Q1RK1 w - -,e3e4
3r1qk1/1pn2ppp/8/pPrN4/P1p1P3/5P2/6PP/R1Q2R1K w - -,d5c7
3r2k1/5p2/2R2bp1/p3p2p/4n3/1P2N1P1/P3K2P/4B3 b - -,a5a4
r4r1k/pp4bp/3Q2n1/3P1N1q/2B2pp1/5P2/PP2N1PP/R4RK1 b - -,f8f5
2rq1rk1/4ppbp/p5p1/np1pP3/3P4/2PBBQ1P/PP3RP1/5RK1 b - -,c8c6
8/p3r3/1p3kBp/1Pp1bp1P/2P5/3PR3/5PK1/8 w - -,e3f3
rn1q1rk1/2p1p2p/p2p4/4PnQP/1p1P4/5PN1/PPP2P2/R3K2R b KQ -,g8h8
r3r1k1/2q1bppp/1pb1pn2/2p1p3/2N1P2B/2PP3P/1PB1QPP1/R3R1K1 b - -,b6b5
r1bq1rk1/ppp2ppp/2n1pn2/8/1bpP4/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,b4c3:b4a5:b4e7:b4d6
7k/2R1N3/b2r4/3pN3/P2PpP1p/4P3/8/4b1K1 w - -,e5f7
8/8/k4p2/8/3b2KP/8/8/8 b - -,a6b6
3r1r1k/pb4p1/1p3nQp/5B2/5P2/P5P1/1q3N1P/R3R1K1 w - -,a1b1
8/1b2q1kp/pb3pp1/1p2pn2/8/1P1QPP2/P2B1NPP/1B4K1 w - -,d3c3
r1r3k1/1bqn1p1p/p2bp1p1/1ppp4/3P4/2PQPNB1/PPB2PPP/R4RK1 w - -,a2a4
4r1k1/5ppp/p6b/4r3/PpB5/2P2P2/6PP/RR3K2 b - -,b4c3
8/1k1r4/1p5P/5N2/2PR3R/4P1P1/2r5/4b1K1 b - -,d7h7
4kb1r/5ppp/8/4p3/1p2q3/4B3/1PP3PP/3Q1RK1 w k -,d1e2
1r1q2k1/4p1b1/1pp3pp/p7/PnNPP3/1P4P1/1B4KP/3R1Q2 b - -,d8d7
rr4k1/1q3pp1/p4n1p/2Rnp3/7P/Q3BNP1/4PPK1/3R4 b - -,e5e4
r2q1rk1/p4pb1/2pp2pp/1p2n3/4P3/PQN1B2P/1PP2PP1/3R1RK1 b - -,e5c4
r3k3/ppqnbpp1/2p2np1/2Ppp3/3P3r/1QNBP1PP/PP1B1P2/2KR3R b q -,h4h8
1n4rr/p1p1k3/1p2p1pp/n2pP3/3P2PP/P1P1B3/2PN4/1R3RK1 w - -,g1g2
r1bqkb1r/pp1npp1p/2p2np1/3p2B1/2PP4/4PN2/PP3PPP/RN1QKB1R w KQkq -,b1c3
2r3k1/1b3p1p/3Q2p1/2bP4/8/6P1/5P1P/3RR1K1 b - -,c5d6
3r4/1p3B1p/p2P2pk/4n3/1P6/8/P2R2KP/4R3 b - -,e5f7
kb5r/pp2rppp/2q1p3/3R4/3P2P1/2B2Q1P/P4PB1/1K2R3 w - -,d5c5
5R2/r5p1/1kp4p/8/pP6/P1r3PP/5PK1/R7 w - -,f8f3
r2qk1nr/1b1nppbp/p2p2p1/1pp5/3PPP2/2NBBN2/PPPQ2PP/R3K2R w KQkq -,e1g1
r1bq1rk1/pp2ppbp/2n3p1/3n4/3P4/1QN2N2/PP2BPPP/R1B2RK1 b - -,c8e6:d5c3
r3r2k/2q2ppp/p2p1N2/1pp1nP2/P5P1/2PPB2P/1P1Q2K1/R4R2 b - -,g7f6
r1b1r2k/pp2qpp1/1npn2Bp/3pN3/3P4/2N1P3/PPQ2PPP/1R3RK1 b - -,e7f6
8/1pB2r2/4rpk1/3p2p1/p2Pb1P1/P3R1KP/1P6/2R5 w - -,e3e2
1r2nbk1/5p1p/3p2pB/2p1pN2/P3P3/1QPP2RP/5PP1/6K1 b - -,b8b3
r5k1/1p3pp1/5bp1/r1p5/1p6/1P1BP2P/P1RR1PP1/1nN3K1 w - -,d2d1
8/7p/P4kp1/8/2R5/5KP1/r3B2P/6b1 w - -,h2h4
1q4k1/pp1n1pp1/2r1pnp1/3p4/N2P4/3BP3/PP1Q1PPP/1R4K1 w - -,b1c1
5r2/1p2r1p1/2p4p/pPkp4/P6P/3B1P2/2PP1KP1/1R6 w - -,g2g3
r1b2rk1/pp3pbp/n1q1p1p1/2n3N1/2B1NP2/4P3/P1QB2PP/1R3RK1 w - -,c4b5
5rk1/p1q2pp1/b6p/p1r1p3/2P1n3/5NP1/3Q1PBP/R2R2K1 w - -,d2d7
r4rk1/pp1n1ppp/2p2qb1/2P5/2BPp1Pb/4B2P/PP1QNP2/R3K2R b KQ -,f6f3
3rk1r1/1b1p1p1p/1q1np2B/1Bb5/pn3PN1/8/PP2Q1PP/R2N1R1K b - -,b6b5
r1bqrn1k/1p4pp/2p2p2/p1Nn4/2BP1P2/5N1P/PPQ3P1/4RRK1 w - -,e1e8
8/5ppk/b6p/p7/1bNr4/1P4NP/4R1PK/8 w - -,g3f5
2k1r3/p1p4R/3p1p2/3P4/4P3/3KNP2/Pb4P1/8 w - -,e3f5
1nr2rk1/2n1b1p1/p3p1p1/1pPp1p2/1P1P1PPP/2NBP3/3B4/R3K2R w KQ f6,c3e2
r1b2rk1/2q2pbp/ppnp1np1/2p1p3/1PB1P3/P1PP1N1P/5PP1/RNBQR1K1 w - -,c1e3
8/5r1k/p4r2/1p2Qp2/7P/P7/1PP2K2/8 w - -,f2f3
1B6/7p/1p2qppk/2b5/2b2Q2/7P/6P1/3R3K b - -,g6g5
r1bq1rk1/ppp2ppp/1bnp1n2/4p3/4P3/1BPP1N2/PP1N1PPP/R1BQ1RK1 b - -,c8e6:c6e7
r1bq1rk1/pp1n1ppp/2pbp3/3p4/2PPn3/BP3NP1/P1Q1PPBP/RN3RK1 b - -,d6a3
r1bqr1k1/1p3ppp/2n2n2/pNbp4/8/P3PN2/1P2BPPP/R1BQ1RK1 b - -,c8g4
r4rk1/pp3pp1/q3p3/2npPnBp/2P4P/bP1Q1N2/P1R2PP1/R4NK1 w - -,d3d1
8/8/3r2p1/3kp3/6R1/4K3/8/8 b - -,d6f6
r3r1kb/2qn3p/b1p2ppB/2p1pP2/4P1P1/PpQP1N1P/1P2N3/1K1R1R2 b - -,a8b8
8/5r2/4p3/2Q1P3/4k3/6K1/8/3R1q2 w - -,c5d4
r4rk1/ppp2ppp/2nNb3/5n1q/3P4/P2BBN2/1PQ2PPP/R4RK1 b - -,c7d6
r2qk2r/pp1n1pp1/1bp1pn1p/3p1P2/2P5/5NP1/PP3PBP/R1BQ1RK1 w kq -,f5e6
r2qkb1r/3b1p1p/p1np1p2/1p1N1P2/5P2/8/PPPQ2PP/1K1R1B1R b kq -,f8e7
5r2/8/8/1PK1p1p1/1R4P1/3k4/8/8 b - -,e5e4
4r1k1/3q1p1p/p5p1/3p3r/5P2/P3Q3/1P3PRP/3R3K w - -,e3d3
r1r4k/5pp1/3bp2p/7P/pp1P4/2P2R2/1P1B1PP1/R3K3 w Q -,c3b4
2r1k1r1/pp1bn2p/4p3/1B1pPp2/1Q1N4/P1q5/2P2PPP/2B2RK1 w - -,b5d7
2r1k2r/1p1nbpp1/p2pb3/3Np1qp/4P3/1BN2Q1P/PPP2PP1/R3K2R w KQk -,b3a4
r4rk1/2pqbppp/p7/np1pP2b/3P2P1/2P2N1P/P1B1QP2/R1BR2K1 b - g3,h5g6
r4n2/pp1q2k1/2p2p2/3p1Qbr/3P4/4PN2/PP2NP2/2KR2R1 w - -,f5d7
3r2k1/5ppp/p2q1n2/2p5/Q1P5/7P/PP3BP1/4N1K1 w - -,a4a5
3r2k1/2R3pp/bp2pp2/8/r7/5BP1/1P2PP1P/5RK1 w - -,c7a7
5r1k/pbr1R2p/1pqp1p2/5P2/1P3N2/2n2N2/2PQ1PPP/R5K1 w - -,e7c7
r4bk1/P2R1p1p/5q2/Q1r1pp2/8/2p3P1/R1B1PP1P/6K1 w - -,a5a4
rn1q1r1k/pbp2Nbp/1p2Q1p1/8/3PPB2/2P5/P4PPP/R3K2R b KQ -,f8f7
1k5r/pp1b4/1qn1p3/2bpPnrp/5Np1/1P1B2P1/PBN1QP1P/2R2RK1 w - -,f4d5
1rn2rk1/p5np/Pp1pq1p1/2pNpp2/2P1PP2/1P1Q2P1/1B1P3P/R4RK1 w - -,f4e5
3rr1k1/1pqnbpp1/p2p3p/P1pp4/2N1P3/1QP2NP1/1P3PP1/R2R2K1 w - -,e4d5
6k1/5p1p/1n4p1/4p1P1/1bP1P3/1B2RNP1/4rPK1/8 b - -,e2e3
r1b2nk1/pp1r1pbp/6p1/2P1p3/2BnN3/1PN1B3/P4PPP/2R1K2R w K -,c3d5
r3rbk1/3q2pp/4P3/2p4n/1p3P2/1P5P/1BQ3BK/2R2R2 b - -,d7e6
3rr1k1/1pp2pp1/p1n2q1p/4p1n1/4P3/2P1RN1P/PPB2PP1/R1Q3K1 w - -,f3h2
8/1b4pp/p2k1p2/1p1p4/3P4/3N4/PP3PPP/5K2 w - -,f1e1
7k/7p/6n1/2P5/3b1pP1/4pP1P/4B3/4B1K1 b - -,d4c5
5k2/3n1pp1/pB2p2p/1p6/4P3/1PN2PP1/P5KP/8 b - -,d7b6
r4rk1/1b3ppp/pp1qN1n1/2ppnB2/P7/2P3NR/1P2Q1PP/5R1K w - -,e2h5
2r3k1/1prb1ppp/p3p2q/3p4/3P2P1/2PB2P1/PP3PK1/R2QR3 b - -,g7g6
1rr3k1/2q1bppp/p2pb3/4p1B1/2p1P1n1/P1N5/1PP1QPPP/1R1R1NK1 w - -,g5e7
r2qr1k1/ppp2ppp/1nnp1b2/8/2PP4/1PNBB3/P2QbPPP/R4RK1 w - -,c3e2
2n2qk1/3Q1p1p/1p4p1/p7/3P1BPP/P7/1P3P2/6K1 w - a6,d4d5
8/2nk2p1/p1r2p1p/R2p1P1P/6P1/P1BKP3/8/8 w - -,a5a4
r1b1kr2/6bp/p2p2p1/1p1P1p2/4P3/N2B4/PP1K1PPP/1R5R w q -,f2f3
8/3kb3/p3p3/3pP1pp/N2P3P/3nP1K1/1P2r1N1/R7 w - g6,h4g5
2r3k1/1brnqppp/pp1p4/8/3Pp3/1P2P3/PB1QBPPP/2R2RK1 w - -,b2a3
r2q1rk1/pp1n1pbp/2p2np1/3pp3/2P5/1P1P1BP1/PBQNPP1P/R4RK1 b - -,f8e8
6k1/4qpp1/Q5bp/3p2b1/R7/P1P1p2P/B1r2PP1/4R1K1 w - -,a6c8
1r3rn1/3n2kp/b2q1pp1/p1bPp3/2p1P3/2N1BPP1/P2Q2NP/R2R1B1K w - -,a1c1
r3k2r/p1q1npp1/b1n1p2p/3pP2P/2p5/P1P1BN2/2PQBPP1/R3R1K1 b kq -,e7f5
2r5/6pp/Nk6/1P3PP1/4P2P/2bB3R/1r6/3K4 w - -,h4h5
r1bqr1k1/5ppp/pb3n2/npp1p3/4P3/2P1BN2/PPBNQPPP/R3R1K1 b - -,f6g4
r2r2k1/pp2bpp1/1qp1p2p/8/2PPR3/1P3QP1/PB3P1P/R5K1 b - -,d8d7
8/1p3p1p/4pk2/PP4p1/4R1P1/4K3/4PP1r/8 b - -,h2h1
4R3/8/6k1/7p/1r5P/5PK1/8/8 b - -,b4b6
rn3rk1/2q1bppp/bp2pn2/p2p4/P2P4/1PPB1NN1/3BQPPP/R2R2K1 w - -,d3a6
r4rk1/pp2q1bp/2p1b1p1/1nP1p1N1/1P2p3/6P1/P3QPBP/1RB1R1K1 w - -,g5e6
rn1qk2r/pp1bbppp/1n2p3/1Bp5/P4P2/5N2/1PPP2PP/RNBQ1RK1 w kq -,d2d3
r2q1rk1/1b1nbppp/p1p1p3/1p6/2PPn3/1P3NP1/P1Q2PBP/R1BR2K1 w - -,c2e4
1r1Rn1k1/p3Ppp1/b3p2p/4q3/2p5/P1N3N1/1PQ2PPP/6K1 w - -,c2a4
7r/3q2k1/1pp3pN/2p1b1P1/p3P2Q/8/2P5/6RK w - -,g1f1
8/2q1r3/p1pRp1kp/1pP1Pp1p/5P2/1P3QP1/P5K1/8 w - -,f3c6
8/r4p1p/1k2b1p1/rp6/2p5/P1R1P2P/R4PPK/3B4 w - -,c3c1
8/8/3k4/5b2/3p2p1/6P1/3K2B1/8 b - -,d6c5
8/4ppkp/6p1/1R6/8/1P4P1/5PKP/1r6 b - -,e7e5
r1b1k1nr/bp1p1ppp/p1n1p1q1/4P3/5B2/1NN5/PPPQ1PPP/R3KB1R w KQkq -,e1c1
r2q1rk1/ppnbppbp/2n3p1/1B1pP3/3P4/2N2N1P/PP2QPP1/R1B2RK1 w - -,b5d3
r1b1nrk1/1pqn1pbp/2pp2p1/p3p3/2PPP3/2N1BNPP/PP3PB1/2RQR1K1 b - -,h7h6
3rqk2/p2r2p1/2p1np2/1pb1pN2/4P3/1P5Q/P1P2P2/R1B3RK b - -,c5f2
5r2/6kp/6p1/p7/2p5/2P5/1rB1R1PP/4R2K w - -,h2h3
8/2q3kp/p5p1/3Rnp2/5Q2/1P6/P5PP/5K2 b - -,g7f6
r1b2rk1/2q2pbp/pp3np1/2pPp3/4P3/1NB2B2/PPQ2PPP/R4RK1 b - -,f6e8
3k4/8/3K4/3PR3/8/8/3r4/8 w - -,e5e1
r3kb1r/pp1nnppp/1qp1p3/3pPb2/3P4/1PPBBN2/P4PPP/RN1QK2R b KQkq -,c6c5
6k1/p7/2p3pp/3nB3/R3N2P/P4P2/bP4PK/2r5 b - -,g8f7
r1bq1rk1/pp2bppn/1n1p3p/2pPp3/2P1P3/2N3P1/PP2QPBP/R1B1NRK1 b - -,f7f5
rnbqkb1r/ppppp2p/6pB/5p2/3P4/4P3/PPP2PPP/RN1QKBNR b KQkq -,f8h6
6k1/5p2/5Pp1/p5q1/P2Q4/1P2PK2/5P2/8 b - -,g5f5
r1bqkb1r/pppn1p1p/3p1np1/4p3/2PP3P/2NBP3/PP3PP1/R1BQK1NR b KQkq -,f8g7
r4rk1/1bq2p1n/p5p1/2pPp3/Pp2P1P1/4QBN1/1PP5/R4RK1 w - -,g1g2
8/6kp/1p1p4/4pQP1/1P6/P4P1K/8/3q4 w - -,f5f6
2b1rbkn/1p4p1/r1pppn2/p4Pp1/P2N4/2N1R1BP/B1P3P1/4R2K w - -,f5e6
3r1k2/p6p/2Bb2p1/PP2R3/1Bnp1P2/5KP1/7P/8 w - -,e5d5
r7/3kbp2/2p3p1/p5q1/4Q3/PP2P3/R2B1P2/4K3 w - -,d2c3
3rr1k1/p4p2/6pb/2ppq2p/4Pp2/2P2Q2/PP2R1P1/1KN1R3 b - -,d5d4
8/1R3pk1/4p3/3p2pp/3P4/1P4PP/1r3P2/4K3 w - h6,e1f1
8/2B4p/1pp5/3p2k1/r1nP2P1/7P/8/1R4K1 w - -,c7b6
2r3k1/1p3ppp/p1bp4/8/P4B2/2P2P2/1P4PP/R5K1 b - -,d6d5
r1bq1rk1/1p2bppp/n1p2n2/p2p4/8/P1NP1NP1/1P2PPBP/R1BQ1RK1 w - -,c1d2
4R3/8/8/6P1/3k1K2/1r2p3/8/8 b - -,b3a3
1r1rbk2/Rp3ppp/3N4/1PR1P3/5P2/6P1/6nP/6K1 w - -,g1g2
8/8/3b4/8/P4kNp/5P1P/6K1/8 w - -,g4f6
1rb1r3/5kpp/pp1Rnp2/4p3/PP2P3/1NN5/2P2PPP/4R1K1 w - -,c3d5
1rb1r1k1/p1qn1pbp/6p1/1p6/2pPN3/B3P1P1/P1Q2PBP/1R1R2K1 b - -,b8b6
5k2/pP3pp1/8/3Bq2b/7r/4Q3/P4P2/2K1R3 b - -,e5c7
r1b1kb1r/1p1p1ppp/pq2pn2/1N2n3/2P5/2N3P1/PP2PPBP/R1BQK2R w KQkq -,b5a3
rr6/p1p1kppp/3bbn2/3p4/NP6/3B4/P1PB1PPP/R3K2R w KQ -,a4c5
q1r1nnk1/1br1ppbp/pp1p2p1/8/P2PP3/3B1N1P/QP1N1PPB/R3R1K1 w - -,a2b3
r1b2rk1/1pppnppp/3qp3/1P6/3P4/5NP1/3QPPBP/1RR3K1 w - -,f3e5
5r1k/5pb1/pq1p2pp/3B4/3nP3/3Q2BP/5PP1/2R3K1 w - -,c1b1
3rk2r/pp1nppb1/2p4p/3nP1p1/3PN3/5B2/PPPK1BPP/R6R w k -,g2g3
4B3/4b2k/1Kp4p/8/8/4Bb2/8/8 b - -,e7g5
8/8/8/pk6/3K4/8/8/8 w - -,d4c3
r1r3k1/3q3p/6pb/p2pp1nn/3P4/B3N1P1/P2QNPKP/1R3R2 w - -,e2g1
2b1R1k1/pr1q3p/1p1p2p1/1PpP2B1/2P3P1/R7/5Pp1/3Q2K1 b - -,d7e8
r2r2k1/1p1nqpbp/2p1p1p1/p1Pp4/1P1P2n1/P4NP1/1BQ1PPBP/R3R1K1 b - -,f7f5
8/8/8/5pk1/4p3/2b3P1/1PK1Q3/6q1 w - -,b2c3
r1bqr1k1/2pp1ppp/pbn2n2/1p2p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 w - -,a2a4
r3r1k1/1pp1qb1p/pn1b1pp1/3P1p2/2BN1P2/1QN1P3/PP4PP/3RR1K1 w - -,g2g3
r1r3k1/1pq2pbp/p2pp1p1/8/2P1PB2/2N1N3/5PPP/2nRQ1K1 w - -,d1c1
r1r3k1/5ppp/7q/3p1p2/2bP1P2/P3B1P1/3Q2KP/1R5R b - -,a8a3
3qr1k1/2nb2bp/pr1p1np1/2pP1p2/2P5/2N2N1P/RPBQ1PPB/5RK1 w - -,c3a4
3r4/5kpp/1p3p2/p1p2b2/P7/1PN1KP2/2P3PP/2R5 w - -,c3b1
r1bqr1k1/b4ppp/2np4/3Np1B1/1p2P1n1/6PP/PP2NPBK/R2Q1R2 w - -,h3g4
2rr2k1/1p4np/6p1/pP1P1p2/8/q1NQ4/5PPP/2RR2K1 b - -,g7e8
r2q1rk1/pb3ppp/1p1b1n2/3p4/3P1B2/1Q1B1N1P/PP3PP1/2R1R1K1 w - -,f4e5
1r1q1rk1/1p1n1pbp/p2p2p1/Pn1P4/NPp1P3/5B2/3B1PPP/2RQ1RK1 b - -,b8c8
8/pp4k1/2p1K1p1/8/2P5/4r3/8/5R2 w - -,e6d6
6k1/1R4p1/5p2/4p2p/r6P/6P1/5PK1/8 b - -,g8h7
r3k2r/ppqbn1pp/2n1p3/2bpP3/8/PNP2N2/2B1QPPP/R1B2RK1 b kq -,c5b6
r2qkb1r/pp3pp1/1nn1p2p/3pP3/3P2b1/P1NB1N2/1P3PPP/R1BQ1RK1 w kq -,c1e3
5R2/1R6/p1r3pk/K2n3p/4p3/1P4P1/5P2/8 w - -,f8a8
4b1k1/2R2p2/p3p1p1/3pP1Pp/Pp1N1P1P/1P1PK3/1r6/8 b - -,b2h2
1br3k1/1p1q1ppp/p4n2/3pn3/5N2/1P2PN1P/PB2QPP1/3R2K1 b - -,e5f3
8/6pk/3p3p/2pPp3/p3PqPP/P3R3/1P2Q1K1/3r4 b - -,d1b1
8/6pk/3P4/4Bp2/p3nPp1/P3q1P1/6QP/2r2R1K w - -,f1c1
6k1/R4p1p/p3n1p1/6P1/6RP/8/r2r2B1/7K b - -,a2a1
3R4/2r2pkp/4b3/1p1B1p2/8/2PK4/1P4PP/8 w - -,b2b3
r5k1/1R3p1p/4nbp1/8/p7/4B1P1/PP3PBP/6K1 b - -,a8c8
1r2rk2/2qnppbp/3p2p1/3P4/8/1nN2P2/1P2RBPP/3RQBK1 w - -,e2e4
6k1/1p4pp/3p4/1Bp1p2P/2Pn4/P2P4/7P/2Bq2QK b - -,d1g1
8/5p2/4k1p1/4P1p1/pR1P4/P5P1/1P2r1PK/8 w - -,b4a4
r1b1r1k1/1p3pbp/2pp1np1/q1n5/p1PNPP2/2N1B1PP/PPQ3B1/3RR1K1 b - -,a5b4
r1bqk2r/pp3p2/1bpp4/4p1pn/2B1P2p/2PP1P2/PP3BPP/RN1Q1RK1 b kq -,h5g3
b4b2/8/3pk3/5p1p/2P4P/3KB1P1/3N1P2/8 w - -,d2b3
r6r/p2pkppp/1p1Nqn2/2b5/2Q2p2/5BP1/P1P4P/3R1K1R w - -,d1e1
6k1/5ppp/1Q2p3/8/1b1P4/1P3PP1/1q2PK1P/8 b - -,b2c3
1rq3k1/1r2ppbp/3pb1p1/2p5/2P1P3/1P3P2/3B2PP/1RQB1R1K w - -,d1c2
5R2/r5p1/P1p3q1/1rN5/7k/K7/P6Q/8 b - -,h4g5
4rrk1/p2q1nb1/1pn3p1/2p1Pp1p/P1Np1P1P/1P1P1B1b/2PBQ2N/R3R2K b - -,e8e6
3rr1k1/pbq2pbp/1ppp1np1/4N3/P3P3/2NBB2P/1PP1QPP1/3RR1K1 b - -,d6e5
8/pp4p1/3b1kp1/2pPBp2/2P5/PP2RpPr/2BK1P1r/5R2 b - -,d6e5
r1bq1rk1/1p2bppp/p2pp3/4nP2/4P1Q1/2NB4/PPP3PP/R1B2RK1 w - -,g4g3
r5k1/4p1q1/1p4p1/p2b1p2/4n3/P2B4/2P1Q1PP/R4R1K w - -,e2e3
4r1k1/2qn1pp1/5n1p/1pb1pP2/8/1B3NB1/1P2QP1P/3R2K1 b - -,c7b6
3rr1k1/ppq2pbp/2p2np1/4p3/2PnP3/P1N1B1P1/1P3PBP/R2QR1K1 b - -,h7h5
2r1kb1r/1bqp1pp1/pp3n2/1N1pn3/2P5/1P4P1/PB2QPB1/R3R1K1 b k -,c7c5
2R5/5ppk/p6p/b2r4/R2Pp1P1/4B2P/1r3P2/6K1 w - -,c8e8
r2qkb1r/pp2pppp/2n5/3pPb2/3P4/2P2N2/PP4PP/R1BQKB1R b KQkq -,e7e6
r2q1rk1/pp2ppbp/2np2p1/5b2/2PN4/1PB1P2P/P2QBPP1/R4RK1 b - -,c6d4
r3r1k1/1ppbnppp/p2q1n2/3p4/3P4/P1PB2N1/1P1QNPPP/R4RK1 w - -,a3a4
5r2/p3r3/1np3pk/N2nPp2/3P1P1P/1P4P1/P3K3/2RR4 b - -,f8c8
2rr2k1/p4p1p/1p2p1p1/2q5/P1P2P2/4P3/1Q2R1PP/2R3K1 w - -,g1f2
r3r1k1/1pQ1ppbp/p5p1/1q1p2N1/3PbB2/1PP1P3/P4PPP/R3R1K1 b - -,a8c8
6k1/2rnppbp/q2p2p1/3P4/4PP2/6PP/PB1n2BK/Q1RN4 b - -,c7c1
r2qkb1r/ppp2ppp/2n5/8/2P1p1b1/P2nP1PN/1PQP2BP/RNB2K1R b kq -,g4h3
2rq1rk1/1p3pbp/p2pb1p1/4p3/2PnP3/1PN1B3/P2Q1PPP/1BR2RK1 b - -,d8a5
r2qR1k1/1ppb1p1p/3p1bpQ/p2P2B1/8/2P5/PPB2PPP/3R2K1 b - -,d7e8
r3kbr1/1pq2p1p/p3p3/2Pp1p2/1P1Nb3/2P2P2/P2N2PP/R2QR1K1 b q -,e4d3
3kn3/p4p2/1pB5/8/3P4/2P5/b6B/2K5 w - -,c6e8
8/3k4/p2p4/P7/2P3R1/n2K4/8/8 b - -,d7c6
1rr5/p1p1ppbk/4qn1p/6p1/3P4/P1QbP1PP/1P1B1PBK/R2NR3 b - -,b8b3
8/1p4p1/2p1R2k/2Pp1P2/rP1P3P/6P1/8/6K1 b - -,h6h5
8/7p/8/3k4/3p3P/r5P1/p3KP2/R7 w - -,f2f3
r2r2k1/1b3pp1/1p6/3p2p1/Pp6/1P1BnP1N/6PP/2R1R1K1 b - -,d5d4
2r5/8/8/1kq1P1P1/6p1/1Q6/2P4R/2K5 b - -,b5a5
6k1/pB2b1pp/1p2qp2/8/Pnr2B2/1nN1P1Pb/1P3QNP/3R2K1 b - -,h3g4
2r1kb1r/pp1bpp2/3p1p1p/q7/3QP3/2N5/PPP1BPPP/2KR3R w k -,f2f4
