8/7B/6p1/2k1pbP1/7P/4K3/8/8 w - -,h4h5
8/pp3kr1/2pN4/4R3/3n2P1/P5K1/1PP5/8 b - -,f7f6
r4rk1/pp3ppp/2p1bn2/b7/1P6/P5P1/1B2PPBP/R2R2K1 w - -,b4a5
r1b1qr2/pp4kp/1npQ3b/4p3/6p1/1BN1P1P1/PP3PP1/2R1N1KR b - -,h6g5
5r2/1R3pkp/n3pp2/8/r1pP1P2/p1P5/R3PPBP/6K1 w - -,g2c6
8/R7/1pp3k1/2p2pp1/6rp/2P5/PP3P2/5K2 w - -,a7c7
rn1qk1nr/ppp2ppp/8/3p3b/1b1P4/2NB1N1P/PPP2PP1/R1BQK2R b KQkq -,g8e7
6k1/5p2/2p1p2B/8/1n1q2P1/7P/3KB3/5R2 w - -,d2c1
2rqk2r/4bppp/p2pbn2/1p2p3/P2PP3/5N2/1P3PPP/RNBQ1RK1 b k -,f6e4
7k/7p/6p1/2b5/2Q5/6P1/5P1P/r5K1 w - -,g1g2
2r2rk1/4ppbp/p5p1/1pP1Pq2/1Pb5/2N1PN1P/P2Q2P1/2R1K2R w K -,e3e4
rn1qk2r/pp3ppp/2pb1n2/3pNb2/5P2/6P1/PP1PP1BP/RNBQ1RK1 w kq -,d2d4
2k2b1r/p4q1p/2p5/1N1rQ1p1/P7/6P1/4Pp1P/2R2K2 w - -,c1c6
2b1r1k1/1p2bppp/2pp2r1/4n3/2P4q/1PB1P3/P2QBPPP/R2R1NK1 w - -,c3e5
r3r3/2q1ppkp/3p1np1/1N3b2/2N1p2Q/1P4P1/P3PP1P/R2R2K1 b - -,c7c5
3b4/3rk3/2b5/p1Rp4/3P4/1KP5/PP6/8 b - -,e7d6
r3br1k/ppq3p1/2nbp2p/3p3B/3P4/P5B1/1PQ1NPPP/R4RK1 w - -,h5e8
1r4k1/p3ppbp/6p1/6P1/2q5/4BP1P/P4Q2/5RK1 w - -,f1d1
r3r1k1/pp1n1p1p/2p1b1p1/P7/3R4/2N2B1P/1PP2PP1/4R1K1 b - -,e6f5
2bqr1k1/r4pnp/pp1p2p1/2pPn3/P3P1B1/2N1R2P/1PQN1PP1/R5K1 w - -,g4c8
2r1r1k1/3n1p1p/pp1q1np1/3p2P1/3N1P2/1P2PQ2/PB4KP/R3R3 b - -,f6e4
3rr1k1/4bbpp/8/3p2P1/qppPpPBP/4P3/1P2Q3/1NR2RK1 b - h3,a4c6
8/1r6/R1R1pk2/p3rp1p/2B5/7p/6P1/7K w - -,c6e6
r1b1k2r/pp1nbpp1/2pp1n2/q3p1B1/3PP3/2NB1N2/PPPQ1P1P/R3K2R w KQkq -,e1c1
r2r2k1/pp2bppp/2n1pn2/7b/4B3/2P1pNBP/PP3PP1/R2Q1RK1 b - -,d8d1
rk1q1b1r/pp2pB1p/5p2/n2P4/8/7Q/PP2KPPP/RN5R w - -,h1c1
3r2k1/p1p1qp1p/6p1/1ppbP3/8/4Q2P/PPP2PPN/4R1K1 b - -,d5e6
8/p4r1p/4pk2/5p2/R1N2K2/1P6/P6P/7b b - -,f7d7
3R4/8/2pB2p1/3b1kP1/5P2/6K1/8/4b3 w - -,g3h3
r7/6k1/3p4/3P2P1/4B3/5K2/8/8 w - -,f3f4
5Q2/2k5/1pn1BP2/p1p1p1P1/P3P3/2P5/1P5K/2q5 b - -,c1f4
r4rk1/p2b2p1/1pn1p2p/3pP3/5P2/P2BB3/2P3PP/R4RK1 b - -,a8c8
8/3q2pk/4p2p/4Pp2/7Q/6R1/1r4PK/3R4 b - -,d7d1
r2r2k1/p3ppbp/5n2/5p2/1pPP4/pP2BN1P/2R2PP1/3R2K1 b - -,f6e4
6k1/6p1/1R5p/7P/1P2p3/1r4P1/5PK1/8 w - -,g3g4
5rk1/pprqnpbp/3pp1p1/8/4P3/2BP4/PP2NPPP/2RQ1RK1 w - -,d1d2
r3r1k1/1b1n1p1p/p1pq2pQ/1p1np3/P2PN3/2PB1P2/1P2N1PP/R4RK1 b - -,d6f8
4k3/p3n3/1p2QP2/2p5/4BB2/2P2KPq/P2R3r/8 b - -,h3f1
7R/1k6/2n1n3/3R2P1/7P/1P6/p4r2/2K5 w - -,d5d7
6k1/p1p4p/1P1p2p1/3Ppn2/1PP5/5r2/5P1P/3RR1K1 b - -,a7b6
8/8/1p2R3/5p1r/p1k2P1p/7K/PP4P1/8 b - -,b6b5
1r1q1rk1/1bnn1pbp/pp2p1p1/3P4/P2N4/1PNQP1PB/RB3P1P/3R2K1 b - -,c7d5
rnbqk2r/p2pppbp/1p4p1/2p5/3P1B2/2P1PN2/PP1Q1PPP/R3KB1R b KQkq -,c8b7
1qr2rk1/3bbppp/p2ppn2/1p6/3NP3/BP4P1/P1PQ1PBP/2R1R1K1 b - -,f8e8
r3k1r1/1bq1bp1p/pp1pp3/2n5/N1PQPPp1/1P2B3/P3N1PP/2RR2K1 w q -,e2c3
5rk1/2R3pp/p3qp2/np1pN3/3Pn3/4B3/PP2QPPP/6K1 w - -,e2g4
r3r1k1/p1pR1pp1/1pN4p/8/2p5/2P4P/PPb2PP1/2B3K1 w - -,c1e3
r4kn1/3bqpb1/p2p2p1/Pp1Pp1P1/1Pp1P3/2P1BP2/3Q3N/R2NK3 b Q -,f7f5
r1b1qrk1/pp1np1bp/2pp1np1/5p2/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 w - -,b1c3
r1bqr1k1/pp1n1ppp/2pb1n2/3pp3/2PP4/5NP1/PPQNPPBP/R1B1R1K1 w - -,c4d5
r1bk2nr/1pp2p2/p2pp1p1/7n/3PP3/2NB2P1/PPP4P/R1B1K2R w KQ -,e1g1
r4rk1/2p2pbp/qpnp2p1/p7/P1PP4/1Q2B1PP/R3PPK1/N4R2 b - -,g7d4
r3r1k1/pp3pp1/1qn4p/3p1b2/2pPnB2/5NP1/PP2PPBP/R1Q1R1K1 b - -,c6d4
2r1r1k1/p4qb1/2p1p2p/6p1/3P1p2/2P1BQ1P/PR3PP1/1R4K1 w - -,e3d2
r2r2k1/5ppp/2p3b1/p7/PpB1Pq1P/1N3PnR/1P3QP1/2R1K3 b - -,g3h5
r3k2r/1b2bpp1/p1p1q3/1p5p/4PBn1/P5P1/1PP1QNBP/R4RK1 w kq -,f2d3
r2q1rk1/2nb1pb1/1p1p2p1/1PpPp2p/2P1P2P/2NBB1P1/5PK1/R2QR3 b - -,a8a1
r1b2rk1/1pp1bppp/p3pn2/q3N3/2PP4/3B4/PP1BQPPP/R3K2R b KQ -,e7b4
rnbqr1k1/5pbp/p1pp1np1/8/1p1PPN2/4BPN1/PP4PP/R2QKB1R b KQ -,f6d5
r4r1k/4p3/pR3p1b/3pNb2/N2P1P1p/q7/P1P1Q1PP/5RK1 w - -,a4c5
3rr1k1/ppq2ppp/4pn2/2b5/1PP5/P2BBQ1P/5PP1/3RR1K1 b - b3,c5e3
5rk1/1p2qpbp/p4n2/4pQ2/2rB4/2P5/PPN2PPP/R3R1K1 b - -,f6d7
r2qr1kb/1bp2p1p/p2p2pB/1pn5/3NP3/1PP2PN1/1P1QR1PP/R5K1 w - -,b3b4
8/8/k7/1R2N2r/1K6/8/8/8 b - -,h5h1
1rb1k1nr/p1ppqpbp/2p3p1/8/2P5/2N3P1/PP1BPP1P/R2QKB1R w KQk -,b2b3
3r4/1pr4p/p2p1kp1/P2Pnp2/1PPR4/1K6/4B1PP/3R4 w - -,d1c1
8/5p2/p2K1k2/1b5p/8/6P1/2R4P/8 w - -,c2f2
8/5pk1/5np1/7r/R7/3KN3/8/8 w - -,d3e2
r4rk1/1pp2ppp/1p1q4/3P1b2/2B5/2N2p1P/PP3QPR/R5K1 w - -,f2f3
8/1p4k1/2r3p1/p3pn1p/2P5/1PN5/P2K1RPP/8 w - -,c3e4
2r2rk1/4q1pp/3bp3/3p4/2P1n3/3Q2P1/PB2RPKP/RN6 b - -,c8c4
2kr3r/p1q1npp1/1p2p2p/3pP2P/2nP4/B1PQ1N1R/2P2PP1/R3K3 b Q -,e7c6
r3k2r/pp1q1pb1/2np1np1/2pBp1Bp/4P2P/2PP2N1/PP3PP1/R2QK2R w KQkq -,d5b3
4r1k1/p2R4/1p2P2b/2p3Np/4BKpP/2q5/8/6R1 b - -,e8e6
r3kb1r/1bqn1p1p/pp1ppnp1/8/P3PP2/1NNB1Q2/1PPB2PP/4RRK1 b kq -,f8g7
2r1rk2/1p2ppbp/p2p1np1/3Pn3/4P3/N3BP2/PP2B1PP/2RR2K1 b - -,e5d7
2rr1B1k/1p3p1p/p1n1pp2/8/3P2Q1/P4N2/1q3PPP/2RR2K1 b - -,d8f8
8/7k/7p/P2pP3/4pP2/1P2P3/4Q3/4K1q1 w - -,e1d2
5rk1/1p4p1/p1b3Qp/3q1p2/1B3n2/3P4/PP3PPP/4R1K1 w - -,g6g3
rn1q1rk1/1p2bppp/p2pbn2/4p3/4P1P1/2N4P/PPP1NPB1/R1BQ1RK1 b - -,b8c6
1r2r1k1/3n1ppp/3q1n2/p1bP4/8/P5PP/1BQN1PB1/1R3RK1 w - -,d2c4
rn2kb1r/1b1p1ppp/4p3/qBpn4/4P3/2N5/PP2NPPP/R1BQ1RK1 b kq -,d5c3
2r1r1k1/2qb1p1p/p2p2p1/1p1Pp1P1/4R1P1/1NP1R2P/PP1Q4/6K1 w - e6,e3f3
1r1r1k2/3n1pbp/2qpp3/p7/2P1P1Q1/1P4R1/P4PPP/3R2K1 w - -,g4g7
8/8/R2P4/5pp1/1k6/p3K1P1/4B3/6r1 b - -,g1g3
r1bq1rk1/1ppp1ppp/p1nb1n2/8/B2PPP2/2N5/PPP3PP/R1BQ1RK1 w - -,e4e5
4k3/7p/1b3p2/1P1R1p2/2KNnB2/6PP/8/5r2 w - -,d4f5
8/1kprnb2/pp1b1ppp/8/2P1PPPP/P1K3N1/1B2N3/5R2 b - -,f7e6
6k1/1Bn3n1/pp3p2/8/P1pP4/1rP2PP1/3B3R/6K1 b - -,b6b5
5bk1/p4p1p/q1p1b1p1/3np1P1/4N3/1PP2P2/1P1Q3P/2KR3R b - -,f7f5
5q2/8/6p1/7k/p1P5/6p1/4QP2/6K1 b - -,h5h6
qbr1r1k1/1b3pp1/p2Bpn1p/8/2p5/P1N1PP1P/1P2NQP1/2RR3K w - -,d6b8
1qrrb1k1/4bppp/p1n1p3/1pP1N3/1P6/P1N1B2P/2Q2PP1/2R1RBK1 b - -,c6e5
3r2k1/pp3pp1/1q4p1/3n1n2/1P1p1P2/P2B1Q2/2PB2PP/4R2K w - -,d3f5
6k1/1pR1p1b1/p2qb2p/3r2p1/3P1P2/1B1QP3/P6P/5RK1 w - -,b3d5
r2r2k1/1pp1qpp1/p1nbpn1p/8/1P1P2b1/P3PN2/1B1NBPPP/2RQ1RK1 w - -,f1e1
2r5/p4pkp/1pN1p1p1/8/1PP5/6P1/P4P1P/2R3K1 b - -,c8c6
1nq4k/5ppp/5n2/1B1p4/p2Q1b2/5P2/P5PP/1R4BK b - -,f4d6
1r6/2R2k1p/r2pb1pb/5p2/PP6/5P1P/5BP1/4R1K1 b - -,f7g8
8/2n1N3/5pk1/1p2p1pp/1Pp1P3/2P1KPPP/8/8 b - -,g6f7
rn1qk2r/pp2bp1p/4p3/1Q1pPR2/1P1N4/P7/6PP/R1B3K1 b kq -,d8d7
8/p4k1p/6p1/r2pR3/P6P/6P1/5P2/6K1 b - -,f7f6
8/2Rbqkn1/1p1r3p/1P1Pp3/4Pp1Q/3B1N1P/6P1/7K w - -,h4e7
4n3/2p2k2/1p2qpp1/p7/P1P1Q3/2N3P1/6P1/6K1 b - -,e6e4
8/p2r1pk1/6p1/7p/8/KPnN4/2P3PP/5R2 w - -,a3b2
rnb1kb1r/1p1p1ppp/1qp2n2/8/p1P1p3/2NP2P1/PP1NPP1P/R1BQKB1R b KQkq -,e4d3
rn1qr1k1/p1p2ppp/1p3n2/3p4/3P4/P1PQPP2/4N1PP/R1B2RK1 b - -,c7c5
r1b2rk1/pp2q2p/nnp2ppQ/4p3/8/2NP1NP1/PP2PPBP/2RR2K1 b - -,c8d7
8/p5k1/1p1pq1p1/2pR3p/2P2Pnb/1P2p3/P3Q1KP/2R5 b - -,g4f6
r1bqk1nr/pp3ppp/2n1p3/2pp4/2PP4/P1P1PN2/5PPP/R1BQKB1R b KQkq -,g8f6:g8e7
8/R7/bp1k1pp1/2n1p3/2P1p3/P7/2P2PP1/2K2B2 b - -,a6b7
8/8/pBK1k3/P3p1p1/4P2b/5r2/2R2P2/8 b - -,f3f4
4rr2/1ppbqppk/1p1p2np/4p3/4P3/PB1P2PP/1PPN1P1K/R2Q1R2 w - -,c2c3
3br3/2nr2k1/p3q1p1/Pp1pPp1p/1Pp2P1P/2P1BQP1/2BR2K1/3R4 w - -,e3b6
r1bqk1nr/pp2ppbp/n1p3p1/8/3PN3/5N1P/PPP2PP1/R1BQKB1R w KQkq -,f1a6
b2r2k1/1n1n1p2/1p1Pp1p1/pP5q/P2R4/B6P/4N1B1/1Q4K1 w - -,e2f4
rn1q1rk1/ppp1bppp/4pn2/3p4/3P1P2/1P4P1/P1PN1PBP/R1BQ1RK1 b - -,c7c5
4k2r/1ppb1p2/r2p2qp/2nPp1p1/p1P1Pn2/P1Q2RNP/1PB2PP1/R1B3K1 w k -,c1f4
6k1/5pp1/2p1bn1p/2P5/3Q4/1q1PP2P/r4PP1/3R1K1R w - -,d1a1
r4rk1/pp1bq1pp/2pp1nnb/3Ppp2/2P2P2/PPN1PBPN/1B1Q3P/R4RK1 b - -,c6c5
2k1rr2/1pp4p/p1p2p2/5Pp1/2Q1P3/P7/1PPN1Bq1/4K1R1 b - -,g2h2
6k1/6pp/2p1R3/1p6/5pPP/8/1PR2PK1/r6r b - -,h1h4
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/1QN2N2/PP2PPPP/R1B1KB1R b KQkq -,e8g8
4k3/p1b2pp1/2p1p1q1/1pPr4/3P2P1/P3B3/KP3Q2/5R2 w k -,e3f4
2rq1rk1/pb1pbppp/1pn1pn2/8/3P4/PP1B1N2/1BPNQPPP/R4RK1 b - -,f8e8
qr2n1k1/p2Q1pp1/1p2p2p/4b3/2P1N3/1P3PP1/P5KP/2BR4 w - -,d7b5
2r3k1/1p5p/3p2pb/3Pp1q1/PB6/4R3/5RPP/3Q2K1 b - -,g5e3
3rb3/1kq3Q1/p2bp3/1p1p1p2/8/2P2NpP/4N1P1/R4K2 w - f6,g7f6
r1b1qrk1/ppp3b1/3p2n1/P1PPp1Bn/4P3/2NN1PQ1/1P2B2p/R4R1K w - -,g3h2
r3k2r/1p1bbp1p/p1nppp2/7B/4PP2/qNN1Q3/P1P3PP/R4R1K w kq -,a1e1
8/4P3/5k2/8/8/bR2r3/6K1/8 b - -,e3e2
3k4/3P4/1pB5/2p1p3/P3P3/1KP4r/8/8 b - -,h3h6:d8c7
8/4b1k1/r3p2p/3pP3/3P1NPP/5R1K/8/8 w - -,f3g3
rn1qkbnr/1b3p1p/p2pp1p1/1pp5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 b kq -,f8g7
8/8/p1n3p1/Pp1pP1PP/1P3k2/2K5/5B2/8 b - -,g6h5
1rbnkn1r/p1q1b2p/4p3/2PpP2N/1pP3p1/3BBN2/PPQ3PP/R3K2R w KQk -,e1g1
r1bq1rk1/ppp3bp/3p1nn1/3Pp1p1/2P1PpP1/2N2B1P/PP1N1P2/R1BQ1RK1 b - -,g6h4
7k/p5p1/1p5p/8/1PPq4/4p1PP/P3Q3/6K1 w - -,g3g4:g1g2
rnb2rk1/3pppbp/P4np1/q1pP4/4P3/2N2N2/PP3PPP/R1BQKB1R w KQ -,f1d3
1r6/6k1/p1P3p1/8/1P2NpK1/7P/6P1/8 b - -,b8b4
8/p2Bk3/1p2P1pp/2pK4/2P3P1/1P4bP/P7/8 b - -,g3f4
2rq1rk1/1p1nbppp/p2p2b1/3Pp3/8/1N2BP2/PPPQB1PP/R2R2K1 w - -,c2c4
8/6pk/5n1p/1p6/2p2Q2/2P4P/1q1B4/6K1 w - -,f4f5
3r2k1/pp3pbp/1q4p1/1r6/2p1Q3/2P2N1P/PP3PP1/1R3RK1 b - -,b5b2
rn2kb1r/pp2pppp/2p2nb1/q7/2PP4/2NB1P2/PP2N1PP/R1BQK2R w KQkq -,c1e3
4B3/8/p1k1bp1p/3p1p2/1P1K1P1P/4P1P1/8/8 b - -,c6d6
8/8/p5p1/5p2/1K6/4k3/1P5P/8 w - f6,b4a5
r1b1k3/3p1p1Q/p3p3/8/qp4r1/4KN2/PPP4P/R4B2 b q -,a4a5
8/8/1Pk5/7p/3Kpp1P/8/6P1/8 b - -,e4e3
8/4b3/8/3K4/2N3P1/2pk4/8/8 b - -,c3c2
r2q1rk1/pp1bp1bp/3p1pp1/2pP4/1nP1PP1B/2N4P/PP2Q1P1/RB3RK1 b - -,f8f7
8/8/7p/p2b3P/P4p1k/3K4/8/3B4 b - -,h4g3
8/1p3n2/p3kpp1/P6p/3KPP1P/8/8/4B3 w - -,e1d2
r1b3k1/1p4bn/1nppN1p1/p5qp/P2PP3/2N1B3/1PP1Q1B1/R4rK1 w - -,a1f1
r4k1r/8/ppq2bp1/2pbppNp/5P2/7P/PPQ1NRP1/3R2K1 w - -,e2c3
1n6/2b2k2/p1p1r2p/2p3p1/1B6/1B3PP1/PP1R2KP/8 b - -,c5b4
4k3/1R1b4/4pp1p/6pP/3PP1P1/r2BKP2/8/8 b - -,d7c6
2r2bk1/5p1p/4p1p1/q1N5/2QP1P2/p3P1P1/2R2K1P/8 b - -,h7h5
r1b1k2r/1pq2pp1/p1p2n2/2b1pP1p/2P1P3/3B4/PP4PP/RNBQ1R1K w kq h6,b1c3
8/pbrr3k/1p1p1Qp1/3P1p1p/7P/1P3BP1/P3PP2/6K1 w - -,g1g2
2kr3r/1p2Rp1p/p4p2/3p4/3P2Q1/2P5/3q1PPP/R5K1 b - -,c8b8
1QR5/1p3rpk/4p2p/6q1/3P4/8/5PP1/1rB3K1 w - -,c8h8
6k1/pp3q2/2p3p1/8/2P5/6P1/PP2QP2/6K1 b - -,f7c7
8/p7/1p1rp2p/6k1/6P1/5K2/PP1p3P/3R4 w - -,f3e2
r2qr1k1/pppb1pbp/3p1np1/2n5/2P1P3/1NN3PP/PP3PB1/R1BQR1K1 b - -,c5a4
3r4/4r3/1k2pR2/4P2B/Ppp4P/n5P1/1KP5/4R3 b - -,b6c5
r4rk1/pp1b3p/6p1/q2pPp2/1P1NnP2/2bBB3/P3Q2P/R5RK b - -,a5b4
1r4k1/1p3pqp/p2p2p1/2p2P2/P1Pb4/5R2/1PQBr1PP/5R1K w - -,c2d3
r1b1kb2/1p3p2/p2pp2Q/q3n3/3NP3/1BN2r2/PPP3K1/3RR3 w q -,h6g5
8/p7/8/8/PKpR3r/2P2k2/1P6/8 b - -,h4h2
5r2/p3qpk1/1p4p1/2p5/b1Pp2P1/P2P1Q1P/6B1/5RK1 w - -,g1h1
r1k4r/1pp1np2/p1n2Npq/4P2p/2Q5/P4N1P/1PPR2P1/1K2R3 b - -,h6g7
r1br2k1/pp1n1pp1/4P2p/b1p1q3/4B3/P7/1PP1NPPP/R1QN1RK1 b - -,e5e4
4r3/1p1Rrpk1/p1p3p1/4bq2/1PB5/P2RPP2/3QKP2/8 b - -,e5f6
r3r1k1/p4p1p/2b3p1/2B1b2B/4P2Q/5R2/2q3PP/3R3K w - -,f3f7
r2q1rk1/ppp1bppp/4p3/4P2b/1nP5/1PQ2N1P/Pn1NBPP1/R2R2K1 w - -,c3b2
8/p2r4/1b2k3/4Bpp1/1P3P2/P2p4/3R1P2/3K4 w - -,a3a4
r2qkb1r/1bppnppp/p7/1pnBPN2/8/2N5/PPP2PPP/R1BQ1RK1 w kq -,c1g5
rnb1kb1r/pp2pppp/5n2/2pq4/8/2PP4/PP3PPP/RNBQKBNR w KQkq -,g1f3
8/6pp/4kp2/2N5/Pp6/1Pn1PP2/5KPP/8 b - -,e6d5
r1b1kb1r/2q2ppp/p3pn2/3pn3/Np1NP3/4BP2/PPP2QPP/2KR1B1R w kq d6,d4b3
8/6p1/7p/3P1B1P/4kbP1/4p3/4R1K1/3r4 b - -,e4d5
1r2k2r/2pq1ppp/1pn5/1Q1p4/2pP1b2/P4NPB/1Pb1PP1P/R4RK1 b k -,f7f5
8/2N1k2p/1K2P3/1p6/1P4p1/6N1/5r1P/8 b - -,h7h5
2b5/1p3pkp/p7/4rp2/P7/2P2B2/1P1R2PP/5K2 w - -,d2d8
5rk1/Q3p1b1/2p3pp/P3p1r1/1p4q1/1N4P1/1PP2P1P/2R2RK1 b - -,g4h3
8/2r2pk1/1p4p1/8/1RnN4/p3PP2/P4PK1/8 w - -,f3f4
3q3k/1R5p/3r1p1P/3Br1p1/2P3Q1/P3P3/5P2/5K1R b - -,e5e8
rn2k2r/p1q1bpp1/2ppbn1p/4p3/3PP3/P1N1BB2/2P2PPP/R1NQ1RK1 b kq -,b8d7
8/2b2pkp/2Q3p1/1p4q1/1P1P4/7P/8/4B1K1 w - -,g1f1
rn1qk2r/pp2bpp1/2p1pn1p/3p1b2/P7/2PP1NP1/1P1NPPBP/R1BQ1RK1 b kq a3,e8g8
r4rk1/pbqnbppp/2n1p3/1pppP3/8/3P1NP1/PPP1QPBP/R1B1RNK1 w - -,c1f4
7k/6p1/2Q2n2/4p2B/8/1P2q1PP/P5RK/2r5 w - -,c6a8
