8/4k1PK/8/8/8/8/7r/5R2 w - -,h7g8
5rk1/pp6/2n1p2p/3pN1p1/3P1q2/2BB4/PPR2PPP/4R1K1 b - -,c6d4
8/R7/4p1p1/pr5p/1k5P/1P4P1/3K1P2/8 w - -,d2c2
3r2k1/1b3p2/4p1pp/1p6/4B3/4P3/1P1N3b/2R3K1 w - -,g1f1
1rbq1rk1/p4ppp/2pbp3/8/Q7/P1P3P1/4PPBP/R1B2RK1 b - -,d8c7
r2rb1k1/3q2b1/2p1pP1p/ppBn2pP/3PN1Q1/6P1/PP3PB1/3RR1K1 b - -,d5f6
8/4B1k1/4b3/8/p1p5/P1K2R2/8/3r4 w - -,f3e3
4nbk1/N1rrqp2/n2pp1pp/8/2P1P3/1P2BPPP/P2R1QK1/3R4 w - -,a7b5
4k3/6n1/3Bp2N/4Ppp1/3b2P1/5K1P/8/8 w - -,f3e2
7R/p2bq1kp/1p2p1p1/1Pr2p2/2P1p1P1/N3P1QP/P4P2/6K1 w - -,g3b8
1r2k2r/p2bpp2/3p4/3P3p/2p1P3/2N2P2/P1B1K1P1/7R b k -,b8b2
rnbqk2r/pp3ppp/5b2/2p5/3p4/2NP2P1/PPP2PBP/R2QK1NR w KQkq -,c3e4
1k6/8/2K5/8/5b2/8/4R3/8 w - -,e2b2
6k1/N2p1ppp/2b5/8/3B1P2/bP1rP3/P5PP/R6K b - -,c6b7
r1b1k2r/4npbp/pqn1p1p1/8/P2pP2P/1P1B1N2/2PBNPP1/R2QK2R b KQkq -,a6a5
3n1k2/7B/p2p4/2pPp1q1/2p5/4Q3/P3K3/8 b - -,g5g2
8/6pk/2pN1p1r/p4P1p/P2P3Q/1P2P3/3NK3/6q1 b - -,g1g2
rn1qk2r/1bpp1ppp/p3pn2/1p1P4/1bP1P3/2N5/PPQ2PPP/R1B1KBNR w KQkq -,c1g5
7k/5p2/3p1Pp1/7p/p2QB1nP/P2P2P1/6K1/2q5 b - -,c1d2
7r/2k5/pr1pp1Bp/2n3p1/1RP2pP1/P4P2/3K2P1/7R w - -,d2c3
r1b2rk1/1pp2pp1/pb4p1/3Pp3/2B5/2PP4/PP4PP/R1B1R2K b - -,f7f6
5nk1/5pp1/B3pn1p/p3N3/P1Rr1P2/1P6/6PP/4R1K1 b - -,d4d6
6k1/5p2/1p2b2p/2p1B3/p5P1/P4P2/1P3K2/8 w - -,e5c7
3rr2k/pp3pbp/2p3p1/q1n5/8/1BP2P2/PPQ2BPP/R4RK1 b - -,h8g8:c5d3
8/pp1bkp1p/3ppp1b/4rP2/1P2P2P/P1NR2P1/2P3B1/1K6 b - -,d7c6
2kr4/8/Pp2p3/2r1Pp2/5Pp1/6N1/3R2P1/6K1 w - -,d2b2
r6k/1pQbr1pp/8/p2q1p2/4p3/P1R1P1P1/1P3P1P/2R2BK1 w - -,c3c5
2r3k1/3n1p2/1p1P2pp/6N1/b2pR2P/P5P1/5PB1/6K1 w - -,g5f3
4r1k1/2pqBpp1/7p/np1Pp2n/4P3/2P5/1PN2PPP/3QR1K1 b - -,h5f4
7k/1bp2prp/1p1p1p2/2p2P2/2P1P2R/2QB3P/q1P3P1/7K b - -,a2b1
7r/3qrpk1/3p1bp1/1ppB4/5PP1/1P3RK1/P1R3Q1/8 b - -,h8h4
rn1q1rk1/pp3ppp/2p1p1b1/8/P1BPP1P1/2b2P2/6NP/1RBQ1RK1 b - -,c3d4
2r2rk1/1p1b1pbp/p2p1np1/q3P3/3BP1P1/2N4P/PPP3Q1/1K1R1B1R b - -,d6e5
8/2r1qpk1/6p1/2n1p2p/2Q4P/2P2PN1/B5PK/8 w - -,h2h3
2r1k2r/1p2pp2/p2pbn2/4q3/4P3/2N1Q2P/PPP1B1P1/2KR1R2 b k -,c8c3
1r3rk1/q4ppp/3p4/3Pp3/1p1bPP1P/1P4P1/3Q2BK/3R1R2 w - -,f1f3
8/kp3p2/p7/2pN4/P1PbP1p1/qP5r/4K3/1Q1R4 b - -,h3b3
5rk1/8/1b4pn/3R4/5P2/4P2P/5K1P/3R4 w - -,f2f3
8/1b5r/p2k2p1/Pp1p1pPP/3P4/6K1/1P2B3/2R5 b - -,h7e7
4r3/1pk1p2p/1p3pp1/bR1P4/3BPP2/3K4/P5PP/8 b - f3,e7e5
4rrk1/pppq2p1/3bp2p/3n4/3PR3/3Q1N1P/PP1B1PP1/R5K1 b - -,f8f5
1r3rk1/4b1pp/5p2/3RpP2/1p4P1/1Q1p4/3Bq1BP/7K b - -,g8h8
r1b2rk1/pp2ppbp/1q1p1np1/6B1/2P1P3/2N5/PP1QBPPP/R3K2R b KQ -,a7a5
4rrk1/pppb2pp/2n1pq2/3p4/3P4/2PB1N2/PP2QPPP/R4RK1 w - -,a1e1
3r4/1p3pk1/P5p1/3Pb2p/q6P/3Q2P1/3RNPK1/8 b - -,b7a6
2rq1rk1/p4p1p/2n3p1/1p2p3/1P1b4/PQ2N3/1B3PPP/3R1RK1 b - -,d8h4
r1bq1rk1/pp2bppp/2n1p3/3n4/2BP4/P1NQ1N2/1P3PPP/R1B2RK1 w - -,c3e4
2r5/3b2k1/3n1pp1/3Pp2P/pN2P3/P1q3N1/3nBQP1/3R3K w - -,e2d3
8/3n2k1/1PR3p1/1r2p3/4P3/8/6PP/6K1 w - -,c6c7
1r4k1/2q2p1p/Q1p3p1/2b3B1/P3R3/6P1/5P1P/6K1 w - -,a6c4
4r3/1ppnNr1k/1p1p1Ppp/6P1/4P2P/2P3K1/PP2R3/5R2 w - -,h4h5
8/3r2p1/3b3p/3kp3/1pR3P1/3K3P/1P1B4/8 b - -,d7f7
2r3k1/p2N2n1/7R/3p4/P6P/3p4/1P2bPPK/2r1R3 w - -,d7f6
1r2r3/1bq2pbk/pn1p2pp/N1pP3n/4P3/2N1B1P1/1P3PBP/R2QR1K1 w - -,f2f4
2r3k1/2pnr1p1/1pq1p2p/2P1P2P/1P4RN/6Q1/5PP1/4R1K1 w - -,g4g6
5rk1/2pn3p/2n1r1p1/p3pp2/PbPpP2q/1N1P2NP/3B1PP1/1R1Q1RK1 w - f6,d2b4
2R5/8/8/2b5/1p3p2/1K3Pn1/6P1/5k2 b - -,c5e3
8/5p1p/p5pk/8/4q3/1r5P/6P1/Q1R4K w - -,h1g1
4R3/8/8/5n2/5k2/3K4/8/8 w - -,e8e4:e8e6
rn1qkb1r/p4ppp/b1p5/4P3/2Q5/5N2/PP3PPP/RNB2RK1 w kq -,c4c2
2r1rbk1/1pqn1pp1/p2ppn1p/8/2P1PP2/1PN2N2/PB2Q1PP/3R1R1K b - -,c8d8
5k2/5ppp/p2p1n2/3p4/1r6/NP3P2/2P2KPP/4R3 w - -,e1a1
2rr2k1/pb1nbppp/3qpn2/1p1p4/3N4/1P1PPNP1/PB1Q1PBP/2R2RK1 b - -,a7a6
2k5/2p3pp/1n3p2/4rP2/1P6/7P/2P3PK/5R2 b - -,e5e2
3q1k2/pp1bb1np/3p2p1/2pPp3/4P1P1/2PB1NNP/PP1Q2K1/8 w - -,g4g5
4rqk1/pp3p1p/2n2npb/3r4/Q2N4/5P2/PP2BBPP/R4RK1 w - -,g1h1
2kr3r/ppp1n1b1/2np2p1/3Npp2/2P1PPq1/3PB1P1/PP1QN1K1/R6R w - f6,e2c3
r2q1rk1/4ppbp/Bn1p1np1/2pP4/p3PB2/2N2N1P/PPQ2PP1/R3R1K1 b - -,a8a6
6k1/5r2/p3q3/3p3Q/2pb3p/5R1P/PP3P2/5K2 w - -,f3f7
r4rk1/ppq1ppbp/1n2bnp1/2p1N3/2PP4/1BN1B3/PP2QPPP/R4RK1 w - -,c3b5
1r6/5Pk1/pp1p1n1b/2pPpbq1/P1P5/2NB4/1P3P2/R2QK2R w KQ -,d3f5
3r2k1/B4pp1/1n6/bP1B4/4p3/6P1/P4PK1/1R6 w - -,d5e4
r2q1rk1/pb1nbppp/1p1ppn2/2pP4/2P1P3/2N2NP1/PPQB1PBP/R4RK1 b - -,e6e5
r4rk1/1p1qppbp/p3b1p1/3pP3/Pn1P2P1/4B2P/1P1QNP2/2R1RBK1 b - -,a6a5
r3k2r/1pp1n1pp/p2p1pq1/1b3N2/2n1PPP1/2P1B3/P1PQB2P/2KR3R w kq -,e2c4
2r2rk1/1p2pp1p/p2pb1p1/8/4PP2/2NP4/PP1R2PP/1K5R b - -,c8c7
2rqk2r/1b2b2p/ppnp2pP/4p3/1PP1P3/P1N1B1P1/4Q1B1/1R3RK1 w k -,g2h3
5k2/1p1rr3/p6p/P4Pp1/1R1bN3/5P1P/1P4K1/4R3 b - -,d4a7
R7/6pk/6rp/5Q2/7K/p1P2PP1/4q3/8 w - -,f5c8
r3kb1r/pp3ppp/2n1pn2/2P4b/8/2P1BN1P/PP2BPP1/RN1qK2R w KQkq -,e2d1
r3kb1r/pp1q1ppp/2n1bn2/2pp4/3P4/1PN2NP1/P3PPBP/R1BQ1RK1 b kq -,c5d4
1kr4r/pq3pbp/1p1p1np1/2nP4/PQ3P2/5NP1/1B4BP/R2R2K1 b - -,h8e8
6k1/3R1pp1/4n2p/1N6/2n5/6BP/3r1PPK/8 w - -,d7d2
r1bqrbk1/pp3pp1/2p1pn1p/8/2PP1B2/5NP1/PPQ2PBP/R2R2K1 b - -,f8d6
r1bq1r2/1pn1ppkp/p1p2np1/4N3/2PP4/2N2B2/PP1Q1PPP/R4RK1 b - -,d8d6
r2q2k1/1ppb2bp/3p1r2/2PPp1p1/1P2Pp2/p1N2P2/P3Q1PP/3R1RBK w - -,c5c6
6k1/p5p1/1pp2b2/5b1p/N1P1pB1P/1P1r2P1/P4PK1/2R5 w - -,f4b8
1rb2rk1/1p3pb1/p2pp1np/q5p1/4P3/1PN2P1P/1PPQ1BP1/1K1R1B1R b - -,f8d8
8/8/2K5/6pk/P5R1/7P/2r3P1/8 w - -,c6b5
7k/6r1/5K2/6P1/8/8/4R3/8 b - -,h8h7
2r3k1/5p1p/1Rp3p1/p1n5/2P5/7P/P1Pr1NP1/2R3K1 w - -,f2g4
2r3k1/4qpp1/pn1R2b1/1p2n2p/4P3/1Pr2PN1/P5PP/1B1QRNK1 w - -,d1d4
1Q6/4ppkp/2P2bp1/3P4/2p2P2/4q2P/8/2R4K w - -,c1c4
r3k2r/ppq2pp1/2pbpn2/8/2PP4/4Q2p/PP1BBPP1/2KR3R w kq -,h1h3
3br3/5rpk/2R3Np/p2pBb2/1p3P2/4P3/PP4PP/3R2K1 w - -,d1d5
rnbq1rk1/pp2ppbp/5np1/2Pp4/8/3QPN2/PPP1BPPP/RNB2RK1 b - -,d8a5
8/4k3/3P4/1p2P2p/pP1K3P/8/8/8 b - -,e7e6
5rk1/4ppb1/b2pn1p1/2p4p/4P3/2PP1NPP/1q1B1P2/2R1QBK1 w - h6,c1a1
1r4k1/5pb1/3p2pp/p2r4/R2P3P/5PB1/1P1R1PK1/8 w - -,g2f1
2b1k3/p2rn2p/6p1/2B2p2/4PP2/P7/6BP/4R1K1 w - -,e4f5
r4rk1/np1bq3/1n2pp1p/p2p4/3P3P/2N2N2/PP3PP1/1BRQ1RK1 w - -,f1e1
r1bq1rk1/pp1pnpbp/2n1p1p1/2p5/2P1P3/2NP1N2/PP2BPPP/R1BQ1RK1 w - -,a1b1
6k1/5p2/b3p1p1/P3P2p/2r2P2/1K4P1/7P/R7 b - -,c4c6
4r1k1/5p2/4bp1p/p2p4/1n6/2N3P1/1P2PPBP/R5K1 w - -,a1a5
4b1kr/1p2q2r/3p1p1p/pPpPpPp1/P3P1PP/1P2K2R/4B2Q/7R b - -,b7b6
1r4k1/b4ppp/p7/8/p7/1P2P3/R1N2PPP/6K1 w - -,b3b4
r1b2rk1/1p5p/1qp3p1/4Pp2/p2bp3/2B2PP1/PPQ3BP/R4R1K w - -,f3e4
8/7p/4kp2/2B5/6n1/P7/6P1/7K w - -,g2g3
3r3k/1bq2pp1/p3p2p/1p1r4/3N1P1Q/P1P4P/1P4P1/3RR2K w - -,h4g4
1r3rk1/p5pp/2p4q/n4p2/Q7/2NP2P1/PP1bBP1P/1R3RK1 b - -,a5b7
rn1qkb1r/pbp2ppp/1p2pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,d5c4:f8d6
r3b1k1/1p3p1p/2p1p1p1/p1P5/n1N5/6P1/1P2PPBP/3R2K1 b - -,a4c5
1B4k1/6p1/5p1p/8/5Pn1/8/3r2P1/4RK2 b - -,g8f7
r2q2k1/4bpp1/pp2p2p/4P3/1PNP4/3b3P/1Q3PP1/R1R3K1 b - -,e7g5
r1qr2k1/1p3pbp/2p1pnp1/8/p1PP4/1P3NP1/PB2QP1P/R2R2K1 w - -,f3e5
8/p5p1/1p2k2p/n1p2p2/P1P2PP1/B1PK4/7P/8 w - f6,h2h3
1n2rr1k/2b2qp1/2p4p/2PnpP2/N2pN1P1/P2Q1P2/3B3P/1R3R1K b - -,b8d7
1r1q1rk1/4bppp/p2p1n2/np2pP2/8/1B2BP2/PPP1NQPP/R2R2K1 b - -,a5b3
r2q1rk1/1p1bppb1/3p2p1/p1pPn2p/4P2P/P2PBPP1/1P2N1B1/1R1Q1RK1 w - -,b2b3
2b2r1k/5pbp/p4Np1/3p3P/1P2p3/P4RP1/4PPB1/5RK1 w - -,f6e4
8/5pk1/1R5p/r7/6P1/8/5PKP/8 w - -,h2h4
r1b1r1k1/1p1nqppp/p3p3/1Bp5/3P4/2Q1PN2/PP3PPP/3R1RK1 w - -,b5d7
r2qkb1r/2pn1ppp/pp2p3/8/P1BPb3/5N2/1P3PPP/R1BQ1RK1 w kq -,d4d5
2r1r1k1/ppqb1ppp/4pn2/2b3B1/3N4/1BP5/PP2QPPP/R3R1K1 b - -,f6d5
r3k2r/ppq2pp1/2n1pn2/3p4/3P2bP/2PB1N2/PP1N1PP1/R2Q1RK1 b kq -,h8h4
4r1k1/2R1B1p1/5p1p/5P2/3K2n1/8/8/8 b - -,h6h5
r3k3/pp6/2n1p2p/2B2p2/8/2P3P1/P4P1P/R5K1 w q -,a1e1
8/4k3/6R1/5K2/4p1PP/6r1/8/8 b - -,e4e3
r2bk1r1/pp1n1pp1/q1p2P1p/1n1p4/P2P3Q/4B1P1/1P2P1BP/RN3RK1 w - -,g2h3
2kr1r2/1pp3pp/8/3q4/3P2P1/P1PQ4/6K1/R6R w - -,g2g3
1r3bk1/2q3pp/pNp5/P2pnb2/1P6/8/2PBB1PP/1R1Q3K w - -,h2h3
8/2p2pK1/2p2P2/p6p/1p4k1/1P6/P1P5/8 w - h6,g7f7
3r2r1/1p1bkp1N/p1n1p3/8/1P2B1pP/P7/3R1PP1/5K1R b - -,f7f6
4r3/pp2r1k1/2p1P1p1/6N1/1P6/P4R2/8/4R1K1 b - -,g7h6
2r2rk1/1b2n1bp/1q1p2p1/1ppPpp2/p3PP2/1P1P2P1/PBR1N1BP/2Q2R1K w - -,b3a4
rn1qk1nr/1bp2pbp/pp1pp1p1/8/P1BPPP2/2N2N2/1PP3PP/R1BQ1RK1 b kq -,d6d5
r1bqkb1r/pp4pp/2n2p2/2pnp3/8/PP1PPN2/1B3PPP/RN1QKB1R b KQkq -,f8e7
rnbqr1k1/5pbp/p2p1np1/1ppP2B1/4P3/2NB1N1P/PP3PP1/R2Q1RK1 w - -,f1e1
r2q1rk1/1b1nbppp/p7/1ppp4/3PnP2/2N1BNPP/PPP3BK/R2Q1R2 b - -,a8c8
r4k1r/1b4p1/p3p2p/4R3/Pp3p2/1P3N2/2P2KPP/3R4 w - -,e5e6
1br2rk1/4q1pp/Qp6/2ppnp2/P2PnP2/1PN1P3/1BR3PP/2R3K1 w - -,d4e5
2b2qk1/r4r2/pR1p2p1/2pPp1bp/2P1P3/P2BB1NP/2Q4P/5RK1 b - -,g5e3
4rr1k/pb1q2bp/1p1p2n1/2p1Pp2/2PnP3/2NPBN1P/PP1R1QBK/5R2 b - -,d4f3
8/5k2/p3pN2/1pK1Pp1P/1P6/P2n4/8/8 w - -,c5d6
2r2r2/1p1bpq1k/3p2pp/pNnPbp2/7P/2N1PQP1/PP3PB1/2RR2K1 b - -,g6g5
4k3/R4p2/7p/6p1/P5r1/2P5/1KP5/8 w - -,a4a5
5r1k/ppp5/6pp/4N3/8/2P1R3/PPK1B3/7r b - -,f8f2
8/p3K1k1/1p2P3/8/8/1r5p/2R5/8 b - -,b3e3
r1bqr2k/p1p1Npbp/6p1/1pB5/8/5Q2/PPP2PPP/R4RK1 b - -,c8e6
r5rk/b1p2npp/3q4/1p1P4/p3RpQ1/P1B4P/BPP2PP1/R5K1 b - -,f7h6
4k3/1P6/8/5p2/1K2r1p1/4p3/1P6/8 w - -,b4a3
8/8/5k2/r7/3KRp2/8/8/8 b - -,f6f5
4r1k1/pp1rbppp/2bppn2/q5B1/3QPP1P/1BN5/PPP3P1/1K1R1R2 w - -,f4f5
8/pQ6/1p6/1kp5/8/3q4/KP6/8 b - -,b5b4
6k1/1p1r1pbp/p3pnp1/8/P7/1P5P/4NPP1/B3R1K1 b - -,d7d3
1rbq1rk1/4ppbp/p1np1np1/1P6/4P3/2N3PP/1PP1NPB1/R1BQ1RK1 b - -,a6b5
1Q6/8/7p/5P1P/4q3/3k2K1/8/8 b - -,e4e3
8/6N1/4p2p/2n5/p1Pk2KP/P7/8/8 b - -,d4c4
r1b1r1k1/p1p1qpp1/3b1n1p/3p4/2P5/3BB2P/PPQN1PP1/R4RK1 w - -,d2f3
r1b1kb1r/1pqn1ppp/p2pp3/6B1/P2pP3/2N2N2/1PP2PPP/R2Q1RK1 w kq -,d1d4
1Q6/6p1/p7/Pp3p1k/6b1/2P4p/1P3R1K/3q4 b - -,d1e1
3r1k1r/2q1bppp/pp2b3/3pPp2/PP1Nn3/2P3Q1/3N1PPP/R1B2RK1 w - -,d2e4
1rN2rk1/1p2ppbp/p4np1/2p5/2P2P2/1P2P1PP/P1N3B1/2RR2K1 b - -,f8c8
r1br2k1/pp4pp/2n1pq2/1Bnp4/5P2/2N2NP1/PPPQ3P/2KR3R b - -,c5e4
r4rk1/5p1p/1q1p1bp1/3Pp3/1p6/3B4/PP2QPPP/R1R3K1 b - -,e5e4
r2r2k1/pp2ppbp/2n2np1/2p5/q2Pb3/2P1PNPP/PB1NQP2/R2R1BK1 b - -,e4c2
r4rk1/1b3q1p/1p4p1/2npP3/1P1Np3/2R1P3/1B4PP/2RQ2K1 w - -,d1e2
8/1p1k4/p2n1P2/3p1p1p/5N1P/P3P3/KP3P2/8 w - -,f4h5
8/2k1bp2/ppn1p1p1/7p/PPK2P2/2P1B1P1/6BP/8 w - -,g2f1
8/R7/4pk2/4p1p1/1nP1P1Pp/5P1P/4BK2/1r6 w - -,c4c5
6k1/pb3rbp/8/1p1q2p1/2pPprP1/2P2N1P/PP2BR1K/5RQ1 w - -,f3e1
3b1r2/pp4pr/2np4/2pNpk2/2P3N1/1P1P1PPn/PB4K1/R3R3 b - -,f5g6
3r4/Qp2kppp/3qb3/8/3p4/3B1Rn1/PP4P1/R5K1 b - -,e7f8
8/8/1K3kp1/1R5p/P6P/5PP1/8/6r1 w - -,a4a5
1q1b1rk1/3b1ppp/2rp4/p3pP2/1pP1P3/1P1QN1P1/P5BP/3R1R1K b - -,f7f6
r1bqk2r/ppp2ppp/1bn5/1B1pP3/3pn3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,f3d4
r2q3r/p3pkb1/1n2bpp1/1p1p4/2pPPBP1/2P2P2/PPQNB3/R3K2R w KQ -,e1f2
6r1/5k1p/p7/1p2pp2/8/2P1PP2/PP3K1P/3R4 b - -,f7e6
8/8/5k2/8/8/4K1n1/4p3/R7 b - -,f6g5
r1b1kr2/1p1n4/1q2pn1p/3p1ppP/2pP4/p1P1PP2/PP1QB1P1/N1KR2NR w q -,b2b3
8/5k2/2R1b2p/2p1r1p1/2Pp2PP/3B1K2/5P2/8 w - g6,c6c7
4rqk1/1p3p1p/p1b1r1p1/6P1/4PQ2/2BB4/PPP4P/4R2K b - -,f8e7
3r2k1/8/p7/1p6/5n2/1P3Pr1/P2N3R/5R1K w - -,f1g1
4k3/2R5/6Np/7K/8/5P1P/5r2/8 w - -,f3f4
7k/1p1b4/2n1prpp/3p3B/1r1P4/1P1R2P1/4NPP1/2R3K1 w - -,h5f3
5k2/1p3pb1/r7/3N3p/4p3/2P5/1K1B1P2/6R1 w - -,d2e3
qr3rk1/2Bnbp1p/4p1p1/P1p5/2B1P3/2R5/1P2QPPP/5RK1 b - -,b8b7
1rB5/pP5p/3R1bpk/2p1q3/5p2/8/P5PP/3Q3K w - -,d6e6
1r1qkb1r/p2n1p1p/B1p3b1/2Ppp1p1/3P4/4P1B1/P2N1PPP/R1Q1K2R w KQk -,e1g1
8/3R4/4k3/2K3pp/8/p7/P5PP/8 b - -,e6d7
r1bqr1k1/p4pbp/1pn3p1/2pnp3/2N5/2PP1N1P/PP3PP1/R1BQRBK1 w - -,a2a4
8/8/2P1pk2/p4p2/1r3P2/2R3KP/8/8 b - -,b4b8
8/p1r2pkp/1P3qp1/4p3/2Bp4/1Pn2PP1/2P3KP/Q3R3 b - -,a7b6
3r1bk1/2n3p1/pq2pn1B/1p2Nb2/3P3P/P5Q1/BP3P2/R3R1K1 b - -,f6e4
4b1k1/5p2/p3p1p1/4P2p/8/4qBP1/1r3P1P/4R1K1 w - -,e1e3
r3k2r/pp1nppb1/2p3pp/q7/3PP1bP/2N1BN2/PPP2QP1/2K2RR1 b kq -,g4f3
2b2k2/3n1ppp/pp1P4/8/5P2/1BrN4/P5PP/3R2K1 w - -,g1f2
4nr1k/2rb1qpp/1n1bP3/NB1P1p2/1P6/PQ2P1P1/1B5P/1K1R3R b - -,f7g6
1r3rk1/1bp1qppp/p1n2n2/1p2N3/3P4/1P2P1P1/3NQPBP/R1R3K1 b - -,c6e5
2k2r1r/ppqb2p1/2n1p3/3p4/3p1N1P/P5Q1/1PP2PP1/RN2R1K1 w - -,f4g6
r4rk1/pp1qppbp/2n2np1/3p4/3PP3/1P3N2/PB3PPP/RN1QR1K1 w - -,e4e5
8/1p5p/p5p1/2Pr1k2/1P1n1p2/3NpP2/P2R2PP/5K2 w - -,d2b2
4nk2/5ppb/2Pp3p/1B1Pp3/4P1P1/5P1P/8/4N1K1 w - -,g1f2
r1bqkb1r/pppn1pp1/3p1n1p/4p3/3PP1P1/2N4P/PPP2P2/R1BQKBNR w KQkq -,g1e2
3r4/pbr2kp1/1p2p2p/4Pp2/n2B1P2/2P4P/P5P1/1BR1R1K1 b - f3,d8c8
rnb1qrk1/ppp2ppp/5n2/3p2B1/3P4/2PB1Q2/P1P2PPP/R3K1NR w KQ -,e1f1
4r3/4qpk1/5p2/3Rn3/1p2P1p1/4Q1P1/1P4BP/7K w - -,h2h4
3rr1k1/pb3p1p/1p1p1qp1/8/PR2Pn2/2N2P1P/1PBQ2P1/3R2K1 w - -,g1h1
r2q1rk1/p2nbppp/bpp1pn2/8/2PPN3/1P1Q1NP1/P4PBP/R1B2RK1 b - -,a8c8
2r1rnk1/1bq2ppp/p1p1p3/1pP2nP1/3PNPQ1/1P1R1N2/P5BP/2R3K1 w - -,f3e5
r4rk1/1b1n1ppp/p3pn2/q5B1/1b1NP3/2NQ1P2/1P2B1PP/3RK2R w K -,g5e3
3k4/2rN2pp/8/4pP2/4P3/6P1/3R1K1P/8 b - -,c7d7
r5k1/5pb1/3p2p1/2q5/pp6/5P2/PPPQ2P1/R4RK1 w - -,g1h1
3q1rk1/1p1bbppp/pn2p3/3pP3/Pn1P1P2/1P2BN2/3N2PP/1BQ2RK1 b - -,b6c8
3r2k1/p4pp1/2p2n2/7q/8/2P1RPP1/PPQ5/6K1 b - -,h5c5
8/3b3p/p5k1/3p1p2/2nB1P1K/P1P5/2P1B2P/8 w - -,e2h5
6k1/R6p/1r4p1/1pN1P3/5P2/6P1/1n4KP/8 b - -,b6c6
5rk1/B4rb1/3p1n2/1N1Pn3/1pp3p1/7P/1P2BPP1/R4RK1 b - -,f7d7
3q1rk1/pp2n1b1/b2p3p/5p1n/P2Pp1pP/2B1P1P1/1Q1N1P2/R1N1K2R b KQ -,f5f4
rn1qkb1r/pbpp1ppp/1p2pn2/6B1/2PP4/P4N2/1P2PPPP/RN1QKB1R b KQkq -,f8e7
8/8/3p1k2/2pP3N/p1P1p3/n1K3p1/8/8 b - -,f6f5
r5k1/5ppp/p4n2/2B5/8/1P1N1bPP/P4P2/2R3K1 b - -,a8c8
r2qr1k1/1pp2pbp/1n4p1/p3Pb2/5P2/2N3P1/PP3QBP/R1B1R1K1 b - -,d8c8
2rr2k1/p4bb1/1qp4p/4p1p1/P3Pp2/2R2N1P/1PQN1PP1/2R3K1 b - -,c8b8
2br1rk1/1p5p/pq3bp1/3pn3/8/1NP3N1/PPQ1B1PP/R4R1K b - -,h7h5
1rb2rk1/4qpbp/p7/1p1ppp2/2P1P3/N2B4/PP2QPPP/R4RK1 w - -,c4d5
q1r3k1/3n2bp/r5p1/1Npp4/P3n3/5NP1/1PQB1P1P/R3R1K1 w - -,d2f4
1rnR1b2/1p3k1p/n4pp1/4p3/1PN5/P1P1BN1P/5PP1/6K1 w - -,c4b6
r1b2rk1/pp2qpb1/1np1p1pp/8/2pPNP2/4P1P1/PP1NQ1BP/R4RK1 b - -,c6c5
2r5/pp1b2bk/4nppp/1P2p3/P2pPP1N/3P2P1/2RB2BP/6K1 w - -,c2c8
8/8/8/5K2/3k4/8/7P/8 w - -,h2h4
8/4nppp/3k4/1R1p4/P4P2/3K1BP1/6P1/2r5 b - -,c1a1
