5b2/5k2/p5np/2pKPN2/2P5/1r4B1/7R/8 w - -,h2d2
6rk/6R1/p1b4p/1p6/3P1Q2/P7/1q4PP/5RK1 b - -,b2g2
r4qk1/6b1/R2p2n1/2pPprpp/8/5PP1/1PPNQ2P/2B2RK1 w - -,a6a8
2b1kb1r/5rp1/3pp1Qp/2n5/ppqNPN1P/4BP2/PPP5/1K1R2R1 b - -,f8e7
8/8/7p/2kpKN2/7P/2P5/8/3b4 b - -,h6h5
r3kb1r/p1p2pp1/2p5/3bP2p/5R2/2P1B1P1/P1P1N2P/R3K3 b Qkq -,g7g6
rbb2k2/1p4pp/1Pp2n2/p1P1Np2/3P4/6P1/P1N3BP/4R1K1 b - -,b8e5
r1b1r1k1/1p2qpp1/2p5/p2p3p/3Pn3/PP1BP3/2QN1PPP/R4RK1 w - h6,b3b4
rnbq1rk1/ppp2ppp/5n2/3B4/1b2Pp2/2N2Q2/PPPP2PP/R1B1K1NR w KQ -,g1e2
r1bq1rk1/1p2ppbp/p1p2np1/3NN3/P2P1B2/1B3Q2/1PP2PPP/R3R1K1 b - -,c6d5
7r/1b4k1/1p1p2q1/2pPn1p1/1pP1PpP1/r4P2/1Q2BBK1/R4R2 w - -,a1a3
2r2rk1/3R1p2/p3p1p1/2pPP2p/2P5/5R2/P5PP/3q1Q1K b - -,d1f1
5r2/1bp1rpk1/1p1p2pp/pB1Pp3/P3Pn2/2P2NP1/1P3P1P/R4RK1 b - -,f4h5
8/5p2/2qpk1p1/4p2p/4P2P/1Q4P1/5P2/6K1 b - -,e6f6
6k1/2p2pp1/4q2p/2P1P3/Q5P1/PrBP3b/3K4/R7 b - -,e6d5
8/8/pp2k2p/3p1p1P/PPpPpPn1/2P3N1/4K3/8 w - -,g3f1
8/5r1k/p3p1p1/2Bn1rPp/4R2P/P7/6K1/4R3 w - -,c5d6
2rq1rk1/5pp1/4p2p/p2nN1b1/1ppP4/2P2R1P/PPQ2PPB/R5K1 b - -,d8e8
r2q1rk1/6bp/p2p2p1/2n2p2/2P1p3/P1Np3P/1P1Q1PP1/1R1B1RK1 w - -,b2b4
6k1/5p2/6q1/3pP1Q1/prrn2P1/5NK1/5P2/R2R4 w - -,g5g6
rn1q1rk1/pb2ppbp/1p1p2p1/3n4/3P1B2/3BPN1P/PP1NQPP1/R4RK1 b - -,d5f4
4nrk1/2p2ppp/rpNqp3/p2n4/3P4/P3PN2/1PQ2PPP/2R2RK1 w - -,e3e4
1q3rk1/3rbppp/p3p3/1p6/3B2Q1/6P1/PP2PP1P/2R2RK1 b - -,g7g6
r2q1rk1/p4p1p/6p1/2p5/2Q1P3/4B1PP/Pb3PB1/1R4K1 b - -,b2d4
rn1qk2r/3bppbp/5np1/1p1PN3/p2P4/1B6/PP3PPP/RNBQK2R w KQkq -,b3c2
r2q1rk1/ppp1bppp/2n5/3bp3/8/3P1NP1/PP2PPBP/R1BQ1RK1 w - -,c1e3:b2b3
1r1qr1k1/2p2bp1/1n1p3p/p2Pp3/P1P5/4RN1P/Q2B1PP1/1R4K1 b - -,d8d7
4r1k1/R6p/3R2p1/2p5/3b1n2/1P1p1BP1/5P1P/5K2 b - -,f4e2
8/8/5k2/1p3p2/3r4/3N2RP/1P2K3/8 b - -,d4c4
5k2/2R5/8/3P4/8/8/PP2r1RK/3r4 b - -,e2g2
b1rr2k1/p4pp1/1p5p/4p3/7P/2P1PqP1/PPQ2N2/1K1RR3 w - -,g3g4
4q1k1/pp4pp/1n2p3/3pPpP1/PN1P1P2/1P6/3Q3P/2r3K1 w - -,d2c1
4bk2/5p1p/3R1Bp1/3P1p2/2r2P2/4K3/P5PP/8 b - -,c4a4
1r4k1/5p1p/6p1/1P6/p7/7P/5PP1/4R1K1 w - -,e1a1
2n3k1/b3qppp/2b1p3/Q2pP3/3P3P/BP3NP1/P4PB1/6K1 b - -,e7d7
r3k2r/p2pn1pp/bqp1p3/4Pp2/2Pb1P2/P4K1N/RP4PP/2BQ1B1R b kq -,c6c5
8/3R3k/2R4p/8/1K2Prp1/3B1r2/1P6/8 b - -,f4f7
r4b1r/pp2pk2/1nn1p1pp/8/2P5/N4N2/P4PPP/1RBR2K1 w - -,c4c5
3bn1k1/5pp1/6p1/1p1p2N1/2rB3P/PP4P1/3R1P2/1K6 b - -,c4c6
r1b2rk1/1pq2p1p/p3n1p1/2pR4/2P5/P4N1P/1PQ2PP1/3R1BK1 b - -,e6f4
7k/7p/p2pR1p1/2pP4/2P3P1/2N2r2/P1n4P/7K w - -,c3e2
rnb4r/ppp1kpbp/3p1np1/6B1/3P4/5N2/PPP2PPP/RN2KB1R w KQ -,b1c3
r2q2k1/ppp3pp/1bn2rn1/1B1p4/3P2P1/1QN1B2P/PP3P2/R4RK1 b - -,c6e7
r1b1k2r/2qpbpp1/p1p1pn2/7p/4PB2/2N5/PPPQBPPP/R4RK1 b kq -,e6e5
8/5Bp1/3k3p/8/3n2P1/7P/1K6/8 b - -,d6e5
3rr1k1/1q3p1p/1p4pQ/2n1PP2/p1np3N/P5PP/1P3B2/3RR1K1 b - -,e8e5
5r2/1pr2pk1/6p1/4n2p/1pP1N3/6PP/PP4B1/R5K1 w - -,b2b3
r1b1kb1r/1p1n1ppp/pB2p3/3pP3/B4P2/1RN3Pq/P1PQ3P/4K2R w Kkq -,h1f1
r3rbk1/ppq2p1p/2p1b1p1/4p2n/P1B1P3/2N1B2P/1PP1QPP1/R2R2K1 w - -,c4e6
1r4k1/p4b2/1p6/6R1/P7/2P3P1/5P1P/6K1 b - -,g8f8
5rk1/p2q2np/1p3pp1/2pP4/2n1NB2/2P2Q2/P5PP/5RK1 w - -,f3d3
4rbk1/r4p2/ppb2Qp1/2pp4/P7/2PBq3/1P1N1RPP/R5K1 b - -,e8e6
8/1R3p2/4p2p/2prP3/5KP1/p7/7P/k7 w - -,b7f7
r1b2rk1/p3ppbp/q1n1n1p1/1pppP3/8/N1PP1NBP/PPB2PP1/R2QR1K1 b - -,g7h6
rnbq1rk1/pp1p1ppp/4pn2/2p5/2PP4/P1PBP3/5PPP/R1BQK1NR b KQ -,b7b6:d7d5:b8c6
8/7p/6p1/2k1K3/1p6/1B5P/8/8 w - -,b3g8
r2qk2r/1p1nbppp/2p1p3/3pP3/p1P3b1/1P4PP/PB1NPPB1/R2Q1RK1 b kq -,g4h5
r2qk2r/pbpnbppp/1p1p1n2/1B1P2B1/4P3/2N2N2/PP3PPP/R2QK2R b KQkq -,e8g8
8/8/3p4/b1pP2kp/P1P1Kp2/6P1/4B3/8 w - -,g3f4
R7/pr3pk1/6p1/1N1pb2p/P6P/1P1KP1P1/5P2/8 b - a3,e5b8
2r3k1/1p2qp2/nB1p2p1/Pp2b3/4P1Pp/7P/5PB1/1Q1R2K1 w - -,b1b5
r1bq1rk1/2p1ppbp/p1n2np1/1p6/3PP3/1QN2N2/PP2BPPP/R1B1K2R w KQ -,c1e3:e4e5
r1q1k1r1/1p2ppb1/pQ1p1n1p/B2P1bp1/5P2/1N4P1/PPPR2BP/2K4R b q -,g5f4
5k2/6p1/2B4p/p1R5/P1p2P2/2r3PP/8/3b2K1 b - -,c3c1
1r4k1/6pp/B3pn2/2b2p2/8/2N3P1/PP2PP1P/3R2K1 b - -,b8b2
3r2k1/pp3pp1/2p1bn1p/4n3/1q2P3/1PN3P1/P1Q2PBP/2B2RK1 w - -,c1b2
r4rk1/p2qppb1/1pp1b1pp/4P3/2Pp4/1P1P1N1P/P3NPP1/R2QR1K1 b - -,c6c5
6k1/3qbpp1/1pn4r/p2bPp2/3p1P2/1P1P2N1/PBN1RQ1P/6K1 w - -,c2e1
4B3/2p5/3p3k/p2b2p1/1P6/P1P3K1/8/8 b - b3,a5b4
1r6/p2q4/kp1N4/1Pp2P2/8/3P4/P1P4Q/4n2K b - -,a6a5
r1b3k1/pp3ppp/2p2n2/7r/3NP3/PB3Pq1/7P/1RQ2R1K w - -,b1b2
8/4k3/p5p1/1p2Pp1p/1P3P1n/4K3/P3N3/8 b - -,e7e6
6k1/5pp1/p6p/1pr5/2r5/1RPRP3/P3KPPP/8 b - -,a6a5
r1bq1rk1/1p2bppp/2pp1n2/p1n1P3/P2Q4/2N2N2/BPP2PPP/R1B1R1K1 b - -,d6e5
5rk1/1p2pp2/p1r4b/P2p4/1QpP2n1/2P2RB1/1P2qNK1/R4N2 w - -,b4b7
8/1p5R/b3pk2/P7/3R4/3p2PP/4r3/3K4 w - -,d4f4
r1b1qrk1/1ppn2bp/p2p4/3Pp3/2P1np1B/2N2P2/PP1Q2PP/2KR1B1R w - -,c3e4
8/5k2/6p1/3NB2p/b3n3/7P/5PP1/6K1 w - -,d5f4
8/3p2bk/4r1p1/ppP2p1p/2P2P2/1Q1R3R/P4K1P/4B2q b - -,h1e1
r1bqr1k1/3pbpp1/p4n1p/8/2p1P2B/2NQ4/PPP2PPP/R3R1K1 w - -,d3c4
4r3/1p2r3/3kpp2/3p1p2/2pP1P1p/P1P1R2P/1P3KP1/4R3 b - -,d6d7
r2r2k1/ppp2pbp/2n2np1/4p3/4P1b1/2N1BN2/PPPRBPPP/5RK1 w - -,f1d1
r2q1rk1/1p1b1ppp/3p1n2/1PpPp3/2P1P3/2n5/2QNBPPP/1R3RK1 w - -,c2c3
5k2/5p2/Q5p1/3B4/1pP2q2/1P6/P3K3/8 b - -,f4e5
2r1nk2/p2b1p1p/1p4p1/3PB1P1/P1R1P3/5P2/7P/5B1K b - -,c8c4
r4rk1/1bqn1ppp/p3pn2/2pp2B1/2P5/P1N1PP2/1P1Q2PP/3RKB1R b K -,a8d8
8/5p2/4k2p/3p1p1P/p1pP2P1/1r6/1PRRKP2/1r6 w - -,g4f5
r6r/3kn1p1/bq3p2/4pPP1/1p1nP2p/1Pp1BB1P/2P3RK/R3Q1N1 b - -,e7c6
r1b2rk1/pp2ppbp/2pp1np1/3P4/2P1PP2/2N5/PP1QBqPP/2KR2NR w - -,e2d3
r4rk1/1pqbbppp/p1n1p3/3pP3/P2N1P2/2P1BB2/1P3QPP/R4RK1 b - -,c6a5
r3k2r/ppq1bppp/1np1p1b1/3n4/5PP1/1BNP1N1P/PPPBQ3/2KR3R w kq -,f3e5
3rrnk1/p1p4p/1p2pqp1/8/6QR/1P1B4/P1P2PPP/5RK1 b - -,d8d5
8/1p3k1R/p4p2/8/3pn3/1P6/P1P2PbP/2K5 b - -,f7e6
r2qk2r/pp1npp1p/3pN1p1/6P1/4PP2/2P1n3/P1P1B2P/R2QK2R w KQkq -,e6d8
1k1rrb2/1n2qn1p/pp2p1p1/2ppPp2/2P2P2/P1NPBNPP/1PQ5/2KRR3 w - d6,c4d5
1rbq1r1k/1p2n1bp/p1np2p1/P1pN1p2/2P1PP2/3P1N2/1P4BP/R1BQ1RK1 b - -,c6d4
8/p4R2/6k1/4b1pp/8/P4RPP/r4N1K/4r3 b - -,h5h4
8/2p2ppp/1p1k4/pPbPn3/P7/6PP/4K3/3R4 b - -,e5c4
4r1k1/p4p1p/2P3p1/8/8/6PK/7P/2R5 w - -,c1a1
1r6/1P1R4/5kp1/3p1n2/3P1b2/7B/5P1P/6K1 w - -,h3f5
r1bqk2r/pp1p1ppp/2n2n2/8/2PN4/P1b5/1P3PPP/R1BQKB1R w KQkq -,b2c3
4rrk1/pp1b2pp/4pn2/q2pb1P1/8/2NB4/PPP1QP1P/1K1R3R w - -,e2e5
4r1k1/1p3pp1/p2q1np1/3p4/8/2Q1PP2/PP2B1PP/5RK1 b - -,d5d4
3rr1k1/4bpp1/1q2n1p1/np1p2P1/p1pP1P1P/P3PB2/1P3B2/R1NQ1RK1 w - -,g1g2
rnbqk2r/pp2bppp/2p1p3/3p4/2PPn3/5NP1/PP2PPBP/RNBQ1RK1 w kq -,b1c3
3q1r2/pp1br1kp/2nNpnp1/3p2Q1/5P1N/P2B4/1PP3PP/4RR1K b - -,d7e8
3r4/pp1rq1kp/1n3p2/3PpQ2/5p2/1PNR3P/1P3PPK/3R4 b - -,b6c8
8/5p2/3Rpk1p/5Pp1/4P1P1/1P4K1/r1r4P/3R4 w - -,f5e6
rn2rbk1/1p2qp1p/p1ppb1p1/4n3/P1PNP3/1PN1BP2/3QB1PP/R2R2K1 b - -,e6c8
r7/6k1/3N4/2p1p3/P5r1/2N1KR2/8/8 b - -,g7g6
r4rk1/pppqppbp/1n1n2p1/3P4/3N4/1PN3Pb/PBQ1PP1P/R2R2KB w - -,a2a4
7r/4k3/1p6/p2Pb1P1/P7/1P2pPp1/4N3/3R2K1 w - -,f3f4
r2q1rk1/p4ppp/5n2/2ppbBB1/8/2P5/PP3PPP/R2Q1RK1 b - -,h7h6
8/5p2/p1Rb1kpp/1p6/n2N4/3K3P/P1P5/8 b - -,a4c5
r1bqk2r/pp2nppp/2n1p3/2bpP3/5B2/3B1N2/PPP2PPP/RN1Q1RK1 b kq -,e7g6
r1bqk2r/pp2npbp/2npp1p1/2p5/3PP3/2P2NP1/PP3PBP/RNBQ1RK1 b kq -,c5d4:e8g8
r1b1kb1r/1p1p1ppp/pqn1p3/3NP3/8/1N6/PPP1QPPP/R1B1KB1R b KQkq -,e6d5
2rr4/pp2k1p1/2n1pp2/3n4/6PB/2P2P2/PP2BK2/R2R4 w - -,h4g3
2r2rk1/pbppqpp1/1p2pn1p/n7/2PP4/bPN2NP1/PQ1BPPBP/R2R2K1 w - -,b2b1
rnbq1rk1/p3bppp/1p1ppn2/8/2PP4/P1NB1N2/1P3PPP/R1BQK2R w KQ -,e1g1
3r3k/3Q2bp/p4qp1/1p1P4/8/1P6/P5BP/4R2K w - -,d7c7
8/2p2r2/2Bp4/PPpP2k1/5p2/5K2/1P6/8 b - -,f7h7
4q2r/1r6/npk1p2p/pR1pPp1P/P1pP1PpQ/2P5/2PKN1P1/R7 w - -,e2g3
8/8/5kpp/p2r1p2/R4K1P/6P1/P7/8 b - -,g6g5
r7/1p1n3k/1Ppp1qpb/p7/N1PP3p/3Q2P1/P4PB1/3Rr1K1 w - -,d1e1
r4rk1/ppq1bp1p/3pb1p1/2n1p1Pn/4P3/2NBBN2/PPPQ1P1P/2KR3R w - -,d3e2
rnbqkb1r/p2p1ppp/1p2pn2/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2
2kr2r1/pp1bnp1Q/2n1pB2/2qpP2P/8/P1p2N2/2P2PP1/R3KB1R b KQ -,g8g4
3r2k1/1p3p1p/p1pPq1pB/7n/Q7/2P3PP/P4PK1/1R6 w - -,b1b7
4R3/pr5p/3q2pk/3P1b2/2p2p2/2N2B2/PP2R1PP/2K5 b - -,a7a6
r5k1/p1N5/1p5p/3b1p1p/2p5/8/PPB2PPP/6K1 b - -,a8d8
2r5/5pkp/6p1/p3b3/P1R5/4B1P1/5P1P/1R3K2 b - -,c8c4
1r6/8/4pk2/3p3p/1P1RPP1P/5K2/8/8 b - -,d5e4
r1b2rk1/p2qppbp/2p3p1/3p4/3P1B2/2P5/PP2BPPP/R2Q1RK1 b - -,f7f6
6r1/1p1k3p/1p6/b2Pp1p1/P3P3/B2K4/6PP/2R5 w - -,c1f1
8/8/3bk1p1/5p1p/7P/p2PB1P1/N3KP2/6n1 w - -,e2f1
r2qkb1r/5pp1/1n2p2p/n2pP2P/p2P1BQ1/p1P2RP1/2PNbP1N/R4BK1 b kq -,e2f3
8/4ppk1/3p2p1/1NnP3p/2P1P2P/2rnKPP1/3N4/1R6 b - -,c3c2
3k4/R7/5N2/4pp1p/3n3P/4K1P1/1r6/8 b - -,b2b3
8/8/8/8/6p1/2r4k/8/1R4K1 b - -,h3g3
1r4k1/1b3pp1/3p1n1p/1p1P4/1P1P1NqP/2N2R2/6P1/4Q1K1 b - -,b8e8
r4rk1/1p1qnpbp/p2pb1p1/2p1p3/3nPP2/2NPB1P1/PPPQ1RBP/2N2RK1 b - -,a8c8
2q2r1k/3b4/p1pb2PN/3p1p1P/3P1Pn1/4QK2/PP1B4/7R w - -,h6g4
2r1r1k1/3b2p1/1p1q1p1p/2pPp3/p2nPP2/P2N2PP/1P3QB1/2R1R1K1 w - c6,d5c6
2r3k1/pp1bqppp/1b5n/3Q4/3Np1P1/1P2P2P/PB3PB1/5RK1 b - -,c8e8
R2r2k1/5p2/6p1/1p5p/1P1N3P/P3P1PK/8/8 b - -,d8a8
3r1rk1/pp1b1ppp/2pP4/4q3/8/6P1/PP1QPPBP/2R2RK1 w - -,f1d1
r1b1rbk1/3n1p1p/p1qpp1p1/1p4P1/4PP1Q/3BB3/PPP4P/3NRRK1 b - -,f8g7
8/2R5/1p1rk1p1/5p1p/4KP1P/1P4P1/8/8 w - -,e4e3
3r4/6pk/3PRP1p/2pQ4/5P2/6K1/2q4P/1N6 b - -,c2b1
r1bq1rk1/1p3pbp/2p1n1p1/1P1np3/8/2NPP1P1/2QN1PBP/1RB2RK1 b - -,d5c3
8/3n4/8/8/1K2p3/6k1/2N5/8 w - -,b4c3
r1bqk2r/pp3ppp/2n1pn2/2bp4/2P5/PQN1PN2/1P3PPP/R1B1KB1R b KQkq -,e8g8
2r2bk1/p1q2pp1/1p1prn1p/8/2B1b3/P4Q1P/1P1N1PPB/3RR1K1 w - -,e1e4
4rb2/p3q1k1/4p1p1/3pPpNp/P1bB1Pn1/2N3R1/2P3PP/1Q4K1 w - -,b1d1
3r3r/ppn2p1p/5kp1/3pNp2/3P4/P3R3/1PPK1PPP/4R3 w - -,e5f7
3r2k1/pb3pp1/1pr4p/2npPP2/6Q1/1B2R2P/P5PK/8 b - -,g8h8
8/2b1k3/1p6/p2P2pp/5P2/1P1KB3/P6P/8 b - -,g5f4
7r/6pp/3k4/pB1P1p2/2n1p3/P1K5/2P2PPP/7R b - -,c4b6
rn1q1rk1/pbpp1ppp/1p2pn2/6B1/2PP4/P1Q1P3/1P3PPP/R3KBNR b KQ -,d7d6:h7h6
r2b1rk1/2q2ppp/p2pb1n1/1p3NBn/4P3/P1NB2Q1/1PP3PP/R4R1K w - -,g3g4
3r4/1p2kp1p/1p4pb/1B6/8/2P1pP2/PP2K1PP/3R4 b - -,d8d1
8/P5k1/8/5pr1/2B1p3/2b4p/7P/5R1K b - -,f5f4
5rk1/p4ppp/1q2p3/1nr5/Q7/5NP1/5PKP/RR6 b - -,b6c6
r7/6p1/2pk1p1p/1pn1n2P/4P3/PBP1R1P1/2K5/R7 w - -,e3e2
2r1r1k1/1p1nppbp/p1np2p1/3N3q/P1P1P3/1P3PB1/4N1PP/1R1RQ2K b - -,d7f6
1knR4/pp3p2/2p1bq2/5rp1/P1P4p/1P2QP1P/6P1/3R3K w - -,d8g8
r4rk1/5ppp/p1p2q2/1pP5/1P2p3/P2Q4/5PPP/R4RK1 w - -,d3e4
8/p3k1pp/2r2p2/4p3/PK6/2B5/5PPP/8 w - -,c3d2
8/4B3/4B3/1k1Kn3/6n1/8/8/8 b - -,e5c6
7k/7p/p5p1/1p5r/7P/P3P3/1P3r2/K2R3R b - -,h8g7
5R2/6r1/3p4/p1k1p2p/P1Pp3P/1P2r1P1/3K4/6R1 w - -,f8c8
2kr1n1r/pp4pp/4p3/P1qp4/2pb1P1P/3b1NPB/1P5K/R1BQ1R2 w - -,b2b4
2rqr2k/pp1bp1bp/3p1n2/n4p2/5P2/1NN3PP/PPPQ1BBK/3RR3 w - -,b3a5
Q7/5pk1/1q2p1p1/7p/P7/4P1P1/5P1P/6K1 w - h6,h2h4
5n2/R4bk1/8/5KP1/4P3/8/8/8 b - -,g7g8
5rk1/2q2ppp/1p2pn2/8/2PQ4/1P5P/4BPP1/3R2K1 w - -,d4d6
1r2r1k1/3pbp2/4q1p1/p1P1P2p/3R1PnP/B2Q1N2/P3K3/3R4 w - -,d1d2
4kb2/pp5R/q1r1p3/3p1pr1/3P1P2/4B3/PP2bK2/2R4Q w - -,c1c6
8/8/1r3k2/5P2/3RK3/4P3/8/8 b - -,b6b5
4k2r/4qp1p/p2b1p2/4p3/Pp3P2/1P2PQ2/1B4PP/2r2RK1 w k -,f1c1
r1b2rk1/p1b3pp/1np5/5p2/3Pp1Pq/1PN1P3/P5QP/R1BB1RK1 w - f6,c1d2
r1bq1r1k/3n1pbp/p2p1np1/2pPp1B1/NpP1P2P/5P2/PP1QBNP1/3RK2R b K h3,d8a5
8/r2n2rk/p1p1pbqp/P1Pp1p2/3PNP2/3NQ3/1R4PP/4BRK1 b - -,d5e4
3r4/p5kp/1p4p1/5p2/P3p3/1B2P2P/1r3PP1/5RK1 w - -,b3c4
r1bq1rk1/3n1pbp/2n3p1/p1ppp3/3P4/2NBP1B1/P3NPPP/2RQ1RK1 w - -,c3d5
r1b1r1k1/p1qnbppp/2n1p3/1pppP3/7P/3P1NP1/PPP1QPB1/R1B1RNK1 b - -,a7a5
5rk1/3nqp1p/p5p1/3Pb3/Ppr1PN2/5R1Q/6PP/1N2R1K1 w - -,b1d2
r1n1k2r/1bqn1p2/2pp1bpp/p3p3/4P2N/PBN3B1/1PPQ1PPP/R2R2K1 w kq -,d1f1
8/4kp1p/4p1p1/1K6/6P1/P6P/8/8 w - -,g4g5
8/6pp/p1Q1k2r/1p1p3q/4p3/P1P3P1/6K1/8 b - -,e6e5
r1bqrbk1/1p3pp1/p1n2n1p/3pp3/Q7/P1NP1NP1/1P1BPPBP/R2R2K1 w - -,b2b4
rn3rk1/pp2qp1p/2b1pnp1/b1p1N3/2BP1P2/P1N1P3/1P1BQ1PP/R4RK1 b - -,c5d4
6rk/3P2pp/5Q2/8/8/1R5P/1p4PK/8 b - -,g7f6
6r1/pkp2p1R/2p1n3/4P3/2R3p1/1P1r2P1/P4PK1/B7 b - -,d3d7
