5k2/1R6/p7/6pp/8/5P2/PPr3PK/8 w - -,h2g3
5b1r/R3pkpp/p4p2/1pn3P1/5n2/N1P4P/PP3P2/5RK1 w - -,b2b4
5rk1/1pp3p1/4p1Rp/p3p3/4P3/2P3RP/PP3rP1/6K1 w - -,g6g7
r2r2k1/7p/2pPR1p1/1p1n2N1/p7/1P5P/5PP1/3R2K1 w - -,b3a4
k1n2r1r/p2q1p2/2b1p1pb/2QpP1N1/3P1BP1/2P3N1/5P2/RR4K1 w - -,g5e6
8/p4p2/1p4p1/2k1n2p/7P/4KP2/P7/1R6 w - -,b1c1
r6r/pp1bk3/4pp2/3pPnp1/3P4/P1PB1PP1/3K1B2/R6R w - -,g3g4
8/2B5/5p2/pr3kp1/8/4P1P1/3nP1K1/R7 b - -,d2c4
2q5/4k3/1Rp2pp1/1nP1p2p/1P2P2P/r2QB1P1/5P1K/8 w - -,d3d1
r1b1r1k1/1p3p1p/1qpp2p1/p7/2PbN3/BP4PP/P4P2/1R1QR1K1 w - -,e4f6
r1bqk2r/1p1pnpbp/p1n1p1p1/2p5/2P1P3/2NP1N2/PP1BBPPP/R2QK2R w KQkq -,e1g1
q3r3/2p2kp1/p1p1bp1p/P1Q5/4P1P1/2N2PK1/3R3P/8 w - -,h2h4
r2qkbnr/ppp2ppp/8/4n3/1PPp4/P4P2/1B2PP1P/RN1QKB1R b KQkq -,d8e7
7r/pp3k1p/4rpp1/nq6/1b1P3N/3pBQ2/P4PPP/RR5K b - -,b5a4
6k1/5p2/4p2p/3pP1p1/p1r2P2/Pr4P1/1P1R1K1P/4R3 w - -,f4g5
4rn1k/pp4pp/2p1p1r1/3n2qN/3P4/1B3Q1P/PP3PP1/3RR1K1 w - -,e1e5
8/8/8/Bp1p3p/2pP4/2Pk1K2/3b4/8 w - -,f3g3
8/4k1p1/3p3p/4pP2/1PP5/7P/8/6K1 w - -,g1f2
r7/1pp2rkp/3p2p1/p1n1p3/P3P3/1PP2P2/3R1NPP/1R4K1 w - -,f2d3
r3k2r/ppp2pp1/4b2p/3qP3/4N3/3P2Q1/P1P3PP/R4R1K b kq -,e8c8
2r2rk1/2qn1pbp/p1p1pnp1/1p6/3PP3/1N2B2P/PPQ1BPP1/2RR2K1 w - -,c2b1
4q1r1/p3rn2/kpb1pR1p/3pB2P/2pP2P1/P1P1QB2/2P4K/5R2 w - -,f3d1
3k1b1r/1b4pp/1n3p2/2p5/p1P5/1PB3PB/P4P1P/2K1R3 w - -,c3a5
1r3r1k/3n4/4pq1p/pp2p1pP/PbNpP1P1/3P1PQ1/1PR3BK/2R5 w - -,a4b5
3r4/8/1k3pBp/1ppp4/1nn5/8/5PPP/2Q3K1 w - -,c1h6
r4rk1/1bq1bpp1/p1nppn1p/8/1P2PP1B/1NNB4/1PP1Q1PP/4RR1K b - -,c6b4
6k1/p1q2pp1/7p/1Q2p3/8/5P1P/5PK1/8 w - -,h3h4
8/pk3pb1/1p2p1pp/1Pp1P3/2P3P1/3K1N1P/1P3P2/8 b - -,b7c7
r1b2rk1/1pq1bpp1/p1n2n1p/2p1p3/3pP3/2PP1NNP/PPB1QPP1/R1B1R1K1 w - -,c3d4
8/1p3q1k/p5p1/PP5p/3Q4/2P1K1Pb/4B3/8 b - -,a6b5
2rqrbk1/1p3p1p/n2pb1p1/p3p1P1/P3P2P/2P1B1N1/1P1Q1P2/R3RBK1 b - -,a6c5
r7/1pp4p/5p2/1pk3p1/8/1PP2P2/P1K3PP/R7 b - -,h7h5
3k4/6Rp/r7/pNnppPPP/P1p5/2P1K3/P7/8 w - -,g7h7
r2qr1k1/1p3ppp/2ppBn2/2b1p3/p3P2B/3P1Q1P/PPP1NPP1/R3R1K1 b - -,f7e6
3rr1k1/1p3pp1/5n1p/p1q1p3/2P2bP1/PPB2P1P/2Q3B1/4RN1K w - -,c3b2
r4rk1/pp2ppbp/1n2b1p1/q3P3/3PB3/2N1QN2/PP4PP/1K1R3R b - -,f8d8
rn1q1rk1/ppp2ppp/3bpn2/3pNb2/3P1B2/4P2P/PPPN1PP1/R2QKB1R b KQ -,b8d7
r5k1/1R5p/2nb1pp1/2p1p3/2P1P3/1N2B3/4KPPP/8 w - -,b7b6
1rb3k1/pp2rppp/8/3B4/4P3/6P1/P4P1P/1R1R2K1 b - -,g8f8
r3r1k1/1pq2p1p/p2bp1p1/3b4/P4P2/1P1BB3/2P2QPP/R4RK1 w - -,a1d1
4r1k1/1p3pbp/p1qp1pp1/3NrP2/4P3/1P1Q4/1PP3PP/3R1R1K w - -,d5c3
1k2Q3/p1p5/5r1p/2p5/3q4/3N4/PPP4P/2K5 b - -,b8b7
r1r3k1/pp2ppbp/3p2p1/B2P4/4Pn2/4NP2/P3q1PP/1R1Q1R1K w - -,d1e2
4r1k1/3n1p1p/R2p1np1/1r1P4/3pPP2/5Q1P/1q4P1/4RBK1 w - -,f1b5
r1bqkb1r/1p3p1p/p2ppnp1/4n3/4PB2/2N2N2/PPPQBPPP/R3K2R b KQkq -,e5f3
1rbq1rk1/2p2pbp/p1np1np1/1p1Pp3/2P1P1P1/2N1BP2/PP1QN2P/2KR1B1R b - -,c6a5
rn2k2r/ppq2ppp/2pbpn2/7b/3P4/P1N1BN1P/1PPQBPP1/R4RK1 b kq -,b8d7
r2qkb1r/pp1n1ppp/2p1pnb1/3p4/2PP4/2NBPN1P/PP3PP1/R1BQK2R w KQkq -,f3e5
8/6p1/6kp/p2P4/1p3PPP/1P1rrBK1/P4R2/8 b - -,d3d5
r2r3k/pp2qpb1/1nb1pNpp/4P1N1/5Q2/1B2R3/PP3PPP/R5K1 b - -,b6d7
2r3k1/1p3p2/4p1p1/p3qnPp/2p5/PPR5/2Q2BPP/6K1 w - -,b3c4
1q4k1/5ppp/3p2n1/2rPp3/4P3/Q4N2/5PPP/5RK1 w - -,g2g3
r1bqr1k1/1p2bppp/p1np1n2/2p1p3/1P2P3/P1PP1N2/1BBN1PPP/R2Q1RK1 b - -,e7f8
8/R4p1p/4k1p1/8/p4PP1/7P/6K1/r7 w - -,h3h4
r2k1b1r/1p1npB1q/1np5/p3P1Bp/2pP3Q/2N5/PP3RPP/3R2K1 b - -,b6c8
q7/1pp2k2/3p1bp1/3Pp3/p1P1Q1P1/4B3/PPK2P2/8 b - -,a8a6
r1bq1rk1/p1p1bppp/np3n2/1N1p4/3P1B2/3B2N1/PPPQ1PPP/R3R1K1 b - -,c7c6
5k2/1b3p1p/3p4/4pP2/1p6/1Pr3PP/P3RKB1/8 b - -,b7g2
2b5/p3k3/1p1p1pnp/6p1/1P2PP1P/P3K1P1/4B3/4B3 b - -,g6h8
3r2k1/p4pp1/2p1b2p/1r6/1P1R4/6P1/PQ2PP1P/3qN1K1 w - -,d4d1
r4k1r/1p1b1p1p/p2q1n2/2pp2R1/7Q/2P1PP2/PP3P1P/2KR1B2 b - -,h8g8
1r2k3/p4ppp/4p3/1bp5/P5P1/5P2/1P2P2P/4KB1R w K -,a4b5
4r1k1/ppr2p2/3p1qp1/2nPb2p/P3P2P/R1P2QPB/3BP3/1R4K1 w - -,g1g2
r1bqkb1r/pp2pp1p/3p1np1/8/2PQP3/2N1B3/PP3PPP/R3KB1R b KQkq -,f8g7
5r1k/3q2pp/p2p4/1rPR4/1p2Qb2/1P6/P4PBP/5R1K w - -,c5c6
8/5pk1/6p1/7p/4RP2/6P1/6KP/3r4 b - -,d1d2
b2r2k1/R3pp1p/1P4p1/4P3/8/3BbP1P/6P1/B6K w - -,a7e7
1Q3bk1/3q1pp1/6p1/1p1n2N1/p2P4/2P4P/3B1PP1/6K1 w - -,g5e4
8/R7/p3r2P/1p3k2/3r4/5K2/3p4/3R4 b - -,e6h6
r2q1rk1/3n1pb1/p2p1npp/1ppP2P1/4PP1P/2N2B2/PP6/R1BQ1RK1 b - -,f6h7
r3r3/5pk1/ppNp2bp/3P4/8/2Nn3R/PP1q1PPQ/5RK1 w - -,h2d6
4nbk1/pQ4pp/4b1q1/3pP3/8/8/PP2B1PP/5R1K w - -,b7a7
2br2k1/p1Q5/4pq1p/2P1N2P/B4p2/P5p1/3r1PP1/2R1R1K1 w - -,f2g3
r2qk2r/p4ppp/bpn1p3/2ppPn2/3P1P2/2P2N2/PP1QN1PP/R3KB1R w KQkq -,e2g3
r3k2r/pp3p2/1qbppp2/7p/4PPnP/P7/1PPBQ1P1/2KRN2R b kq f3,b6d4
r5k1/2b3p1/1pp5/2P4p/1B2p3/1R5P/4r1P1/5RK1 b - -,a8a2
r3r1k1/1p1bppbp/pq1p1np1/2p2P2/4P1P1/2PPB2P/1P1QN1B1/R4RK1 b - -,d7b5
5k2/5B2/7K/8/8/4P3/5b2/8 b - -,f8f7
2r3k1/1q3ppp/4b3/1Np3b1/P1P1p3/7P/1PQr1PP1/2KR3R w - -,d1d2
3r2k1/1p3p2/p1n1q1pb/2P1p3/1P2B2p/P1Q1P2P/4R1PB/3R2K1 b - -,d8d1
3r3k/6p1/p7/2brP2q/1pR2Pnp/3P3Q/PP4PP/2BR1K2 w - -,c4c5
8/3k2p1/2p1p3/1p1bB3/6P1/2P2P2/2P2K2/8 w - -,e5g7
rn2k2r/pp2bppp/1qp1pn2/3p4/2PP1B2/3QPN2/PP1N1PPP/R4RK1 b kq c3,e8g8
r4rk1/1pp1qppp/p1n1bn2/2b1p3/4P3/1BP2N1P/PP2QPP1/RNB2RK1 w - -,f1e1
8/5ppp/3kp3/2N5/3K1PP1/1p5P/8/8 b - -,b3b2
8/2kn2b1/2p1rp2/6pp/PB1RP3/8/5NPP/6K1 b - -,c6c5
1B1bk2r/5ppp/p3p3/n2p4/Pp1P4/1P2P3/4NPPP/2R3K1 w k -,b8d6
2r1k1r1/2q1bp1p/p2pbnp1/4p1B1/2p1P1P1/PNN2Q1P/1PPR1P2/1K5R b - -,f6d7
2rr2k1/p4pp1/bp2pn1p/4N3/3PP3/q7/P3QPPP/1B1RR1K1 w - -,e2d2
8/p7/1p6/1P3k1p/P4P1P/2N1K3/2b5/8 w - -,e3f3
3r1rk1/2n2ppp/pp1R4/2p1P3/P3R3/4B3/1P3PPP/6K1 b - -,d8d6
r4rk1/pp2pp1p/6p1/2qpPb2/8/3B4/PPP2PPP/R2Q1RK1 b - -,f5d3
r1b1qr1k/ppp3p1/3pP2p/3Pp1Q1/2Bn1P2/P5N1/1P4PP/R4RK1 w - -,g5g4
3r3k/4RB1p/6p1/p1p5/5P2/2r5/6PP/1R4K1 w - a6,f7d5
5r2/pp2ppk1/3p2p1/2qN1n1P/2r5/5P2/PPPQ4/2KR3R w - -,h5g6
r2q1rk1/pb3pbp/1pn3p1/3p4/P1pP1P2/2P1B2P/BP1Q2P1/R2NR1K1 w - -,d1f2
r1bq1rk1/1pp2ppp/1p1p1n2/8/2P1Pp2/3P1N2/P1P3PP/R1BQ1RK1 w - -,c1f4
4r2k/p5p1/1p3np1/3p4/1P1R4/P3P3/B5P1/6K1 w - -,a2d5
7r/p4p2/3pkP2/1P1Np1b1/1P2R3/2NP1KP1/3r4/8 w - -,f3g4
2r2r1k/1p3pp1/4p2p/pb1pPn2/5P2/1NPR2P1/PPN3KP/R7 w - -,d3d2
8/5k2/7p/2N5/p7/1bP5/5PP1/6K1 w - -,g1h2
r2q1rk1/p2nbppp/bpp1pn2/3pN3/3P4/1P4P1/PBPNPPBP/R2QR1K1 b - -,a8c8
r3kb1r/p4ppp/bqp1pn2/3p4/2P5/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,c4d5
8/8/1k6/p3R3/1p2K1P1/1P6/P2r4/8 w - -,g4g5
8/1pR1p2p/4Pbpk/1P3p1q/3B1P2/r6P/P2Q2P1/6K1 b - -,a3a2
6kr/2p1rpq1/1pPp1Rp1/pP1Pp1Pp/P3P2R/5PQ1/5KP1/8 b - -,g7f8
1rbq1rk1/p4pbp/1p4p1/2pPp3/3n4/3PB1P1/PPPQN1BP/R4RK1 w - -,c2c4
5rk1/1p3ppp/p1b4r/2p5/2P2P2/2NPRp1P/P1P2P1K/R7 b - -,h6f6
8/7p/3r4/5R2/1k2K2P/8/5P2/8 b - -,b4c4
2r2rk1/1bqnbppp/pp1ppn2/8/2P5/1PN1PNP1/PB1Q1PBP/R2R2K1 w - -,d2e2
8/3r1kn1/5b2/1R5p/4R2P/5PPK/8/8 b - -,d7d3
4rbk1/2Rq1p1p/pr1p2p1/N2Pp1P1/4Bn2/5P2/PP1Q3P/1KR5 b - -,d7b5
2r2k2/pQ1rbpp1/4p2p/8/NP6/2n1B2P/P4PP1/1R3RK1 b - -,d7b7
8/3n4/p1N5/P4p1p/1P1K1pk1/8/7P/8 w - -,c6e7
8/3k4/1R6/p1pP2p1/2K5/6r1/PP6/8 w - -,c4c5
r2B4/1n1P1kbp/6p1/3R1p2/PP2p3/2P3P1/2Q4P/4R1K1 b - -,a8d8
rnbq1rk1/1pp1bppp/p2p1n2/8/P1BNP3/2N5/1PP2PPP/R1BQ1RK1 b - a3,f6e4
r5k1/5ppp/4p3/p3P3/bbpP4/2B5/5PPP/1NR3K1 b - -,a4b5
r3k1nr/pp2q1b1/2n1p1p1/3pP3/3P2p1/2N4P/PP4P1/R1BQ1RK1 w kq -,d1g4
r2r2k1/4bpp1/2q1p2p/1p1pP3/p7/2P1RNP1/PP3P1P/3QR1K1 b - -,b5b4
r3k2r/pp4pp/1n1n1p2/1P2pb2/1b6/4PNB1/1P1NBPPP/R2R2K1 w kq -,a1c1
3r3r/1p2kppp/p4n2/3qp1B1/3n2Q1/3B4/PPP2PPP/2R1K2R b K -,h7h6
8/p5p1/2R2nkp/2p5/2r2P2/7P/5P2/4R1K1 w - -,e1e5
8/1p6/5k2/p3n1pP/Pp1p2P1/1P4K1/2B5/8 b - -,e5f7
r1b1r2R/p3k3/2p2p2/1p3P2/8/1BP3P1/PPK5/4q2R w - -,h1e1
3r1bk1/1q3ppp/1p3n2/nP1p4/3PpN1B/2Q1P2P/5PP1/2R2NK1 b - -,f8e7
r2r2k1/pb1q2b1/1pn1p1np/2p2pp1/Q1PP4/P1N1PNPP/5PB1/1R1RB1K1 b - -,c5d4
r1rq2k1/pp1nbppp/2p1p1n1/3p4/2PP4/1PN3P1/PBQ1PPBP/2RR2K1 w - -,e2e4
8/7R/1kr4P/4K3/8/8/8/8 w - -,h7h8
3r2k1/p2r1pp1/1pp1b2p/8/1n1PRNP1/1P3P2/PB4P1/3R3K b - -,e6d5
3q4/4rpk1/1pR3pp/p7/P2P4/5QP1/1P3PKP/3Rr3 b - -,e1d1
8/2n5/2p5/1pPp2k1/1P1Pp3/4PpKP/8/4B3 b - -,c7e8
3r2k1/4bp2/2qpn1pp/1p2p3/4P3/1P3NP1/r1PR1P1P/2B1RQK1 b - -,a2a1
2r2rk1/1b1nbppp/pq2pn2/P1p5/1p2P3/3PBNP1/1PQN1PBP/R4RK1 b - -,b6a7
2r5/6pp/p3kp2/1bpn4/5B2/1P4P1/1K2NP1P/R7 w - -,a1e1
6k1/p6p/5Qp1/4P3/4p2P/8/q4PP1/6K1 w - -,e5e6:f6d8
2r2rk1/4ppbp/p2q1np1/3P4/npQ5/4BN2/PP2BPPP/3R1RK1 w - -,c4b3
2rqr1k1/bp3ppn/p1p1b2p/3pPP2/2PP4/1PB2QNP/P5BK/3R1R2 b - -,e6d7
r2qr1k1/2n2ppp/2pb1n2/pp1p4/3P1BPP/2NQPP2/PP2N3/2KR3R w - b6,e2g3
2r2n2/5kb1/3qpp1p/2pp2pN/3P2P1/2PQPN2/5PP1/rR4K1 w - -,b1a1
rnb2rk1/pp2ppbp/q1p2npB/8/3P4/2N2NP1/PPPQ1PBP/R3K2R b KQ -,c8e6
r1bq1rk1/4bppp/p1pp1n2/4p3/2P1P3/BPNB4/P3QPPP/R4RK1 b - -,c8e6
r3k2r/2q1bppp/1pb1p3/3pP3/1P1Q4/2P2N2/P4PPP/RN3RK1 w kq -,d4e3
1rb2rk1/p3Qp2/2p3pp/5P2/3bN1P1/3P4/P1P1B2P/R6K b - -,d4a1
8/p3B3/1pk4p/3R4/2P2PK1/P5P1/4r3/8 b - -,e2e7
r1bqkbr1/1p3pp1/pnn1p1P1/2pp4/7P/1PN1PN2/PBPPQ3/R3KB1R b KQq -,f7f6
2b5/K1k5/2p2p2/2Pp1n1p/3P3P/5P2/2B2B2/8 b - -,c8e6
rn1qkbnr/pp3ppp/2p1p3/5b2/2BP4/4PN2/PP3PPP/RNBQ1RK1 b kq -,g8f6
8/pp6/2p2kBp/6bP/2P3R1/1P6/1r3P2/5K2 w - -,f2f4
q7/2pkpp2/3p4/1r4p1/1pPP4/8/1P1Q1PPP/2R3K1 b - c3,b4c3
r3r1k1/pp2qppp/2p3n1/1P3b2/3Pp3/2N1P3/P1QN1PPP/1R3RK1 w - -,b5c6
1r1qr3/1b1n1pk1/1pp4p/2n1pp2/4P3/2QB2NP/1PP2PP1/3R1RK1 w - -,g3f5
rn1q1rk1/pb2ppbp/1p1p2pB/2pP4/2P1P2P/2NB4/PP1Q1PP1/R3K2R b KQ h3,b8d7
3r4/1b3pbk/pB1P2pp/1p2n3/1P6/7P/P2rB1P1/3RR1K1 w - -,d1d2
8/8/4k3/3n3N/5pRP/3P1P2/4P2K/2r5 b - -,e6f5
2rk3r/3bbBp1/p1qp1pPp/1pnQ1p2/4P2P/4BP2/PPPR4/2K4R w - -,d5d4
r3r1k1/pbqn1ppp/2pb1n2/1p2p1B1/3PP3/2N2N2/PPQ1BPPP/R2R2K1 w - -,a1c1:d4e5
8/8/5rk1/2R3p1/1p4P1/2bK4/8/2N5 b - -,f6f3
r1bqr1k1/ppp2ppp/3p1n2/4p3/1b1nP3/2NB1N1P/PPPP1PP1/R1BQR1K1 w - -,a2a3
3rb2k/6p1/5p1p/2pBp3/4P3/r7/3R1PPP/2R3K1 w - -,h2h4
r4k1r/ppq1bpp1/4p2p/2PnN3/QP6/8/P2B1PPP/R3K2R w KQ -,e5f3
8/5pk1/p2R1p2/1p5p/1P2r3/6P1/P1P2PKP/8 w - -,c2c3
5r2/P6p/2Kp2p1/3Pk3/1R6/8/8/8 b - -,f8c8
rn3rk1/p1p1qpb1/1p1p2pp/4p3/3PPP2/1QPB1b1P/PP2N1P1/R4RK1 w - -,f1f3
k3r3/p6r/Pp2p3/3pBp2/b1pPn3/2P1RPP1/2P3B1/4R1K1 b - -,a4c2
6r1/1p1nkpbp/2q1p2Q/8/1P4r1/P4NPP/4RPK1/1N1R4 w - -,h6c1
1r3rk1/2p2ppp/4b3/3p4/p2P4/q1pQ1P2/B5PP/K1BR3R b - -,b8b2
1r4k1/6pp/2p5/p1Pp1p2/P3P3/5P2/1r3P1P/R4RK1 b - -,f5e4
r1b1k2r/3nqpb1/p1p1p1pp/1p1PP3/3P1BP1/2NB3P/PP1Q1P2/1K1R3R b kq -,c6d5
3r2k1/5p2/2Rqp2p/r7/p2b4/P1Q3N1/2B2PPP/3R2K1 b - -,d6e5
rn1qkb1r/pp3pp1/2p1pn1p/3p1b2/2PP1B2/4PN2/PP1N1PPP/R2QKB1R w KQkq -,f1e2
6k1/2p2p2/1p1p3p/p2P4/2q1b1P1/P6P/1P3Q1K/8 w - -,f2e3
rn1qkbnr/1b1p1ppp/pp2p3/2p5/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
2kr3r/8/ppbbp2p/2p1n1p1/P1NpP3/1P1P4/2P1B1PP/R1B2R1K b - -,e5c4
2rq1rk1/pb3ppp/1pn1pb2/8/Q2PP3/4BNP1/P4PBP/2R2RK1 w - -,f1d1
rnb2rk1/1p3p1p/p4p2/q2p4/3N4/P3P3/4KPPP/R1Q2B1R w - -,c1d2
4rrk1/pp1bn1p1/3q3p/5p1Q/1P1p1P2/P2B4/2PB2PP/3R1RK1 w - -,c2c4
r4rk1/bppq1ppp/p1npb3/3Pp3/Q7/3PP1P1/PP2NPBP/1RB2RK1 b - -,c6d4
r2qk1nr/pp1bbppp/2n1p3/2ppP3/3P4/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,g7g5
r1b1qr1k/2p3pp/1p1p1n2/2nPpp2/pNP3P1/2P1PP1P/P1Q1B2B/4R1RK b - g3,f6g8
nrb2rk1/3nbppp/p2p4/q1pPp3/Pp2P3/1PP2N1P/2BBRPP1/RN2Q1K1 w - -,c3b4
r1b2rk1/pp2bppp/2n1pn2/3q4/3P4/3B1N2/PP2QPPP/RNB2RK1 w - -,f1d1
3r4/3Pk3/pr3p2/5Rp1/3R4/7P/P5P1/5K2 w - -,f5d5
4r3/1p1b3k/1p3q2/1P1Pp1p1/1Q2Pn1p/7P/3B1RP1/5BK1 w - -,d2c1
r1b1kbnr/pp2pppp/3p4/1N6/3NP3/8/PPP2PPP/R1B1K2R b KQkq -,e8d7:e8d8
7r/5k2/3P2p1/2p3R1/pb2pN1r/4P2b/KP3P2/7R w - -,h1g1
6k1/p3n1bp/4p1p1/1p2p3/4P3/P5P1/1r3P1P/2R2RK1 b - -,g7f6
