8/Q4rpk/5qp1/3Bp3/4P1Pb/7P/P4PK1/8 w - -,d5f7
2br1rk1/1p2npb1/1q1p2pp/p3p3/Q1PpPP2/3P1NP1/PP1B2BP/R4R1K b - -,e7c6
r5k1/p4pp1/7p/1p6/5B2/6P1/5P1P/2R3K1 b - -,a7a5
8/4pk1p/6p1/R7/P7/r7/6PP/6K1 b - -,a3a2
r1bq1rk1/pp2bppp/3p4/1N1Ppn2/P7/2PB4/1P3PPP/R1BQ1RK1 b - -,a7a6
8/8/3n3R/2pP4/P1P2kp1/3B1p2/1r5P/5K2 b - -,f4e3
6k1/5pp1/1p5p/p3pP2/P1B1K1P1/1P6/1b5P/8 b - -,g8f8
r2q1r2/4npkp/pn1p2p1/1ppP4/1P2P1b1/5N2/P1B2PPP/RN1Q1RK1 w - -,b4c5
4N3/8/8/8/1p5k/1Pp1K2P/8/8 w - -,e8c7
r1r3k1/pppb1pp1/2nbpq1p/8/2QP4/2N1PN2/PP2BPPP/R4RK1 w - -,f1d1
rnbqkb1r/pp2pppp/2p2n2/8/2p1PP2/2N5/PP1P2PP/R1BQKBNR w KQkq -,e4e5
8/2p5/p1ppk1pp/P1P5/1P1K4/5bP1/2N4P/8 b - -,g6g5
2r2r1k/1q1bb1np/p3p1p1/3pP3/1p1N1PP1/4BR1P/PP1Q4/1B3RK1 b - -,d7b5
8/8/7p/1R5P/1P3k2/7r/4K3/8 w - -,e2d2
r2qr1k1/pbpn1ppp/1p6/3p4/3Pn3/P1NNP3/1P2BPPP/2RQ1RK1 b - -,d8g5
6k1/pp3p1p/1n4p1/2Q5/P3q3/1P3N1P/5PPK/8 w - -,c5c7
r2r2k1/ppqb1pbp/3p1np1/2pP4/Pn3B2/1QN1P2P/1P1N1PP1/R3KB1R w KQ -,f1e2
r4rk1/3nppb1/B2p1np1/2pP4/1q2P3/2N2N2/PP1B1PP1/R2QK2R b KQ -,a8a6
8/6bP/8/pB6/4pp2/2k5/P3K2P/8 b - -,g7d4
6kb/5p1p/3p1np1/2p5/b1PpP1P1/P2N1PNP/3R2BK/1r6 b - -,f6d7
r1b1kb1r/pp1p1ppp/2n1p3/qN6/2P5/2N3P1/PP1QPP1P/R3KB1R b KQkq -,f8b4
1rbq1rk1/pp2ppbp/6p1/3N4/3B4/8/PPPQBPPP/R4RK1 b - -,d8d5
2kr3r/p2q1ppp/Ppp2n2/1N1n4/3P1b2/5B1P/1P1B1PP1/R2Q1RK1 w - -,a1c1
3r3r/1kpbb1p1/1pp2pn1/p6p/P1NNP3/1P2BP2/2P3PP/3R1RK1 w - -,d4f5
1r2r1k1/5pb1/q2p2p1/3P1b1p/n6P/P2pPPP1/1P1N1K2/1RBQR3 w - -,e3e4
r4rk1/1p1bqpbp/3p1np1/2nPp3/p3P1PP/2N1BPN1/PP1QB3/R3K2R b KQ -,f6e8
1b6/7k/7p/p1PKP3/8/1P6/P7/8 b - -,h7g6
7k/R7/1p1bB3/2pP4/2P2p1P/3K1p2/P4P2/6r1 b - -,g1g2
6k1/pb5p/1p3np1/2pp4/5P2/P1PB2N1/3B3P/4r1K1 w - -,d2e1
r1b2rk1/pp5p/4pppn/2nP4/2N5/2N3K1/PPP3PP/3RRB2 b - -,e6e5
3r2k1/6bp/2q1p1p1/p4p2/Pp1Pn2P/3R2P1/1B2QP2/3R2K1 w - -,d1c1
2r3k1/p5pp/3p1rq1/8/7P/5P2/P2RQBP1/6K1 b - -,g6f5
4n1Nk/1R4pp/4pp2/p3P3/4PP2/B1p2BP1/n6P/6K1 w - -,f3h5
8/5p2/6k1/3r2pp/1R6/4PPPP/4K3/8 b - -,d5a5
rnb1k2r/1pq1bppp/p2ppn2/6B1/3NPP2/2N5/PPPQ2PP/2KR1B1R b kq -,b8d7
4rr1k/6pp/1q1n1p2/p1p4Q/1pP4N/1P5P/1PP3P1/R2R2K1 b - -,h8g8
r2r4/ppR3p1/2pn2k1/3p4/1P1P1p2/2P4B/1P3P1P/R5K1 b - -,d8e8
2kr3r/ppb5/2n3qp/3p1pp1/1P1P4/2P2NPb/P2B1Q1P/R2B2KR b - b3,f5f4
2rqr1k1/1b2bpp1/p2ppn1p/1p6/2n1PP2/2N2N2/P1B1R1PP/B1R1Q2K b - -,e7f8
2kr3r/ppp1q2p/2p1np2/6pb/P1NbP1P1/1P5P/1BP1QP2/3R1RK1 w - -,g4h5
r2q1rk1/pp1nbppp/3ppn2/8/2PNP3/8/PP3PPP/RNBQR1K1 w - -,b1c3
8/8/5p2/1k1p1Np1/6P1/2R3KP/3r4/8 w - -,c3f3
8/2B2pp1/p3r1k1/1pR4p/1P6/b6P/5PPK/8 w - -,c7a5
3r4/p4k1p/bp2ppp1/2b5/2P2N1P/4PBP1/P1R2P2/6K1 b - -,f7e7
r3R1k1/1p1q1pp1/p1n3p1/2bp2B1/8/2P2N1P/PP1Q1PP1/R5K1 b - -,a8e8
5R2/5p1k/3p1P2/p1r2KP1/1p6/1P6/P7/8 w - -,f5f4
5r1k/p5bp/3q4/3BpQ2/2Pp4/8/P4P1P/R5K1 w - -,f5h5
8/8/8/5p2/R2K1Q2/5P2/4r1k1/1q6 b - -,b1b2
rnbqkbnr/ppp2ppp/4p3/3p4/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq d6,e4e5:e4d5
r1bqkb1r/5p2/p2ppn2/1p2n1B1/3NP1P1/2N2B2/PPP1Q2P/R3K2R b KQkq -,f8e7
rn1qk2r/1b2p1bp/p2pPpp1/1p1p4/3P4/3BBN1P/PPP1QPP1/R3K2R w KQkq -,h3h4
5k2/p5pp/1pp5/4R3/PP6/5rP1/5P1P/5K2 b - -,f3b3
r1bqkb1r/pp2nppp/2n5/2p5/3p4/1P3NP1/PBPP1PBP/RN1Q1RK1 b kq -,e7f5
8/8/1n1kpp2/1p4p1/1P1PK1p1/7P/5P2/2B5 w - -,h3g4
5rk1/1bq3pp/4p1n1/3pPp2/B1pPn1P1/RpP1P1BP/1P2Q2K/5R2 b - -,c7e7
6k1/1bp3bp/p2p1p2/1p3N2/1P1QqB1P/1PP5/6P1/6K1 w - -,d4e4
6k1/5pp1/p1r4p/1r6/6P1/7P/R2B1PK1/8 w - -,g2f3
rn1qkbnr/pbpp1ppp/1p2p3/8/3PP2P/2N5/PPP2PP1/R1BQKBNR b KQkq h3,f8b4
2k4r/ppp1n1pp/2n5/4P3/2PNq3/2P1r1P1/P6P/R1Q2RK1 b - -,c6d4
2Rn1k2/8/1b1Np3/3rPp2/5P2/8/4N3/5K2 w - -,c8b8
rnb2rk1/ppp1qppp/3pp3/8/2PP4/2Q2NP1/PP2PP1P/R3KB1R w KQ -,f1g2
5k2/p4ppB/1n2p2p/p2pPP1P/1b1P2P1/1P1K4/8/2B5 w - -,f5f6
r6q/ppp3k1/3p1p2/5Qb1/1PPP4/7N/P7/1R5K w - -,b1e1
r2q1rk1/pb1nppbp/1p1p1np1/2p3B1/3P4/2P1PN1P/PP1NBPP1/R2QR1K1 b - -,d8c7
8/p1Q4p/6pk/1p6/2B4b/1P6/P4PK1/2r5 w - -,c7h2
r1b2rk1/5pp1/p4n1p/1p1pN3/1b1P4/3BB2P/PP3PP1/1K1R3R b - -,c8b7
2kr3r/1ppb3p/p1nb4/3p1p1q/B2Pp3/4BPP1/PPP1Q1NP/4RRK1 w - -,c2c3
3r2k1/5pp1/p1p5/PpPrP2p/3P1P2/4K1P1/7P/R2R4 b - f3,g7g6
1r4k1/p1q1ppbp/6p1/5b2/8/QPrB1P2/PBP3PP/1K1R3R b - -,c3c2
8/5pbp/8/2k3p1/1p2P3/3K1P1P/8/2N5 w - -,c1b3
5k2/4r2p/6p1/6P1/1pR1BP2/1Pb2K2/5P2/8 b - -,c3d2
rnb1kb1r/1p2pppp/2p2n2/p2q4/P1p5/N4NP1/1P1PPPBP/R1BQK2R w KQkq -,d1c2
3rr1k1/5p1p/4q1p1/1pP5/bP2p3/4Q2P/R4PP1/2R1N1K1 w - -,a2d2
8/r3k2p/2K5/2P3p1/4P3/7P/p7/R7 b - -,h7h5
5r1k/b1r3p1/7p/3qNb2/P2PnN2/4P2P/1Q4P1/R5K1 b - -,d5d6
r1b1k1nr/pppp1ppp/1bn5/1N6/4P3/5P2/PPPB1P1P/RN2KBR1 b Qkq -,a7a6
r1qR2k1/pb3ppp/1p2pn2/nNb5/4P3/1BN1B3/PP2QPPP/R5K1 b - -,c8d8
8/4k3/p6r/3K2pp/4P3/6P1/8/7R w - -,d5e5
r2qk2r/3b1p2/p1n1p1p1/2npP1Np/5Q1P/1P1B4/1PP1NPP1/2KRR3 b kq -,d8e7
r1b2k1r/pp2q1bp/n2p1n2/2pPpp2/2P5/2N4N/PP2BPPP/R1BQ1RK1 w - -,f2f4
1q3bk1/pb1n1p1p/1p4p1/3Pp3/4P3/2Q1BP2/P3B1PP/2N3K1 b - -,f8c5
8/8/6r1/2R3P1/1p5p/8/1k2K3/8 w - -,c5b5
1r3rk1/pq1n1ppp/1p1bp3/2p3B1/3P4/2P2N2/PP2QPPP/R3R1K1 w - -,a1d1
8/8/3Q2p1/5p1p/2k1p2P/6P1/5P2/1q4K1 w - -,g1g2
8/1R6/2n1kBp1/1p4P1/p7/2P5/6K1/1r6 w - -,b7b6
3B4/1b3p2/5kp1/1B2p3/p5P1/8/1P3P2/6K1 b - -,f6e6
r4rk1/1bqnbppp/pp1ppn2/8/P2P1B2/2PB1N1P/1P1NQPP1/R3R1K1 b - -,f8e8
8/5p2/1p1k4/p2r1p2/P1KPp2p/1P3PP1/3R3P/8 w - -,d2e2
1rbqnrk1/1p1nppbp/p2p2p1/2pP4/P1P1P3/2N1BN1P/1P1QBPP1/1R3RK1 b - -,d8c7
r4rk1/4bppp/p1qp1n2/1p2p3/4P1b1/1PP2NN1/1P3PPP/R1BQR1K1 b - -,h7h6
6k1/8/5Q2/1p2p3/2p1P2P/q4P1K/8/8 w - -,h3g3
8/p2rnk2/1pB1R1p1/5pP1/P2p1Pb1/3P2Kp/2P5/4R3 b - -,d7c7
2r2rk1/6bp/p2n2p1/2pR4/5P2/P3B3/6PP/2R3K1 w - -,d5d6
r2r4/1p2qbkp/p1pnnpp1/4p3/1P2P3/1BPNNP2/P4QPP/R2R2K1 b - -,a6a5
r1bq1b2/1p2k1pQ/p3pr1p/4N3/P1R5/3B4/1P3PPP/2R3K1 w - -,c4c7
8/8/3p2k1/1R1Pp1p1/3r2p1/4KP1P/8/8 w - -,h3g4
3r4/r3qpk1/2p1n1p1/2p1p3/2P1P2P/3P1QP1/5R2/1R3BK1 w - -,f1h3
r2q1rk1/pp1nnpbp/2p1p1p1/3p4/4P3/1N1P2PP/PPP1QPB1/R1B2RK1 b - -,d8b6
r3kr2/1p1bp2p/6p1/p1n5/7Q/2P3N1/qPB3PP/2KRb3 w q -,d1e1
rnb1k2r/pp3ppp/4pB2/q1pP4/3P4/2b1P3/PP3PPP/R2QKBNR w KQkq -,b2c3
8/8/p1k1P3/5Nb1/PK6/8/8/8 w - -,b4c4
r5k1/6bp/6p1/1p6/4R3/1P1p1NP1/P1r2PKP/R7 w - -,a1d1
8/8/2K5/1pP2Pk1/3N3p/3n4/8/8 w - -,d4f3
2r4k/3npq1p/3p1p2/n2NbP2/p7/P3B2P/BP4P1/3R1Q1K b - -,a5b3
6k1/4brpp/8/8/pn2R3/P1B3P1/6KP/8 b - -,b4d5
6k1/1p3ppp/1p2p3/3r4/8/2Pb1P2/P4KPP/3R4 w - -,a2a4
r1b1k1r1/p3pp2/1p1p1bnp/2pPn2R/1q2P3/1PN1BP2/P1PQNKP1/3R1B2 b q -,c8a6
R7/8/6n1/5pk1/7p/4K2P/8/8 b - -,g5f6
r2rb1k1/1q2pp1p/6p1/7n/p2nP3/P1N2P2/1PRNB1PP/1R2Q1K1 w - -,c2c1
r2r2k1/pp3pbp/4bnp1/8/3q1P2/2NN4/PPPQB1PP/R3K2R w KQ -,a1d1
8/1p4p1/3k1p1p/5P1P/3P4/r1PK4/1R6/8 b - -,d6c6
6r1/1Q3p2/2pk1p2/3nr2q/2P2B2/8/PP2bPPP/2KR3R b - -,e2d1
3n4/1p2k3/2pr3R/5P2/4B3/4K3/8/8 w - -,h6h1
8/1p6/p3pR2/P3P1k1/5p2/4nK2/1r6/4B3 w - -,f6e6
7r/4kpp1/p1qp1n1p/br2pP1P/2p1P2B/P1N2P2/1PP3Q1/KR1R4 b - -,a5c3
2rrb1k1/pp3pqp/2p1pbp1/BPP5/P1QPB3/6P1/3R1P1P/3R2K1 b - -,d8d7
rnbq1rk1/pp2npbp/3p2p1/2pPp3/2P1P3/2NB4/PP2NPPP/R1BQK2R w KQ -,e1g1
1r6/2q2pk1/4pp2/p3n3/Q2RPb1p/2B4P/1P2BPP1/6K1 w - -,a4a3
8/p7/2R5/1P1k4/3q4/1K6/8/8 w - -,c6c8
r1bqkb1r/pp3pp1/2n1p3/2ppPn1p/3P4/2P2N2/PPB1QPPP/RNBR2K1 b kq -,c5d4
2q1rb1k/2p2ppn/7p/P3p3/4N3/2N4P/4QP1K/1R4R1 b - -,f7f5
5bk1/pp3ppp/2p5/2n5/5P2/1PNrP3/P1b2PBP/2B2RK1 w - -,c1b2
r1bq1rk1/ppp3bp/3p2p1/3Ppp1n/2P1P3/2N1BPP1/PP1QB2P/R3K2R w KQ f6,e4f5
8/5p2/3k4/5P2/3KN2P/8/1p2b3/8 b - -,d6e7
4rbk1/3r3p/4pPp1/3nP1P1/p2p1BN1/5Q2/2q3BK/5R2 w - -,f4g3
3q1r2/r2nb1kp/1pb2pp1/p1p1p2n/P1PpPP2/1P1P2PN/R5BP/1NBQ1RK1 w - -,f4f5
2bqr1k1/p1r2p2/1pnp1ppb/7p/2P1PP2/2BB1QN1/PP4PP/3RR1K1 w - -,h2h3
4R3/8/8/5k2/4p3/1P4r1/PKP5/8 b - -,f5f4
2r4b/5k2/1B3p2/1b1rpNp1/1p2B1P1/1P6/P4P2/1K6 w - -,e4d5
5rk1/1p3rb1/n1p1b1pp/p3P3/P1P1N1P1/1n3NBP/1P3RK1/3R1B2 w - -,f3d4
r5k1/1pqr1pbp/2p1p1p1/4P3/p1P5/1PQ3P1/PB3P1P/R2R2K1 w - -,d1d7
8/pp6/6p1/4K3/1P4Pp/6kP/P7/8 b - -,g3h3
r4rk1/1bq1bppp/p1nppn2/1p6/4PP2/PNNBBQ2/1PP3PP/R4RK1 w - -,f3h3
r1bq1rk1/pp1n1pbp/3p1np1/1Pp1p3/P1P5/2NP1NPP/3BPPB1/1R1Q1RK1 w - -,f3e1
1r1qr1k1/p2b1p1p/3p1bp1/1pnP4/2P1pP1N/1PBn2PP/P1Q1N1BK/R4R2 w - b6,b3b4
r4rk1/p2pqppp/np2pn2/b1p5/Q1PP4/P1NBPbN1/1P1B1P1P/1R2K1R1 w - -,a4c2
rn1r2k1/pp2qpbp/2p1bnp1/1P1p4/P1PPp3/1QN1P3/1B1NBPPP/2R2RK1 b - a3,h7h5
r1bnRr1k/1p3Bpp/p4q2/8/7N/1Q6/Pb3PPP/4R1K1 b - -,d8e6
2r2nk1/r3b3/2pBPpp1/2Pp1N2/1P4Q1/1R6/2P1RPPK/3q4 b - -,e7d6
7r/2k2B2/pr1pp2p/2n3p1/1RP2pP1/P1K2P2/6P1/7R w - -,f7g6
1r3r1k/1b4bp/8/1N2ppq1/3p4/5P2/PP2B1PP/2RQ1RK1 b - -,e5e4
3r4/p1q2p1k/4pb1p/2pp1p2/2b2P2/2P1PQr1/PP1R2K1/3RN3 w - -,g2g3
2kr1r2/1pp1q3/p1np3n/4pp1p/1PP1P1pP/2QPP1B1/P2N2P1/4RRK1 w - -,b4b5
2r3k1/3r1p2/pp1PnQ2/3R3p/PqP5/4P2P/6P1/2R3K1 b - -,c8c5
5r1k/2p4p/2q2r2/1p1p2p1/p2PpP2/P1P1P1P1/Q1R4P/2B3K1 b - -,c6e6
5rk1/p1p3bp/3p2p1/2pP1P2/1PPp1P2/3Br1Pq/P4Q1P/1R3RK1 w - -,f1d1
r1b2rk1/pp1n1ppp/2n1p3/q2p2B1/4P3/1NP2P2/PP3QPP/R3KB1R b KQ -,a5c7
3rrbk1/p1pq2p1/1pn4p/4pp1b/8/P1NPBPPP/1PP1R1BK/R3Q3 w - -,g3g4
1k4r1/1p2r2n/p1pR4/P1P1p1pp/2K1N2P/2P2PP1/8/3R4 w - -,d6d7
qr4k1/3r1ppp/5b2/1N6/PP2n3/1Q2PpP1/2R2P1P/2B1K1R1 w - -,c1b2
2r4k/5pp1/pq1p1n1p/3PnN1P/1pp1PQ2/4R3/1PP3P1/2KR4 b - -,f6h7
r4r2/nq2npbk/1p2p1pp/pNp5/2Pp4/PP1P2P1/2NBPP1P/1RQR2K1 w - -,b5a7
2rn4/1ppqk1pr/p2p4/8/2P1P1p1/6P1/PP2QPK1/R1B2R2 w - -,c1g5
4k3/8/4P3/3K1R2/1b6/8/8/8 w - -,f5h5
3k1r2/p3pp1p/1q2n1p1/8/Q2p4/8/PP1B1PPP/2R3K1 b - -,e6c5
6k1/8/2p5/5qp1/P1P4p/8/1P4R1/5RK1 b - -,f5e5
r1b1k2r/1p2nppp/pqnppb2/2p5/4P3/P2P1N2/BPP1NPPP/R1BQ1RK1 w kq -,c2c3
r1b2rk1/ppqn1ppp/2p1pb2/8/3P4/2PB1N2/PP2QPPP/R1B2RK1 w - -,f1e1
r4rk1/1p3ppp/p1nq4/3pN3/3PNP2/3Q1R2/PP4PP/R5K1 b - -,d5e4
r3k2r/3bbp1p/p2ppp2/1pq2P2/4P3/2NQ4/PPP1B1PP/2KR3R w kq -,e2h5
3r1rk1/7p/p3p1p1/8/5nPQ/1R2N3/PPK2P2/3B2q1 b - -,g1e1
r3r2k/2qn3p/p1b1Q1pN/1pPp2B1/1P1b4/P2B4/2R2PPP/4R1K1 w - -,e6e8
3q1r2/2r3bk/2p1b1pp/5p2/R1P1p3/QN4P1/4PPBP/5RK1 w - -,e2e3
8/7p/p7/Kp1k4/1B5P/P2b4/5P2/8 b - -,d5e4
2kr1b1r/pp3p1p/2p2p2/q7/6P1/2Pb1P2/PP2Q1BP/R1B1K2R w KQ -,e2d2
r1bq3r/pp2k3/2p4p/3pPppQ/4n3/3BP1N1/PP3PPP/2R2RK1 w - -,h5g6
8/p4p1p/1p1p1k2/3P1p2/5K2/1BPb2P1/P6P/8 w - -,a2a3
r1k4r/pppn2p1/3bbp1p/1B2p3/4P3/2N2NB1/PPPR1PnP/2KR4 w - -,d1g1
r4rk1/1pp3b1/3p2qp/p2Ppbp1/1PP1Nn2/P2B2B1/2Q2PPP/R4RK1 w - -,f2f3
r3qrk1/2p3p1/ppnbb1Pp/P2p4/1P1Pppn1/1NP1P3/3KNPB1/R1B3QR w - -,d2c2
3rb1k1/2r2pp1/8/8/2P1PP1p/p4N2/1p2RK2/2R5 w - -,c1g1
3b2k1/r2b1p2/pp4p1/3BB2p/P2P3P/6P1/1P3P2/2R3K1 b - -,d7a4
r6r/pb3Pb1/2p3Qp/1pk3p1/2p5/2p5/PP3PPP/5RK1 w - -,g6g7
8/1p6/p7/3kb3/P5p1/1P1K4/4N1P1/8 b - -,e5d6
6Q1/3n3p/p3Nk2/2p5/2P5/3p3K/3q2B1/8 b - -,d2e3
1r2r1k1/pq2bpp1/1n3n1p/1Qpp4/7B/2N1PN2/PP3PPP/2RR2K1 w - -,h4g3
2r2rk1/pp1qbpp1/7p/3Pp3/3n4/P5P1/1P1N1PBP/2RQ1R1K b - -,c8c1
8/8/1k6/1P1pp3/PK5n/B7/2P5/8 b - -,h4f3
r1q2rk1/1pp2pbp/1n4p1/pb1P4/3pPB2/P5P1/NPQ2PBP/1R1R2K1 b - -,c7c6
rnbqk2r/ppp1p1bp/5Bp1/3p1p2/3P4/2N1PN2/PPP2PPP/R2QKB1R b KQkq -,g7f6
5B2/1p6/p1b2k1p/P2q2p1/1P3p2/7P/4Q1PK/8 b - -,f6f5
5r2/4bpkp/6p1/4P1q1/1p6/1Q3B2/PP4PP/4rR1K w - -,f1e1
r1rq2k1/p2n1ppp/1Pp2n2/3p4/1P1Pp3/P1B1P2P/5PP1/R1RQ1BK1 b - -,a7b6
2B5/4k2p/2K5/p4P2/P1P2b2/7P/8/8 b - a3,f4e5
6r1/8/1R2N1r1/3Bkp1p/2P4P/6P1/1P5K/8 w - -,b6b3
1r2r1k1/2b2ppp/p1q5/1p1ppP1n/1P6/2P2P2/1P2QBPP/R2R1NK1 w - -,e2d2
rn1qkb1r/pp3ppp/2p2n2/3pNb2/3P4/4P3/PP1N1PPP/R1BQKB1R b KQkq -,b8d7
1r4k1/1q3ppp/2p1p1b1/1rPpP3/1b1P4/P1Q4P/R2N1PP1/5RK1 w - -,a3b4
r5k1/3np2p/qn1p1ppB/2p5/r1P1PP1P/P1RQ2P1/3N4/5RK1 w - -,f1f3
8/p1ppq1kp/1p3pp1/3Prp2/P1P5/5PP1/2PQ1K1P/R7 w - -,c2c3
1nr3k1/p3qppp/b3pn2/8/1p1N1P2/1Q1NP3/PP1R1PBP/6K1 b - -,h7h6
r5qk/6pp/p5n1/1p2pQ2/1bnpP3/8/PPP1NBPP/1NKR4 w - -,f2g1
8/PN3p1k/5P1p/8/4pP2/3pK1P1/6P1/5r2 b - -,f1e1
1R3Q2/8/2r3pk/3pPp1p/P7/7P/3q2PK/8 b - -,h6g5
r4rk1/q1pb2pp/1bnppn2/1p6/4PN2/1P3PP1/PB1QN1BP/R3K2R w KQ -,g2h3
2r1R2k/7p/5q2/1p1P4/1P6/6P1/4Q1K1/8 b - -,c8e8
r4rk1/4qpbp/B2n2p1/N1Nn4/1P2p1b1/Q3P3/P2B1PPP/2R2RK1 w - -,a3b3
2r1r1k1/4pp2/3p1bp1/1p1Pn2p/p4P1P/P1P1B1P1/1PB1K3/3R2R1 b - -,e5c4
2rq1rk1/p4pbp/bp2n1p1/2pNNn2/5P2/2P3P1/PP3BBP/R2QR1K1 w - -,d1a4
5r1k/p2bbqpp/1p1p4/2p5/5PP1/1P2PN1P/P1Q4B/2K1R3 b - -,c5c4
2kr3r/1p2bp1p/p1q3p1/3pP3/3Q4/2P1B3/P4PPP/3R1RK1 b - -,h8e8
1r4k1/5ppb/4p2p/p3P3/3N1P2/3n1BP1/P2b3P/5RBK b - -,d3e1
r3k2r/3bb1p1/p2pp1p1/1p5n/2qNP3/2N1BP2/PPP3Q1/1K1R3R b kq -,e8c8
3r3k/1p3rpp/3p3q/n2Npbb1/P3N3/2P2PP1/2B1Q2P/3R1RK1 w - -,h2h4
3r1k1r/1p2n1p1/p1pp1p1p/4p1q1/4P2N/1P1PPQPP/1PPK1R2/5R2 b - -,e7g6
r2qkb1r/pp1n1ppp/2p2n2/3p4/2PP4/2N1Bb1P/PP3PP1/R2QKB1R w KQkq -,d1f3
1r1k4/1p1b1p1p/p2r4/3P1p2/4pR2/2R1P3/PPB3PP/6K1 b - -,d8e7
2r3k1/1RB2p1p/p5p1/1p6/4n2P/2PN2P1/PPK2b2/3R1r2 b - -,f1d1
3r2k1/pp3pbp/2nq2p1/8/3p3P/PP1N2P1/1B1Q1P2/3R2K1 b - -,d6d5
2r3k1/3n1ppp/pp1Npn2/2q5/2P5/1PN2QP1/P4PKP/3R4 b - -,c8b8
1r3rk1/1nqbppbp/p2p1np1/1ppP4/2P1N2N/1P1Q2PP/P2BPPB1/3R1RK1 b - -,b5c4
6k1/pp1r1pp1/4np1p/2b5/8/2B2NPP/RPP1RPK1/3r4 b - -,a7a6
r3k2r/pp2bpp1/2p1pn1p/3q3P/2PP4/3Q1N2/PP1B1PP1/2KR3R b kq c3,d5e4
r3kb1r/1pp1p1p1/p4p1p/4Bb2/2B5/2P4P/PPP2PP1/3R1RK1 w kq -,e5h2
8/6p1/P2R3p/8/1KP1k3/8/8/r7 w - -,c4c5
4b3/1p2p1k1/3pB1p1/1p1P2P1/1P3PK1/P7/8/8 b - -,g7h7
8/8/5b2/3K4/2p3P1/N1pk4/8/8 w - -,d5e6
8/7p/pp1k2p1/3n1p2/7P/P2KPP2/1P2N1P1/8 b - h3,b6b5
4rnk1/1B5p/p3pr2/P3R1q1/5p2/2PQ2P1/1P3P2/4R1K1 b - -,g5g7
8/p5pp/1p1nkp2/4p3/1N6/1P3P1P/P4KP1/8 w - -,f2e3
1rbqk2r/pp3pb1/2npp1pn/2p4p/4PP2/2NP1NPP/PPP3B1/R1BQ1RK1 w k -,f3h4
2rr2k1/p3q1p1/2Pp2np/2n2p2/2P1p2P/4P1P1/PBQRBP2/3R2K1 b - -,c8c6
3r2k1/5pp1/3qp3/3n4/1pR4p/1N2QPP1/1P2PK1P/8 w - -,e3c5
4R3/8/3p4/6p1/1pPr1p2/1P5k/2K4P/8 w - -,e8e2
rr2n3/1q1b1p1k/3p1bp1/1P1Pp2p/p3P2P/R2BBP2/3QN1P1/1R5K w - -,e3f2
