8/1k6/nP6/P2Kp2p/5pp1/8/5BPP/8 b - -,a6b4
r1bq1rk1/1pp2pbp/2np1np1/p2Pp3/2P5/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,c6e7
1r3rk1/3nqppp/4p3/1pbb4/1B2P3/Q2P1NP1/5PBP/RR4K1 b - e3,d5a8
r3k2r/5p1p/4p1p1/1R6/7P/1B2B3/PKP2P2/7b b kq -,e8d7
6k1/5ppp/1b6/p3pb2/P7/3N1PP1/3BK2P/8 b - -,e5e4
8/pr3k1p/1n3ppB/2p5/2P2R1P/R4P2/P2N2b1/2K1r3 w - -,c1c2
r1r3k1/1n1b1p1p/p2p2pb/1p1P4/1P1BPP1q/P1N1Q1N1/6PP/2R2RK1 b - -,a6a5
rnb2rk1/pp3pb1/2p1pqpp/3p4/2PPP3/2N2N2/PP2BPPP/R2Q1RK1 b - -,f8d8
5Q2/2n3R1/2k1p3/3pP3/2pP3r/2P1N3/4r1b1/6K1 w - -,f8c5
4q3/6P1/Q2k3K/5p2/7P/8/p7/8 b - -,e8c6
4r2k/p1rb3p/1p3p2/2PB2p1/1p6/4P1P1/PP5P/2R2RK1 b - -,b6c5
rnbq1rk1/pp1pppb1/5npp/8/2Pp1B2/2N1PN2/PP3PPP/R2QKB1R w KQ -,e3d4
7R/5k2/4p3/4p1p1/4PnPp/5P1P/2r5/5BK1 b - -,f7g7
8/r7/P5P1/2k5/3p3K/R6P/8/8 w - -,g6g7
8/p6p/1p1b1kp1/1Pp2p2/2Pp3P/3P2PK/P4P2/2B5 b - -,d6c7
4rrk1/pp1b2pp/4pn2/q2pn1P1/3b1B2/2NB4/PPP1QP1P/1K1R3R w - -,f4e5
r1bq1rk1/p2nbppp/1p3n2/2pp4/3P1B2/5NP1/PPQ1PPBP/RN3RK1 w - c6,b1c3
r1b1rbk1/2qn1ppp/pp1pp3/n5P1/P2NPP2/2NQB3/1PP3BP/R4R1K w - -,e3g1
r7/2p5/1p2k1pp/4Pp2/1R2nP1P/2P1B3/1P2R1K1/3r4 w - -,g2f3
8/p1k5/5p2/2p5/p7/2Pn4/1P2rPK1/1R1N4 w - -,d1e3
rnbqkb1r/pp2ppp1/8/3p2B1/3P4/2N2P2/PPPQ3P/2KR1BNn w kq -,g5f4
8/8/7p/p4kp1/P1R1r3/8/5K1P/8 w - -,c4c6
r2qkb1r/1p2np1p/2n1p1p1/pBPpP3/1P4b1/2P2N1P/P2N1PP1/R1BQK2R b KQkq -,g4f3
8/8/8/1p6/2k5/8/2K5/8 w - -,c2b2
r1r3k1/2q1pp2/pp1p1bp1/3Pn3/1PP4P/R3B3/1P1QBP2/2R3K1 b - -,g8g7
8/6k1/7R/6K1/6P1/8/7p/4b3 w - -,h6h2
2qr4/R4rk1/1p3pp1/1Pp1p2p/2Pp3P/3P1NP1/3Q2K1/4R3 b - -,f7a7
2krr3/1pp3pp/p1p1b1n1/8/4P3/P1P1R1B1/2P1N1PP/2KR4 b - -,d8d1
5rk1/1p2ppbp/2qp2p1/pN4B1/Pnr1nP2/2N5/1PP1Q1PP/3R1R1K w - -,b5a7
5rk1/1r2nppp/2R5/Rp2P3/2p3P1/4KP2/1P2B2P/8 w - -,c6c5
r3k2r/pp3ppp/2npb3/3q4/3p1B2/5N2/PPPQ1PPP/R3R1K1 b kq -,e8g8
4r1k1/5pb1/3p4/p2PpQP1/2q5/P7/5BK1/4R3 w - -,e1d1
r2q1rk1/pp1bppbp/3p1np1/n1pP4/2P5/2N3PP/PPQNPPB1/R1B2RK1 b - -,a8b8:a7a6
2Q3k1/1B3pp1/p2q4/4n3/P2b2P1/1P6/4PP2/3N2K1 b - -,g8h7
r1b1q1k1/7p/2np1rpQ/2p2p2/p1P4N/1P2R2P/P4PP1/1B3RK1 b - -,e8f8
rr3bk1/2B2p2/2p3pp/4p3/PP2P3/2N2P1P/5KP1/1R1bN3 b - -,b8b7
r2qkb1r/1b1n1ppp/pp1ppn2/8/2PNP3/2N3P1/PP3PBP/R1BQR1K1 b kq -,d8c7
r5k1/1p3rpp/p1q1p3/4P3/5PQ1/PP6/1B4RP/7K w - -,h2h4
r2r2k1/pp2bp1p/4p1p1/8/5P2/q1p3P1/P1Q2PB1/RK5R w - -,c2b3
4qrk1/1nrb2b1/1p2p2p/2p2p2/p1BP1NpP/P3P1P1/1P2Q1P1/1KNRR3 b - -,b6b5
r3kbnr/pbpq2pp/1pn1pP2/3p2B1/3P1PQ1/2N5/PPP3PP/1K1R1BNR b kq -,g7f6
8/p3nkp1/7p/1R6/2N4P/6P1/r4P2/6K1 w - -,c4d6
rn2k2r/pb2qpp1/1p1pp2p/2p5/2PP4/2PBP3/P2N1PPP/R2Q1RK1 b kq -,b8c6
r4k1r/pp2qp2/2p2bp1/4P2p/6nP/1BB3P1/PP2QP2/3R1K1R b - -,f6e5
2b1k2r/p3qpb1/2p4p/B2p2p1/8/2n2P2/PQ2B1PP/RN2K2R b KQk -,e7e2
r2qrnk1/pp3pb1/2ppbnpp/4p3/P3P3/2PPNNPP/1P3PB1/R1BQR1K1 b - -,d8c7
3r1rk1/1p2q1pb/7p/1R6/p2p1p2/P2P2PB/1Q2PP1P/5RK1 b - -,f4f3
8/5pk1/2p3p1/1pr3p1/3R1P1P/P1N5/1P3K2/7b w - -,h4g5
5rk1/2q1bppp/1pn1pn2/2p5/Q1Pp4/B2P2P1/3NPPBP/5RK1 b - -,c6a5
3r2k1/5p2/3qp1p1/2p2P2/p1Pb2P1/1p1P1R2/P3Q1K1/3R4 b - -,e6f5
5kr1/5p2/2p3qn/1pb3NR/p3Pp2/P1P2P2/BP5Q/4RK2 w - -,h5h6
8/7p/1R2rkp1/2Pp1p2/2b4P/5BP1/5PK1/8 w - -,c5c6
r1bqk2r/pp2b1pp/2n1pn2/2Pp1p2/8/1P3NP1/PBP1PPBP/RN1Q1RK1 b kq -,e7c5
n1b1k2b/3n1p2/p2p1P2/2pPpNPp/N1P1P2P/P2K4/3B4/8 b - -,d7f8
r4r2/1qpn2bk/pp2Rnpp/8/P2P3B/2NQ4/1PP2PPP/4R1K1 w - -,e1e3
r2r2k1/5pp1/ppn1bq1p/2bp4/8/Q1N3P1/PPNRPPBP/5RK1 w - -,a3a4
2n1r2k/2q3p1/7p/p1p1pb2/2P4Q/1P3P2/P2R2PP/4R1K1 w - -,h4h5
r1bqr1k1/5pb1/p5p1/nppPP3/2p2P2/P4N1p/1PB3PP/1R1QRNK1 w - -,g2g3
5k2/3p3p/p3n3/1p3N2/8/1B2R3/Pr5P/7K w - -,h2h3
r5k1/7R/p1p1n1P1/4p3/5r2/2N5/PPP5/2KR4 w - -,h7e7
rnb1kb1r/pp3ppp/1q1ppn2/2pP4/4PP2/2N5/P1PB2PP/R2QKBNR w KQkq -,g1f3
8/1q4pk/1P1p3p/8/1Q3p2/7P/6PK/8 w - -,b4d6
r3k2r/pb1nbp1p/1pq1p3/2pnP1p1/2N5/2PB1NP1/PP2QP1P/R1B2RK1 w kq -,c4d6
8/1N6/1p1B1pk1/p4p2/2n5/P7/8/3K4 b - -,f5f4
4n1k1/2prqppn/p6p/1p2pP2/4P2P/1PP3Q1/PBB2P2/2K3R1 w - -,f2f4
r1bq1rk1/p3bpp1/2pppn1p/8/4P2B/2NB4/PPP2PPP/R2Q1R1K b - -,e6e5
rnb1kbnr/ppp1pppp/8/3q4/2P5/8/PP1P1PPP/RNBQKBNR b KQkq c3,d5a5
7k/pp1nR3/2b1Np1p/7P/6P1/P4r2/1Pp5/2K5 b - -,c6a4
2b2rk1/4q1b1/2Bp2n1/1P1Pp2p/4Pp2/3N1PpP/PQ4P1/R3R2K b - -,e7h4
r2qkb1r/pp3ppp/2n1pn2/2p5/3pPBb1/3P1NN1/PPP1BPPP/R2QK2R b KQkq -,d8a5
2k5/1pp1r1p1/p1np1pb1/2P1q2p/7P/1PQ2P2/PKP2BP1/3R1B2 b - -,d6c5
3r1k2/ppq3p1/2nbrnpp/2p5/2Pp1P2/1P1P1BPP/PBN3Q1/4R1K1 w - -,e1e6
r2q1rk1/pp1nbppp/2n5/3p4/NP1p2P1/P2QPPB1/4N2P/2R2RK1 w - -,e3d4
8/8/8/P6R/1bB5/1Pk1r3/8/5K2 b - -,c3d4
3r4/1kp1pp1p/2p5/8/2P3R1/BP6/2K4P/r3R3 b - -,a1e1
3Q4/8/5p1k/8/5KPp/5P1P/8/q7 w - -,d8h8
r1bq1rk1/1p1n1ppp/p4n2/4N3/8/2BP4/PP3PPP/R2Q1RK1 w - -,e5d7
rn1qkb1r/ppp1pppp/1n1p4/4P3/6b1/1B3N2/PPPP1PPP/RNBQK2R w KQkq -,b3f7
1q6/5pk1/b1r3n1/p4NPp/3R3P/8/P2Q4/4R1K1 b - -,g7h7
8/1n1nk2p/1pp1b1p1/5p2/2P1pPP1/4K2P/3NB3/1R6 w - -,g4f5
8/6kp/8/2r3p1/8/2P5/2R3PP/6K1 w - -,g1f2
r1bq1rk1/pp3ppp/2nbpn2/2pp4/4P3/2PP1N2/PPQNBPPP/R1B2RK1 b - -,c8d7
5rk1/p2b1p2/P1q1p1p1/Qpr1P2p/3P1P1P/1R1B2P1/2PK4/R7 b - -,c6g2
r3r1k1/1p4bp/p2p2p1/3Pnb2/PN5q/4BP2/6PP/1R1QRBK1 w - -,e3f2
r3k2r/ppp1qppp/2n2n2/1P2p3/2Pp4/P3Pb2/1Q1P1PPP/R1B1KB1R w KQkq -,g2f3
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/2N2NP1/PPPP1P1P/R1BQKB1R w KQkq -,f1g2
5r2/1p2k2p/2b1p3/2p2p2/p1Pb2P1/5P1P/PPR1B1K1/3N4 b - -,h7h5
6k1/1p3p1p/p4p2/3R4/8/1P2P1KP/r4PP1/8 w - -,d5d6
6k1/1pr1b3/q2p1p1p/p1BRp1p1/P1P1P3/1P3P2/2QR2PP/6K1 b - -,c7c5
1r1q1rk1/5pb1/3p2pp/n1pbp3/1p2P3/2PP2PP/1PQ1NPB1/R4RK1 w - -,e4d5
r1q3k1/p3Rbbp/1p1p1pp1/2pP4/P4Q2/2B2B2/1PP2PPP/6K1 b - -,c8f5
5rk1/pp5p/3p1np1/3P1p2/8/P3RP1P/1r4PN/3R2K1 w - -,e3e6
rn2kb1r/pp3ppp/2p1pnb1/8/2BP1N1q/2P3N1/PP3PPP/R1BQK2R b KQkq -,f8d6
r2qk2r/pp3pp1/3N1n1p/4p3/3p4/1P1P1Nn1/1PP2PPP/R2QR1K1 b kq -,d8d6
3rr1k1/ppq1bppp/2n2n2/4p1Q1/2Pp4/1P5P/PB1N1PP1/1B1RR1K1 b - -,e7b4
5r2/1br2pkp/pn1p2p1/1p2p3/4P3/P1NP1P2/1PNK2PP/3RR3 b - -,f7f6
rnbqkb1r/pp2pp1p/5np1/3p4/3P4/2N3P1/PP2PP1P/R1BQKBNR w KQkq -,g1h3:f1g2
8/5kpp/2bp1p2/p2p4/2rP4/1RP2P2/P1N3PP/6K1 w - -,b3a3
1r2r3/3b1k1p/pb1B2p1/1p1Ppp2/1P6/2P3P1/P3R1BP/4R2K b - -,e5e4
r4rk1/5pbp/p1Rp2p1/q1B5/P3pP2/3B3P/2P2QP1/5RK1 w - -,c5b6
r7/1pn3kp/2p1p1p1/3p1p2/2P2P1P/1P2PP2/r1P5/2KR1B1R b - -,a2a1
8/1R2Pk2/8/1brp4/p7/1p2P3/P4PBK/8 w - -,a2b3
r2q1rk1/pb2bppp/1p6/nBpp4/Q2P1B2/4PN2/PP3PPP/R4RK1 w - -,d4c5
rn1qkb1r/pp1b1ppp/4pn2/2p5/2QP4/5NP1/PP2PP1P/RNB1KB1R w KQkq c6,b1c3
rnbqk2r/ppp1nppp/4p3/3p4/1b1PP3/P1NB4/1PP2PPP/R1BQK1NR b KQkq -,b4c3
r7/r5bp/2kBp1p1/2P2p2/p2P4/Rb3N1P/5PP1/R5K1 w - -,a1e1
6k1/p4pp1/2p5/2Pn4/2P3p1/Pr2P3/1B3P1K/1b1R4 w - -,c4d5
7k/r6p/P7/6K1/R5P1/8/P7/8 b - -,h8g7
r1b2rk1/3p2pp/p2b4/1p2pP2/4B3/5P2/PPP4P/1K1R3R b - -,a8b8
r2r4/pp2npkp/4b1p1/2qP4/8/2N2B2/PP1Q1PPP/3R1RK1 w - -,c3e4
5k2/p5p1/1p1NR3/2r1Pp2/P1P1bP2/R3P3/5K2/7r b - -,h1h2
8/PBR5/4k3/5p1K/5P1p/r5b1/8/8 b - -,g3f4
6k1/p4p2/1np3qp/3p2p1/1N1b4/1P1bRPP1/P2Q2BP/6K1 b - -,d4e3
b2r1rk1/p3qpbp/4p1p1/1pRpP3/1P1P4/B2Q1N2/P4PPP/5RK1 b - -,a7a6
2r5/pb3pbk/1p1Ppqpp/8/1P3P2/P3QN1P/B5P1/3R2K1 b - -,c8d8
2bR4/3nr1pp/p4p2/3B3k/4PP2/4B1P1/1P5P/6K1 b - -,d7c5
r3r1k1/pq1n1p2/1p1B2pp/2p5/1PPb2Q1/7P/P2N1PP1/2R2RK1 w - -,d2b3
1rb1k2r/2qpbppp/p1n1pn2/1pp5/2P1P3/1PNP1NP1/PB3PBP/R2Q1RK1 b k -,e8g8
6k1/6pp/8/4Pp2/1bpBbP2/r1N3P1/4K2P/2R5 b - -,e4d3
3n1r2/1p6/3N4/p1p1p3/2P3pk/P2PP3/1P4B1/6K1 w - -,g2d5
8/6k1/6p1/3p4/q2P4/2P1PR2/3K1P2/8 b - -,a4a2
r1bq1rk1/p4p1p/1p2pbp1/n7/3P4/2PB2B1/P1Q1NPPP/3RR1K1 b - -,c8b7
3rr1k1/7R/4pq2/5p2/1p2pN1R/8/Qb3PPP/5BK1 w - -,h7h6
3r2k1/5ppp/1pR5/1n1B4/5Q2/3P2P1/P6P/1q5K w - -,h1g2
r2qkb1r/1b3pp1/p1n1p3/1pppPn1p/8/1P1P1NP1/PBP2PBP/RN1QR1K1 w kq -,h2h3
1rbq1rk1/ppp1bppp/2n2n2/3P4/2p5/2N2NP1/PP3PBP/R1BQ1RK1 b - -,c6b4
1r2r1k1/p1Rn1ppp/b2P4/3RP3/1p6/1P4P1/PB2pbBP/4N2K w - -,e1c2
r1bb1rk1/1q4pp/pp2pn2/1BppNp2/3P1B2/8/PPP1Q1PP/R3K2R w KQ -,b5c6
r1b1kbnr/pp3ppp/2nqp3/8/2Bp4/5N2/PPPNQPPP/R1B1K2R w KQkq -,d2b3
q1r3k1/pb1rbpp1/1p1ppnnp/8/2P1PP2/P1N3B1/1P1NQ1PP/2R1RB1K w - -,b2b4
2r5/3bp2p/3p2k1/1p3p2/rPn5/P4P2/2N1N1PP/R4R1K b - -,c4d2
2r1r2k/p4ppp/2n1q3/1BR5/1P2b3/4B1Q1/P4PPP/3R2K1 w - -,h2h4
8/5pk1/1p6/p7/4Qq2/P1P5/KPB5/2b5 w - -,e4h7
r5r1/pp1b1k2/3Q1n2/3p4/5pPR/3B4/PPP5/2K5 b - -,d7g4
2r2r2/pp1b2kp/1n4p1/3PP2n/4Np1q/2N2P2/PQ4BP/4RRK1 b - -,b6c4
r4bk1/2qR1p2/2p4p/1p2p1p1/1PN1Pn2/2P2NBP/2Q2PPK/8 b - -,c7d7
k3r3/ppp2p2/7r/1q1p2p1/3P4/2P1PP2/P3RKP1/1R6 w - -,b1b5
2kr4/1pp1n1pp/p1p2p2/8/3R1P2/2P1B1K1/P1P2P1P/8 w - -,d4e4
4b3/1r6/n2r1kpp/3pNp2/pppP3P/P1K1P1P1/1P3PB1/R3R3 w - -,a3b4
7R/8/8/8/r2NK1k1/8/7P/8 b - -,a4a3
r1bqr1k1/pp1n1pbp/2p1p1p1/3p4/2PPP3/1PB2NP1/P1Q2PBP/3R1RK1 b - e3,d5e4
6k1/r4pb1/ppb1r1p1/2p5/P1Np4/2PB1P2/1P3R1P/2R3K1 b - -,c6a4
r4b1r/1p1k1pp1/1p3n1p/1N2nb2/3p4/3PB1P1/PP2PPBP/R4RK1 w - -,b5d4
1kr5/1p3Q2/pqb1p2p/4P3/3P1R2/P1N1P2P/1P3K2/8 w - -,b2b4
1Rb3k1/2Pq1pp1/p7/P3p2P/3r4/2Q4P/6B1/6K1 b - -,g8h7
2r1r2k/1b4p1/p3p1Pp/7P/1p1RP3/5Q2/PPq5/K2R1B2 w - -,f1d3
r1bqr1k1/p1n3bp/1p1nppp1/8/3P2PP/1QN2N2/PP1B1PB1/2R1R1K1 w - -,f3h2
rnbq1rk1/p3ppbp/1p3np1/2pp2B1/3P4/3BPN2/PPPNQPPP/R3K2R w KQ c6,c2c3
5rk1/pp3pbp/6p1/r3P3/4NP2/4p3/P5PP/3R1RK1 w - -,f1e1
6r1/ppr4p/3pkp2/PRp1b2R/2PpP3/3P2P1/2PBK2P/8 w - -,e2f3
r3rnk1/pp1bqppp/8/2pPn3/4P3/2NB3P/PP1QNRP1/R5K1 b - -,a7a6
rn1qk2r/pbpp1ppp/1p2pn2/8/1bPPP3/2N5/PPQ2PPP/R1B1KBNR w KQkq -,f1d3:f2f3
1Q3knr/p1R1b3/5pp1/P2pp2p/4q2P/1p2B3/5PP1/4N1KR b - -,f8g7
2r2rk1/pp3pbp/4bnq1/4p3/P1BpP3/3P2N1/1PP2QPP/R1B2RK1 w - -,g3f5
8/5r2/4N1kp/R4p2/3q3P/2p3P1/4Pn1K/8 w - -,e6d4
rn1q1rk1/3bppbp/6p1/1p2N3/p2P4/2n5/PPB2PPP/R1BQ1RK1 w - -,b2c3
4R3/1r4p1/3BR3/4pk2/1PK2p2/2P5/8/4r3 b - -,f4f3
r4rk1/pq2bp1p/2bp2p1/2p1pPP1/2Pnn2N/PPR5/1B1N2BP/3Q1RK1 w - -,d2e4
2bq1rk1/1pp2p1p/1p3np1/1N6/8/2Pr1BR1/PP3PPP/R4QK1 b - -,d3d7
r3qrk1/7p/p1n1nbp1/2p1p3/PpQ1p3/2P1NN1P/1P3PP1/R1B1R1K1 w - -,c4e4
r3r1k1/4qpb1/2p1b1p1/1pp1P3/4NP1p/1nP5/1P3QP1/3RRBKN b - -,c5c4
r2qrbk1/1b1n1ppp/p1pp1n2/1p1Pp3/1P2P3/2P4P/P1B2PPN/R1BQRNK1 w - -,d5c6
k3r3/1p3p2/p7/P1p3p1/2q3P1/2P4P/2KQ4/1R6 w - -,c2c1
r3rbk1/1bqn1p2/2pp1npp/4p3/2BPP3/1PB2NN1/1Q3PPP/3RR1K1 b - -,b7a6
8/5k1p/p5p1/1p3r2/7P/P3P3/1P6/K4R2 w - -,f1c1
2r3k1/5p1p/5bp1/pN6/8/P1n1P1P1/2N2P1P/3R2K1 w - -,b5c3
r1b2rk1/pp2pp1p/6p1/4P2n/3q4/1QNB4/PP3PPP/R3K2R w KQ -,b3d5
8/4k3/R7/p7/3p2P1/r4P2/5K2/8 w - -,f3f4
2r1r3/1Q3ppk/p4np1/3pB3/3P2P1/P1P1RP1P/4RK2/2q5 b - -,c8c3
rn1qk2r/pp1n1ppp/2p1p3/b2p2P1/4P3/P1NP1Q1P/1PPB1P2/R3KB1R w KQkq -,d3d4
8/6k1/8/3n2Kp/7P/5PN1/8/8 w - -,g3h5
rn1qk2r/pp2bppp/2p1pn2/8/1PBP2b1/P1NQ4/2P1NPPP/R1B2RK1 b kq -,g4f5
5R2/p7/2P5/8/3PK1k1/5p2/8/4r3 w - -,e4d3
r4rk1/p3n1p1/2q1p3/1p1nPpP1/2pP4/2P4R/5BNP/R2Q2K1 b - -,g7g6
1r1q1rk1/2nb1pbp/2p1p1p1/pn6/Np1PPN2/1P2BPPB/P4Q1P/2RR2K1 w - -,f4d3
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PPP3/2N4P/PP2NPP1/R1BQKB1R w KQ c6,d4d5
r1b2rk1/ppn1pqbp/2pp1np1/5p2/2PP4/QPN3P1/P3PPBP/R1BRN1K1 b - -,e7e5
8/p6k/1q3p1p/QP6/1P6/6PP/2r2PN1/6K1 w - -,a5b6
r1bqkb1r/pp3ppp/2n1pn2/2ppP3/5P2/2N3P1/PPPP2BP/R1BQK1NR b KQkq -,f6d7:f6g8
3r4/1p3k1p/p5p1/3p4/1Pn2N1P/P2R1P2/5KP1/8 b - h3,d8d6
r6k/2q1r2p/3bppp1/1b1p4/1p1P1P2/1P3R2/1BPQ2PP/3BR2K w - -,d2f2
2r1r1k1/1p2p1b1/p1n4p/3Npqp1/2P5/BP2Q2P/P4PP1/3R1RK1 w - -,e3b6
r1b2rk1/pp1nqppp/2p5/8/2BPp3/P1P1P2P/3N1PP1/R2Q1RK1 b - -,d7f6
r1b2rk1/1pq1bppp/p1nppn2/8/4PP2/1NNB4/PPPBQ1PP/R4RK1 w - -,a1e1
4r3/pp1k3p/3p2p1/8/2r5/2n4P/P4PP1/4Q1K1 w - -,e1d2
r2qkb1r/pp2pppp/2n5/3pNb2/3P4/P1P3P1/4PPBP/R1BQK2R w KQkq -,d1a4
r3rn2/1b3pkp/pq3np1/1pp1p3/NQ2P3/P4N1P/1PP2PP1/3RRBK1 b - -,c5b4
rnb1kb1r/pp3ppp/8/3np3/4P3/8/PPN2PPP/RNB1KB1R b KQkq e3,d5b6:d5b4
r1bq1rk1/ppp2ppn/1b1p2np/4P3/3P2P1/1BNQ1N1P/PP3P2/R1B2RK1 b - -,g6h4
8/7R/3p1pp1/4bk2/1rp4P/3R4/6K1/3B4 w - -,d3f3
3rr1k1/pbq1ppbp/1p3npB/2p5/P2PP3/2PB1N2/3Q1PPP/1R2R1K1 b - -,g7h8
4r3/4P1k1/p3R2p/5r2/P1p2p1R/2N5/2b2P1P/7K b - -,h6h5
1qrr2k1/4bppp/2bpp1n1/p1n5/1pPNP3/1P3PB1/P5PP/1NRRQB1K b - -,c6e8
8/6pp/4k3/1p6/4K1P1/1n1N3P/8/8 w - -,d3f4
6R1/8/8/6k1/5p2/5K1p/r7/8 b - -,g5f5
2r1r1k1/pp1q1pp1/n3p2p/P2pP3/3P4/1Q3N1P/1P1b1PP1/R1R3K1 w - -,f3d2
r4r2/5pk1/1pqNb1p1/p2pPp1p/PP1Q1P2/2P4P/6P1/R3R2K w - -,e1c1
6k1/p4p1p/3p4/4b1p1/2Pp1rP1/1N2r2P/P5K1/2R1R3 w - -,e1e3
2kr1b1r/ppp2ppp/2n5/3qP3/5B2/P1Q2bP1/1P2PP1P/R3KB1R w KQ -,e2f3
6k1/4r1p1/1p5p/2p1N3/1n1P4/2K1P3/7P/R7 w - -,a1a8
2qrr1k1/1b1nppb1/pp1p1npp/2p5/P2P4/2P1PN1P/1P1NBPPB/2RR1QK1 b - -,d7b8
6k1/pp3ppp/5n2/3pr2b/8/2PB3P/PP1N1PP1/R5K1 w - -,g1f1
rn2k2r/1b1pbppp/1q2p3/2pP4/2B5/2N2N2/PP1Q1PPP/R3K2R w KQkq -,e1g1
r3rBk1/p1Q4p/6q1/3Nn3/3p3b/PP1B3P/6P1/5RK1 b - -,e5d3
r2q1rk1/pp1n1ppp/2pb1n2/4p3/2BPP3/2N2Q1P/PP3PP1/R1B2RK1 w - -,d4d5
r5k1/p3rq2/1p2pp1Q/3p2pp/3P4/2P3RP/PP3PP1/4R1K1 w - -,f2f4
r2qkb1r/p1pb1ppp/3p1n2/2p2N2/4P3/2N2Q2/PPP2PPP/R1B1K2R b KQkq -,d7f5
8/8/p3R3/1p3k2/5p2/P1r2b1P/B4P2/6K1 w - -,e6e1
q4rk1/rbBnbp2/p3pn1p/2p3p1/4P3/2N3P1/PPQN1PBP/R2R2K1 b - -,f8c8
r2q1rk1/p5b1/n1pp3p/4pbp1/2P1Nn2/P1N3B1/1P2BPPP/R2Q1RK1 b - -,a6c5
2r2qk1/p4p1p/2pQn1p1/2P1B3/8/6P1/P4PBP/5K2 w - -,e5f6
r3k2r/1p1n1ppp/p2bp3/8/2PN3q/1PN5/P3QPPP/2R2RK1 w kq -,d4f3
rnbqr1k1/pp3pbp/3p2p1/2pPN3/2P5/2NBB2P/PP3PP1/R2Q1RK1 b - -,g7e5
5r2/p1p3k1/1p1p1n2/3P1bp1/2P4p/3B4/PP1K2PP/5R2 w - -,f1f5
3r4/p5p1/2R1Npk1/7p/1p5P/1Pb5/P1Kr4/5R2 w - -,c2c1
r1bq2k1/ppp2r2/8/2pPbp2/5Pp1/6P1/PP3BK1/R2Q1R2 w - -,f4e5
8/2R1p3/3pk1p1/2p5/5R2/7r/3KP3/8 b - -,h3h7
8/5p2/8/3N4/p1k1K3/B7/8/1r6 w - -,d5e3
7k/6p1/8/7K/2B5/6P1/7P/8 b - -,h8h7
r1bk2nr/ppp2pbp/2p3p1/8/4P3/8/PPPB1PPP/RN2KB1R w KQ -,d2c3
r5r1/n1p2qk1/1p1p1p1p/pP1PpP2/P1P3PN/5Rp1/2Q5/4R1K1 w - -,f3g3
4k3/3b4/r2P1pp1/ppR4p/7P/5PB1/P1P3P1/4K3 w - -,e1d2
2r3k1/p7/1p5p/3P4/8/P6P/5KP1/4R3 w - -,e1e7
rnbqk2r/ppp2ppp/8/3pP3/4n3/2N2N2/PPPPQbPP/R1B1KB1R w KQkq -,e1d1
8/2p2k2/1p3p2/p2Pp3/P1PpP3/1P1K4/7r/4R3 w - -,e1b1
8/7R/p1p1r3/k7/5K2/5P2/3P1P1P/8 b - -,a5b6
2kr2r1/p1qn1p2/B1b2p1p/4P3/8/2P1PQB1/5PPP/R4RK1 b - -,c8b8
8/1p3k2/6p1/P5P1/P1K2N2/8/8/1n6 b - -,b1d2
