8/4kb2/1R6/p4P2/7N/P3P1K1/2r5/8 w - -,h4g6
4r3/7p/5p2/1k6/1b2P1P1/2P2K2/R3P3/8 w - -,a2b2
Q7/4R3/2p4p/5pp1/2P1b3/1P5P/4k1PK/4q3 w - -,a8c6
6k1/5p1p/3R1p2/8/1P2p3/4P1P1/5PKP/r7 b - -,a1b1
8/8/3k4/pK2nPrp/P3B2R/8/7P/8 w - -,b5a5
r4b1r/5ppp/p2k4/Bp1n4/6b1/1B1P4/P1P2PPP/R3R1K1 w - -,c2c4
2kr4/p2qr2p/1p3p2/n1pP2p1/4P3/3R1N1Q/P4PPP/5RK1 w - -,h3h6
7k/b6p/6p1/5n2/4q1P1/P6P/1PP4K/5Q2 b - -,e4c2
2rr2k1/1p3pp1/1q2p1p1/pP6/8/P3b1BP/1Q2B1P1/RR3K2 b - -,d8d2
2r2bk1/3r3p/pB2b1p1/Pq2pp2/1Np5/2P4P/RP2QPP1/R5K1 w - -,a1e1
3r2k1/1bq2pbp/2p2np1/1pP1R3/1P6/1QN3P1/1B3PBP/R5K1 b - -,c7e5
4q1n1/pbp1r1k1/1p1n2p1/2p4p/4PQP1/3P1N2/6BP/3R1R1K b - -,e7f7
1k1r2r1/pbp1qp1p/1p6/1Q3p2/3Pp3/4PP2/PPP1N1PP/1K1RR3 b - -,e4f3
r1b2rk1/ppq2pp1/2nbpn1p/3pN3/3P1B2/2PB3P/PP1N1PP1/R2Q1RK1 w - -,d2f3
r5k1/p1r2p1p/1p1qnnp1/2pp4/Q2P4/3BP2P/PP2NPP1/2RR2K1 w - -,a4a3
8/2kn4/2p4p/2Pp2pn/1N1Pp3/4P2P/4N1P1/4K3 b - -,d7f6
r3r1k1/p1p2Qpp/1p6/2P2N2/7P/1N4P1/PP3PK1/4R3 b - -,g8f7
r5k1/4p1Np/2n3p1/8/2p2B2/P7/5PPP/3K3R b - -,g8g7
1kbr3r/p2n1pb1/3p1npp/q1pPp3/PpP1P2P/6PB/1P1NQP2/R1B1KN1R w KQ -,b2b3
1n4k1/8/pqpbp1p1/3p1pP1/1P1P1P2/P1BBP3/K7/3Q4 w - -,d1f1
8/K2n4/3p4/1PkP4/2P5/1B6/8/8 w - -,b3d1
1r1r3k/p1q5/1p1p1b2/7p/1PP3BP/P3B1Q1/3R4/3R2K1 b - -,d8g8
2r3k1/p3pp1p/8/1BB1bp2/8/7P/PPn2PP1/3R2K1 w - -,c5e7
r1b2rk1/q4ppp/2p5/p1n5/2BQpPn1/P1N5/2PPN1PP/1R3RK1 b - -,c8f5
r2qk2r/1b2bpp1/p4n2/1pnP1P2/4N2p/P2B1Q2/1PP1N1PP/R1B2R1K b kq -,c5e4
5r1r/p2kn1p1/1pn1pp2/3pP1Bp/2PP1N1P/3P4/5PP1/RR4K1 w - -,e5f6
r4k2/p1Qn1ppp/bp2p3/3qN3/6P1/P7/1P2PP1P/4KB1R w K -,e5d7
r3k2r/1p1qppb1/p1np2pn/3N3p/2PP4/4BBPP/PP3P2/R2Q1RK1 b kq -,a8d8
r3b3/3n2k1/3q2pp/2pPp3/2P2pP1/pP1PQ2P/2BN4/5R1K w - -,e3f2
1rq3k1/1p2prbp/1n2n1p1/pNp5/P1P1QP2/1P1RB3/4N1PP/3R2K1 b - -,b8a8
8/3R4/1p4k1/p1p4p/2Pn2p1/1P4K1/P7/8 w - -,g3f4
r1b2rk1/ppp2ppp/2n2n2/4Pq2/8/P1Q1PN2/1P3PPP/R1B1KB1R b KQ -,f6e4
1rq3k1/2pnr1b1/p3b1pp/3p1p2/1PP1p3/4PPP1/P1QB2BP/1R2NRK1 w - -,c4d5
6k1/1p6/p1b5/P1B3pp/1P3p2/1q5P/5QPK/8 b - -,b3d3
r3r1k1/pppq1ppn/4b3/3p4/3Q1N2/6N1/PPP2PPP/4RRK1 b - -,b7b6
2r1k3/5p2/5P2/Bp3r2/p7/P1PR1Kp1/1P6/8 w - -,f3g3
8/p3k1rp/R3ppb1/N2n4/B2P4/5PP1/5K1P/8 b - -,d5b6
7k/6rp/3p2p1/2p5/1p2P1b1/1P1P1BP1/2qQK2R/r4R2 b - -,g4f3
b1rr3k/p1q2pp1/Pp2p2p/3nQ3/2B3N1/1P5P/2P2PP1/3RR1K1 w - -,g4h6
r1q1rbk1/1npb1p2/1p1p1n1p/p2Pp1p1/1PP1P3/PNN2P2/4BBPP/R2Q1RK1 w - -,f2e3
r3r1k1/pp2Bp1p/6pb/8/2P5/1P3NPQ/P3Pn2/2R2RK1 b - -,f2h3
8/1pr1rpk1/p5p1/7p/P1PR3P/5B2/1P1R1KP1/8 b - -,g7h6
rnbqr1k1/pp3pbp/2pp1np1/8/1PPPp3/2N1P3/PB1NBPPP/R2QK2R w KQ -,d1c2
2k1r3/p1prn2p/1p6/1P3pB1/P1PPp2P/6P1/4KP2/R2R4 w - -,a4a5
1rbq1rk1/1p2ppb1/pn1p2Pp/2p5/3PP1n1/2NQ2P1/PP2N1BP/R1B2RK1 b - -,f7g6
7r/4k1b1/pnqp1p2/2p1pP1p/2P1P2B/1PNR4/P3Q1P1/6K1 b - -,g7f8
1B6/1p3p1p/p1k2bp1/8/4KPP1/1P6/7P/8 b - -,a6a5
r5k1/5ppp/2r1p3/pp1bP3/8/1PPRB3/P4PPP/2R3K1 w - -,f2f3
5rr1/pppb1k1p/1n1p2n1/7B/4Pp1B/2N5/PPP4P/2K2RR1 w - -,c3e2
r1bq1rk1/pp2npbp/2npp1p1/2p5/2P5/2NP1NP1/PP1BPPBP/R2Q1RK1 w - -,a1b1:d1c1
5k2/4Bp2/p1p3P1/1pp1PK2/2P5/1P6/Pb6/8 b - -,f8g8
5rk1/N4ppp/p4q2/2P5/1p1b4/1Q6/1P3PPP/R3R1K1 b - -,d4c5
r1r3k1/4qpp1/p1p4p/3pP3/Q7/1P6/1P3PPP/R1R3K1 w - -,c1c6
1qr1b1k1/6p1/p2Rpp1p/2r5/2P2P2/6PP/P3Q1BK/2R5 w - -,d6a6
1r2r3/n3pbkp/p2p1pp1/P1p5/1pP2PP1/3B3P/2PN3B/R2R2K1 w - -,d3e4
rnbq1rk1/ppp1bpp1/4pn1p/3p2B1/3P4/3BPN2/PPPN1PPP/R2QK2R w KQ -,g5f4
r2qrbk1/1p1b1ppp/2pp1n2/p1nP4/1P1N4/P1N1PPP1/6BP/1RBQK2R b K -,a5b4
6k1/4nppp/rp6/p7/2R1PN2/P2r4/1P3PPP/6K1 w - -,f4d3
r1N2k2/p1R1n2p/1p3p2/3b1P2/1P4P1/P7/5K1P/3R4 b - -,d5b3
r2qk2r/pp1nbppp/1n1p4/3Ppb2/2P5/2N1BN2/PP2BPPP/2RQ1RK1 b kq -,a8c8
2r2rk1/pp1qbppp/2nppn2/8/2PNP3/2N1B3/PP2QPPP/R4RK1 w - -,f2f4
5rk1/1q1bbppp/pprppn2/8/P1P1P3/2N1BP2/1P1QB1PP/R2R3K w - -,b2b4
4r3/1p1b3k/1p1q4/1P1Pp1p1/1Q2Pn1p/7P/3B1RP1/5BK1 b - -,d6f6
4rr1k/1b2q1p1/p3pp1p/1p1pP3/3NnPQ1/PBP1R3/1P4PP/5RK1 w - -,b3c2
2r3k1/4bppp/N1b1p3/8/1p1qP3/1B4Q1/PP3PPP/4R1K1 w - -,g3e3
3r1rk1/1pp1qppp/p1p3b1/2n1P3/5Q1N/2N5/PPP2PPP/2R2RK1 b - -,c5e6
5rk1/5ppp/pp6/2pN4/2P1q3/1P4PP/P1n2Q2/3R2K1 w - -,d5b6
8/8/4p1p1/p2k1p1p/1b3P1P/1P1NK1P1/P7/8 b - -,b4d6
1r6/8/2p2pk1/3p4/p1pP2P1/P1P1p3/1P2R1K1/8 b - -,g6g5
3r1rk1/1p4np/4bqp1/pNpp4/P7/1PP5/R4PPP/3QRBK1 w - -,a2d2
4r1k1/p3q2p/1p2Prp1/2bQ1p2/5P2/2P3R1/P2B2P1/4R2K w - -,e1e5
rnbqk2r/ppp1ppbp/3p1np1/8/2P1P3/2N3P1/PP1P1P1P/R1BQKBNR w KQkq -,f1g2:h2h3
r3r1k1/4q1bn/pp1p2p1/2pPnb1p/P3N2P/4BPP1/1P1QBN2/R1R4K b - -,h7f6
3r2k1/p5Pp/1p1b1r2/2pqpN2/3p4/1P3R2/1PP3QP/5RK1 w - -,f5h6
r1b1kbnr/1pq2ppp/p1n5/3p4/2pP4/2P2N2/PPB2PPP/RNBQR1K1 b kq -,f8e7
3r2k1/1p4pp/p2r1p2/8/P1np4/PR1R1P2/6PP/4BB1K b - -,c4e3
4r3/8/5P2/8/6P1/3k1K2/8/8 b - -,d3d4
2b4k/6rp/p7/8/2PQP3/2N5/P5rP/1B5K w - -,d4d8:d4d1
8/1p3pk1/p5p1/3p3p/3Nn3/1PP3P1/P4PP1/6K1 w - -,d4e2
3r4/1rk5/Rp2p1p1/1Rp1Pp1p/2P2P1P/3PK1P1/8/8 w - -,b5b2
r3k2r/2q2pp1/2p2b1p/ppn1pP2/5PP1/P6P/BPPBQ1K1/R3R3 b kq -,e5e4
r1bq1rk1/5ppp/p1n2n2/1p2p3/1P6/2P1PN1P/2BB1PP1/R2QK2R b KQ -,c8e6
r2qkb1r/ppp2pp1/3pbn1p/8/2Pn4/1PN3P1/P3PPBP/R1BQK2R w KQkq -,d1d4
r1b1k2r/pp1n1qpp/2nbp3/3p4/3P4/3BBN2/PP2NPPP/R2QK2R b KQkq -,d7f8
r1b2rk1/ppn2ppp/2p2q2/3p4/PP1P1b2/2PB1N1P/3N1PP1/R2QR1K1 w - -,f3e5
6rk/pp6/2pBb2p/4Pp1q/3Nn1r1/1P6/P1R3PP/2Q2RK1 w - -,c1b2
2r5/2rkb3/1R1pp1p1/6P1/p1PB1P2/1PK5/P7/7R b - -,a4b3
r2rn1k1/1p2bpp1/4p2p/p2q4/P1pP1P2/2P1BNP1/1P2Q2P/R2R2K1 w - -,f3e5
r3r1k1/1bpnqpbp/1p3np1/4p3/p1P5/P3PN1P/1PQNBPPB/3RR1K1 b - -,e7c5
r2q1rk1/ppp3pp/1b3n2/3pBn2/3P4/2N2B2/PP3PPP/R2QR1K1 b - -,c7c6
5r2/2R2p2/5kp1/7p/7P/6P1/5P2/6K1 w - -,g1g2
1r3qN1/5p2/p2p2kp/2pP2P1/1rpnP3/2N2p1R/PP4RQ/2K5 b - -,g6g7
4Q3/2k5/1r6/2K5/8/8/3n4/8 b - -,d2b3
r1bq1rk1/ppp2ppp/3b1n2/4p3/2Pn4/3P1NP1/PP3PBP/RNBQ1RK1 w - -,f3d4
2r3k1/r1pb1pp1/1p1p3p/p2Pq3/2RQB2P/4P1P1/PP3P2/2R3K1 w - -,d4d2
r2q1rk1/pppnppb1/3p1n1p/5bp1/2BP4/2P1PNB1/PP1N1PPP/R2QK2R w KQ -,d1e2
8/1p1b2k1/2p2pp1/p1P5/2BP2pP/1P3pP1/P4P2/5K2 b - -,f6f5
r4rk1/1bpqnpbp/p2pp1p1/1p1nP3/P2PNP2/3B1N2/1PPQ1BPP/R4RK1 w - -,c2c3
r1q1k2r/Np1bbppp/p2p1nn1/P2Pp3/1pB1P3/3QBP2/2P1N1PP/R4RK1 b kq -,c8b8
q1b1Qb1r/2k1n1pp/8/3pP3/B1pp4/8/1PP2PPP/2B1R1K1 w - -,e5e6
4r2k/q4p1p/P6b/5Q2/2pP2B1/2P4P/3rN3/R5K1 w - -,g1f1
r1b2rk1/3n1ppp/1q1ppn2/p1p3B1/2P5/P1QBP3/1P2NPPP/1R2K2R w K a6,b2b3
rq2k2r/p2bbpp1/2pp1n1p/4p3/2P1P3/2NQBN2/PP3PPP/1R2K2R w Kkq -,h2h3
r4q1k/pp1b1p2/6rp/2pRpN2/2P5/4b1NQ/PP4PP/1B3R1K b - -,f8e8
8/1k1r1P1K/2r5/8/4Q3/8/8/8 w - -,h7g8
q5k1/1p3p1p/2p1b1p1/8/pPP1P3/8/P3BRPP/3R2K1 w - -,a2a3
r4rk1/ppp1q1pp/3nbn2/4p2P/4p3/2P3N1/PP1NBPP1/R2QK2R b KQ -,e4e3
2rr2k1/1b2bppn/p1q4p/2p1n3/Pp2PNP1/1P1PB2P/5QB1/1R1RN1K1 b - -,c6f6
r1bqkb1r/pp3ppp/2n1p2n/2ppP3/5P2/2NP1N2/PPP3PP/R1BQKB1R b KQkq -,h6f5
3b4/8/5k2/1N4p1/3BK1n1/4P3/8/8 b - -,f6e6
5r2/3b3k/p2p4/1p1P2qB/4P2P/8/PP6/1K4R1 w - -,h4g5
2kr3r/1pqb1p2/p3p3/4Pn2/1b1B1P2/1Q6/PPP1N2P/2KR1BR1 b - -,f5d4
b4rk1/r4ppp/5b2/P4q2/1p1P4/3N1N2/1P2Q1PP/R1R3K1 b - -,a7a5
7k/pp2n1bq/2p4p/3p3B/P2Pp3/2P1R2R/1P1B1K1P/8 b - -,h7f5
2r2rk1/p4pp1/1p2p3/3nR1q1/3P1n1p/PP3B1P/1B3PPK/2R2Q2 b - -,g5d8
6k1/2q2p1p/1p1r2p1/pP1p4/P1pN4/2P1bB1P/2Q2nP1/3RR1K1 b - -,f2g4
8/5pk1/4prp1/1R5p/p1P4P/8/P1K5/8 w - -,c4c5
4b3/6k1/3Rpn2/p5p1/1p4P1/4KB2/P6P/8 b - -,e6e5
4nk2/5pp1/1r1p3p/pP2p3/P3P3/1B3P2/1R4PP/2rR3K b - -,c1c3
8/8/1k1r4/2n4R/2B5/4K3/P7/8 b - -,d6d7
1n1qr1k1/2p2pp1/4bn1p/1p1pp3/4P2N/1BPP1Q1P/1P1N1PP1/3R2K1 b - -,c7c6
8/1p6/p2p4/3k4/1PP1pp1P/8/3K4/8 b - -,d5e5
1r3rk1/RP1qbppp/1p1pp3/1p6/3P4/2P1P2P/1P2QPPB/5RK1 w - -,e2f3
r2r2k1/1p2n1b1/3pP1pp/PBB1pp2/7q/Q1N5/5PPP/3R1RK1 b - -,d6c5
5rk1/1ppQ4/p2p2pq/3P1nn1/8/2PP1p1P/PP3R1K/4R2B b - -,h6h3
6R1/8/8/5p1k/6p1/r7/5K1P/8 b - -,f5f4
4r3/p5bk/PpQ3pp/1Np5/R4P2/2P1q3/1P1r3P/5R1K w - -,f4f5
3r2k1/2q2pp1/p3p2p/1p2p3/1b2P3/P4P1P/1PPR1QP1/7K w - -,a3b4
8/2r1k3/3rbp2/R3p1p1/2B1P3/1P4R1/6PK/8 w - -,c4d5
r4rk1/5ppp/p2q4/1p6/3p4/1P2P3/R4PPP/3Q1RK1 w - -,d1d4
2r1b3/ppr1kppp/4p3/3nN3/3P4/P2BP3/3K1PPP/R1R5 b - -,f7f6
1r4k1/5p1p/p3pqp1/8/PPR4P/1Q2PP2/5PK1/8 w - -,b4b5
8/3bkp2/2p3p1/1p2K1P1/1P1PBP2/8/8/8 b - f3,d7e8
1k4rr/pp3p2/4p3/nB6/P2P2n1/5R2/1P1N1P1P/2R4K w - -,d2f1
8/8/1p1pb3/p1k1p1p1/2P1P3/2P1KP1r/BR5P/8 w - -,b2b5
r1b1r1k1/2p2ppp/1b1p4/p1p4n/3NP3/2PBB1PP/PP1K1P2/R6R w - -,d4c2
rq4k1/p4p1p/1nb3p1/2N1b3/8/3BBP2/PP2QP2/3R3K w - -,d3e4
r3r1k1/2q2pp1/p6p/1b1p1B1P/1p1N1bQ1/5P2/PPP4P/1K1R2R1 b - -,f4g5
8/4kpp1/4pb1p/8/6P1/3KPN1P/5P2/8 b - -,g7g6
1k4rr/ppq2p2/2p1p3/2P1P2p/5n2/1Q2NB1b/PP3PPP/2R2RK1 b - -,g8g2
6k1/8/4Q3/5P2/4p2P/3q4/6PK/8 b - -,g8h7
rn3rk1/1b2b2p/pq4pQ/1p1Pp3/2p1Pp2/2N5/PPB2PPP/R1B2RK1 w - -,g2g3
r1br1nk1/pp2q1p1/2pp1n1p/5p1P/2PPp3/BPN1P3/P2QBPP1/R3K2R b KQ -,e7c7
8/2k5/p6p/Ppp3p1/2pbB3/5PP1/r7/3R1K2 w - -,f3f4
r3rb1k/1bqn1p1p/pp5p/3P1Q2/1PP1p3/8/P2B2PP/1B2RR1K w - -,e1e4
rn1qk2r/1pp1ppbp/p2p1np1/3P4/4P1b1/2NBBN2/PPPQ1PPP/R3K2R w KQkq -,e3h6
3k2r1/1R1bqp2/2np1n2/4p3/P1B1P1pp/7P/1P3PPN/2RQ2K1 w - -,h3g4
r3k2r/1pq1bpp1/p1n1pnp1/3P4/N7/1Q2PPP1/PP1BB2P/R4RK1 b kq -,f6d5
2r1q1k1/n1p1ppb1/1p1rP1pp/p2P4/Pn3N1P/1Q2BN2/1P3PP1/2RR2K1 w - -,e3d4
rn1qkbnr/pb1ppppp/1p6/8/3NP3/3B4/PPP2PPP/RNBQK2R b KQkq -,g7g6:e7e6
8/1p6/3k4/3r1b1p/1p6/P1P1RPP1/4K2P/8 w - -,c3b4
3r2k1/1pp2pp1/1p5p/1P2P3/P2r1Pn1/5R2/2B3P1/3R1N1K w - -,d1d4
5nk1/1p3bp1/2P2p1p/r2PpP2/8/6PP/6BK/1RB5 b - -,b7c6
r1rq2k1/1p1nppbp/2npb1p1/8/p1P1P3/N1N1BP2/PP3QPP/2R1RBK1 b - -,d8f8
2rq2k1/1p3pbp/p2pr1p1/7n/2P5/1P2BP2/P2QB1PP/4RRK1 b - -,d8f6
6R1/7p/7k/5P2/6KP/r7/8/8 b - -,a3a4
8/8/1B5R/8/4p3/3k1b1p/5Pr1/7K w - -,h6d6
r3k2r/pp1nbpp1/1qp1b3/3pp2p/6P1/3PP2P/PPP1NPB1/RNQ1K2R w KQkq h6,g4h5
5rk1/p5b1/1p2p1Qp/4P3/5P1q/8/PP2N1P1/5RK1 b - -,h4e7
6k1/8/6P1/5K2/8/8/8/8 w - -,f5e6:f5f6:f5g5
r3k2r/pbpq1pb1/1p2pn1p/6p1/3P2P1/2PBN3/PPQ1NPP1/2KR3R b kq -,e8c8
R7/1p3pk1/1P1brq1p/p2p4/3P2pn/3NP3/3N1PPP/1Q4K1 w - -,a8a5
1k1r3r/1pp2pp1/p1p1qn1p/2b1p3/2N1P3/3P4/PPP1QPPP/R1B2RK1 w - -,c1e3
8/5pk1/6p1/1p6/8/2n2QK1/3q4/7R w - -,h1f1
3rk2r/2q2p1p/2nb1p2/2p1p3/1p2P3/2P1NN2/1P2QPPP/R3R1K1 b k -,c6e7
r1bqr1k1/3n1pbp/p2p1np1/PppP4/4P3/2N5/1P1NBPPP/R1BQ1RK1 w - b6,a5b6
1r1rbbk1/1p1nn2p/pq1ppp2/8/2P1PPN1/1PN4R/P2BQ1BP/2R4K w - -,e4e5
8/P2k3p/5p2/5P2/r2B4/3K2bP/6P1/8 w - -,d4f6
1r1q1bk1/R4pp1/1p1Prnn1/1Pp1p1B1/2N1P3/5PP1/3QB3/R5K1 w - -,e2f1
rnbqk2r/1p3ppp/4pn2/p1P5/1BPp4/5NP1/PPQ1PP1P/RN2KB1R b KQkq -,a5b4
r5k1/1b2qp1p/2rn1bp1/p3p3/Pp2P3/1N1BBP1P/1P2Q1P1/3RR1K1 w - -,d1c1
q1r3k1/1bB2pbp/4pnp1/1QR1N3/8/7P/rP3PP1/4RBK1 w - -,e5c4
rnbqk2r/pp2bppp/4p3/3pPn2/3P4/2PB1N2/5PPP/RNBQK2R b KQkq -,b8c6
2R3k1/p4pp1/3Q4/4p2p/4P3/3b1P1P/6PK/2q5 b - -,c1c8
r1b1kb1r/pp2pppp/2n2n2/3q4/3Q4/2P2N2/PP3PPP/RNB1KB1R w KQkq -,d4d5
rnb2rk1/p3qppp/2p2n2/8/1bB1pP2/2N5/PBPP2PP/R3KQNR b KQ -,b4a3
r5k1/1p1b2p1/4pr1p/p1qpQ3/P7/2P1R3/1PB2PPP/3R2K1 b - -,a8f8
r3r1k1/1bp1qpp1/3p3p/2pPP3/5P2/1P4PP/3Q2B1/R3R1K1 w - -,a1d1
r2r2k1/pp2bppp/5n2/2pp3q/6b1/1PPBP3/PB1NQPPP/R4RK1 w - -,f2f3
1r6/1p1nrpk1/p1pbp1p1/2N4p/1P1P1P1P/2P2KP1/1PB1R3/3R4 w - -,d1g1
2r4k/4qp1P/p3p3/1p2n1p1/4N3/1Q1p4/PP3PP1/1K5R w - -,g2g3
r5k1/1p4pp/p3p3/1b1pN3/1n3P2/1B6/P2r2PP/R4RK1 w - -,f1d1
1q3rk1/pr2pp2/3p2pp/1npP4/2N1P3/PPQ3P1/5P1P/RR4K1 w - -,c3d3
8/2p5/1p5p/pKb2BkP/P5P1/8/8/8 w - -,b5c6
1r3rk1/pn3ppp/4pn2/1P6/P1p5/R1N1B1P1/1P3P1P/5RK1 w - -,e3a7
8/3kp2p/pp4p1/3PP3/3K4/8/P5PP/8 w - -,g2g4
8/8/p3r3/1k3n2/2R5/1P3P2/P3K3/8 w - -,e2d2
r3r1k1/4ppnp/3p2pQ/2pP4/P7/2Nb1PPP/1q3PB1/2R1R1K1 w - -,g3g4
rnb1r1k1/p5bp/1p4p1/2pPppB1/4P3/5P2/PP1NB1PP/R3K2R w KQ c6,d5c6
1bN5/3Q3k/q5p1/8/3p4/6P1/6K1/8 b - -,h7h6
1rr5/1p2bkpp/2n1bp2/1N1Bp3/p1P5/P3B1P1/4PP1P/1R1R2K1 w - -,e3b6
2r3k1/r2q2p1/1Rn1b2p/p1Pp1p2/4p3/Q2P2P1/3N1PBP/1R4K1 w - -,d3e4
r1q2rk1/1p1bppbp/2np1np1/p7/2P5/1PN3P1/PBN1PPBP/R2Q1RK1 w - -,e2e4
r4rk1/1p2q1b1/p1npP1pp/2nN1p2/PR3B2/6P1/2Q1PPBP/5RK1 b - -,e7e6
r2qkb1r/1p1b1pp1/p2p1n2/4p2p/4PP2/1PN1BB2/1PP3PP/R2QK2R w KQkq -,d1d2
1r2nrk1/2qbbn1p/p2p1pp1/1ppPp3/4P1P1/1PP2NNP/P1B2P1K/R1BQ2R1 w - -,c1e3
rN6/5ppp/3kp3/p2p4/8/1P2P2P/P1R1KPP1/8 b - -,a8b8
8/4q3/K7/1Rp5/2P5/1Pk5/8/8 b - -,e7c7
2r1r1k1/pp5p/1n3pp1/1PqpP3/5P2/2PQ2PP/8/R1R2BK1 w - -,d3d4
5N2/4kn2/3p4/3Kp3/1N1n4/3P4/8/8 w - -,f8g6
8/pppN1r2/7p/4R1p1/8/1KP3k1/PP6/8 w - -,e5d5
3r1rk1/pp1qppb1/6pp/2pPB3/n1P5/Q3PN1P/P4PP1/2R2RK1 b - -,a7a6
r2q1rk1/pp1n1ppp/2pb2b1/3p4/2PP2P1/2PB1N1P/P4P2/R1BQR1K1 w - -,c1g5
r2q3k/1p1nbrpp/2p1Qnb1/p5B1/1P3P2/P1NP2N1/2P3PP/4RRK1 b - f3,e7f8
