4k3/R7/1p6/2p5/2P1q3/1P6/P4P2/6K1 b - -,e8d8
3b3k/p5rp/3P1n2/q4p2/3B4/p3PP2/Q4KPP/1R6 b - -,g7d7
2r5/ppnb1pk1/3p2p1/3Pp1q1/1P2P3/P1NQ1P2/3R2Pr/3NK1R1 b - -,c7e8
8/R7/3k2KP/p7/B4n2/8/8/2b5 w - -,g6f7
5nk1/pb2q1p1/1p1bpr1p/3p3Q/3P4/1P2PN2/P2N1P1P/5BRK b - -,b7c6
r2q1rk1/4bppp/pP1pbn2/4p3/2n1P3/1NN3PP/1PP2PB1/R1BQR1K1 b - -,d8b6
r7/2pQ4/2n3pp/1q1p1pk1/p2P4/2PN4/2P3PP/4R2K w - -,d3e5
4rbk1/1p3r1p/3pb1p1/p1qNpp2/2P1P3/1P3P2/P2QB1PP/3R1R1K b - -,f5f4
5rk1/1p1b1p1p/3N1qp1/2Pp4/1P3P2/8/5QPP/b1B1R1K1 w - -,e1d1
r3k1nr/1p3ppp/p2bp3/1p1P4/4P3/2N5/PP3PPP/R1B1K2R w KQkq -,d5e6
2n4r/5kb1/1p4pr/2pPp3/2P1Pp1P/5P2/3NKB2/R6R w - -,a1a8
r1b2r2/1ppn1q1k/p2p2pn/P2Ppp1p/NPP1P2P/R5N1/3QBPP1/4K2R w K -,e4f5
1b1q1rk1/5pp1/2R4p/3PrQ2/1p4P1/1P5P/P5B1/5R1K w - -,f5f2
r1bq1rk1/pp2ppbp/2p2np1/3Pp3/2P1P3/1QNB4/PP1B1PPP/R4RK1 b - -,f6d7
8/pp4pp/2bkp3/4P3/3K4/P7/BP4PP/8 b - -,d6e7
8/8/5p2/3p3p/3k2r1/6PK/4R3/8 b - -,f6f5
2R5/1p2kp2/1p5p/8/8/5b2/5K1P/3r1B2 b - -,f3d5
6k1/3r1p2/2R3pp/8/8/6P1/5P1P/6K1 w - -,g1g2
2r1r1k1/3bbppp/5n2/1qp1P3/N2p4/P4PP1/6BP/2RQBRK1 b - -,f6d5
r3r1k1/2p1qpp1/1p1p1n1p/P2Pp2n/2P1P3/1N3NPb/2Q1BP1P/R2R2K1 b - -,b6a5
r1b2rk1/ppq2ppp/3bp3/2p3B1/3Pn3/2P2N2/PP3PPP/R2QR1K1 w - -,e1e4
r2qkb1r/pb1pnppp/1p2p3/8/3pPP2/3P2PB/PPP1Q2P/RNB1K2R w KQkq -,e1g1
8/p5b1/1r1kp2p/2p2Pp1/P3R1P1/4P3/2K1N1P1/8 b - -,b6b2
r2q3k/3nbppp/3p4/1prP4/5B2/1B3Q2/PP2R1PP/1K5R w - -,h1e1
2br1rk1/2q3p1/2ppp2p/2n5/ppPQNP1P/1P2R1P1/P2RP1B1/7K b - -,c5e4
3r3k/3q4/p4p2/4p1pP/8/PQ1r4/1P2R3/K1R5 w - -,b3b6
r2qr1k1/1pp1b1pp/p1p2p2/2n1p2b/P3P3/1P1PNN1P/1BP2PP1/R2Q1RK1 b - -,c5e6
r5r1/1pp1qkbR/3n2p1/p1pPp1P1/P1P1Pp2/2NQ1N2/1P3P2/2K4R b - -,g8h8
5R2/p1q4k/1pP2pp1/4p2p/2P1P3/1P2BB1P/6P1/6K1 b - -,c7c6
4nbk1/3b2r1/BB1p1q2/3Pp2p/4Ppp1/5P2/P5PP/2RQ1RK1 b - -,g4f3
8/1p4pp/2b1k3/2P1p3/n5P1/1N2K2P/2P5/5B2 w - -,f1d3
b7/2r3bk/p5qp/P4p2/1QNp4/B2R1P2/2P3PP/6K1 b - -,g6e6
4q3/1k4p1/1p2p2p/p2pPn2/P1b2QR1/5P2/5BPK/8 b - -,e8a4
6r1/8/5k2/R7/4PP2/5K2/8/8 b - -,g8b8
1r4k1/pp1q3p/3P4/b1p2p2/5Q2/1PP3P1/1B2B1P1/6K1 b - -,d7g7
7r/3r1pk1/p1pB2p1/Pp2P1p1/6b1/2P2R1P/1P5K/R7 w - -,f3e3
1qr1r1k1/1b1n1pbp/6p1/1p1N4/2p1P3/4BP2/1PQ1B1PP/3RR1K1 b - -,b7d5
2r2rk1/1b1nqpbp/pp2pnp1/2ppN3/P2P1B2/4PB1P/1PPQNPP1/R3R1K1 b - -,f8d8
r1r3k1/1P2ppbp/n2p2p1/3Pn3/q3PN1P/2p1B3/1P1QBK2/6RR w - -,b2c3
2r2rk1/1bqpbppp/pp2pn2/8/Pn2PP2/1NN1B1P1/1PP3BP/2RQ1RK1 w - -,d1e2
rn2kbnr/pp3ppp/2p1p3/q4b2/2BP4/2N5/PPPBQPPP/R3K1NR b KQkq -,f8b4
8/R5pk/7p/6r1/3r2R1/P6P/8/6K1 b - -,g5g4
r1bq1rk1/pp3ppp/2nb4/2pnp3/8/1P1P1NP1/P3PPBP/RNBQ1RK1 w - -,c1b2
3r2k1/5p2/2b3p1/p3p2p/1qp1p3/1P1rP3/P3QPPP/1RR2NK1 w - -,b3c4
rnbqkb1r/pp2pppp/2p2n2/8/2BP4/4P3/PP3PPP/RNBQK1NR w KQkq -,g1f3
rn2k2r/1p2qppp/2p1p3/p1n1P3/2P1N1b1/4QN2/PP2BPPP/R4RK1 b kq -,c5e4
1r3rk1/2qn1pbp/2n1p1p1/1p2P3/1N3P2/4B1PP/2P2QB1/1R3RK1 b - -,c6b4
2r1r1kb/7p/2q3p1/p1Pb1p2/Np1pnB1P/1P4P1/P1Q2PB1/2R1R1K1 b - -,d5f7
8/4N3/6k1/6p1/4K1P1/5P2/6n1/8 b - -,g6f6
2r1kb1r/5ppp/p1qpbn2/4p3/2N1P3/1P1QNP2/P5PP/R1B1K2R b KQk -,d6d5
5r2/p1r3k1/8/2P2pp1/3p2b1/3P2N1/P4PK1/1R3R2 b - -,f8h8
r4r1k/p2n1pp1/1pq1p2p/8/3pN1PP/8/PPP1QP2/2KR3R w - -,d1d4
r3q2r/2pb1pk1/1p1p1n2/p2Pp2p/P1P1P1P1/1P3P1P/2Q1N2K/R3RB2 w - -,g4g5
r4rk1/4b1p1/pp2Rn1p/8/3P4/3B4/PP3PKP/R1B5 b - -,e7d8
r1bq1rk1/1pp1nppp/3p1n2/p1b5/3pP3/1P3N2/PBPNBPPP/R2Q1RK1 w - -,f3d4
r2qr1k1/1pp2pb1/p2p2p1/PP1P1b1p/3np2P/4P3/1BQNBPP1/R3K2R w KQ -,b2d4
6r1/8/R2R4/5k2/6n1/3P2K1/5r2/8 b - -,f2d2:f2f1
2kr1q1r/pppb2p1/2nppb1p/8/3P4/2PB1NN1/PPQ2PPP/2KRR3 w - -,c1b1
r1q1rbk1/pb1n1ppp/1p6/1Ppnp3/2P1P3/P4N2/1BQ1BPPP/R2R2K1 w - -,c4d5
r2q1rk1/1p3pp1/p2b3p/3Pp3/P3N1n1/3QB3/1P3PPP/R2R2K1 b - -,f7f5
4k3/8/8/4Bnp1/P7/2Kp4/1p5P/8 w - -,c3b2
3q1rk1/p4ppp/1r1b1n2/3pn3/8/2N1PNPb/PP2BP1P/R1BQ1RK1 w - -,f1e1
r1bq1rk1/pp1n1pp1/2p2b1p/3p4/1P1P4/2NBPN2/P4PPP/2RQK2R b K b3,a7a6
3k4/R3b1pp/8/8/1p1P2P1/nP1K1P2/n2B3P/8 b - g3,h7h6
2r2rk1/pp2ppbp/nq1p1np1/3P4/2P5/P5P1/1P2NPBP/1RBQ1RK1 w - -,c1e3
r1bqkb1r/1p3ppp/p1np4/4pN2/4P3/1P6/PBP2PPP/RN1Q1RK1 b kq -,c8f5
r1bqr1k1/pp3pbp/3p1np1/2pPn1B1/4P3/2NB3P/PP2NPP1/R2Q1RK1 w - -,d3c2
4r1k1/p4pp1/q4B1p/2bp1b2/2pR4/5QNP/PPP2PP1/6K1 w - -,d4d5
8/1r2k2p/R5p1/2Pp1p2/3K1P2/4P3/5P2/8 b - -,b7b2
2r5/1q3pkp/p1np1np1/P2p2P1/BP1Q1P2/7P/8/2R3K1 w - -,g5f6
r2r2k1/p2qpp1p/1p2b1p1/3N4/1RPb4/3P2P1/P3PP1P/1Q3RKB w - -,b4b3
r4rk1/5ppp/1q2pn2/pP6/R1pP4/6P1/2Q1PPKP/2B2R2 b - -,b6d4
8/p7/1pn1kb2/2p3p1/P3K3/1P5P/3R4/8 w - -,d2d3
8/5r1k/1p4p1/p3Q3/7N/P4pPb/1P1R1K1P/1q6 w - -,e5e1
2kr3r/pp6/3p2p1/4n3/3pPR2/8/PPP3PP/R1B4K b - -,d8d7
r4rk1/2q1bppp/p2p4/1pnPp2n/4P1b1/5N2/PP1NQPPP/RBBR2K1 w - -,h2h3
8/6p1/5p2/7p/3K4/k7/6PP/8 b - -,a3b3
r1r1n1k1/3n1pb1/q2p2p1/p2Pp1Pp/1pN1P2P/1P1N1P2/PQ3B2/2R2RK1 b - -,e8c7
8/4k3/B1K2p2/2P4p/5P1P/1n6/3B4/5b2 b - -,f1a6
5qk1/6r1/1bp4p/1p1pPb2/3Pnp1p/3Q4/1PB1RPPK/R4N2 w - -,d3a3
6k1/2p2pbp/1p1r1np1/p3p3/P3P3/1NP1BP2/1P3KPP/5R2 b - -,f6e8
r4r2/1bBp3k/n4ppn/pp1P4/4R1P1/P1N2N2/1P3P1P/3R2K1 w - -,c7a5
r4rk1/pp1b2pp/1q1P4/2N1pn2/8/4P2P/PP2B1P1/2RQR1K1 b - -,d7c6
6k1/5p1p/bp2p1p1/p2p1P2/P2P2P1/6K1/4r2P/1B6 b - -,e2b2
r1b1qrk1/pp4pp/2p1pb2/3pNp2/2PP1PP1/2PBP2P/P1Q1K3/1R3R2 w - -,f1f3
3rbrk1/pp2bppp/8/q2BB3/P7/1Q4P1/1P3P1P/R2R2K1 b - -,e8c6
6k1/pN6/1r6/6P1/3b1P1R/4p3/P3K3/8 b - -,b6b7
2r1r1k1/ppb2ppp/2bq4/2pp4/4n3/1PP1PN1P/PBQ1BPP1/R2R2K1 w - -,e2d3
3r1rk1/pp3ppp/2n3q1/3p4/8/2P1PPN1/PP5P/R2QR1K1 w - -,e1e2
6k1/7p/2r1p1pb/2ppB3/P7/1PR3P1/5PKP/2N5 w - -,b3b4
r2q2k1/p2n1pp1/1pp1b2p/2PpP3/3P4/2PB3P/P1QB2P1/4R1K1 w - -,c5b6
1r1r2k1/p4ppp/2p1p3/q1NpP3/3Q1P2/PPR4P/4b1P1/2R3K1 w - -,b3b4
3r1r2/pp1q1p2/2pn1k1p/5NbP/3P2Q1/2N5/PP3PP1/R3R1K1 w - -,f5e3
5r2/6k1/r2p1p2/1N1P4/PqN2PQ1/1P3PPp/7K/2R5 b - -,g7f7
8/5K1p/8/2k1P3/2r5/7P/P1p5/2R5 b - -,c5d4
2r2k2/5ppp/5b2/p3pP2/P7/2rP1P2/7P/2N1RRK1 b - -,f6g5
2n5/p7/2P1k2p/2B4p/2P5/1K3P2/6PP/8 b - -,e6e5
3Q1bk1/5p2/6p1/6r1/8/6r1/7K/8 b - -,g3g4
r2q1rk1/1p1nbppp/2p1p3/p7/2PPQ3/1P3N2/P4PPP/R1B2RK1 w - a6,c1b2
1r6/1Bq2pk1/4r1p1/7p/1Q6/4N1PP/5P2/1R4K1 b - -,e6e7
1nbrrbk1/5pp1/1q3P1p/pp1pP2Q/8/3N4/PPP3BP/R1B2R1K b - -,g7g6
r2r4/4k3/1p2pp1p/1Pnb4/1K3P2/6P1/2BN3P/R2R4 b - -,d8c8
r1bq1rk1/pp1nppbp/2pp1np1/8/2PPP3/2N1BP2/PP1Q2PP/R3KBNR w KQ -,g1e2
5r1q/2k2pP1/1ppr1P2/p4Q2/8/8/1P5P/1B3R1K b - -,h8h6
4k3/rB3p2/P1K1p1p1/7p/8/5PP1/7P/3R2b1 b - -,g1e3
r2q1rk1/3nppbp/b2p1np1/1BpP4/P3PP2/2N2N2/1P1B2PP/R2Q1RK1 b - -,a6b5
1n1q1r2/r5bk/pp1p2pp/2pP1b2/P7/2N1B3/1P1QBPPP/4RRK1 w - -,g2g4
4r3/6k1/1p1p2pp/3Prp2/PpBq4/1P2bQP1/2P1R1K1/4R3 b - -,e8e7
8/5R2/1p1k4/pKn2B2/5P1r/8/P7/8 w - -,f7f6
5rk1/pp1nq1pp/n1p2p2/5Q2/P3P3/1PB3P1/5PBP/3R2K1 b - -,d7c5
8/8/5k2/3p1Pnp/1B1K3N/P7/8/8 w - -,d4d5
2rq1r2/1p1np1kp/p2p2p1/5b2/2P2P2/1PN2B2/P2Q2PP/R4RK1 b - -,d8b6
rn1qk2r/p2pPppp/bp6/8/5p2/P1N1P3/1P1Q1PPP/R3KB1R b KQkq -,d8e7
5rk1/4ppbp/2B1b1p1/8/1Q6/p6P/q4PP1/2R2RK1 w - -,c1c5
r1k4r/pppb2bp/2n2ppn/1BP1p3/4P3/2N1BN2/PP3PPP/3RK2R b K -,d7e6
2r2rk1/p1n1n1Bp/1p1p4/2p2p2/2P1pP1N/1P1PN1P1/P6P/R4RK1 b - -,g8g7
3r1rk1/6b1/bp4pp/5p2/PpP1p3/1P5P/1q2QPP1/1BRRN1K1 w - -,e2e3
2rr2k1/pq3p1p/1p3np1/2bp4/3N3Q/1P2P3/PB3PPP/2RR2K1 b - -,f6e4
1r3rk1/2q3b1/3p2pp/p2Ppb2/2BnN3/3QBP2/P5PP/1RR4K b - -,g8h7
2rrbnk1/pp4p1/3bpq1p/n2p4/3P4/P1N1BNP1/1P2BP1P/2RQR1K1 w - -,f3d2
r4rk1/2p2p1p/4p1p1/p1n5/3R4/NPn4P/1NP2PP1/4RK2 b - -,a5a4
5Bk1/RN3ppp/8/6q1/4P3/Q6b/5PP1/6K1 w - -,a3h3
2r5/3qRpkp/1p4p1/p1p5/2P5/6PP/PP3P2/6K1 w - -,e7d7
1r1qr1k1/1b1nppbp/pp1p2p1/4n3/2PNP3/1PN1BPQ1/P5PP/2RR1BK1 b - -,g8h8
r2q1rk1/1bpnbppp/pp3n2/3p4/1P1P1N2/P1N1P3/1B2BPPP/R2Q1RK1 b - -,e7d6
B3r3/p7/3n1k2/5p2/7K/1P1n1N2/P7/5R2 w - -,f1d1
r3rbk1/2pq1pp1/p1n1bn1p/1p2p3/3pP3/1BPP1NNP/PP2QPP1/R1B1R1K1 w - -,b3e6
2r2rk1/3nbppp/pqn1p3/1p6/1P6/PQ3NP1/1BR1PPBP/5RK1 b - -,e7f6
rnb1kb1r/2qp1ppp/p3pn2/1p6/3NPP2/2NB4/PPP3PP/R1BQK2R w KQkq b6,a2a3:e4e5:a2a4
r2qnrk1/5pb1/p2pb2B/4p3/1p2P1Pp/2N5/PPPQB3/1K3R1R w - -,c3d5
r4rk1/5ppp/1p2b3/p6Q/PqPp4/3B4/1P3PPP/2R1R1K1 b - -,g7g6
8/7p/1r1k4/3p4/4bK2/Q7/6P1/8 b - -,d6c6
3r1b2/pq3pk1/4p1p1/2PrPnPp/1p1PN2P/1P3N2/P2RQPK1/3R4 w - -,g2h2
8/5p1k/N5p1/6qp/1P2Pr2/2P1Q2P/5nP1/R5K1 w - -,a1f1
1R6/4b3/1Pr2k1p/2pBp1p1/4Pp2/5P2/3n1BPP/4K3 b - -,e7d6
rn1q1rk1/pbp2ppp/1p3n2/3p4/1b1P4/2NBPP2/PPQB2PP/R3K1NR b KQ -,f8e8
8/8/5k2/2K5/1PB4P/8/4b3/8 b - -,e2g4
r6k/1p3Q1p/6p1/p7/2P1p3/6Pb/3qNR2/6K1 b - -,e4e3
8/Bq3k1p/1p1b2p1/1Q1p1p1P/2nP4/5P2/2R5/7K w - -,h5g6
8/1KP2p1p/6p1/8/7P/3R2P1/1r4k1/8 w - -,b7c6
5k2/8/2B2Bp1/3PP2p/4K3/6rP/8/8 b - -,g3h3
rn1qk2r/ppp2pb1/4b2p/3p2p1/3N1p1P/3B4/PPP3P1/RNBQR1K1 b kq -,g7d4
r3rbk1/pp1b1qpp/2p1p3/4Bp1Q/2PP4/4R1P1/PP3PBP/R5K1 w - -,h5e2
3r2k1/pb3qpp/1p1r4/1P1p4/1N1bp3/PQ2P1PB/5P1P/2R1R1K1 b - -,d4c5
4r1k1/1ppqr1pp/p2p1p2/3Pb1B1/P7/1PPQ3P/5PP1/R3RK2 w - -,g5d2
r2q1rk1/pbpnbpp1/1p2pn1p/3p4/2PP1B2/2N1PN2/PPQ2PPP/3RKB1R w K -,a2a3
4r3/1p2b1pQ/1B2kp2/4Pp2/p1p2P2/8/6RK/4q3 w - -,h7h5
3qr1k1/R6p/3P2p1/2p5/3rp3/3B2P1/3Q1P1P/6K1 b - -,e4d3
2R2bk1/6pp/2p5/2p5/2Nn2K1/BP6/2P1r1PP/8 b - -,e2g2
8/5R2/4k3/p1p5/3nB2N/r2P2P1/7P/7K w - -,f7a7
r7/4B3/7R/3Bn3/3p1k2/8/6P1/4K3 b - -,a8e8
3qk2r/3nbpp1/p2p1n2/1p2pPB1/2r1P3/1NN5/PPPQ3P/1K3RR1 b k -,b5b4
2bq1r1k/1r5p/p2p2p1/P1pPppb1/1pP1P3/1P1Q1PP1/R4N1P/4RBK1 b - -,b7f7
2R5/p1Rrkp2/4p1p1/rp5p/P3P2P/1K1P2P1/5P2/8 w - -,a4b5
2Rr2k1/1b2qppp/pp2pn2/8/1b1Pp3/1P2P1P1/PB2BPNP/3Q1R1K b - -,d8c8
5k2/7R/2pK1P1P/2Pb4/1p6/P7/8/8 b - -,b4a3
8/8/2nBpk2/1RP4p/2r5/4Kp1P/8/8 w - -,b5b2
8/1p3ppk/1p4b1/2b4p/P2r3P/1B3PP1/4Q3/6K1 w - -,g1h1
rn1qkb1r/pbp2ppp/1p1ppn2/3P4/2P5/P1N5/1P2PPPP/R1BQKBNR w KQkq -,e2e4
r7/r2nq1k1/1p1p1npb/3Pp2p/1P2P3/5PPN/2R1QBB1/1R4K1 w - -,g2f1
2rqrbk1/pp1n1ppb/2p1pn1p/2Pp4/1P1P1P1N/2N1P3/PB2B1PP/R2Q1RK1 b - -,b7b6
3qr2k/p5p1/2pr3p/8/1PQp1R2/P2R2P1/7P/6K1 b - -,d8e7
1Qb1q1k1/5pp1/5n1p/2NPp3/2p1P3/R6P/5PPK/3r4 b - -,g8h7
8/r6p/1p3Bp1/2nk4/5P2/P1R2K2/4P2P/8 b - -,a7f7
r2r2k1/1bqn1ppp/p3pb2/1p6/2pPNP2/2P3P1/PP1BQ1BP/R4RK1 b - -,a8b8
8/rp4kp/2p5/p1P1Np2/5p2/1B3P2/PP4PP/2K5 b - -,a5a4
2r3k1/1p2q2p/3p2p1/3P1p2/1QPRp2P/6P1/PP3P2/6K1 b - -,e4e3
1r6/6kp/npp1b1p1/p3qp2/P1P1p3/P3N1P1/3QPPBP/1R4K1 w - -,e3c2
4r3/1p2rn2/pNp2kp1/3p1pp1/P2P2P1/1P2PP1P/5K2/2R1R3 w - -,b3b4
1k1r4/pppq4/1n3p1r/2R3p1/1P1p4/P2P2P1/2Q1PR1P/5NK1 w - -,c5f5
r1bq1rk1/pp2bppp/3p2n1/2pPp3/2P1Pn2/P1NB1N1P/1P3PP1/R1BQR1K1 w - -,d3f1
5k2/pp2qbpp/2p5/2p2n2/1P3P2/P1Q3PP/2N2KB1/8 w - -,b4c5
r1b1rn2/pp1n1p1k/2p3pp/2Pp1Pq1/3P2P1/1PN3NP/P4QB1/3R1RK1 b - -,g5e3
r1b3rk/pp6/3B1p1p/q2p2pB/2pP4/2n1PP2/P1Q3PP/2R2RK1 w - -,c2c3
5b1r/Bk3p2/4pP2/1q1r4/Npp5/6P1/1P3PBP/R4RK1 w - -,a7e3
r1r5/3nkpp1/3b1n1p/1p2pP2/2p3P1/1P2BN1P/1KP1BP2/3R3R b - -,c4c3
1r4k1/pp1q3p/3P1r2/b1p2p2/5Q2/BPP3R1/4B1PP/6K1 b - -,f6g6
r2qk2r/p2nbpp1/2n1p2p/1p1pP3/2pP4/2P2NN1/PPQB1PPP/R3R1K1 b kq -,g7g6
r1bqk2r/pp1nbppp/3p1n2/P1pPp3/4PP2/2N2NP1/2PB3P/R2QKB1R b KQkq -,e8g8
rnbq1rk1/pp1nppbp/2pp2p1/2P1P3/3P1P2/2N1BN2/PP4PP/R2QKB1R w KQ -,f1d3:d1d2
r3r1k1/1q3ppp/p2R4/2p1p1N1/4b3/P6P/1P2QPP1/R5K1 b - -,e4g6
r1b2rk1/p1p1qppp/1p2pn2/8/1n1PP3/2NB4/PP2NPPP/R2Q1RK1 w - -,d3b1
r1bqk2r/pp2ppbp/2n2np1/3p4/3P1B2/2PB1N2/PP1N1PPP/R2QK2R b KQkq -,e8g8:c8g4
2kr4/7p/2p5/5q2/1Q3p2/1PP4P/P2p1PP1/3R1K2 w - -,b4c4
8/1p6/p3k3/P2rp1p1/1PN4p/5P1P/2K1R1Pb/8 w - -,e2e4
4R3/3r3p/1P6/K7/P2r3P/R2kp3/8/8 b - -,d3c4
r4rk1/2p2pp1/1p1p2np/nP2p3/R1P5/2P2NP1/1B3P1P/R6K b - -,a8e8
r3k3/1bqnbp1r/pp1pp1p1/7n/2P1PP1p/2NBB2P/PP1N1QP1/3R1RK1 b q -,h5g3
8/p3p3/3n1kpp/2r1p3/3N4/N3K3/PR3PPP/8 b - -,c5c3
6k1/pp2qbp1/4p2p/3pN3/3P4/P4P2/1P4PP/2Q4K w - -,c1c8
r1b4r/1p1k1ppp/p1nNp3/7n/1BB5/2P5/P4PPP/R3R1K1 w - -,b4a3
5rk1/p2b1rp1/3p2q1/2ppp2p/8/1P1P1P1P/P1PBQ1PN/4bR1K w - -,f1e1
1kr4r/1pq1bpp1/p2pbn1p/4p3/4PPP1/2N4P/PPPQ2B1/1K1RN2R b - -,e5f4
8/r4pk1/p3p1p1/R1Np1n1p/2nP1P2/2N2P2/2R2KPP/8 b - -,c4a5
r2r2k1/pp2bppp/2n1bn2/2pqp1N1/8/2PPB2P/PP1NBPP1/R2Q1RK1 b - -,e6f5
5R2/2k2ppp/1pB2b2/2pP4/8/7P/1r3PP1/6K1 b - -,c5c4
2r1kb1r/1pq1pp1p/5np1/1p1p4/PP1P4/5N2/1PbNQPPP/R1B1R1K1 b k -,b5a4
8/8/3k4/p5R1/2P5/P2K3r/7P/8 w - -,d3d4
1br1q1k1/5pp1/p1r2n2/PpB2P2/1P2p2p/4N1P1/2R1P1KP/2RQ4 w - -,c5d4
r1bq2rk/5p1p/p4n2/1p1p1p2/5N1P/P1P3R1/1PBQ2P1/4R1K1 w - -,g3g8
8/2R1Nbk1/5p2/4p2p/4P2P/3r1P2/6PK/8 w - -,e7f5
6k1/1b3pp1/1p2p2p/p1n5/3N4/P3PP1P/1PB2KP1/8 b - -,e6e5
6k1/5pp1/p3p2p/1p2P3/2p2PP1/2P5/P1q1NK1P/R7 b - -,a6a5
r2qkb1r/1b3ppp/p1nppn2/8/Np2P3/1N4P1/PPP1QPBP/R1B1K2R w KQkq -,c1g5
1rq1r1k1/5pp1/Rn1n3p/2pP4/2P2B2/3Q1NP1/5PK1/R7 b - -,c8d8
2r3rk/p6p/1p2pb2/1Qn5/3N1P2/1P2B3/P3KPqP/3RR3 b - -,c5e4
R7/2p3k1/p1n3b1/1pb3p1/3N2P1/1BP3P1/PP3r2/2K4R b - -,c6d4
8/8/1p1k4/1Ppn1R2/3p4/3P1N2/5K2/1r6 b - -,b1b5
r1bq1rk1/pppp1ppp/2n2n2/8/1bP1p3/2N2NP1/PP1PPPBP/R1BQ1RK1 w - -,f3g5
1r1nnr1k/1q1bb2p/3p2p1/1p1Ppp2/1N2P3/BB3N1P/5PP1/RQR3K1 w - -,a3b2
5k2/8/6p1/2P1p3/4NbP1/R2P3P/2r5/6K1 b - -,f4e3
8/5p1p/8/3PN1P1/pk5P/1p6/1K1b4/8 w - -,e5c6
8/p7/1B6/5k1p/1p3bP1/8/P3K2P/8 b - -,h5g4
q4r2/3n1pbk/r2p1n2/2pP3p/5BpP/2N3P1/PP1Q1PKN/3RR3 b - -,a6b6
r1bqk2r/1p2bppp/1nn1p3/3pP3/p2P4/3BNN2/PP3PPP/R1BQR1K1 b kq -,c8d7
1r4k1/2n1q1pp/1p1p4/p1nPp3/P1R1Nr2/5P2/2PQB1PP/1R4K1 b - -,c7a6
8/KN6/1B4pp/3k4/Pn6/n5PP/8/8 b - -,a3c4
8/7p/4k1r1/pp1pPp2/2pP3b/P1P1BR1P/1P5K/8 w - -,e3f2
4R3/1pk4p/2n3p1/8/5R1P/b2q4/P1B1N3/1K6 b - -,d3d2
r3rbk1/1q1b1pp1/3p1n1p/1p3N2/p2nP3/5N1P/PP3PP1/1BRQR1K1 w - -,d1d4
3R4/pr5p/r3kp1B/2pRp3/P1PbP2p/6P1/5PK1/8 w - -,g3h4
2bbk2r/p1p2pp1/1p6/2p1P2p/2P5/1P5P/PB2NPP1/5RK1 w - -,f1d1
3r1r2/pbq2pkp/1p4p1/n2Pp3/2p1P3/2P1Q3/P1B1NPPP/2R2RK1 b - -,c7e7
4r1k1/p6p/1p1q2p1/3P1p2/1P2p3/2bn4/P1RQNPPP/6K1 w - -,d2c3
rn1q1rk1/pbn2ppp/1pp2b2/3p1N2/4P3/2N3P1/PP3PBP/R1BQR1K1 b - -,d5d4
6k1/5p2/1bp5/p7/4pB1p/2P5/PP3PP1/6K1 b - -,b6d8
4n2r/1p2kp2/2p2pr1/4p2p/1P2P2P/3BPRP1/2P2R2/2K5 w - -,c2c4
4nb2/p3kp2/1p1p4/2pBP1p1/2PP2P1/2PK4/P6B/8 w - -,d5c6
r4rk1/pp1n1ppp/1q6/3P1b2/1P1N4/P4PB1/3Q2PP/2R2R1K b - -,f5g6
