5bk1/8/2N5/p1p5/2P1KB2/3PP3/r6P/8 w - a6,d3d4
2r2rk1/pb2qppp/1pn1pb2/2pn4/8/PP1PPN2/1BQNBPPP/2R2RK1 w - -,c2b1
r2qr1k1/bppbnppp/p2p4/3Pn1B1/2P3P1/1PN4P/P3NPB1/R2Q1RK1 b - -,h7h6
rn2kb1r/pp2pppb/2p2n1p/q7/3PP2B/2N2N2/PPPQ2PP/R3KB1R b KQkq -,b8d7
4r1k1/2q2pbp/6p1/3Q4/n4B2/6P1/PP3P1P/R4BK1 b - -,c7a7
1r2rbk1/5pp1/2qp3p/B2N4/1pp1nP2/6P1/1P2P1RP/R2Q2K1 w - -,a5b4
1r3rk1/1p3p1b/3N4/p2BP2P/P1PR2p1/1P6/5P1P/6K1 b - -,g8g7
q3b3/6bk/2n3pp/1R3p2/2Pp1B2/r2P2P1/5NBP/3Q2K1 b - -,a3a1
r2k3r/p3b1p1/1p1pn2p/8/3PNP2/5NP1/PP5P/R4RK1 w - -,f1e1
2rq2k1/pp4bp/3prppB/2n5/7Q/5N1P/PPP1RPP1/1R4K1 w - -,e2e6
r2qk2r/5pp1/p4b2/1p1b1P2/6Q1/P1P5/1P4NP/R1B2R1K b kq -,a8c8
8/2k3p1/1p1Rp2r/p1p1P3/P1P2PPn/2P3KP/8/8 b - -,h4g6
6k1/5p1p/pr1N2p1/3R4/6P1/1P3n1P/2P5/2K1rR2 w - -,f1e1
4r1k1/1p3pbp/p1n1p1p1/2n5/2PpP3/1P3P1P/P2BB1P1/2RR2K1 b - -,a6a5
r2q2k1/5p1p/5np1/p2pN3/3P4/4PP2/Q5PP/2R3K1 w - -,a2a4
2r1r1k1/p2bbppp/1qpp1n2/8/3N4/2B2BP1/PPQ1PP1P/R4RK1 b - -,e7f8
1R6/5ppk/p3p1b1/2r2q1p/2PQ3P/5P2/6P1/2R3K1 b - -,f7f6
2r3k1/rp2ppbp/1Bb2np1/2p5/p3P3/5P2/PP2BKPP/2RR4 w - -,b6a7
r3r1k1/ppp3bp/3q1pp1/7n/3P2b1/2N2N2/PPPQB1PP/2K1R2R b - -,d6f4
3rr1k1/pp1b1p1p/2n3p1/b1p2p2/2P2P1N/1P1NQ1P1/P5BP/R2R2K1 b - -,e8e3
2r3k1/6p1/4p3/1PP1r3/2K4Q/8/8/8 w - -,h4d4
r1bq1rk1/1pp1n1b1/2np3p/1N2p3/2P2ppP/P2P2P1/3BPPB1/1RQ1NRK1 b - -,f4g3
3r3k/6b1/2pq4/2p1p2p/2P1Ppp1/1N1P1PP1/2Q3KP/3R4 w - -,c2f2
5rk1/1p2ppb1/5n1p/p3p1p1/P1r2P2/1bN2B2/1P1R1BPP/4R1K1 w - -,f4e5
2rq1rk1/4pp1p/p2pbbp1/5P2/2n1P3/1N4B1/PPP1Q1PP/R3R2K w - -,f5e6
r2q1rk1/pb3ppp/1p2pn2/2b1P3/1nN5/5N2/PP2QPPP/RBB2RK1 b - -,b7f3
r1b3k1/pp4pp/2p1p3/3pP3/P1P2r2/1P3Pq1/2N1P2P/3R1RK1 w - -,h2g3
1r1rn1k1/p4pbp/1p4p1/7q/1PRN4/P2P2P1/QB3P1P/5RK1 b - -,b8b7
2krb2r/1pb5/N4pp1/P1p4p/1P1Pp2P/2P5/4NpP1/R2K1R2 w - -,a6c5
2rqkb1r/pp1b1ppp/4p3/3p4/1n1PnB2/2N1PN2/PP2QPPP/RB3RK1 b k -,e4c3
2r5/2pn4/1p1p1p1k/pN1PnN2/2P1P2P/1P6/P5R1/7K b - -,h6h5
r4nk1/p3q3/1p3bpp/2pp1r2/3PpPQ1/2P1P2N/PP5P/R3BR1K b - -,g8h7
n1r1r2k/7p/4q1pN/pPBp4/3Pn3/1PP2NQ1/4pRPP/4R1K1 w - -,g3e5
1r4k1/5p2/2b1pp1p/2pP4/8/3PP2P/4BPP1/5RK1 b - -,c6d5
r7/8/p2k3p/R2p1B2/1pbKP1P1/8/1P5P/8 b - -,a8e8
3R4/k1r5/1pq5/8/p3p3/PQn1R1P1/2P2P1P/6K1 w - -,b3g8
2k5/2p5/2P4p/p4p2/8/P3R3/5K1P/3r4 b - -,c8d8
r5rk/1b2qp1p/3ppp2/2p5/p1P1PP2/P3QB2/1P1R2PP/5RK1 b - -,a8a6
3r2k1/4nbpp/8/2qp4/p1p2N2/2P3P1/P3QPBP/3R2K1 b - -,c5d6
4r1k1/4qpp1/5B1p/3p1b2/8/6P1/Pr2PPBP/3R1RK1 w - -,f6e7
rnbqk1nr/pp1pppb1/6p1/2p4p/2B1P2P/P7/1PPP1PP1/RNBQK1NR w KQkq h6,b1c3
2r5/5k2/1ppn1p2/3p2pp/pN1P3P/P1P3P1/1P1KRP2/8 w - -,h4g5
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq -,c2c3:b1c3:c2c4:d2d4:f1c4:h2h3
8/8/8/R7/P5k1/6r1/5PK1/8 w - -,g2f1
6k1/1p3p1p/2bR1p2/5p2/2P1P3/1P6/4BKPP/r7 w - -,e4f5
r5k1/1p3pp1/p1p1qn1p/8/Pb1rP3/2N2P2/1P2QBPP/R4R1K b - -,b4c3
r1bqk2r/ppp2ppp/2np1n2/2b1p3/2B1P3/P2P1N1P/1PP2PP1/RNBQK2R b KQkq -,c6e7
rnbq1rk1/pp2bppp/2p1pn2/3p4/2PP1B2/2N1PN2/PP3PPP/2RQKB1R b K -,b8d7
1k1r3r/ppp1np1p/2bbpqp1/8/P2P4/2N4Q/1PPBNPPP/R4RK1 w - -,c3b5
rnb2rk1/pp2ppbp/2pp1np1/8/N1PP4/5NPP/PP2PPB1/R1B2RK1 b - -,b7b5
8/6b1/1k5p/1P5R/1r2B2P/5K2/5P2/8 w - -,e4c6
r1bq1rk1/pp2ppbp/3p2pn/8/2BpP3/5Q1P/PPPPNPP1/R1B2RK1 b - -,c8e6
3r1rk1/pb1qbppp/1pn1pn2/2pp4/2P5/PP1PPNP1/2QN1PBP/R1BR2K1 b - -,d5c4
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/3PP3/5N2/PPP2PPP/RNBQK2R b KQkq d3,c6d4:e5d4
1r3bk1/1qrn1p1p/4p1p1/1ppbP3/3P3P/2PNBP2/1Q2B1P1/1RR3K1 w - -,d4c5
6rk/p3Q2p/4p2B/1p1p1q2/3P1P2/8/6P1/6K1 b - f3,a7a5
5k2/p7/R7/5Np1/5nP1/8/1r3PK1/8 w - -,g2g3
rnq2rk1/pb3ppp/1p3b2/2pP4/8/P1PB1N2/4QPPP/R1B2RK1 w - -,f3g5
r1bqkb1r/pp2pppp/2np1n2/2p5/4P3/5NP1/PPPP1PBP/RNBQK2R w KQkq -,d2d3
2r2nk1/4q1p1/2p1p1p1/1pPp2Pn/rP1P2Q1/5P1B/1B2P3/R2R2K1 w - -,a1a4
8/b4pk1/p4qp1/1p1QN3/5P2/7P/PPr3P1/5R1K w - -,d5b7
r1bqkb1r/pp3p1p/2pp1np1/8/B1PpPP2/3P4/PP1Q2PP/RNB1R1K1 w kq -,b2b4
8/8/1R5p/rp4k1/8/1nP3NP/5PK1/8 b - -,b3d2
4R1n1/1k4r1/pp3p2/2p2P2/3pKB2/3P4/PPP5/8 b - -,g8e7
r1b1kb1r/ppq4p/4pp2/1B1pn3/3N2p1/2P3B1/PP2QPPP/R3K2R b KQkq -,e8e7
5q2/8/6p1/7k/p1P5/4Q1p1/4rP2/6K1 w - -,e3e2
r2qr1k1/1pp2ppp/2nb1n2/p3p2b/2P3P1/P2PBN1P/1PN2PB1/R2Q1RK1 b - -,h5g6
r1b1kb1r/1pqn1ppp/p1p2n2/2PPp3/3P4/2N2N2/PPQB1PPP/R3KB1R b KQkq -,c6d5
2rq1rk1/pp1bppbp/3p1np1/3Nn3/4P3/1N6/PPP2PPP/R1BQRBK1 w - -,a2a4
r2qk1nr/pp4b1/3pb1pp/2pNp3/2PnP2P/2NBB3/PP1Q1PP1/2KR3R b kq -,g8f6
r1n2k2/5pb1/q7/p4P2/1p1pP1Q1/1P1P4/P3R1N1/4B1K1 w - -,e4e5
3k4/1r1b2p1/p2p3p/P3n3/1p1NP3/4KN1P/1P4P1/2R5 b - -,b7c7
3r3k/1p1q1B2/3R3p/8/p1Pn4/P2P2PP/1Q3P2/6K1 b - -,d7d6
r1r3k1/2p2ppp/p4b2/8/2PB4/2P5/1P3PPP/R2R2K1 b - -,f6g5
8/1p1r3p/p1k3p1/2p1R3/P3R3/1r5P/6P1/6K1 b - -,b7b5
8/r7/3k1p1p/1p3Bp1/pPbPP3/R4PPP/3K4/8 b - -,c4e6
8/4ppkp/2Bn1bp1/p1QP4/8/1q4P1/2R2P1P/6K1 w - -,g1g2
2r3k1/5p1p/6p1/3Nq3/4p3/b3P2P/Q1r2PP1/1R2R1K1 w - -,a2a3
rn1qk2r/pp1b1pbp/3p1np1/2pP4/5B2/1Q4P1/PP2PPBP/RN2K1NR b KQkq -,d8a5
1r1q1rk1/pp3ppp/2pbp3/4Nn2/3P4/1Q2P1B1/PP2KPPP/2RR4 w - -,e5f3
7r/p7/1p1bb1k1/3p3n/3P3B/2P1NPP1/PP1K4/4R3 w - -,e3c4
3r1rk1/1pq2pb1/2pp1np1/p3p2p/PnbPP1P1/2N1B2P/1PP1NPB1/2QRR1K1 w - h6,g4g5
1r3k2/q2P2p1/5n2/2r1pB1p/2P5/P3Q3/3R3P/3K2R1 b - -,a7a4
8/3k3p/1R3p2/6q1/3BP3/3K2PP/p4P2/8 w - -,b6b7
8/2R5/p3p2p/4k1p1/4b3/4K1PP/P5r1/1B6 w - -,b1e4
3b1rk1/pp1qBpp1/4p1p1/3pP3/P2P4/5N2/1P3PPP/2RQ2K1 b - -,d7e7
r3k2r/pp1n1p1p/2pbpnpP/q7/3P4/2PN1QN1/PP3PP1/R1B1K2R w KQkq -,c1f4
r1q4k/1p2Q1pp/8/1N2Pp2/p3bP2/P3P1P1/1B3K1P/4nB2 b - -,c8c2
8/p2r2B1/2pnk1p1/6P1/8/5P2/PP6/2KR4 w - -,g7f6
4bn1r/rpq5/2p1pkp1/2PpNp1p/pP1P1P1P/P3QPP1/6K1/2RBR3 b - -,h8h7
r4rk1/pp3pb1/1n1pp1p1/2p1nPB1/4P3/P1NP4/BPP3PP/R4RK1 b - -,c5c4
3rr1k1/2R1n1p1/p6p/1p1P1p2/1B2PPbq/3B4/3Q2P1/2R3K1 w - f6,d5d6
r5k1/pppb2p1/2pbR1Qp/3q1p2/8/3P1N2/PPPB1PPP/R5K1 b - -,d5e6
rr4k1/2nbqppp/3p1n2/p1pPp3/2P1P3/P1Q2NP1/3NBP1P/1R2R1K1 b - -,a5a4
1k3r2/1pp4p/1n6/p3p3/4N1p1/6P1/PPP3N1/3R2K1 w - a6,d1e1
2r3k1/5pp1/4p2p/6bP/2P3P1/pK3P2/8/2N1R3 b - -,g5e7
q1rbrnk1/5ppp/pp1p1n2/2pPp3/1PP1P3/P1NBB2P/3Q1PP1/1RR3K1 w - -,d2d1
3r2k1/1p2b1n1/pQ1p3R/3Pp1p1/1B2P1qn/4N1N1/PP4PP/6K1 b - -,g4f4
6k1/2r2pb1/pq1p2pp/1B1Pp3/1P1pP3/3P4/3B1PPP/1QR3K1 b - -,c7c1
1r3rk1/p2q1ppp/Q1p5/P1P2p2/3Pn3/R2BP3/5PPP/1R4K1 w - -,a3b3
r3kb1r/pp3ppp/1qn1bn2/3pp3/8/1N4P1/PPP1PPBP/RNBQ1R1K w kq -,f2f4
r2qk2r/1pp2ppp/p2pbn2/2b1p3/3nP3/2NP2PP/PPP1NPB1/R1BQ1RK1 w kq -,e2d4
2r3k1/rn3pb1/2q2npp/pR2N3/Q3P3/B1P1N2P/5PP1/1R4K1 b - -,c6e4
2r1r1k1/1bqnbpp1/pp1pp2p/8/P2BPP2/2N3PP/1PPRQ1B1/5R1K w - -,h1h2
r2q1r2/1ppb1pbk/2npn1pp/p2Np3/3PP3/2P1BN1P/PPB2PP1/R2QR1K1 w - -,d1d2
2Q5/5rkp/2p3r1/1p6/3q4/1P2ppPP/R4P1K/5B2 w - -,a2a8
1k1rr3/pp1q1p1p/2n5/3N1bp1/1bP5/1Q1P2P1/PB3PBP/R4K1R b - -,f5h3
8/8/1b1pk2p/p4p2/1p3Pp1/1P4PP/P2NK3/8 w - -,h3g4
r3rqk1/1p1n1pb1/p2p1np1/P1pP2Bp/4P3/2N2B2/1PQ2PPP/R3R1K1 b - -,f6h7
6k1/1b3p1p/pq1p2p1/1p1P1P2/4P3/1Nr5/P5QP/6RK b - -,b6e3
5rk1/1p3pp1/p2r1q1p/Q2B1b2/2Nn4/P6P/1P3PP1/2R1R1K1 b - -,b7b6
5rk1/1Q3pp1/2p2nnp/B4b2/P7/2N3PP/2q1PPB1/3R2K1 b - -,f6d5
1rqr2k1/p2bppbp/2pp1np1/n7/2PNP3/1PN3P1/PB1Q1PBP/1R3RK1 b - -,a5b7
2rqr1k1/pp3ppp/3b1n2/2pp1b2/3P4/1P2PN2/PB2BPPP/R2Q1RK1 b - -,c5c4
1r3rk1/pN2q1pp/3Qp3/4n3/7P/6P1/6B1/R4RK1 b - -,b8b7
2r1k3/R7/6p1/4Pp1p/7P/2P5/2P2P2/2K5 w - -,a7g7
r4rk1/pbp3pp/1pnp1q2/2P1pp2/3P4/1P2PNP1/P1Q2PBP/R4RK1 w - -,d4e5
3r1r2/ppp2pk1/4b2p/4n3/1PN1P1pP/6P1/P3B1P1/2R2RK1 b - -,e6c4
4r1k1/6r1/p5q1/Pppp1R1Q/1b1P4/4P3/5N1P/1R3K2 b - -,g6h5
2r3k1/5pp1/Rnr3bp/4Q3/2B5/1P3P1P/P5P1/6K1 b - -,b6c4
r1b1r1k1/pp3pbp/2n2np1/q2p4/P3PP2/1NN3PP/1P6/R1BQRBK1 b - -,a5b6
r1b2rk1/1pq2pp1/p1p4p/8/3QP1n1/1BN2nP1/PP3PP1/3RR1K1 w - -,g2f3
r4bk1/5ppp/b1q5/8/3BQ1P1/1NP4P/2P2P2/1K2R3 b - -,c6c8
2rqk2r/1p3p1p/p1npbp1b/3Np3/4P3/2N5/PPP2PPP/R2QKB1R b KQk -,f6f5
8/1pk4p/2p3b1/6p1/NPP1Pn2/4K3/7P/3B4 b - -,c7d6
2rq1rk1/1p1n1p1p/p2p1np1/3Pp3/4P3/3B1Q1P/PPP3P1/R1N2R1K w - -,c1e2
8/8/5k2/5p2/2KN1n1P/8/8/8 b - -,f4g2
6k1/p4p1p/5R2/1r6/8/7P/6P1/6K1 w - -,f6a6
1Q6/3qr2k/2p3pp/3p4/p1pP2Pn/P1P1RP2/1P2K3/3N4 w - -,e3e5
r1bq1rk1/pp2ppbp/3p1np1/6B1/2PQP3/2N5/PP2BPPP/R3K2R w KQ -,d4e3:d4d2
3Q1bk1/5p2/4pPp1/p4r1p/1p3P1P/1P4P1/7K/8 b - -,f5d5
5rk1/pQ1r1ppp/5n2/q7/8/P6P/B4PP1/R3R1K1 w - -,b7b3
5r2/2pnr1kp/1p4p1/3B1p2/1PP5/6PP/3RPK2/2R5 b - -,f8f6
8/1b2k3/3pr3/p3rppp/2PRP3/1PKBRP1P/8/8 b - -,e6f6
2r1r1k1/5pbp/6p1/pp2p1Q1/2q1P3/2N2P2/PPP1R1PP/1K1R4 w - -,g5e3
3b4/7p/p1r1k1pP/6P1/1P2N3/2P1B3/1K3P2/8 w - -,b2b3
r1bq1rk1/1pp2pbp/p2p2p1/2n1n3/2PNP3/2N3PP/PP2QPB1/R1B1R1K1 w - -,c1e3
1r6/7p/p1kb2p1/1pp1N3/2P2P2/1P1R1K1P/P7/8 b - -,c6c7
r4rk1/1p1qn3/p2p1n1p/P1pP2p1/2P5/3Q2N1/1P1B2PP/R4RK1 b - -,f8f7
3r1rk1/pp4bp/2pRb3/2P1p1q1/1P6/P3Np2/5PPP/nR1Q1B1K w - -,b1a1
8/8/8/4k3/8/1r6/1P1RKP2/8 b - -,e5e4
8/5p2/5K2/5P1k/8/8/8/8 b - -,h5g4
8/6k1/b1Np2p1/2pP1n2/1p3qp1/1P6/6BP/4Q2K b - -,a6d3
5rk1/p4rb1/1pp3pp/4p3/1PPqN3/3P2PP/PQ2RNK1/8 b - -,f7f3
1k1r1b2/pp1q1p1r/6b1/3NP2p/2B2R1P/5QP1/PP5K/3R4 b - -,f8g7
8/3b1p1p/p2kp1p1/1p6/nP2BP1P/PN1P2P1/3K4/8 b - -,e6e5
8/1r2kpp1/8/7p/8/R5P1/5P1P/6K1 w - h6,h2h4
r2r2k1/pppbbppp/2n1pn2/8/2NP4/4PNP1/PP1B1PBP/R4RK1 b - -,f6e4
1b3r1k/1p2rqpp/p7/3pBP2/5P2/1P4QB/P1R4P/7K w - -,h3g4
1b4r1/3n1k2/4p1p1/p2r1pR1/NpRP3P/1P2PP1K/P7/2B5 b - -,e6e5
6k1/3q4/p1pPb1r1/6p1/P1p3Q1/2P4P/5PP1/3R2K1 w - -,g4e4
4r1r1/3N4/R7/2BP1knp/5p2/3P4/4PK1P/8 b - -,g8g6
4n3/4k1p1/1ppp3r/p3n1p1/P2RPp2/BP5P/1K3PP1/3R4 w - -,b2a2
5r2/4qpk1/1pp3p1/4b2p/P7/4PR1P/BP1Q2P1/6K1 w - -,f3f1
r3k2r/2q2pp1/p3p3/1p1bb2n/7p/P2B1P2/1PP1N1PP/1R1Q1RBK w kq -,d3e4
r5k1/1bqn2pp/pp1ppr2/2n5/2P2PB1/BNP1Q3/P5PP/3R1RK1 b - -,f6g6
1rb2rk1/p2Nppb1/2p3pp/1p1p4/3P1P1P/2N5/PPP2PP1/2KR1B1R b - -,c8d7
8/p4pk1/1p1bp1p1/1P1p4/P2P4/3BP1P1/5P1q/3Q1K2 b - -,h2h3
1q3rk1/p2b1p1p/1pr2np1/1B1p3n/PQ1P4/2N1P1P1/1R2NP1P/5RK1 b - -,c6d6
6r1/8/2B2r2/1PK1R1p1/6p1/8/2k3P1/8 w - -,c6e4
4K3/kp6/6q1/p2Qp3/1P6/P7/1B6/8 w - -,e8d7
6r1/pkp5/1pq2r1p/n2N4/P1PP1p1p/3P1Q2/5PP1/1RR3K1 b - -,f6g6
4kb1r/1q3ppp/1pr1pn2/8/3P1B2/1Q4P1/PP3P1P/R1R3K1 w k -,c1c6
8/5p2/7p/3p3P/2pP4/pr3k2/5R2/5K2 b - -,f3e3
8/5b2/3k4/pp1P4/4B3/2P1K3/PP6/8 w - -,e3d4
2B5/1P4K1/1rk2p1p/5P2/6PP/8/8/8 w - -,g7f6
1k1r2r1/pp1b4/2np2p1/4pp1p/2q1PP1P/PPPpQ1P1/5N2/1KRB3R b - -,c4a6
8/p4pk1/1p1p1p2/3Qp3/1qP1P2p/7P/P5PK/8 w - -,d5d3
8/5pk1/3r2p1/3B3p/8/2KR2PP/8/8 w - -,c3d4
r1r3k1/1p1nppb1/p2pb1pp/8/N1P1P1P1/1P2BP1P/P2KB3/2R4R b - -,a8b8
rnbqk2r/4ppbp/p1p2np1/1p6/3PPN2/NP4PP/5PB1/R1BQ1RK1 b kq -,c8b7
1rq3k1/1brn1p1p/1p1p2p1/3Pp3/1PP5/1N6/3Q1PPP/R1R2BK1 b - -,b7a6
r7/5p1k/p1Np1bpp/1p1P1q2/1Q3P2/8/PPP1r2P/1K1R2R1 w - -,d1c1
r1b3R1/ppr4k/5qpp/2pB1p2/2Pp1P2/3P2PQ/PP5P/4R1K1 b - -,h6h5
3q4/1r2r1bk/pp1p2pp/P1nQ4/4pP2/1P2B3/4B1PP/1RR3K1 b - -,d8g8
5k2/3n1ppp/1pbNp3/r1p5/p2pP3/P1N3P1/1P3PBP/2R3K1 w - -,c3e2
r2qk2r/pp1n1ppp/1np1p1b1/8/1bPP1NP1/2N2Q2/PP1B1P1P/2KR1B1R b kq -,d8f6
8/2p1K2p/pk1PR3/1pq5/2p5/5QP1/PP6/8 w - -,f3e3
6k1/3n3q/3p4/p1pPpPb1/PpP1R1N1/1P3B2/1B3RK1/7r w - -,f2e2
r4rk1/1p2b2p/2pp1n2/1P3bq1/2PQpN2/1nN1P1PP/1B3RBK/1R6 w - -,d4d1
8/pp2R3/2k1p3/5p1p/P1P2b1r/3P1PN1/2P1KP2/8 b - -,e6e5
5rk1/R4pp1/4q2p/8/1P1pr3/3Q1RPP/4PPK1/8 b - b3,e4e2
7R/4kp2/P7/1K1b3p/5R2/r4P2/8/8 w - -,h8h5
r4r2/pp3ppk/2p1nn2/3p3P/1b1P4/2N2P2/PPPBN3/2K3RR w - -,c3d1
1r3rk1/5p1p/7R/1p6/2b4p/2P2B2/5PP1/R5K1 b - -,c4d3
5br1/3b1k1R/1p3p2/p1pPpP2/P1P3P1/1P2BB2/6KP/8 b - -,f7e8
2r2r2/ppb3pk/4pn1p/2pp4/8/2P1PNB1/PP3PPP/3RK2R w K -,g3c7
1r1qk2r/pp1nbppp/8/2pPN3/Q7/2N5/PP3PPP/R4RK1 w k -,f1e1
r1b3k1/pp4pn/1n1p3p/2pP4/2Pbp3/2N3P1/PPNB1QBP/R6K b - -,d4f2
1qr2rk1/1p1bbppp/p1Nppn2/8/2P1P3/1PN3P1/PB3PBP/2RQR1K1 b - -,d7c6
r3k3/pp2qpb1/2p2np1/4p1Nr/2P1P3/1PN1B1p1/P7/R2Q1RK1 w q -,a1c1
rn2kb1r/1p2pppp/1p3nN1/3p4/2pP1B2/2P5/PP1NPPPP/R3KB1R b KQkq -,h7g6
r1b2rk1/1p3pbp/pBnpp1p1/8/4PP2/1R1Q2P1/q1P1N1BP/5RK1 b - -,d6d5
r1r3k1/pp1n1ppb/1q2pn1p/2bpN3/3B4/1P1P1NP1/P3PPBP/R2QR1K1 w - -,d4c5
1r4k1/2b2ppp/5n2/p1B1p3/P1p5/4P1P1/5PBP/3R2K1 w - a6,d1c1
4B1k1/p4pq1/1n4p1/3p4/2p5/bP6/P1Q3PP/1K3R2 b - -,f7f5
r5k1/1R3p2/p4np1/7p/8/4B1PP/P3rP2/R5K1 w - h6,a1d1
2rq1rk1/pb1nppbp/1p4p1/3P4/3P4/1P3N1P/P3BPPB/R2Q1RK1 b - -,b7d5
r1bq1k2/ppp5/3p1p1r/3Np2p/2BbP3/6Q1/PPP2PPP/R3K2R w KQ -,d5b6
8/8/6k1/P2BKp2/5Ppr/N7/1P3R2/4r3 w - -,e5d6
1R6/5p2/4p1p1/1P3k1p/7P/5P2/1r4PK/8 w - -,h2g3
1r6/p5p1/5k1p/2p1R3/n3BP2/2P4P/P1K5/8 w - -,e5f5
7k/bp1Rqr1p/p1p4p/4p3/5p2/2P2BrP/PP2QPP1/3R2K1 b - -,e7d7
8/1bNR2bp/p5k1/1pp3P1/5B2/7P/PP2r3/2K5 w - -,f4d2
5rk1/p2b2pp/2p2p2/2R5/2P4P/2B5/P4P1P/6K1 w - -,c5a5
r1bq1rk1/pp2ppbp/6p1/8/3N4/2P1nB2/PP3PPP/R2Q1RK1 w - -,f2e3
1rbq1rk1/1p4np/p2b1n1B/2pPpp2/P1P5/2N1Q1PP/1P2N1B1/R4RK1 w - -,h6g5
r2q1rk1/pb2ppbp/1pnp1np1/8/2P1P3/1NN1B3/PP2BPPP/R2Q1RK1 w - -,a1c1
4r1k1/6r1/p7/PpPp1R2/8/4b3/5N1P/1R3K2 b - -,e8e6
8/8/1P4R1/2K2p2/8/5kp1/8/1r6 b - -,g3g2
1R6/4k1p1/4P2p/4K3/8/8/1p1r4/8 w - -,b8b7
8/6bk/6pp/1B2p3/5p2/1N3P1P/1rbN2P1/6K1 w - -,b5c4
7R/r3p3/4k3/5pP1/8/4K1P1/8/8 w - -,h8h4
8/5pk1/5qp1/8/1NK5/1Q6/2P5/8 b - -,f6f4
r1r3k1/pp2ppbp/3pbnp1/q7/3BP1P1/P1N2P2/1PPQ3P/2KR1B1R w - -,h2h4:f1e2
8/8/8/8/5K2/R4B1k/1r6/8 w - -,a3a8
r1b1r1k1/3p1ppp/2pBp3/p3Pn2/2P5/8/PP3PPP/3RRBK1 w - -,d6c5
4rqk1/p6p/1p2b3/2p1B1p1/2P1P3/1P1R1pP1/P4P1P/3R1BK1 w - -,e5b2
6k1/r3bpp1/4pn2/1B1p3p/P2P4/2QNPPqP/6P1/2R3K1 w - -,c3e1
4r1k1/pq3pp1/7p/4NP2/1b1P4/4Q1P1/P1p1KP1P/B2R4 w - -,d1c1
3k4/8/2N1P3/4K3/8/2pr4/8/8 b - -,d8e8
5rk1/8/8/4Nn1p/pr2R3/R4PK1/2P5/8 w - -,g3h3
