8/8/8/pp6/n7/k2B4/8/1K6 w - -,d3g6
r2q1rk1/1p3ppp/2pp1n2/p3pP2/P1P5/1PN2Q1P/2P2PP1/3R1RK1 b - -,d8e7
6k1/1p3p2/p5p1/2P4p/1P5P/P4qP1/1Q3P2/6K1 w - -,a3a4
r2q1rk1/p3bpp1/2bp3p/3np3/1p2P3/5NB1/PPPQ1PPP/1K1RR3 w - -,e4d5
N1bq1r1k/pp4bp/8/6p1/2Bn1p2/6B1/PP1Q1PPP/R3K2R w KQ -,e1c1
r2q1rk1/4p1b1/1pp3pp/p2n1p2/P1NP4/1P2PPP1/1B2Q1KP/R4R2 b - -,a8b8
4r3/4Pp2/3p1Pp1/2p4r/2P1R1K1/1p1P3P/1k6/R7 w - -,e4e1
rnbqkb1r/pp3ppp/2p1p1n1/3p4/2PP1B2/2N2N2/PP2PPPP/R2QKB1R w KQkq -,f4g3
1rbq1rk1/3nppb1/2np2pp/3N2B1/4P3/2P3PP/4NPB1/R2Q1RK1 w - -,g5e3
8/b4p2/P2kp1p1/6Pp/1r1p1P1P/3B1K2/2P5/R7 w - -,d3e4
r3kb1r/ppqb1ppp/3ppn2/8/2n1PP2/1NN1B3/PPP1B1PP/R2QK2R w KQkq -,e2c4
r1bqk2r/1p2npbp/p1n3p1/2pp4/P4P2/2NP1NP1/1PP3BP/R1BQK2R w KQkq -,e1g1
1k3r1r/1bp5/2Bpq3/QP2p1b1/2P3pp/4P3/P3KPP1/2R2R2 b - -,h8h7
r3rbk1/1p3qp1/2p1pn1p/p3pP2/P1Q1P3/2N1B2P/1PP3P1/R2R2K1 w - -,g2g4
r7/3k4/2p1p3/1pPp1p2/pP3Pp1/3N2P1/R5K1/8 w - -,a2a1:g2f2
r1b1k1nr/p1qp2bp/2p1p1p1/4Pp2/2B2B2/2N2Q2/PPP2PPP/R4RK1 w kq -,f1e1
r1bqkb1r/pp3ppp/2n2n2/1Bpp4/3P4/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r1b1r1k1/6pp/pBNp4/1p1P2b1/5pq1/2PB1pP1/PP3Q1P/5RK1 w - -,f2f3
8/5pk1/3n4/p2r2p1/1pp5/2P2N1P/PP2K3/2R5 w - -,f3d2
2k5/2p2pp1/p3r3/8/PP3PK1/5QP1/5B1P/1q6 b - -,b1b4
r2q1rk1/p1pnppbp/1p4p1/8/1PBPb3/4PN2/P4PPP/1RBQ1RK1 w - -,c4d3
rn3rk1/qp3ppp/2p2n2/2b1p2b/p3P3/P4N1P/BPPNQPP1/R1B1R1K1 w - -,g2g4
5k2/4b3/1R5p/4rn2/7P/3R1PP1/6K1/8 b - -,h6h5
6bk/1R5p/1p2rp2/pP1B1p1N/6r1/4p3/7P/2R2K2 b - -,e3e2
8/R7/3pk3/4p3/4P3/2P4r/3K4/8 b - -,h3g3
8/2bnk1p1/r3pn1p/rpp1p3/4P3/1P1RBP2/NKP3PP/2NR4 b - -,c5c4
8/5p2/p1k1p1p1/3pP3/PPb2P1b/2K5/2P4P/1R6 w - -,c3d2
1rr5/5pkp/3p2p1/3N4/6P1/1n1K1R1P/1P6/1B6 b - -,b3c1
2kr3r/ppp2ppp/1nn5/7q/1b6/2N2b1P/PPQBBPP1/R3K2R w KQ -,e2f3
8/1b3kp1/pp2p2p/4p3/B1PbP3/5KP1/PP5P/3N4 b - -,a6a5
4k1r1/1b1nbpqp/pp2p3/3p4/1P1N4/2r1B2B/P4PPP/R2QR1K1 w - -,a1c1
8/p7/3k4/4r3/P4N2/KB3P2/8/5n2 w - -,f4g2
r7/p4kb1/1pn1p1q1/3pPrB1/3P2Q1/2P3R1/P4PP1/5RK1 w - -,f1e1
8/1p3p1p/p1bk1np1/P2p1p2/3P1P2/1PP2BP1/2N4P/4K3 w - -,e1d2
4k2r/r4pb1/1qp1pnp1/p2p3p/B2PP2P/4BP1P/PP4Q1/2KR2R1 w k -,c1b1
8/1ppr3p/2n2kp1/p7/4R3/2P3P1/1P5P/4R2K w - -,e1e2
r2q1rk1/1b1n1pbp/pp4p1/2pP4/5B2/2N5/PP1QBPPP/R4RK1 w - -,a2a4
r3r1k1/ppq2ppp/2pb1n2/2Np1n2/1P6/P2PPBPP/3B1PK1/2RQ1R2 w - -,f3g4
1r2r1k1/2q2pbn/R5p1/1ppPpbPp/5P2/2N1B2P/1P4B1/3QR2K w - -,d5d6
r1b2rk1/2q1bppp/p1pp1n2/4pP2/4P3/P1NBBQ2/1PP3PP/R4RK1 b - -,c8b7
8/3n2k1/1p1p1p2/pP3Pp1/P2P4/2N1PP2/4K3/8 b - -,g7f7
2bqr1k1/2n2pbp/pr1p1np1/2pP4/2B2B2/2N1PN1P/1PQ2PP1/R4RK1 b - -,b6b4
r1bqk1nr/1p2ppbp/p1np2p1/8/2P1P3/4QN1P/PP2BPP1/RNB1K2R b KQkq -,g8f6
rn1qkbnr/pp2ppp1/2p4p/3p4/3PP1b1/2N2N2/PPP1BPPP/R1BQK2R b KQkq -,g4f3
4r2k/1PR5/3p4/3P4/6n1/5K2/7P/8 b - -,g4e5
8/pB5p/P3kpp1/3n4/2n3PP/5PK1/8/2B5 w - -,h4h5
8/3n4/8/5p1p/1k6/5K2/8/8 b - -,b4c4
6k1/1p3p2/p4bp1/1qr1N2p/5P2/Pr4PP/1P1Q1R1K/4R3 b - -,c5d5
rnbqk1nr/ppppp1bp/6p1/5p2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq f6,f1g2
4R3/1q3pk1/5p1P/ppr1rP2/3p4/1P1Q2P1/1PP5/4R1K1 b - -,g7h6
3rbk2/1p5p/prpNp1p1/R3Pp2/1P1P1P2/2P2KR1/1P5P/8 w - -,f3e3
8/8/8/2pPk1pp/4b3/4K3/7N/8 b - -,e4d5
r5k1/1p4p1/2p1Np2/p2n1B2/6P1/6BP/PP1q1P2/1R2R1K1 b - -,a8e8
rnr3k1/1q3pp1/pp1ppn1p/8/1PPPP3/2NQ1PP1/3N2KP/1RR5 b - -,b8c6
r4k2/1p4p1/pq2p2p/1b2np1Q/4N3/1N2b1PP/PP4BK/4R3 b - -,e5d3
2r1k3/3Nbp2/8/7p/4pp2/1P3N1P/P4PP1/3R3K w - -,d7e5
2r1r3/2q2pkp/p3pnp1/1p6/4NP2/P1P3Q1/1P4PP/3RR2K b - -,f6h5
2rq1rk1/p3ppbp/1pbp1np1/8/P1PBP3/2N2P2/1P1QB1PP/R2R2K1 b - a3,f6d7
1R6/3Qqppk/2pn3p/2Np4/3P1N2/4P1PK/5PP1/r4n2 b - -,f1e3
2rr2k1/p3bppp/1pq2n2/3p4/8/1PN2QP1/PB2PPKP/2R2R2 w - -,f1d1
r1bqkbnr/p4p1p/2pp4/2p1p1p1/4P3/2P2N1P/PP1P1PP1/RNBQ1RK1 b kq -,g5g4
2rr2k1/pq1p1ppp/n2Bpb2/2p5/2P5/P3P1P1/1P1RQPNP/R5K1 b - -,a6b8
r6k/ppp1q1pp/8/2n1Pp1b/1Pn5/2P2P2/P5PP/R1B1RQK1 w - -,f1c4
1n2rr1k/p6p/1pbq2pP/2p1p1B1/2Pn4/3PR1PB/P2Q1P1N/3R2K1 b - -,e5e4
8/4r3/8/4p3/4Kp2/8/R7/4k3 w - -,a2h2
r4rk1/1bpnqpbp/1p1ppnp1/p7/P2P4/2P1PN1P/1P1NBPPB/R2Q1RK1 w - -,b2b4
rnb1k2r/bpp1qppp/p2p1n2/3Pp3/2B1P3/2P2N2/PP2QPPP/RNB2RK1 w kq -,h2h3
3b3r/1pr3kb/p1p2p2/N1PpnPP1/1P1p4/8/1P2B2B/4RRK1 w - -,e2h5
r1b4r/pp1nkpbp/3p1np1/1B6/3P4/5N2/PP3PPP/RNB1K2R w KQ -,e1g1
5k1r/1p2qpp1/p7/3N1p1n/8/8/PPP3QP/1K1R4 b - -,e7e4
r1b3rk/pp2B1pp/2p5/3q1p2/3P4/P3Q2P/1PP5/2KR2R1 w - -,e7f6
r2qkbnr/pb1p1ppp/1p2p3/2p5/3nPP2/1PN2N2/PBPP2PP/R2QKB1R w KQkq -,d2d3
rnbq1rk1/ppp2pbp/3p1np1/4p3/2PP4/2N1P1P1/PP2NPBP/R1BQK2R b KQ -,b8d7:f8e8
r3qrk1/1ppb2bp/1n1p2p1/3Pp3/1PP1p2B/2N4P/2Q1BPP1/1R2K2R w K -,h4g5
r2qr1k1/1b1nbpp1/pp1ppn1p/2p5/PP1P3B/2PBPN2/3NQPPP/R2R2K1 b - b3,f6d5
1r1qkb1r/ppp2ppp/2np1n2/4p3/2P3b1/PQN1PN2/1P1P1PPP/R1B1KB1R w KQk -,f1d3
2r1k2r/1pq1nppp/p2bp3/3p3b/1nPP4/1P3N1P/PB1N1PP1/RB1QR1K1 b k -,d6h2
8/5kp1/2p2p1p/1b6/2pP4/R1P3BP/5PPK/2r5 w - -,g3f4
5rk1/p1q1p2p/1p1p2p1/3b4/P1pP1r2/2P1R2P/1P1R1PP1/1Q3BK1 b - -,e7e6
R7/8/5pk1/7p/pr2PK1P/5P2/8/8 b - -,b4c4
r1bqr1k1/1p2bpp1/2n2n1p/p1pp4/8/P2P1NPP/1P1NPPB1/1RBQ1RK1 w - -,f1e1
3nr3/pr1bpkb1/2pp4/5p1p/3P1P2/1P2BN1P/P2RNKP1/2R5 w - -,f3g5
r7/4nk1p/p4p2/5P2/8/2R4P/2P5/3R2K1 w - -,c3c7
r1b1r1k1/ppp2pp1/2n4p/8/2PR4/5NP1/PP2PPBP/5RK1 w - -,d4d2
5rk1/7p/pr2p1n1/2p3B1/3pP3/1P3P1R/P5P1/2K4R b - -,b6b7
6k1/1p4p1/2bqp2p/p2prr2/P1P3R1/1P1Q1P1P/2B1R1P1/7K w - -,e2e5
3r3k/5pp1/R3p2p/3n4/3P4/1q5P/1B3PP1/2Q3K1 w - -,b2a3
4k2r/4pp2/5b2/1rpp1N2/1n4P1/4P3/1P1K1PBP/1R5R b - -,e8d7
r3k3/1b3ppr/pp2p3/2qpP3/P3nPP1/2N2B2/1PP3K1/R3Q2R b q -,h7h1
6k1/7p/3p4/1p1P4/1P3PP1/3b3P/2p2K2/2R5 b - -,h7h5
2q3k1/2r1bpp1/pp2p2p/3nP2P/P1rP4/3Q1N2/3B1PPK/RR6 b - -,e7b4
r5k1/p2B1pn1/3n1Bp1/3P2Pp/P3p2P/1r6/5P2/1R2R1K1 b - -,a8b8
5rk1/2q1pp2/b2p2p1/p1pPn2p/1rP1P3/1PQ3PP/3N1PB1/1R1R2K1 b - -,f8b8
8/8/5kpp/6P1/5K1P/8/P7/8 b - -,h6g5
r3kb1r/pp1n1ppp/2pqpn2/8/3P2b1/2N2N2/PPP1BPPP/R1BQR1K1 w kq -,g2g3:c1g5
2r5/p5k1/1bp1p2p/8/2R1p2P/4P3/PP3P2/5K2 b - -,g7f6
r1b1r1k1/q4ppp/1Rp1p3/p1B1N3/3PP3/P4P2/2Q3PP/6K1 w - -,c2a4
2r2k2/1p1R2bp/p7/P4p2/1r2b2B/1N3p1R/1PP3PP/2K5 w - -,h4e7
8/4kppr/2rp4/2q1pP1n/1p2P3/pP1R1B2/P1P1Q3/1K1R4 w - -,f3h5
8/5pk1/4b1pp/p3R3/3pP3/3P1PP1/4BK1P/r7 w - -,f3f4
2k5/pp2n1p1/3p2p1/2pPp1P1/2P1P3/7P/PP4B1/5rK1 w - -,g1f1
1r1r2k1/5pp1/3bq2p/p2pp3/2P2n2/1P1B1P2/P1Q2BPP/1R3R1K w - -,c4d5
r4rk1/1b2bppp/pBqp1n2/4p3/1p2PP2/P1N1Q3/1PP1B1PP/3R1RK1 w - -,a3b4
3r3r/pb1nkp1p/1qp1p1p1/2ppP1P1/2P3N1/1P1PQ1P1/P2B1PK1/4R2R w - -,e3f4
r1bqk2r/b1p2ppp/p1pp1n2/4p3/4P3/2PP1N2/PP3PPP/RNBQ1RK1 w kq -,d1e2
r1r1n1k1/1p3p2/p3pqp1/2Pp3p/PP1P4/1Q4PP/4NPB1/3R2K1 w - -,e2c3
r1b2rk1/p5bp/2p2pp1/3p4/3P1B2/5N2/PP3PPP/R3R1K1 b - -,c8d7
r5k1/pp4pp/2p2p2/8/2R1PP2/PnN1K3/1P4PP/3r4 w - -,c3d1
rnbqk2r/ppp1ppb1/6pp/8/3PP3/2P1B3/P4PPP/R2QKBNR b KQkq -,c7c5
7r/p7/kp6/4Pq1p/2QP1p2/P1P4R/2b4R/7K b - -,a6b7
r2q1rk1/pp2ppbp/2np1np1/6B1/4PP2/1PN5/1PP1B1PP/R2Q1R1K b - -,d8b6
8/p4pp1/r5k1/8/r5Pp/PRRP1PK1/8/8 w - -,g3h4
1r2b2k/1B4pp/p2b1r2/4Np2/3P3q/P2Q1PnP/1P4P1/3RR1K1 w - -,e5c4
r3k2r/bp2q2p/p1b1p3/3pPpp1/8/3BP3/PPQ1NPPP/2R2RK1 w kq -,d3a6
r1bq3r/pppN2pp/2k1Q2n/2b5/4PB2/8/PPP2PPP/RN2K2R b KQ -,c5d6
4nbk1/1b3p2/p1N1p1p1/1p1pP3/1P1N1PP1/P2PB3/5K2/8 w - -,c6a5
4rbk1/1q3pp1/pp1p3p/2rNp3/P1P1P3/1P1Q1P2/6PP/R2R2K1 w - -,b3b4
1rbq1rk1/3nppbp/p2p1npB/1p1P3P/P1p1P3/N1P2P2/1P2B1P1/R1Q1K1NR w KQ -,h5g6
rn1q1rk1/p1p2ppp/bp2p3/3pP3/2PPn3/2PB1N2/P4PPP/R1BQK2R w KQ -,d1c2
8/4K3/3P2b1/2k1p3/1nN1P3/8/4B3/8 b - -,g6e4
r5k1/5p2/p5rp/1p6/2p1Nq2/P1Q2P2/1P3P2/5KR1 b - -,g6g1
r2q1rk1/pbp1nppp/3p1n2/4p3/4P3/R2P1NP1/1PP2PBP/2BQ1RK1 w - -,c1g5
r3kb1r/pp3p1p/1n1p2p1/n7/6b1/N1P2N2/1P3PPP/R1B1KB1R w KQkq -,a3b5
8/8/2b1r3/6B1/6p1/2R2k2/6pK/8 b - -,f3e2
r3k2r/pb1nqpp1/1pp1p2p/3p4/1b1PPNPP/P1NB1P2/1PPQ4/2KR3R b kq -,b4c3
r1b1k1nr/pp3ppp/1qn1p3/3pP3/1b1P4/3B1N2/PP3PPP/RNBQK2R w KQkq -,b1c3
r3k2r/ppqn1ppp/2p2n2/2b1p3/2N1P1b1/5NP1/PPP2PBP/R1B1QRK1 w kq -,b2b4
8/2r5/5p2/1B1pkN1P/P5P1/5K2/2Pb4/8 w - -,b5d3
2b2r1k/3q1p2/n2P2Q1/2p5/3rP3/P7/B5PP/B2R1RK1 w - -,g6h6
r1bq1rk1/ppp2pb1/3p3p/1N1P2p1/4P1n1/3P2B1/PP1QBPPP/R3K2R b KQ -,f7f5
3rr1k1/p4ppp/8/1Q6/P2p4/8/3q1PPP/R1R3K1 w - -,c1d1
r2qkbnr/pp3ppp/8/3pp3/3n4/5B2/PPPP1PPP/RNBQR1K1 b kq -,e5e4
3r1nk1/5rb1/1N1p3p/P1pPp2R/4P3/2B3P1/1P2R1K1/8 w - -,c3d2
4r3/1pp2rkp/p1n2qp1/2PRp3/1P2Q3/4PN1P/1P4P1/3R2K1 w - -,d5d7
8/p7/1p3k2/n1rP2p1/PR1KB1Pp/7P/8/8 w - -,e4f5
5rk1/1b2Np2/1q1n4/1p1Pp2p/2p1P3/2P1N1QP/1PB2PP1/6K1 b - -,g8h7
r1b1k2r/1pqnbpp1/p2ppn1p/8/3NPP2/2N2B2/P1PQ1BPP/1R3RK1 w kq -,g1h1
8/6pk/2R4p/p7/1p4P1/2pK4/r7/8 b - -,a2d2
8/5pk1/4p1p1/7P/R7/5P2/3KP2r/8 b - -,g6h5
2r1r1k1/ppq1ppb1/3p1n1p/2nP1Pp1/3B2P1/2N4P/PPP1Q1B1/2KRR3 w - -,h3h4
