2k5/8/3K4/R2P4/8/8/2r5/8 b - -,c2h2
8/3b2p1/p2kn2p/8/1p1r3P/1PQ2PK1/P5P1/8 w - -,c3e3
7k/R3p3/3p4/2pPn2p/2P4P/1QK5/1P3qP1/8 b - -,f2d4
r3k2r/1pqbbpp1/p2pp3/7n/1n2PP1p/2NBBN1P/PPP2QP1/1K1R3R w kq -,f3h4
6k1/1q1r1pp1/pb2p1p1/3p4/1PrB1P2/P1PQ2P1/7P/2R1R1K1 w - -,d3e3
4r1k1/2q4p/4p1pb/p4p1r/N1P1R3/1P1Q1P1P/P4PK1/3R4 w - f6,e4d4
3r1k2/5pp1/2Q1pn1p/P7/3P4/4P1P1/1q2BP1P/R5K1 w - -,a1e1
1r4k1/2q3pp/1n6/p2P1Q2/P1pP1b2/1pP2P2/1P5P/R3R2K w - -,f5e6
2rr2k1/1b2qp1p/4n1p1/p1pp4/N3n3/QP2PN2/P1R1BPPP/2R3K1 b - -,e7f6
2r1k1nr/1pqbbp1p/p2p2p1/4p3/P1B1P3/1P3N2/2P1QPPP/R1B2RK1 b k -,h7h6
5rk1/2p3b1/2P4B/3pN2R/1p2n3/r2K3P/5p2/5RN1 w - -,d3d4
r1b2rk1/4nppp/p3p3/1p4P1/4P3/P1N5/1PP1BP2/2KR3R w - -,h1h2
8/R4pk1/4pn1p/6p1/8/5B1P/1r3PP1/4K3 w - -,a7a4
1k5r/p4ppp/Pp1qn3/3P4/6Q1/5B1P/5PP1/2R3K1 b - -,d6f4
7b/4k3/6K1/pN1p1P2/P2P4/8/8/8 b - -,h8f6
8/1p3ppk/p1q4p/1bPpQPP1/5N1P/P7/KP6/8 w - -,f4h5
6k1/4p2p/3p4/2pP2p1/1r2P1n1/1PR3P1/7P/6BK w - -,h2h3
8/3k4/1p6/1N3pp1/3P4/5P2/PP1K2n1/8 w - -,b5c3
r3rbk1/1Np1q1pp/pn3n2/5b2/1P1Qp3/P1N1P2P/1BP2PB1/2KR3R b - -,a8b8
5r2/1P4rk/P3q2p/8/2bp1P2/3p1B2/3Q1P1P/2R4K b - -,c4a6
2r2rk1/1bqn1ppp/1p1ppn2/2p5/1PPP4/2Q2NP1/1B2PPBP/2RR2K1 b - -,c7b8
4r1k1/r1qn2pp/1p1R4/1bp1p3/p7/P1B1P1P1/3Q1PBP/3R2K1 b - -,h7h6
r1b3k1/pp4pp/2pb4/8/3PN3/4Br2/PP3P1P/2KR3R b - -,d6e7
r1b1kbr1/pp1npp2/1qp4p/3p2p1/3PNP2/4PNB1/PPP3PP/1R1QKB1R b Kq -,d5e4
1r1q1rk1/3b1p1p/1n2p1p1/2pPP3/1pP3n1/pP1Q2P1/P2NN1BP/1R3RK1 w - -,d5d6
8/5p2/1n1b1k1p/1B2pPp1/4P1P1/5K1P/2PB4/8 b - -,d6c5
3r1r2/pp3pk1/2pn1bpp/3nNq1P/3P4/1B6/PP2QPPB/3RR1K1 w - -,h5g6
8/1pk2r2/2p1R3/p3RP2/P7/1P4K1/2Pr4/8 b - -,b7b6
8/1Q2pk1p/p2p1pp1/3P4/4P1P1/1Pq3P1/4KP2/8 b - -,c3d4
8/7k/6p1/Q7/P2K3P/2P5/8/1q6 b - -,b1g1
r1b1r1k1/4qpb1/pp1p2np/2pPn3/4P3/2N1N1B1/PP2B1PP/R2Q1R1K w - -,a2a4
rq2r1k1/2n2pb1/p2p1np1/2p3B1/2p1P3/P1N2N2/1PQ3PP/1R2R1K1 b - -,b8b3
r2q1rk1/pp3pb1/2p2n1p/4B3/2B3b1/2P3P1/PP1N2QP/R4RK1 w - -,d2e4
r5k1/6bp/5pp1/1QRq1P2/1n3B1P/P2P2P1/7K/5R2 b - -,d5a2
6k1/1b3ppp/p3p3/1pq1P3/4pP2/1BP5/PP2Q1PP/3r1K2 w - -,e2d1
1r4k1/4qp2/1r2p1p1/pBR3RP/4Q3/5P2/K1P5/8 w - -,h5g6
2r3k1/pp1b1ppp/2n5/2rp4/5RP1/P1P1PP2/2K1B2P/4B2R b - -,g7g5
6r1/3q4/5k1p/Pp1p1p2/1PrP4/4P3/5PB1/3QR1K1 w - -,d1h5
8/7B/4p3/p3kp1K/1p4P1/8/P4P2/8 b - g3,a5a4
8/6K1/1R6/5P2/6r1/5k2/8/8 w - -,b6g6
2k5/2P1r3/2R1p3/5p1K/8/6P1/5P2/8 w - -,h5g5
2r3k1/4r1pp/2B1p1n1/1pQ2p2/qPn5/P6P/1B3PP1/3R1RK1 w - -,b2c1
8/5pkp/1p2p3/1N1qP3/5P2/1Q1n2PK/P6P/8 b - -,d3f2
rn2kb1r/pp3pp1/2p1p1bp/3P3N/2B2B1q/8/PPP2PP1/R2QR1K1 b kq -,g6h5
5bk1/5pp1/4p1p1/1P1p4/3P3P/4RPP1/4N3/3qBK2 w - -,f1f2
r1bqk2r/pp2npbp/2n3p1/3p4/3N4/5NP1/PP2PPBP/R1BQK2R w KQkq -,e1g1
r3k3/2Rn1p1p/4p1p1/p2pP3/N2B1PP1/b2b4/2R4P/6K1 w - -,c2c3
2Bq1rk1/p4pb1/1p4pp/5P2/2pP4/2Nn4/PP1Q2PP/3R1RK1 b - -,d8d4
rnb1k2r/3n1ppp/p3p3/1pqpP3/5P2/2NB1N2/PPPQ2PP/R3K2R b KQkq -,b8c6
r2q1rk1/pb3pb1/1pn3pp/1Bp1p2n/4P3/2P2N1P/PP1N1PPB/R2Q1RK1 w - -,b5c6
r6k/pp4pp/3pQ1n1/2pP4/3b1rP1/5Pq1/PP2RNB1/R5K1 w - -,g1f1
6k1/p5p1/7p/8/4p1PP/4NbK1/PP1RrP2/2R5 b - -,e2d2
r6r/pp1n1k2/3bp1pP/3p1p2/3P4/3BBP2/PPP3R1/2K4R w - -,h1g1
1r4kr/p5pp/b3P3/2pp2B1/B1p5/P1P3P1/7P/5RK1 b - -,a6b5
8/p1R2rk1/1p4pp/5q2/4n3/4P3/PP2QPPP/2R3K1 b - -,e4c5
1k1r1b2/pp1q1p1r/6b1/3NP2p/2B2R1P/5QPK/PP6/3R4 w - -,h3h2
r7/pp1P3k/5r1p/1B1R1p2/8/1P5P/P4P2/5K2 b - -,a8d8
r4rk1/p4pp1/2p2n2/2bpq2p/Q5B1/2N1P3/PP3PPP/R1B2RK1 b - -,f6g4
4q1k1/1p3pb1/2p3p1/3B3p/P2P3P/B4QP1/5P2/6K1 b - -,c6d5
1r1r2k1/B1p2ppp/4p3/8/1P1n1P2/2R3P1/P3b1BP/1R4K1 b - -,d4b5
3r1rk1/Qpp3q1/1n2pb1p/5bp1/2PP4/1PN2N2/P1n1B1PP/3R1RBK b - -,g5g4
8/6kp/6p1/4K3/2P5/6P1/5R1P/3r4 w - -,c4c5
7r/3b1k2/1p1p1p2/p1pP2p1/P1P1P2r/1P2BPK1/7R/7R w - -,h2h4
r2q1rk1/pb2bppp/2n1pn2/2p5/Pp2P3/3P1NP1/1P1NQPBP/R1B2RK1 w - -,d2c4
r3kb1r/1b3ppp/pq1pp3/8/P2NnP2/2PN4/1P2Q1PP/R1B2R1K b kq -,f8e7
4k3/2p3r1/1p1p4/3Ppp2/1NP5/R7/5P2/4K3 b - -,g7g4
8/8/5p1p/3k3P/5K2/8/5P2/8 b - -,d5e6
r4rk1/pb2qpb1/npp1p2p/6pP/4N3/2PBPN2/PPQ2PP1/2KR3R w - -,e4d6
r1r3k1/1p2qpp1/3n3p/1P1p1B2/pQ1P4/R3PN2/5PPP/5RK1 b - -,d6f5
2rr4/p4kpp/1p2p3/2b2p2/2P1PP2/P2p1P2/1B5P/2RR1K2 w - -,b2e5
r3k2r/ppqnbp1p/2p1p2p/4P3/2NPb3/5N2/PP2BPPP/R1Q2RK1 b kq -,e8c8
3rr1k1/p5pp/2q2p2/1pPb4/3PpP2/P1Q4P/1B4P1/3RR1K1 w - -,b2c1
r1bqr1k1/ppp1bpp1/4pn1p/3p4/1nPP3B/2N1PN2/PP2BPPP/2RQK2R b K -,f6e4
rr1q1b2/6pk/p2p2pp/1PpNp3/4P3/2PP4/1P3PPP/R2QR1K1 b - -,b8b5
r2qkb1r/1p3pp1/p1npbn2/4pN1p/4P1PP/1BN1B3/PPP2P2/R2QK2R w KQkq -,g4h5
r3k2r/ppQn1ppp/4bq2/2b5/Pn6/4NP2/1P1B2PP/R3KB1R w KQkq -,f1b5
r2qr1k1/p1pn1ppp/2p2b2/2Pp4/3P1B2/2NQ3P/PP3PP1/R3R1K1 b - -,e8e1
r1b1r1k1/p2q1nbp/1p1p1np1/2pPp3/2P1P3/1P3NPP/P1QNB1K1/2BR3R b - -,d7e7
r1b1k2r/pp3ppp/4pn2/2pq4/3P4/P1P2N2/4PPPP/R2QKB1R w KQkq -,e2e3
rnbq1rk1/1pp2p1p/1p1p2p1/7n/3PPp2/8/PPP1B1PP/R1BQNRK1 b - -,h5f6
r1bqkbnr/1p2pp1p/p1p5/2p3p1/4P3/5N1P/PPPP1PP1/RNBQK2R w KQkq -,f3g5
rn1qkb1r/pp2pppp/5n2/3pNb2/8/2N3P1/PP1PPPBP/R1BQK2R b KQkq -,b8c6:e7e6:b8d7
3bnrk1/2r3pp/pp1ppq2/2n1Np2/2P5/1PN1P1PQ/PBR2P1P/3R2K1 w - -,c2d2
1rq1r1k1/p3npbp/b5p1/2P1p3/Q1npP3/BN3NP1/P1P2PBP/R3R1K1 w - -,c5c6
8/5ppk/3r1n2/1RN4p/1P6/6RP/2r3P1/6K1 b - -,c2c1
r1bqk2r/2p1bppp/p2p1n2/1p1Pp3/3NP3/2NB4/PPP2PPP/R1BQR1K1 b kq -,e5d4
8/8/p2K4/1kN5/1Pb1P3/6R1/8/5r2 w - -,e4e5
1B6/1R3pp1/4p1k1/7p/3n2P1/5P2/2r5/5K2 b - -,h5h4
r7/1p2k2n/p2p1np1/P2Pp3/1B4Pb/1P5P/4N1BK/5R2 b - -,a8c8
1rr3k1/1p2pp1p/pnp3p1/6q1/7R/1Q1P1BP1/PPR1PP1P/6K1 b - -,b6d5
r5k1/ppp2q1p/3pR1p1/3P4/3Q1p2/5P2/PPP2P1K/8 w - -,e6f6
r3r1k1/pp1nqppp/2pb1n2/8/N3P3/P4BPP/1PQ2P2/R1BR2K1 b - -,a8d8
r1b2rk1/ppq1bppp/4p3/3n4/3Q4/P5P1/1P2PPBP/RNBR2K1 w - -,e2e4
8/R5p1/P7/k6p/3p2rP/8/3K4/8 b - -,a5b6
2r4r/2kq2p1/p2p1p2/2p2P2/1pPbPBQ1/1P1P4/P3R1K1/7R w - -,h1h8
3b4/2p2pp1/1p2b2p/3kP3/8/4K3/2PN1PPB/8 b - -,b6b5
1k1r4/1p1rqpp1/p1p1pb1p/P7/1P1P4/2PB4/4QPPP/RR4K1 b - -,e6e5
1R6/5pkp/3p2p1/8/3PPb2/2P3BP/1P3PPK/2q5 b - -,h7h5
r2r2k1/1R3p1p/3bpp2/8/p7/5N2/2R2PPP/5BK1 w - -,g2g3
2r1qrk1/4bppp/p4n2/B5N1/2pP2b1/6P1/P1Q2PBP/R4RK1 w - -,a1b1
r2qk2r/pppnbpp1/4P1p1/4P3/6P1/5N1P/PP3P2/R1BQ1RK1 b kq -,f7e6
3k3r/p4pp1/1p4p1/1P1Bn2r/P7/2P2PP1/4R2P/3R1K2 w - -,f3f4
6k1/4p2p/6p1/2R2p2/8/1r2PPP1/5K1P/8 b - -,b3b2
1kbr2r1/ppb2p2/2p2q2/4p2R/2BP4/2N1P3/PPQ2P2/K1BR2n1 w - -,h5h1
8/1b6/p3p1N1/4Pk2/1p1K1N2/8/PPP5/4r3 w - -,d4c5
r2r2k1/4bp1p/4b1p1/p2nP1B1/1pp1N3/7P/PP3PP1/1B1RR1K1 b - -,e7g5
r4r1k/5Bp1/1n5p/p3Nb2/P3n3/2p5/1PP2PPP/R1BR2K1 w - -,b2b3
1nq4k/6p1/1Q5p/3B4/7P/2P3P1/P4P2/6K1 b - -,b8d7
r1bq1rk1/p2p1ppp/5n2/bNnP4/1pB5/4P1N1/1P3PPP/1RBQ1RK1 b - -,d8b6
r1bqr1k1/p4pb1/3p1np1/1ppP3p/4P1P1/7P/PPQ1NPB1/R1B2RK1 w - h6,g4g5
r1bq1rk1/1p2bppp/p2ppn2/8/3NPP2/1PN2Q2/1PP3PP/R1B1R1K1 b - -,d8c7
2r2rk1/p3ppbp/1pn2np1/3pN3/3PqP2/1NP1BQ2/PP4PP/4RRK1 b - -,e4f3
5qk1/7p/3p4/3P4/1PP1pPQ1/8/7P/7K b - -,g8h8
r1bq1rk1/ppp2ppp/6n1/2bP4/2P1N3/P2B4/6PP/R1BQ1R1K b - -,c5d4
2r1kbr1/1b3p2/pqn1p2p/2p1P2Q/2Pp1B2/PP3P2/1NB3P1/R3R1K1 b - -,d4d3
r2q1rk1/pbpnbppp/1p1ppn2/8/2PP4/1PN1PN2/P3BPPP/R1BQ1RK1 w - -,c1b2
4rbk1/p2q1p1p/n1p2p2/2Pr2p1/3P4/1Q2BNP1/P4P1P/1R2R1K1 w - -,b3a4
8/1p4R1/pkp5/8/1P1K2p1/2P5/1P4r1/8 b - -,g4g3
r2b3k/p1p2q2/3p1r1p/2p2R1n/4P1R1/2BQ3P/PPP3P1/6K1 w - -,d3f3
2r2rk1/p3bppp/2p1p3/3n4/2NP4/2P1B3/PP3PPP/R1R3K1 w - -,b2b4
4r1k1/p1p1rpb1/2pp2q1/2n3p1/2P5/5QPP/PPR1P1K1/2B1NR2 b - -,e7e4
r3rbk1/3R1p2/4b1p1/1pp1p2p/4P3/1N3P1P/PPK2NP1/R7 w - -,d7c7
r1bqkb1r/pp2np1p/2n1p1p1/2ppP3/8/5NP1/PPPPQPBP/RNB1K2R w KQkq -,e1g1
rnb2k2/1p3ppp/4p3/1p6/5Q2/1Bq2K2/P4PPP/R6R w - -,f4e3
4r1k1/pp2rpp1/5n2/2qpn3/3N3p/1PP1PP1P/P1bQB1P1/R5KR w - -,d4c2
