8/p7/1P6/2K2k2/r7/8/P3R3/8 b - -,a7b6
1qr2r2/pb2k1Q1/1pnp4/4pP2/2P1P3/1P3B2/P5P1/R4RK1 b - -,f8f7
1q1b2k1/3n1ppp/8/p1Q5/1p2PB2/1P3P2/PN4KP/8 w - -,c5f5
4r1k1/5pp1/3p2bp/p1q1r3/7P/P1NB2P1/1P1Q1P1K/1R1R4 b - -,g6d3
r1bb1rk1/1pq3p1/p1npppQ1/8/4PP2/1PN5/PP1B2BP/R4RK1 w - -,a1c1
3r3r/ppkb1p2/2n1p3/6p1/2P3p1/1N2K2P/PP3PB1/3R2R1 w - -,h3g4
r1bq1rk1/ppp2pbp/4p1p1/4Nn2/2PPp3/Q3P3/PP1BBPPP/R4RK1 w - -,d2b4
8/4r2k/3p2pp/3r4/2R2P2/2P1pNPq/4Qn1P/5RK1 w - -,c4d4
8/6p1/4pp1p/3n4/1kpPp3/4P1PP/1K3P2/N7 b - -,c4c3
1r3rk1/ppNbqpbp/1n1n2p1/3P4/5B2/5NP1/P4PBP/2R1R1K1 w - -,e1e7
8/5k2/p2p2p1/B1pP2P1/2P2P2/3Kn3/P7/8 b - -,e3f5
r3r2k/4qpp1/p1Q2n1p/1pNp1B2/1PnP4/4P1P1/P4PP1/1RR3K1 b - -,e8b8
1r2r1k1/3b1n1p/p2p4/p1pP1p2/P4P2/1PN1P2P/8/1RR2BK1 w - -,g1f2
3q1rk1/3nbppp/2bppn2/2p5/1p2P3/1P1P1NP1/1BPQNPBP/4R1K1 b - -,d8c7
8/4nkp1/1p1p3p/p7/2P2P2/1R6/P7/6K1 b - -,e7c8
r2qr1k1/1p1b1pbp/1n1p1np1/p1pPP3/P4P2/1QN2N1P/1P1BB1P1/R3R1K1 b - -,f6h5
8/b7/P2p4/3P4/3k1p2/5P2/B3K3/8 w - -,e2f2:e2d2
8/p7/5r2/3P4/3K1k2/1P4p1/P2R4/8 w - -,d4c5
r1b1r1k1/ppqn1pbp/2pp1np1/4p3/2PPP3/2N1BNPP/PP3PB1/2RQ1RK1 b - -,a7a6
3r2k1/pp4p1/4R1p1/1NqP1rPp/7P/5n2/PP2QP2/R4K2 w - -,b5c3
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP1B2/2N1P3/PP3PPP/R2QKBNR b KQkq -,c7c6:f8d6
r1b2rk1/1p4b1/3p2pp/p1pPp3/2P1PP1q/1PN2P2/P3B1QK/1R2R3 w - -,h2g1
r2r4/1p2ppkp/2n3p1/2P5/1pR1PN2/P4P2/RP4PP/4K3 b - -,c6d4
8/2Q2qkp/1p2Nnp1/3P1p2/4r3/4P3/6PP/4R1K1 b - -,g7g8
8/5kpp/5p2/3p4/Pn1P4/1PR2K2/1r2N1PP/8 b - -,g7g5
r1r2bk1/1p3q1p/p1b1p1p1/3pP3/3B1PQ1/4P3/PP5P/2RR1BK1 w - -,f1d3
1rr5/pp2kppp/2n1p3/2bp3q/Q2P4/4P1PP/PP1BbPB1/2R1K2R w K -,d4c5
1r6/kPR4p/2p3p1/8/P3P3/3K4/7r/1R6 b - -,h2h5
8/1b1r2p1/pP1k3p/P7/2R2PP1/4K2P/8/8 w - -,f4f5
4r3/2nq2kp/r2pb1p1/2p2p2/2Pp1P2/5B2/1N1QN1PP/R1R3K1 b - -,d7c8
r3kb1r/pp3ppp/nqp1pn2/8/3P4/2NQ3P/PPPB1PP1/2KR1B1R w kq -,a2a3
5k2/p7/4BP1p/P1p1K3/8/6P1/8/1b6 b - -,b1d3
r4rk1/1ppqnpb1/p2p2pp/3Pp3/P3PPb1/2NQB1P1/1PPN3P/R4RK1 w - -,f4e5
8/1R2nk2/1p1r4/7p/7b/7P/8/1B2R2K w - -,e1f1
5rk1/5pb1/b1n3pp/P7/3p4/1Q1NpNP1/6BP/6K1 w - -,f3e1
r4rk1/p4pbp/1ppq1np1/2p1p3/4P3/2NPB2P/PPPQ1PP1/R4RK1 w - -,f2f4
8/r5kp/5pp1/1p6/2n2P2/2B3P1/5K1P/2R5 w - -,c1b1
8/7k/5R1p/P3P1p1/r7/8/1B6/1K6 b - -,a4a5
r2q1rk1/4bppp/1p1p1n2/1QnPp3/p7/1N2BP2/PPP1B1PP/R2R2K1 w - -,b3c5
2r2rk1/1bqnbppp/pp1ppn2/8/2PQP3/1PN2NP1/PB3PBP/2RR2K1 w - -,f3d2
r5k1/bppb1pp1/p2Q3p/P2P4/8/2PB1N1P/1P3PP1/R5K1 b - -,c7d6
rnb1qrk1/ppp3bp/3p1np1/4Pp2/1PP5/2N2NP1/P3PPBP/R1BQ1RK1 b - -,d6e5
5rk1/p4p2/4p1p1/qp2P2p/5P2/1P1Q2P1/7P/3R2K1 b - -,f8c8
r6k/pp4pp/1n6/qB2R2b/3p4/1QP5/PP3r1P/2K1R3 b - -,d4c3
rn2kb1r/pp2pppp/2p2n2/q3Nb2/3P4/2N5/PPPB1PPP/R2QKB1R b KQkq -,b8d7
2r5/4p1kp/pqn2pp1/Rbp5/1p2PP2/7P/Q1PN2P1/3RK3 w - -,a2e6
1nb2rk1/q2p3p/2pbp1p1/rp2P2n/8/P2P2PP/1BP1N1Q1/RN2KB1R b KQ -,d6e7
2b1r1nk/1r1p1p1p/2p1p1p1/p1B1P3/2P2PP1/3B4/PP1R1K1P/4R3 w - -,h2h4
1r3rk1/3bp2p/p2q4/2pP1p2/2Pbp3/N3B2P/PP3QP1/1R3RK1 b - -,d6e5
5rk1/6p1/pPp1R2p/R1p5/8/2P5/1P1r1PPP/5K2 w - -,f2f3
r2q1rk1/pb1nbppp/1p2pn2/2p5/2PP4/1P1B1NN1/PB2QPPP/3R1RK1 b - -,c5d4
r4r1k/p1qb2pp/5p2/1pBPpN2/2p1P1P1/P1Pn1P2/2BQ3P/R4R1K b - -,d3c5
8/8/5pk1/p1K2n2/N1p5/5P2/8/8 w - -,c5c4
5rk1/pp4p1/2p5/3p3p/3Pq3/2P1BnPP/PP3P2/R2Q1K2 w - h6,d1b1
8/8/8/2p2k2/2P5/4P3/4K3/8 w - -,e2f3
rn1qk2r/ppp1ppbp/5np1/3p1b2/3P1B2/2N1PN2/PPPQ1PPP/R3KB1R b KQkq -,e8g8
8/4Nb2/3p1p2/p1kP1P2/Pb2K2p/5B1P/8/8 b - -,b4e1
r1bqr1k1/pp2bp1p/2pn2p1/3p1n2/3P1B2/2PB1NN1/PP1Q1PPP/R3R1K1 b - -,f5g3
1r6/8/5Pp1/7k/8/2K5/8/5R2 w - -,f6f7
8/8/8/3B2k1/4P2p/5K2/3n1N2/8 w - -,f3e2
2rqr1k1/1bpn3p/p4ppb/3Pp3/4P3/2B2NPB/PPQ2P1P/R2R2K1 w - -,c2b3
8/5pk1/p5p1/3Q3p/P7/4P1PP/4q1PK/8 w - -,d5g5
r1bqr1k1/ppp2pp1/5n1p/n2p4/3P4/1QP1PNP1/P4PBP/R1B2RK1 w - -,b3a4
4R3/p4nkp/5r2/5p2/8/PB2p3/KP6/8 w - -,e8e3
r2r2k1/pp1qppbp/n2p2pn/2pPP3/5PP1/2N2N1P/PPP5/R1BQ1RK1 w - -,d1e2
5rk1/1rqb1ppp/p2b4/3pp3/2P1n3/P2BPN2/1NQ2PPP/1R2K2R w K -,e1g1
r3kb1r/pppqpppp/5n2/1N2P3/6b1/8/PPP1BPPP/R1BQK2R b KQkq -,g4e2
5R2/8/8/8/8/5pn1/r5k1/4K3 w - -,f8f7
r3r1k1/p2b1ppp/2pq1n2/3p4/2P5/1P1B1Q1P/P3NPP1/R3R1K1 b - c3,d5d4
4r1k1/2qbrpp1/R1p4p/3p4/3Q4/1PR1PPP1/P4K1P/5B2 b - -,c7d6
r2q1rk1/1b2bppp/p1n1pn2/1p4B1/3P4/P1NQ1N2/1P3PPP/RB2R1K1 b - -,g7g6
1r1q1rk1/5p1n/p1np1b2/8/1Pp5/2N1B2P/BPP3Q1/2KR3R b - -,f6g5
b2r2k1/5p2/1pBPp1p1/pPn5/P2R1B2/5q1P/6N1/6K1 w - -,c6f3
2kr3r/ppqn1pp1/2pbpn1p/5N1P/3P4/5N2/PPPBQPP1/2KR3R w - -,f5d6
r1bq1rk1/pppnppb1/5npp/3p2B1/1P1P4/4PN2/P1PNBPPP/R2QK2R w KQ -,g5h4
5r2/6k1/pp6/3B3p/1P2p1pP/P2nq1P1/6Q1/6RK w - -,d5b7
8/rB3pkp/4b3/pRR2p2/P7/1P5P/2P2PPK/2r5 w - -,f2f3
1r3r1k/2R3n1/6p1/3q2p1/8/P1Q1P1P1/3P1P1P/2R3K1 b - -,f8f7
1r6/R7/4pk2/3b1pNp/P6P/6P1/6P1/6K1 w - -,g5f3
4r3/1p3pkp/r1p1q1p1/p1Rp4/3P4/1P1QP1P1/P4PKP/1R6 b - -,e6e4
6k1/2b4p/p4pp1/P2Pp3/1p2P1P1/1R3K2/2r1R2P/8 b - -,c2e2
1rbr2k1/1pq2pbp/n1pp2p1/p1nPp3/2P1P1P1/2N1BN1P/PPBQ1P2/2KR2R1 w - -,h3h4
2r1rnk1/2q2pb1/1p1np1p1/p2pN3/P2P1PP1/1PPQ4/3BR3/5RKN w - -,h1g3
3r4/4kp1p/p1p3p1/8/1K6/5B2/P4PPP/8 b - -,e7d6
7r/1ppk4/2npp2q/1P2p1rP/p3P1p1/2PPQ3/2KN2P1/R6R b - -,c6e7
2q2r1k/5pp1/1p5p/p3pQ1P/PnBbP3/1P4P1/5PK1/2BR4 w - -,f5c8
4r1k1/1b4pp/p4p2/3p4/q1pB4/2P2P2/PP1Q2PP/3R2K1 w - -,d1a1
r1br2k1/5pbp/p1n1pnp1/q1p1P3/1pP2P2/2NNB3/PP1QB1PP/3R1RK1 w - -,e5f6
r1bqk2r/3nppb1/p2p1np1/1p5p/3NP1PP/2N1BP2/PPPQ4/R3KB1R w KQkq h6,g4g5
r2q1rk1/2pnbppp/p4n2/4p3/Pp6/1Q1P2P1/1P1NPPKP/R1BN1R2 b - -,a6a5
1r4k1/5p1p/3p2n1/3P1p2/2P1pP2/Pp4P1/1R2B2P/7K b - -,g6f8
5k2/1Q6/7p/4P3/5P2/1P6/1KQ2q2/4q3 w - -,b7c8
3Br1k1/3R1ppp/p1r5/4pP2/8/2n3PP/P1P3R1/7K b - -,c3a2
2r2rk1/pp1q1pbp/2n1p1p1/3pP1B1/3P3P/2P2N2/P1Q2PP1/R3R1K1 w - -,c2d2
3r3R/1q3kp1/1p3n2/pPp1pPQ1/2P5/P7/4K3/7R b - -,b7e4
3r1rk1/pp3nbp/4p3/q3P3/4QpP1/7P/PP4K1/R1B1RB2 w - -,c1f4
6k1/p3b1p1/Pr2p3/3p1p1p/1ppPqPrP/2P1P1P1/1P3R1K/R1Q5 b - -,e7d6
1r3r2/pb2q1kp/1p1pPpp1/2p5/1PPnP3/P1NP2PP/1Q4BK/1R3R2 w - -,b4c5
r5k1/2pq1r1p/1p1p2pb/p2Pp3/2P1N3/PP1Q1PP1/2R3KP/5R2 b - -,g8g7
8/8/4N3/p7/P7/1Pk1bp2/8/4K3 w - -,e6c7
6k1/5ppp/pp2p3/6P1/2P5/1P1r1b2/P2P1KPP/R7 w - -,g2f3
r1br2k1/1p2bppp/3ppn2/qN2n3/P3PP2/4BB2/1PP3PP/R2Q1R1K w - -,f4e5
2kr4/p1bb1p2/4p3/1p5p/5p2/NPP2P2/P1Nr2PP/2R1R2K w - -,c2d4
3r2k1/4qp1p/3r3P/5Qp1/8/P1P1PB2/5P2/R3K2R b KQ -,f7f6
8/5k2/pr2q3/3p1PRP/2pP4/4PK2/1PP2B2/8 b - -,e6e4
6k1/pr1bp1qp/1rp2b2/2Rp4/1P1P1Pp1/P2Q2P1/4BB1P/2R3K1 b - -,b6b5
1r1r2k1/p2n1ppp/P3p3/2q1n3/1p3Q2/4PP2/1P2BP1P/R2RB1K1 w - -,a1c1
b2q1rk1/3n1ppp/3p1b2/1BpP4/Q3P3/5N2/3N1PPP/5RK1 b - -,d7b6
4q1k1/pp4pp/4p2r/1P1bNp2/P2PpP2/4P1P1/5P2/2RQ2K1 w - -,c1c7
2R5/p4rpk/r4p1p/4p3/1P6/P1R4P/5PP1/6K1 w - -,g1f1
r1b1k2r/pp2pp1p/1n4p1/1N2b3/8/1B6/PP3PPP/R1B1R1K1 b kq -,e5b8
r4rk1/1p2ppbp/pqnpbnp1/8/2P2B2/1NN3P1/PP2PPBP/2RQ1RK1 w - -,c3d5
r1bq1rk1/pp1nbppp/2p1pn2/3p4/2PP4/2N1PN2/PPQ1BPPP/R1B2RK1 b - -,d5c4
rn2k1nr/pp3ppp/2pbpq2/7N/3P3P/8/PPP2PP1/R1BQKB1R b KQkq -,f6g6
2kr4/pb1nqp2/2pppb2/6B1/4P3/2N3Q1/PPP2P2/2KR1B2 w - -,g5f4
4rbk1/1p2qp2/2pp2p1/p3r2p/2P4P/PP3QP1/3R2BK/3R4 w - -,d1f1
5r2/p5pk/4R3/2pP1N2/2n2R2/P7/6KP/1r6 b - -,b1b2
8/R6p/6k1/1r6/4P3/5P2/5K2/8 b - e3,h7h5
r2q1rk1/ppp2ppp/3p1b2/3B4/4PP2/8/PPPQ2PP/2KR3R w - -,g2g4
r3kb1r/pp3ppp/2p1b3/P2pP3/1q6/6Q1/1PP2PPP/RNBR2K1 w kq -,b1c3
2k2b1r/p1p1pppp/1q3n2/1Qp5/1r6/2N1BP2/PPP2P1P/R3K2R w KQ -,b5c5
r5k1/p2b2pp/1pp1p2r/3pPP2/2P1p2q/1Q2P2P/PP2N1P1/2R2RK1 b - -,h4e7
r1b2k1r/4qpp1/4pn2/p1p4p/3pP2P/3B2Q1/PPP1NPP1/2KRR3 w - -,c2c3
r5kr/1p4p1/p1pBqn1p/8/4P1b1/1PN5/1PPQ2PP/R4RK1 w - -,e4e5
1r2r1k1/p2p4/2q3p1/8/P7/3pPnPp/1P3R1P/R1BQ3K b - -,d3d2
8/6k1/8/4b3/1P3N1P/5RP1/2K5/r7 w - -,c2b3
2r1rbk1/5qpp/1p2p3/1Pnp4/1B1N2Q1/4P1P1/2R2P1P/2R3K1 w - -,c2a2
5k2/4bp1p/q3p1p1/rp1pP3/3P4/1QP3P1/4NP1P/1R3K2 w - -,b3c2
2kr3r/1ppb2b1/p1n5/4ppBp/7P/1B3PN1/PPP3P1/2KR3R b - -,d8f8
r2q1rk1/1p1nb1pp/n2p4/3Ppp2/Q1P5/P3BB2/1P3PPP/RN3RK1 b - -,e5e4
1r3r1k/5p1p/5Pp1/8/P2RP3/1p4N1/1B3q1P/K1Q5 w - -,d4d2
8/1p6/4n3/2PK1k2/8/6P1/5NP1/8 w - -,g3g4
2b1r1k1/r4pbp/1ppqn1p1/4p3/P5P1/2BPPN2/2R2PBP/2Q2RK1 b - -,a7a4
3r2k1/5pb1/p5p1/2pP3n/3n3q/2N3Bb/1P3PP1/R2QRBK1 b - -,h5g3
2bnq2k/1pp3p1/p2p1r1p/P3p3/1PB1P2P/2P1QPP1/5RNK/8 w - -,g3g4
8/5N2/4p3/R6K/p1rn1k2/8/8/8 b - -,d4b3
8/3k2p1/2p2pp1/2P1p3/1PKn3P/2N3P1/5P2/8 w - -,c3e4:b4b5
r1bq1rk1/5ppp/2np1b2/1p1Np3/4P3/N7/PP2BPPP/R2QK2R b KQ -,c6d4
5rk1/ppp3pp/1b1p4/3P4/2P1r3/3nB3/P1R2PPP/1R1N1K2 w - -,f1g1
2bq1rk1/1pp1bpp1/r1n2n1p/p7/2Pp4/1P1P1NP1/P1N2PBP/R1BQ1RK1 w - -,c1b2
6k1/1N5p/n5p1/8/P2p4/1P5r/4K3/2R5 w - -,b7a5
3Qb1k1/6pp/2p1N3/4qP2/7K/7B/6P1/7r b - -,e5f6
r2q1r1k/p2b2bB/2pp4/1p1P1nNn/2P2P2/8/PPQB2PP/4RR1K w - -,h7g6
r4rk1/pp1nqpp1/2p3bp/6P1/3Pp2P/4P3/PPQNBP2/R3K2R b KQ -,h6g5
1n4r1/3p1kpp/p1rPp3/1bp1PpR1/N1B2P1P/PP2KP2/8/6R1 b - -,g7g6
rr3k2/2nnpp1p/p2p2p1/1PpP4/4PB2/1RP4P/2P1BPP1/1R4K1 b - -,a6b5
3r4/Qp3kp1/2p1pn1p/3q3P/1B6/P7/1PP2P2/1K2R3 w - -,a7b7
r2qr1k1/1b1nbppp/1pp1p3/p7/2PPQ3/1P1B1N2/PB3PPP/3R1RK1 b - -,d7f8
8/8/5R2/5p2/8/2K2kr1/8/8 w - -,c3d2
r1brn1k1/ppq4p/3p1pnB/2pPpN1P/2P1P3/2PB1P2/P2Q2P1/R4RK1 b - -,c8f5
r1b2rk1/p3q1bp/1p2p1p1/2ppP3/2P2P2/3B4/PP1NQ1PP/R4RK1 b - -,c8b7
5k2/1pp3np/p2p4/3Pp3/2P1Q3/5R2/PP2KP1q/6q1 b - -,f8g8
8/3r4/Pk4p1/5p2/3K1P1p/7P/R4P2/8 w - -,d4e5
8/1k6/2p4R/2P5/PP6/5r2/1BK5/8 b - a3,f3g3
8/8/8/8/4Bp2/4n1k1/2pK4/8 b - -,g3f2
rnbqkb1r/pp1p1ppp/4pn2/2p5/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq d3,c5d4
2r5/pp1kbp1p/1n2p3/3pP3/3P4/5PN1/PPr2P1P/R1B1R1K1 w - -,f3f4
8/4k2p/1p4p1/2b1K3/3r1PPP/8/8/R7 b - -,d4d7
2rq1rk1/p2n1ppb/2p1pb1p/2pp4/2P1PP2/1P1P1NP1/PB2Q1BP/R4RK1 w - -,e4e5
r1bq1rk1/p2n2bp/1p1p1ppn/2pPp3/1PP1P2B/P1NB1N2/3Q1PPP/R3K2R w KQ -,f3e5
8/3k1n2/pp6/2p1p1R1/P1b1P3/2P2K2/8/8 w - -,g5g6
8/8/5k2/4pp1p/1bB3p1/6P1/1B3K2/8 b - -,b4d6
5k2/5p2/4p1pn/4P2p/5P1P/R5P1/6K1/8 w - -,g2f3
6k1/2p1qnb1/2Pp1n2/3Pp1pp/4Pp2/2N2P2/4QBPP/N5K1 b - -,g5g4
8/3n1p1p/6p1/p1k5/1p2K3/1P3P1P/P1N3P1/8 w - -,g2g4
r2q1rk1/pppb1pp1/2np1n1p/2b1p3/4P3/1BPP1N1P/PP3PP1/RNBQ1RK1 w - -,f1e1
8/6k1/8/4R2p/5P1K/1r4P1/8/8 b - -,g7g6
r4rk1/7p/2ppp3/p1b1pp2/Pp2P3/2PPN2P/1P2KPP1/R6R b - -,a8b8
6k1/7p/p3p1p1/2P1Bp2/1P3P1P/3KR3/8/5q2 w - -,d3c2
r7/3n4/8/1P2Bk2/2R2Pp1/3rpK2/P3R3/8 w - -,f3g3
r5k1/qp3ppb/2p1pn1p/2b1N3/4P3/P2r2P1/1BP1QPBP/R5K1 w - -,c2d3
5k2/pR5p/p1p3p1/8/P7/1Pn4P/5P2/6K1 b - a3,c3d5
3n1r1r/p1pbq1k1/1p1p3p/4ppp1/2PPP3/2P2BP1/P1QN1PP1/4R1KR b - -,f5f4
8/7k/pq2b2n/np2p3/1Bp1Pppb/1PP2P2/P1BNQ1P1/3N1K2 w - -,b4a5
5k2/8/8/2K5/3Q4/2P5/8/6q1 b - -,g1g5
1r1nn1k1/1rpq1pbp/p2pp1p1/3PP3/2PB1P2/3N2P1/P2QN2P/2R2RK1 w - -,d4a1
rnbqkb1r/ppp1pppp/3n4/3p4/3P3B/2N2P2/PPP1P1PP/R2QKBNR b KQkq -,d6f5:c7c6
2rqrbk1/1b3ppp/ppnpp1n1/2p4N/4P3/1PPP1N2/P3QPPP/2BRRBK1 b - -,b6b5
r2qr1k1/pb2bppp/1p1p1n2/4nN2/3NP3/8/PP3PPP/RBBQR1K1 w - -,c1g5
r1bq1r1k/bpp2ppp/p1np3n/4p3/4P3/1BPP1N1P/PP1NRPP1/R1BQ2K1 w - -,d2f1
r4nk1/3q1r1p/p2bp3/1p1p2p1/2pPPp2/P1P2P1P/1PQNRBP1/4R1K1 w - -,d2f1
8/5p2/3kb2p/3p2bP/1R4P1/2P2K2/8/8 b - -,d6c5
r7/1p2rk2/p4bp1/5p1p/P2Nn3/2P1B2R/1P4PP/3R2K1 w - -,d4b3
r3k2r/ppp1q1p1/3bpn2/5p2/2NPpPp1/1P2P1P1/PBP1Q2P/1K1R3R b kq -,e8c8
2rq1rk1/1p1bppb1/3p2pp/p1nP3n/4P3/1N3NB1/PPQ1BPPP/R4RK1 w - -,b3c5
1r2r1k1/p2n1p1p/5p2/7P/3PN3/2pQ4/Pq3PP1/R3R1K1 b - -,c3c2
1r2b2k/1B4pp/p4r2/5p1n/2NP1b1q/PP1Q1P1P/6P1/3RR1K1 w - -,d3e2
4b1k1/p1q4p/1p1np1pb/3p1p2/P2P2P1/1P1NPP2/3BB2P/3Q2K1 w - f6,d3e5
3R4/2p2k2/3b2p1/6P1/3B4/8/2b2P2/5K2 w - -,f1e2
r3r1k1/1pq1ppb1/pn2P1pp/8/7B/1QN5/PP3PPP/3R1RK1 b - -,f7f6
2r2rk1/1pq1bp1p/p3p1p1/3B3n/P7/4BP2/1PPNQ1PP/R2R2K1 b - -,e6d5
8/8/8/8/4K2Q/8/6p1/5k2 w - -,h4f4
2q1k2r/4np2/rnpBpbp1/p2p2Np/P2PP2P/2PQNP2/6P1/1R2K2R b Kk -,b6d7
r1bq1rk1/1pp1b1pp/3pp3/p4p2/1nPPN3/5NP1/PPQ1PPBP/R1B1R1K1 w - -,c2b1
r1b2rk1/pp2ppbp/2np1np1/7q/2P1PP2/2NBBN2/PP2Q1PP/R3K2R w KQ -,h2h3
3k4/3np1N1/4p3/2n3N1/rp6/6PP/3R1PK1/8 b - -,b4b3
1rnR4/2r2pbk/Qpq3pp/2P1p3/4P2P/2P1B1P1/5PB1/R5K1 w - -,c5b6
r1bqkb1r/1pp3pp/2n2n2/p2ppp2/8/P2PP1P1/1PPNNPBP/R1BQK2R b KQkq -,f8e7
3bn2r/1p6/4kp2/1p1p2p1/3P2N1/P1B2RP1/1P5P/4r1K1 w - -,c3e1
3r2k1/1R6/2R5/6pp/2B2b2/4p3/6K1/8 b - -,g8f8
r4rk1/pp2ppbp/n2p2p1/q1pP4/2P1b3/P4NP1/1P2PPBP/R1BQ1RK1 w - -,d1b3
6k1/1p1q2r1/4rp1b/1bPp4/p2PN3/2R1PPPp/Q4K1B/4R3 w - -,e4d6
5k2/6p1/5pKP/8/3n1P2/1p1B2P1/8/8 b - -,g7h6
8/8/4r1p1/pp1k1p1p/2pP1P2/P1K2P1b/1PB4P/6R1 w - -,c2d1
2r3k1/p4p2/B2npp1p/2p5/8/P3PP2/1PR2P1P/2K5 b - -,c8c6
5r1k/7p/2b2qr1/p3p3/Pp2Ppn1/1B1N1N2/1PP3P1/2K3QR w - -,g1c5
r1b1k2r/3qbppp/pp2p3/n1p5/P3NP2/2nP4/BPP3PP/R1BQ1RK1 w kq -,e4c3
1rb2rk1/p2n1ppp/8/1pbPp1q1/3p1P2/1P4P1/PBN1P1BP/R2Q1R1K b - f3,g5h5
8/6k1/8/1B4p1/3P2p1/p1P1n3/2K5/8 w - -,c2b3
rnbqk2r/p1p1bppp/1p2pn2/3p4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,e8g8
3r2k1/5ppb/2nPp2p/p1PqB3/1r6/R4N1P/1P2QPP1/2R3K1 b - -,h7e4
8/1k6/1r2p2R/4P3/1p6/1K6/8/8 b - -,b7a6
5rk1/1pb1q3/2b3Pp/3pBp2/p2P1P2/P3QB2/1P2P1K1/2R5 b - -,f8f6
2q2k2/7p/p2p1B2/8/1R3P2/5bPP/6B1/7K w - -,b4b6
3r4/Qp4p1/2p3kp/6N1/4n3/3p4/PP4PP/5K2 b - -,d3d2
6k1/1N1r1p2/1p4pp/8/8/2RP2P1/1P1n2BP/7K b - -,d7e7
r3r1k1/2qnbppp/b1n1p3/ppppP3/5B2/2PP1NP1/PP2QPBP/R3RNK1 w - -,f1e3
8/5k2/1BN1p2p/P7/r3PPK1/8/3b3P/8 w - -,g4f3
1r4k1/6bp/4q3/3pp3/1p2n1P1/7P/Q6B/1R1R3K w - -,d1d5
6n1/p4kp1/2n4p/2p3P1/2P2P2/3R3P/2r2P2/4R1K1 w - -,g5g6
2r2rk1/ppqnb1p1/2p1p1bp/5p2/1P1PP3/2QNBPP1/P5BP/R2R2K1 w - f6,e3f4
2R5/5R1p/4p1pk/b3r1N1/7P/6P1/5K2/8 b - -,a5b6
rq2kb1r/3n1ppp/p7/1ppR4/8/4PN2/PP2QPPP/R1B3K1 b kq -,f8e7
r3r1k1/1Qp2ppp/p3p3/8/n2q4/B5P1/5P1P/2R1R1K1 w - -,c1c7
3r2k1/2rn1ppp/Qbp1p3/1p2P2q/4P3/PP3N2/1B3PPP/3R1RK1 b - -,d8b8
4bk2/1B4pp/1r3p2/1p2n3/1R6/2N3PP/PP2PK2/8 w - -,b7g2
1r2qrk1/ppnbp1bp/2pp1np1/5p2/1PPP4/P4NP1/1BQNPPBP/2R2RK1 b - -,g8h8
5rk1/pR3ppp/4p3/8/P1rb4/5PP1/R4BKP/8 b - -,d4f2
8/8/3k3r/2r1p3/2P1R2p/2K5/2P1B2P/8 w - -,e4e3
2k5/p6r/bpp1r3/3pNp1p/3P1Pp1/BP2K1P1/P1P3P1/7R w - -,a3f8
4B3/R4p2/1K1p1kp1/3P3p/5r2/8/2b5/8 b - -,f6g7
5rk1/3n1ppp/pn1Rp3/1p6/1P1N4/P5P1/4PPBP/6K1 b - -,f8c8
r3r1k1/pp1q1pbp/6p1/3p1n2/3N4/1P2BPPP/P4PK1/R2QR3 w - -,d1d3
3r1r2/pp4k1/4ppb1/1PPn2qp/8/2Q2BB1/3R2PP/3R2K1 w - -,f3d5
