8/7r/8/3R4/3K1kP1/7P/8/8 w - -,d5f5
1rn2rk1/2pnqpbp/pp1pp1p1/4P1N1/2PP1P2/2N1B1P1/PPQ3bP/3R1RK1 w - -,c2g2
2r2rk1/pp1bppbp/2nq2p1/2p5/8/P2PBNP1/1P1QPPBP/1R3RK1 b - -,c6d4
r3r1k1/5ppp/p1p2b2/q1B1nP2/N1PpQ3/1P6/P4PPP/3RR1K1 w - -,g1f1
1r2n1k1/4qpbp/pr1p2p1/R1pP4/2B2P2/1PPQ3P/3B2P1/R5K1 b - -,e8c7
2rr2k1/1pp1qppp/p1nbp3/3n4/2NP4/1P2PN1P/PB2QPP1/2R2RK1 b - -,f7f5
r3r1k1/pb1nqppp/1ppbp3/8/2PPQ3/1P3NP1/PB3PBP/R3R1K1 b - -,a8b8
3qkb1r/1p1n1pp1/p1r1p1p1/3p2P1/3P3P/2NQ4/PPP2P2/R1B2K1R b k -,d7b6
2r2bk1/6p1/5p1p/1p6/3pPP2/Pn1P4/1B2K2P/1R2N3 b - -,f8d6
r4rk1/pb3p1p/1p1QnR2/2p5/2P1P3/1B2B2P/P5P1/5RK1 b - -,b7e4
r1r3k1/1p2pp1p/3pb1p1/q7/2PBP3/1PR2P2/5QPP/R4BK1 b - -,a5a1
4R1k1/6pp/pp2r3/8/1bP5/1P4B1/P5PP/3R2K1 b - -,e6e8
8/6k1/1p2p3/3pn3/1P4q1/PN6/5pRr/R4K2 w - -,g2g4
3b1n2/3k1p1p/4pP2/r3P3/p1RP4/Pn6/1P3B1P/3R2K1 w - -,g1g2
r3r1k1/2q2pp1/5b1p/3Q1B1P/7P/5P2/PPP5/1K1R2R1 b - -,a8b8
r4rk1/npqn1pp1/p1p1p2p/P2pPb2/3P4/1N3N1P/1PP1BPP1/R2QR1K1 b - -,c6c5
r1bq1rk1/ppp1p1bp/2np1np1/5p2/2P5/2NP1NP1/PP2PPBP/1RBQ1RK1 b - -,a7a5
r1bq2k1/pp2brpp/1n2pp2/3pP3/1n1P1P2/4BNP1/PP2N1KP/RB1Q1R2 w - -,b2b3
3r4/p2qn1k1/1p1nr1p1/4PpP1/P1Np1Pb1/3P3p/2P2Q1K/R3R2B w - -,e5d6
2r3r1/ppp1kp2/4pb2/2n4p/7P/2P2PB1/PP2BK2/3R3R w - -,d1d2
r4k2/ppp2np1/3p4/5R2/4QPqr/2P5/PPP5/2K1R3 w - -,e4e7
r1nq1rk1/pp2bppp/2n1p3/2Pp3b/3P4/PPN1BN1P/4BPP1/R2Q1RK1 b - -,h5f3
r1bqkb1r/pp3ppp/2n1pn2/3p4/3P1P2/1QNBPN2/PP4PP/R1B1K2R b KQkq -,f8e7
2q3k1/2p3bp/r3b1p1/2B5/2p1B2P/4Q1P1/P3P3/5RK1 b - h3,h7h6
rnb3k1/pp2qpbp/3p1np1/2pP4/2P5/2NBPN1P/PP4P1/R2QK2R w KQ -,d1e2
3r2k1/4q1p1/4r2p/p7/6R1/1P1QP3/P4P2/5RK1 w - -,d3c4
r2q1rk1/1b1nbppp/pp2pn2/3p4/3P1B2/2N2NP1/PPQ1PPBP/R2R2K1 w - -,f3e5
r2qk1nr/5pbp/p5p1/1p1b1P2/3pP3/8/PP4PP/RNBQ1RK1 w kq -,e4d5
2rq1rk1/1p1b1pbp/p2ppnp1/P4P2/2nBP2Q/1NN5/2P1B1PP/R4R1K w - -,g2g4
6k1/1b1rpp1p/p5p1/4q3/8/1P2BP2/P4QPP/4R1K1 w - -,e3h6
r4rk1/p2ppp1p/b5p1/n1p1P3/2P5/5N2/P1P2PPP/2KR1B1R b - -,f8d8
rnbq1rk1/pp3ppp/4pn2/2pp4/1bPP4/2N1PN2/PP1B1PPP/R2QKB1R w KQ c6,f1d3:c4d5:a2a3
3r4/p4p1k/3rpp1p/1p6/3P1P2/P2RK2P/1P4P1/2R5 b - -,h7g6
1q4k1/p3pr1p/3pNnp1/2pP4/5Q2/2P3P1/P1R1PPBP/6K1 b - -,f6g4
r5k1/2N3bp/1p4p1/4p3/1p1p4/1P1P4/2P2PPP/6K1 w - -,c7a8
8/1q1rpk1p/5rp1/pppPRP2/4Q3/2P3P1/P6P/4R1K1 w - -,e4h4
3rkn1r/1pq1b1p1/p1p2n2/2P1p1p1/NP2p3/5PP1/P1QBB2P/3R1RK1 w k -,d2g5
r2bk2r/3q1p2/1np1p1p1/1p1pP2p/pP1P1P1P/P1P3PB/3Q1B2/R3R1K1 w kq -,d2c2
r2q1rk1/pppnppbp/3p2p1/7n/3PP3/1P1B1b1P/PBPN1PP1/R2QK2R w KQ -,d1f3
1r3rk1/1pp2pp1/p1npqn1p/4p3/4P3/2PPRNNP/PPQ2PP1/R5K1 b - -,c6e7
6k1/6p1/b1Bbp2p/Pp2p2P/1P6/2B2KP1/8/8 b - -,g8f7
2rqk2r/1b1nppbp/p2pP1p1/P2n4/1P1p1P2/3B1N2/1P2N1PP/R1BQ1RK1 b k -,f7e6
r1b1rn2/pp1k3B/4pqp1/3pP2Q/P4b2/BP3N2/2P2PPP/R3K2R w KQ -,e5f6
8/1p3pk1/2n1b1p1/pR1N4/2P1P3/4KB1r/P7/8 w - -,d5f4
8/5pk1/6p1/1P2Qn2/7p/2P3r1/8/1K6 b - -,g7h7
rnb2rk1/pp3pbp/2pq2p1/3p4/1P1P4/1QN1PN2/P4PPP/R3KB1R w KQ -,f1e2
r1bqkbnr/pp1ppp1p/2n3p1/2p5/8/3P1NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
4r1k1/1p1n1ppp/pq2b3/3B4/8/P3P2P/1P1QNPP1/2r1R1K1 w - -,e1c1
1r6/8/1p1Nnn2/p2p2pk/P2P4/3BP3/5P2/1R5K w - -,h1g2
rnbqk1nr/ppppppbp/6p1/6B1/3P4/2P5/PP2PPPP/RN1QKBNR b KQkq -,c7c6:c7c5:b7b6
5k2/3Q3p/4p3/pp1p2P1/3P1q2/8/6P1/6K1 w - -,d7d8
r1bqkbnr/ppp2ppp/2np4/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq -,f1g2
rnbqr1k1/pp2ppbp/2p2np1/P2p4/3P4/5NP1/1PP1PPBP/RNBQ1RK1 w - -,c2c4
8/p4p1k/1p1Pb1pP/4q3/1P6/4B3/3Q1K2/8 w - -,d2d3
3kr3/ppp1r1p1/2n4p/8/3p4/1Q3NP1/PPP2P1P/6K1 b - -,d8c8
2kr1b1r/ppp1pppp/1q6/3P1b2/2Pn4/5N1P/PP1NBPP1/R2Q1RK1 w - -,d2b3
r5k1/3P1pp1/4n2p/8/1p6/P3BP2/8/3R1K2 w - -,a3b4
7r/7p/2b5/pp1pk3/5N2/1R2nB1P/P5P1/4K3 w - -,b3e3
r4rk1/pp3pp1/3b3p/2pP1b2/1n6/2N2N2/PP1RBPPP/5RK1 w - -,a2a3
r7/3P4/8/2p1kn1p/1pB1p1pP/1P6/P4RK1/8 b - -,a8d8
r3nrn1/pb2q1bk/1p1p1pp1/2pPpPBp/4P1N1/P1PB1RNP/1P1Q2P1/R5K1 w - -,f5g6
b7/p2nk3/2p1Npp1/4b2p/2P2B2/1P1K2PB/P6P/8 w - -,f4e3
2rqr1k1/1ppb2bp/p2nN1p1/P1QP1p2/4p3/BP2P1P1/5PBP/2RR2K1 b - -,d7e6
8/8/8/6B1/p1p1k1p1/1bP1P3/1K6/8 w - -,g5f4
8/3k3p/2n2b2/1N1p1p2/1P6/P1BK3P/8/8 b - -,f6g5
6rk/1Rqp3n/p3p2p/2p5/4P2Q/P7/2P1N3/4R2K b - -,c7b7
r3rbk1/1bq2ppp/p3nn2/1p2p3/4P3/1Bp2PN1/PP1BQNPP/R4R1K w - -,d2c3
r1bq1r1k/ppp1n1bp/3p2p1/2PPp3/PPB1pn2/R1N2N2/5PPP/2BQ1RK1 w - -,c3e4
1R6/8/5p2/3pk2p/3r4/5KPP/8/8 b - -,d4d3
8/1pr3k1/4qp2/6pP/P2R2P1/3Q4/5P2/6K1 b - -,c7c1
r4r1k/2q1bppp/p2pp3/1p2P3/3NbP2/P1P1B1Q1/1P4PP/4RRK1 b - -,a8d8
rn1qkb1r/1p2pppp/p4nb1/3p4/3P1B2/2NBP3/PP3PPP/R2QK1NR w KQkq -,g1f3
rr4k1/1bpn1ppp/1p1p4/p2Pp1q1/1PP1P3/P2Q2P1/3N1PBP/R3R1K1 w - -,g2h3
r1bqk2r/pp2bppp/2n1pn2/2Pp4/3P4/P1N2N2/1P3PPP/R1BQKB1R b KQkq -,f6e4
8/1p4p1/3k1p1p/r7/pNnP2P1/P1P3K1/7P/4R3 w - -,b4d3
r4rk1/1b2bppp/pqnppn2/1pp5/2P1PP2/1PNPB1PP/P3N1B1/R2Q1RK1 w - -,g3g4
r5k1/1p3ppp/pq3n2/1b1p1P2/3P4/PQBBr3/1P4PP/2R2R1K w - -,d3b5
8/3R4/4pk2/2P1p1p1/1n2P1Pp/5P1P/2r1BK2/8 w - -,d7c7
4r2r/2k3pp/Q1p5/R7/5q2/bPN5/P4PbP/1K1R4 w - -,a5a3
2r1q2k/3n2bp/1p2p1p1/8/P2NpP2/1N2Q2P/5PP1/5RK1 b - -,d7c5
5k2/7K/7P/8/1R6/8/8/6r1 b - -,f8f7
q5k1/5p1p/2Q3p1/3P4/3bPP2/1P5n/6PP/5R1K b - -,h3f2
r2q1rk1/pp2bppp/2p2n2/2npp3/2P5/3P1BPP/PPQNPP2/R1B2RK1 w - -,f3g2
rn1q1rk1/pp3ppp/2p1pn2/8/P1BP2b1/2b1PN2/1P2QPPP/R1BR2K1 w - -,b2c3
8/1P6/P1k5/3pb3/7p/7K/5B2/8 w - -,h3h4
bqr5/3n1kp1/pb1p1n2/1p1NpP2/2P5/4B2B/PP2Q3/2R1R1K1 b - -,b5c4
8/2pk2p1/2rp1n1p/p7/1P1P4/1bN2P1P/1P1R2P1/4N1K1 b - -,a5b4
6k1/1p1rrp1q/2p1p2R/p1P1P1pQ/PnBP3P/8/1P3RPK/8 b - -,h7g7
8/R6p/3p1r2/2pk2p1/8/2P3KP/8/8 w - -,a7h7
r4rk1/1b2qppp/p1pbpn2/1p6/2PP3Q/1P1B1N2/PB3PPP/R4RK1 b - -,d6a3
r1r3k1/p2q1ppp/1pn1pb2/3p4/Q2P4/2N1PNP1/PP3P1P/R1R2K2 b - -,a7a6
4rrk1/p4ppp/5n2/1Rp5/2P5/5P1P/P1B2P2/3R2K1 b - -,e8e5
r3k2r/pp1nbppp/2p1pn2/q7/2PP4/1P1B1QN1/P4PPP/R1B2RK1 w kq -,f3e2
r2q1rk1/1p3p1n/p2p2p1/1N2b1Pp/2B1P1bP/2N1Q3/PPP5/2K2R1R w - -,b5d4
