6r1/5R2/8/8/5p1K/5k2/8/8 w - -,f7h7
r2r2k1/p2npp2/2p3pp/1p6/3bP3/PP2BP1N/1nq3PP/1R2QR1K w - -,e3d4
1rbq1rk1/ppn3bp/3pp1p1/2p2p2/2PnPP2/2NPB1PP/PP1Q2BK/R4RN1 b - -,b7b5
1rb2rk1/p2pb1pp/1qn1p3/3nPp2/8/2P2NP1/PP2QPBP/RNB1K2R w KQ -,e1g1
r1br2k1/2p1qpbp/p4np1/1p2p3/PP2P3/2P1B3/2B1QPPP/RN3RK1 b - a3,c8b7
r4rk1/pp2bpp1/2p1pn1p/q3Bb2/2BP4/2N4P/PPP1QPP1/R4RK1 w - -,c4b3
r4r2/pR1bppkp/6p1/2n5/8/5NP1/q2PPPBP/3Q1RK1 w - -,b7b1
r1b1kb1r/1p3ppp/p1n1pn2/2P5/2p2B2/4PN2/PP2BPPP/RN1R2K1 b kq -,f6d5
r1bqkb1r/1p1n1ppp/p1p1pn2/8/2BP4/2N1PN2/PP3PPP/R1BQK2R w KQkq -,e3e4:a2a4
r2qk2r/pbpnbppp/1p1ppn2/8/3PPB2/3B1N1P/PPPN1PP1/R2QK2R b KQkq -,h7h6
3k4/p5pp/2p1Np2/4p3/8/6Pn/PPP2P1P/2K5 b - -,d8d7
rnb2rk1/pp4p1/2pb1q1p/3p1p2/3P4/2N1PNP1/PP3PBP/R2QK2R w KQ -,a2a3
rnbqk2r/pp3ppp/2pb1n2/3pp3/8/3P1NP1/PPPNPPBP/R1BQ1RK1 b kq -,e8g8
r2qr1k1/1p1nbpp1/2p1pn1p/8/p1PP3P/1P3NN1/PBQ2PP1/3RR1K1 b - -,a4b3
r1bq2nk/1pp1b1pp/p1np4/P3pr2/2B5/1QPP1N2/1P1N1PPP/R1B1R1K1 b - -,f5f8
8/8/1nN5/2p5/8/1k6/7K/8 w - -,h2g3
8/8/3k4/2n5/1r2P3/1pK3P1/1R4P1/2N5 b - -,b4e4
r2q1rk1/3nbpp1/1pp1p2p/p2nP3/3P4/3Q1NP1/PP1N1P1P/R1BR2K1 w - -,d2e4
2N5/p6b/1p1Bkp1P/r7/8/6K1/P2R4/8 w - -,d6f4
8/2p5/1p1p4/p2Pn1kp/P1P5/1PK1R1P1/8/5Nr1 w - -,f1d2
8/4r1kp/4p1n1/p2pq1p1/Q7/1R2P1P1/P1r3BP/5R1K b - -,c2e2
4R3/1r4kp/4p1p1/2B2p2/1P6/2b1P1P1/5P1P/6K1 b - -,g7f7
r1bqrbk1/1ppn1ppp/3p1n2/p7/2PNP3/PP6/1BQNBPPP/R3R1K1 b - -,c7c6
r4r1k/6p1/1pPp4/p2QpP2/1P1p4/P6q/7P/R3R2K w - -,c6c7
r1bqkbnr/1p1p1ppp/p3p3/2p5/2B1P3/2NP4/PPP1QPPP/R1B1K2R b KQkq -,b7b5
2rr2k1/1q2b1pp/p3pn2/1p2N3/n2P4/4B1N1/1P2Q1PP/2R2R1K w - -,g3h5
2bqk2r/2p2n1p/5pp1/1QnPp3/8/2NB1N2/5PPP/4R1K1 b kq -,c5d7
1r1r2k1/4bpp1/2p2n1p/p3p3/P2PP1P1/pP1R1P2/4K2P/RN2N3 w - -,d4e5
rr4k1/1p3pp1/pQp1b2p/Pq6/4R3/4PB1P/1P3PP1/3R2K1 w - -,e4b4
3rrqk1/b1pb1pp1/p2p1nnp/8/Pp1NP3/1BP3BP/1P1N1PP1/R2QR2K w - -,b3c4
r6r/p6p/1pR2p1k/1P4b1/3q2PP/P4R2/6Q1/7K b - -,g5h4
r4rk1/1pp1bbpp/2nq4/p3p3/4P3/1P3NP1/PB3PBP/2RQ1RK1 w - -,d1d6
r1b2rk1/1p1nqppp/p1n1p3/2bpP3/3N1P2/2N1B3/PPP2QPP/2KR1B1R w - -,f1d3:d4b3:c1b1
6k1/6p1/R5pp/8/5N2/7P/Pr4PK/3r4 w - -,a6g6
r1bqr3/pp1n1k2/4pbp1/5p1p/B1P5/4BNQ1/PP3PPP/3R1RK1 w - -,g3d6
8/8/Rb1r2pp/1P1pkp2/8/3K3P/4N1P1/8 w - -,e2d4
4r3/5pk1/3p1q1p/2pP2p1/4P3/1P2R1P1/4QPPK/8 b - -,f6e5
1r1b1rk1/1q1b2pp/3p4/1p1Pp3/pP2Pp2/5P2/P2Q1BPP/R1R1N1K1 b - -,d7e8
2rqkbnr/1p1b1ppp/p1npp3/8/3NP3/2N3P1/PPP2PBP/R1BQ1RK1 w k -,d4c6
r1r3k1/1Rn2pp1/pBP1b2p/P3p3/1K2P3/5P2/4B2P/2R5 b - -,c7e8
2b5/5rn1/p6k/3p1PRp/3N4/1PP4P/1P5K/6R1 w - -,f5f6
r1bqk2r/pp4pp/2nb1p2/2p5/3pPpP1/3P3P/PPP1NPB1/RN1QK2R w KQkq -,b1d2
2bqr1k1/2p2ppp/prQ5/3pP3/1b1P4/5NN1/PP3PPP/R4RK1 w - -,c6c2
3r2k1/5pp1/4p2p/4P3/7n/2N1Q1Pq/1P3P2/R4K2 w - -,f1e2
r2qnrk1/1p1bb2p/p3p1p1/3pPp2/5B2/1QNBP3/PP3PPP/2R2RK1 b - -,g6g5
8/4Qbk1/5pp1/7p/2q4P/6P1/5PK1/8 b - -,c4e6
8/5p1p/2p2kp1/3bp3/1R3P2/4K1P1/1P5P/8 b - -,h7h5
2Q1rk2/pp3qp1/2n2b2/3p4/3P3P/3RB3/P1P2PP1/R3K3 w Q -,c8g4
r2r2k1/qb1n1p1p/2p1p1p1/1p2NB2/1P1P1P2/2N3P1/2Q2P1P/1R1R2K1 b - -,d7e5
8/5ppp/4p3/3p3P/k1nP2P1/2PK1P2/2R5/r1B5 b - -,a4b3
r3rn2/4qpk1/p1pbpnp1/4N2p/2pP1P1P/PR1Q2R1/1PBB2P1/6K1 w - -,e5c4
4rrk1/1p4pp/2p1bn2/p7/1qP2P2/2N4P/PP1RBQP1/5RK1 w - a6,a2a3
r3kbr1/pp1b1p1p/1q1ppn2/2pP1p2/2P5/2NBPN2/PPQ2PPP/R3K2R w KQq -,g2g3
rn2k2b/pp2pp2/2p3p1/q7/3P2b1/1QP2N2/P3PPP1/1RB1KB2 b q -,b7b6
1qr2r2/pb1nppkp/1p1p2p1/8/1PP1n3/PQ2PN2/3NBPPP/2RR2K1 w - -,d2e4
8/8/2K5/6r1/3kn2R/8/8/8 b - -,g5e5
5k2/8/3p4/2pP1p1p/2P2P1P/5NK1/3Q4/3n1q2 w - -,d2c2
1r4k1/1b1q1p1p/p3pBpb/1pPpP1NP/3P2P1/3Q4/P4PK1/5R2 b - -,b5b4
3r3k/pp2p2p/2n1P1pb/3Q4/8/1P2qr2/PBP1B2P/3K1RR1 b - -,h8g8
8/p1r4p/1p3kp1/1PpPRb2/2B2p2/P4P1P/1P4P1/7K w - -,e5e8
r4rk1/pbqnbppp/2n1p3/2p1P3/1pP2B1P/5NP1/PP3PB1/R2QRNK1 b - -,f8d8
8/p1R4p/1p2p1p1/8/3r2kP/8/8/5K2 b - -,g4h4
2b5/8/2B2k1p/p2p1p2/3P1K1P/P5P1/8/8 b - -,c8e6
r2rbk2/5p2/2p1p1pp/pp1n4/P2P1P2/1BPN2PP/1P2RK2/R7 b - -,b5b4
r2r1qk1/pR3pb1/1p2p1pp/4P3/3P4/3nBNQ1/P4PPP/3R2K1 b - -,d3c5
2r1r1k1/1p1q1pp1/p4nbp/P1pPR3/2P2P2/2N1Q2P/5PB1/4R1K1 b - -,g6f5
3b4/1k4pp/1P1p4/3Pp3/2P2p2/3K1P2/5BPP/8 w - -,c4c5
3qrrk1/5pbp/ppb1p1p1/2p3N1/1n2NP2/3P3Q/PPPB2PP/1R3RK1 b - -,h7h6
r1bqkb1r/ppp1np1p/2n3p1/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c4
r1b1k2r/1p1p1ppp/pq2pn2/4n3/2P5/b1N3P1/PP2PPBP/R1BQK2R w KQkq -,b2a3
3r4/1p3p2/6kp/6p1/1P2p3/4PqP1/5PQ1/1R4K1 b - -,d8d1
2kr3r/1Bqn2p1/p2p1b2/1p3p2/5Pnp/PNN3QP/1PPB2P1/R3R2K b - -,c7b7
3r2k1/5p2/R3pnp1/P5Qp/3P3P/8/3N1PPK/3q4 b - -,g8g7
3rnk2/1p4p1/p3B2p/2b1N3/4b1P1/1P5P/PB2K3/2R5 b - -,c5b4
2r2q2/7k/5PpP/pnbp3p/1p1p4/3P1R2/PPPB1Q1P/2R4K w - -,f6f7
2r3k1/p3Bnbp/1p4p1/3P1p2/2Pp4/7P/P4PP1/3R1BK1 w - -,f2f4
r4r1k/pp4p1/2p3p1/3n1p2/3N3q/PQ3P2/1P1B2P1/4RRK1 b - -,h4d4
r1b1k1r1/p1q1np2/1pn1p3/4P3/3p1P2/P1pQ4/2P1N1PP/1RB1KB1R w Kq -,e2d4
2q2rk1/p3bpp1/1p2b2p/n2pPp2/N2P4/PP6/1B1NQPPP/5RK1 b - -,c8d7
5r2/p5k1/2q3p1/4pr1p/1p1bN2P/1Pp3B1/P1R2P1K/7Q b - -,f5f4
5rk1/5ppp/3qp3/6P1/1pQ1B3/rPp3P1/2P2P2/1R4K1 b - -,g7g6
rnb1kbnr/ppp3pp/3p1q2/8/3Pp3/4N3/PPP2PPP/RNBQKB1R b KQkq -,c7c6
4k3/8/3KP2p/5N1P/8/8/1b6/8 b - -,b2a3
2R5/4bpkp/4p1p1/4P3/1qpr1P2/7R/6PK/2Q5 b - -,d4d3
3b4/3q1rkp/p2pRp2/1prN1Pp1/8/1PPQ3P/P5P1/3R3K b - -,a6a5
8/2p4p/4kp2/5Rp1/6P1/3r4/1P4K1/8 w - -,f5c5
8/8/8/5N2/3k1p2/5Bp1/5rP1/4K3 b - -,d4d3
8/4b3/7k/5Kp1/4N1P1/5P2/8/8 w - -,f5e6
r2q1rk1/4ppbp/1pbp2p1/p1nN4/P1P1P3/3BBP2/RP1Q2PP/5RK1 b - -,e7e6
2r3k1/1b1n1pb1/1q2p2p/p3P2P/Pp3p2/3B1N2/1P1N1PP1/1Q2R1K1 w - -,d3h7
5rk1/2Bp2p1/4p1p1/1Pp1P2r/2P2p1P/8/1P3PP1/5RK1 b - -,g8f7
r1b1kb1r/pp2pppp/3p4/3N2B1/3nP1n1/8/PPP2PPP/R3KB1R w KQkq -,d5c7
r2qkbnr/pb1npp2/2pp2p1/1p4Pp/3PP3/2N1BP2/PPPQ3P/2KR1BNR w kq -,d4d5
1r4k1/4pp1p/qP1p2p1/3P4/1Rb5/5P2/1Q4PP/6K1 w - -,h2h4
r1b2rk1/pp2ppbp/1qn3p1/8/2PPn3/1Q3N2/PB2BPPP/RN1R2K1 b - -,f8d8
r1bq1rk1/ppp2ppp/2nppn2/8/2PP4/P1B1PN2/1P3PPP/R2QKB1R b KQ -,f6e4
8/5ppk/7p/3q4/1p2p3/4P1P1/1P3PP1/1Q4K1 w - -,b1c2
8/2n2p1p/P5p1/3kN3/8/5K2/5PPP/8 w - -,e5f7
8/p4pk1/3n1n2/4N1p1/7p/3B3P/PP3RPK/2r5 w - -,f2f1
8/5k2/1prrpp2/p6p/4RP1P/2P3P1/P1K2R2/8 b - -,d6d5
6k1/6pp/b1p1pr2/2q5/5P2/P1B2P2/3QPK1P/5R2 w - -,c3d4
q1r3k1/1p2pp1p/3pb1pb/p7/2PBnP2/4Q3/PP2B1PP/R4RK1 b - -,e4c5
r2qk2r/ppp2ppp/1n2b1n1/8/1bP5/2N3B1/PP3PPP/R2QKBNR w KQkq -,d1d8
r1r1q1k1/1R2ppbp/6p1/4P3/b1p5/2Bn1NP1/1P2QPBP/R5K1 b - -,a4c6
2r1r2k/1p1qb2p/p1n1bp2/2pnpNp1/P1B4N/2PP1Q1P/1P3PP1/R1B1R1K1 w - g6,d3d4
2rqr1k1/p2n1ppp/bpp2n2/3p4/2PPP3/1Pb2QP1/PB1N2BP/2RR2K1 w - -,f3c3
2b5/8/Pkp3p1/3p1p1p/1K1Pp2P/4P1P1/5P2/5B2 b - -,c8d7
8/r4kpp/6p1/3pP3/8/1R6/5PPP/5K2 w - -,b3b6
r2b2k1/5pp1/p2pb2p/1q1Np3/4P3/1P1QB3/P4PPP/2rR2K1 w - -,e3c1
1brr2k1/1p2nppp/pq2bp2/3p4/3P4/P1P1N1P1/1P1Q1PBP/R1N2RK1 b - -,e7f5
5k2/8/5P2/1p2KP2/2b5/2P5/8/8 w - -,e5d6
4kb1r/1bqn1ppp/p2pp3/1p6/n3P1P1/2PBBP2/P1P1NQ1P/1K1R3R w k -,b1c1
8/8/1pk1NK2/4n1P1/8/8/8/8 b - -,c6d6
1r4k1/1bQ1qp1p/1p3np1/pB1pN3/1p1P4/4P3/PP3PPP/2R3K1 b - -,e7c7
rnb1k2r/pp1n1ppp/4p3/qN2P3/2B5/2P5/P4PPP/R1BQ1RK1 b kq -,e8g8
8/3k2p1/2p5/BPK3pp/8/5P2/4n1PP/8 b - -,c6b5
r2r2k1/ppqb1ppp/3bp3/2p4Q/4B3/3P2P1/PPP2P1P/R1B1R1K1 b - -,f7f5
r4rk1/pp2pp1p/4b1pb/3N4/3P3N/P3P3/1P2BKPP/2R2R2 b - -,e6d5
8/8/1r4p1/1B2k2p/P4R1P/6P1/1r3PK1/8 b - -,b6f6
r4r1k/2p3pp/3p1p2/pp3bP1/3QPP2/3P4/qP5P/2KRR3 w - -,g5f6
r2r2k1/2q2ppp/1pp1b3/p1n1p3/P1P1P3/2N2P2/1P3QPP/2RR1BK1 w - -,f2c2
r3kbnr/pppq1ppp/4p3/3P4/4PP2/2NQB3/PP3P1P/R3K2R b KQkq -,e6d5
r1b2rk1/pp1nqppp/2pb1n2/4p3/4P3/1B3N2/PPPN1PPP/R1BQR1K1 w - -,f3h4
r4rk1/pp2qppp/2n1pn2/8/3bP3/1QN3PP/PP3PBK/R1B2R2 b - -,f8d8
2b5/2q1p1kp/2p3n1/p2p2Q1/5r2/P1NB4/1PP3PP/4R2K b - -,f4g4
8/p2n1R2/3P4/6k1/3K3p/8/8/8 b - -,d7b8
r2r2k1/3P1p1p/p5pB/1pb5/4R3/5P2/6KP/3R4 w - -,d1d5
2r5/1p3qkp/p2R1pp1/1QnNp3/1P6/6P1/P3PP1P/6K1 w - -,b5c4
2rr2k1/4bpn1/4p1pp/p3P3/1p1Nn2P/2P1R3/PP2N1P1/3RB2K b - -,e4c5
r1bqkb1r/ppp2ppp/3p1n2/8/3QPB2/2N5/PPP2PPP/R3KB1R b KQkq -,f8e7
3r3k/p5pp/bp1qP3/3B4/1P3p2/P6P/5PP1/2RQ2K1 w - -,d5b3
1k4rr/p1q2pb1/BnpR3p/6P1/4N3/5PQ1/PPP2P2/2K4R w - -,d6c6
8/8/2R2kp1/4pp1p/7r/1B3P2/6P1/1K6 b - -,f6g7
r1bq1rk1/pp3ppp/2nbp3/3n4/2BP4/5N2/PP3PPP/RNBQ1RK1 w - -,b1c3
2rr2k1/1p1nbppb/1q2p2p/p1ppP3/Pn3P2/BP1P2P1/2PNQ1BP/R3NR1K w - -,c2c3
3k4/2n2p2/2B2p1p/1P3P2/1bN3P1/1K2P2P/8/8 b - -,b4e1
r1bqr1k1/pp1n1p2/2pb1n1p/3p2p1/3P2P1/2NBPNB1/PPQ2P1P/R3K2R b KQ -,d7f8
r5k1/3p2pp/2b1pp2/7P/3Q2P1/PpR3q1/1P6/K1R5 b - -,g3g2
4k2r/3b1ppp/p3p3/q1BpPP2/6P1/1P1B4/r1P2Q1P/1K1R3R b k -,a2a1
7r/1p1knpbp/2n3p1/r2p4/2pP2P1/PpP1N1BP/1P2RPB1/4R1K1 b - -,h7h6
rn2k2r/pp3pp1/4b2p/3p4/1P6/2P2N2/4PPPP/R3KB1R w KQkq -,e2e3
1rb1r1k1/5p1p/3pq1p1/2p3P1/4P3/2P1B2P/4B1K1/R2Q1R2 b - -,e6h3
2rr2k1/1q2bppp/p3pn2/1p2NP2/n2P4/4B1N1/1P2Q1PP/2R2R1K w - -,f5e6
3r4/pb4kp/1p3pn1/8/3PP3/P2B4/1B4PP/4R1K1 w - -,g2g3
8/3k2p1/pn1b1p1p/4pK2/1P2P3/1B4P1/3B1P1P/8 b - -,d7e7
8/8/8/8/3k4/6KP/4Rp2/5r2 b - -,d4d3
8/k7/p7/P1p4p/1p3R2/8/2b5/4K3 b - -,a7b7
q7/r5bk/1p1p2p1/1PpPp3/2Pn1pP1/3P1P2/1Q1B2B1/5RK1 w - -,d2c3
8/p1p3pk/2p5/3nB3/3P3P/P4p2/1r5P/2R1K3 b - -,b2e2
4rb2/5Npk/b2pP3/3P1P2/p7/3n2P1/1B4BP/R6K b - -,d3b2
1r2r1k1/3n3p/b1pq1bP1/2p1p3/4P3/PpQPBN1P/1P2N3/1K1R2R1 b - -,h7g6
1R6/5pk1/1p3N2/1r2r2p/p7/8/6PP/5RK1 b - -,a4a3
r2n2k1/p3rp1p/1ppNq1p1/4P3/P2P4/2Q3P1/5P1P/1RR3K1 w - -,d6e4
rnbq1rk1/pppn1pbp/3p2p1/4p3/3P4/2P1PN1P/PP1N1PPB/R2QKB1R b KQ -,b8c6
8/2b2p2/3kn3/p1p3p1/2P1PP2/5KPp/PR6/8 b - -,g5f4
8/2k2p2/P5p1/K2p2P1/3N2NP/3b4/4n3/8 w - -,d4b5
8/5R2/8/8/5p1p/3k2r1/5K2/8 b - -,d3e4
r2qk1nr/4b2p/p1bp1p2/1p1p4/3BP1p1/1B6/PP2QPPP/R4RK1 w kq -,e2g4
8/p3k1p1/2p5/P1r5/8/4PK2/8/R7 w - -,a5a6
4rk2/3R4/pN4p1/2p2p1p/8/4rp1P/PP4P1/3R2K1 w - -,g2f3
3r2k1/5pp1/4p2p/8/p1q5/4QP1P/PRP3P1/6K1 w - -,a2a3
r1bq1rk1/1p1n2bp/p2p2p1/2pP3n/P7/2N1p2P/1P1NBPPB/R2Q1RK1 w - -,f2e3
2q1n1k1/4rp1p/3p1npb/BNpP4/2P5/R6P/1P2BPP1/1Q4K1 w - -,e2d3
3b4/1R3pk1/4n1p1/p1p3p1/2P1P3/5KP1/P4P1P/8 b - -,d8c7
2r1bkn1/p4p1q/1p1r4/2p1NR2/3P2R1/2P4P/PP3QP1/6K1 w - -,f2f4
5rk1/4bppp/pqr1p1b1/1p1p4/3P1B2/P1P1R2P/1P2QPP1/4RBK1 w - -,e3g3
3rr1k1/6pp/nq2b3/pp2Pp1P/2p2N2/P5P1/1PQ2PB1/3RR1K1 w - -,d1d6
6k1/1bp1rr2/1p2p2b/1B1pP1p1/PP1P2N1/5p1P/1PR2PP1/2R3K1 b - -,h6g7
6k1/p2nnpp1/4p3/2p1PqNP/b2P2N1/4QB2/5P2/6K1 b - -,c5d4
2rq1rk1/1p1bbppp/3p1n2/p3p3/Pn2PP2/1NN1BB2/1PP3PP/R2Q1R1K b - -,d7c6
r1bq1rk1/pp2ppbp/2np1np1/8/1P1P4/P3PN2/3NBPPP/R1BQ1RK1 w - -,c1b2
8/1Q3ppk/1B1P3n/1p2p2p/p3Pr1q/PpPR4/1P2K3/6R1 b - -,h4h2
2rr2k1/1b1nbppp/pq2p3/6P1/2p1PP2/PpP3N1/1PnB1NBP/2RQ1RK1 w - -,g1h1
3k4/1r6/4K3/Q7/8/8/8/8 b - -,d8c8
r7/1p4kp/pP1p1qp1/8/1pP1Q3/8/5PPP/4R1K1 b - -,a8f8
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/PP3NP1/3QPPBP/R1B2RK1 w - a6,c1b2
8/p7/1p1k1pp1/3B3p/1PPK3P/P5P1/8/3b4 w - -,d5e4
3r4/R7/6p1/2p5/2P2k2/1P6/P7/6K1 w - -,a7f7
r4r1k/pp3ppp/qn4b1/4R3/8/1BP3QP/PP3PP1/R1B3K1 w - -,h3h4
1r3rk1/1q3pbp/pp1pp1p1/8/1BP1nN1P/1P3QP1/P3PPK1/2RR4 b - -,f8d8
rnbqkbnr/pp1p1ppp/4p3/8/2BQP3/8/PPP2PPP/RNB1K1NR b KQkq -,b8c6
8/1r6/8/1KN3k1/1P2R3/8/8/7q w - -,c5b7
r4rk1/2pb1qb1/p3p2p/1pn1Np2/2B2PP1/2N1P3/PPQ5/2K3RR b - -,f7e8
r1bq1rk1/pppnbpp1/4pn1p/3p4/2PP3B/2NBP3/PP3PPP/R2QK1NR w KQ -,g1f3
r1bqkb1r/pp1p1ppp/2n1pn2/6B1/7Q/2N5/PPP1PPPP/R3KBNR w KQkq -,e2e4:e1c1
4r2k/4Nrpp/p2n3n/1p6/1P4P1/7R/P4P1P/4R1K1 w - -,h3e3
r1b1rnk1/p4ppp/2pq2n1/3p4/3P4/2NBPN1P/P1Q2PP1/1R3R1K b - -,d6f6
5r2/p3r3/1np2ppk/3nP3/3PNP1P/1P4P1/P3K3/2RR4 b - -,f6f5
4R1k1/p1pq2pp/5pn1/2pP4/2P5/P7/1BQ2PPP/6K1 b - -,d7e8
r4rk1/p2qpn1p/1p1p1ppb/3P4/2P2P2/1NB5/PP2Q1PP/R4RK1 b - -,f7d8
r4rk1/1pqnbppp/p2ppn2/2p5/2P1P3/1PN2N2/PB1PQPPP/R4RK1 w - -,d2d4
7k/4R3/8/3b2K1/8/8/8/8 w - -,g5g6
8/8/8/5RP1/4K3/1r6/5pk1/8 w - -,f5f2
2rq1rk1/4npb1/1p4pp/8/2npPP2/P4NP1/BB5P/R1NQ2K1 w - -,a2c4
rnbqkb1r/p2p1ppp/1p2pn2/2p5/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R b KQkq e3,c8b7
8/6p1/n1k2p1p/1p2pP2/pP2P1P1/P2NK3/7P/8 w - -,e3f3
r1bqkb1r/pp2nppp/2n5/1Bpp4/8/1P3Q2/PBPP1PPP/RN2K1NR w KQkq -,b1c3
rrq3k1/2p2n1p/2Pp1n2/3Pp1p1/4Pp2/2B2P2/4QNPP/RR4K1 b - -,a8a1
r3r1k1/6bp/4bpp1/4p3/1BppP3/PP4P1/5PBP/1R3RK1 b - -,c4c3
8/1R6/4pp2/7k/4PP2/1p5P/2rK4/8 w - -,d2d3
8/pr4p1/1p1k2K1/3p4/2rP2P1/P2R1P2/8/1R6 b - -,c4c6
2r1n1k1/Q4pp1/1p1p3p/6q1/1P2PN2/3R2P1/P1rR2KP/8 b - -,g5e5
8/3r1k1p/6p1/1RB2p2/1P2p3/2b3P1/5P1P/5K2 w - -,c5e3
r1R1q1k1/6pp/1p1bpn2/p2pNp2/3P3P/1P2P1P1/PB2QPK1/2R5 b - -,a8c8
rnb2k1r/pp3pbp/3Np1p1/6B1/3qP3/P7/5PPP/R2QKB1R w KQ -,d1d4
1r1r2k1/p3qppp/3bnn2/8/3p4/1P1N1PP1/PBR1N1KP/Q4R2 b - -,f6d5
3r1k1r/1b2b3/pq2Bp1p/1p6/8/3P4/PP2QPPP/2R1R1K1 w - -,e2h5
r1q4k/4Pprp/p3p3/1p2Q3/3N4/8/PPP3PP/2K4R w - -,h1f1
r1b2rk1/pp1nq1pp/4pp2/3pP3/PP6/3P1N2/3BQPPP/R4RK1 w - -,e5f6
2k1r3/1pp2p2/p1pb3r/6pp/3BP3/2P2P1P/PP3P2/3RR1K1 w - -,g1g2
2r1kb1r/pp1bnppp/4p3/2p5/2P1PP2/1B2BP2/PP5P/R2NK2R b KQk c3,e7g6
r1bq1rk1/pp1nbppp/2p1pn2/4N3/2BP1B2/2N5/PPP2PPP/R2QK2R w KQ -,d1e2
2k4r/pp4b1/4p1R1/3pP3/3n2P1/2N3P1/PP6/R5K1 b - -,g7e5
1k5r/pp3pp1/4p3/4P3/2BPp1b1/2P5/PP2RRPr/3K4 b - -,e4e3
6k1/1p4pp/1b6/3p4/2PP2B1/pP2r3/P4r2/1KNR4 b - -,f2b2
3r4/1p2pkbp/1p2b3/2n2pp1/8/1PN1P3/P3BPPP/2R1B1K1 w - -,c3b5
3q2kr/pp1nrpp1/3p1nPp/2pP1P2/P1P2p2/2PBB2P/3Q3K/R4R2 w - -,e3f4
8/8/5k2/1n3p2/p1N4P/P3K3/6P1/8 w - -,e3f4
1r1qr1k1/1bp2ppp/p2b4/1p1P4/5n2/1BP2Q2/PP3PPP/RNB2RK1 b - -,f4d5
rr1b4/1bqn1p1k/p2p1npp/2pPp3/2P1P3/2N3NP/PRQBBPP1/1R4K1 b - -,b7c8
8/6k1/6p1/4pr2/R6P/4K3/8/8 b - -,g7h6
3r1bk1/p1q2p2/1p4pp/1B1Pp3/1P2Q1P1/P6P/5P2/3R2K1 b - g3,a7a5
1rb1r1k1/1pq2pbp/pn1p1np1/2pP4/P3PP2/1RN1B2P/1PQNB1P1/5RK1 w - -,a4a5
4rrk1/ppp4n/3p3p/3Ppppq/1PP5/3PPNR1/P5PP/3Q1RK1 b - -,e8e7
