8/8/1R6/1p2p3/1p1kr3/8/3K4/8 w - -,b6b5
r1bqkb1r/pppn1ppp/4pn2/8/2Q5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,f8e7:c7c5:a7a6
r1bqr1k1/bpp2pp1/p1np3p/3N4/3P4/5N1P/PP3PP1/1BRQ1RK1 b - -,g7g6
2q1r1k1/5pp1/p4n1p/1p3P2/1Pr1pQ2/P6N/2PR2PP/4R2K w - -,e1e2
3r4/3bkp2/1p1N2p1/2p1P3/5P1p/4K1P1/7P/2R5 w - -,c1b1
r2r2k1/pp2qpp1/1nPb1n1p/4p3/4P1bB/1BN2N2/PP3PPP/R2QR1K1 b - -,b7c6
2r2rk1/2qb1p1p/p2bp1p1/1p1n2B1/3NB2Q/3R4/PPP2PPP/4R1K1 b - -,h7h5
rn1q1rk1/pb2ppbp/1p3np1/2pp4/P2P4/1QP2NP1/1P2PPBP/RNB1R1K1 b - -,f6e4
2b4r/2q2p2/3Rpk2/4bp2/1p5p/1B2Q2P/2P2PP1/3R2K1 w - -,d6d3
1r2n1k1/p3Bp2/1p2b1pp/2p1P3/3b1P2/1P1R2PP/P2N2B1/7K w - -,h1h2
2r1kr2/4pp1p/2bp2pQ/p3P2n/1p3Pq1/1BN5/PPP2RPP/4R1K1 w - -,e5d6
r4rk1/1p2bppp/1qp1pn2/p3N3/Pn1PPP2/2N1B3/1P2Q1PP/R4RK1 w - -,f4f5
6k1/1p6/2p1n2R/8/PpPP4/1P6/6rK/8 w - -,h2g2
rn2k2r/1bqpbpp1/pp2pn1p/8/2P3P1/1PN1PN2/PBQ1BP1P/R3K2R w KQkq -,h1g1
rb2qr1k/3nB1p1/ppbPBn1p/2p1p3/P3p2N/4P3/1P2QPPP/2RR2K1 w - -,e6f5
8/3r4/p3kp2/8/1PppP3/6R1/P2K4/8 w - -,g3a3
r2q1rk1/1p3ppp/p1n1bb2/8/3pNP2/1N3B2/PPP3PP/R2Q1RK1 b - -,f6e7
r2qr1k1/p4b1p/2B1nn1b/5p2/3p1P2/B2P4/P2QN2P/2RN1R1K w - -,e2g3
r1b2rk1/ppp2pb1/4p1pp/2qnP3/4Q2P/1B3N2/PPP2PP1/R1B1R1K1 b - -,a7a5
3r2k1/6p1/p1r4p/3p4/8/2NR4/PP5P/3R3K w - -,d3d5
4r3/4b1pk/r4n1p/2p1R3/1P6/5NB1/1PP2PPP/3R2K1 b - -,c5b4
8/1p4k1/pn2p1Pr/3pP1P1/3P2P1/bP2B3/2r2NK1/1R6 w - -,g5h6
8/p4pk1/3N2p1/1P2pp2/8/3K1P1P/2n3P1/8 b - -,c2a3
r1b1rn2/pp2kNpB/2n1pq2/3p3Q/P2P1b2/BP3N2/2P2PPP/R3K2R b KQ -,e7d7
r2qk2r/1b1nbppp/pp1ppn2/8/2PQP3/1PN2NP1/PB3PBP/R4RK1 b kq e3,d8c7
rn1qkb1r/1p3ppp/p1p1pn2/3p4/2PP1B2/2NQPN2/PP3PPP/R3K2R b KQkq -,f8d6
r4rk1/pp3pp1/2q1pn1p/2b4P/8/6N1/PPPBQPP1/1K1R3R w - -,f2f3
r1bqk2r/pp3pb1/2npp1pp/2p5/4P3/2PPB1P1/PP1Q1PBP/R2NK2R b KQkq -,e6e5
1r1q1r2/Qp1b2kp/3p2p1/pP1N1p2/2P3n1/3P2P1/4P1BP/3R1R1K b - -,g4e5
r3r3/bppq2k1/p1n3bp/3p2p1/PP1Pp3/1QP1P1B1/2BN2PP/R4RK1 b - a3,c6e7
r2qk2r/pp2bppp/2n1pn2/3p4/5B2/2NP1BP1/PP2PP1P/R2Q1RK1 b kq -,e8g8
r3k2r/1b1nqppp/p1p1pn2/1p2N3/Pb1P4/1P2P3/1B1NBPPP/R2Q1RK1 w kq -,e5d3
r2q1rk1/pb2bppp/1pn1pn2/2pp4/2P5/PP2PN2/1BQPBPPP/RN3RK1 w - d6,f1d1
2Nr1nk1/1pq2p2/r1p1p1p1/p1b1Pn1p/4N2P/1P4PB/PBQ2P1K/2R1R3 b - -,c5b4
5rk1/1pp1r1q1/p2p2pp/3Pp3/2P1N1Pn/1PR1Q2P/1P2RP2/6K1 b - -,e7f7
1R6/5pk1/4b2p/7P/5R1K/5P2/8/r7 w - -,h4g3
1r3r2/6k1/b3ppp1/4b2p/2P5/1P2BB2/P2R2PP/2K4R w - -,d2d7
rn1qk2r/pbp1bppp/1p2pn2/8/2PP4/3B1N2/PP2QPPP/RNB2RK1 w kq -,b1c3
1r3n2/4r1p1/3kp3/1p1p2RP/p2P1K2/P1PB4/1P6/5R2 b - -,e7f7
r1bqr1k1/ppp2ppp/2nbpn2/3p4/Q1PP4/P1N1PN2/1P1B1PPP/3RKB1R b K -,h7h6
r3k2r/pppq1pb1/1nn1b2p/4p1p1/N3P3/P2PBN2/1PQ1BPPP/R4RK1 b kq -,b6a4
r1b1kb1r/1p1n1p1p/pqn1p1p1/3pP3/3p1P2/2P2NPB/PP2N2P/R1BQK2R w KQkq -,c3d4
r1q3k1/2p2rpp/1p1p1p2/pBnP3P/1n1QPPP1/4R3/PP2N3/1K4R1 b - -,c8f8
2kr3r/pppNqpp1/4pb1p/8/3P4/2PB4/PP2QPPP/R3K2R b KQ -,d8d7
7k/p1r5/5r1p/2PB4/2P5/6P1/7P/R5K1 w - -,a1a5
1rb1k2r/2qnb1p1/p2p1n2/3N4/R2BP2p/6P1/QPP2PBP/4R1K1 b k -,f6d5
r2qkb1r/1b3pp1/1n2p2p/n2pP2P/p2P1BQ1/p1P1R1P1/2PN1PBN/R5K1 b kq -,b7a6
3q1b2/1p3rk1/1R1P2p1/2Q1p1Pp/p3N3/7P/P4P1K/8 b - -,d8e8
5rk1/5p1p/4p1p1/4P1Pn/3p1PNP/Pp1q4/1Pr2Q2/K3RR2 w - -,f2f3
8/7p/pN2kp2/n1P1p3/1p5P/3K4/5PP1/8 w - -,g2g4
r2r2k1/p1qn1pbp/1p1p2p1/4p3/2pPP3/2P2NBP/PP1Q1PP1/3RR1K1 b - -,d7f8
r1bqkbnr/pp1ppp1p/2n3p1/8/3N4/6P1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2
r1b1kb1r/pp1ppp1p/2n3p1/4P3/5Bn1/2N2N2/P1P2PPP/R3KB1R b KQkq -,f8g7
1k4rr/pp3n1p/2q1p3/3pPp2/P2P1B2/7P/2P1Q1P1/RR4K1 b - -,f7g5
2rq1rk1/pbn1ppbp/1pn3p1/2p5/8/1PN1PNP1/PB1PQPBP/R2R2K1 w - -,c3a4
r2qr1k1/ppp2ppb/7p/4nP2/2P1NQPb/1P1pP3/PB4BP/R2R3K b - -,e5c6
rnbqkb1r/ppp2ppp/3p1n2/4p3/8/3P2P1/PPPNPPBP/R1BQK1NR b KQkq -,f8e7
3r4/2n3pp/5k2/p1P2p2/2B1p3/P1K5/5PPP/1R6 b - -,f6e5
r4rk1/1ppbq1pp/2np4/p3pp2/2PPn3/PP2QNP1/1B2PPBP/3R1RK1 b - -,d7e8
1r3rk1/p6p/3q1np1/2pP1b2/5p2/2N2B2/PP1Q2PP/2KRR3 b - -,b8b4
8/8/8/1pk2K2/pR3P2/P7/1P6/6r1 b - -,g1e1
6k1/5p1p/5p1B/1pN2P2/3p2PK/7P/1Pb3r1/8 w - -,c5d7
r4k2/5R1p/6q1/8/p4R2/2P3Q1/5P1P/6K1 b - -,f8e8
6k1/1p2r2p/p2p2pb/2pP4/P1P5/5Q2/1P2r2P/2R2R1K w - -,c1d1
6k1/p2n1pp1/7p/P1pB1P2/3np3/2R3P1/1rp2PK1/2R5 b - -,d7f6
3R1bk1/2p2p1p/1r3p2/p4P1N/2P2P2/8/6PP/6K1 w - -,d8a8
2r3k1/p3Rppp/1pn5/2p1P3/8/1P4P1/b4P1P/R1B1rBK1 w - -,e7b7
r4rk1/p2q2pp/bp1bp3/3p1p2/3PnP2/1P4P1/P1RBP1BP/1NR1Q1K1 b - -,d7e7
r2qk2r/3bbppp/p1np1n2/1p2p3/3PP3/5N1P/PPB2PP1/RNBQR1K1 b kq -,e8g8
2Q5/8/k7/1p2K3/pP1P4/P7/4pq2/8 b - -,a6a7
3q2k1/3r1pp1/1p2p2p/pPp1B1b1/P1P2P2/6P1/1Q2PK1P/2R5 b - -,g5f6
rnb1k2r/pp2nppp/4p3/2P5/1b2B3/2N2N2/PPP2PPP/R1BK3R b kq -,b4c5
6k1/p1R3p1/1n6/4p1rp/3r4/1P4P1/1P3PB1/2R3K1 w - -,c7a7
r1b2rk1/pp2Pp1p/8/2p1p3/8/3P4/PPP2RBP/4R1K1 b - -,f8e8
r5k1/pppr1pp1/7p/6q1/8/P1Q1P3/1P3PPP/2R1K2R w K -,e1g1
4rrk1/pppq2pp/3n1p2/3p4/3P4/3Q4/PPPNRPPP/R5K1 w - -,a1e1
r4rk1/1q1n1pbp/p2p1np1/1P1Pp3/1p2P3/P3BP2/2Q1N1PP/R3NRK1 w - -,a3b4
1rb2rk1/2p2pp1/p4P1p/2q5/Pn1Q4/5N1P/2B2KP1/R1B1R3 b - -,c5c2
r2q1rk1/1p2ppbp/p5p1/2npP3/5B2/5b2/PPP1BPPP/R2QR1K1 w - -,e2f3
3r1k2/3Rp3/4Pp1n/1p1P4/5PP1/7P/P7/7K b - -,d8a8
1r6/5pk1/5b2/p1Rp1q2/P2Pp3/1r2P1P1/2Q2P2/6KR w - -,c2d1
5rk1/6p1/2p1p3/1p2N3/1b5P/rBnP4/2P2PK1/5RR1 b - -,c3d5
4r3/1pk4p/2p1r1p1/p1Pp1p1P/5R2/PP2PP2/5KP1/2R5 w - -,c1c3
rn1qkb1r/pp1n1pp1/2p1p1p1/8/2PPp1P1/2N4P/PP3P2/R1BQKB1R w KQkq -,c3e4
5rk1/1p3ppp/5n2/p1q5/5Q2/1Br1P1P1/P4P1P/3R1RK1 w - -,e3e4
2r2rk1/p3qppp/1p2p3/2pnN3/Q2P4/2P5/PP2RPPP/R5K1 w - -,d4c5
r2q1r2/1p1b1pbk/3p1npp/p1nPp3/4P3/P1N1BP2/1P1QN1PP/R2B1RK1 b - -,b7b5
6k1/1pp2pp1/3r4/2p3qr/2P1P3/P3PB2/1P2Q2P/5RK1 w - -,g1h1
2kr1b1r/ppp3pp/4p2n/8/1PPB3q/P2Q4/4PP1P/RN2K2R w KQ -,e2e4
r1bqkb1r/1p2pppp/p2p1n2/4n3/P2NP3/2N5/1PP1BPPP/R1BQK2R b KQkq a3,c8d7
5rk1/1bq1bppn/p3p3/3p2P1/1r5P/1BN5/PPPB2Q1/2KRR3 w - -,g2h3
4r1k1/3q1ppp/n2Bp3/3pP1Q1/p1pP1PP1/Pr5P/8/2R2RK1 b - -,d7a7
1r4k1/1r3pbp/p2p2P1/3PpP2/1qp1P3/2NnBP2/PP1Q2R1/K6R b - -,f7g6
4q3/p4pk1/3p2p1/2pB3p/N1P3nP/PP4P1/R2Q1bK1/4r3 w - -,d2f4
8/2bB1pk1/1rP3pp/1P1p4/5q1P/5N2/2R2PK1/1R6 w - -,c2a2
8/8/8/8/8/5kp1/4n1B1/5K2 b - -,f3e3
1qr1r1k1/1p3pp1/p1pbpnp1/6B1/QPPP4/P2R2P1/5PBP/2R3K1 w - -,a4b3
r2qr1k1/1b3ppp/p2p1bn1/1ppP4/4PP2/7P/PPB3PN/1RBQR1K1 w - -,c1e3
8/1p3kp1/8/p6p/Pr6/2K2P1P/2B3P1/8 w - -,c2e4
r1Rq2k1/3npp1p/3p2p1/8/1P1NP3/P4P2/3Q2PP/3R2K1 b - -,d8c8
8/5p1k/p1r3p1/1b5p/1P1QPK1P/5PP1/8/8 b - -,c6e6
2r2bk1/p4p1p/1p6/4P1p1/P4P2/2PR2P1/N2K3P/8 b - -,h7h5
1r1q1rk1/pppbnpbp/3p2p1/8/2n1PN2/6PP/PPP1NPB1/1RBQ1RK1 b - -,g8h8
7N/pr1k2pp/3b4/4R2n/3p4/3p4/PPKB1PPP/7R w - -,c2d3
1r1q2k1/p1p3bp/3p2p1/5p2/2P1r3/4PN2/PP1Q2PP/2K1R2R w - -,b2b3
2b1rrk1/pp4pn/1q1b3p/3pNp2/3P4/4B2P/PPQ2PP1/1BR1R1K1 b - -,h7f6
2Q2bk1/5pp1/1p2p2p/n7/3PN3/P7/1q2BPPP/6K1 w - -,e4g3
r3kb1r/1bq2ppp/pn1ppn2/1p6/3NPP2/P1N2B2/1PP3PP/R1BQ1R1K w kq -,d1e1
8/8/5K2/4r3/8/4p1k1/4Qn2/8 b - -,f2g4
R7/p1pkr3/3p4/3K4/P7/1P6/8/8 b - -,a7a5
4rrk1/1p1q1ppp/p2p4/3Pp1b1/5n1N/1BP2PP1/PP5P/3RRQK1 w - -,h4g2
8/2Q2qk1/8/7p/8/8/8/5K2 w - -,c7f7
r5k1/rq1n1pb1/bpp1p1pp/p1PpP3/1P1P3P/P1N2NP1/2Q1BP2/R1R3K1 w - -,a1b1
8/7p/1p2k1p1/p2p1p2/P2P4/bP1K3P/5PP1/3B4 w - -,d1f3
4k2r/1p3p2/p3p3/b2qPp2/2rP1P2/1Q3RBp/1P5P/3R2K1 w k -,g1f1
r2q1rk1/pb3pp1/1pnp1n1p/2pPp3/2P1P3/P1PB1N1P/2Q2PP1/R1B2RK1 b - -,c6e7
r1bq1rk1/pppp2pp/5n2/1B2ppB1/3bP3/2NP4/PPP1QPPP/R3K2R w KQ -,b5c4
3q1bk1/1b1r1p2/p1pBp1p1/2P1P2p/1P2BP2/P4QP1/7P/3R2K1 b - -,d8c8
2rr2k1/1b3pqp/p2b2p1/1p1pn3/1P1N4/P1P1N3/5PPP/2RQRBK1 b - -,e5c4
5rk1/p7/7p/2Np2p1/1Pb1p3/P5P1/5qPP/2R1Q2K b - -,f2e1
r1b4r/1ppnkppp/3p1n2/8/p1PN4/P5P1/1P2PPBP/RN3RK1 w - -,d4f5
1rbq1r2/p3n1kp/2npppp1/1pp5/4P2P/2PP1NP1/PPNQ1PB1/R3K2R b KQ -,d6d5
8/4kp2/6p1/4P3/5P1K/2R4P/8/6r1 w - -,c3g3
3rnr2/1bq2p1k/pp1p3p/n3ppP1/2P1P3/PP4QP/1BB1N1P1/3R2K1 w - -,e4f5
r1b2rk1/2p1bppp/p4n2/4p3/Pp1qP3/1B3N2/1PP2PPP/R1BQR1K1 b - -,d4d1
r2q2k1/pp2R3/2pP2pp/2n2bN1/P7/2P4P/2PQ1PB1/6K1 w - -,d2d4
2r3k1/p1q2ppp/1p2pn2/8/3R4/BP2P1P1/P4P1P/4Q1K1 w - -,e1d1
r4rk1/ppp2p2/6p1/3pPb2/8/2PN3P/PP1bKP2/R4B1R b - -,d2h6
r4rk1/pp1n1ppp/2p1p3/5P2/1b1P3N/1P6/1P2PPBP/2RR2K1 b - -,a8e8
8/8/3pkp2/7p/1R2K3/6PP/3r4/8 w - -,b4b5
rnbqkbnr/3ppppp/p7/1p6/3pP3/2N5/PPP1NPPP/R1BQKB1R w KQkq -,e2d4
8/p4kp1/8/1K3P1N/4n3/7P/8/8 b - -,e4d6
rn1q1rk1/pbp1ppbp/1p3np1/4N3/2PP4/2N5/PP2BPPP/R1BQ1RK1 b - -,b8c6
r1b2rk1/1pp1qppp/2n2n2/p1b1p3/4P3/2P2NP1/PP2QPBP/RNBR2K1 w - -,c1g5
r2qkb1r/pb1npppp/1p1p1n2/8/2PNP3/2N1BP2/PP4PP/R2QKB1R b KQkq -,g7g6:a7a6
r5k1/1p2n3/3qPQp1/3p3p/8/7B/6PP/5RK1 w - -,f6f7:g2g4
r4rk1/2qn1pp1/1p1p1n1p/p1pPpN2/P1B1P3/2P3P1/1P2QP1P/R4RK1 b - -,f8d8
8/1b3k2/2p5/p1p2Pb1/P1P1K1N1/8/1B6/8 w - -,b2c3
3r1rk1/p1q1npbp/1p1p2p1/n3p3/4PP2/1PP1B1P1/P2QKNBP/2R4R w - -,c3c4
r4rk1/pbpnqppp/1p1ppn2/8/2PP4/PP2PN2/1B1QBPPP/R3K2R w KQ -,e1g1
5r1k/ppr3bp/4Q1p1/1P6/q2P4/2p2P1P/6P1/1B1RR2K w - -,b1a2
r2q1rk1/pp3ppp/2n2n2/1Bbp4/6b1/1P2PN2/PB3PPP/RN1Q1RK1 w - -,b5c6:b1c3
8/qp1rbpk1/2p3pp/4p1n1/1P2P3/P1QB2PP/2P1NP2/R5K1 w - -,g1g2
6K1/4N2P/2p1n3/8/2k1P3/8/8/7r b - -,h1g1
r3kb1r/pp1npppp/2p2n2/q7/6b1/2NP1N2/PPP1BPPP/R1BQ1RK1 w kq -,h2h3
5r2/N2b2bk/6pp/2p5/3p4/1P1P4/P1P1NP1P/R5K1 w - -,e2g3
1k5r/ppp2p1p/5np1/8/8/3P4/PPP2P1P/1K2RB2 w - -,b1c1
r4r2/pp2pnk1/4Bpp1/3P4/2p2P2/2Q1B2R/PP1R2q1/2K5 b - -,g2e4
1r1qr3/1b1n1pk1/1pp3pp/2n1p3/4P2N/2QB2NP/1PP2PP1/3R1RK1 w - -,h4f5
r2n1rk1/1pp2ppp/6n1/4p2q/1pPpP1b1/1P1P1NPP/PB2QPB1/R3R1K1 b - -,g4h3
1r4k1/2r2pp1/3Np2p/R7/1nR5/6P1/1P2PPKP/8 b - -,c7d7
r1b1k1nr/pp1p1pbp/n3p1p1/q2NP1B1/2Pp4/5N2/PP3PPP/R2QKB1R w KQkq -,g5d2
8/8/8/7K/1pk4P/8/8/8 b - -,b4b3
r2q2k1/5pP1/ppp1r2p/3pn3/N3P3/1P4P1/PB3PBP/2RR2K1 b - -,d5d4
1r3bk1/r4ppp/2qp4/3Rp3/p1B1P3/1P3Q2/2P2PPP/R5K1 w - -,d5a5
2r3k1/5ppp/R3p3/3rP3/3N4/4B1P1/1P3P1P/6K1 b - -,h7h6
rnbqk2r/ppp1ppbp/5np1/3p4/2P2P2/2N1PN2/PP1P2PP/R1BQKB1R b KQkq -,e8g8
1k5b/1bq2p2/p5p1/Pp2p3/2p2P2/2P1QNP1/1P3KB1/8 w - -,f3e5
1Q6/1p3kpp/6n1/3P1b2/q1p5/2B3P1/1PP2PB1/6K1 w - -,d5d6
8/8/1p6/p2kP3/2p2P2/2K4p/6r1/3R4 b - -,d5e4
2R5/4q2p/6pk/8/1p1QPP2/2r4P/6P1/6K1 w - -,g2g4
3Rnrk1/p4rp1/2P4p/3Q1p2/4pP2/8/4qN1P/3R2K1 w - -,d8d7
3q2k1/1Q3p1p/p2p1bpB/1p1P4/3p3P/6P1/rP2PP2/2R3K1 b - -,d4d3
8/8/4pn2/1pBp4/1Pk2K2/6P1/8/8 w - -,g3g4
r2qr1k1/p2b1pb1/1Pn3pp/4p3/4n3/2P1BN1P/P1N2PP1/R2QRBK1 b - -,a7b6
rqb1k2r/pp1pbppp/2n1pn2/1N6/P3P3/2N5/1PP1BPPP/R1BQ1RK1 b kq a3,e8g8
5r2/p4r1k/1pR4p/3P2p1/2Q3P1/6q1/PP4Pb/4R2K w - -,c4e4
2Nr2k1/1pR2p1p/pb3np1/3p4/1P2p3/P5PP/1R1PPPB1/6K1 b - -,b6c7
2r2r2/8/1kb1q2p/p3P3/1p1pBB2/2p5/5QPP/2R4K b - -,e6c4
2n1r1k1/1r1q1p1p/3bp1p1/Rp1p4/1P1P1B2/2PQ3P/1N3PP1/4R1K1 w - -,f4d2
r1bb1rk1/p2q2pp/3p2n1/2pPpp2/2P1Pn2/PRN2N1P/5PP1/2BQRBK1 w - -,e4f5
3r1rk1/p1n2qp1/1p5p/2pNP3/3pPP2/8/PP4QP/3R1RK1 w - -,f4f5
2q5/R2br1bk/4p1p1/3pP2p/1PrN1P1P/R1PQ2PB/8/6K1 w - -,h3f1
rn2r1k1/1q2ppbp/2Np2p1/2pP4/4PBP1/P4P2/1P2QR1P/R5K1 w - -,c6b8
r5k1/1b2b2p/p1p5/1p2q1p1/P7/2N3P1/1PP3BP/4RQ1K b - -,e5f6
3b1k2/1r3ppp/1pnPp3/p1p3P1/P1P1NP1P/2B1P3/3RK3/8 b - h3,c6b8
r1bq1rk1/pp3pp1/1bp2nnp/3Pp3/8/1BPP1NNP/PP3PP1/R1BQR1K1 b - -,f6d5
r1bq1rk1/pp1n1p1p/2p2Bp1/4N3/2P5/4P3/PPQ2PPP/2KR1B1R b - -,d8f6
8/6p1/4k2p/1N1nq2P/1p6/2p3P1/1P1Q1P2/6K1 w - -,b2c3
r2b1rk1/pp3ppp/4p3/1qRpP3/3P4/4PN2/PP1Q2PP/5RK1 b - -,b5d7
8/6k1/8/P7/1P6/1Q6/1K4P1/5q2 w - -,b3f3
rn1qkb1r/pb3ppp/1p1ppn2/8/3NP3/1P6/PBP1QPPP/RN2KB1R w KQkq -,b1c3:b1d2
rn1qk2r/pp1bbppp/3ppn2/1Bp1P3/P7/5N2/1PPP1PPP/RNBQR1K1 b kq -,d6e5
r2q1nk1/1b3p1R/p2p4/4BNP1/1p2P3/3P3Q/PP5P/1K6 b - -,f8h7
r4rk1/1ppbq1b1/p2p1Pp1/3Pp2p/1PP1P3/2N2P2/P2QN1P1/R4RK1 b - -,g7f6
2r4k/p2n1ppp/1pq1p2P/3pP3/3P4/bP1NB1P1/P2Q1P2/5RK1 b - -,g7g6
r4k2/5ppp/8/6P1/pp1Rr1N1/7P/1PP5/1K1R4 b - -,e4d4
r4rk1/p1qb1pbp/1pn1pnp1/1N6/2B1P3/2PQ1N2/PP3PPP/R1B2RK1 b - -,c7b8
r2q1rk1/pp1n1pp1/2p1pn1p/3p4/1bP5/1P1P1NPP/PB2PPB1/R2Q1RK1 b - -,d8e7
6r1/p7/2q1kp2/3p3P/1QpPnB1P/P1P5/2P4K/R7 b - -,g8g4
r5k1/p2b1pp1/1qp2b1p/3p4/1P1P1P2/P1N2BP1/3Q3P/3R2K1 b - -,b6a6
8/4pkb1/1pp1p1p1/1p1nP2p/3PBP1P/1P1K2P1/3B4/8 b - -,g7f8
2r1r3/5p1k/p2R1npP/1p6/5PP1/P3PN2/1R4K1/8 b - -,f6g4
8/3q2kp/1p3p2/4b1p1/P2p2P1/1P3P1P/4Q3/2R2K2 w - -,f1g2
8/1p6/4n3/P7/3pkp1B/2p5/4K3/8 b - -,d4d3
rnb1k2r/ppp4p/5pp1/2b1p3/2B1P3/2P2N2/PPK2PPP/R1B4R w kq -,b2b4
rn3rk1/pp3p1p/2pb1qp1/3p4/6Q1/2PB4/PPP2PPP/R1B1R1K1 b - -,h7h5
rnq1r1k1/2pbbppp/p2p1n2/P3p1B1/B3P3/2PP1N1P/2QN1PP1/R4RK1 w - -,d3d4
6r1/p2q1r1k/1pn3np/1RP4Q/4p3/2B2pP1/P1P2P2/1R3BK1 b - -,g6f4
2k5/ppn2p2/2q1p3/3pPp2/3R1PrP/1NP5/PP3Q1P/1K6 w - -,h2h3
4r3/p6k/1p1p2pp/2pP1p1q/2P2P2/P3P3/1P3Q1P/4R2K b - -,h5g4
r1bqr1k1/5ppp/pn1b1n2/3p4/1p1Pp3/1PN1N1P1/PB1QPPBP/2R2RK1 w - -,c3d1
2R5/5rk1/7p/6pP/3K2P1/5P2/8/8 w - -,d4e4
r2qkb1r/1p2ppp1/p1n2n1p/3p4/3P1B1P/2NQPN2/PP3PP1/R3K2R b KQkq -,e7e6
2r1r1k1/1pqn1pp1/p1p1pnp1/P7/1PPP1bP1/1Q3N1P/1BR2PB1/4R1K1 w - -,e1e2
6k1/5p2/7P/6PK/8/3R4/8/1r6 b - -,b1h1
1r2r1k1/p1p1q1p1/2p1p2p/4Q3/8/P7/1PP2PPP/2KRR3 w - -,c2c4
3r2k1/pb2ppb1/1p4pp/2p1P3/4PB2/3B1P2/PP4PP/R5K1 w - -,a1d1
