8/8/3B4/K2n1kp1/P7/7P/8/8 b - -,d5c3
5rk1/4pp1p/p5p1/3q1b2/P2b4/R5B1/1r2BPPP/3Q1RK1 w - -,e2a6
2r2rk1/1p3ppp/p4b2/3p1N2/P4B2/1Pn2P2/2P3PP/3R1RK1 w - -,d1d2
rn1qk2r/pbppbppp/1p2p3/8/2PP4/P1N1P3/1P1QNPPP/R3KB1R w KQkq -,d4d5
r2q1rk1/p2n2bp/1pp1p1p1/3p1n2/5P1P/2N5/PPPQBBP1/2KR3R w - -,h4h5
8/p3k3/P6p/1P1K3P/8/2n4B/8/8 w - -,d5c6
r2q1rk1/pb2bp1p/np4p1/2p1N3/3PB1P1/P3P3/1PQ2P1P/R1B1K1R1 b Q -,b7e4
2k3r1/pp2b3/4npr1/2p1p3/2PpP3/3P1RPR/PPNB2K1/8 b - -,g6g4
1b1qnrk1/pb1p2pp/1p2pp2/4P3/3P1P2/1N2BN1P/PP2Q1P1/2R4K b - -,d7d6
2R5/p2rk2p/1p2p1n1/5pP1/1P1P4/4PN2/4KP2/8 w - -,e2d3
5r2/pp1R1pbk/1r4pN/2p4b/P1B2B1P/2P3K1/1P6/4R3 w - -,h6f7
r4rk1/pp2nppp/2nqp3/3p1b2/3P4/2NBPN2/PP3PPP/2RQ1RK1 b - -,f8c8
rnbqnrk1/pp2ppbp/2p3p1/3pP3/P2P4/1BN2N1P/1PP2PP1/R1BQK2R b KQ -,f7f6
5k2/8/2Rp2p1/1P6/3b1r2/5B2/6K1/8 b - -,f8e7
rn2k1r1/pb1p1pqp/1p2p2b/7Q/3PP2p/1N1BP2N/PPP2KPP/R5R1 b q -,b8c6
6k1/6pp/3N4/1Rp2pK1/8/3P1BP1/5P1r/6r1 b - -,g8f8
2r3k1/1p2ppbp/p1r3p1/3qP2P/3P2P1/3Q1N2/PP5R/1K1R4 b - -,c6c4
2r1rbk1/1b4pp/pp1ppp2/2q5/2P1PQ1P/1PN1RN2/P2R1PP1/6K1 w - -,f4g4
r2r1bk1/5ppp/5qn1/2Nb1N2/1p1P4/1P2QPPn/1B6/1BR1R1K1 w - -,g1h2
r2q1rk1/pbpnbppp/1p2p3/6B1/P2PP3/2PB1N2/2Q2PPP/3R1RK1 w - -,g5f4
8/1p1Q4/4p1P1/p2pkpq1/B2br3/8/7R/1R5K w - -,d7c7
2rr2k1/1pq2pbp/p1n3p1/2pPp3/8/1P2P1PP/PB2QPB1/R2R2K1 b - -,c6a5
8/8/5k1p/8/3N4/6K1/r7/8 w - -,d4f3
R7/2bP4/8/Pkp3p1/6Kp/8/8/8 w - -,a5a6
r4r1k/pp2bqpn/2pp4/4pPP1/2P1P3/2N1B3/PP2Q3/3R1RK1 b - -,e7g5
r1b1k2r/2qnbppp/pp1ppn2/8/2P1P3/P1NB4/1PN1QPPP/R1B2RK1 w kq -,c1d2
2r1k2r/1bqpbp2/4p3/p2nP1P1/1p1p2P1/3P1B2/PPPBQN2/2R2RK1 w k -,e2e4
2r5/4bBP1/1p6/pP1npk1p/P1P2p2/2B2P2/6P1/7K w - -,f7d5
1rr2bk1/1b3pp1/1q1p1n1p/p2Pp3/4P3/4N2P/P1BN1PP1/2RQR1K1 b - -,b7a6
8/5kpp/p4p2/1p6/2nB4/5P2/PPP2P1P/5K2 b - -,f7e6
8/7p/3k1n1B/3p2p1/6P1/1B2PP1P/1b2K3/8 b - -,d5d4
8/p1P1kp2/8/7p/4B1p1/6P1/r4P2/4K3 b - -,e7d7
3r1k2/1R6/8/p2nK3/P7/7n/1P1p4/3R4 b - -,d5e3
3r2k1/4npbp/4b1p1/Nq1p4/1P6/1Pn3P1/2NQPPBP/R3R1K1 b - -,e6g4
r6q/3r1p1k/1p1pp1p1/pPn1b1Bp/4P3/1P3P2/P2R1QPP/3R1B1K b - -,a8c8
8/1k1K4/8/1P4b1/3BP2p/7P/8/8 b - -,g5f4
4Qnk1/4Npp1/2Bq4/7p/p1P3bP/P2n2P1/1P6/7K b - -,g8h7
6k1/5pp1/pp2p2p/4P1q1/PPp5/2Pr3P/4RPP1/4Q1K1 w - -,g1f1
r3k2r/pp1qbpp1/2n1p3/2ppPn1p/5P2/2PP1NPP/PP1N1BK1/R3QR2 b kq -,e8c8
8/4nk2/1p5p/1P1PP1p1/8/3BK1P1/7P/8 b - -,e7d5
rn1qbrk1/pp4pp/2pbp3/1P1p1p2/2PP4/2Q2NP1/P3PPBP/1RB2RK1 b - -,b8d7
r6r/ppkn1pbp/2p2np1/4p1P1/2P2P2/2N1B3/PP2BP1P/2KR3R b - -,f6e8
8/6kp/1b2B1p1/1n4P1/1p3P1P/1N3K2/8/8 w - -,f4f5
8/3bkp2/5p2/2bB4/2P2P2/3K2P1/4N3/8 b - -,d7g4
5k2/1p1b1p2/1r1p2p1/2pP2P1/2P4P/R5K1/6B1/8 w - -,g2f3
1rb1k2r/p2pbpp1/n6p/2pP4/Qq2P3/5N2/P2NBPPP/R4RK1 w k -,a4c2
r1bqk2r/ppp2ppp/2n2P2/2b5/2p5/2p2N2/PP3PPP/RNBQ1RK1 w kq -,d1e2
7r/1b1n1PN1/p2kp3/1p1p3B/7r/4B3/PPP4P/2K2R2 b - -,d7f8
r7/ppknr1pp/2pb1p2/4p2n/2B1P2B/P1N5/1PPR1PPP/2K4R w - -,h1d1
r2qkb1r/pp1bpppp/3p1n2/2pP4/2P1PP2/2N5/PP2BP1P/R1BQK2R b KQkq -,d8c7
r4r1k/p2p2pp/1q1np3/1pp2p1Q/P4B2/2PP2P1/1P3PKP/R3R3 w - -,f4d6
r5r1/1p5k/2p1p3/p1Pp3b/3PpP1b/1P5P/P2B3K/1NR2R2 w - -,f1g1
8/2p5/2Pp4/3Pp3/1Pr1P2R/1K6/6k1/8 b - -,c4c1
8/5k1p/3b1Pp1/4p3/5P1P/p1B5/P5K1/8 b - -,f7f6
8/pp6/3k4/r4b1p/8/P1P1RPP1/1P5P/2K5 b - -,a5e5
8/8/p5pk/3Q4/7P/1KP5/1P2q1P1/8 b - -,e2f2
5r2/6kp/3p2p1/2p1b1q1/1pP1Pr2/pP1Q3P/P5P1/1B2RR1K w - -,h1g1
2r2rk1/2q3bp/p4np1/1pBpn3/1P4PP/P2B2Q1/2P1N1K1/1R3R2 b - -,f8e8
r1b5/p3p1k1/2q1P2p/3p1rp1/3R1p2/2N5/PP2QPPP/4R1K1 b - -,a8b8
r2q1rk1/1b3pp1/1p2pb1p/p1ppP3/3P4/P1PBP3/1P1N2PP/RQ3RK1 b - -,f6g5
6k1/4bp2/1n2p1pp/3RPn2/1p2r2P/5NP1/PP1RN1K1/4B3 b - -,b6d5
2b2rk1/p1r2ppp/4n3/2p1RB2/2PpN3/1P5P/P4PP1/3R2K1 b - -,c8b7
6k1/pp1r1Bpp/2b5/4B3/5P2/PP5P/6PK/R7 b - -,g8f7
4r1k1/pbq2ppp/1p1n4/4p2P/P1P3P1/1P2PpB1/5P2/R2R1QK1 w - -,f1d3
3q1r1k/3R1p1n/3p4/p1pP1Bp1/1pP3P1/1P2QP2/P7/6K1 b - -,d8f6
r2r2k1/pp3ppp/1nb1qn2/4N3/2pP4/P1N5/1P1Q1PPP/R3RBK1 w - -,a1d1
r1b2rk1/4qppp/p1p1p3/3pP3/Q7/3B4/PPP2PPP/R3R1K1 b - -,c6c5
r1b1r1k1/2p2ppp/p2p4/N2P4/RP1b4/4P1P1/3n1PBP/3R2K1 w - -,d1d2
r1bqk2r/p3bppp/2p1pn2/3p4/4P3/3B4/PPP1QPPP/RNB2RK1 w kq -,c2c4
4Q3/p5pk/6qp/2pR1r2/2P1pr2/1P5P/P5P1/6RK w - -,e8g6
r4nk1/1b4p1/5b2/2p2P2/2NpPB2/3P4/6B1/1R4K1 b - -,b7c6
8/8/1p5p/p1k3p1/P1r2p2/3K4/R5PP/8 b - -,g5g4
1r6/2k2p2/2p1p1p1/p1PqP2p/P4P1P/6P1/KPQ5/4R3 w - -,b2b3
r2qkb1r/p1pb1ppp/2pp1n2/8/3NP3/2N5/PPP2PPP/R1BQK2R w KQkq -,e1g1:d1f3
5k2/1pR2p2/1r3bp1/p6p/P2p1P2/1P1R2PP/8/6K1 b - f3,b6b4
1r1r2k1/1pn2pb1/4bnpp/p1N1p3/2P5/2N1B3/PP2BPPP/R2R2K1 b - -,d8d1
6k1/1R4p1/7p/8/1pNb4/1r4P1/1P5P/7K b - -,d4b2
r1bqkb1r/pp2nppp/2n1p3/3pP3/3p4/N1P2N2/PP3PPP/R1BQKB1R w KQkq -,c3d4
r4rk1/5p1p/3pp1p1/p1q5/1pPQ4/1P2PP1P/5P2/R4RK1 b - -,a8a6
r1b2rk1/pp1p2pp/4p3/b1B4q/2P1N1n1/6P1/PP2PPBP/R2QK2R w KQ -,e1f1
r1b1kb1r/1p3ppp/pqnppn2/8/4P3/1NNBB3/PPP2PPP/R2Q1RK1 b kq -,b6c7
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1P3NP1/PB1NPPBP/R2Q1RK1 w - -,a1c1
2k5/1p6/1p2p2p/2p2p2/2P2P1P/1P2PK2/P1R4R/3r3r w - -,f3g3
r1r3k1/5pbp/6p1/PP1P4/2p4q/3p1B1P/3Q1PP1/R4RK1 b - -,g7a1
2r2b1r/1N1k1ppp/p3p3/3n4/1p3P2/4BB2/PPb3PP/2R1R1K1 w - -,e3d2
r2q1rk1/1bpnbppp/p3pn2/1p6/8/1Q1P1NP1/PP1BPPBP/RN3RK1 w - -,d2a5
r1bq1rk1/pp2nppp/4p3/1BPp4/3Pn3/2N2N2/PP3PPP/R2Q1RK1 b - -,b7b6
5k2/1ppbrp1r/p2p4/P4PQp/4P3/1BPP4/1P5K/8 w - -,g5f6:b3c2
r4rk1/pp1b1pbp/3q1np1/3Pp1B1/3p3Q/1B1P2NP/PPP2PP1/R4RK1 b - -,a8e8
8/8/2b1k1p1/4Pp1p/5P1P/4K1P1/8/2B5 b - -,c6b5
8/p7/4ppk1/3n3p/8/r7/P1RBKPPP/8 b - -,g6f5
r1b1kb1r/ppppq2p/2nn1pp1/1N1Qp3/8/1B6/PPPP1PPP/R1B1K1NR w KQkq -,b5c7
r2q1rk1/pp3pp1/2npbb1p/2p1p3/2N1P3/2PP1NP1/PP2QPBP/R2R2K1 w - -,c4e3
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P1P2/2N1BN2/PPPQ2PP/R3KB1R b KQkq -,b6b2
r3r1k1/3q4/4pn1p/ppbp2p1/5N2/2Q2PPB/PPP4P/3R1R1K b - -,g5f4
3rr1k1/2pnnqpp/1p3p2/p1b1pN2/P1b1P2P/2P1BBP1/1PQN1P1K/3RR3 b - -,c4e6
1n2r1k1/Q2b1p1p/p2b1q2/3P4/4P3/6P1/P4PBP/2R2RK1 w - -,f2f4
2R5/8/1p4p1/1P2Pk1p/5r1P/1r2B3/4K3/8 b - -,f4e4
6k1/5p1p/4bp2/pR6/8/2N2P2/1P1r1KPP/8 w - -,f2g3
r1q2rk1/1n1bbppp/p2p4/1ppPp3/4P3/1PP1B2P/P1BNQPP1/R3R1K1 b - -,c8d8
8/8/4p1p1/3pP3/2b2k1P/8/pK6/6R1 b - -,c4d3
7k/2p1p1b1/1p1p3p/p2P1P2/2P2P1p/1P2P1rP/R4K2/7R b - -,h8g8
1r4rk/2p2Rp1/2p4p/2N1P2P/1P1p4/8/b4PP1/1R4K1 w - -,e5e6
8/5p2/4p3/1r6/6P1/3k1P2/1P2R2P/5K2 w - -,f1f2
4r3/3R1pkp/6p1/1P1p4/8/5r1P/1R5K/8 b - -,e8e3
r4rk1/pp1b1ppp/3ppn2/2q5/4PP2/2NB1Q2/PPP3PP/4RR1K b - -,d7c6
r1bqrbk1/1pp2pp1/p1np1n1p/4p3/B3P3/2PP1N2/PP1NQPPP/R1BR2K1 w - -,d2f1
2k1b3/pp3r1p/2pqnbp1/5p2/3N3P/2N1P1P1/PP1Q1PB1/1K1R4 w - -,d2c2
8/5pk1/6p1/Pp6/1Pp5/3q2PP/4Q3/5K2 b - -,d3g3
1r1q2k1/Qp1b1p1p/2p3p1/2n1p3/2N1Pn2/P1N4P/1P3PP1/3R1BK1 b - -,b7b6
rn1qk2r/1p2nppp/1b2p3/1N1pP3/1P6/2P2N2/P4PPP/R1BQK2R b KQkq -,e8g8
8/8/2b5/p5p1/1pB2k2/1P6/P4K2/8 w - -,c4d3
1q3rk1/rp2b1pp/nNp1bp2/p3pn2/2P5/PP2PNPB/1B2QP1P/2RR2K1 b - -,b8c7
3r3k/6pp/1b1P4/8/5p2/5Q1P/5PPK/4r3 w - -,f3f4
8/2B3p1/1PkP4/7p/7P/1N4P1/p1KN4/1r6 b - -,a2a1q
3q4/1pk2pp1/2p5/2Bbp3/4P3/2P5/PP2Q2P/1K6 b - -,d5e4
2r1r1k1/p3ppbp/npp3p1/2Pp4/3P4/qPQ2BP1/P1R1PP1P/2BR2K1 b - -,a3b4
r4r1k/2pqnpbp/p2p2p1/1p1Np2n/4P3/PB1PB2P/1PP2PP1/R2Q1RK1 w - -,d5e7
1r1rb2k/4n1pp/4n1q1/3p4/pp3PN1/4Q1P1/PPP3BP/1K1RR3 w - -,e3e6
r2q1rk1/pp1n1ppp/2pbpn2/3p4/2PP2b1/1P3NP1/P2NPPBP/R1BQ1RK1 w - -,c1b2
8/6r1/p1kb4/B1p1p1pp/2P1P3/1R3PPP/1P2K3/8 b - -,g7a7
4rrk1/1bp3pp/1p1pp3/p2P1pq1/2P1nP2/PP2P3/1B2B1PP/R2RQ1K1 b - f3,g5e7
1r1r2k1/4np1p/2p1p1p1/pP6/3P1P2/1BP3P1/1P1RR2P/6K1 b - -,c6b5
3r1k2/6pp/1R2p3/8/2pP4/2b1BP1P/8/7K b - -,f8f7
7r/1p1Rrpk1/2pR2n1/6q1/1P2PpN1/8/P3BPQ1/5K2 w - -,g2f3
2k1r1r1/pp1bn2R/2n1p1p1/2PpP1B1/8/P1P2N2/4BPP1/2KR4 b - -,c8c7
8/p5kp/r5p1/5p2/1p1Pn3/1Pr2NP1/PR4KP/R7 w - -,a1e1
r2q1r2/1p2b1k1/pn5p/3pPbp1/1P1P4/P1N2N1Q/3B2PP/R1R3K1 w - -,h3g3
5rk1/4n1b1/2p1q2p/p2pP1p1/P1nP2P1/3Q4/3BRN1P/4R1K1 b - -,e7g6
rn3rk1/p1pp2pp/1p6/3P4/1b4nq/2NQ4/PP2NPPP/R1B2RK1 w - -,d3g3
5rk1/8/p3p2p/B1b3p1/1p4P1/5P1P/PPP5/2K2R2 b - -,e6e5
8/3N4/2n1p1pp/p2k1p2/8/4K1PP/1P3P2/8 b - -,e6e5
r1b2rk1/1pq2ppp/4pn2/Pp6/4P3/2P2N2/P1Q2PPP/R1B1K2R b KQ -,f6e4
6k1/5p2/1B4p1/P1p1p3/1pP1Pb2/3R3P/1r2n1P1/5N1K b - -,b2b1
3r1k2/p4p2/1p5p/1R6/3NQp1q/2P1n3/PKP1B3/6r1 b - -,h4f6
r3r1k1/1p3pb1/p1p4p/N1Pn3P/1P1Pp3/4P1BR/P4K2/R7 w - -,a2a3
2kr1b1r/1p1b1P2/p1q5/Q2Nnp2/8/1N6/PPP1B3/2KR2R1 b - -,f8h6
rnbqr1k1/pp5p/6p1/2pP2Q1/6n1/2N2N2/PP2B1PP/R3K2R b KQ -,d8g5
r2n3r/1p2bpk1/2p3p1/3pPBp1/p2P4/P3Q1Pq/5P1P/R1BR1NK1 b - -,h3f5
8/8/6kp/5R2/r3p1P1/4K3/5P2/8 b - -,a4b4
5r1k/p3p2p/qp4pb/2p2n2/2N2P2/2P4P/1P2Q1P1/2B1R1K1 w - -,e2e6
rr4k1/1q3ppp/3p1b2/3Np3/3nP3/N7/PP1Q1PPP/R3K2R w KQ -,e1g1
1rbq1rk1/p3pp1p/3p2p1/2p1b3/4PP2/1BN3Q1/PPP3PP/R4RK1 b - f3,e5g7
3r4/6pp/2b1p1k1/1pP1P3/pP1P1R2/N1K3P1/7P/8 w - -,c3b2
2r3k1/R6p/3p4/2nP1q2/2P1pp2/2Q2PP1/5NKP/8 b - -,e4f3
3r2k1/p1pr2pp/8/1PB5/4Pp1P/5P2/P3BK2/2Rn4 w - -,f2e1
2kr4/2p1r2p/1p6/pP1B1RP1/P3PP2/3P1K2/8/8 w - -,f5f6
3r1rk1/pp3p1p/1qpp2p1/2n5/2P1P1P1/2N1R3/PP1Q1PP1/R5K1 w - -,b2b3
r1bq1rk1/pp2b1p1/2pp1n1p/3Pnp2/2P1p3/1PN3PN/P3PPBP/R1BQ1RK1 w - -,c1b2:f2f3
2r2kr1/4b3/p3p2p/3p1bp1/3P1B2/2P5/PP1N1P1P/R3K1R1 w Q g6,f4e5
r6k/p1p1q2p/2n2nR1/4p3/2p1PP2/2P2P1Q/1P5P/2KR4 b - -,e5f4
1r5k/7p/p1p2np1/2P5/2B1pN2/P6R/1r2KP2/8 w - -,e2f1
r4rk1/ppp3pp/5b2/8/2P1R1b1/1P1N4/PB3P1P/R5K1 b - -,g4f3
1R6/1pr1rpk1/pR4p1/2p4p/2P4P/PP4P1/5PK1/8 b - -,e7d7
1q1r1b2/1rnn1pkp/pp1p4/3Np1P1/2P1P3/2R5/PP1Q1BBP/4R1K1 w - -,d5f6
8/1p4p1/p1n1k1r1/3Rp2p/1P2P2P/P4P2/1B3PK1/8 w - -,g2f1
7k/1p5p/p2N2p1/P7/2r5/1R1n4/7P/6K1 b - -,d3c5
8/5pk1/6p1/4P3/3R1KPP/8/8/r7 w - -,e5e6
2rq1rk1/1b3ppp/p3pn2/2bn4/8/1P3NN1/PB3PPP/RB1QR1K1 b - -,d8b6
r1bqk2r/1pp2pbp/p1np1np1/4p3/B3P3/2PP1N2/PP3PPP/R1BQKN1R b KQkq -,e8g8:b7b5
r2q1rk1/pp4b1/3p2np/3Ppp2/2P3b1/2N1QN2/PP3PP1/2RR1BK1 w - f6,c4c5
rnb1k2r/ppppqpbp/5np1/4p3/1PP5/P2PP3/1B3PPP/RN1QKBNR b KQkq -,a7a5
r1b2rk1/1p1n1pp1/1b4q1/p3p2p/P3P3/1N1B2B1/1P2QPPP/2RR3K b - -,g6g5
r3k2r/p1q2pp1/1nn1p1p1/1p1pP1B1/2pP3P/P1P3P1/1P1N1PK1/R2Q1R2 w kq -,f1h1
8/3q2pk/1p2p2p/p4p2/3P4/1P4PP/n3QP1K/B7 b - -,a2b4
r1qrb1k1/p4pbp/1pnppnp1/8/2P1P3/1NN1BP2/PP2BQPP/2RR2K1 b - -,c8b8
1r1r1bk1/ppR4p/3p2p1/3Ppq2/4R3/BP2Q1P1/P4P1P/6K1 b - -,d8d7
