8/2pk4/7R/p2P3p/1pK1n3/8/P7/8 b - -,e4c3
r3r3/2p2kpp/3p1p2/p1p5/2P1PP2/1P3P2/P6P/1R1R2K1 b - -,a8b8
3r1nr1/pp5k/2b4p/3pPN2/3P1P2/1RN5/P4R1P/7K b - -,f8e6
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/2NB4/PPPBQPPP/R3K2R b KQkq -,c8b7
r4rk1/pbq4p/1p3bp1/2ppp3/3Pn1QP/2PBP1R1/PP4P1/R1B2NK1 w - -,d3e4
7k/6p1/6K1/4N1P1/1p3P1p/8/8/7r b - -,h8g8
r1bkr3/pppp1ppp/2n2nq1/1N6/4PQ2/2P1P3/PP1N2PP/R3KB1R b KQ -,d7d6
4rr1k/1pqb2np/p2p1pn1/2pP2p1/P3PP2/2NQR1PP/1PN2R2/5BK1 b - -,g5f4
r6k/6p1/1p1p1n1p/3B4/P7/6P1/1PP3KP/8 w - -,d5a8
1rb1rnk1/pp2pp1p/q1p3pb/2P1P3/N4P2/2B1P1P1/P5BP/2RQ1RK1 b - -,c8e6
8/4kp2/b1p5/2Bp4/P5B1/2b1K3/6P1/8 b - -,e7e8
r4b1r/1pkn1np1/2p1bp2/p3p3/2P4p/1PN1P2P/PB1NBPP1/2KR2R1 w - -,g1f1
r1q2rk1/p2n1ppp/1pbppn2/6B1/1RPP4/2PB4/P1QN1PPP/4R1K1 b - -,f8e8
8/1R2n3/1p1r4/4k2p/7b/7P/8/1B3R1K b - -,e5e6
5r2/p3bpkp/1p2q1p1/4P3/3RQ3/2N5/PP3PP1/6K1 w - -,g2g4
8/3r2k1/3P1pp1/3Q3p/7P/6P1/4qP2/3R2K1 b - -,e2e8
r1r5/3bppkp/5np1/3p4/PqNNp3/1P4Q1/4PP1P/2RR2K1 w - -,d4c2
r3q1k1/3b3n/p3p1pp/1pp1PnB1/2P1Q3/3B4/PP4PP/5RK1 w - -,g5c1
2br1rk1/pp2qpp1/4pn1p/4N3/7R/3B1Q2/PPP2PPP/4R1K1 b - -,d8d5
8/p5pk/4n2p/3r3P/1B4P1/4R1K1/r7/5N2 b - -,e6c5
r1b2rk1/p1p2pp1/1p1p4/3P2qp/8/1Q3BP1/PP3NKP/4R2R b - -,c8g4
8/5pk1/ppbN2p1/8/1P5p/3R1P1P/P3K1P1/2r5 w - -,e2e3
4r1k1/1pp2pp1/p1n1r2p/3qp3/8/1PPPRN1P/1PQ2PP1/4R1K1 b - -,f7f6
r1br2k1/p3bppp/2p1pn2/q7/2P5/2N1B3/PPQ1BPPP/R3K2R w KQ -,e1g1
3r2k1/p2n1ppp/P1n1p3/1r6/1p6/4PP2/1P3P1P/2RRB1K1 w - -,c1c6
r1q2rk1/pp1bppbp/2np1np1/2p5/4P3/2PPBPPP/PP2N1BK/RN1Q1R2 b - -,b7b5
1brqr1k1/5ppp/p5n1/1p2P3/2pP2n1/2N5/PPQ1N1PP/3R1RBK w - b6,e2g3
8/1pk1n3/p2p1Q2/2q5/4P3/5PK1/8/8 w - -,f6e7
2rr2k1/1bq2pb1/p1n1p1p1/1pp1n2p/4P3/PPP2NPP/1B2BP2/1Q1RRNK1 w - -,f3h4
5rk1/2qbbppp/3p1n2/1p1Pp3/nP2P3/2N1B2P/2B1NPP1/Q4RK1 w - -,f2f3
8/3kn3/4p1p1/3r4/1Q3PP1/5K2/6P1/8 w - -,f3e4
2r1r1k1/1p4p1/p2q1p1p/3PnQ2/8/1P6/PB3PP1/3RR1K1 b - -,e5f7
r4rk1/1p2bpp1/2p4p/3q1b2/5B2/P2P3P/1P4P1/R2QNRK1 b - -,a8d8
r4k2/pb1Rbpp1/1p2p2p/nB2P3/8/2P1BN1P/P4PP1/6K1 w - -,f3d2
qn4k1/5p1p/2bQr1p1/1p6/4P3/1N2R3/5PPP/2R3K1 w - -,d6d8
1r6/8/1P3k2/8/8/8/2K4R/8 b - -,f6g6
8/5pp1/8/p4k1p/7P/r5P1/P3RP2/5K2 b - -,f7f6
r2qk1nr/1bpnp1bp/p2pp1p1/1p6/3P1P2/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,f3g5
rnbqk2r/ppp1npbp/4p1p1/3P4/8/2N1P1P1/PP1P1PBP/R1BQK1NR b KQkq -,e6d5
2r3k1/p5pp/5p2/8/2RpBP2/6P1/3QP2P/q4K2 w - -,d2e1
2b2rk1/Rp5p/2p2qp1/2P5/1P2p3/2Q3P1/4BP1P/6K1 w - -,c3f6
2rq1rk1/1b2npb1/6pp/p2p4/PpnNP3/1B5P/1PR1NPPB/3Q1RK1 b - -,c4b6
b3r3/p7/Pp4k1/1P1p1p1p/2pNr2R/4PKP1/4R3/8 w - -,h4f4
6r1/3b1p1k/1p1p3p/qPpPpNbP/n1P1P1B1/r5P1/2Q1NP2/R4RK1 b - -,a5b4
r4rk1/pp1qppbp/2p2np1/3p4/2PP4/1PBQ2PP/P3PPB1/R4RK1 b - -,f6e4
r5k1/p1qb4/1p2p1n1/8/8/Q2P2RP/P4p1K/1R6 w - -,b1f1
8/2n3kp/1p2p1p1/1p6/1Pr1N3/P4KP1/5P2/3R4 b - -,c7d5
4r3/6B1/1pbPk1pp/8/8/P6P/5RP1/6K1 b - -,e6d6
8/3P2R1/5pp1/7p/4p2k/6r1/7K/8 b - -,g3d3
r3r3/1p3k1p/p2bp2p/P2p4/1P6/1N6/5PPP/4RRK1 w - -,b3c5
q5k1/2p2p2/3b4/5rpp/1p1R1p2/1P3P1P/P3Q1P1/3R1K2 b - -,f5a5
3rqr1k/pbn2p1p/1p3PpQ/2ppP3/3N4/1P5P/P1P3BK/3RR3 b - -,f8g8
8/8/5b1K/5k2/8/4B2P/8/8 b - -,f6e5
r3k2r/1p3ppp/p1nqpn2/3p4/3P4/2PQ1N2/PP1N1PPP/R4RK1 w kq -,f1e1
2r3k1/pp3ppp/2p1b3/8/5B2/P4B2/5PPP/3R2K1 w - -,f4e3
5r2/p2rqpk1/1pRp2p1/1n1Pp1Np/4P1nP/1P4PB/P4P2/2R1Q1K1 w - -,f2f3
r3kb1r/5p2/p2pb2p/qp2p3/4n1pB/2N5/PPPQBPPP/1K1R3R w kq -,d2d3
2r1r1k1/5pp1/p2p1b1p/qp6/2n1P3/1B5P/PP2RPP1/1RBQ2K1 b - -,a5b6
6k1/R4p2/8/2p4p/2PnN1p1/5rP1/5P2/5K2 w - -,e4c5
4rrk1/p1q4p/2pbbnp1/1p3p2/2P5/4PBP1/PPQB1NKP/4RR2 w - b6,c4b5
3r2k1/1R3p2/4p2p/8/3PN3/3KP3/5rpb/6R1 w - -,e4f2
5B2/5ppk/3R4/3n3p/1p6/3r2PP/5P2/5K2 w - -,f1e1
rn1q1rk1/pbp2ppp/1p2pn2/3p4/2PP4/P1PBPP2/6PP/R1BQK1NR w KQ d6,c4d5
1r4k1/4n1b1/2np2pp/p1p1p3/4P1P1/2PPB1NP/PqQ3B1/2R3K1 b - -,b2c2
r1bq1rk1/1pp2ppp/2n5/p1bnp3/3P4/2P2N2/PP1NBPPP/R1BQ1RK1 b - -,e5d4
r1b2rk1/1pq1npbp/p3p3/2pp1P2/P1BnP2Q/2NP1N2/1PP4P/R1B2RK1 w - -,f3g5
r1b1rk2/2qn1p1p/2p2np1/pp2p3/4P3/1PP2NP1/P1QN1PBP/3RR1K1 w - -,c3c4
4k2r/1p2bppp/1nr1p3/3qP3/5n2/PQ3N2/3N1PPP/R1B1R1K1 w k -,b3d5
8/p7/P7/1pk1pP1p/r3P1pP/1RP1K3/8/8 w - -,b3b1
7Q/6K1/1p6/8/4k3/8/P7/q7 w - -,g7h7
2r2r1k/2p3b1/p2p2qp/1p1BNp1n/7B/2P5/PP1Q1PPP/R3R2K b - -,d6e5
3k4/1K6/1P5p/5B2/6P1/4b3/8/8 w - -,b7c6
2r1kb1r/5pp1/p2p1n1p/qp2pPP1/1n2P2P/1PNBBQ2/1PP5/1K1R3R b k -,f6d7
r4rk1/2qnbppp/4p3/p1p5/PpPP4/1P2P1P1/1B1NQ1bP/R3R1K1 w - -,e2g2
r4b1r/1p3kpp/p2qpn2/Pb1p4/1P1N4/2P4Q/5PPP/R1B1R1K1 w - -,e1e6
r5k1/1p2q2p/2p3pR/p1Pp1p2/3Rr3/PPQ1P3/5PPP/6K1 w - -,h6h3
r1b1r1k1/4qpb1/p1pp1npp/2p1p3/4P3/2PP2NP/PP2QPPN/R1BR2K1 b - -,a6a5
3r3r/ppk2p2/7p/2P2np1/3P1p2/bB6/P2B1P1P/3RR1K1 w - -,d2c3
4rbk1/3R2pp/2p5/2p5/2N1np2/BP3K2/2P3PP/8 b - -,e4g5
rnbq1rk1/pp1pnpbp/6p1/2p1p3/2P5/2NP1NP1/PP2PPBP/R1BQ1RK1 b - -,d7d6
2br4/p3n1bk/1pn5/1N2p1qp/P3Pp2/1N3PpP/1PQ1B1P1/R3B1K1 w - -,a1d1
r4b1r/p4ppp/4k3/3p4/8/4BP2/PP3P1P/2R1K2R b K -,f8b4
4k1r1/r5Pp/ppp2q2/2np4/3NbB2/P3QP2/1P2P1PP/4KB1R b K -,g8g7
rnbqk2r/ppppbpp1/4pn1p/8/2PP4/2N2NP1/PP2PP1P/R1BQKB1R b KQkq -,e8g8
r1b1k2r/ppbnqpp1/2p1p2p/8/2BPN3/4PN2/PP3PPP/2RQ1RK1 b kq -,e8g8
4r2k/1b2rp1p/p5p1/1p6/2pqB1PQ/P4PK1/1P4P1/R3R3 b - -,b7e4
2r2rk1/pb1nbppp/1q2pn2/2pp4/2PP4/1P3NP1/Q2BPPBP/RN1R2K1 w - -,d2a5
4r1k1/p3pBb1/2P3p1/6Bp/3r4/P5P1/2p5/5RK1 b - -,g8h7
1r3rk1/p1p1b2p/1npp2p1/4p3/4P2P/1P3PB1/P1P1N1P1/2KR3R b - -,f8f7
r2r2k1/1p3ppp/p2R4/2p5/2P5/4RP2/PP3P1P/1K6 w - -,e3d3
2n2rk1/2q2pp1/2b2n1p/1p2p3/4P3/3RQ1PP/2PN2BK/R7 w - -,d3c3
4r1k1/p1rn1ppp/1p2pn2/8/2PP4/B2B2PP/P5P1/2RR1K2 b - -,e8c8
5r1k/6b1/3p1q2/3Qp1pp/2P1B3/3P2P1/P3PPK1/5R2 b - -,g5g4
2rr4/p4pkp/5qp1/1p6/1P6/P3Q1P1/5P1P/3R1RK1 b - -,a7a6
8/5pp1/4pk2/7p/1pN1P3/5PP1/2K3P1/4b3 w - -,c2b3
3rr1k1/1pb2pp1/pN2pn1p/P1B5/2P1pP2/1P4PP/4P2K/R2R4 w - -,b3b4
r1b1kb1r/1pp1pppp/p2q1n2/3P4/8/2N3P1/PPP2P1P/R1BQKB1R b KQkq -,c8g4:e7e6
1r1q1rk1/p6p/3p1pPb/3Pp3/3p3P/1P1P2P1/P3Q1B1/R4RK1 b - -,h6e3
6k1/5q2/3Rppp1/1p1r3p/7P/1P3QP1/P4PK1/8 w - -,d6b6
r1b2rk1/1p1nppbp/p2p1np1/q1P5/4P3/2N1BN2/PPPQBPPP/1K1R3R b - -,d7c5
r2r2k1/1p1b1pbp/5np1/2q3N1/p1PpP3/P2B4/2Q2PPP/R2R1NK1 w - -,g5f3
3B4/8/1pk1b3/2p4p/2P2P2/8/pK6/8 w - -,b2a2
R4bk1/1Q3p2/p2q2p1/4p2p/3pP2P/2rP2P1/P4P2/5BK1 b - -,c3a3
8/8/8/8/8/3n4/2k5/K1b5 b - -,c1b2
r1q2rk1/ppp1pp1p/1n4p1/3Pb3/4P1b1/1QN1B3/PP2BPPP/2KR3R w - -,f2f3
r5k1/pb2b1p1/4p1Q1/1P5p/2ppNq2/3B3P/PP6/R3K1R1 b Q -,f4e5
8/1pB5/2p5/1p3k1p/3P4/PP2K1P1/5n2/8 b - -,f2g4
5r1k/r2b3p/p2R1ppb/3Q4/2B2P2/1P2q1P1/PB2PR1P/6K1 b - -,d7h3
r1bqk2r/pp2bppp/2n1p3/3n4/3N2P1/2N1B3/PPP1BP1P/R2QK2R w KQkq -,c3d5
r6r/5kp1/p6p/3bpP1n/P1p5/2P1B3/2P4P/2KR2R1 w - -,d1d5
r4rk1/ppq1bppp/1np1p3/8/1B1Pb3/1Q3NP1/PP2PPBP/R4RK1 b - -,e4d5
6k1/4R3/6P1/2b3K1/7p/8/8/8 w - -,e7d7
7k/1p2r3/2p3qp/8/3P1P2/4P3/PPB1K3/8 w - -,c2g6
8/5k1n/4p2P/2p3p1/4P3/8/P3N1K1/8 w - -,a2a4
2r3k1/p5bp/bn2r1p1/3P4/4P3/2p1B3/P4PPP/2R1K2R w K -,d5e6
r2qk2r/ppp1nppp/2nbp3/8/Q1pP2b1/5NP1/PP2PPBP/RNBR2K1 b kq -,e8g8
2r2nk1/4rpp1/4p1p1/pp1pP1N1/2q2P2/2P4P/PP3QP1/R3R2K b - -,b5b4
8/p2R1pkp/1p2p3/4N1p1/5P2/1P2P1P1/q5KP/8 w - -,g2h3
r3k2r/pp1qbpp1/1nppbn1p/8/3PPB2/2PB1NN1/PP4PP/R2Q1RK1 w kq -,e4e5
r1bq1rk1/3nppbp/2p3p1/pp6/3PP3/1BP1B3/P3NPPP/R2Q1RK1 b - -,a5a4
5r2/1br2pkp/p2ppnp1/1p6/3NP3/P1NP1P2/1P4PP/3RR1K1 w - -,g1f2
r7/4ppbk/q2p3p/2pP2p1/1r2N3/P2bBNPP/1P1Q1P2/2R1R1K1 b - -,b4e4
r1bqk2r/pp1np1bp/3p1np1/6B1/3N4/3Q2N1/PPP2PPP/2KR1B1R b kq -,d7c5
r2q1rk1/1b1p1ppp/1p1P1nn1/1pp1pN2/4P3/2P2PP1/PP2N1BP/R2Q1RK1 b - -,f8e8
5b2/5k1p/p2pn1p1/2p3P1/1pP4P/1P1PKNB1/P7/8 b - -,e6g7
r2q1rk1/1b4pp/1pp1pb2/p3p3/PP2P3/5N2/2PQ1PPP/1N1RR1K1 w - -,b4a5
6k1/1Np2p1p/4pp2/8/3n4/6P1/rP2PP1P/1R4K1 w - -,g1f1
r2q1rk1/1b1n1ppp/2pbpn2/pp6/3PP3/2NB1N2/PP1B1PPP/2RQ1RK1 b - -,e6e5
2q5/1pr3bk/p5p1/P3P2p/2r5/2B1RR1P/6P1/4Q2K b - -,c4c6
1r1r2k1/5ppp/p1q1p3/2p1n2N/1p1b1B2/3R2PP/PPP1QP1K/5R2 b - -,e5d3
3r1rk1/1bq1bppp/npp1p3/p1n5/2P1PP2/PP2NNP1/2Q3BP/R2R2BK b - -,d8d1
5rk1/p4p1p/1p2p1p1/4P3/3P2P1/1B3b1P/PR3P2/6K1 b - -,f8d8
r1b2rk1/pp1nqpp1/4pn1p/3p4/3P4/2PB1N2/PP1N1PPP/R2QR1K1 w - -,d1e2
7r/1k6/p7/1p5B/3p1P1P/1P4r1/2PK2b1/2R3R1 w - -,h5f7
3r4/6k1/3p3R/2p3P1/p1b2B1p/P1P5/7K/8 w - -,f4d6
3r4/pnrq2pk/P4p1p/1p1P1p2/2PRbP2/2B1P3/Q4RPP/3B2K1 b - -,b7d6
r2q1rk1/pppbbppp/3p1n2/8/3QP3/2N3PP/PPP2PB1/R1B2RK1 b - -,d7c6
r7/p2nppk1/6pp/6P1/1prPPB1P/8/P3RP2/3R2K1 b - -,a7a5
3rr1k1/1p1q1pb1/p5p1/3np2p/P1P5/4PQ1P/1B1R1PP1/2R3K1 w - -,d2d5
r5k1/p2p2pp/b1p1pr2/q7/1bP2P2/2NB4/PP1Q2PP/2R2RK1 b - -,d7d5
8/R4k2/2p1nr2/2N3p1/1pP3P1/4K3/PP6/8 b - -,f7g6
8/8/8/1B4kp/P5p1/r2N4/5PKP/8 w - -,h2h3
r2qk1nr/pppn1ppp/3p4/3Pp1bb/2P1P3/2N1BP2/PP4PP/R2QKBNR w KQkq -,e3f2
rnb1kbnr/1pqp1ppp/p3p3/8/3NP3/4B3/PPP2PPP/RN1QKB1R w KQkq -,f1d3
R7/8/3k1ppp/pr6/p2p1P2/6P1/3K1P1P/8 w - -,d2d3
2k1r3/pp1n3r/2p2p2/2P2R1p/7P/1B2P2Q/Pq4P1/3R2K1 b - -,c8c7
r2qkb1r/pp1n1ppp/2p1pn2/3p3b/3P3N/6PP/PPPNPPB1/R1BQ1RK1 w kq -,h4f3
8/8/8/p1p5/8/1P6/Pk2K3/8 w - -,e2d3
r1bqr1k1/ppp2pb1/3p1npp/2n5/2PNPP1B/2N5/PP2B1PP/R2Q1RK1 w - -,e2f3
6k1/pp2R1p1/2p2p2/5P1Q/2P1P1p1/P7/1q4K1/8 w - -,g2g1
3r3r/3bnp1B/1p1kpN2/p2p4/P2P4/2P4R/1P3P2/R3K3 b Q -,e7g8
rn1q1rk1/5ppp/p2bpn2/1p1pN3/3P4/1P2P2P/PB2NPP1/R2Q1RK1 b - -,b8d7
2r3k1/r3q3/p3N1pp/P3P3/1p2pP2/2P1Q2B/6PP/R5K1 b - -,b4c3
r1bq1rk1/pp3ppp/2nb1n2/8/3p4/1N3N2/PPP1BPPP/R1BQK2R b KQ -,f8e8
2r2r1k/pp3pp1/1n5p/3pNP2/b2P4/q2B1R2/5QPP/1R4K1 w - -,d3c4
2r3k1/5p1p/b2p2p1/2nP4/2R1PPP1/7P/6B1/Q5K1 b - -,a6c4
7R/4b3/p1r1k3/1p6/1P1B1Kp1/P1P4p/8/8 b - -,e7d6
r2qr1k1/pbp1bppp/np3n2/3pN1B1/3P4/PPN3P1/4PPBP/R2Q1RK1 b - -,c7c5
6k1/5pp1/4pb1p/3q4/3PR2P/1p1Q1PPK/1r1B4/8 b - -,b2c2
r3r3/3n2kn/p2p2p1/2pP2q1/1p2Pp2/1P2NP2/P2QB1PP/2R2RK1 w - -,e3c4
r4rk1/1p1bnpbp/pq2p1p1/n2p4/P1p1PPPQ/2NP1N2/BPP4P/R1B2R1K b - -,f8e8
5r1k/2r4p/p3N1p1/4p2P/P1n2q2/1QP2N2/1P1p2P1/3K3R b - -,f4f5
5k2/pbp2p2/1p4pp/2p1P3/3rNPPn/6NP/PPP1RK2/8 b - -,f8e7
4rrk1/p2R2p1/2p2b2/2Pb1B2/7P/6N1/PP4P1/4Q1KR b - -,e8e1
1r4k1/8/p1p3p1/P1Pp2b1/Rp1B1r2/1N3P1b/4K2P/3R4 w - -,d1g1
1r2r3/4ppkp/3p2P1/2qP3P/2b1B3/2P2Q2/6P1/2R1R2K b - -,h7g6
8/pp1Q1p2/1k2nP2/5r2/1P6/P7/8/1K6 b - -,f5f6
8/1p6/1kn2p1p/2b1p1pP/1p2P1P1/2P2P2/1K6/3BB3 w - -,c3b4
6k1/pp1r1n2/4rqpb/P3p2p/1pNpP3/3P3P/Q4PPB/R4RK1 w - -,a1b1
q2b1rk1/r5p1/2p1p1pp/p2pP3/PpP3P1/1P1P3P/3QNPK1/R4R2 w - -,c4c5
8/2P5/3K4/8/1k1P4/p6b/8/2N5 w - -,d4d5
r3rb2/3k2pp/2p1qp2/1p1p4/1PnP3P/2NRBQP1/2P2PK1/1R6 w - -,e3f4
r1b5/p1p2k2/3p4/1P1P2p1/2PN1P1p/7P/6K1/R7 b - -,g5g4
rnb2rk1/ppq1pnbp/2p2pp1/3pP3/N2P1PP1/5N1P/PPP1B3/R1BQK2R w KQ -,c1e3
r1bqr1k1/p4pb1/3p1np1/1ppP2Pp/4P3/7P/PPQ1NPB1/R1B2RK1 b - -,f6e4
1r1r1k2/1p3ppp/1nbNpn2/1p6/P3PP2/2N3P1/6BP/R2R2K1 w - -,a4b5
r2r4/4kp1p/4p3/nP3p2/P1p5/2N3P1/1P2KP1P/R2R4 w - -,d1d8
8/1B4p1/n7/P3k2P/6p1/4K3/8/8 b - -,a6b4
8/1R6/r7/1p4p1/8/6k1/8/4K3 w - -,b7b5
8/4r1p1/2kp2b1/p1p5/Pp2P2p/1P4N1/2PK2PP/4R3 w - -,g3f1
r1bq1rk1/pppn1pbp/3p1np1/8/2PPp3/2N1P3/PP1NBPPP/1RBQ1RK1 b - -,d8e7
8/8/8/8/k1QP3P/2p1P3/P7/2q2NK1 b - -,a4a5
2rqr3/6k1/1pp2p2/p2pB2p/Pn1P4/1P5P/3Q1PP1/4R1K1 w - -,d2g5
R7/P7/6pp/5p1k/4pP2/4P2P/r4P1K/8 w - -,h2g1
8/p4p2/5n1P/8/2N5/1Pk2P2/P4K2/8 b - -,f6h7
8/4kp2/2p5/1pP5/1q3p2/5Q1P/5PK1/8 w - -,f3c6
8/8/8/1kpPp3/p3Pp1p/2K2P1P/8/8 w - -,c3b2
r3k2r/p1pq1ppp/2p5/3pPb2/Q2Pn3/5N2/PP1N1PPP/2R1K2R b Kkq -,c6c5
8/5pk1/5R2/6Pp/5P2/6PK/8/1r6 w - -,f6h6
6k1/p4p2/1np3qp/3p2p1/1N1b4/1P1brPP1/P2Q2BP/4R1K1 w - -,e1e3
