8/6pk/7p/p1R5/6P1/Kp6/2p5/1r6 b - -,b3b2
6k1/p5pp/3q4/2p3Nb/2Pp2n1/3P4/P3QPBP/2B3K1 b - -,d6h2
5rk1/2p3pp/3pQ3/2qP4/5BPb/P6P/1PP5/2K1R3 b - -,g8h8
2Q5/8/5qpk/4p3/3bB3/5PP1/1p4K1/8 b - -,h6g7
r2qr1k1/pp1nppbp/2p2np1/8/3PpB2/2N2B1P/PPP2PP1/R2QR1K1 w - -,c3e4
1rb3k1/3nq1pp/1p2p3/pP6/N1P5/P3Q3/4B1PP/2R3K1 w - -,e2g4
5k2/pp4pp/2p2p2/3r1P2/3pR1P1/3P4/PPP4P/6K1 b - g3,d5c5
rn1qk2r/p2nbppp/Bp2p3/2ppP3/3P3P/2P2N2/PP1N1PP1/R1BQK2R b KQkq -,b8a6
rnb1k1nr/2q1ppbp/2p3p1/pp1pP1B1/3P4/P1NBQN1P/1PP2PP1/R3K2R w KQkq -,f3d2
2rr2k1/pp2ppb1/2n4p/1B1p2p1/3Pb3/4PNBP/PP3PP1/R2R2K1 w - -,a1c1
r1b1k2r/pp1nbppp/4pn2/2q5/8/1P1B1N2/P1PNQPPP/R1B1K2R b KQkq -,b7b6
8/7p/1pkb2p1/p1pN2Pn/P4P2/1P2NK2/2P5/8 w - -,f3g4
5rk1/5ppp/4p3/3b4/3N4/2r5/P4RPP/3R2K1 w - -,d1a1
8/pp4k1/7p/6p1/2nPB3/2P3P1/r6P/5R1K b - -,c4d2
r4r2/1k1p4/1p6/1pnPRP1p/2p4P/P4P2/1P6/3RKB2 b - -,a8e8
r1bqr1k1/2p2ppp/2pp1b2/2n5/1PP1P3/p1N5/PBBQ1PPP/3R1RK1 w - -,b2a1
2r1b3/2r1kp2/p3p1p1/np1pP3/PP1N1PP1/2P1R3/1K6/3R1B2 b - -,a5c4
8/4k1Rp/4bp2/4p3/4P2P/1r1PN3/5K2/8 b - -,e7f8
8/R4bk1/8/4r3/5r1p/3B1pP1/3K4/1R6 b - -,h4g3
r1bqk2r/ppp3pp/2np1n2/4pp2/2P5/2PP1NP1/P3PPBP/R1BQK2R w KQkq -,e1g1
r3kb1r/pp1q2pp/4pn2/2p5/2P5/5Q1P/PP3PP1/RNB2RK1 w kq -,f1d1
r3r1k1/1bqnbppp/pp2pn2/3P4/4P3/NQN1BP2/PP1RB1PP/3R2K1 b - -,e6d5
r1b1kb1r/pppp1ppp/2N2n2/8/3Pq3/8/PPP1QPPP/RNB1KB1R b KQkq -,e4e2
3r4/2p1q1k1/1p2bpp1/p3p3/4P1P1/1NP1bQ2/PP3P2/4R1K1 w - -,e1e3
2b3r1/5N2/2R5/3p1k2/p2P1pn1/P1P2N2/5P2/6K1 w - -,c6c8
r6r/5kp1/p4n1p/3bpP1N/P1p5/2P1B3/2P4P/2KR2R1 b - -,f6h5
1r2r3/1pp2pkn/p2p2p1/2bPp3/4B1PB/2P4P/PP3P1K/4RR2 w - -,h2g2
2kr4/1pp2pp1/p1p2np1/8/4P1P1/2NP1q2/PPP4Q/R6K w - -,h2g2
r4rk1/1pqnppbp/1np3p1/p7/P2PP1b1/1QN2N2/1P2BPPP/R1BR2K1 w - -,c1e3
8/8/5kp1/4p2p/4B2P/4r1P1/R5K1/8 w - -,a2a6
4b3/8/3k1p2/6p1/p1p5/2K1NP2/P5PP/8 b - -,d6c5
5k2/1p1r1p2/1R4p1/7p/5P1P/1P6/5K2/8 w - -,f2f3
r1bqr1k1/1p3pp1/p2p1nnp/b1pP4/P3P3/2NB1N1P/1PQB1PP1/R3R1K1 w - -,a1d1
2r1rnk1/1b2ppbp/pB4p1/Pp1PPq2/4NP2/5B2/1P3QPP/3R1RK1 w - -,e4c5
2rq1bk1/1b2rpp1/ppn1p2p/4N3/2PPB3/P5P1/1BQ2P1P/2RR2K1 w - -,e5c6
8/8/1p6/p7/P7/1P4K1/3pk1p1/6R1 w - -,g1g2
2k5/1p5R/8/4Pr2/8/2PR1P2/3K4/2r5 b - -,c1g1
8/8/p7/PpBp4/2pP4/2P5/KPk5/4r3 w - -,c5b4
3r3r/p2nkppp/1p2pb2/2p5/2PP1P2/2PBB3/P3KP1P/R2R4 w - -,a1b1
8/4r1k1/4P1pp/3PR1n1/p5P1/P1r5/B1p3P1/2R3K1 b - -,g5f7
1r4k1/R1n2p1p/5q2/2p3p1/4B3/2pPP1P1/2Q2P1P/6K1 b - -,b8b2
2Q3b1/5pk1/P6p/4p2P/2KbP3/6P1/2B5/r7 w - -,c4b4
r1b1k2r/2qnbppp/p1Npp3/1p4P1/4P3/2N1BP2/PPPQ3P/2KR1B1R b kq -,c7c6
r4rk1/pp1q1pb1/1n1P2p1/5bNp/3p1P2/Q2B2PP/PP2N3/2KRR3 w - -,d3f5
r1bqrnk1/pp3ppp/2pbpn2/8/2PPp3/PQNB1N2/1P3PPP/R1B2RK1 w - -,c3e4
8/2b2pp1/4p2p/2P5/p1k2P2/4P3/1N1K3P/8 b - -,c4b3
2kr2r1/ppqb1p2/4p3/n2pPn1P/5P2/P1pQ4/2P1N1P1/1RB1KB1R w K -,h1g1
6k1/7p/4qpp1/1p2r3/2r5/1QP1b2P/PB4P1/4RR1K w - -,b3d1
2b1r1k1/p1q3p1/4p3/1rNp2P1/1P1Q2n1/P4N2/5PP1/2R1R1K1 b - -,e6e5
2k5/1p4pK/1R6/P3r1P1/1P6/8/8/8 w - -,h7g6
r2q2r1/pp5k/2np1n1p/2p1pP1P/4P1b1/3P1BP1/PPPQ4/R3K1NR w KQ -,d2f2
4n3/5pp1/1pkn2p1/3p4/P4PP1/2BBP2P/1P2K3/8 w - -,h3h4
2R5/6p1/8/8/4K1k1/8/8/8 w - -,c8g8
r4rk1/1pqbppbp/p1np1np1/8/N1PN4/1PB1P3/P3BPPP/2RQ1RK1 w - -,c4c5
r4nk1/3p1r1p/2q5/1pNR1p1P/5b2/1N6/PPP1Q3/1K3R2 w - -,e2f3
3r4/p1k1r3/Bpb3p1/2qpPpPp/P2Q1P2/2P5/R4K1P/3R4 b - -,c7d7
r2q1rk1/2pb1pbp/p4np1/np1p2N1/PP2PB2/2PP4/2B3PP/RN1Q1RK1 b - b3,a5b7
2Nrk2r/1p2qp1p/p2b1p2/1b2p3/1P1Q4/P3PN2/5PPP/2R2RK1 w k -,d4b6
r1bqk2r/pp1nppbp/6p1/2p5/Q7/2P3P1/P2PPPBP/1RB1K1NR w Kkq -,g2b7
8/5k1p/2b5/2B5/7p/6bP/6P1/6K1 b - -,f7e6
r4rk1/pp3pp1/4bn1p/2ppq3/5Q2/PPNBP3/2PP2PP/R4RK1 b - -,e5f4
2k2q1r/5p2/2n1pNrP/pp1pPnP1/b1pP1B2/2P5/2PQB1R1/R6K b - -,c6e7
r3nrk1/3q1pbp/1p3np1/1BpP2B1/P6Q/2N4P/1P3PP1/3R1RK1 b - -,d7f5
1r6/p4r2/Rb1p4/1PpNpk1p/2P3p1/3P4/R3KPPP/8 w - -,d5b6
1rb2rk1/1p3p1p/4pnp1/8/N7/6P1/PP3PBP/2RR2K1 b - -,e6e5
8/p4k2/2p5/8/3P1Bp1/PP6/1K3pr1/5R2 w - -,f4e3
8/5p2/k5np/p2p2r1/2pP4/2P1KP1b/2N1P2P/1R5B w - -,e3f2
8/5pk1/1p4q1/p6p/2B4P/P1P5/KP3b2/3Q4 w - -,d1h1
8/p1p5/3k1K2/n1p5/2P1P3/3N4/P7/8 w - -,e4e5
r1b1r1k1/pp2npp1/5n2/q7/2pPP2p/P1P5/2BBN1PP/R2Q1RK1 b - -,a5h5
r7/5p1p/3Pk1p1/1R6/2R5/5b2/P6P/6K1 w - -,c4d4
1r2k3/4npp1/p1b4p/4p3/N3P3/4KPP1/1P5P/R4B2 w - -,f1a6
6r1/pp1b2rk/3qp2p/3p1p2/3P1P2/P3R1PP/1P1R1Q1K/6N1 b - -,d7e8
r4rk1/1p1n1ppp/2p1pn2/p7/1PPP2b1/PB6/1B1N1PPP/R4RK1 b - -,f8d8
r1b1kb1r/1pqpnppp/p1n1p3/2p5/4P3/2N2NP1/PPPP1PBP/R1BQ1RK1 w kq -,f1e1
4r3/2k3bp/r1p3p1/N1R2b2/BB1p4/1P2p3/P5PP/2K1R3 b - -,d4d3
1B6/8/8/5p2/2k1n1p1/5r2/R5K1/8 w - -,a2a5
4rk2/1p3ppp/p4n2/8/8/P3P2P/1P1RNPP1/6K1 w - -,e2c3
r1b4k/p1q2r1p/2pbpp1B/2pp3Q/8/2NP4/PPP2PPP/R4RK1 w - -,f2f4
1r4k1/4bp2/5qp1/2pB3p/2Q5/1n2B1P1/5P1P/1R4K1 b - -,b8b4
r1b1rn1k/6p1/p7/1pp1nPq1/4BR2/2B1P2P/PP4P1/1Q2R1K1 b - -,a8a7
8/2r5/5p2/p3bK2/2P5/R6p/6k1/3B4 b - -,c7c4
r3r1k1/2q2pb1/3p2p1/p2np1B1/2P1P3/P2P2P1/7P/1R1Q1RK1 w - -,c4d5
8/1pk3p1/5p2/2P1p2p/4r2P/2R1P1P1/P7/4K3 b - -,e4g4
r2qr1k1/1pp1b1pp/p1p2p2/2n1pP2/2N5/3PB3/PPP2PPP/R2Q1RK1 b - -,b7b6
r1b1r1k1/1p2bppp/p3pn2/7Q/3N3B/2PB4/PP3PPP/R3R1K1 b - -,f6h5
rn1qnrk1/1p2bpp1/p1ppb2p/2P5/3QPB2/2N2NP1/PP3PBP/R2R2K1 b - -,d6d5
2rq1rk1/np1nbppp/p1p1p1b1/P2pP3/3P1P2/1N2B3/1PP1B1PP/R2QNRK1 w - -,c2c4
6R1/8/5r1k/7P/5K2/5B2/2b5/8 w - -,f4g4
4r1k1/1p3ppp/1p3n2/5b2/3Rp3/2N3P1/PP2PPBP/6K1 b - -,g8f8
5k1r/5ppp/rq1p4/p3p1b1/R1P1P3/2Q2P2/1PN3PP/4K2R b K -,f8e7
R4bk1/5pp1/p2r3p/1p2p3/1P2n3/P1r1B3/5PPP/3R1NK1 w - -,d1d6
5r2/q1r3kp/5pp1/1NPRn3/4P3/6QP/6P1/2R4K b - -,a7b7
r7/2p1kp2/p3pb2/8/5P1p/2P3n1/PP5R/2KR4 b - -,g3f5
8/8/8/1RP1K3/8/2r5/1pk5/8 b - -,c3b3
2b1rrnk/4qpbp/1n1p2p1/p1pPp3/PpP1P3/1P1Q1NP1/R4PBP/2BN1RK1 w - -,a2e2
rnbqkbnr/pp3ppp/8/3pp3/3P4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,e5e4
r2qk2r/1b2bppp/p2p1n2/1pn1p1B1/4P3/2N3PP/PPP1NPB1/R2Q1RK1 w kq -,g5f6
1r1r4/1p6/p1pP1k1p/2Pp1pp1/3P1P2/4R2P/1P6/4R1K1 w - g6,e3e6
8/1rp1k1pp/R2p1p2/8/4PP2/1nP1BKPP/8/8 b - -,b7b8
8/1b1r4/p2kp2P/1p3B2/3B1P2/2P5/P4K2/4R3 b - -,e6f5
r1bq1rk1/1pp2ppp/pb1p1nn1/4p3/4P3/2PP1N1P/PPBN1PP1/R1BQ1RK1 w - -,d2c4
r3r1k1/1pq3bp/p1pRbnp1/2P1Np2/PP6/5PP1/2Q4P/R1B2BK1 w - -,c1b2
2rr2k1/1p2bppb/qnn1p2p/p2pP3/P1p2P2/BPPP1RP1/2NNQ2P/R4B1K w - -,a3e7
4r1k1/r4p1p/p2p4/2pN1Pq1/3b4/1R1Q4/P1P3PP/5R1K w - -,d3d1
r3q1k1/p4p2/6p1/3Q3p/7P/P3B3/Rb3PP1/5K2 b - -,a8d8
q3k2r/2pbnpp1/3p1n1p/2b5/1p1NP3/1BN4P/1PP2PP1/2BQ1RK1 w k -,c3d5
4bk2/R4p1p/6p1/3B4/p3PPP1/7P/5K2/r7 w - -,f4f5
3rk2r/R3n1b1/6p1/1p2P3/1P2NPP1/2PnB3/1P6/5RK1 b - -,h8h4
r1b1k2r/pp1n1pp1/2pppq1p/b7/3PP3/P1N2N2/1PPQBPPP/R4RK1 b kq -,e8g8
8/8/5nk1/3p4/4nK2/6p1/4N3/8 b - -,g6h5
r7/1p2k2p/2b1p3/2p2p2/p1Pb2P1/5P2/PPR1B2P/3N1K2 w - -,h2h3
2k4r/pp1r2p1/2p5/4pp1p/2Nn4/P3B1PP/1q3PBK/2R2Q2 b - -,b2e2
rnbqk1nr/ppp3bp/3p4/5pp1/2PPp3/6P1/PP1NPPBP/RNBQK2R w KQkq -,b1c3
r1bq1rk1/ppp2pbp/2n3p1/3np3/8/3P1NP1/PPPN1PBP/R1BQR1K1 b - -,f8e8:h7h6
rnb1k2r/pp3ppp/4pn2/2bq4/2B5/5N2/PPPN1PPP/R1BQK2R b KQkq -,d5d8:d5c6:d5d7:d5d6
4R2k/1p6/7p/2q2r2/P7/6PP/4Q1K1/8 b - -,h8g7
r1bqkb1r/pppn1ppp/4p3/3p4/3PnB2/3BP3/PPP2PPP/RN1QK1NR w KQkq -,g1e2
3Q4/8/4ppk1/p4q2/8/1P6/8/6K1 b - -,f5g5
8/1p2kn2/2pp2r1/p4b2/P1P3B1/1P3PK1/5N2/3R4 b - -,f7e5
8/2p2ppp/3k4/8/n5P1/4PP2/2r2N1P/4K2R b - g3,a4c3
3r1qk1/1b1r2pp/p4p2/1p1PbN2/2p1P3/5Q2/P1BR2PP/3R2K1 w - -,g1h1
r1n5/1p1bkp2/4p1p1/1p2P1Pp/1PpN1P1P/2P1K3/P1N5/R7 b - -,c8b6
4rrk1/1bq2ppp/p3p3/1p1pP1P1/3bnP1Q/8/PPP1N1BP/R4R1K w - -,e2d4
r7/r1pnq1kp/1P1p2p1/1R1Pp1b1/PBP1B3/7P/2Q2PP1/4R1K1 b - -,c7b6
8/8/3pk3/2p1n3/5q2/2P2Q1P/4R1P1/6K1 b - -,f4c1
8/5p2/1k6/2pq4/1p3p1p/1P1r1PpP/P1Q2RP1/4R2K b - -,g3f2
1br1r1k1/1p3ppp/p1nq4/3p4/NP2n1b1/P3PNP1/1B2BP1P/2RQR1K1 w - -,a4c5
1r2rqk1/3n3p/2bp2pb/8/1PpBNP2/2N5/3Q2PP/2R1R1K1 w - -,e4g5
r1r3k1/pp3ppp/2q1bnn1/2P5/4p1P1/P4PQP/1P3BB1/2R1K1NR b K -,e6d5
5r2/p2b4/1p1k1rRp/3p1p1P/2pP1R1K/P1P1N3/2P5/8 b - -,f6g6
4r1k1/p1pR2p1/2p3rp/5q2/2P1p1n1/2B3P1/PP2QP1P/3R2K1 b - -,e4e3
r3r1k1/3n3p/q4npb/4p3/3p4/p2P4/2RNBPPP/B3QRK1 b - -,a3a2
rr4k1/1q3p1p/2pPB1pn/p1Q1R3/P4P2/2N5/1PP3PP/2K4R b - -,f7e6
1rb3k1/5ppp/2B2n2/8/3p4/p1q4P/PnR5/KQ5R b - -,c3b4
3r3r/1pkn1pp1/p1pNp1b1/2Pp4/1P1PP1Pp/2P2P1P/8/R1b1KBR1 w Q -,a1c1
r1q1k1nr/p1nbppbp/6p1/1p1pP3/2pP3N/2PBB1NP/PP1Q1PP1/R3K2R w KQkq -,d3c2
8/7p/6p1/p3k3/2bn4/P2B4/5K1P/8 w - -,d3c4
r3r1k1/pbp2ppp/1p1b4/2p1p1q1/4PnN1/3PBQNP/PPP2PP1/3RR1K1 w - -,c2c3
8/p7/1p1nk1p1/1P2p1Pp/2P1K2P/8/5B2/8 w - -,e4d3
rn1q1rk1/ppn1ppbp/2p1b1p1/4N3/3P4/1B6/PPPN1PPP/R1BQR1K1 w - -,c2c3
r2q1r2/p1pbp1kp/5np1/1p1pN3/P2P4/2N5/1PPQ1PPP/R4RK1 b - a3,a7a6
6r1/1pp4k/1b1p3p/1P2pr2/p1PP4/P1B4P/5PK1/1R1R4 w - -,g2f1
4r3/8/4k1pB/1p3b2/7K/P6P/5RP1/8 w - -,h4g5
rn2kbnr/1b3pp1/pq2p2p/1p1P4/2pP4/2P1BN2/PPBN1PPP/R2QK2R b KQkq -,b7d5
r1bq1rk1/1p2ppbp/p4np1/3P4/3N4/2P1Bn1P/PP1N1PP1/R2Q1RK1 w - -,d1f3
8/5pkp/2p3p1/1p1n4/3P4/R1P2N1P/4RPPK/1q6 b - -,b1c1
8/1R6/R2p1k2/PP2b3/2Kn4/8/8/1r6 b - -,f6e6
8/4rppp/8/1p1kP3/5R2/2P5/5KPP/8 w - -,f4b4
r4rk1/1bqn1pp1/1p3b1p/pP1p4/3p2N1/2N1PB2/P4PPP/R2Q1RK1 w - -,g4f6
6k1/4qb1p/P1p2pp1/1pPn4/1P3bP1/5B1P/1Q3P2/3R2K1 b - -,e7a7
8/5kp1/5p2/3p2p1/3n2P1/1P5P/P2B1P2/5K2 w - -,d2e3
rnbqkb1r/pp2pp1p/2p2np1/8/2p5/N4NP1/PP1PPPBP/R1BQ1RK1 b kq -,f8g7
8/5n1p/2pn1kp1/1p2p3/1P2PpP1/2N5/1KPN1PP1/8 b - -,f6g5
1r4k1/1qr1ppbp/p2p1np1/1P1P2B1/8/1B3Q1P/RPP1RPP1/6K1 b - -,a6b5
4r1kb/5p1p/2pp2pB/p4b2/1r1PR3/1P5P/P3N1P1/1RQ4K b - -,f5e4
8/8/N3p3/5b1p/1P4k1/p1R3P1/1KP4r/8 w - -,b2a3
4r3/1r6/Rpk1p1p1/1Rp2p1p/2P1PP1P/3P2P1/3K4/8 w - -,e4e5
rn1qkbnr/pp3ppp/4p3/2PpPb2/8/4B3/PPPN1PPP/R2QKBNR b KQkq -,d5d4
rnb2rk1/ppp2pp1/4pq1p/8/1bpP4/2N1PN2/PP2BPPP/R2QK2R w KQ -,e1g1
2r5/3r4/4pkbQ/7p/6P1/1P2N2p/P4P1K/8 b - -,d7h7
r3r1k1/3n1pbp/q2p2p1/1NnP4/1R2P3/5B1P/3B1PP1/1Q3RK1 w - -,b5c7
8/5p1p/3npk2/R4p2/1rpP4/N2n1P2/B6P/3K4 b - -,d3f4
r1bq1r2/pp4bk/3p2pp/2nPpp2/1RP1P2N/2N3P1/P4PBP/1Q3RK1 w - -,e4f5
8/6k1/3p4/3P1K2/2P5/8/8/8 b - -,g7f7
4qr1k/6bp/6p1/p1Q2p2/2P2P2/2n3PP/3R2B1/5RK1 w - -,g2c6
r1b1kb1r/1pq2ppp/p1nppn2/8/3NP3/1BN1B3/PPP2PPP/R2QK2R w KQkq -,f2f3
r4qk1/2pn1p2/1p1p1np1/3Pp3/1PP1P3/R1QN1PPB/6K1/8 b - -,f8b8
