3R1k2/2K5/p7/Pr5p/1P5P/8/6P1/8 b - -,f8g7
r2qrbk1/1b1n1p1p/p2p1np1/2pPp3/1pP1P3/1P2BNNP/P1B2PP1/R2QR1K1 w - -,d1d2
r2q1rk1/pp2bppp/2n1pn2/2pp4/3P1P2/1P3NP1/PBP2PBP/R2Q1RK1 b - -,f6d7
2r2r1k/p1q2ppb/Bpp1p2p/3nN3/3P4/P1P2Q2/1P1R1PPP/4R1K1 b - -,c8d8
r1bq1rk1/pp3ppp/2N2n2/3p4/1bP5/2NB4/PP3PPP/R1BQ1RK1 b - -,b7c6
2b5/2r5/NR6/2p2pk1/P1P5/4K3/8/8 b - -,c7e7
1r1r4/p1p1kppp/2P1n1b1/1R1pP3/3N4/1N3P2/PP1K2PP/7R w - -,b5b7
r2qk1nr/pbp2ppp/1p1p4/3Pp3/2P1P3/2PQ1N2/P4PPP/R1B2RK1 w kq -,c4c5
3r1k2/1p3pp1/p3b3/2PpR3/3P4/1P4P1/P7/4R1K1 w - -,b3b4
4r1k1/1pq1bp2/r1pp1np1/p3Pb1p/2PB1P2/1PN2BPP/1P1R2K1/2QR4 b - -,d6e5
1rQ5/1PR5/3q2pk/5pr1/4p3/8/5PB1/6K1 w - -,c7d7
r1r5/1pp1qkb1/7p/p1pPpPp1/2P2nP1/2N2P2/PPBQ3R/1K5R w - -,c3e4
r2q1rk1/pp1n1pbp/4b1p1/2Pp4/8/2NBPN2/PP3PPP/2RQ1RK1 b - -,d7c5
8/2r2k2/5p1p/4pK2/6R1/2bB2P1/2P4P/8 w - -,d3e4
1r4k1/p4pp1/2pbp1p1/3n1q2/2QP4/4BN1P/PP3PP1/2R3K1 w - -,b2b3
r3k2r/pp2qpp1/1np3p1/2b4n/4P3/1QN1BPP1/PP2BK1P/2R3R1 w kq -,c3d5
2rr4/qb1n1pk1/3pp1p1/pP5p/1P2P1n1/P1NB1NP1/2K1QPP1/2R2R2 w - -,c2b2
r4rk1/1b1pqppp/1pn1p3/p7/1PPPn3/1Q1NP3/1P2BPPP/RN3RK1 b - -,c6b4
r2q1rk1/1b2ppbp/1Nn3p1/p1P3B1/1p6/1B5P/PP3PP1/R3QRK1 b - -,h7h6
r4r2/1p2p1kp/p2qB1p1/2pP4/2PR4/6P1/PP1Q1P1K/R7 b - -,c5d4
8/6k1/1p1r2pb/2pPp2p/2P1B2P/3P3K/P7/5R2 b - -,g7g8
r5k1/1bpnr1pp/1p1p4/p4p2/2PBnN2/P5P1/1P2PPBP/2RR2K1 w - a6,f4d5
6k1/5p1p/2n5/8/2pP2QP/q4N2/2p2PP1/1rR3K1 b - -,g8f8
8/8/8/4r3/7K/8/3k3Q/1q6 b - -,e5e2
r1b2rk1/pp3pbp/1qn3p1/2ppn3/5B2/2P1PN1P/PPBN1PP1/1R1Q1RK1 b - -,h7h6
r3r1k1/1pQ2ppp/p7/3q4/2n2Pb1/4PN2/PP4PP/2BR1RK1 b - -,d5b5
1r1r2k1/2p1bpp1/2n4p/ppB1p3/4P3/1PP5/1PNNKPPP/R2R4 b - -,e7c5
rb2r1k1/1p3qp1/2p3np/p1P2p2/P4N1P/R3PPP1/1B2Q1K1/3R4 w - -,e2d2
2r3k1/n1q2ppp/1p2p3/pP1p4/Pb1P4/4PNP1/1Q2bPBP/R5K1 w - -,b2e2
8/4k3/7p/1p1KP1p1/1P2P1P1/7P/8/8 w - -,e5e6
r5k1/5pp1/1bNqp2p/1P1p4/8/1R2P1PP/1Q3K2/8 b - -,f7f6
2qr2k1/5ppp/b7/p1pNP1P1/1r3B2/5Q2/P2R1P1P/6K1 b - -,b4b1
8/1p1B1pk1/p1p5/P1P1P1K1/2b2P2/8/8/8 w - -,d7c8
rn1qkb1r/pp3ppp/2p1pnb1/3p4/2PP3N/P1N1PP2/1P4PP/R1BQKB1R b KQkq -,b8d7
3r4/6pB/p3pk2/p7/b1P5/7P/P4PP1/4R1K1 b - -,d8d2
8/8/4p3/2k2p1p/2P2PpP/P3K3/6P1/8 w - -,e3d3
1r3nk1/3r1pp1/p1qPp2p/P1p2P2/2P3PP/3RB3/5Q2/3R2K1 w - -,f5f6
r2qkb1r/pp1npppp/2p2n2/3p4/2PP2b1/5NP1/PP2PPBP/RNBQ1RK1 b kq c3,e7e6
r2qk2r/pb1n1ppp/1ppbpn2/3p4/QPPP4/2N1PN2/P3BPPP/R1B2RK1 b kq b3,d5c4
6k1/1pb1qp2/2p2pp1/8/2PQp3/1P2P1PP/5PB1/6K1 b - -,f6f5
r1bqkn1r/1p6/1bp2P1p/3p1ppP/1P1P1PQ1/2PB4/4N1P1/1RB1K2R w Kkq -,d3f5
r3k2r/ppq2pp1/2p5/2Pp3p/PP1P2nP/4PN2/4Q1P1/2R2RK1 b kq -,f7f5
8/8/1Q3p1p/7k/5r2/5n2/P5K1/8 w - -,g2g3
3R1b2/p1n2pk1/1p2pNpp/4P3/8/P4N1P/1r4PK/8 w - -,d8d7
r3r1k1/3n1ppp/8/1b1Pp3/p7/R2N2P1/5PBP/5RK1 b - -,e5e4
8/1p6/p1n1k3/P3P3/1P2K3/3N4/8/8 w - -,d3c5
r1bqr1k1/ppp4p/5bp1/3ppp2/5P2/2PBPQ2/PP1N2PP/2KR3R w - -,d3c2
r2r2k1/pp3pp1/2p5/1bP1q3/1Q3N1p/4PP2/P1R2KP1/4R3 w - -,a2a4
r2r1k2/pp4pp/2n5/b4n2/5Bq1/1QP2N2/P4PPP/R2R2K1 w - -,f3g5
r2qk2r/1b1n1p1p/p3p3/1p1pb1P1/8/P1N1B3/1PPQ2PP/2KR1B1R w kq -,f1e2
6k1/1p3p2/1Pb2b1p/2Pp2p1/r2P4/4B2P/5PPN/3R2K1 b - -,f6g7
8/5pk1/1Q3bp1/7p/3P3P/2q2PP1/5BK1/8 b - h3,c3d2
r1bqk2r/pppnppbp/3p1np1/6B1/2PPP3/2N5/PP3PPP/R2QKBNR w KQkq -,f2f4
r4qk1/5p1p/2p2bp1/N2p1n2/r2P4/3NP3/3Q1PPP/1R3RK1 w - -,a5c6
r7/6kp/1q1p1pp1/r3p3/P3P3/1P1Q1P2/1R4PP/K2R4 b - -,a8a6
8/8/Bp3n2/3p1k2/1P1np3/P1N3P1/8/4K3 w - -,a6c8
1k5b/p7/3p3P/8/2n1P1K1/2p5/P7/4N3 w - -,e1c2
4n3/8/4k3/1p6/2p2p2/2P5/1PBK1P2/8 w - -,c2e4
r7/p4kbp/1qpB1pp1/3p4/3Pr3/Q4b2/PPR2PPP/R5K1 w - -,a3f3
r1bq1rk1/4ppbp/p1n2np1/1p6/3pP3/P2P1NN1/1P1BBPPP/R1Q2RK1 b - -,c8d7
r4rk1/2pq1pbp/1p1p1npB/pPnPp3/P3P1PP/1P3P2/2BQN3/2KR3R w - -,h4h5
1b1qr1k1/1p3pp1/p3bn1p/n2p4/3N4/P1NQ2P1/1P2PPBP/2B2RK1 b - -,d8d7
q4r1k/1pp3bp/3p2p1/rP1B4/2PPQ3/1RN2pP1/5PbP/4R1K1 b - -,a5a1
r3k2r/p1qn1ppp/2pbb3/3p4/3N4/3P2P1/P1P2PBP/1RBQR1K1 b kq -,d6e5
1q1r1bk1/5ppp/p5n1/3b2P1/5P2/2r1B2R/P3Q1P1/1BR3K1 w - -,c1c3
8/8/6p1/6Pk/8/5K2/8/8 b - -,h5g5
r1b1r1k1/pp1q1pp1/2N2n1p/3p4/Qb6/2N1B1P1/PP2PPBP/R2R2K1 b - -,b4c3
4R3/8/3k4/8/2P1p2r/4K3/8/8 w - -,e8e4
r4rk1/1bq1bppp/p1n5/3np1B1/Pp6/3B1N2/1PPQNPPP/3R1RK1 b - -,a8d8
8/1K3k2/p1p4p/P4pp1/1P1R4/2P2P2/7r/8 w - -,b7a6
rn1q1rk1/pp2bppp/2p2n2/4p3/4P3/5QPP/PPPN1PB1/R1B2RK1 b - -,d8c7
6k1/7p/2p3p1/1p3pP1/qn1PpP1P/4P3/2r5/1R1QKB2 w - -,b1a1
8/8/8/6b1/6k1/6P1/4r3/5R1K w - -,f1d1
8/8/8/2p5/8/2kr4/K7/7R b - -,c3c2
r4r2/1bp1qp1k/1p1p1n1b/p2Ppp1p/2P1P2P/PP4PB/3BQP2/R4RK1 w - -,h3f5
r1bqkb1r/pp2nppp/2n1p3/4B3/2BpP3/5N2/PP3PPP/RN1Q1RK1 b kq -,c6e5
1b1rr1k1/1p3p1p/p3b1p1/2QN4/4p2q/4B2P/PP3PP1/3RR1K1 b - -,d8d7
2r4k/pp3Qpp/8/4qp2/1P2p3/P1r3PP/2P2P1N/5RK1 b - -,e4e3
8/7p/1pr5/6k1/6P1/2b1R1NK/8/8 b - -,g5f4
r1bqk2r/bp1pnpp1/p1n4p/4p3/4P2B/1NNB4/PPP1QPPP/R3K2R b KQkq -,g7g5
3rr1k1/1p2b1pp/p1p1p1n1/2P2p2/1P1Pp1P1/N3P1BP/1P3P2/R4RK1 b - -,f5f4
r2q1rk1/pb2bppp/np6/2PpN3/4nB2/2N3P1/PP2PPBP/2RQ1RK1 b - -,a6c5
2b2rk1/p4pp1/7p/1P1N2qP/8/2P3r1/PQ4B1/R5K1 w - -,b2f2
3r4/1kp2r1p/4R3/ppb5/3p1P2/1P1R1KP1/PB5P/8 w - -,f3e4
r2q1rk1/2pb2p1/p1ppn2p/5p2/4PP2/1PN3Q1/PBP3PP/3RR1K1 b - -,f8f7
8/p5pk/1p2Qnqp/5R2/8/2r1P1P1/P4P1P/5K1R w - -,f1g2
r1bqk2r/pp2ppbp/3p1np1/4n3/3NP1P1/2N1BP2/PPP1B2P/R2QK2R b KQkq -,c8e6
r1b1k2r/pp2qpp1/2pb3p/4n3/2P5/2B2N2/PPQ1BPPP/2KR3R b kq -,e5f3
1n3rk1/2n1R1bp/2pN2p1/2Pp1pP1/3P3P/5PN1/8/B4K2 b - -,b8a6
4R1kr/3n2p1/p5Qp/Pbq1p3/2P3PP/8/4KP2/8 b - -,d7f8
r2r4/2b1kppp/2p1bn2/p3p3/R3P3/1BB5/1PPN1PPP/R5K1 w - -,f2f3
8/5p2/4ppkp/1r6/4P1KP/6P1/4RP2/8 w - -,e2d2
2r5/3r1pkp/1p4p1/8/1R1q4/Q7/P4PPP/5RK1 b - -,d4f6
8/1q2bk2/8/p5p1/2P2K2/P7/2Q5/8 w - -,f4g3
1r3rk1/p1p4p/3p2p1/2pP3n/2Pb4/3QBR1P/PP4P1/1R2qN1K b - -,h5g3
3k1b1r/Bp1q1pp1/3pp1b1/7p/2Q1P1P1/2P4P/PP3P2/R2R2K1 w - -,a7b6
6k1/6p1/6p1/1p2pp2/5qP1/P1P5/1P2RNK1/8 b - -,e5e4
2rq1n1k/pp2bQrp/1n2N3/3pP1p1/2pP4/2PN3R/PP3PPP/R1B3K1 b - -,g7f7
2r2r2/p5bk/1pn1q1pp/2p1pp2/P1N5/1P1PBPP1/4P2P/1QR2RK1 w - -,g1g2
r2q1rk1/pp3pb1/2npbnpp/2p1p3/2P5/P1NP1NP1/1P1BPPBP/R2Q1RK1 w - -,e2e4
3r2k1/2rp1pp1/1p2pn1p/pP6/P1P5/b3P1P1/2RNBP1P/3R2K1 w - -,d2b3
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq -,e1g1:b2b3
r2qk2r/pp1n1nbp/2p1p1p1/3pP3/5PPP/2N1BQ2/PPP5/R3KB1R w KQkq -,e1c1
4r3/1pk4p/p1n2p2/6p1/P2b4/2PRN3/1P3PPP/5K2 w - -,c3d4
r1bqkbr1/1p5p/p1n2p2/2pnp2P/3pN3/3P2P1/PPP2P2/RNBQRBK1 w q -,c2c4
2R3R1/1r3p1k/2p3np/1p2p1p1/4P1K1/r3BP2/5P1P/8 b - -,a3a1
r3r1k1/1pqb1pbp/2pp1np1/p1n5/2PNP3/5PPP/PPQ1NBB1/3R1RK1 w - -,e2c3
1r6/2p1k1p1/rn1bp2p/p3p3/1pn1P1PP/PP1N1P2/K1P1N3/2BR3R w - -,b3c4
r2q1rk1/pp1nnpbp/2p3p1/3pp3/3P4/1P2PBP1/PBP1NP1P/R2Q1RK1 b - -,e5d4
3rr1k1/pp3ppp/2npbq2/8/4P2N/1P4P1/P2Q1PBP/R4RK1 w - -,f2f4
4r1k1/5pp1/p7/2P1p3/4b2q/P1Q1N2r/2R3RB/7K b - -,h3h2
r4rk1/1p2b1q1/p1n5/3Npb1p/2N3pP/P5P1/1P4P1/2R1QBKR w - -,c4e3
4k3/4b3/4Qpr1/P2p4/q2B1P1p/2Pb4/3N1RPP/6K1 b - -,a4a1
r4rk1/4bppp/1q1p4/3Pp1P1/pp5P/5P2/PPPQR3/1K3B1R b - -,b4b3
8/1q2ppkp/r2p1np1/3P4/p1B3P1/2Q2P2/1PP5/4K2R b K -,a4a3
2b3k1/1p2qn1p/p1p1p3/2P1Ppp1/5P2/2Q1P1P1/P5BP/3N2K1 b - -,h7h5
r1b1rbk1/5pp1/p7/1pp5/4Pp1N/1PP2P1P/1P2N3/3RK2R b K -,c8e6
r1b1k2r/1pq1bppp/p2p1n2/4p3/4PP2/2N1B3/PPP1B1PP/R2Q1R1K b kq -,e5f4
1rbqr1k1/1pp2pbp/p2p1np1/4n3/2PNP3/2N3PP/PP3PB1/1RBQR1K1 w - -,g2f1
1r2r1k1/3Qpp1p/q1bp2p1/2P5/4P3/6PP/5PB1/1RR3K1 w - -,d7c7
rnbqkbnr/1pp2ppp/p2pp3/8/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq -,h7h6
r1b2rk1/1pqp1ppp/p3pn2/8/2PQP3/2N1b2P/PP2BPP1/R4RK1 w - -,d4e3
8/1R5P/8/8/1p3p2/6k1/4K2r/8 w - -,e2f1
2r1k2r/1b2bppp/p2p4/npq1pPPP/3NP3/3B4/PPPRNQ2/1K5R b k -,e7g5
3q2k1/5pp1/3p4/3P3p/P1Q5/6P1/1r3PK1/3R4 b - -,d8f6
2r2rk1/p4pp1/np2pq1p/4N3/3Q4/P5P1/1P2PPbP/2R2RK1 w - -,g1g2
8/5Npk/7p/2p2P2/2PbR1P1/1r6/4K3/8 b - -,b3b2
r5kr/pppb1ppp/4p3/2BP4/2N5/2R5/B3q1PP/Q5K1 w - -,c3g3
8/6kp/1R6/6p1/4K1P1/7P/3b4/8 w - -,e4f5
1r4kr/p2b4/3p1q1p/2pP2p1/2P1B3/4R2P/P1Q2PP1/4R1K1 w - -,e3f3
r1q1r1k1/1p3p2/2p3pp/p1Nnb3/Pn2P2B/1Q3B1P/1P3PP1/2RR2K1 b - -,d5b6
r3r1k1/pp1n1ppb/2pBpb1p/2Pp4/1P1P4/4P2P/1P1N1PP1/R3RBK1 b - -,e6e5
r1bqrbk1/5ppn/pn1p3p/1ppPpN2/4P1P1/2P2N1P/PPB2P1K/R1BQR3 w - -,e1g1
8/5kpp/4p3/p1p1r3/P7/1PR4P/5PP1/5K2 w - -,f2f4
r4rk1/2p1nppp/ppn3q1/2bpPb2/B2N1P2/2P1B3/PP1Q2PP/RN2K2R w KQ -,e1g1
r1bq1rk1/1p4bp/p2p4/2pPnp2/P1P2B2/2N5/1P1QB1PP/R4RK1 b - -,d8f6
3Q2k1/6p1/1p6/2n2p1p/p6P/P5P1/1Pq3BK/8 b - -,g8f7
8/8/6k1/1R1B1p2/8/1p2r3/2r3RK/8 b - -,c2g2
r2q1rk1/p1p2pp1/4b2p/3p4/4nQ2/2N5/PPPB1PPP/2K2B1R b - -,e4d2
2r2rk1/1b2bppp/p4n2/q1pp4/2B2B2/1QN1P2P/PP3PP1/3R1RK1 b - -,d5c4
1r1qk2r/p3bpp1/2p1n1p1/1p1p4/P1nP4/1Q2BPP1/1PN1P1BP/3R1RK1 w k b6,e3f2
6k1/p4p2/4p1p1/7p/P1Pr1P1P/1P2Q1K1/4R1P1/6q1 b - -,g1d1
2r5/2P2p2/5k2/7R/7P/r5P1/P1R2K2/8 b - -,a3d3
