8/6k1/6p1/1Q2p2p/5q2/7P/2P2PP1/6K1 b - -,f4c1
r1b2rk1/1p1n1pb1/pq2p1pp/3pP3/3N1P2/P1P5/1PB3PP/R1B1QRK1 b - -,d7b8
8/8/4k3/6P1/pP1PK3/4P3/8/8 w - -,e4d3
8/p1p5/1pk4p/r2p2p1/2P3P1/2PK1PP1/P2R4/8 w - -,f3f4
1b2qr1k/1Rp2rp1/2n4p/2P1p1p1/Q3N3/P1B1PPPP/3P2K1/5R2 b - -,e8d7
8/1r1NK1pk/7p/8/8/5R1P/8/8 b - -,b7a7
r2q1r2/pp3bkp/5pn1/3p1B2/3P4/2N4R/PP3QPP/3R2K1 w - -,f2d2
r1r3k1/1p2pp1p/1q1p2p1/p1nPb3/4P3/1P2BP2/P3B1PP/1RRQ2K1 b - -,e5f4
rnqr2k1/pb3pbp/1ppBp1p1/8/2BPP3/2P2N1P/P3QPP1/R4RK1 w - -,e4e5
2r1r3/p4pk1/1p3npp/3p4/P1pP4/2P1P3/3N1PPP/RR4K1 w - -,b1b5
r2q1rk1/1p2ppb1/p1bp1npp/2p5/4PP1Q/2NP1N1P/PPPB2P1/R4RK1 b - -,d8b6
r2qkbnr/pp1n1ppb/2p1p2p/3p4/2PN4/1P2P3/PB1PBPPP/RN1QK2R w KQkq -,e2h5
8/4b1kp/2q5/3p4/P2Pp1Q1/1P1bP1PB/6K1/8 b - -,g7f8
4rrk1/pp2qp1p/2np2pn/2pB2Nb/2P1PP2/2PP4/P5R1/R1B1QK2 b - e3,g8h8
r4rk1/1bqnbppp/p2pp3/6Pn/1p1NP2P/2N1BP2/PPPQ4/1K1R1BR1 w - -,c3a4
6r1/1p2k3/p1p1pn2/2Pp4/3P3q/4QR1P/PPB3P1/7K b - -,h4g5
4rb1r/1p1n1k1P/2q1np2/p1P3p1/P1P1p3/3NP2R/1BQN1P2/5KR1 w - -,d2e4
8/8/3k2K1/3n4/8/5r2/8/3R4 w - -,g6g5
5rk1/p1r3pp/2pR1b2/5p2/1P2p3/P3P1P1/2Q2P1P/6K1 b - -,f8c8
r2q1r2/p5k1/3p2p1/2pPp2p/1npnN3/4NP2/PP1Q2PP/1K1R3R w - -,e3c4
8/5p2/5P2/8/R3n3/P3k3/4r1K1/8 w - -,g2h3
8/7p/1R3kp1/3P1n2/1B3K2/3r4/7P/8 b - -,f6f7
r1b2rk1/ppp1q2p/3p4/3Pbp1Q/2P4R/2N5/PPB3PP/R5K1 w - -,a1f1
8/1r4kp/1p1R4/pB2p1p1/P5P1/2P2b2/1P3P2/6K1 w - -,b5c6
8/7p/p3k3/1p6/1P6/P4P2/6KP/8 w - -,f3f4
6k1/1p1qnp2/1Q4pp/1P1p3n/4p3/BNbP2P1/4PP1P/2N3K1 b - -,e7c8
2n3k1/1p2qpp1/p1b4p/2PpQP2/3N2PP/P1N5/1P6/K7 w - -,e5b8
Rn6/1r2qn1k/1p1p2pp/1PpPp1p1/2P1P1P1/5P1P/4N1K1/Q2N4 b - -,f7d8
6k1/p4p2/8/8/1P2Q1P1/4P1K1/6P1/q7 w - -,g4g5
1r2q3/r1n1npk1/p1p3p1/2Pp3p/PP1Pp2P/1NQ1P1PB/1R3P2/1R3K2 b - -,a7b7
3Q4/6kp/4p3/pp1p2P1/3P1q2/8/6P1/6K1 w - -,d8d7
r3r1k1/1p1n1ppp/2pq4/p2pp3/2PP4/1P2PN2/PQ3PPP/1R1R2K1 w - -,d4e5
1r4k1/4r1p1/b4q1p/p2pN2Q/P2PnP1N/4R3/2n2PBP/2R3K1 w - -,e5g6
8/1k2n3/1p2P1p1/pK2N2p/P7/1P4PP/8/8 w - -,b5c4:b3b4
1r3bk1/3b3p/4NQp1/3Nn3/1p6/1P2q1PP/r5BK/2R2R2 b - -,e5g4
3b3r/3rkpNp/3p4/1Qp5/1p2b3/5N2/1PP2PPP/3R2K1 w - -,d1e1
2r1qrk1/pppb1ppp/4pnn1/8/1PNP4/5NP1/PQ2PPBP/3RR1K1 b - -,d7b5
4r1k1/p3q1p1/1p2b2p/3p4/3P4/2PB3P/P4QP1/5RK1 w - -,f1e1
4Q3/4bpk1/4p1p1/2p1P1P1/2Pp2K1/3P1BB1/P1n2P2/6q1 b - -,e7f8
r4rk1/p3np1p/bqnp1bpB/2p2P2/1p2P3/2PP1N1N/PP4BP/1R1Q1RK1 b - -,b4c3
Q7/2p3pk/1q1p3p/1p2p3/5r2/1P1R4/1KP5/8 b - -,e5e4
2kqnr1r/3nbpp1/bp1p4/p1pPpP1p/P1P1P3/1PN1B1PP/3Q2B1/2KR1RN1 b - -,e8c7
r1q2rk1/6p1/pb2pn1p/1pp1N3/3pP3/1Q1P3P/PP3PP1/R1B1R1K1 b - -,g8h7
r1bqnrk1/5pbp/pp1p2p1/2pPn3/P4B2/2N1PN1P/1P1QBPP1/1R3RK1 b - -,h7h6
2rq1rk1/p3p1b1/3n2pp/3Ppp2/2p1P3/4QP2/PP2B1PP/2R1BRK1 b - -,d8b6
1rbq1rk1/p3ppbp/2npn1p1/2p5/1pP1P3/3PB1PP/PP1N1PBN/1R1Q1RK1 w - -,f2f4
1rr3k1/5pbp/3p1qn1/p2P1p2/4pP2/NBP5/PP2Q1PP/3R1RK1 b - -,h7h5
8/8/7p/8/8/4K3/5Bpk/8 w - -,e3f4
2r1kb1r/1p1n1ppp/4p1b1/p7/P2BP3/2N2P2/BP4PP/R3K2R w KQk a6,e1e2
r1bq1rk1/1p2npbp/p3p1p1/3p4/N2PnB2/4PN1P/PP2BPP1/2RQ1RK1 w - -,d1b3
1r4k1/5qpp/p2pp3/2p5/4PP2/1P4P1/2Q3KP/3R4 b - -,b8b6
3r4/5bk1/p2r1qp1/1ppp1p1p/Q6P/2P1P1P1/PP1R1PB1/1K1R4 w - b6,a4c2
1r3r1k/2q1n1pp/p2p1b2/4p3/Q7/2P1B3/1P2BPPP/R2R2K1 w - -,a1a2
2br4/p1r3kp/1nP2pp1/R3p3/5P2/1N4P1/P3P1BP/2R3K1 b - f3,e5f4
2r2rk1/1p2bppp/4b3/p1p5/4P3/P3B1P1/1P3PBP/R4RK1 w - -,f2f4
1k6/1p6/7p/8/Pp3N2/1Pr1p3/6PP/3R3K w - -,d1b1
rn1qk2r/p4ppp/bp2pn2/2pp4/2PP4/PP2PN2/3Q1PPP/R1B1KB1R w KQkq c6,c1b2
8/6pk/5q2/8/R7/6R1/5P2/6K1 b - -,g7g5
3r1rk1/1p1n1pp1/2p1b2p/p3q3/4Q3/P1N3P1/1P2PPBP/R2R2K1 w - -,e4e5
rn2k1nr/pp1qppbp/3p2p1/2p5/4PP2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,e1g1
8/1p2k3/p1b4B/7r/3R4/2K5/1P6/8 w - -,h6f4
5k2/R4ppp/6b1/p3r3/R7/P5P1/7P/6K1 b - -,e5e1
r4rk1/1bq1bppp/p1nppn2/1p6/4P1P1/P1NN4/1PP2PBP/R1BQ1R1K w - -,g4g5
r5k1/1pbrqp2/1np1b1p1/5p2/pP1PP2p/P1R1QPP1/3NN1BP/5RK1 w - -,f1d1
rnbq1rk1/ppp1ppbp/5np1/8/3P4/2NB1N2/PPP3PP/R1BQ1RK1 w - -,d1e1
8/4kp1p/4p1p1/p1p3P1/P1P1KP2/8/7P/8 b - -,f7f6
8/p6p/1p2RkpP/3P1p2/P2r4/8/6P1/6K1 b - -,f6f7
2q3k1/1p2b1pp/4p1p1/3pP3/p1nP1PP1/P2B3P/1P2QB2/6K1 b - -,b7b5
8/8/2p1k1pp/p1p5/P1P1K2P/5P2/1n1N4/8 w - -,d2b3
6k1/6bp/1p4p1/p2P4/4q1P1/B6P/P4QP1/7K b - -,b6b5
rnb1k1nr/pp1pppbp/2p3p1/q7/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,d1d2
5rk1/6p1/2Npb2p/1p2p3/4P3/1pP2NP1/1P4PP/6K1 b - -,f8a8
1k1r4/2p2p2/1p6/p1p1P1p1/P3P1P1/1P5p/2P2K1P/4B3 b - -,c5c4
r2q1rk1/pb1nbppp/1p2pn2/2p3N1/3P4/3B1N2/PPPBQPPP/2KR3R w - c6,d2c3
8/p5k1/1pp2bp1/2p1p2p/2q1P3/1P1P1NPP/P1P3K1/8 w - -,d3c4
2b2rk1/r6p/p1n1p1p1/1pq3N1/3pBP2/P3n1Q1/1PPRN1PP/2K4R b - -,e3c4
r2q1rk1/2p1p2p/p1n2Np1/1p5n/3P4/3BBP2/PPPQ3P/2KR3R b - -,h5f6
3R4/1b4pk/1p5p/2qp4/pN3P2/P2P2P1/1Pn3KP/4R3 w - -,e1e8
r1b3k1/p1p2p2/2pp2qp/6PQ/4r3/2P3B1/P1P3PP/R4RK1 w - -,h5g6
r2qr1k1/1b1p1pbp/p1nBp1p1/1p2P3/8/1B3N2/PP2QPPP/R2R2K1 w - -,e2e3
1rb2rk1/4qpbp/2npp1p1/1p6/p1n1PBN1/2P3P1/PP2QPBP/R1NR2K1 w - -,f4d6
3rr1k1/pb1qn1b1/1p4pp/n1pNpp2/2P4P/P2PP1P1/1B2QPBN/1R1R2K1 w - -,e3e4
2rq1rk1/1n1pbppp/ppb1pn2/8/1PP2B2/P1N2NP1/4PPBP/2RQ1RK1 b - -,a6a5
8/8/6K1/7p/4kP1P/8/8/8 b - -,e4f4
8/3bk3/p1pp2p1/4p3/1PPN4/P3R1PP/1K6/5r2 b - c3,e7f6
8/4kp2/8/R4P2/5r2/3K4/8/8 b - -,e7f6
2r2rk1/3nbppp/bq2p3/p2pP1NQ/1ppn1B1P/3P2P1/PPP2PBN/3RR1K1 b - -,e7g5
2r3k1/5p2/p5pp/1p1Q3P/1qr1N1P1/5P2/PKP4R/3R4 w - -,b2a1
2r5/4p1bk/3p2p1/4q2p/pPP1R1b1/Pn1QB1N1/7P/5RK1 b - -,e5b2
r2q1rk1/pp3pbp/5np1/2P1pnB1/1PB5/2NQ3P/P1P3P1/R4RK1 w - -,g2g4
8/p1r1k3/2rnnpp1/1p2p3/1P2P2P/2PRN1P1/R2N1K2/8 b - -,e7f7
5r1k/ppqb2b1/3p1nnp/P1pPrp2/2P1p3/6PP/1P3PNN/R1BQRBK1 b - -,e5e7
2b1r3/1p3pk1/p1p2p2/5Pb1/1P1B2P1/3R1B2/1PP2K2/8 b - -,g5h4
5bk1/3r4/p2p2Pp/4pQ2/1q6/3BBP2/1PP4P/1K6 b - -,b4e1
6k1/pp4pp/8/3b1p2/3R4/1P3PP1/P1r1K1BP/2rR4 w - -,d1d2
r4rk1/1pqnbppp/p2pb3/P2np3/4P3/1N2B3/1PP1BPPP/R2Q1RK1 w - -,e4d5
3r2k1/pbqrbppp/3Np3/1pp1P3/5P2/1PB2BPP/P2R4/3RQ1K1 b - -,b7f3
r1b2rk1/p1qnbpp1/1ppp1n1p/8/P2pP2N/2N1B2P/BPP2PP1/R2Q1RK1 w - -,d1d4
r1b1k2r/2q1bppp/p1nppn2/1p6/4PPP1/PNN4P/1PP3B1/R1BQ1RK1 b kq -,c8b7
3r3k/5Q1p/6pb/3Rp1q1/4P3/8/1P3PPP/3B2K1 w - -,f2f4
2b2rk1/pr3ppp/4n3/2p3Q1/2PpR3/1P1B2NP/P4PP1/3R2K1 b - -,e6g5
8/ppR4p/6k1/3r4/8/nP5P/6KP/8 w - -,c7b7
8/5pk1/6p1/1p1q1n2/5Q2/8/1R5K/8 w - -,b2e2
r2b1rk1/pBqn1ppp/1p1Npn2/4N3/2P2B2/6P1/PP2PP1P/R2Q1RK1 b - -,a8b8
r2r2k1/pp3pp1/2n4p/2bNP3/3pR3/1B4P1/PP3PP1/R5K1 w - -,a1c1
2kr2r1/1p1n1pp1/p3pn1p/2q4P/8/2B3N1/PPP1QPP1/1K1RR3 w - -,c3d4
3rk3/p5pp/1np1p3/1p2P1B1/1P2P3/PB3P2/2K3PP/8 w - -,g5d8
1rr4k/p5bp/3p1n2/q4p2/2n5/1BN3P1/PP5P/R1BQ1R1K b - -,f6g4
6k1/4qp1p/p2p2p1/3Pn3/bPN3P1/4QB1P/5PK1/8 b - -,g8f8
2kr3r/pp2p3/3pq1p1/8/1PPQPPp1/3P3p/P3N3/R4R1K b - -,c8b8
rqb1k2r/1p3ppp/p1n1pn2/3p4/1b1NP3/2N1BP2/PPP1B1PP/R2Q1RK1 b kq -,e8g8
2r5/r3q1k1/3p1p2/p2Qn1p1/R3P2p/2PB4/1P4PP/5R1K b - -,c8c5
1R6/8/4p1pk/4P2p/5K1P/6P1/1p3r2/8 w - -,f4e3
5K2/4R2P/8/p4k2/7q/8/8/8 w - -,e7f7
6k1/3qnr1p/pr1p1p2/2pp2p1/5B2/2P1R3/PP1Q1PPP/4R1K1 w - -,f4g3
rnb2r1k/1qp1Npbp/p5p1/4p3/RP2P3/2P2N2/2Q1BPPP/R5K1 w - -,e7c8
8/2p2r2/1pkp1r2/p1n1p3/P1P1P3/R3RNPp/1P5P/3K4 b - -,c5a4
2rr2k1/p2nppb1/2q3pp/2p1p3/2P5/1PNP3P/PBQ2PP1/4RRK1 w - -,c3a4
r1bq1rk1/pp1nbpp1/2pp1n1p/8/3pP1PB/2N2N2/PPPQ1P1P/2KR1B1R w - -,f3d4
6r1/2p2p1k/pbp4p/5P2/2R2P2/5Q2/Pq1N2PP/5R1K b - -,b2d2
8/5rk1/3p2pp/2bPp3/B3P2N/1P2n1PP/8/4R2K w - -,a4e8
8/8/8/1k6/8/3N1r2/KPP5/8 w - -,a2a3
8/5pk1/6p1/3Q3p/2p2P1P/4K1P1/2q5/8 b - -,c4c3
8/8/8/2Bnk2p/1P2p2P/8/3K4/8 b - -,d5c7
8/7R/4p1kp/5r2/8/5pK1/5P2/8 w - -,h7e7
5k2/1p3p1p/p1ppr1p1/P3q3/1P1R3P/3QP1P1/5P2/6K1 b - -,f8g7
1r1r3k/p2qNbpn/1ppP1p2/2P1nNp1/1P2P3/2Q2B2/P5PP/R4R1K w - -,f5d4
r2r2k1/p4p1p/1pR1p3/8/5P2/8/P3PKBP/3R4 w - -,c6d6
4r1k1/1q1nrp1p/2bp1bp1/2p5/1pP1PP2/1P1B2N1/2QNR1PP/4R2K b - -,f6c3
5R2/8/8/3b1k2/8/5PK1/1r6/8 b - -,f5g5
2b1kb1r/1p3p2/1qr1p1p1/1n1pP3/1n1P1PP1/pP3NK1/P2BN3/RB1Q1R2 b k -,c8d7
4q3/5kr1/p2R1p2/4p3/p1p1Pn1p/2P1Q1P1/PP3P1P/3R2K1 b - -,h4g3
5rk1/r3bppp/pq2pn2/3pN3/1p1P4/1P5R/PBP1QPPP/R5K1 w - -,e2d3
1r4k1/5pp1/p1p2n1p/8/PP1R4/4NP1P/5P2/6K1 b - -,g8f8
4r3/5k1p/1r1qnpp1/Qp1p4/p2P1P2/2P1R1P1/PP1N4/2K1R3 w - -,g3g4
rnbqkb1r/pp2pp1p/6p1/2p5/3P4/2P2N2/P3PPPP/R1BQKB1R w KQkq -,g2g3:e2e3
8/8/2k2n2/7p/8/P5K1/5P2/8 b - -,c6b5
5k2/2R1b3/2P5/7B/3P1p2/3K4/8/5r2 w - -,c7c8
3r1k2/p4pb1/1pP4p/1r6/1n1p1P2/1P3K2/3BR2P/1B1R4 w - -,c6c7
1r1r2k1/1p1n2bp/2nNp1p1/p1P1p3/8/PP2B3/5PPP/2R1K1NR w K a6,g1e2
2kr4/ppp3pp/4np2/4p3/PPb1P3/2P5/2KR1PPP/3R4 w - -,d2d8
4rrk1/pp1qbppp/2n1b3/3p3n/5B2/1BNP1R1P/PPP1N1P1/R3Q2K w - -,e1f2
2b2k2/3pp2p/prp3p1/4R1N1/5r2/7P/PPP3P1/2K1R3 b - -,e7e6
2kr3r/pppb1qb1/2npp1pp/8/3PNP1P/5NP1/PPPQ2B1/2KRR3 w - -,c1b1
r2qkbnr/3b1ppp/p1np4/1pp1p3/4P3/2P2N2/PPBP1PPP/RNBQ1RK1 w kq e6,d2d4
7k/1r2bpp1/1qN5/1BpRp2p/P7/5P2/1P4PP/1K1R4 w - -,d5e5
5b2/3B1P2/6P1/8/1p3k1p/1K5P/8/8 b - -,f4g5
7k/2p1qppp/1p1p1n1n/3P1P2/1PPQ1RP1/r1N5/7P/4RBK1 b - -,e7e1
r2qk2r/pp1n1ppp/2pbpn2/3p1b2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1 w kq -,c1b2
1r1qr1k1/1p1bbp1p/p2p1np1/P1p5/1nP1PB2/1PN3PP/4NPB1/R2QR1K1 b - -,d8c7
r3kb1r/1bq2ppp/p1n1pn2/1pP5/8/1PN1PN2/PB2BPPP/R2Q1RK1 b kq -,f8c5
1QQ5/4ppk1/5bp1/8/5P1p/8/5q1K/8 w - -,h2h1
rR4k1/p1P2p1p/6pb/B2bP3/5n2/5N2/P4KPP/8 b - -,g8g7
r1b1nrk1/2q2pbp/pp4p1/2pPp3/4P3/1NB2B2/PPQ2PPP/R4RK1 w - -,a2a4
r4rnk/2q1n1pp/bB1pBp2/1p1PpN2/2p1P3/2P3NP/1P2QPP1/R3R1K1 b - -,c7b6
5rk1/5ppp/1prbp1b1/p1p5/8/1PBP4/1PP1RPPP/4RNK1 b - -,f8e8
r2qk2r/pp3ppp/2n2n2/2b1pb2/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,e8g8
r1bq1rk1/ppn2ppp/2p2b2/8/3N4/PP2P1P1/1B2QPBP/R4RK1 w - -,f1d1
r1b3k1/pppn3p/n5p1/5p2/4r3/1PN3PB/PKP1P2P/3RN2R b - -,e4e8
r5k1/p4pp1/1p2bn1p/2PpN3/3P4/6P1/P2RP1BP/5K2 w - -,c5b6
8/p1p5/P7/1Pp2k2/2Pnp1p1/N3K3/5P2/8 w - -,a3b1
2b1k2q/4r3/p2p1RPr/2p4P/1p2Pp2/3P2Q1/PPP5/3B2K1 w - -,g3f4
4r2k/p5p1/B1R4p/3n3b/3Npp1P/P5P1/1P3P2/6K1 w - -,c6c5
2r2rk1/1bq1bpp1/pn1ppn1p/1p6/3NP3/P1NBBP1P/1PP2QP1/4RRK1 b - -,b6c4
1k3b1r/1p3p2/3qp1pp/p1np4/Pn1N1P2/BP2Q3/2PR2PP/4R2K b - -,g6g5
1rbq1rk1/p4ppp/2pb1n2/3p2B1/8/2NB1Q2/PPP2PPP/R3R1K1 w - -,a1b1:c3a4
r1bqk2r/ppppbpp1/2n2B1p/8/2P5/2N5/PP1QPPPP/R3KBNR b KQkq -,e7f6
r3k2r/1b3ppp/p2ppbP1/7P/qp1NP3/4BP2/1PP1Q3/1K1R3R w kq -,e2c4
5r1k/6R1/3P1p2/3p1N1p/3B4/5KP1/p2Q1P1P/1r3q2 b - -,f1h1
r5r1/1b2qp1k/4pp1p/p7/N2P1Q2/P7/1P3PPP/3RR1K1 w - -,g2g3
6k1/p1q2rp1/P4n1p/1Pp1pb2/2P1p3/2B1Q2P/4B1P1/5RK1 b - -,f5e6
8/p1pk4/8/2p5/4P3/5K2/7r/2R5 w - -,c1c5
4rrk1/pppq2b1/2np2np/4pbp1/2PP4/2N1B1P1/PP1QNPBP/3R1RK1 b - -,f5h3
4b1k1/p7/1pn1p2B/4p1Q1/4q1P1/2P5/5P2/6K1 b - -,e4g6
8/2n5/1N1k4/P5p1/2K1p1pp/4P1P1/5P1P/8 b - -,c7a6
r1bqk2r/pp3pp1/2pp1n1p/4p3/2BbP3/2NP1Q2/PPP2PPP/R1B2RK1 w kq -,f3g3
r7/p4kb1/1p1p4/2pNn1p1/1PPpP3/P2P2Pb/3B4/1R4K1 b - -,e5f3
rnbqk2r/pp3ppp/2p1pn2/8/PbpP4/2N2NP1/1P2PPBP/R1BQK2R b KQkq -,b8d7
rn1qr1k1/4bp1p/p2p1npB/1bpP4/Np2P3/3B4/PPQN1PPP/R4RK1 b - -,d8a5
5k2/5ppp/p1nN1n2/5P2/P7/1Pr5/6PP/2NR2K1 b - -,f6g4
r1b2rk1/p2nbppp/2p5/1p2P3/5N2/1BB2PP1/PP5P/2R1K2R b K -,b5b4
2r3k1/pp3pp1/4p2p/3pP3/q1r1n3/BN2Q3/PPP3PP/2K2R2 b - -,c4c2
8/1p5p/p3k3/3pr1P1/3R3P/1P4K1/P7/8 w - -,g3f4
