3b4/7p/5p2/pk4p1/4P3/5P2/6PP/4BK2 w - -,f1e2
3q1b1k/1r3ppp/1p6/2p1r1B1/8/1P3QP1/P4PKP/8 w - -,g5d8
1q1rr3/p3Rpkp/2p3p1/2Nb2Q1/1P6/P1p4P/2P2PP1/R5K1 w - -,a1e1
2rr2k1/p5pp/5p2/P3p3/1P1bq3/4B1P1/4QP1P/1R1R2K1 w - -,e2d3
5n2/1p6/p3p1kr/P2p3b/1P1N1P2/2P1KB2/7R/8 w - -,f4f5
4Q3/6pk/7p/8/8/4RP1K/3q3P/8 b - -,d2a5
5rk1/2N2pbp/4p1p1/3pn3/p3b3/P6P/1PP2PP1/R1B1R1K1 w - -,c7b5
3R1n1k/6p1/2p2n1r/p4B2/pb2p3/2N3P1/1P3P1P/4R1K1 b - -,h6h5
1r3rk1/3bppbp/3p1np1/q2P4/8/NnN1BP2/1P3RPP/3RQBK1 b - -,a5b4
2kr3r/pbpn1p2/1p1p1q2/4p1p1/1N1PP1Pp/P1P4P/2P2PB1/1R1Q1RK1 b - -,h8e8
2rr2k1/4bpp1/p3pn2/6Bp/P7/3B1P2/1qP3PP/1R1RQ2K b - -,b2a2
r1bqr1k1/ppp1nppp/3p4/2bP4/3N4/4P1P1/PP3PBP/R1BQ1RK1 w - -,b2b3
r3r3/p2k3p/1p2p1pP/8/2nPR3/B1P5/P4PP1/4R1K1 w - -,a3c1
3r2r1/1pp1n1pk/1p1pqp1p/4n3/3PP2P/1PB1N1Q1/1PP2RP1/5RK1 b - -,e5g6
r4rk1/pQ1bqnb1/3p1pp1/3Pp2p/4P2P/2N2PP1/PP4B1/R1B1K2R b KQ -,a7a5
r3k2r/pp1bnppp/4pn2/3p4/3P4/1PPB1NP1/1P1N1PP1/R4RK1 b kq -,e8g8
2r2rk1/pp3ppp/1qb1pn2/n7/3P4/1PN3P1/P1Q2PBP/R1BR2K1 w - -,g2h3
r4rk1/1pq1bppp/p2p1n2/3Pn3/5BP1/1N5P/PPP1Q3/2KR1B1R b - -,f6d7
q4rk1/3n1pbp/2npp1p1/1pp5/4PPP1/3P1N1P/1PP5/2BBQRK1 w - -,c2c3
5rk1/1p2r2p/p1p3p1/2Npnb2/7q/P4P1P/1PPQB1P1/1R2RK2 w - -,c5d3
r2q1rk1/pb2bppp/1pp1pn2/3pN3/2PPPP2/8/PPQN1PBP/3R1RK1 b - -,f6h5
8/3b2k1/1p1bppn1/p2p4/2pP2P1/2P1B3/PP3PN1/2K4B w - -,g2e1
r2qk1nr/1bpn1pb1/pp1pp1pp/8/P2PP3/3BBN1P/1PPQNPP1/R3K2R b KQkq -,g8e7
r5k1/1b2bppp/2rpp3/1N2nPP1/p3P3/B7/2P2RBP/3R3K w - -,f5e6
1qr2bk1/2rb1ppp/pp1pp3/4n3/1PPNP3/P1R1QP2/5BPP/2R2BK1 b - -,f8e7
r1b1kb1r/pp1pnppp/1q2p3/8/3pP3/3B4/PPPPNPPP/R1BQ1RK1 b kq -,e7c6
r1r3k1/1p3ppp/p1nqpn2/3p4/3P4/P1NQPN1P/1P3PP1/R1R3K1 b - -,h7h6
5r2/3P4/pp3k2/4p3/P5B1/6K1/1p1r4/7R b - -,f6e7
r2q1rk1/pp1nbppp/3p1n2/2p1p3/3PP3/2P2N2/PP3PPP/RNBQR1K1 w - -,b1d2
r3k2r/pppq1pp1/1n2p1p1/3n4/1b1P2P1/2N1P2P/PP1B1PB1/R2QK2R w KQkq -,e1g1
8/6p1/P1pk2Kp/4RPp1/3P4/2P4P/8/r7 b - -,a1a6
r1b1r1k1/pp1nq1pp/2pb1p2/4p3/2PPB3/1PB3P1/P2NQP1P/4RRK1 b - -,d7f8
rn1q1rk1/1p2bpp1/5np1/p2p4/P2Pp3/1PN1PPP1/3B2BP/2RQ1RK1 b - -,e4f3
8/1pp3kp/4b2n/p1p1PP2/P1P3p1/1P1rK1N1/7P/6R1 w - -,e3d3
8/5p2/1r1k4/p7/P6R/4P2P/5PK1/8 b - -,b6b4
2krbb1r/pp2q1pp/4p3/1Pp1PnN1/2Pp1B2/8/P3BPPP/R2Q1RK1 w - -,g2g4
r1b1k2r/2qn1p2/p2pp3/1p2n3/3NP2b/2NB4/PPP2QP1/1K1R3R w kq -,h1h4
4r1k1/pp3pp1/7p/q2r4/2pB1P2/2Qp2P1/4b1BP/1RR3K1 w - -,b1a1
8/6k1/2p5/N7/p4P2/3K2P1/1r5P/8 b - -,a4a3
8/p4pk1/1p3Qp1/1P2P2p/4P2P/1q4P1/5PK1/8 b - -,g7h7
2r3k1/1r3p1p/6p1/pp3p2/2pPQ3/P3P3/1P3PPP/3R1RK1 b - -,f5e4
r1bqr1k1/pp3pbp/2n2np1/2ppp3/P3P3/2PP1NP1/1P1N1PBP/R1BQR1K1 b - a3,h7h6
r1bq1rk1/pp3pbp/2np2p1/2p2p2/2P5/1PN2NP1/P2PPPBP/R2Q1RK1 w - -,a1c1
R7/4kp1p/6p1/3Pr3/8/5KP1/7P/8 b - -,e5d5
r2q2k1/p4rp1/2pb1n1p/4p3/2B3b1/3P1Q2/PPP2PPP/R1B2RK1 w - -,c4f7
4r3/1b1q1pk1/p5p1/3P3p/P1Pp4/3Q2P1/5P1P/3R2K1 w - -,d3d4
8/2k4p/p2p4/3Pp3/2P1bp1P/P7/3K4/3B4 w - -,h4h5
r3kb1r/5ppp/pqb1pn2/1p2B3/8/2N2B2/PPP2PPP/R2QR1K1 w kq -,f3c6
8/kp6/8/4p3/p4p2/4rP2/PP1R1K2/8 b - -,a7b6
3q2k1/1pnr1p1r/2pp1Pp1/p3b1Bp/P7/1P1B1QPP/2P2P2/3RR1K1 w - -,d3g6
8/8/8/2p2p2/3k4/3Pr3/pr6/6K1 b - -,a2a1n
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N1P/PPPP1PP1/RNBQKB1R b KQkq -,g8f6:b8c6
1n1rkr2/5p1p/p3n1p1/1p1bp3/4P3/1N3P2/1PPR2PP/3R1B1K w - -,d2d5
4b1k1/1pR1br2/3n3p/3PB1p1/4p3/1r3PPN/6BP/R5K1 w - -,c7e7
1Q6/1p1kn1b1/p1p3p1/2P2pP1/P4P2/6PK/1r6/8 b - a3,d7e6
2rr2k1/3bbppp/pqn1p3/1p1pP3/1P6/P2Q2B1/2PNNPPP/3R1RK1 w - -,g1h1
3r3k/1pq1rpb1/p2n2pp/P1p1p3/R5P1/1BPP1N1P/1P2QP2/R5K1 b - -,d8e8
2bn3r/1p2kp2/4pN2/q2pP3/2pP1P2/2P4R/r1PKB1P1/2Q5 w - -,h3h8
r2q1rk1/pp1bppB1/3p2p1/7n/4P3/2N2P2/PPPQB2P/R3K2R b KQ -,h5g7
r2r2k1/p3nppp/bq2p3/2ppP3/1P6/P1P2N2/3N1PPP/R2QR1K1 w - -,d2b3
1r6/4kp1p/2R3p1/3p4/3K4/1P3P2/1P4PP/8 w - -,d4d5
r1b1r1k1/ppq2pp1/2p1nn1p/3pN3/3P4/BP1BP2P/P1Q2PP1/2RR2K1 b - -,e6g5
rnbqk2r/pppp1ppp/8/2b1n3/2P1P3/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
2kr2r1/pp3p1p/2p1b3/q2nppb1/2B4Q/1PP2PP1/P2PN2P/R1B1K2R w KQ -,h4h5
r1qr2k1/4bpp1/p6p/1ppR4/8/PQ4P1/1P2PP1P/2R1N1K1 w - c6,c1d1
4r1k1/4b3/p2pq2p/2n1n3/5Q2/P6P/6P1/BR1R3K b - -,e8f8
Q7/4q1pk/8/2p1p3/1rPpPp2/5P2/7P/6RK w - -,a8c8
Bn3rk1/p4ppp/4pn2/q1P3N1/2p5/1Pb3P1/PB2PP1P/1Q3RK1 b - -,c3b2
r1br2k1/3n1ppp/pp1Bpn2/7q/P1B5/1P3N2/2P1QPPP/R4RK1 w - -,f3e5
1kb5/r4p2/P3p1p1/3p2P1/3P1P2/3B4/3K4/R7 b - -,a7c7
rnb1kb1r/p4ppp/2p2n2/7q/2BNp3/1PP5/P2P1PPP/RNBQK2R b KQkq -,h5g6
r1bq1rk1/ppp2pbp/3p1np1/2n1p3/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -,c5e6
8/3k3p/p5p1/P7/1R1p3P/5P2/1Pr3P1/5K2 b - -,d7e6
8/2n5/6K1/5R2/3k4/8/5r2/8 b - -,f2g2
2rr3k/8/5p2/1p2b2N/2p4p/P4R1P/2B3K1/5N2 b - -,c8c6
r1bqk2r/pp2bppp/2n5/8/3p4/2P2N2/P3BPPP/R1BQ1RK1 w kq -,f3d4
2b2rk1/1pp2p1p/4pqp1/1P1nP3/8/4P3/1B1Q1PPP/R4RK1 b - -,f6e7
8/3b4/p3n3/3k2p1/1p1r4/1P3PK1/P5P1/2Q5 w - -,c1f1
5R2/1p6/p6p/P5p1/4p1k1/3r4/1P2K2P/8 w - -,f8e8
R7/5pkp/4b1p1/4R3/6P1/p4r1P/3K4/8 w - -,e5e3
2rb4/1nrk1pp1/p3p2n/4P3/1p1R1PP1/1P1P2N1/3B3N/2R3K1 b - -,d7e8
6k1/5pp1/p6p/P1rpB3/4n3/b3P1P1/P4PBP/1R4K1 b - -,c5a5
4r3/5pk1/p5pp/8/3r4/8/R1P2PPP/4RK2 b - -,e8e1
r3k2r/pp4pp/2p1q1b1/4P3/P7/3nQ2P/1P2N1P1/R1B2R1K w - -,e2f4
8/5Rk1/8/3Bp3/1p2P1pq/4K3/8/8 b - -,g7g6
r1b2rk1/5ppp/2np3b/p1qNp3/1pP1P2P/3Q2P1/PPN2PB1/R4RK1 w - -,b2b3
r3k1r1/1pq2p1p/p3p3/1bPp1p2/1P1N1b2/2P2P2/P1Q3PP/R3RNK1 b q -,b5f1
r1bq1rk1/1p2bppp/pn2pn2/2p5/P1BPP3/1P1Q1N2/1B3PPP/RN3RK1 w - -,e4e5
r2q1rk1/1p1nbpp1/2p1pn1p/p2p4/P1PP3P/N2BPPB1/1PQ2PK1/3R1R2 b - -,f8e8
r1bq1rk1/2p3b1/1p1p1nnp/P2Pppp1/2P5/B1N1PNP1/P1Q2PBP/2R2RK1 b - -,a8a5
4k3/R6P/1p6/1PpK4/2Pb4/3P1B2/8/4r3 b - -,e1e5
r2qkb1r/pp1bpppp/2np1n2/1B6/4P3/3Q1N2/PPP2PPP/RNB1K2R w KQkq -,e1g1:c1g5:b1c3:c2c4
1r2n1k1/4ppbp/r2P2p1/2pP4/P1N2B2/1q1Q2PP/4RPK1/4R3 w - -,d3b3
4r1k1/2p3p1/3p3p/2rP1P2/2p2PP1/p3NK2/2R5/8 b - -,c4c3
5r1k/1bq4p/3p2p1/R3p3/1PB2r1b/N1P2P1P/4Q1P1/5RK1 b - -,e5e4
8/8/5ppp/2p1p1k1/2PrP1P1/4K3/8/R7 w - -,a1c1
r3q1k1/5b1p/p1p2rp1/1p3p2/5P2/1P2N2P/PP2Q1P1/2R1R1K1 w - -,e3c2
Qk4r1/5p2/4p3/8/2pr4/2P3P1/5P1P/5K1R b - -,b8a8
8/5kp1/5PRp/7P/5K1r/5P2/8/8 w - -,f4g3
rn1q1rk1/pp2ppbp/2pp1np1/8/3PP3/2N1Bb1P/PPPQBPP1/R3K2R w KQ -,e2f3
r2q1rk1/pb1pppbp/1p3np1/8/2PQP3/2N3P1/PP3PBP/R1B1R1K1 b - -,f6e4
4k3/8/p3KP2/Pp4Pb/1P5P/8/8/8 b - -,e8f8
8/1R6/1p3kp1/1B5p/P4p2/5K1P/r4PP1/8 b - -,f6f5
3r1r1k/4Rpbp/n5p1/1pP5/p4B2/P4N1P/3Q1PP1/R5K1 b - -,d8d2
4rrk1/1pp3bp/p1np1qp1/8/2P2P2/4BB1P/PP1Q2P1/3RR1K1 w - -,b2b3
4r3/p1rk2pp/3b1p2/3P4/8/1RPKB3/P4PPP/7R w - -,h1b1
r1bqk1nr/pp1n1ppp/2pb4/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq -,c2c3
5rk1/pb1q1pp1/5n1p/2p1N3/3P1Q2/2PB4/P5PP/5RK1 b - -,d7d6
r1b2rk1/pp2ppbp/nQ3np1/3P4/3P4/2N2B2/PP3PPP/R1B1K1NR b KQ -,a7b6
r1rq2k1/1p2ppb1/2bp2p1/p1n4p/2P1P3/1PN1BP2/P1RQ2PP/1R3BK1 w - h6,g2g3:c3e2:a2a3
8/8/8/3Q4/8/6q1/7p/3K1k2 b - -,g3g4
2r5/4k3/1r1n1pb1/pp1Pp1p1/2p1P1Pp/P1P2K1P/1PNR2B1/4R3 w - -,f3e3
r3r1k1/pp3pb1/1qp3p1/3p1b1p/3P1N1P/3NP1n1/PP3PB1/R2Q1RK1 w - -,f2g3
r2q1rk1/pb2bppp/1pnp1n2/8/8/P1N2NP1/1P2PPBP/R1BQ1RK1 b - -,d6d5
rnb1k2r/1p3ppp/p2ppn2/8/2P5/2P1BB2/P1N2PPP/3RK2R b Kkq -,e8e7
5rk1/5ppp/bp6/8/6q1/3R2P1/Pp3QBP/1R4K1 b - -,a6d3
r1b2r2/p1p2pbk/3q2pp/3nn3/8/1N3N2/PP1BBPPP/R1Q1R1K1 b - -,c7c6
r1qr2k1/1b1n1pbp/pp2pnp1/8/N1P2B2/3Q1N1P/PP3PP1/3RRBK1 b - -,b6b5
3b4/1b3ppp/p3k3/4p1P1/pP2P2P/P2P1N2/1K3B2/8 w - -,b2c3
2r1r1k1/6bp/p4pp1/1pp2n2/5P2/P1PP1R2/3B2PP/1R2N2K b - -,e8e2
2rr2k1/1pq2pb1/3ppnp1/p1n3N1/2P2P2/2B3PB/PPQ2P2/3RR1K1 w - -,c3d4
rn1qk1nr/p4ppp/1ppbp3/5b2/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq -,g2g3
3q2k1/1p3ppp/p3pn2/5P2/1P1B1n1N/P4P2/1Q4PP/5BK1 b - -,f6d5
5k2/b2B1p2/P5pp/3N3P/2n1K1P1/8/8/8 b - -,a7c5
r2q1rk1/1pp3b1/p1npbnpp/4pp2/PPP5/2NP1NP1/2Q1PPBP/1RB2RK1 w - -,b4b5
r1bq1rk1/p5bp/2p2p1n/3p2p1/3P1B2/5N1P/PP3PP1/RN1Q1RK1 w - -,f4h2
8/8/4R3/prk2p1p/5P1P/4K3/8/8 b - -,c5b4
r3r1k1/1p4bp/p2p2pq/3Pnb2/PN6/5PB1/6PP/1R1QRBK1 w - -,b1c1
r4rk1/ppq1npbp/2p2np1/3PN3/4P1b1/2PB4/PP2N1PP/R1BQ1RK1 w - -,c1f4
1rb1r3/2q2kbp/1n1p1pp1/1n1P3P/1p1BPP2/1Pp2NNB/2P2R2/2RQ2K1 w - -,h3c8
8/p7/1pnk4/5b2/2P5/2K2N2/4P3/8 w - -,f3d2
r4rk1/4ppbp/2p3p1/1p1q2N1/1P1PbB2/7P/PR3PP1/3QR1K1 b - -,e4g2
8/6k1/2p3P1/8/3P1KR1/5p2/5r2/8 b - -,f2f1
r3k2r/1b1n1ppp/p1p1p3/1p6/3Pq3/4P3/PP2BPP1/R1BQ1RK1 w kq -,f2f3
r2q1rk1/pb2ppbp/1npp1np1/2P5/3N4/6P1/PP1NPPBP/R1BQ1RK1 b - -,d6c5
2rr1k2/1p4p1/1p3pbp/3p4/2pPP3/PnN2PP1/1P3K1P/3RRB2 b - -,d5e4
r2qk2r/ppp1bppp/2np1n2/4p3/P1B1P1b1/2NP1N2/1PP2PPP/R1BQK2R w KQkq -,h2h3
1n2r3/r4k1p/2p2p2/pp3P2/3P3P/3NPK2/1P6/2R1R3 w - -,c1c3
1k1rr3/pp3pb1/2p1p1p1/4P1Pp/q1pP1Pb1/3BB3/PPR2QP1/1K3R2 w - -,c2c4
r2q1rk1/4npbp/bpn1p1p1/p2p4/P2P4/BPN1PNP1/5PBP/R2QR1K1 b - -,d8d7
2R5/3r1ppp/8/8/7P/1p2K1P1/1k3P2/8 b - -,b2b1
3K1k2/5p1p/r5p1/3B4/8/3R3P/6P1/8 w - -,d8c7
r1bq1rk1/ppp1bppp/2n1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/2RQKB1R b K -,h7h6:f8e8
2k4r/1pq2pp1/1ppbpn1p/r3N2P/2PP4/6N1/PP2QPP1/1K1R3R w - -,f2f4
6k1/5rpp/2p1n3/q2p1P2/3Pp1P1/1B1bQ2P/PP6/K1R5 b - -,e6d8
r2q1rk1/pb1nppbp/1p1p1np1/2p5/2P5/2NP1NP1/PP1BPPBP/1R1Q1RK1 w - -,a2a3
r2q1rk1/pp1nppbp/2pn2p1/8/3PP3/1BN2Q1P/PP3PP1/R1BR2K1 b - -,e7e6
8/4r2k/3p2pp/2q5/2P2Pn1/1R2pNP1/4Q2P/6K1 w - -,g1g2
r5k1/5ppp/4pq2/r1p5/PpQ5/3P2P1/4PPKP/R1R5 w - -,d3d4
3r2k1/3B1pPp/6q1/8/8/8/6PP/3QR2K w - -,e1e8
1r4k1/r4pbp/pN2b1p1/Pp2p1q1/2p1P2P/2P1P1P1/1PB2Q2/1K1R3R b - h3,g5e7
5r2/1p6/p2Np2P/P3P3/3k1PP1/P2b4/2pBK3/1rR5 w - -,e2f3
b2r4/r5k1/3p2p1/pBp1b1qp/1pP1p3/1P2P2P/P2R1PP1/1N1R2QK w - -,d2c2
8/5Q2/p4b1p/5pp1/1P2q3/P4kP1/KP6/1Br5 b - -,e4b1
