8/8/8/p7/2K5/k7/8/1R6 b - -,a3a2
r1b1kb1r/1p3ppp/p7/2nn4/N2N4/5P2/PP1B2PP/R3KB1R w KQkq -,a4c5
6k1/p3q1rp/1p4r1/2p2pPR/2P1pP2/1P5R/P3QP1K/8 b - -,e7d6
1r2r2k/2pq3p/pp3pp1/n2p1n2/1Q1P4/2PN1N1P/PP2RPP1/R5K1 w - -,a1e1
r2r2k1/pp1bnpp1/7p/8/3NB3/8/PP3PPP/3R1RK1 b - -,e7c6
1n2rr2/6bk/ppn1p1pp/3pPp2/Pq1p1P2/2PB1Q1P/1P2NBP1/R1R3K1 b - -,b4e7
7r/ppr2p1k/5b1p/3R1P2/B2p4/3P1P2/PPP4P/4R1K1 w - -,e1e4
8/1p6/p7/4k2p/1Pb2p1P/2P5/1P1K1N2/8 w - -,d2e1
5rk1/1Q1R1pp1/4pn2/8/6q1/6B1/5PKP/8 w - -,d7c7
2r2rk1/1p2qpp1/pn2b2p/3pP3/3P4/2NB2RP/PP3QP1/4R1K1 b - -,b6d7
2k1rr2/pppq2bp/2np2p1/3N1b1P/2P5/4B3/PP1Q1PP1/2KR1B1R w - -,f1e2
r5k1/6p1/P3p2p/3p4/1N2p3/4b1P1/R3P1KP/8 b - -,g8f7
2kr3r/pp3pp1/2pqpn2/3p2p1/3PP1P1/5Q1P/PPPN1P2/2KR3R b - -,d5e4
1n6/5pkp/4b3/pp1pP3/3P1K2/PP1BN3/7P/8 b - -,b8c6
5rr1/1k1p4/p1qPp2p/1p1nB3/2p2PpP/2P5/PPPQ1P2/2KRR3 b - -,f8f5
rr4k1/3N4/6pp/bp1P4/8/P3P1P1/5PBP/1R4K1 b - -,b8d8
r2q1rk1/pbnp1pbp/1p3np1/3p2B1/8/P1N2NP1/1P2PPBP/2RQ1RK1 w - -,d1d2
7k/Q4pp1/4p2p/2Nq1n2/3P4/5PP1/6PK/8 b - -,d5d4
8/4pk1p/3p4/2p2p2/2Pb3P/1r4P1/5PK1/2R1B3 b - -,e7e5
r4rk1/2p1qppp/1p3n2/1PpPp3/2P1P1b1/3BQN2/5PPP/R4RK1 b - -,g4f3
8/4n1k1/r5p1/4PpPp/1B1p3P/3b2q1/Q5B1/4R2K w - -,a2d2
8/p1r1q1kp/1pn1ppp1/1B6/1P3P2/P3P3/1Q3P1P/3R2K1 b - -,c6d8
r4rk1/2n1qn1p/pp1p1pp1/1PpPp3/P3PbB1/2R4P/1P1B1PP1/3QRNK1 w - -,b5a6
3r1rk1/p5qp/1p6/5b2/3n4/2NP3P/PPP3BQ/R4RK1 w - -,g1h1
1r1r2k1/1q3pp1/3b3p/p3pQ2/2B2n2/1P3P2/P4BPP/3R1R1K w - -,d1d2
2q1k2r/1b2bpp1/p3p3/1p1nP2p/3PBB2/1Q3N2/P4PPP/4R1K1 w k -,e1c1
r3r1k1/pb1qbppp/4pn2/1p6/2NP4/PP1B4/1B2QPPP/3R1RK1 w - -,c4a5
8/4b3/8/5k2/2R5/6P1/r7/5K2 b - -,e7d6
3rr3/n3q1kp/pp1p1pp1/2pP2P1/P3PP2/1PQ4P/6BK/4RR2 w - -,g5f6
3Rr3/p2R1bk1/1p5p/6pP/6B1/P4P2/1P4PK/4r3 b - -,e8d8
r1b1k2r/1p3p2/p1n1p2p/2npP3/1q3P2/7N/PPP1N1PP/R1Q1KB1R w KQkq -,e1d1
r2qr1k1/3nbppp/2pp1n2/1p2p2b/pP2P3/2PP1N1P/P1B2PP1/R1BQRNK1 w - -,f1g3
r2q1rk1/1p2bppp/p2ppn2/7b/P1BPP3/7P/1PQN1PP1/R1B2RK1 b - -,d6d5
8/5k2/5p1K/5P2/4P3/2b5/5N2/8 b - -,c3e5
rnbqk1nr/pp1p2bp/3Pp1p1/2p2p2/2P5/5N2/PP2PPPP/RNBQKB1R w KQkq -,b1c3
r2qk2r/1b1nppbp/p2p1np1/2p5/Pp1PP3/2PBBN2/1P1QNPPP/R3K2R w KQkq -,e4e5
q1rbk2r/1b3pp1/p2p1n2/1p1NB2p/4P1P1/P2Q1B1P/1PPN4/1K1R3R b k -,d6e5
r4rk1/1p1nppbp/6p1/pPpq4/P2P2b1/4PN2/1B1QBPPP/R3K2R w KQ -,h2h3
1r4k1/p4pp1/7p/2bpPb2/2p5/2P5/P1N2PPP/4RBK1 w - -,c2d4
8/p2n2pk/1p6/3q1p1p/3B3P/P5P1/2Q2P1K/8 w - f6,c2c3
1r3r2/p1pn2kp/2ppbpp1/8/P3PP2/1P2R2P/2PN2P1/4RBK1 w - -,f1c4
rn2kbnr/pp3ppp/1qp1p3/3pPb2/2PP4/4B3/PP3PPP/RNQ1KBNR b KQkq c3,d5c4
3r2k1/pb1rqppp/1pn1pn2/2pp4/2P5/PP1PPNP1/2N1QPBP/1R1R2K1 b - -,h7h6
r1bq1rk1/1p3ppp/p1n1p3/8/1b4P1/P1N4P/1PPB1PB1/R2QK2R b KQ -,b4e7
r2qkb1r/pppb3p/2n1ppp1/1B6/3PP3/2Q2N2/PP3PPP/R1B2RK1 b kq -,a7a6
2r1qbk1/1QP2p1p/p3r3/2n5/5B2/6P1/P4P1P/2RR2K1 w - -,b7d5
r5k1/1b2q2p/1p3p2/3p4/1b3B2/1PQ2B2/5PPP/5RK1 w - -,c3d4
5rk1/1b2nrpp/pq2p3/1p1p4/1P3P2/P1NR1R2/2PQB1PP/7K w - -,h2h3
r2qr1k1/pp2bppp/2p1bn2/3n4/3P4/1BNQ1N1P/PP3PP1/R1B1R1K1 w - -,e1e6
1r6/2nr1p2/p2p1k2/P1pPpN2/1pP1P3/1R4P1/5P1P/1R4K1 w - -,h2h4
8/5kp1/8/p1pb4/Pr6/R2B4/2P5/6K1 w - -,d3b5
2b2rk1/8/7p/7P/4rp1B/2R3p1/2P3P1/1R4K1 b - -,f8e8
r5k1/5p1p/4p1p1/1Pp5/1q6/3Pp1PP/4P1K1/2Q1R3 w - -,e1f1
r1b5/pp1p3k/4p3/7q/3Q4/3P4/PPP3PP/5RK1 w - -,d4d6
rnb2rk1/1p4pp/2p1p3/4Npq1/2BP4/1P5Q/2P3PP/1K1R1R2 w - -,b3b4
8/p2p3p/2p1pp2/2P3p1/k1KP4/4P1P1/5P1P/8 w - -,h2h3
rnbq3r/pp1nkppp/4p3/2ppP3/3P3P/2N5/PPP2PP1/R2QKBNR w KQ -,f2f4
rn1q1rk1/2p2pbp/p5p1/1p1bp3/8/1P1PP3/PB2BPPP/R1Q1K1NR w KQ -,g1f3
8/8/2p5/P4p1k/5P1p/2KN4/7P/5b2 b - -,h5g4
8/6n1/5p1p/8/3k1P2/5K1P/1p6/1N6 w - -,b1a3
8/8/8/2p5/6Rk/8/2r1BK2/8 b - -,h4h3
6k1/8/p6b/5ppp/5B2/3p2P1/P4P1P/3K4 w - -,f4e3
2r1r1k1/1pq2ppp/p4n2/3p4/5Q2/1P2PN2/1PP2RPP/R5K1 w - -,a1a4
5k2/4q1pp/Q7/2pB1p2/8/PP4P1/7P/6K1 b - -,e7e3
r2q1rk1/1b1nppbp/p2p1np1/1p6/3NP2P/2N1BP2/PPPQ2P1/2KR1B1R w - -,h4h5
8/4k3/p1pN2b1/P1P1p2p/1P3ppP/5PP1/5K2/8 w - -,d6e4
8/8/8/2K5/8/n7/Bp1k4/8 b - -,d2c3
1r6/5pkp/B1p5/6p1/4P3/1PN5/P1P2PPP/6K1 b - -,g7f6
2k1r3/1ppb1qp1/p1np1p2/4r3/6P1/1PP2P2/PKPQ1B2/3RRB2 w - -,f1c4
r1b1k2r/2qnbp2/p2ppnp1/1p5p/4PP2/1N1B4/PPPBQ1PP/3NRRK1 b kq -,c8b7
8/5B1k/6R1/p4n2/8/P7/KP6/8 w - -,g6g5
1rbq1rk1/pp1nppbp/3p2p1/2p5/3nPP2/2NPBNPP/PPPQ2B1/R3K2R w KQ -,e1g1
r1b4r/1p2k1bp/p3pp2/1Bqpn3/3N4/2P3B1/PP3QPP/R4RK1 b - -,c5c7
8/5p1k/6p1/4Q2p/1q5P/p4KP1/8/8 w - -,e5d5
r1bqkb1r/pp3pp1/2p2n2/2P3p1/P1N1p3/6P1/3PPPBP/R1BQ1RK1 b kq -,c8h3
8/1p3rk1/5r1p/8/1PP4R/1K1R4/8/8 w - -,d3d4
r1bq1rk1/ppppbppp/2n2n2/8/2P1P3/1NN5/PP3PPP/R1BQKB1R w KQ -,f1e2
8/7p/4k1p1/2nNP3/5P1P/3rRBK1/1r4P1/8 w - -,f4f5
2r1r1k1/pp1nqp2/2p1b1pp/3pP2n/3P4/3B1P2/PP1QN1PP/3NRRK1 b - -,g8h7
r3r1k1/1p3pp1/pPp3bp/3pq3/1P4P1/2Q1PP1P/P2RBK2/2R5 w - -,c3e5
5r2/1p2bnp1/3p2k1/p1pPp1p1/2P1N3/1PN3PP/P4PK1/5R2 w - -,c3b5
r1bq1rk1/1pp2ppp/p2bpn2/8/3n1B2/5NP1/PP2PPBP/RNQ2RK1 w - -,f3d4
2r3k1/7p/4p1p1/3p4/p1r2P2/5R2/P2R2PP/6K1 b - -,c4c2
r1bq1rk1/pp3ppp/4p3/3pP3/2PNnB2/2Pn4/P1Q2PPP/R4RK1 w - -,c2d3
r1bkr3/pp1p1p1p/2nQ2p1/q2P4/2P2p2/3N4/PP3PPP/2KR1B1R b - -,c6e7
3rr1k1/ppq2ppp/5b2/8/4B3/2P3P1/PP1Q1P1P/R3R1K1 w - -,e4d5
r1bq1r2/ppp1npkp/3p2p1/4p3/3nP3/3P2P1/PPPQ1PBP/R2NK1NR b KQ -,f7f5
r2q1rk1/p1pn2pp/1p1pp3/5p2/2PP4/PP2PQ2/1B3PPP/R4RK1 b - -,d8e7
8/5pkp/2b1p1p1/8/3bP3/rB3P2/2K3PP/3NR3 w - -,e1e2
1rbq2k1/3r1pbp/pN3np1/1n1pp3/1P2P3/P3BP2/4NQPP/2RR1BK1 b - -,d5d4
2r4r/pp3kpp/4bp2/2RpPp2/3P3P/5N2/PP1K1PP1/4R3 w - -,e5f6
5rk1/1p2qppp/r2p4/2p5/b1P1n3/P2BP2P/1B3PP1/R1Q2RK1 b - -,f8e8
3R4/1r3pp1/4p3/3pPk1p/8/5P1K/4R1P1/1r6 b - -,g7g5
1n4k1/2r2pp1/4pn1p/3p4/B1pP4/4PP2/1P2K1PP/2R1B3 b - -,c7b7
r3k2r/pbqn1pb1/1n1p4/5pPp/2pP3P/2P1BN2/P1BQN3/R4RK1 w kq -,e2g3
r4rk1/1bp3pp/p5q1/1p2p3/1P2N2b/R5PP/1PPBQP2/4R1K1 b - -,h4e7
5rk1/R1p3bp/3p2p1/3Pp3/PP2P1q1/4BrPb/4Q2K/3NR3 b - -,g4g3
2kr3r/ppq2b2/2n3p1/2bp2Np/2p1pP1N/2P1P1P1/PPQ1B1P1/2K1R2R w - -,e2d1
8/8/8/5N2/2kb3P/5bP1/3B4/2K5 w - -,f5h6
2r3k1/3n1rPp/p2ppbq1/8/1p1N4/4BR2/PPP2Q1P/1K3R2 b - -,c8e8
1r6/5kpp/4b3/1B2p3/P3P3/1p3PP1/5K1P/2R5 w - -,f2e3
r3r3/4qpk1/bp1p2pp/p1nPp3/4P3/1PR1NPP1/P2Q2BP/3R2K1 w - -,a2a3
r4b1r/p2k1pp1/1np1p1b1/q3P1Bp/1nNP3P/2N5/1P3PP1/2RQKB1R b K -,b6c4
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/P2BPN2/1P1b1PPP/R1BQK2R w KQ -,d1d2
r4q2/4p1kp/p2ppnp1/1pp5/4PP2/P2P3P/1PP1nPK1/1RQ1R3 w - -,e1e2
r3k2r/ppq1np1p/3bpnp1/1Q1pN3/3P1P2/2P1B3/PP2N1PP/R4RK1 b kq -,e8f8
r1b1kb1r/1pqn1ppp/p1p5/2Pp4/N7/2BBPp1P/PP3PP1/R2QK2R w KQkq -,d1f3
r7/2k1n1pp/1p3p2/2p1pb2/P1P5/P1R1P3/3N1PPP/3B1K2 b - -,f5d7
2kr3r/pp3pp1/2p1p1bp/q1b1P3/5PP1/1P2B3/NPP1Q2P/1K1R1R2 w - -,a2c3
3r3k/pb4rp/1p1P4/2p1q2B/4pbPQ/P7/1P3P2/3R1RK1 b - -,g7g5
8/p2k4/1pp1p2n/2p1Pp1b/2P2P2/P1NPN1P1/1P1K4/8 b - -,h6g8
r1b1r1kb/q4p1p/2p2npB/1p2p1N1/p1p1P1P1/2PPQ2P/PP2NP2/2K3RR w - -,e3a7
2b4k/p1q5/4p1Q1/4N3/1p1p1PP1/1P1P2K1/7P/8 b - f3,c7g7
r1bqkb1r/pp3ppp/4pn2/8/2Pn4/P2p1NP1/1P1P1PBP/RNBQR1K1 w kq -,f3d4
8/4r1k1/4P1pp/4R1n1/p2P2P1/P1r5/B1p3P1/2R3K1 w - -,d4d5
5b2/5k2/3p4/3Pqp2/p1P4p/5P1P/4Q3/1N1K4 b - -,f7f6
8/r7/3p1k2/1p4p1/3p2P1/P1bP2K1/4RP2/2N5 w - -,e2a2
r3r1k1/1pq2ppp/2np1n2/4p3/ppPPP3/1P1Q1NPP/P4PB1/2R2RK1 w - -,c4c5
1rb1k1r1/nq3p1p/3bp3/1P1nB3/8/3B1N2/N4PPP/R3QRK1 b - -,d5f4
1r2r1k1/p1q3pp/B1p1p3/2P1bp2/4n3/4B1P1/PP2QP1P/1R3RK1 b - -,c7a5
r3k2r/1p1n1pp1/1qp1pnp1/p7/PbBP4/1QN1P1P1/1P3P1P/R1BR2K1 b kq -,e8g8
8/1P3pk1/1Q2p2p/4q3/K7/7P/8/8 b - -,e5a1
r1b2rk1/p2nq1pp/1pp1p3/3p1p1n/1PPP4/N4NP1/PQ2PPBP/R4RK1 b - -,c8b7
r2q1rk1/3b2bp/B2p1n2/3Pp3/pP2Pp2/5PP1/4QBP1/1RR3NK b - -,f4g3
8/7R/3bkp2/8/2p1P3/3r2PP/5PK1/r7 w - -,h7h8
2r2rk1/1p1q3p/2bp2p1/R4pB1/1PP1p3/5P2/P5PP/1Q2R1K1 b - b3,b7b6
1k6/pp5p/8/4Kp2/3P4/1P4P1/P1R4P/5r2 w - f6,d4d5
8/2b5/7p/pB6/1p3p2/1P5P/6K1/4k3 w - -,g2f3
3r2k1/1pq4p/pR3Qp1/P1pPp3/8/5P2/1P3P1P/6K1 w - -,d5d6
3k4/1b3p1p/pp2p1p1/2npP3/5P2/4P3/PPB1NKPP/8 b - -,a6a5
2R5/6p1/r2pkb2/pp3p1P/P7/1P1KBP2/8/8 b - a3,b5a4
r6k/n5pp/R2p4/1B1P4/1p2P3/4n3/1Pq1N2P/RQ3r1K w - -,b1f1
2r1r3/p3n2R/4k1p1/4B3/2P1pPP1/8/P1R5/2K5 w - -,c4c5
6k1/pB3p1p/4p1p1/2b1B3/1n6/P6P/1P3PP1/6K1 w - -,a3b4
rn2k2r/pbpp1p1p/1p2p3/8/2PP1P1q/2PB2R1/P1Q2P1P/R1B1K3 w Qkq -,f4f5
6rr/2k1pp2/4b2p/2p1b3/1pP1P3/pP2NRP1/P5P1/2K2N1R b - -,f7f6
1r3n2/1pk1q1r1/p2p4/2pPpRPB/P1P1P3/2N3P1/1P3Q2/2K5 b - -,f8d7
r2qk2r/4bp2/pn1p2p1/Np1Pp1Pn/8/4BQ2/PPP2P2/2KR1B1R b kq -,e7g5
2r1r1k1/pp3pp1/1q3nbp/2pP4/5Q2/1P2BNPP/P2R2B1/R5K1 b - -,e8e4
2r5/2qb2nk/5pp1/3Pp3/pN2P3/Pn2Q1N1/4B1PP/1R5K w - -,b1f1
r4rk1/4Rp1p/3p4/1p3q2/7Q/3PR3/PP3PP1/6K1 w - -,e3f3
8/5R2/8/4pk2/8/p6r/8/1K6 b - -,f5e4
4rrk1/1pp2ppp/p2p4/8/P1PB2bP/R1N5/1P1KB2q/3Q4 w - -,d1f1
3Q4/7p/1p6/1p2K1Pk/1Pb4N/8/8/5q2 b - -,f1e1
1q2r1k1/p4pb1/b5p1/1rp5/1BNp4/1P1P2P1/P4RBP/2RQ2K1 b - -,b5b4
r3k2r/5pp1/p3nb1p/R3N3/1B6/6P1/PP3P1P/4R1K1 w kq -,f2f4
r1b2k2/ppp4Q/2p1nqp1/2N1p1p1/4P3/P2PB3/1PP2P2/2K4R b - -,f6g7
r2q1rk1/pp1nb1pp/2p1p1b1/4p3/2NP1PP1/4B3/PPP4P/R2QNRK1 b - -,e5f4
6k1/3R4/6p1/p1rN4/2n2PP1/8/8/6K1 b - -,g8f8
r2qr1k1/1b3pb1/pn1p1npp/4p3/p2PP3/1P3NN1/2B2PPP/R1BQR1K1 w - -,b3a4
r7/3R1p2/4pBkp/1p2P3/2p2PP1/P1P1K3/6b1/8 w - -,f6e7
3r3k/1p2p2p/2n4b/3b4/4NPq1/8/1P3QBP/2B1R2K w - -,e4c5
r1br2k1/p4pp1/2n1pq1p/2p5/3P4/P1P2N2/2P1BPPP/1R1Q1RK1 b - -,c5d4
r2r4/1p2np2/p2p4/3P1bkp/5p2/BPPB2P1/P7/2K1RR2 w - -,e1e7
2q2rk1/p4p2/1pn1rbp1/2p1P3/5B2/5N1Q/PP3PPP/R2R2K1 b - -,f6e7
3r2k1/pp3pb1/4p1pp/4q3/5QP1/2PrN3/PP2R1KP/5R2 w - -,f4f7
8/4k3/8/6RK/5B1P/1r4P1/5b2/8 b - -,f2d4
8/8/1k6/4n3/7R/P3r3/KP6/8 b - -,b6c5
1rbq1rk1/4bpnp/p2p1npB/1ppPp3/2P1P1P1/2NB3P/PP1Q1P2/2K1N1RR w - -,e1g2
3r4/1p3pk1/p1ppb3/8/1PPpP1P1/P2P3P/5KB1/5R2 b - -,f7f6
2krrb2/p6p/2p2p2/2Pnpbp1/1P6/NNP2P2/P2B1KPP/3R3R b - -,g5g4
8/3P2pk/4KR1p/5N2/8/4P3/8/3r4 b - -,d1d7
5K2/1r6/8/4N1k1/8/8/8/5R2 w - -,e5f7
4Q3/1p3pkp/1pn3p1/3p2qr/8/1NP3P1/PP3PP1/4R1K1 b - -,g5h6
2brr1k1/1pq1nppp/p3pb2/8/1PP5/P4NPP/2Q2PB1/2BRR1K1 b - -,d8d1
3qr1k1/2pn1ppp/p2p1b2/Pr6/1pNBP3/1P6/2P2PPP/R2QR1K1 w - -,h2h3
8/1p6/2p2p2/5B1p/1k4PP/8/P7/1K4b1 w - h6,g4h5
8/2p3k1/p4pP1/2p5/3n1N1P/1r1R1PK1/8/8 w - -,d3b3
2N4k/1p1n3p/r3n3/1q1pP2Q/p4p2/P7/1P4PP/1R3N1K w - -,c8d6
8/5kb1/8/4P1p1/3K2Q1/8/7p/8 w - -,g4g2
5r2/8/8/pB6/P7/2P1k3/8/3K4 w - -,d1c2
r2qkb1r/pppb1ppp/5n2/nB1Pp1N1/8/8/PPPPQPPP/RNB1K2R b KQkq -,f8e7:f8d6
r5k1/p5pp/1pq1pn2/8/8/2P1Q1B1/P1P3PP/5R1K w - -,f1d1
r1b2rkb/2pqn2p/p2ppnpB/Np3p2/3PP1PQ/P1N2P1P/1PP1B3/3R1RK1 b - -,h8g7
3rr2k/1p3pp1/p2p4/P1pP1B1p/1n3B2/2N5/1PP2P1K/6R1 w - -,f5e4
2r2rk1/p1q1ppbp/1p1p2p1/3Q4/3N4/2N1B3/P1P3PP/1R3R1K b - -,c7c3
8/1k1RP3/1p1R4/p3r1p1/8/1P2r3/K7/8 b - -,b7a6
r3qrk1/3nbppp/2b1p3/2ppP1N1/2P2BQP/1p1P2P1/1Pn2PBN/2RR2K1 w - -,g5e6
8/8/1N2k3/p7/7K/2n5/8/8 b - -,e6f5
3Q4/2R2pk1/P5p1/2N5/4P3/4KnP1/5P2/7q b - -,f3e5
r7/rp6/1Rn1ppk1/2Pp2p1/P2P2P1/R4N2/5PK1/8 w - -,b6b2
5k2/3r1n2/3pR3/pp1R1P2/1p4PP/P7/2P2PK1/8 w - -,d5b5
8/4k1p1/3pr3/7p/2PRN2P/6P1/4r3/6K1 w - -,e4g5
r3k2r/1Q3ppp/p1nqpn2/3p1b2/3P4/2N1PN2/PP2BPPP/R3K2R b KQkq -,e8g8
r1bq1rk1/1p2bppp/p1p1p3/7Q/4P3/2N5/PPP2PPP/R1B1R1K1 b - -,g7g6
r6r/p2pkppp/1p1N1n2/2b5/2Q1Pp2/5BP1/PqP4P/3RK2R w K -,e4e5
r1bqkb1r/1p3ppp/p1np4/4p3/3NP3/1P6/PBP2PPP/RN1Q1RK1 w kq -,d4f5
8/5k2/3R2p1/pp6/2p2KPP/P1P2P2/1P6/1r6 w - -,d6d7
6rk/2p4n/1p1p1p2/1P1P1q1p/2P2P2/4PQ1P/1B4rR/R6K b - -,g2h2
3b1r2/8/1r1p1k2/p5p1/4B1PP/P4R2/1PR5/1K6 b - -,f6g7
8/5R2/r4p1k/5P2/6P1/6K1/8/8 b - -,a6a3
8/p2N3k/P2p4/1P2b2p/R1P1P1p1/8/1r6/6K1 w - -,d7e5
1b6/p3kp2/Pp6/1Nn1p1pp/4P3/2P2PPK/7P/3R4 w - -,c3c4
4k3/1p4p1/pb2p3/3p2r1/bP1p3N/6B1/3N1PPP/2R4K w - -,h4f3
2b5/p3k1pp/1rp1p3/8/2R1NP2/1P6/P5PP/6K1 b - f3,e7d7
r2qrbk1/1p3ppp/2p5/p2bN3/3P4/1P1B3P/P1Q2PP1/3RR1K1 b - -,g7g6
r5k1/pppb1p2/2nbq2p/6pQ/8/2BP1B2/P1P3PP/R4R1K w - -,a1e1
r2qkb1r/ppp2ppp/2np1n2/3P4/8/2N1Bb1P/PPP2PP1/R2QKB1R w KQkq -,d1f3
1qrr2k1/1b1nbppp/pp2p3/2ppP3/P7/1PN1P1P1/1BP1QPBP/2RR2K1 w - -,f2f4
r4rk1/3q1ppp/p1pp1b2/1p1Pp2b/4P3/1PPQ1N1P/1P1N1PP1/R3R1K1 b - -,f6d8
2k4r/1p3ppp/p1n2n2/3r3b/1P3BP1/1Q3N1P/1P2BP2/5K2 b - g3,h5g6
8/3P4/4Pqpk/1p5p/7P/8/PPP3P1/1K2R3 b - -,f6e7
8/p4p2/1p1p1pk1/4p3/2P1Pq1p/7P/P3Q1P1/7K w - -,e2d3
r2bkr2/1p1b1p2/p3pp1Q/2q5/P7/1R1B1N1P/2P2PP1/1R4K1 w q -,f3d2
8/2p1r1k1/1p2qpp1/p2R4/P1P1pQ2/1P3nPP/1B3PK1/8 w - -,b2c3
r3kb1r/ppq2p2/2p3p1/4Pb1p/4p3/2P1P3/PP1NBPPP/R2Q1RK1 w kq -,d2c4
8/8/2p1p3/6N1/1kb4P/r4RK1/8/8 w - -,h4h5
r4rk1/1p1nbppb/1qp1pn1p/8/p3NP2/P2P2P1/1PP1Q1BP/R1B1NR1K w - -,g3g4
rr3bk1/1bqn1ppp/p2p1n2/1p1PpN2/P1p1P3/2P2N1P/1PB2PP1/R1BQR1K1 w - -,g2g4
8/6pk/4R2p/8/4p3/4P3/3r2PP/6K1 w - -,e6e4
3q1b1r/1pr2k2/p3ppp1/2np1b1p/3N1P2/2P1P3/PP1BB1PP/R2Q1RK1 w - -,d2e1
r3rn2/pq3pk1/2pbpnp1/1p2N2p/2PP1P1P/PR4R1/1PB1Q1P1/4B1K1 b - -,a7a6
r3n1k1/1r2Bpb1/1q1p3p/1NpPn1p1/P3P1PP/5N2/1P2QPK1/R6R w - -,h4g5
rnbq2k1/5r1p/pp3p2/3NpB1Q/2Pp4/P7/1P3PPP/R3K2R b KQ -,c8f5
2b2k2/5p1p/p3nN2/4P1p1/1p6/2B1PQ1P/P5PK/1q6 w - -,f3c6
2n1br2/p5k1/R4p2/4p1p1/P2rN3/7B/1PP5/2K1R3 b - -,g5g4
1r3r2/1pqnppkp/3b2p1/p1p5/P2P4/1QP1B1P1/1P4BP/4RR1K b - -,d7f6
5R2/3r2Bb/7P/6k1/8/4K3/8/8 w - -,f8f1
1r6/6p1/2kb1p1p/2p2P1P/2p1R1P1/1PB5/2K5/8 w - -,b3c4
8/8/2p5/4p3/4nkp1/1K1B4/8/4B3 w - -,b3c4
rn1qkbnr/pbpp1ppp/1p2p3/8/2P5/P1N1P3/1P1P1PPP/R1BQKBNR b KQkq -,f7f5
r1b1k2r/pp2n2p/2n3p1/2p2pB1/2P5/2P2B2/P4PPP/2KR2NR b - -,h7h6
rnb2rk1/pp1p1pp1/4pB1p/2p5/2PP4/2q1PN2/P4PPP/R2QKB1R w KQ -,f3d2
4k1r1/2R5/bp1p2Pp/3P1P1q/3Q1P2/8/6R1/6K1 b - -,h5f3
