8/6K1/2b5/4kP1p/7P/8/8/8 w - -,f5f6
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/4PN2/PPQ2PPP/RN2KB1R b KQkq -,h7h6
1kqr3r/p2n2n1/3p2pb/2pPp2p/PpP1P2P/1P2N1P1/1BKNQ3/5R1R w - -,b2c1
8/1R3p2/4pk2/8/3PP3/2K5/1p6/1r6 b - -,b1e1
r2q1r2/4ppk1/p1p3p1/3n3p/Np1P2PP/8/PPPQ1P2/1K1R3R b - g3,d5f6
2r2rk1/5pp1/p4n1p/1pbqNQ2/3p4/1N4PK/PP2PP1P/R4R2 w - -,a1c1
r2qr1k1/1p3ppp/p2p1b2/3P4/6b1/N1PQ1P2/PP2B1PP/R3K2R b KQ -,g4h5
2kr2r1/pp3p2/4p3/2p1b2p/8/1P2NP2/P1PPKP1P/6RR b - -,c8c7
5r1k/p5bp/6b1/2p1pn2/2PpB1Q1/3P2PP/P1qB1N2/R5K1 w - -,g4d1
5k2/p1p1p1b1/1p1r3p/4pP2/4B3/1PP2N2/P3b1PP/R1B4K w - -,c1e3
2k1b1r1/pp4rp/3bp3/2p5/2P1pP2/1B2B2P/PP3RPK/7N b - -,h7h5
2rq1rk1/p1n3pp/1p2pb2/2pp1p2/2PP4/1PB1PNP1/P3QPKP/R3R3 w - -,a1c1
8/p2Rkpp1/1p2p3/1B6/P7/1PP3P1/1r3PK1/4b3 b - -,e7f6
8/8/pp2k1pp/PnP5/3K4/5PN1/6PP/8 w - -,d4c4
4qr1k/pp3r1p/2np2p1/2p3P1/2PpPP2/PP4P1/3QB2K/4RR2 b - -,a7a5
rnbqk2r/1p2ppbp/p4np1/2pp4/2P5/1P2PN2/PB1PBPPP/RN1QK2R w KQkq -,c4d5
1r1q1rk1/2pb1p1p/p1np1bp1/4p3/2RP1B2/5NP1/PP1QPPBP/5RK1 w - e6,f4h6
8/2r4p/2p3p1/8/1P2K1k1/2P5/3R2P1/8 b - -,c7e7
N1bkr3/pp4K1/3p3p/6p1/8/7P/PPPP2P1/R1B2n2 w - -,g7h6
kr6/8/p1n1p1p1/3pP1p1/1Pp3P1/P6r/1B3P2/3RRK2 b - -,h3h4
r2q1rk1/pb2bppp/1pn1pn2/2ppN3/3P1P2/2PBPQ2/PP1N2PP/R1B2RK1 b - -,c5d4
8/8/2k3R1/8/pr4p1/4K3/8/8 b - -,c6d5
k1r5/pb6/5p1p/4N3/2PR1P2/6q1/P2Q4/2K5 w - -,e5f7
2r4k/4p2p/3pPr2/ppp5/5P2/P1PPK3/1R5P/1R6 w - -,b2b5
r3kb1r/1pqn1ppp/p1bpp3/3nP3/1P1P4/P4N2/1B2BPPP/RN1QR1K1 b kq -,f8e7
5rrk/1p3q1p/p1p5/3pR1P1/3P1nQ1/5P2/1P5P/1B4RK b - -,f7h5
8/3B4/1p3kp1/4R2p/P4p2/5K1P/r4PP1/8 w - -,e5e6
8/8/4kp2/p7/Pr3R1P/4P3/5PK1/8 w - -,g2f3
rq1r2k1/1b1nbppp/ppnpp3/6P1/2P1PP2/1NN1B3/PP2Q1BP/2R2RK1 w - -,f4f5
r2qrnk1/1ppb1ppp/p2b4/3p4/P2Pn3/1P1BPNN1/1BQ2PPP/R4RK1 b - -,e4g3
2b5/6kp/1qr1prP1/3pR3/pp1P1PP1/3BQ3/PP6/4R1K1 b - -,h7g6
rq2rbk1/3b1pp1/pp1p1nnp/2pP4/P3P3/2N3BP/1PQNBPP1/4RRK1 b - -,b6b5
2r1q1k1/1bp1rpb1/p2p1np1/1p1P3p/3NPB2/5PNP/PP1Q2P1/3RR1K1 b - -,f6d5
8/4kp1p/p3b3/1p2p3/1P2P3/8/P5PP/3R2K1 b - -,e6a2
r3kbnr/1bqp1ppp/p3p3/1p2n3/3NP3/2N2B2/PPP2PPP/R1BQR1K1 w kq -,c1f4
8/8/3b4/8/1p3p2/1K1knP2/6P1/4R3 w - -,e1c1
2r1kbr1/pp3p1p/1qn1p3/3p1p2/3P1BnP/2P2NPN/PP2QP2/R3K2R w KQ -,e1g1
rn3rk1/p3bppp/5n2/q1p5/Np2bB2/1P3NP1/P3PPBP/R1Q2RK1 b - -,b8d7
rn2k2r/pp1nbpp1/2p3q1/3pp1Pp/7P/1P2PP2/PBPPN3/R2QKB1R w KQkq -,f1h3
7k/6R1/p4N2/2p1p2p/P2pPn2/1P6/2P2P2/5K2 b - -,h8g7
8/pp2r1k1/4rbpp/2p2p2/2P4P/PPPR2P1/3B1R2/6K1 w - -,g1f1
r4b1r/1pq2kpp/p3pp2/2PPnb2/2BQp3/8/PP1BNPPP/2R1K2R w K -,d5d6
r2qr1k1/pp2bppp/8/2npP2b/5BP1/5N1P/PP3PB1/2RQ1RK1 b - -,h5g6
1r6/4kb2/R3p3/P1P1P1p1/1P3p2/5P1P/6K1/8 w - -,a6b6
8/8/4p3/p1p1k1p1/PpP5/1P1KP1nP/6B1/8 b - -,g3h5
r4r1k/2qBnppp/ppp1P3/3bQP2/6P1/1N5P/PP6/4RRK1 b - -,c7e5
3r4/p5R1/2p2p2/5k2/3b4/B6P/PP3P2/5K2 w - -,g7c7
r1bqr1k1/pp1nppbp/2p3p1/6B1/3PP3/Q1P5/P4PPP/3RKBNR w K -,g1f3
2r2rk1/1q1nb1p1/pB2b2p/P7/3Npp2/2P4P/4NPP1/R2Q1RK1 b - -,e6c4
6k1/5p2/1p2q2p/p5pP/P7/2Q1n3/6PK/5R2 w - -,f1e1
5r1k/2R3q1/p3B3/P2Pr1b1/8/2Q2pP1/4p2P/5R1K w - -,f1b1
r2k1b1r/pb2q1pp/np3p2/3p4/Q2P4/3N2P1/PP2PPBP/R1B2RK1 w - -,c1e3
r1b1qrk1/ppp3bp/3p1n2/3PppB1/1nP4N/2N3PP/PPQ1BP2/R3K2R w KQ -,c2b3
r1bqkb1r/pp2ppp1/2n2n1p/3p4/3P4/2N3P1/PP2PPBP/R1BQK1NR w KQkq -,c1f4
r1r3k1/pb3pbp/5np1/q2pp3/8/2NB1P2/PPPQ1BPP/2R2RK1 b - -,d5d4
8/1P4R1/2R2p2/1r2k3/1r4P1/7P/7K/8 w - -,g7e7
r3qrk1/1ppb3n/n2p2p1/1N1PpP1p/P1P4B/1N2bP2/4B1PP/R2Q1R1K b - -,g6f5
rn2k2r/6pp/p2bP3/1p6/8/1Q4P1/1B3PKP/qN3R2 b - -,a1a4
1k1r1b1r/ppqn1p2/2p1p3/5p2/3P1P1p/3NQ3/PPP3PP/1K1R2NR b - -,f8e7
2r1rbk1/1b5p/p6q/1p1p1pp1/3Bn3/P3PN1P/1P2BPP1/2RR1QK1 w - -,f3e5
5rk1/6pp/1r2Pp2/p2P4/1p2R3/7P/6P1/4R1K1 w - -,e1a1
1q2r2k/6rp/5Q2/2B1pp2/8/2P2P2/PP6/2K3R1 b - -,e8g8
r1b2rk1/2q1bppp/p1nppn2/1pp5/P3P3/1PN2NP1/1BPP1P1P/R2QRBK1 b - -,b5b4
r1bq1rk1/1p2bppp/pn2p3/2pnP3/P1BP4/1P1Q1N2/1B1N1PPP/R4RK1 b - -,c5d4
1r3r1k/2q4p/p2p2p1/P3pp2/2P1Pn1Q/B4P2/B6R/6RK b - -,f4h5
3rr1k1/pp1q1pp1/2n2b1p/8/3P1B2/1B1P3P/PP3PQ1/R3R1K1 b - -,c6d4
1r2k2r/p1qnbpp1/2n1p2p/1bppP2P/1p3B2/3P1NP1/PPPNQPB1/R3R1K1 b k -,d7b6
r2qkb1r/pp1n1pp1/4bn1p/3pp1B1/8/1N2P1P1/PPP2PBP/RN1Q1RK1 w kq -,g5f6
2r3k1/pr1q3p/5pp1/1P1nPb2/1nN5/1Q3NBP/1P3PP1/2R2BK1 w - -,e5f6
r4k1r/p2nqp2/2n1p1p1/1pppP2p/3P3P/2P2B2/PP1QNPP1/2KR3R w - b6,c1b1
r4rk1/pp1bqpnp/3p2p1/2pP4/2PbPB2/2NB1R1P/PP1Q2P1/R6K b - -,a7a6
5rk1/6pp/1q3p2/p1pR1Nn1/1pP1r1Q1/1P5P/1PP3P1/R5K1 w - -,g4g3
8/3bk3/4p3/1pR1P3/1r3p2/5K2/2B5/8 w - -,c2e4
2r3k1/5pp1/p6p/1p2Q3/4P3/P1pqP1P1/1P1rPK1P/1R2R3 w - -,b2c3
1r3Q2/n1Rbkp2/pp6/4PPP1/1P1P4/P3B3/6K1/8 b - -,b8f8
5rk1/2p5/p3Pp1r/1p1p1B2/3P1q2/2P4Q/P3K3/R3R3 w - -,e1g1
r4r2/pb3k1q/1p2R3/3n1pQ1/8/3B4/PPP2PPP/2KR4 w - -,e6h6
rnb1kb1r/pp1p1ppp/2p3n1/8/2BPPp2/2N5/PPP2qPP/R1B1K1NR w KQkq -,e1f2
6k1/4bp1p/B1P3p1/4P3/3p4/5r1P/5P2/3R2K1 b - -,f3c3
2r4r/p1q1nkp1/4ppp1/2bp4/N5PP/3Q1P2/PPPB4/R3K2R w KQ -,a4c5
3r4/1p4kp/1p2b1p1/2P1P3/1q6/3BQ2P/P5P1/R5K1 w - -,d3e4
8/5p1k/4rq1p/1p4p1/1P2r3/2N1R3/2P4P/4Q1K1 w - -,e3e4
8/2k5/7p/p6p/8/KP3B2/P1P5/8 b - -,h5h4
r2q1k1r/1p3ppp/p1n2b2/5b2/3P4/1N6/PP2BPPP/RN1QR1K1 w - -,e2g4
8/6k1/p3R3/r7/5PP1/6K1/8/8 b - -,a5a3
r1r5/1b1pk3/1p2pp2/2Q1n3/4PpPp/1PP2P1P/PN4B1/R4K1R b - -,c8c5
5R2/1p6/p4kp1/5p2/3P1P2/2r1PK2/P7/8 b - -,f6e6
r5k1/qp2ppbp/r2p2p1/pQnP4/P7/1P2BPPB/2R2P1P/2R3K1 b - -,g7f6
2rr2k1/5pb1/pqpp1npp/8/P3P3/1P3P2/3QN1PP/2R1BR1K w - -,b3b4
r3r1k1/2q2ppp/p2p1b2/2pP4/2N2P2/P1P2Q1P/6P1/R4RK1 b - -,a8b8
k7/8/P1N5/3K2p1/7p/7P/5bP1/8 b - -,f2g1
3r2k1/1pq1bppp/p3bn2/4p3/P1p1P3/2N1BP2/1PP1B1PP/R3Q1K1 w - -,e1f2
2kr3r/p1qnbp2/1pn1p1pp/3pP2P/2pP2Q1/1PP2N2/P4PP1/R1B1NRK1 b - -,c6a5
1q3rk1/5ppp/pr1pbn2/N3p3/4P1P1/2Q2P2/PP1RB2P/1K1R4 b - -,f8c8
r1bq1rk1/1pp2pb1/2np1npp/p3p3/2P5/P1NP1NP1/1P1BPPBP/1R1Q1RK1 b - -,c8e6
7R/r4K2/3k1P2/8/8/8/8/8 w - -,f7g6
1rbqr1k1/p1p2ppn/1p1p3p/4n3/2P1N3/2PPBPP1/P2Q2BP/1R3RK1 w - -,g3g4
r1bq2Rk/pp5p/3p3b/n1pNp3/4P2P/P1P2N2/BP3P2/R2QK3 b Q -,d8g8
r2qk2r/pp2bpp1/3ppnb1/2p4p/4P1P1/2PP1QNP/PPB2P2/R1B1K2R w KQkq h6,c2a4
2k1r2r/2p3p1/1p1q1pp1/pPbn4/2BpR3/1Q1P1NP1/P4nKP/R1B5 w - -,c4d5
2q1rnk1/p4pbp/1pp3p1/4p3/1PP1P3/4Q1PP/PB2NPK1/2Rr4 w - -,c1d1
r5k1/pnq2rpp/2p2pn1/2Q5/P2P4/5NP1/1R1N1PP1/5RK1 w - -,c5c3
r4rk1/1bq1bppp/pp6/n1p5/8/2B1PNP1/P3QPBP/R2R2K1 w - -,c3a5
r2q1rk1/1p2ppbp/n1p1b1p1/p2P4/3P3N/1PB3P1/P3PPBP/2RQ1RK1 b - -,c6d5
r3r3/5pkp/p1pq1pb1/8/2B5/P4P2/4QP1P/2B3RK w - -,e2f1
